Orthogroup	DKIK.longest_only	CPIP.longest_only
OG0000477	LOC108071406|XP_017017637.1|DKIK, LOC108071405|XP_017017636.1|DKIK	LOC120423579|XP_039443373.1|CPIP
OG0000478	LOC108071712|XP_017018022.1|DKIK, LOC108078864|XP_017028465.1|DKIK	LOC120429962|XP_039450993.1|CPIP, LOC120429967|XP_039451000.1|CPIP, LOC120429975|XP_039451005.1|CPIP, LOC120425699|XP_039446221.1|CPIP
OG0000479	LOC108073343|XP_017020396.1|DKIK, LOC108073563|XP_017020739.1|DKIK	LOC120414477|XP_039431605.1|CPIP, LOC120414434|XP_039431553.1|CPIP, LOC120414435|XP_039431554.1|CPIP
OG0000480	LOC108086211|XP_017038563.1|DKIK, LOC108081689|XP_017032399.1|DKIK, LOC108081551|XP_017032259.1|DKIK, LOC108086210|XP_017038562.1|DKIK	LOC120422963|XP_039442489.1|CPIP
OG0000481	LOC108085590|XP_017037749.1|DKIK	LOC120422489|XP_039441880.1|CPIP, LOC120415357|XP_039432780.1|CPIP
OG0000482	LOC108075900|XP_017024048.1|DKIK	LOC120424395|XP_039444427.1|CPIP, LOC120424394|XP_039444426.1|CPIP
OG0000483	LOC108073197|XP_017020201.1|DKIK, LOC108073174|XP_017020169.1|DKIK	LOC120425946|XP_039446517.1|CPIP, LOC120425945|XP_039446515.1|CPIP, LOC120425947|XP_039446518.1|CPIP
OG0000484	LOC108084350|XP_017036002.1|DKIK, LOC108084351|XP_017036003.1|DKIK	LOC120421837|XP_039441054.1|CPIP, LOC120421845|XP_039441068.1|CPIP
OG0000485	LOC108080610|XP_017030923.1|DKIK, LOC108080626|XP_017030938.1|DKIK, LOC108080596|XP_017030896.1|DKIK	LOC120416669|XP_039434418.1|CPIP
OG0000486	LOC108076434|XP_017024778.1|DKIK, LOC108076431|XP_017024774.1|DKIK	LOC120419307|XP_039437909.1|CPIP
OG0000489	LOC108077567|XP_017026451.1|DKIK, LOC108084511|XP_017036237.1|DKIK	LOC120418130|XP_039436342.1|CPIP, LOC120418126|XP_039436337.1|CPIP
OG0000490	LOC108079994|XP_017030049.1|DKIK	LOC120414538|XP_039431683.1|CPIP
OG0000490	LOC108079926|XP_017029950.1|DKIK	LOC120420403|XP_039439346.1|CPIP
OG0000491	LOC108074088|XP_017021461.1|DKIK, LOC108072985|XP_017019916.1|DKIK	LOC120430223|XP_039451236.1|CPIP
OG0000492	LOC108075819|XP_017023881.1|DKIK	LOC120412808|XP_039429343.1|CPIP
OG0000493	LOC108077890|XP_017026916.1|DKIK, LOC108077889|XP_017026915.1|DKIK	LOC120420047|XP_039438888.1|CPIP
OG0000496	LOC108074467|XP_017022027.1|DKIK	LOC120417351|XP_039435289.1|CPIP
OG0000497	LOC108072479|XP_017019134.1|DKIK, LOC108072826|XP_017019606.1|DKIK, LOC108072849|XP_017019649.1|DKIK	LOC120429075|XP_039450164.1|CPIP
OG0000498	LOC108073158|XP_017020154.1|DKIK, LOC108073161|XP_017020156.1|DKIK	LOC120425951|XP_039446523.1|CPIP
OG0000499	LOC108076167|XP_017024383.1|DKIK	LOC120429629|XP_039450596.1|CPIP, LOC120426655|XP_039447382.1|CPIP
OG0000499	LOC108085747|XP_017037969.1|DKIK	LOC120427332|XP_039448115.1|CPIP
OG0000500	LOC108080611|XP_017030924.1|DKIK, LOC108080589|XP_017030883.1|DKIK	LOC120423742|XP_039443588.1|CPIP, LOC120425271|XP_039445651.1|CPIP
OG0000504	LOC108079882|XP_017029888.1|DKIK, LOC108083296|XP_017034522.1|DKIK	LOC120420034|XP_039438869.1|CPIP, LOC120420053|XP_039438899.1|CPIP, LOC120420033|XP_039438868.1|CPIP, LOC120420050|XP_039438896.1|CPIP, LOC120420032|XP_039438867.1|CPIP
OG0000505	LOC108071787|XP_017018141.1|DKIK, LOC108080116|XP_017030236.1|DKIK	LOC120420407|XP_039439358.1|CPIP, LOC120430294|XP_039451324.1|CPIP
OG0000506	LOC108073342|XP_017020395.1|DKIK, LOC108073351|XP_017020404.1|DKIK, LOC108073370|XP_017020423.1|DKIK	LOC120415717|XP_039433250.1|CPIP, LOC120415729|XP_039433260.1|CPIP, LOC120426164|XP_039446822.1|CPIP, LOC120425474|XP_039445947.1|CPIP, LOC120423334|XP_039443038.1|CPIP
OG0000507	LOC108079265|XP_017029045.1|DKIK	LOC120416489|XP_039434142.1|CPIP
OG0000507	LOC108079261|XP_017029039.1|DKIK	LOC120431083|XP_039452173.1|CPIP
OG0000508	LOC108078445|XP_017027823.1|DKIK, LOC108084753|XP_017036554.1|DKIK	LOC120422027|XP_039441285.1|CPIP
OG0000509	LOC108076359|XP_017024645.1|DKIK	LOC120412892|XP_039429456.1|CPIP
OG0000510	LOC108073052|XP_017020008.1|DKIK, LOC108073053|XP_017020009.1|DKIK	LOC120430997|XP_039452090.1|CPIP
OG0000511	LOC108077021|XP_017025618.1|DKIK, LOC108077316|XP_017026094.1|DKIK	LOC120424968|XP_039445259.1|CPIP, LOC120424959|XP_039445246.1|CPIP
OG0000512	LOC108082064|XP_017032830.1|DKIK, LOC108073755|XP_017021011.1|DKIK	LOC120424352|XP_039444380.1|CPIP, LOC120424370|XP_039444400.1|CPIP
OG0000513	LOC108076494|XP_017024874.1|DKIK, LOC108082169|XP_017032964.1|DKIK	LOC120415521|XP_039433012.1|CPIP
OG0000514	LOC108077215|XP_017025957.1|DKIK, LOC108077193|XP_017025926.1|DKIK	LOC120427085|XP_039447860.1|CPIP
OG0000515	LOC108074899|XP_017022614.1|DKIK, LOC108078616|XP_017028028.1|DKIK, LOC108078617|XP_017028029.1|DKIK	LOC120418437|XP_039436779.1|CPIP
OG0000516	LOC108079189|XP_017028935.1|DKIK, LOC108079188|XP_017028934.1|DKIK	LOC120425668|XP_039446186.1|CPIP, LOC120425662|XP_039446176.1|CPIP, LOC120425669|XP_039446187.1|CPIP
OG0000517	LOC108083663|XP_017035025.1|DKIK, LOC108083662|XP_017035024.1|DKIK	LOC120415407|XP_039432869.1|CPIP, LOC120415408|XP_039432870.1|CPIP
OG0000521	LOC108082937|XP_017034033.1|DKIK, LOC108082900|XP_017033972.1|DKIK	LOC120415088|XP_039432438.1|CPIP
OG0000522	LOC108085396|XP_017037453.1|DKIK, LOC108083609|XP_017034970.1|DKIK	LOC120431780|XP_039452835.1|CPIP, LOC120414515|XP_039431656.1|CPIP
OG0000523	LOC108074183|XP_017021609.1|DKIK	LOC120414519|XP_039431662.1|CPIP
OG0000524	LOC108073650|XP_017020869.1|DKIK, LOC108083745|XP_017035150.1|DKIK, LOC108077615|XP_017026511.1|DKIK, LOC108077841|XP_017026857.1|DKIK	LOC120428395|XP_039449339.1|CPIP
OG0000525	LOC108077961|XP_017026990.1|DKIK, LOC108078079|XP_017027155.1|DKIK	LOC120430954|XP_039452016.1|CPIP, LOC120430952|XP_039452011.1|CPIP
OG0000526	LOC108075598|XP_017023609.1|DKIK, LOC108083996|XP_017035502.1|DKIK	LOC120422198|XP_039441514.1|CPIP
OG0000527	LOC108086082|XP_017038389.1|DKIK, LOC108086168|XP_017038519.1|DKIK	LOC120415668|XP_039433183.1|CPIP
OG0000528	LOC108082197|XP_017033009.1|DKIK	LOC120413594|XP_039430436.1|CPIP, LOC120418630|XP_039437007.1|CPIP, LOC120418634|XP_039437013.1|CPIP, LOC120418635|XP_039437015.1|CPIP, LOC120418638|XP_039437017.1|CPIP
OG0000529	LOC108077335|XP_017026113.1|DKIK, LOC108081382|XP_017032028.1|DKIK	LOC120420612|XP_039439623.1|CPIP
OG0000530	LOC108073264|XP_017020311.1|DKIK, LOC108075126|XP_017022898.1|DKIK	LOC120420815|XP_039439870.1|CPIP
OG0000531	LOC108081471|XP_017032156.1|DKIK, LOC108074321|XP_017021810.1|DKIK	LOC120418596|XP_039436976.1|CPIP
OG0000532	LOC108081474|XP_017032161.1|DKIK, LOC108081490|XP_017032177.1|DKIK	LOC120415086|XP_039432439.1|CPIP
OG0000533	LOC108074179|XP_017021605.1|DKIK	LOC120427980|XP_039448871.1|CPIP
OG0000533	LOC108083184|XP_017034371.1|DKIK	LOC120423795|XP_039443648.1|CPIP
OG0000535	LOC108072895|XP_017019708.1|DKIK, LOC108078405|XP_017027751.1|DKIK	LOC120419938|XP_039438736.1|CPIP
OG0000536	LOC108085983|XP_017038273.1|DKIK	LOC120420853|XP_039439905.1|CPIP, LOC120429579|XP_039450557.1|CPIP, LOC120429576|XP_039450554.1|CPIP
OG0000537	LOC108081340|XP_017031970.1|DKIK	LOC120412729|XP_039429253.1|CPIP
OG0000538	LOC108078003|XP_017027045.1|DKIK, LOC108082499|XP_017033408.1|DKIK	LOC120415393|XP_039432853.1|CPIP
OG0000539	LOC108085851|XP_017038098.1|DKIK, LOC108085840|XP_017038086.1|DKIK	LOC120423804|XP_039443655.1|CPIP
OG0000542	LOC108072052|XP_017018534.1|DKIK, LOC108085121|XP_017037152.1|DKIK	LOC120415062|XP_039432384.1|CPIP
OG0000543	LOC108080291|XP_017030452.1|DKIK, LOC108076794|XP_017025304.1|DKIK	LOC120414176|XP_039431183.1|CPIP, LOC120414177|XP_039431184.1|CPIP
OG0000544	LOC108079123|XP_017028855.1|DKIK, LOC108074099|XP_017021482.1|DKIK	LOC120413340|XP_039430050.1|CPIP
OG0000545	LOC108075398|XP_017023309.1|DKIK, LOC108075645|XP_017023678.1|DKIK	LOC120432499|XP_039453646.1|CPIP, LOC120430290|XP_039451318.1|CPIP
OG0000546	LOC108084378|XP_017036054.1|DKIK, LOC108083522|XP_017034844.1|DKIK, LOC108079245|XP_017029019.1|DKIK	LOC120425411|XP_039445875.1|CPIP
OG0000547	LOC108084471|XP_017036174.1|DKIK	LOC120429775|XP_039450766.1|CPIP
OG0000548	LOC108085792|XP_017038029.1|DKIK, LOC108085791|XP_017038028.1|DKIK	LOC120420653|XP_039439671.1|CPIP
OG0000549	LOC108076479|XP_017024857.1|DKIK	LOC120429126|XP_039450252.1|CPIP, LOC120429130|XP_039450259.1|CPIP, LOC120429127|XP_039450254.1|CPIP
OG0000550	LOC108079069|XP_017028772.1|DKIK, LOC108079054|XP_017028750.1|DKIK	LOC120430650|XP_039451689.1|CPIP, LOC120425137|XP_039445498.1|CPIP
OG0000552	LOC108085919|XP_017038183.1|DKIK, LOC108085913|XP_017038175.1|DKIK	LOC120430491|XP_039451519.1|CPIP, LOC120417370|XP_039435317.1|CPIP
OG0000553	LOC108077083|XP_017025740.1|DKIK	LOC120428198|XP_039449114.1|CPIP, LOC120428547|XP_039449516.1|CPIP, LOC120428493|XP_039449443.1|CPIP
OG0000554	LOC108081171|XP_017031716.1|DKIK, LOC108081172|XP_017031717.1|DKIK	LOC120420637|XP_039439649.1|CPIP
OG0000555	LOC108078648|XP_017028068.1|DKIK, LOC108079897|XP_017029914.1|DKIK	LOC120415906|XP_039433483.1|CPIP
OG0000556	LOC108080353|XP_017030546.1|DKIK, LOC108081229|XP_017031794.1|DKIK	LOC120417500|XP_039435511.1|CPIP
OG0000557	LOC108080430|XP_017030652.1|DKIK, LOC108080431|XP_017030653.1|DKIK	LOC120413021|XP_039429623.1|CPIP
OG0000558	LOC108080944|XP_017031338.1|DKIK, LOC108071723|XP_017018036.1|DKIK	LOC120427435|XP_039448225.1|CPIP
OG0000559	LOC108085900|XP_017038154.1|DKIK, LOC108083011|XP_017034125.1|DKIK	LOC120426477|XP_039447174.1|CPIP
OG0000560	LOC108081832|XP_017032562.1|DKIK, LOC108081831|XP_017032561.1|DKIK	LOC120420416|XP_039439369.1|CPIP
OG0000561	LOC108070495|XP_017016479.1|DKIK, LOC108070492|XP_017016474.1|DKIK	LOC120429693|XP_039450666.1|CPIP
OG0000562	LOC108073960|XP_017021286.1|DKIK, LOC108073994|XP_017021336.1|DKIK	LOC120420548|XP_039439551.1|CPIP
OG0000566	LOC108071462|XP_017017713.1|DKIK, LOC108075244|XP_017023090.1|DKIK	LOC120415037|XP_039432342.1|CPIP
OG0000567	LOC108084641|XP_017036421.1|DKIK	LOC120432277|XP_039453398.1|CPIP
OG0000567	LOC108084683|XP_017036504.1|DKIK	LOC120432280|XP_039453400.1|CPIP
OG0000568	LOC108085757|XP_017037985.1|DKIK, LOC108083804|XP_017035235.1|DKIK, LOC108077780|XP_017026767.1|DKIK	LOC120430557|XP_039451606.1|CPIP, LOC120416898|XP_039434730.1|CPIP
OG0000570	LOC108077843|XP_017026860.1|DKIK, LOC108077850|XP_017026871.1|DKIK	LOC120418345|XP_039436631.1|CPIP
OG0000571	LOC108077621|XP_017026518.1|DKIK, LOC108077798|XP_017026802.1|DKIK	LOC120422115|XP_039441417.1|CPIP
OG0000572	LOC108083921|XP_017035405.1|DKIK, LOC108083922|XP_017035408.1|DKIK	LOC120417835|XP_039435984.1|CPIP
OG0000573	LOC108075269|XP_017023129.1|DKIK, LOC108076428|XP_017024771.1|DKIK	LOC120416539|XP_039434194.1|CPIP
OG0000574	LOC108078692|XP_017028132.1|DKIK, LOC108073352|XP_017020408.1|DKIK	LOC120413383|XP_039430115.1|CPIP
OG0000575	LOC108070476|XP_017016449.1|DKIK, LOC108070487|XP_017016467.1|DKIK	LOC120426920|XP_039447658.1|CPIP
OG0000576	LOC108085409|XP_017037467.1|DKIK, LOC108085392|XP_017037449.1|DKIK	LOC120432079|XP_039453146.1|CPIP, LOC120418632|XP_039437011.1|CPIP
OG0000577	LOC108079610|XP_017029463.1|DKIK	LOC120412653|XP_039429141.1|CPIP
OG0000578	LOC108077257|XP_017026013.1|DKIK, LOC108086146|XP_017038495.1|DKIK	LOC120420633|XP_039439643.1|CPIP
OG0000579	LOC108077659|XP_017026564.1|DKIK, LOC108070421|XP_017016364.1|DKIK	LOC120429903|XP_039450930.1|CPIP
OG0000580	LOC108081497|XP_017032201.1|DKIK, LOC108081477|XP_017032163.1|DKIK, LOC108081498|XP_017032202.1|DKIK	LOC120413757|XP_039430626.1|CPIP
OG0000581	LOC108084863|XP_017036739.1|DKIK	LOC120413933|XP_039430859.1|CPIP
OG0000582	LOC108082435|XP_017033298.1|DKIK, LOC108076617|XP_017025032.1|DKIK	LOC120424290|XP_039444311.1|CPIP
OG0000583	LOC108074226|XP_017021659.1|DKIK, LOC108074225|XP_017021658.1|DKIK	LOC120416812|XP_039434621.1|CPIP
OG0000589	LOC108071756|XP_017018070.1|DKIK	LOC120426454|XP_039447150.1|CPIP
OG0000590	LOC108079397|XP_017029211.1|DKIK	LOC120421456|XP_039440638.1|CPIP
OG0000592	LOC108076818|XP_017025338.1|DKIK, LOC108074668|XP_017022276.1|DKIK	LOC120413276|XP_039429940.1|CPIP
OG0000593	LOC108075714|XP_017023734.1|DKIK, LOC108084251|XP_017035882.1|DKIK	LOC120429571|XP_039450551.1|CPIP
OG0000594	LOC108075727|XP_017023755.1|DKIK, LOC108080439|XP_017030663.1|DKIK	LOC120416509|XP_039434164.1|CPIP
OG0000595	LOC108074078|XP_017021444.1|DKIK, LOC108084252|XP_017035879.1|DKIK	LOC120422557|XP_039441970.1|CPIP
OG0000596	LOC108080341|XP_017030530.1|DKIK, LOC108073310|XP_017020359.1|DKIK	LOC120432526|XP_039453677.1|CPIP
OG0000597	LOC108081090|XP_017031569.1|DKIK, LOC108075666|XP_017023704.1|DKIK, LOC108086015|XP_017038315.1|DKIK	LOC120420728|XP_039439757.1|CPIP
OG0000598	LOC108084589|XP_017036353.1|DKIK	LOC120428012|XP_039448916.1|CPIP, LOC120424605|XP_039444698.1|CPIP, LOC120424609|XP_039444703.1|CPIP, LOC120424607|XP_039444701.1|CPIP, LOC120424608|XP_039444702.1|CPIP, LOC120424606|XP_039444700.1|CPIP
OG0000599	LOC108073360|XP_017020413.1|DKIK, LOC108073267|XP_017020313.1|DKIK	LOC120420911|XP_039439970.1|CPIP, LOC120415914|XP_039433494.1|CPIP
OG0000600	LOC108081263|XP_017031846.1|DKIK, LOC108081210|XP_017031772.1|DKIK	LOC120420913|XP_039439972.1|CPIP
OG0000601	LOC108075836|XP_017023900.1|DKIK, LOC108085347|XP_017037405.1|DKIK	LOC120417482|XP_039435492.1|CPIP
OG0000602	LOC108072498|XP_017019154.1|DKIK, LOC108072504|XP_017019164.1|DKIK	LOC120422812|XP_039442286.1|CPIP
OG0000603	LOC108074609|XP_017022218.1|DKIK, LOC108079639|XP_017029514.1|DKIK	LOC120413865|XP_039430763.1|CPIP
OG0000604	LOC108086255|XP_017038629.1|DKIK, LOC108086257|XP_017038630.1|DKIK	LOC120414592|XP_039431765.1|CPIP
OG0000605	LOC108081367|XP_017032009.1|DKIK	LOC120418707|XP_039437110.1|CPIP, LOC120418728|XP_039437137.1|CPIP, LOC120418709|XP_039437111.1|CPIP, LOC120418710|XP_039437112.1|CPIP
OG0000606	LOC108073322|XP_017020372.1|DKIK	LOC120423379|XP_039443097.1|CPIP
OG0000607	LOC108071464|XP_017017716.1|DKIK, LOC108083212|XP_017034410.1|DKIK	LOC120431344|XP_039452409.1|CPIP, LOC120420947|XP_039440017.1|CPIP
OG0000608	LOC108072009|XP_017018476.1|DKIK, LOC108078823|XP_017028403.1|DKIK	LOC120421236|XP_039440368.1|CPIP
OG0000609	LOC108074395|XP_017021909.1|DKIK, LOC108079563|XP_017029393.1|DKIK, LOC108075615|XP_017023640.1|DKIK, LOC108076057|XP_017024232.1|DKIK	LOC120413039|XP_039429662.1|CPIP
OG0000610	LOC108085528|XP_017037648.1|DKIK, LOC108072279|XP_017018833.1|DKIK	LOC120420855|XP_039439908.1|CPIP
OG0000611	LOC108078251|XP_017027469.1|DKIK, LOC108076520|XP_017024918.1|DKIK	LOC120418459|XP_039436820.1|CPIP
OG0000614	LOC108080098|XP_017030195.1|DKIK	LOC120427646|XP_039448487.1|CPIP
OG0000615	LOC108084268|XP_017035916.1|DKIK, LOC108084201|XP_017035801.1|DKIK	LOC120420221|XP_039439143.1|CPIP
OG0000616	LOC108083591|XP_017034940.1|DKIK, LOC108083607|XP_017034967.1|DKIK	LOC120413329|XP_039430041.1|CPIP, LOC120429858|XP_039450900.1|CPIP
OG0000617	LOC108083732|XP_017035129.1|DKIK, LOC108077690|XP_017026613.1|DKIK	LOC120423848|XP_039443730.1|CPIP
OG0000618	LOC108075303|XP_017023192.1|DKIK	LOC120427285|XP_039448067.1|CPIP
OG0000619	LOC108082559|XP_017033498.1|DKIK	LOC120429166|XP_039450308.1|CPIP, LOC120415620|XP_039433151.1|CPIP
OG0000620	LOC108080056|XP_017030128.1|DKIK, LOC108078775|XP_017028306.1|DKIK	LOC120428697|XP_039449702.1|CPIP
OG0000621	LOC108084140|XP_017035673.1|DKIK, LOC108085770|XP_017038004.1|DKIK	LOC120417806|XP_039435939.1|CPIP
OG0000622	LOC108079023|XP_017028691.1|DKIK, LOC108078615|XP_017028027.1|DKIK	LOC120412871|XP_039429435.1|CPIP
OG0000624	LOC108081185|XP_017031733.1|DKIK, LOC108081184|XP_017031732.1|DKIK	LOC120412594|XP_039429062.1|CPIP
OG0000625	LOC108084418|XP_017036112.1|DKIK, LOC108084393|XP_017036076.1|DKIK	LOC120420027|XP_039438860.1|CPIP
OG0000627	LOC108071875|XP_017018292.1|DKIK, LOC108076113|XP_017024328.1|DKIK	LOC120427326|XP_039448110.1|CPIP
OG0000628	LOC108086261|XP_017038635.1|DKIK, LOC108076896|XP_017025418.1|DKIK	LOC120418965|XP_039437444.1|CPIP
OG0000629	LOC108081482|XP_017032170.1|DKIK, LOC108081399|XP_017032048.1|DKIK	LOC120419834|XP_039438602.1|CPIP
OG0000630	LOC108082830|XP_017033879.1|DKIK, LOC108082796|XP_017033835.1|DKIK	LOC120412813|XP_039429349.1|CPIP
OG0000631	LOC108074611|XP_017022223.1|DKIK, LOC108072625|XP_017019343.1|DKIK	LOC120416872|XP_039434701.1|CPIP
OG0000632	LOC108076936|XP_017025472.1|DKIK, LOC108074390|XP_017021903.1|DKIK	LOC120431988|XP_039453059.1|CPIP, LOC120419672|XP_039438376.1|CPIP
OG0000635	LOC108084176|XP_017035757.1|DKIK, LOC108079714|XP_017029611.1|DKIK	LOC120417897|XP_039436052.1|CPIP
OG0000636	LOC108082705|XP_017033702.1|DKIK, LOC108082716|XP_017033713.1|DKIK	LOC120427318|XP_039448105.1|CPIP
OG0000637	LOC108075983|XP_017024125.1|DKIK, LOC108076118|XP_017024335.1|DKIK	LOC120419435|XP_039438048.1|CPIP, LOC120423148|XP_039442763.1|CPIP
OG0000638	LOC108084584|XP_017036347.1|DKIK, LOC108084497|XP_017036225.1|DKIK	LOC120421466|XP_039440616.1|CPIP
OG0000639	LOC108085804|XP_017038040.1|DKIK	LOC120429394|XP_039450481.1|CPIP
OG0000646	LOC108084599|XP_017036366.1|DKIK, LOC108081121|XP_017031617.1|DKIK	LOC120424024|XP_039443974.1|CPIP
OG0000647	LOC108070657|XP_017016714.1|DKIK, LOC108085755|XP_017037983.1|DKIK	LOC120417689|XP_039435759.1|CPIP
OG0000648	LOC108084297|XP_017035952.1|DKIK	LOC120420178|XP_039439085.1|CPIP
OG0000649	LOC108083604|XP_017034962.1|DKIK, LOC108083350|XP_017034583.1|DKIK	LOC120429957|XP_039450983.1|CPIP
OG0000650	LOC108084541|XP_017036267.1|DKIK	LOC120420233|XP_039439156.1|CPIP
OG0000651	LOC108078903|XP_017028525.1|DKIK, LOC108073486|XP_017020633.1|DKIK	LOC120425481|XP_039445952.1|CPIP
OG0000652	LOC108076803|XP_017025318.1|DKIK, LOC108079433|XP_017029256.1|DKIK	LOC120425999|XP_039446591.1|CPIP
OG0000653	LOC108077719|XP_017026659.1|DKIK, LOC108079129|XP_017028866.1|DKIK	LOC120427412|XP_039448210.1|CPIP, LOC120427411|XP_039448209.1|CPIP
OG0000654	LOC108078754|XP_017028271.1|DKIK	LOC120430316|XP_039451343.1|CPIP
OG0000655	LOC108078258|XP_017027484.1|DKIK, LOC108077401|XP_017026189.1|DKIK, LOC108085750|XP_017037975.1|DKIK	LOC120418498|XP_039436869.1|CPIP
OG0000657	LOC108078517|XP_017027916.1|DKIK, LOC108086102|XP_017038417.1|DKIK	LOC120414701|XP_039431934.1|CPIP
OG0000658	LOC108083861|XP_017035336.1|DKIK, LOC108075610|XP_017023632.1|DKIK	LOC120421966|XP_039441212.1|CPIP
OG0000659	LOC108075870|XP_017023962.1|DKIK, LOC108083490|XP_017034778.1|DKIK	LOC120428322|XP_039449253.1|CPIP
OG0000660	LOC108076373|XP_017024672.1|DKIK	LOC120432453|XP_039453605.1|CPIP
OG0000661	LOC108071541|XP_017017805.1|DKIK, LOC108077120|XP_017025809.1|DKIK	LOC120427094|XP_039447878.1|CPIP
OG0000663	LOC108072370|XP_017018956.1|DKIK	LOC120412947|XP_039429520.1|CPIP
OG0000664	LOC108071230|XP_017017403.1|DKIK	LOC120423934|XP_039443852.1|CPIP
OG0000665	LOC108073299|XP_017020343.1|DKIK, LOC108073369|XP_017020422.1|DKIK	LOC120426832|XP_039447553.1|CPIP
OG0000666	LOC108084127|XP_017035658.1|DKIK, LOC108079237|XP_017029009.1|DKIK	LOC120414520|XP_039431665.1|CPIP
OG0000667	LOC108071691|XP_017017994.1|DKIK, LOC108081509|XP_017032217.1|DKIK	LOC120424397|XP_039444429.1|CPIP
OG0000668	LOC108084170|XP_017035745.1|DKIK	LOC120417871|XP_039436025.1|CPIP
OG0000669	LOC108079134|XP_017028871.1|DKIK, LOC108079183|XP_017028924.1|DKIK	LOC120425665|XP_039446184.1|CPIP
OG0000670	LOC108082858|XP_017033924.1|DKIK, LOC108084682|XP_017036503.1|DKIK	LOC120425162|XP_039445530.1|CPIP
OG0000671	LOC108071215|XP_017017385.1|DKIK, LOC108077687|XP_017026608.1|DKIK	LOC120432663|XP_039453843.1|CPIP
OG0000672	LOC108075092|XP_017022863.1|DKIK, LOC108083372|XP_017034606.1|DKIK	LOC120423756|XP_039443605.1|CPIP
OG0000673	LOC108083475|XP_017034754.1|DKIK, LOC108083097|XP_017034239.1|DKIK	LOC120428930|XP_039450008.1|CPIP
OG0000677	LOC108073822|XP_017021091.1|DKIK, LOC108074131|XP_017021520.1|DKIK	LOC120417794|XP_039435946.1|CPIP
OG0000678	LOC108071447|XP_017017690.1|DKIK, LOC108079157|XP_017028898.1|DKIK	LOC120413326|XP_039430034.1|CPIP
OG0000679	LOC108071699|XP_017018002.1|DKIK	LOC120422653|XP_039442092.1|CPIP, LOC120422642|XP_039442078.1|CPIP, LOC120422622|XP_039442048.1|CPIP, LOC120429663|XP_039450627.1|CPIP, LOC120413474|XP_039430247.1|CPIP, LOC120413498|XP_039430289.1|CPIP
OG0000680	LOC108084638|XP_017036414.1|DKIK, LOC108084675|XP_017036492.1|DKIK	LOC120425607|XP_039446150.1|CPIP
OG0000681	LOC108085641|XP_017037815.1|DKIK, LOC108080288|XP_017030446.1|DKIK	LOC120418081|XP_039436271.1|CPIP, LOC120419864|XP_039438646.1|CPIP
OG0000683	LOC108084603|XP_017036374.1|DKIK, LOC108084534|XP_017036259.1|DKIK	LOC120421815|XP_039441026.1|CPIP, LOC120427907|XP_039448781.1|CPIP, LOC120420753|XP_039439789.1|CPIP
OG0000684	LOC108080442|XP_017030667.1|DKIK, LOC108081086|XP_017031564.1|DKIK	LOC120430224|XP_039451238.1|CPIP
OG0000685	LOC108085236|XP_017037268.1|DKIK, LOC108075614|XP_017023636.1|DKIK	LOC120414285|XP_039431349.1|CPIP
OG0000686	LOC108070538|XP_017016553.1|DKIK, LOC108078985|XP_017028650.1|DKIK	LOC120423501|XP_039443275.1|CPIP
OG0000687	LOC108082131|XP_017032922.1|DKIK, LOC108075059|XP_017022829.1|DKIK	LOC120413459|XP_039430230.1|CPIP
OG0000688	LOC108072914|XP_017019733.1|DKIK	LOC120431079|XP_039452165.1|CPIP, LOC120417409|XP_039435385.1|CPIP
OG0000689	LOC108073146|XP_017020143.1|DKIK, LOC108073145|XP_017020142.1|DKIK	LOC120431213|XP_039452290.1|CPIP
OG0000690	LOC108079228|XP_017029000.1|DKIK	LOC120417154|XP_039435072.1|CPIP, LOC120414453|XP_039431575.1|CPIP, LOC120415957|XP_039433533.1|CPIP, LOC120421238|XP_039440371.1|CPIP, LOC120417133|XP_039435047.1|CPIP
OG0000691	LOC108074812|XP_017022497.1|DKIK, LOC108085522|XP_017037643.1|DKIK	LOC120426138|XP_039446786.1|CPIP
OG0000692	LOC108071478|XP_017017726.1|DKIK, LOC108071479|XP_017017727.1|DKIK	LOC120412572|XP_039429020.1|CPIP, LOC120412641|XP_039429129.1|CPIP
OG0000694	LOC108080146|XP_017030269.1|DKIK, LOC108073998|XP_017021340.1|DKIK	LOC120415917|XP_039433497.1|CPIP
OG0000695	LOC108082751|XP_017033756.1|DKIK, LOC108082750|XP_017033755.1|DKIK	LOC120421982|XP_039441225.1|CPIP
OG0000696	LOC108085253|XP_017037293.1|DKIK, LOC108076939|XP_017025476.1|DKIK	LOC120430944|XP_039452001.1|CPIP
OG0000697	LOC108080046|XP_017030114.1|DKIK, LOC108082242|XP_017033070.1|DKIK	LOC120428099|XP_039449017.1|CPIP
OG0000698	LOC108074270|XP_017021730.1|DKIK, LOC108074264|XP_017021724.1|DKIK	LOC120412844|XP_039429401.1|CPIP
OG0000699	LOC108072863|XP_017019669.1|DKIK, LOC108083649|XP_017035010.1|DKIK	LOC120427812|XP_039448668.1|CPIP
OG0000700	LOC108079104|XP_017028827.1|DKIK, LOC108077455|XP_017026266.1|DKIK	LOC120422038|XP_039441297.1|CPIP
OG0000701	LOC108070795|XP_017016884.1|DKIK, LOC108071853|XP_017018260.1|DKIK	LOC120432450|XP_039453600.1|CPIP
OG0000702	LOC108077600|XP_017026483.1|DKIK, LOC108082899|XP_017034041.1|DKIK	LOC120429861|XP_039450866.1|CPIP
