Orthogroup	DKIK.longest_only	ASTE.longest_only
OG0001828	LOC108083831|XP_017035292.1|DKIK	LOC118505912|XP_035898264.1|ASTE
OG0001829	LOC108082333|XP_017033152.1|DKIK	LOC118517209|XP_035919064.1|ASTE, LOC118507913|XP_035903099.1|ASTE
OG0001830	LOC108086141|XP_017038486.1|DKIK	LOC118505776|XP_035897940.1|ASTE
OG0001831	LOC108080601|XP_017030909.1|DKIK	LOC118504166|XP_035894196.1|ASTE, LOC118504167|XP_035894201.1|ASTE
OG0001832	LOC108071202|XP_017017372.1|DKIK	LOC118503535|XP_035892814.1|ASTE
OG0001833	LOC108071991|XP_017018454.1|DKIK	LOC118503397|XP_035892492.1|ASTE
OG0001834	LOC108075532|XP_017023518.1|DKIK	LOC118504457|XP_035894845.1|ASTE, LOC118503601|XP_035892965.1|ASTE, LOC118512858|XP_035913834.1|ASTE
OG0001837	LOC108080258|XP_017030408.1|DKIK, LOC108072669|XP_017019393.1|DKIK, LOC108080413|XP_017030638.1|DKIK	LOC118509598|XP_035906281.1|ASTE
OG0001848	LOC108081262|XP_017031848.1|DKIK, LOC108075353|XP_017023250.1|DKIK	LOC118513372|XP_035914900.1|ASTE
OG0001849	LOC108084578|XP_017036341.1|DKIK	LOC118504814|XP_035895711.1|ASTE, LOC118504813|XP_035895710.1|ASTE
OG0001850	LOC108084518|XP_017036241.1|DKIK	LOC118509662|XP_035906527.1|ASTE
OG0001851	LOC108082645|XP_017033607.1|DKIK	LOC118509524|XP_035906130.1|ASTE
OG0001852	LOC108078668|XP_017028092.1|DKIK	LOC118509475|XP_035906008.1|ASTE
OG0001853	LOC108085576|XP_017037704.1|DKIK	LOC118509380|XP_035905817.1|ASTE
OG0001854	LOC108085067|XP_017037022.1|DKIK	LOC118517529|XP_035919655.1|ASTE
OG0001855	LOC108076147|XP_017024363.1|DKIK	LOC118511958|XP_035911573.1|ASTE
OG0001856	LOC108083789|XP_017035203.1|DKIK	LOC118505541|XP_035897369.1|ASTE, LOC118505545|XP_035897383.1|ASTE
OG0001857	LOC108080163|XP_017030295.1|DKIK	LOC118517503|XP_035919611.1|ASTE
OG0001858	LOC108082959|XP_017034065.1|DKIK	LOC118515515|XP_035917926.1|ASTE
OG0001859	LOC108084640|XP_017036420.1|DKIK	LOC118515902|XP_035917969.1|ASTE
OG0001860	LOC108080685|XP_017031007.1|DKIK	LOC118510558|XP_035908434.1|ASTE
OG0001861	LOC108073434|XP_017020585.1|DKIK	LOC118506584|XP_035899832.1|ASTE
OG0001862	LOC108074190|XP_017021621.1|DKIK	LOC118512568|XP_035913060.1|ASTE, LOC118516436|XP_035918211.1|ASTE
OG0001863	LOC108080124|XP_017030244.1|DKIK	LOC118502521|XP_035890675.1|ASTE
OG0001864	LOC108075489|XP_017023433.1|DKIK	LOC118502696|XP_035891112.1|ASTE
OG0001865	LOC108076631|XP_017025050.1|DKIK	LOC118510313|XP_035907844.1|ASTE
OG0001866	LOC108081235|XP_017031806.1|DKIK	LOC118509981|XP_035907254.1|ASTE, LOC118517439|XP_035919465.1|ASTE
OG0001867	LOC108071914|XP_017018350.1|DKIK	LOC118507545|XP_035902021.1|ASTE, LOC118508521|XP_035904269.1|ASTE
OG0001868	LOC108073623|XP_017020812.1|DKIK	LOC118517415|XP_035919411.1|ASTE
OG0001869	LOC108071259|XP_017017434.1|DKIK	LOC118517411|XP_035919386.1|ASTE, LOC118504806|XP_035895694.1|ASTE
OG0001870	LOC108084466|XP_017036166.1|DKIK	LOC118505043|XP_035896191.1|ASTE
OG0001871	LOC108080299|XP_017030461.1|DKIK	LOC118511316|XP_035910126.1|ASTE
OG0001872	LOC108073744|XP_017020996.1|DKIK	LOC118517586|XP_035919758.1|ASTE
OG0001873	LOC108073462|XP_017020587.1|DKIK	LOC118502801|XP_035891314.1|ASTE
OG0001874	LOC108073414|XP_017020508.1|DKIK	LOC118512878|XP_035913869.1|ASTE, LOC118512869|XP_035913857.1|ASTE
OG0001875	LOC108073674|XP_017020889.1|DKIK	LOC118505059|XP_035896232.1|ASTE
OG0001876	LOC108084712|XP_017036536.1|DKIK, LOC108084514|XP_017036239.1|DKIK	LOC118505620|XP_035897575.1|ASTE
OG0001877	LOC108078988|XP_017028652.1|DKIK	LOC118511185|XP_035909840.1|ASTE
OG0001878	LOC108074103|XP_017021490.1|DKIK	LOC118513042|XP_035914227.1|ASTE, LOC118516541|XP_035918379.1|ASTE
OG0001879	LOC108073545|XP_017020717.1|DKIK	LOC118504755|XP_035895569.1|ASTE
OG0001880	LOC108084625|XP_017036402.1|DKIK	LOC118508454|XP_035904149.1|ASTE
OG0001881	LOC108084096|XP_017035612.1|DKIK	LOC118507542|XP_035902014.1|ASTE
OG0001882	LOC108085050|XP_017036999.1|DKIK	LOC118507538|XP_035902008.1|ASTE
OG0001883	LOC108071294|XP_017017482.1|DKIK	LOC118506779|XP_035900279.1|ASTE
OG0001884	LOC108071317|XP_017017514.1|DKIK, LOC108081610|XP_017032318.1|DKIK	LOC118506780|XP_035900285.1|ASTE
OG0001885	LOC108082240|XP_017033066.1|DKIK	LOC118512936|XP_035914012.1|ASTE
OG0001886	LOC108073418|XP_017020525.1|DKIK	LOC118502907|XP_035891521.1|ASTE
OG0001887	LOC108078247|XP_017027459.1|DKIK	LOC118502569|XP_035890784.1|ASTE
OG0001888	LOC108075589|XP_017023599.1|DKIK	LOC118502568|XP_035890783.1|ASTE
OG0001889	LOC108074160|XP_017021558.1|DKIK	LOC118502846|XP_035891435.1|ASTE
OG0001890	LOC108075070|XP_017022840.1|DKIK	LOC118505228|XP_035896649.1|ASTE
OG0001891	LOC108084021|XP_017035522.1|DKIK	LOC118505829|XP_035898072.1|ASTE
OG0001892	LOC108079921|XP_017029943.1|DKIK, LOC108073953|XP_017021267.1|DKIK	LOC118507471|XP_035901866.1|ASTE
OG0001893	LOC108083981|XP_017035481.1|DKIK	LOC118517612|XP_035919801.1|ASTE
OG0001894	LOC108076730|XP_017025197.1|DKIK	LOC118502737|XP_035891194.1|ASTE
OG0001895	LOC108072470|XP_017019116.1|DKIK	LOC118517179|XP_035918977.1|ASTE, LOC118504673|XP_035895356.1|ASTE
OG0001896	LOC108083536|XP_017034868.1|DKIK	LOC118504211|XP_035894295.1|ASTE
OG0001897	LOC108075601|XP_017023612.1|DKIK	LOC118503289|XP_035892271.1|ASTE
OG0001898	LOC108083562|XP_017034906.1|DKIK	LOC118506902|XP_035900578.1|ASTE
OG0001899	LOC108085725|XP_017037938.1|DKIK	LOC118505189|XP_035896537.1|ASTE
OG0001900	LOC108083250|XP_017034445.1|DKIK, LOC108083249|XP_017034443.1|DKIK	LOC118511635|XP_035910841.1|ASTE, LOC118506007|XP_035898485.1|ASTE
OG0001901	LOC108075966|XP_017024107.1|DKIK	LOC118506440|XP_035899461.1|ASTE
OG0001902	LOC108084499|XP_017036226.1|DKIK	LOC118502669|XP_035891033.1|ASTE
OG0001903	LOC108077627|XP_017026526.1|DKIK	LOC118507507|XP_035901939.1|ASTE
OG0001904	LOC108084164|XP_017035732.1|DKIK	LOC118507779|XP_035902707.1|ASTE
OG0001905	LOC108082643|XP_017033606.1|DKIK	LOC118508456|XP_035904151.1|ASTE
OG0001906	LOC108084847|XP_017036710.1|DKIK	LOC118504404|XP_035894725.1|ASTE
OG0001907	LOC108083571|XP_017034916.1|DKIK	LOC118505220|XP_035896630.1|ASTE
OG0001908	LOC108083734|XP_017035131.1|DKIK	LOC118503469|XP_035892656.1|ASTE
OG0001909	LOC108071818|XP_017018213.1|DKIK	LOC118507734|XP_035902596.1|ASTE
OG0001910	LOC108084241|XP_017035864.1|DKIK	LOC118511959|XP_035911574.1|ASTE
OG0001911	LOC108077708|XP_017026648.1|DKIK	LOC118502984|XP_035891662.1|ASTE
OG0001912	LOC108073081|XP_017020038.1|DKIK	LOC118508008|XP_035903286.1|ASTE, LOC118508010|XP_035903287.1|ASTE
OG0001914	LOC108084544|XP_017036272.1|DKIK	LOC118503589|XP_035892926.1|ASTE
OG0001915	LOC108075210|XP_017023035.1|DKIK	LOC118512060|XP_035911813.1|ASTE
OG0001916	LOC108082561|XP_017033500.1|DKIK	LOC118511475|XP_035910503.1|ASTE
OG0001917	LOC108070544|XP_017016559.1|DKIK	LOC118513127|XP_035914437.1|ASTE
OG0001918	LOC108079814|XP_017029786.1|DKIK	LOC118517011|XP_035918748.1|ASTE, LOC118514166|XP_035916721.1|ASTE
OG0001919	LOC108076500|XP_017024882.1|DKIK	LOC118512184|XP_035912168.1|ASTE
OG0001920	LOC108079050|XP_017028743.1|DKIK	LOC118512170|XP_035912147.1|ASTE
OG0001921	LOC108070756|XP_017016842.1|DKIK	LOC118517010|XP_035918746.1|ASTE, LOC118508920|XP_035904676.1|ASTE
OG0001922	LOC108076354|XP_017024639.1|DKIK	LOC118512105|XP_035911969.1|ASTE
OG0001924	LOC108072393|XP_017018992.1|DKIK	LOC118512164|XP_035912136.1|ASTE
OG0001926	LOC108078722|XP_017028208.1|DKIK	LOC118510487|XP_035908262.1|ASTE
OG0001927	LOC108082423|XP_017033278.1|DKIK	LOC118510530|XP_035908368.1|ASTE
OG0001928	LOC108071885|XP_017018303.1|DKIK	LOC118510560|XP_035908437.1|ASTE
OG0001929	LOC108071906|XP_017018327.1|DKIK	LOC118510461|XP_035908189.1|ASTE
OG0001930	LOC108081091|XP_017031567.1|DKIK	LOC118508898|XP_035904629.1|ASTE
OG0001932	LOC108072728|XP_017019477.1|DKIK, LOC108075992|XP_017024134.1|DKIK	LOC118510460|XP_035908185.1|ASTE
OG0001933	LOC108073016|XP_017019963.1|DKIK	LOC118509537|XP_035906156.1|ASTE
OG0001934	LOC108071971|XP_017018435.1|DKIK	LOC118509431|XP_035905913.1|ASTE
OG0001935	LOC108078905|XP_017028527.1|DKIK, LOC108078904|XP_017028526.1|DKIK	LOC118513097|XP_035914391.1|ASTE
OG0001937	LOC108073108|XP_017020088.1|DKIK	LOC118509494|XP_035906042.1|ASTE
OG0001938	LOC108078416|XP_017027769.1|DKIK	LOC118509934|XP_035907157.1|ASTE
OG0001939	LOC108077983|XP_017027015.1|DKIK	LOC118509773|XP_035906805.1|ASTE
OG0001940	LOC108084078|XP_017035592.1|DKIK	LOC118509670|XP_035906552.1|ASTE
OG0001941	LOC108079051|XP_017028746.1|DKIK	LOC118516419|XP_035918176.1|ASTE, LOC118509546|XP_035906188.1|ASTE
OG0001942	LOC108080723|XP_017031065.1|DKIK	LOC118511431|XP_035910415.1|ASTE
OG0001943	LOC108078675|XP_017028097.1|DKIK	LOC118511442|XP_035910434.1|ASTE
OG0001944	LOC108079041|XP_017028713.1|DKIK	LOC118514250|XP_035916857.1|ASTE
OG0001945	LOC108076726|XP_017025187.1|DKIK	LOC118511792|XP_035911212.1|ASTE
OG0001946	LOC108076777|XP_017025270.1|DKIK	LOC118511383|XP_035910283.1|ASTE
OG0001947	LOC108072973|XP_017019897.1|DKIK	LOC118511381|XP_035910279.1|ASTE
OG0001948	LOC108081421|XP_017032093.1|DKIK, LOC108083353|XP_017034586.1|DKIK	LOC118516693|XP_035918531.1|ASTE, LOC118512776|XP_035913577.1|ASTE, LOC118516355|XP_035918080.1|ASTE
OG0001949	LOC108085827|XP_017038069.1|DKIK	LOC118514380|XP_035917147.1|ASTE
OG0001950	LOC108075508|XP_017023468.1|DKIK	LOC118509618|XP_035906343.1|ASTE
OG0001951	LOC108076290|XP_017024536.1|DKIK	LOC118510328|XP_035907866.1|ASTE
OG0001952	LOC108079474|XP_017029307.1|DKIK	LOC118511327|XP_035910146.1|ASTE
OG0001953	LOC108076782|XP_017025277.1|DKIK	LOC118514332|XP_035917032.1|ASTE
OG0001954	LOC108085139|XP_017037147.1|DKIK	LOC118509514|XP_035906101.1|ASTE
OG0001955	LOC108074456|XP_017022007.1|DKIK	LOC118509453|XP_035905966.1|ASTE
OG0001956	LOC108070564|XP_017016591.1|DKIK	LOC118510369|XP_035907982.1|ASTE
OG0001957	LOC108082592|XP_017033546.1|DKIK	LOC118514359|XP_035917074.1|ASTE
OG0001958	LOC108081205|XP_017031762.1|DKIK	LOC118512020|XP_035911693.1|ASTE
OG0001959	LOC108074999|XP_017022730.1|DKIK	LOC118510433|XP_035908103.1|ASTE
OG0001960	LOC108079046|XP_017028740.1|DKIK	LOC118513135|XP_035914454.1|ASTE
OG0001961	LOC108072375|XP_017018964.1|DKIK	LOC118514169|XP_035916723.1|ASTE, LOC118516704|XP_035918541.1|ASTE
OG0001962	LOC108076728|XP_017025192.1|DKIK	LOC118509688|XP_035906633.1|ASTE
OG0001963	LOC108079812|XP_017029784.1|DKIK	LOC118514231|XP_035916827.1|ASTE
OG0001964	LOC108083407|XP_017034653.1|DKIK, LOC108078348|XP_017027645.1|DKIK	LOC118511307|XP_035910111.1|ASTE
OG0001966	LOC108075622|XP_017023645.1|DKIK	LOC118509748|XP_035906772.1|ASTE
OG0001967	LOC108082341|XP_017033163.1|DKIK	LOC118509246|XP_035905461.1|ASTE
OG0001968	LOC108080382|XP_017030596.1|DKIK	LOC118514627|XP_035917518.1|ASTE
OG0001969	LOC108076754|XP_017025240.1|DKIK	LOC118511846|XP_035911283.1|ASTE
OG0001970	LOC108076485|XP_017024862.1|DKIK	LOC118511519|XP_035910600.1|ASTE
OG0001971	LOC108082153|XP_017032943.1|DKIK	LOC118511337|XP_035910163.1|ASTE
OG0001972	LOC108072588|XP_017019284.1|DKIK	LOC118511336|XP_035910162.1|ASTE
OG0001973	LOC108076160|XP_017024375.1|DKIK	LOC118516350|XP_035918061.1|ASTE, LOC118511351|XP_035910203.1|ASTE
OG0001974	LOC108076466|XP_017024840.1|DKIK	LOC118512000|XP_035911635.1|ASTE
OG0001975	LOC108075125|XP_017022897.1|DKIK	LOC118512279|XP_035912384.1|ASTE
OG0001976	LOC108072443|XP_017019060.1|DKIK	LOC118503366|XP_035892456.1|ASTE
OG0001977	LOC108077381|XP_017026164.1|DKIK	LOC118511744|XP_035911094.1|ASTE
OG0001978	LOC108082679|XP_017033667.1|DKIK	LOC118511110|XP_035909728.1|ASTE
OG0001979	LOC108079603|XP_017029451.1|DKIK	LOC118511116|XP_035909734.1|ASTE
OG0001980	LOC108074340|XP_017021850.1|DKIK	LOC118513565|XP_035915386.1|ASTE
OG0001982	LOC108084648|XP_017036428.1|DKIK	LOC118509169|XP_035905321.1|ASTE
OG0001983	LOC108077151|XP_017025873.1|DKIK	LOC118510008|XP_035907286.1|ASTE, LOC118513553|XP_035915342.1|ASTE
OG0001984	LOC108082233|XP_017033060.1|DKIK	LOC118511044|XP_035909534.1|ASTE
OG0001985	LOC108077046|XP_017025668.1|DKIK	LOC118509326|XP_035905680.1|ASTE
OG0001986	LOC108075831|XP_017023891.1|DKIK	LOC118512643|XP_035913247.1|ASTE
OG0001987	LOC108084662|XP_017036476.1|DKIK	LOC118507975|XP_035903207.1|ASTE
OG0001988	LOC108074716|XP_017022348.1|DKIK	LOC118513408|XP_035915005.1|ASTE
OG0001989	LOC108078918|XP_017028548.1|DKIK	LOC118513235|XP_035914679.1|ASTE
OG0001990	LOC108077307|XP_017026078.1|DKIK	LOC118512435|XP_035912789.1|ASTE
OG0001992	LOC108074610|XP_017022222.1|DKIK	LOC118511266|XP_035910029.1|ASTE
OG0001993	LOC108079977|XP_017030030.1|DKIK	LOC118512545|XP_035913013.1|ASTE
OG0001994	LOC108072992|XP_017019932.1|DKIK	LOC118511659|XP_035910900.1|ASTE
OG0001995	LOC108082686|XP_017033679.1|DKIK	LOC118509054|XP_035905057.1|ASTE, LOC118509055|XP_035905058.1|ASTE
OG0001996	LOC108081354|XP_017031989.1|DKIK	LOC118512512|XP_035912922.1|ASTE
OG0001997	LOC108078336|XP_017027628.1|DKIK	LOC118513345|XP_035914866.1|ASTE
OG0001998	LOC108078297|XP_017027563.1|DKIK	LOC118512548|XP_035913021.1|ASTE
OG0001999	LOC108085136|XP_017037132.1|DKIK, LOC108085086|XP_017037044.1|DKIK	LOC118508967|XP_035904805.1|ASTE
OG0002000	LOC108079580|XP_017029414.1|DKIK	LOC118513738|XP_035915788.1|ASTE
OG0002001	LOC108082742|XP_017033740.1|DKIK	LOC118514686|XP_035917625.1|ASTE
OG0002002	LOC108082580|XP_017033526.1|DKIK	LOC118514563|XP_035917455.1|ASTE
OG0002003	LOC108075839|XP_017023908.1|DKIK	LOC118511610|XP_035910791.1|ASTE
OG0002004	LOC108085364|XP_017037424.1|DKIK	LOC118512585|XP_035913108.1|ASTE
OG0002005	LOC108075919|XP_017024042.1|DKIK	LOC118511777|XP_035911165.1|ASTE
OG0002006	LOC108082555|XP_017033496.1|DKIK	LOC118514508|XP_035917337.1|ASTE
OG0002008	LOC108074895|XP_017022607.1|DKIK	LOC118512608|XP_035913173.1|ASTE
OG0002009	LOC108076204|XP_017024427.1|DKIK	LOC118513696|XP_035915713.1|ASTE
OG0002010	LOC108076333|XP_017024609.1|DKIK	LOC118517126|XP_035918881.1|ASTE, LOC118513710|XP_035915736.1|ASTE
OG0002011	LOC108072603|XP_017019313.1|DKIK	LOC118513808|XP_035915910.1|ASTE
OG0002012	LOC108081383|XP_017032029.1|DKIK	LOC118510849|XP_035909072.1|ASTE
OG0002013	LOC108082851|XP_017033913.1|DKIK	LOC118513328|XP_035914829.1|ASTE
OG0002014	LOC108078411|XP_017027756.1|DKIK	LOC118509890|XP_035907029.1|ASTE, LOC118509889|XP_035907028.1|ASTE, LOC118509884|XP_035907017.1|ASTE
OG0002015	LOC108079558|XP_017029386.1|DKIK	LOC118513006|XP_035914160.1|ASTE
OG0002016	LOC108078308|XP_017027589.1|DKIK	LOC118513208|XP_035914607.1|ASTE
OG0002017	LOC108077280|XP_017026047.1|DKIK	LOC118512972|XP_035914092.1|ASTE
OG0002018	LOC108082772|XP_017033794.1|DKIK	LOC118510770|XP_035908923.1|ASTE
OG0002019	LOC108076281|XP_017024550.1|DKIK	LOC118510741|XP_035908861.1|ASTE
OG0002020	LOC108082765|XP_017033781.1|DKIK	LOC118509949|XP_035907173.1|ASTE
OG0002021	LOC108082493|XP_017033401.1|DKIK	LOC118509945|XP_035907170.1|ASTE
OG0002022	LOC108081374|XP_017032017.1|DKIK	LOC118506403|XP_035899361.1|ASTE
OG0002023	LOC108080800|XP_017031180.1|DKIK	LOC118514075|XP_035916494.1|ASTE, LOC118514074|XP_035916493.1|ASTE
OG0002024	LOC108076918|XP_017025450.1|DKIK	LOC118510711|XP_035908803.1|ASTE
OG0002025	LOC108082061|XP_017032828.1|DKIK	LOC118510667|XP_035908700.1|ASTE
OG0002026	LOC108080674|XP_017030996.1|DKIK	LOC118505323|XP_035896859.1|ASTE
OG0002027	LOC108078098|XP_017027181.1|DKIK	LOC118505612|XP_035897545.1|ASTE
OG0002028	LOC108076050|XP_017024218.1|DKIK, LOC108072159|XP_017018693.1|DKIK	LOC118505621|XP_035897576.1|ASTE
OG0002029	LOC108086000|XP_017038298.1|DKIK	LOC118505201|XP_035896575.1|ASTE
OG0002030	LOC108076201|XP_017024424.1|DKIK	LOC118511575|XP_035910713.1|ASTE
OG0002031	LOC108085132|XP_017037128.1|DKIK	LOC118512378|XP_035912638.1|ASTE
OG0002032	LOC108083177|XP_017034362.1|DKIK	LOC118517050|XP_035918791.1|ASTE, LOC118508330|XP_035903892.1|ASTE
OG0002033	LOC108085957|XP_017038239.1|DKIK	LOC118506726|XP_035900150.1|ASTE
OG0002034	LOC108084665|XP_017036475.1|DKIK	LOC118502758|XP_035891223.1|ASTE
OG0002035	LOC108083182|XP_017034366.1|DKIK	LOC118505534|XP_035897342.1|ASTE
OG0002036	LOC108084028|XP_017035530.1|DKIK	LOC118506749|XP_035900224.1|ASTE
OG0002037	LOC108079727|XP_017029626.1|DKIK	LOC118504715|XP_035895445.1|ASTE
OG0002038	LOC108079013|XP_017028680.1|DKIK, LOC108073373|XP_017020431.1|DKIK	LOC118504932|XP_035895918.1|ASTE
OG0002039	LOC108084632|XP_017036409.1|DKIK	LOC118504935|XP_035895925.1|ASTE
OG0002040	LOC108072873|XP_017019684.1|DKIK	LOC118505123|XP_035896330.1|ASTE
OG0002041	LOC108072293|XP_017018852.1|DKIK	LOC118507060|XP_035900921.1|ASTE
OG0002042	LOC108085460|XP_017037564.1|DKIK	LOC118515263|XP_035917841.1|ASTE, LOC118508265|XP_035903789.1|ASTE
OG0002043	LOC108085472|XP_017037577.1|DKIK, LOC108071062|XP_017017227.1|DKIK	LOC118504219|XP_035894318.1|ASTE
OG0002044	LOC108084210|XP_017035814.1|DKIK	LOC118506888|XP_035900545.1|ASTE
OG0002045	LOC108083174|XP_017034350.1|DKIK	LOC118506722|XP_035900142.1|ASTE
OG0002046	LOC108079961|XP_017030011.1|DKIK	LOC118507696|XP_035902443.1|ASTE
OG0002047	LOC108079211|XP_017028969.1|DKIK	LOC118506552|XP_035899749.1|ASTE
OG0002048	LOC108080447|XP_017030672.1|DKIK	LOC118507584|XP_035902138.1|ASTE
OG0002049	LOC108085687|XP_017037873.1|DKIK	LOC118507942|XP_035903153.1|ASTE
OG0002050	LOC108081042|XP_017031495.1|DKIK	LOC118502660|XP_035891005.1|ASTE
OG0002051	LOC108078149|XP_017027280.1|DKIK	LOC118502580|XP_035890812.1|ASTE
OG0002053	LOC108085453|XP_017037554.1|DKIK	LOC118505802|XP_035898030.1|ASTE
OG0002054	LOC108081176|XP_017031726.1|DKIK	LOC118503254|XP_035892186.1|ASTE
OG0002055	LOC108085636|XP_017037811.1|DKIK	LOC118506162|XP_035898827.1|ASTE
OG0002056	LOC108070471|XP_017016445.1|DKIK	LOC118506167|XP_035898831.1|ASTE
OG0002057	LOC108077078|XP_017025735.1|DKIK	LOC118516392|XP_035918148.1|ASTE, LOC118502524|XP_035890681.1|ASTE
OG0002058	LOC108079068|XP_017028771.1|DKIK	LOC118516398|XP_035918156.1|ASTE, LOC118502527|XP_035890684.1|ASTE
OG0002059	LOC108072019|XP_017018488.1|DKIK	LOC118502526|XP_035890683.1|ASTE, LOC118516397|XP_035918155.1|ASTE, LOC118510222|XP_035907684.1|ASTE
OG0002060	LOC108076496|XP_017024878.1|DKIK	LOC118504319|XP_035894538.1|ASTE
OG0002061	LOC108072174|XP_017018719.1|DKIK	LOC118504320|XP_035894539.1|ASTE
OG0002062	LOC108079941|XP_017029974.1|DKIK	LOC118515204|XP_035917793.1|ASTE, LOC118515205|XP_035917794.1|ASTE, LOC118515211|XP_035917799.1|ASTE, LOC118515203|XP_035917792.1|ASTE, LOC118502555|XP_035890751.1|ASTE, LOC118515212|XP_035917800.1|ASTE, LOC118515129|XP_035917704.1|ASTE, LOC118515185|XP_035917777.1|ASTE
OG0002063	LOC108072456|XP_017019079.1|DKIK, LOC108083947|XP_017035440.1|DKIK	LOC118502562|XP_035890777.1|ASTE
OG0002064	LOC108081170|XP_017031715.1|DKIK, LOC108085026|XP_017036964.1|DKIK	LOC118506846|XP_035900463.1|ASTE
OG0002065	LOC108075219|XP_017023050.1|DKIK	LOC118505157|XP_035896444.1|ASTE
OG0002066	LOC108081024|XP_017031465.1|DKIK	LOC118503644|XP_035893041.1|ASTE
OG0002067	LOC108072160|XP_017018695.1|DKIK	LOC118505857|XP_035898130.1|ASTE
OG0002068	LOC108081221|XP_017031787.1|DKIK	LOC118510936|XP_035909263.1|ASTE
OG0002069	LOC108080967|XP_017031373.1|DKIK	LOC118506005|XP_035898483.1|ASTE
OG0002070	LOC108081481|XP_017032169.1|DKIK	LOC118506014|XP_035898493.1|ASTE
OG0002071	LOC108073441|XP_017020553.1|DKIK	LOC118507225|XP_035901278.1|ASTE
OG0002072	LOC108078438|XP_017027809.1|DKIK	LOC118507929|XP_035903125.1|ASTE
OG0002073	LOC108072714|XP_017019454.1|DKIK	LOC118503423|XP_035892555.1|ASTE
OG0002074	LOC108073130|XP_017020119.1|DKIK	LOC118507274|XP_035901471.1|ASTE
OG0002075	LOC108079672|XP_017029559.1|DKIK	LOC118508102|XP_035903478.1|ASTE
OG0002076	LOC108086116|XP_017038441.1|DKIK	LOC118504187|XP_035894253.1|ASTE
OG0002077	LOC108071506|XP_017017759.1|DKIK	LOC118512370|XP_035912613.1|ASTE
OG0002078	LOC108079835|XP_017029829.1|DKIK	LOC118507408|XP_035901762.1|ASTE
OG0002079	LOC108075033|XP_017022778.1|DKIK	LOC118505316|XP_035896853.1|ASTE
OG0002080	LOC108078396|XP_017027741.1|DKIK	LOC118506143|XP_035898783.1|ASTE
OG0002081	LOC108070828|XP_017016935.1|DKIK	LOC118503442|XP_035892599.1|ASTE
OG0002082	LOC108076346|XP_017024623.1|DKIK	LOC118506034|XP_035898546.1|ASTE
OG0002083	LOC108084657|XP_017036467.1|DKIK	LOC118509900|XP_035907048.1|ASTE
OG0002084	LOC108072311|XP_017018872.1|DKIK	LOC118507329|XP_035901611.1|ASTE
OG0002086	LOC108072324|XP_017018890.1|DKIK	LOC118507183|XP_035901148.1|ASTE
OG0002087	LOC108073903|XP_017021182.1|DKIK	LOC118512331|XP_035912499.1|ASTE
OG0002088	LOC108075257|XP_017023107.1|DKIK	LOC118505278|XP_035896740.1|ASTE
OG0002089	LOC108078515|XP_017027910.1|DKIK	LOC118505914|XP_035898267.1|ASTE
OG0002090	LOC108075308|XP_017023201.1|DKIK	LOC118505956|XP_035898382.1|ASTE
OG0002091	LOC108070813|XP_017016901.1|DKIK	LOC118507396|XP_035901742.1|ASTE
OG0002092	LOC108071500|XP_017017750.1|DKIK	LOC118504180|XP_035894225.1|ASTE
OG0002093	LOC108085206|XP_017037219.1|DKIK	LOC118504179|XP_035894224.1|ASTE
OG0002094	LOC108072046|XP_017018520.1|DKIK	LOC118503055|XP_035891813.1|ASTE
OG0002095	LOC108083413|XP_017034657.1|DKIK, LOC108080120|XP_017030240.1|DKIK	LOC118503944|XP_035893714.1|ASTE
OG0002096	LOC108076400|XP_017024728.1|DKIK	LOC118503857|XP_035893462.1|ASTE
OG0002097	LOC108078086|XP_017027163.1|DKIK	LOC118507103|XP_035900999.1|ASTE
OG0002098	LOC108084772|XP_017036580.1|DKIK	LOC118508223|XP_035903705.1|ASTE, LOC118508221|XP_035903702.1|ASTE
OG0002099	LOC108085017|XP_017036950.1|DKIK	LOC118504082|XP_035894043.1|ASTE
OG0002100	LOC108083131|XP_017034296.1|DKIK	LOC118503359|XP_035892444.1|ASTE, LOC118503358|XP_035892443.1|ASTE
OG0002101	LOC108070854|XP_017016973.1|DKIK	LOC118507399|XP_035901746.1|ASTE
OG0002102	LOC108076716|XP_017025168.1|DKIK	LOC118503731|XP_035893238.1|ASTE
OG0002103	LOC108085032|XP_017036968.1|DKIK	LOC118503304|XP_035892315.1|ASTE
OG0002117	LOC108083904|XP_017035389.1|DKIK	LOC118505507|XP_035897285.1|ASTE
OG0002118	LOC108077352|XP_017026134.1|DKIK	LOC118502971|XP_035891638.1|ASTE
OG0002119	LOC108073443|XP_017020555.1|DKIK	LOC118503759|XP_035893315.1|ASTE
OG0002120	LOC108075356|XP_017023254.1|DKIK, LOC108077525|XP_017026383.1|DKIK	LOC118509540|XP_035906173.1|ASTE
OG0002121	LOC108075729|XP_017023758.1|DKIK	LOC118503831|XP_035893435.1|ASTE
OG0002123	LOC108079612|XP_017029475.1|DKIK	LOC118505667|XP_035897689.1|ASTE
OG0002124	LOC108083366|XP_017034598.1|DKIK, LOC108077143|XP_017025850.1|DKIK	LOC118510740|XP_035908865.1|ASTE
OG0002125	LOC108072439|XP_017019049.1|DKIK	LOC118517608|XP_035919800.1|ASTE
OG0002126	LOC108078369|XP_017027688.1|DKIK	LOC118506343|XP_035899224.1|ASTE
OG0002127	LOC108076412|XP_017024742.1|DKIK, LOC108083551|XP_017034884.1|DKIK	LOC118503477|XP_035892669.1|ASTE
