Orthogroup	DKIK.longest_only	AEAL.longest_only
OG0001701	LOC108070733|XP_017016818.1|DKIK	LOC115256222|XP_029710343.1|AEAL, LOC109422162|XP_029707971.1|AEAL, LOC115257156|XP_029712414.1|AEAL
OG0001702	LOC108082020|XP_017032775.1|DKIK	LOC115258622|XP_029714776.1|AEAL, LOC109419095|XP_019548853.1|AEAL, LOC109409381|XP_019538372.1|AEAL, LOC115266950|XP_029729536.1|AEAL
OG0001703	LOC108073270|XP_017020317.1|DKIK	LOC109397269|XP_019525134.2|AEAL, LOC109423222|XP_029722761.1|AEAL, LOC115263676|XP_029722744.1|AEAL
OG0001704	LOC108073271|XP_017020318.1|DKIK	LOC109397270|XP_029722762.1|AEAL, LOC115263675|XP_029722743.1|AEAL, LOC109423223|XP_029722754.1|AEAL
OG0001705	LOC108073467|XP_017020596.1|DKIK	LOC115268587|XP_029732560.1|AEAL, LOC109397249|XP_029722771.1|AEAL
OG0001706	LOC108070635|XP_017016694.1|DKIK, LOC108072414|XP_017019011.1|DKIK	LOC109430200|XP_029736167.1|AEAL, LOC109423515|XP_029722781.1|AEAL
OG0001707	LOC108071285|XP_017017465.1|DKIK	LOC109423500|XP_029722789.1|AEAL
OG0001708	LOC108084267|XP_017035912.1|DKIK	LOC109400120|XP_019528151.2|AEAL, LOC115254318|XP_029707583.1|AEAL, LOC109621597|XP_019931224.2|AEAL
OG0001709	LOC108079704|XP_017029599.1|DKIK, LOC108079900|XP_017029920.1|DKIK	LOC109621622|XP_019931256.2|AEAL, LOC109400053|XP_019528069.3|AEAL
OG0001710	LOC108073543|XP_017020715.1|DKIK	LOC115255392|XP_029709314.1|AEAL, LOC109622162|XP_029709306.1|AEAL, LOC115257514|XP_029713051.1|AEAL, LOC109429524|XP_019561038.1|AEAL
OG0001711	LOC108084179|XP_017035759.1|DKIK	LOC115269840|XP_029734479.1|AEAL, LOC109400404|XP_029725412.1|AEAL, LOC115270135|XP_029735090.1|AEAL
OG0001712	LOC108084572|XP_017036328.1|DKIK	LOC109399841|XP_029729691.1|AEAL, LOC115267037|XP_029729684.1|AEAL, LOC109425352|XP_029729696.1|AEAL
OG0001713	LOC108070719|XP_017016801.1|DKIK	LOC109398975|XP_029716513.1|AEAL, LOC109425537|XP_029716528.1|AEAL
OG0001714	LOC108080783|XP_017031138.1|DKIK	LOC115259817|XP_029716486.1|AEAL, LOC115259774|XP_029716427.1|AEAL, LOC109399005|XP_029716112.1|AEAL, LOC109622982|XP_029722653.1|AEAL, LOC115259816|XP_029716485.1|AEAL
OG0001715	LOC108077123|XP_017025818.1|DKIK	LOC109401381|XP_019529468.2|AEAL, LOC109400886|XP_019528918.2|AEAL, LOC109429312|XP_019560762.2|AEAL
OG0001716	LOC108083907|XP_017035392.1|DKIK	LOC109623097|XP_019933124.2|AEAL
OG0001717	LOC108077739|XP_017026691.1|DKIK	LOC109423638|XP_029719505.1|AEAL, LOC115264143|XP_029723384.1|AEAL, LOC109398571|XP_029723371.1|AEAL, LOC115264300|XP_029723832.1|AEAL
OG0001718	LOC108083703|XP_017035088.1|DKIK, LOC108083628|XP_017034987.1|DKIK	LOC109400223|XP_029723302.1|AEAL, LOC109423620|XP_029723313.1|AEAL
OG0001719	LOC108071293|XP_017017479.1|DKIK	LOC115268554|XP_029732505.1|AEAL, LOC109403844|XP_029712297.1|AEAL, LOC115253705|XP_029732506.1|AEAL, LOC109406185|XP_029723614.1|AEAL
OG0001720	LOC108071395|XP_017017627.1|DKIK	LOC109403863|XP_029723621.1|AEAL
OG0001721	LOC108084922|XP_017036807.1|DKIK	LOC109432040|XP_019563886.2|AEAL, LOC109403994|XP_019532403.2|AEAL
OG0001722	LOC108078783|XP_017028323.1|DKIK	LOC109411467|XP_019540538.2|AEAL
OG0001723	LOC108083503|XP_017034804.1|DKIK	LOC109423371|XP_019553902.2|AEAL
OG0001724	LOC108074686|XP_017022294.1|DKIK	LOC109423344|XP_019553835.2|AEAL
OG0001725	LOC108073143|XP_017020140.1|DKIK, LOC108073087|XP_017020048.1|DKIK	LOC109423326|XP_019553810.2|AEAL
OG0001726	LOC108080474|XP_017030708.1|DKIK	LOC115263509|XP_029722609.1|AEAL, LOC109623123|XP_019933165.2|AEAL, LOC115259617|XP_029716230.1|AEAL
OG0001727	LOC108084071|XP_017035578.1|DKIK	LOC109418030|XP_029726633.1|AEAL, LOC109414815|XP_029711984.1|AEAL
OG0001728	LOC108082574|XP_017033520.1|DKIK	LOC109418082|XP_019547801.2|AEAL
OG0001729	LOC108072312|XP_017018873.1|DKIK	LOC109406436|XP_019535077.2|AEAL
OG0001730	LOC108082187|XP_017032995.1|DKIK	LOC109398257|XP_029709830.1|AEAL, LOC109419706|XP_029733514.1|AEAL
OG0001732	LOC108082893|XP_017033968.1|DKIK	LOC115265142|XP_029725250.1|AEAL, LOC115260848|XP_029718029.1|AEAL
OG0001733	LOC108082340|XP_017033162.1|DKIK	LOC109406414|XP_019535051.2|AEAL, LOC109417272|XP_019546928.2|AEAL, LOC109406420|XP_019535057.2|AEAL, LOC109417267|XP_019546925.1|AEAL
OG0001734	LOC108078401|XP_017027747.1|DKIK	LOC109417266|XP_019546923.2|AEAL, LOC109406424|XP_029725718.1|AEAL
OG0001735	LOC108078819|XP_017028392.1|DKIK	LOC109426951|XP_029729883.1|AEAL
OG0001736	LOC108082623|XP_017033592.1|DKIK, LOC108082622|XP_017033591.1|DKIK	LOC109417854|XP_029727478.1|AEAL, LOC109426815|XP_029725428.1|AEAL
OG0001737	LOC108076389|XP_017024712.1|DKIK	LOC109417983|XP_029732525.1|AEAL
OG0001738	LOC108077560|XP_017026441.1|DKIK	LOC109413863|XP_019543137.2|AEAL, LOC109407926|XP_019536665.2|AEAL
OG0001739	LOC108072432|XP_017019046.1|DKIK	LOC115270141|XP_029735105.1|AEAL, LOC109407969|XP_019536717.1|AEAL
OG0001740	LOC108074205|XP_017021633.1|DKIK	LOC109407984|XP_019536737.2|AEAL, LOC109403641|XP_029735149.1|AEAL
OG0001742	LOC108085149|XP_017037161.1|DKIK	LOC109408011|XP_019536770.2|AEAL, LOC115270157|XP_029735218.1|AEAL
OG0001743	LOC108079889|XP_017029901.1|DKIK	LOC109408012|XP_029735215.1|AEAL, LOC115270145|XP_029735139.1|AEAL
OG0001744	LOC108076387|XP_017024702.1|DKIK	LOC109403225|XP_019531539.2|AEAL
OG0001745	LOC108076523|XP_017024922.1|DKIK	LOC115269982|XP_029734711.1|AEAL, LOC115269628|XP_029734317.1|AEAL, LOC109415821|XP_029725134.1|AEAL, LOC115269663|XP_029734359.1|AEAL
OG0001746	LOC108071921|XP_017018370.1|DKIK	LOC109622618|XP_029722484.1|AEAL, LOC115263321|XP_029722449.1|AEAL
OG0001747	LOC108072913|XP_017019727.1|DKIK	LOC115263306|XP_029722406.1|AEAL, LOC115263315|XP_029722426.1|AEAL, LOC115263307|XP_029722415.1|AEAL, LOC109406167|XP_029722390.1|AEAL
OG0001748	LOC108078963|XP_017028611.1|DKIK	LOC115263139|XP_029721924.1|AEAL, LOC109416559|XP_029722287.1|AEAL, LOC109407443|XP_029721914.1|AEAL
OG0001749	LOC108076458|XP_017024828.1|DKIK	LOC115267516|XP_029730466.1|AEAL, LOC115259278|XP_029715669.1|AEAL, LOC109430859|XP_019562497.1|AEAL, LOC115254031|XP_029715655.1|AEAL
OG0001750	LOC108076456|XP_017024824.1|DKIK	LOC109431670|XP_029714127.1|AEAL, LOC109430934|XP_029715653.1|AEAL, LOC115267494|XP_029730374.1|AEAL, LOC115261705|XP_029719449.1|AEAL
OG0001751	LOC108077527|XP_017026380.1|DKIK	LOC109398021|XP_029719547.1|AEAL, LOC109431649|XP_029730426.1|AEAL, LOC115253837|XP_029730354.1|AEAL
OG0001752	LOC108084388|XP_017036070.1|DKIK	LOC115259196|XP_029715568.1|AEAL, LOC109426412|XP_029730583.1|AEAL, LOC115267605|XP_029730587.1|AEAL
OG0001753	LOC108079896|XP_017029912.1|DKIK	LOC109398064|XP_019525972.2|AEAL, LOC109426354|XP_019557363.2|AEAL, LOC109426344|XP_019557351.2|AEAL, LOC115259177|XP_029715548.1|AEAL
OG0001754	LOC108078433|XP_017027803.1|DKIK	LOC109420811|XP_019550803.2|AEAL, LOC109412508|XP_029713847.1|AEAL, LOC115253592|XP_029735878.1|AEAL
OG0001755	LOC108079770|XP_017029685.1|DKIK	LOC115266750|XP_029729153.1|AEAL, LOC109412528|XP_029735891.1|AEAL
OG0001756	LOC108078262|XP_017027490.1|DKIK	LOC115266752|XP_029729169.1|AEAL, LOC109412544|XP_019541723.1|AEAL
OG0001757	LOC108074474|XP_017022034.1|DKIK	LOC115270222|XP_029735342.1|AEAL, LOC109430681|XP_019562305.1|AEAL, LOC115270241|XP_029735368.1|AEAL, LOC115270217|XP_029735336.1|AEAL
OG0001758	LOC108084781|XP_017036590.1|DKIK	LOC115270253|XP_029735380.1|AEAL, LOC109430620|XP_029735375.1|AEAL, LOC109423842|XP_029735350.1|AEAL
OG0001759	LOC108074721|XP_017022353.1|DKIK	LOC109430608|XP_019562217.1|AEAL, LOC115270273|XP_029735411.1|AEAL, LOC109423798|XP_019554375.1|AEAL, LOC115270266|XP_029735396.1|AEAL
OG0001760	LOC108074021|XP_017021382.1|DKIK, LOC108079454|XP_017029281.1|DKIK, LOC108077969|XP_017027000.1|DKIK	LOC109414249|XP_019543608.2|AEAL, LOC115269758|XP_029734442.1|AEAL
OG0001761	LOC108082578|XP_017033523.1|DKIK	LOC109423726|XP_019554260.1|AEAL
OG0001762	LOC108075785|XP_017023833.1|DKIK	LOC109418268|XP_029720593.1|AEAL, LOC109428047|XP_029720530.1|AEAL
OG0001763	LOC108075952|XP_017024086.1|DKIK	LOC109411550|XP_019540631.1|AEAL
OG0001764	LOC108070651|XP_017016708.1|DKIK	LOC109622266|XP_019932082.1|AEAL, LOC115253494|XP_029728278.1|AEAL, LOC109414458|XP_019543834.1|AEAL
OG0001765	LOC108078281|XP_017027532.1|DKIK	LOC109621325|XP_029728293.1|AEAL, LOC115266290|XP_029728123.1|AEAL, LOC109414440|XP_029728122.1|AEAL, LOC115266301|XP_029728142.1|AEAL
OG0001766	LOC108074838|XP_017022535.1|DKIK	LOC115269611|XP_029734294.1|AEAL, LOC109427871|XP_029715586.1|AEAL, LOC109428179|XP_029715335.1|AEAL
OG0001767	LOC108085337|XP_017037383.1|DKIK	LOC109622889|XP_029714476.1|AEAL, LOC115258507|XP_029714492.1|AEAL, LOC115258528|XP_029714524.1|AEAL
OG0001768	LOC108086140|XP_017038485.1|DKIK	LOC109412010|XP_029720125.1|AEAL, LOC115257759|XP_029713561.1|AEAL, LOC109407908|XP_019536638.1|AEAL, LOC115254092|XP_029720687.1|AEAL
OG0001769	LOC108074323|XP_017021816.1|DKIK	LOC109400999|XP_029713222.1|AEAL, LOC109408306|XP_029713744.1|AEAL
OG0001770	LOC108077189|XP_017025922.1|DKIK	LOC109433152|XP_029711023.1|AEAL
OG0001771	LOC108079687|XP_017029582.1|DKIK	LOC109433086|XP_019565021.2|AEAL, LOC109420252|XP_029710396.1|AEAL
OG0001772	LOC108081559|XP_017032267.1|DKIK, LOC108077220|XP_017025965.1|DKIK	LOC109420799|XP_029724985.1|AEAL, LOC109621992|XP_019931749.1|AEAL
OG0001774	LOC108074744|XP_017022406.1|DKIK	LOC109429413|XP_029724799.1|AEAL
OG0001776	LOC108082809|XP_017033857.1|DKIK	LOC109419091|XP_029714808.1|AEAL, LOC115253815|XP_029725156.1|AEAL, LOC109409366|XP_029729394.1|AEAL
OG0001777	LOC108072859|XP_017019664.1|DKIK	LOC109409271|XP_029715220.1|AEAL
OG0001778	LOC108072554|XP_017019219.1|DKIK	LOC109429671|XP_029719856.1|AEAL, LOC109406524|XP_029720008.1|AEAL
OG0001779	LOC108081958|XP_017032682.1|DKIK	LOC109418248|XP_029714609.1|AEAL
OG0001780	LOC108070938|XP_017017081.1|DKIK	LOC115258855|XP_029715146.1|AEAL, LOC115258860|XP_029715153.1|AEAL, LOC115258473|XP_029714449.1|AEAL, LOC109398732|XP_029714927.1|AEAL
OG0001781	LOC108077492|XP_017026305.1|DKIK, LOC108072622|XP_017019337.1|DKIK	LOC109414315|XP_029714682.1|AEAL, LOC115258599|XP_029714740.1|AEAL, LOC109407247|XP_029714758.1|AEAL
OG0001782	LOC108086222|XP_017038581.1|DKIK	LOC115258569|XP_029714614.1|AEAL, LOC109414353|XP_029715171.1|AEAL, LOC109424187|XP_029712157.1|AEAL, LOC115258463|XP_029714436.1|AEAL
OG0001783	LOC108076342|XP_017024621.1|DKIK	LOC115258718|XP_029714930.1|AEAL, LOC109428988|XP_029724683.1|AEAL, LOC109421033|XP_029714987.1|AEAL
OG0001784	LOC108081397|XP_017032046.1|DKIK	LOC115253792|XP_029715261.1|AEAL, LOC115258710|XP_029714925.1|AEAL, LOC109410184|XP_029715263.1|AEAL, LOC109416535|XP_019546158.2|AEAL
OG0001785	LOC108078101|XP_017027191.1|DKIK	LOC109410228|XP_029729143.1|AEAL, LOC115266835|XP_029729293.1|AEAL
OG0001786	LOC108072855|XP_017019658.1|DKIK	LOC109417548|XP_029729294.1|AEAL, LOC109410231|XP_019539306.2|AEAL
OG0001787	LOC108072853|XP_017019657.1|DKIK	LOC109410234|XP_029709394.1|AEAL, LOC109417633|XP_029709391.1|AEAL
OG0001788	LOC108079843|XP_017029842.1|DKIK	LOC115265624|XP_029727346.1|AEAL, LOC115265639|XP_029727372.1|AEAL, LOC109431001|XP_029727342.1|AEAL
OG0001789	LOC108072366|XP_017018949.1|DKIK	LOC109421604|XP_029727121.1|AEAL, LOC115265852|XP_029727656.1|AEAL
OG0001790	LOC108072828|XP_017019608.1|DKIK	LOC109409179|XP_019538145.2|AEAL
OG0001791	LOC108073073|XP_017020028.1|DKIK, LOC108076388|XP_017024714.1|DKIK, LOC108073101|XP_017020080.1|DKIK	LOC109409116|XP_029727071.1|AEAL
OG0001792	LOC108079641|XP_017029517.1|DKIK	LOC109402239|XP_029720061.1|AEAL, LOC109415858|XP_029717963.1|AEAL
OG0001793	LOC108074730|XP_017022376.1|DKIK	LOC115262335|XP_029720594.1|AEAL, LOC115267562|XP_029730502.1|AEAL, LOC115267560|XP_029730500.1|AEAL, LOC109402335|XP_029720054.1|AEAL
OG0001794	LOC108072555|XP_017019220.1|DKIK	LOC115254172|XP_029728604.1|AEAL, LOC109429544|XP_019561065.2|AEAL
OG0001795	LOC108072522|XP_017019182.1|DKIK	LOC109411726|XP_029720217.1|AEAL
OG0001797	LOC108072469|XP_017019115.1|DKIK	LOC115268734|XP_029732737.1|AEAL, LOC109428007|XP_029707546.1|AEAL, LOC115262291|XP_029720549.1|AEAL
OG0001798	LOC108074671|XP_017022279.1|DKIK	LOC115262178|XP_029720357.1|AEAL, LOC109426199|XP_019557185.1|AEAL, LOC115254084|XP_029719437.1|AEAL
OG0001799	LOC108074135|XP_017021523.1|DKIK	LOC109419237|XP_029723470.1|AEAL
OG0001800	LOC108072866|XP_017019672.1|DKIK	LOC115264219|XP_029723586.1|AEAL, LOC109419246|XP_029713949.1|AEAL
OG0001801	LOC108078856|XP_017028449.1|DKIK	LOC109415471|XP_019544893.2|AEAL, LOC109429474|XP_029724124.1|AEAL
OG0001802	LOC108085465|XP_017037571.1|DKIK	LOC109401497|XP_019529619.2|AEAL, LOC109410425|XP_019539525.2|AEAL
OG0001803	LOC108084125|XP_017035652.1|DKIK	LOC109427011|XP_029728214.1|AEAL
OG0001804	LOC108075524|XP_017023508.1|DKIK	LOC109411686|XP_029729400.1|AEAL
OG0001805	LOC108071964|XP_017018429.1|DKIK	LOC115269163|XP_029733431.1|AEAL, LOC109414666|XP_019544046.2|AEAL, LOC109423403|XP_029733429.1|AEAL, LOC115267953|XP_029731623.1|AEAL
OG0001806	LOC108073239|XP_017020280.1|DKIK	LOC109416297|XP_019545884.2|AEAL
OG0001808	LOC108085690|XP_017037886.1|DKIK	LOC109431862|XP_019563672.2|AEAL, LOC109422736|XP_029727927.1|AEAL
OG0001809	LOC108080770|XP_017031121.1|DKIK	LOC109422636|XP_019553010.2|AEAL, LOC109402776|XP_019531027.2|AEAL
OG0001810	LOC108071255|XP_017017431.1|DKIK	LOC109399628|XP_019527669.2|AEAL, LOC109429105|XP_019560491.2|AEAL
OG0001811	LOC108076828|XP_017025351.1|DKIK	LOC115260364|XP_029717156.1|AEAL, LOC109427250|XP_019558322.2|AEAL, LOC109411618|XP_029718911.1|AEAL
OG0001812	LOC108083583|XP_017034932.1|DKIK, LOC108079394|XP_017029206.1|DKIK	LOC115254045|XP_029717196.1|AEAL, LOC109428126|XP_019559353.1|AEAL, LOC109411665|XP_019540772.1|AEAL
OG0001813	LOC108081770|XP_017032467.1|DKIK	LOC109411912|XP_029733066.1|AEAL
OG0001813	LOC108084360|XP_017036014.1|DKIK	LOC115268965|XP_029733093.1|AEAL, LOC109406249|XP_029733062.1|AEAL, LOC115268966|XP_029733094.1|AEAL
OG0001814	LOC108081141|XP_017031665.1|DKIK	LOC109411927|XP_019541118.2|AEAL, LOC109406265|XP_019534881.2|AEAL
OG0001815	LOC108084381|XP_017036062.1|DKIK	LOC109406734|XP_029733033.1|AEAL
OG0001816	LOC108080860|XP_017031253.1|DKIK	LOC109411983|XP_019541185.2|AEAL, LOC109424556|XP_019555284.2|AEAL
OG0001817	LOC108078520|XP_017027915.1|DKIK	LOC109428793|XP_029733949.1|AEAL, LOC115269413|XP_029733984.1|AEAL, LOC109397766|XP_029712678.1|AEAL
OG0001818	LOC108084491|XP_017036217.1|DKIK	LOC109405215|XP_029724201.1|AEAL, LOC109400336|XP_029724202.1|AEAL, LOC115264553|XP_029724210.1|AEAL
OG0001819	LOC108085164|XP_017037188.1|DKIK	LOC115257598|XP_029713244.1|AEAL, LOC115257469|XP_029712942.1|AEAL, LOC109420372|XP_029713785.1|AEAL, LOC109401663|XP_029730474.1|AEAL
OG0001820	LOC108079418|XP_017029234.1|DKIK	LOC115257375|XP_029712756.1|AEAL, LOC109402281|XP_029712737.1|AEAL
OG0001821	LOC108076527|XP_017024928.1|DKIK	LOC109403400|XP_019531769.2|AEAL, LOC109416718|XP_019546317.2|AEAL
OG0001822	LOC108076253|XP_017024492.1|DKIK	LOC115257411|XP_029712850.1|AEAL, LOC109400004|XP_029713728.1|AEAL
OG0001823	LOC108083146|XP_017034317.1|DKIK	LOC109424401|XP_029707750.1|AEAL, LOC109422303|XP_029715437.1|AEAL
OG0001824	LOC108072623|XP_017019341.1|DKIK	LOC109422321|XP_029708139.1|AEAL, LOC109422323|XP_019552557.2|AEAL
OG0001825	LOC108082088|XP_017032873.1|DKIK, LOC108076685|XP_017025122.1|DKIK	LOC109422356|XP_029716853.1|AEAL, LOC109424454|XP_029729597.1|AEAL, LOC115253932|XP_029708231.1|AEAL
OG0001826	LOC108078548|XP_017027953.1|DKIK	LOC109418552|XP_019548303.2|AEAL, LOC109413115|XP_019542377.1|AEAL
OG0001827	LOC108076265|XP_017024502.1|DKIK	LOC115270966|XP_029736200.1|AEAL, LOC109431039|XP_029721513.1|AEAL, LOC109431059|XP_029721511.1|AEAL
OG0001828	LOC108083831|XP_017035292.1|DKIK	LOC115262623|XP_029720893.1|AEAL, LOC109408612|XP_029720923.1|AEAL
OG0001829	LOC108082333|XP_017033152.1|DKIK	LOC109432645|XP_029731426.1|AEAL, LOC109432643|XP_029730715.1|AEAL
OG0001830	LOC108086141|XP_017038486.1|DKIK	LOC109409849|XP_019538883.2|AEAL, LOC109397143|XP_019525028.2|AEAL
OG0001832	LOC108071202|XP_017017372.1|DKIK	LOC109426386|XP_019557431.1|AEAL
OG0001833	LOC108071991|XP_017018454.1|DKIK	LOC109433537|XP_019565520.2|AEAL, LOC109410618|XP_019539685.2|AEAL
OG0001834	LOC108075532|XP_017023518.1|DKIK	LOC109427461|XP_029729550.1|AEAL, LOC109621246|XP_019933270.1|AEAL
OG0001848	LOC108081262|XP_017031848.1|DKIK, LOC108075353|XP_017023250.1|DKIK	LOC109402165|XP_029729861.1|AEAL
OG0001849	LOC108084578|XP_017036341.1|DKIK	LOC115254180|XP_029729865.1|AEAL, LOC109413229|XP_019542501.1|AEAL, LOC109402168|XP_019530343.2|AEAL
OG0001850	LOC108084518|XP_017036241.1|DKIK	LOC109424982|XP_029730262.1|AEAL, LOC115256417|XP_029710788.1|AEAL
OG0001851	LOC108082645|XP_017033607.1|DKIK	LOC115256846|XP_029711724.1|AEAL, LOC109415375|XP_019544793.2|AEAL
OG0001852	LOC108078668|XP_017028092.1|DKIK	LOC109415425|XP_019544842.2|AEAL, LOC115256958|XP_029712027.1|AEAL, LOC109431149|XP_019562899.2|AEAL
OG0001853	LOC108085576|XP_017037704.1|DKIK	LOC109415434|XP_029710602.1|AEAL, LOC109431096|XP_029711858.1|AEAL, LOC115253608|XP_029712024.1|AEAL
OG0001854	LOC108085067|XP_017037022.1|DKIK	LOC109431144|XP_019562885.2|AEAL, LOC115256550|XP_029711142.1|AEAL, LOC109415668|XP_019545133.2|AEAL, LOC115256346|XP_029710532.1|AEAL
OG0001855	LOC108076147|XP_017024363.1|DKIK	LOC109415799|XP_029711289.1|AEAL, LOC109431186|XP_019562945.2|AEAL
OG0001856	LOC108083789|XP_017035203.1|DKIK	LOC109405106|XP_029711085.1|AEAL, LOC115253933|XP_029708261.1|AEAL, LOC115254725|XP_029708270.1|AEAL
OG0001857	LOC108080163|XP_017030295.1|DKIK	LOC115256654|XP_029711379.1|AEAL, LOC109415228|XP_029712291.1|AEAL, LOC109415232|XP_019544663.2|AEAL, LOC109428357|XP_019559620.2|AEAL
OG0001858	LOC108082959|XP_017034065.1|DKIK	LOC109415216|XP_019544649.2|AEAL
OG0001859	LOC108084640|XP_017036420.1|DKIK	LOC109428400|XP_019559669.2|AEAL
OG0001860	LOC108080685|XP_017031007.1|DKIK	LOC109428442|XP_019559752.2|AEAL, LOC109398212|XP_029733532.1|AEAL, LOC109419713|XP_029709809.1|AEAL
OG0001861	LOC108073434|XP_017020585.1|DKIK	LOC109406620|XP_019535252.2|AEAL
OG0001862	LOC108074190|XP_017021621.1|DKIK	LOC109427518|XP_029724754.1|AEAL
OG0001863	LOC108080124|XP_017030244.1|DKIK	LOC109427521|XP_019558620.2|AEAL
OG0001864	LOC108075489|XP_017023433.1|DKIK	LOC115254223|XP_029733336.1|AEAL, LOC109432605|XP_029733213.1|AEAL, LOC109397194|XP_029733212.1|AEAL
OG0001865	LOC108076631|XP_017025050.1|DKIK	LOC115256567|XP_029711183.1|AEAL, LOC109422009|XP_019552197.2|AEAL
OG0001866	LOC108081235|XP_017031806.1|DKIK	LOC115253434|XP_029710773.1|AEAL, LOC109422004|XP_029710719.1|AEAL
OG0001867	LOC108071914|XP_017018350.1|DKIK	LOC109398400|XP_029711747.1|AEAL, LOC109400382|XP_029711825.1|AEAL
OG0001868	LOC108073623|XP_017020812.1|DKIK	LOC109400390|XP_029711140.1|AEAL, LOC109400389|XP_029711145.1|AEAL
OG0001869	LOC108071259|XP_017017434.1|DKIK	LOC109398394|XP_019526285.2|AEAL
OG0001870	LOC108084466|XP_017036166.1|DKIK	LOC109409419|XP_019538408.2|AEAL
OG0001871	LOC108080299|XP_017030461.1|DKIK	LOC115269531|XP_029734178.1|AEAL, LOC109432952|XP_019564851.2|AEAL
OG0001872	LOC108073744|XP_017020996.1|DKIK	LOC115256094|XP_029710212.1|AEAL, LOC109414074|XP_019543355.1|AEAL, LOC115256107|XP_029710225.1|AEAL, LOC115256114|XP_029710230.1|AEAL
OG0001873	LOC108073462|XP_017020587.1|DKIK	LOC109423066|XP_029708369.1|AEAL, LOC109432367|XP_029717740.1|AEAL
OG0001874	LOC108073414|XP_017020508.1|DKIK	LOC115260613|XP_029717505.1|AEAL, LOC109422822|XP_019553257.1|AEAL, LOC115269510|XP_029734156.1|AEAL, LOC109400926|XP_019528958.1|AEAL
OG0001875	LOC108073674|XP_017020889.1|DKIK	LOC115253646|XP_029717688.1|AEAL, LOC109418647|XP_019548413.2|AEAL, LOC109424966|XP_019555707.2|AEAL
OG0001876	LOC108084712|XP_017036536.1|DKIK, LOC108084514|XP_017036239.1|DKIK	LOC109431404|XP_019563168.2|AEAL, LOC109427742|XP_019558881.2|AEAL
OG0001877	LOC108078988|XP_017028652.1|DKIK	LOC109431400|XP_019563162.2|AEAL
OG0001878	LOC108074103|XP_017021490.1|DKIK	LOC109427648|XP_019558761.1|AEAL, LOC109431461|XP_019563212.2|AEAL, LOC115260727|XP_029717840.1|AEAL
OG0001879	LOC108073545|XP_017020717.1|DKIK	LOC109412137|XP_029718070.1|AEAL
OG0001880	LOC108084625|XP_017036402.1|DKIK	LOC109423238|XP_029722766.1|AEAL, LOC115263687|XP_029722772.1|AEAL
OG0001881	LOC108084096|XP_017035612.1|DKIK	LOC115259336|XP_029715725.1|AEAL, LOC109425431|XP_029722818.1|AEAL, LOC109432222|XP_019564090.1|AEAL
OG0001882	LOC108085050|XP_017036999.1|DKIK	LOC109425436|XP_029713268.1|AEAL
OG0001883	LOC108071294|XP_017017482.1|DKIK	LOC115254336|XP_029707620.1|AEAL, LOC109400018|XP_029707622.1|AEAL, LOC109621537|XP_029729840.1|AEAL
OG0001884	LOC108071317|XP_017017514.1|DKIK, LOC108081610|XP_017032318.1|DKIK	LOC109621577|XP_029707660.1|AEAL, LOC109400090|XP_029707704.1|AEAL
OG0001885	LOC108082240|XP_017033066.1|DKIK	LOC109417009|XP_019546681.1|AEAL, LOC115268493|XP_029732375.1|AEAL, LOC109410420|XP_029732455.1|AEAL
OG0001886	LOC108073418|XP_017020525.1|DKIK	LOC109621241|XP_019931226.2|AEAL, LOC115254326|XP_029707604.1|AEAL
OG0001887	LOC108078247|XP_017027459.1|DKIK	LOC109621594|XP_029712567.1|AEAL, LOC109400116|XP_029707630.1|AEAL, LOC115254331|XP_029707615.1|AEAL
OG0001888	LOC108075589|XP_017023599.1|DKIK	LOC109621572|XP_029707618.1|AEAL, LOC109400059|XP_029707624.1|AEAL
OG0001889	LOC108074160|XP_017021558.1|DKIK	LOC115254338|XP_029707623.1|AEAL, LOC109621599|XP_019931227.2|AEAL
OG0001890	LOC108075070|XP_017022840.1|DKIK	LOC109400055|XP_029707687.1|AEAL, LOC109621568|XP_019931180.1|AEAL
OG0001891	LOC108084021|XP_017035522.1|DKIK	LOC115263765|XP_029722962.1|AEAL, LOC109408875|XP_029714159.1|AEAL
OG0001892	LOC108079921|XP_017029943.1|DKIK, LOC108073953|XP_017021267.1|DKIK	LOC109415405|XP_029713552.1|AEAL, LOC109430367|XP_029713471.1|AEAL
OG0001893	LOC108083981|XP_017035481.1|DKIK	LOC109425394|XP_019556223.2|AEAL, LOC109403247|XP_019531575.2|AEAL
OG0001894	LOC108076730|XP_017025197.1|DKIK	LOC109425384|XP_019556182.1|AEAL
OG0001895	LOC108072470|XP_017019116.1|DKIK	LOC109425480|XP_029715881.1|AEAL, LOC115259479|XP_029715924.1|AEAL
OG0001896	LOC108083536|XP_017034868.1|DKIK	LOC109417800|XP_019547520.2|AEAL
OG0001897	LOC108075601|XP_017023612.1|DKIK	LOC109400400|XP_029715817.1|AEAL, LOC115259546|XP_029716087.1|AEAL
OG0001898	LOC108083562|XP_017034906.1|DKIK	LOC109412726|XP_029716094.1|AEAL, LOC115259620|XP_029716232.1|AEAL
OG0001899	LOC108085725|XP_017037938.1|DKIK	LOC115259724|XP_029716360.1|AEAL, LOC109425332|XP_029716066.1|AEAL, LOC109419787|XP_029716052.1|AEAL, LOC115259537|XP_029716057.1|AEAL
