Orthogroup	DKIK.longest_only	BCOP.longest_only
OG0001344	LOC108073668|XP_017020883.1|DKIK	LOC119067089|XP_037025743.1|BCOP, LOC119067088|XP_037025742.1|BCOP
OG0001345	LOC108084275|XP_017035920.1|DKIK	LOC119068712|XP_037028296.1|BCOP
OG0001346	LOC108083070|XP_017034201.1|DKIK	LOC119070059|XP_037030247.1|BCOP
OG0001347	LOC108079445|XP_017029268.1|DKIK	LOC119068588|XP_037028129.1|BCOP
OG0001348	LOC108085973|XP_017038263.1|DKIK	LOC119081782|XP_037046887.1|BCOP
OG0001349	LOC108078723|XP_017028209.1|DKIK	LOC119076108|XP_037038668.1|BCOP
OG0001350	LOC108073839|XP_017021108.1|DKIK, LOC108073787|XP_017021043.1|DKIK, LOC108073865|XP_017021140.1|DKIK	LOC119069222|XP_037029139.1|BCOP
OG0001351	LOC108073077|XP_017020033.1|DKIK, LOC108073107|XP_017020086.1|DKIK	LOC119084977|XP_037051024.1|BCOP, LOC119084881|XP_037050921.1|BCOP
OG0001352	LOC108071379|XP_017017604.1|DKIK	LOC119073437|XP_037034814.1|BCOP
OG0001353	LOC108083094|XP_017034235.1|DKIK	LOC119067652|XP_037026648.1|BCOP
OG0001354	LOC108076426|XP_017024762.1|DKIK	LOC119075131|XP_037037410.1|BCOP, LOC119084554|XP_037050464.1|BCOP, LOC119084538|XP_037050441.1|BCOP, LOC119073015|XP_037034233.1|BCOP
OG0001355	LOC108078185|XP_017027340.1|DKIK	LOC119076251|XP_037038813.1|BCOP, LOC119078126|XP_037041488.1|BCOP
OG0001356	LOC108081495|XP_017032195.1|DKIK	LOC119079525|XP_037043401.1|BCOP
OG0001357	LOC108070594|XP_017016652.1|DKIK	LOC119080183|XP_037044308.1|BCOP, LOC119080187|XP_037044319.1|BCOP, LOC119071034|XP_037031528.1|BCOP, LOC119071033|XP_037031527.1|BCOP, LOC119080460|XP_037044726.1|BCOP
OG0001358	LOC108085515|XP_017037628.1|DKIK	LOC119080184|XP_037044309.1|BCOP, LOC119083376|XP_037048985.1|BCOP
OG0001359	LOC108077383|XP_017026166.1|DKIK	LOC119076426|XP_037039066.1|BCOP
OG0001360	LOC108077959|XP_017026988.1|DKIK	LOC119074489|XP_037036534.1|BCOP
OG0001361	LOC108078565|XP_017027973.1|DKIK	LOC119076931|XP_037039861.1|BCOP
OG0001362	LOC108078791|XP_017028337.1|DKIK	LOC119082193|XP_037047522.1|BCOP, LOC119083450|XP_037049069.1|BCOP
OG0001363	LOC108081763|XP_017032454.1|DKIK	LOC119076875|XP_037039779.1|BCOP, LOC119080901|XP_037045380.1|BCOP
OG0001364	LOC108072050|XP_017018523.1|DKIK	LOC119073335|XP_037034624.1|BCOP
OG0001365	LOC108071966|XP_017018431.1|DKIK	LOC119084893|XP_037050938.1|BCOP
OG0001366	LOC108070573|XP_017016614.1|DKIK, LOC108070572|XP_017016613.1|DKIK	LOC119082924|XP_037048474.1|BCOP
OG0001367	LOC108078180|XP_017027333.1|DKIK	LOC119078008|XP_037041291.1|BCOP
OG0001368	LOC108078078|XP_017027152.1|DKIK	LOC119081869|XP_037046996.1|BCOP, LOC119081865|XP_037046989.1|BCOP, LOC119081866|XP_037046990.1|BCOP
OG0001369	LOC108080726|XP_017031076.1|DKIK	LOC119080425|XP_037044670.1|BCOP, LOC119076370|XP_037038973.1|BCOP
OG0001370	LOC108074209|XP_017021636.1|DKIK	LOC119079586|XP_037043471.1|BCOP
OG0001371	LOC108083294|XP_017034523.1|DKIK, LOC108085490|XP_017037602.1|DKIK	LOC119072744|XP_037033922.1|BCOP
OG0001372	LOC108078418|XP_017027772.1|DKIK	LOC119081890|XP_037047013.1|BCOP, LOC119073081|XP_037034289.1|BCOP
OG0001373	LOC108073621|XP_017020809.1|DKIK	LOC119071460|XP_037032211.1|BCOP
OG0001374	LOC108074728|XP_017022373.1|DKIK	LOC119081445|XP_037046274.1|BCOP
OG0001375	LOC108080763|XP_017031106.1|DKIK	LOC119077671|XP_037040810.1|BCOP, LOC119077676|XP_037040822.1|BCOP, LOC119072638|XP_037033781.1|BCOP, LOC119078464|XP_037041896.1|BCOP, LOC119077673|XP_037040816.1|BCOP, LOC119077675|XP_037040820.1|BCOP
OG0001376	LOC108077968|XP_017026998.1|DKIK	LOC119073483|XP_037034883.1|BCOP
OG0001377	LOC108079619|XP_017029484.1|DKIK	LOC119085360|XP_037051633.1|BCOP
OG0001378	LOC108075972|XP_017024112.1|DKIK	LOC119073535|XP_037034971.1|BCOP
OG0001380	LOC108070939|XP_017017083.1|DKIK	LOC119081665|XP_037046643.1|BCOP
OG0001381	LOC108076372|XP_017024666.1|DKIK	LOC119068711|XP_037028295.1|BCOP, LOC119068709|XP_037028294.1|BCOP
OG0001382	LOC108085346|XP_017037393.1|DKIK	LOC119076360|XP_037038954.1|BCOP
OG0001383	LOC108078032|XP_017027081.1|DKIK	LOC119078241|XP_037041605.1|BCOP
OG0001384	LOC108082673|XP_017033661.1|DKIK	LOC119074606|XP_037036758.1|BCOP, LOC119072248|XP_037033323.1|BCOP, LOC119072247|XP_037033322.1|BCOP
OG0001385	LOC108077108|XP_017025789.1|DKIK	LOC119082316|XP_037047712.1|BCOP
OG0001387	LOC108072861|XP_017019666.1|DKIK	LOC119077011|XP_037040019.1|BCOP, LOC119073952|XP_037035732.1|BCOP
OG0001388	LOC108077056|XP_017025709.1|DKIK	LOC119078838|XP_037042435.1|BCOP
OG0001389	LOC108080941|XP_017031336.1|DKIK	LOC119070229|XP_037030392.1|BCOP
OG0001390	LOC108076306|XP_017024569.1|DKIK, LOC108076015|XP_017024165.1|DKIK, LOC108077340|XP_017026118.1|DKIK	LOC119066921|XP_037025519.1|BCOP, LOC119076711|XP_037039523.1|BCOP, LOC119079002|XP_037042664.1|BCOP, LOC119067954|XP_037027173.1|BCOP
OG0001391	LOC108082840|XP_017033895.1|DKIK	LOC119066428|XP_037024846.1|BCOP
OG0001392	LOC108080170|XP_017030303.1|DKIK	LOC119074919|XP_037037205.1|BCOP
OG0001393	LOC108074824|XP_017022511.1|DKIK	LOC119076493|XP_037039173.1|BCOP
OG0001394	LOC108077194|XP_017025927.1|DKIK	LOC119075488|XP_037037849.1|BCOP
OG0001395	LOC108084260|XP_017035893.1|DKIK, LOC108080877|XP_017031269.1|DKIK	LOC119074955|XP_037037239.1|BCOP
OG0001396	LOC108074130|XP_017021519.1|DKIK	LOC119083406|XP_037049020.1|BCOP, LOC119076413|XP_037039043.1|BCOP
OG0001397	LOC108072000|XP_017018466.1|DKIK	LOC119084135|XP_037049881.1|BCOP
OG0001398	LOC108079446|XP_017029269.1|DKIK	LOC119073267|XP_037034539.1|BCOP
OG0001399	LOC108075503|XP_017023464.1|DKIK, LOC108077294|XP_017026066.1|DKIK, LOC108083654|XP_017035018.1|DKIK, LOC108084505|XP_017036231.1|DKIK	LOC119066910|XP_037025505.1|BCOP
OG0001400	LOC108080802|XP_017031182.1|DKIK	LOC119075955|XP_037038417.1|BCOP
OG0001401	LOC108075026|XP_017022769.1|DKIK	LOC119080499|XP_037044793.1|BCOP, LOC119071758|XP_037032692.1|BCOP, LOC119081901|XP_037047030.1|BCOP, LOC119070024|XP_037030205.1|BCOP
OG0001402	LOC108083762|XP_017035174.1|DKIK, LOC108083761|XP_017035173.1|DKIK	LOC119078307|XP_037041703.1|BCOP
OG0001403	LOC108083302|XP_017034529.1|DKIK	LOC119072446|XP_037033558.1|BCOP
OG0001404	LOC108070874|XP_017017001.1|DKIK	LOC119075529|XP_037037893.1|BCOP
OG0001405	LOC108085102|XP_017037067.1|DKIK	LOC119071739|XP_037032666.1|BCOP
OG0001406	LOC108078919|XP_017028549.1|DKIK, LOC108084642|XP_017036422.1|DKIK	LOC119071455|XP_037032202.1|BCOP
OG0001407	LOC108077481|XP_017026292.1|DKIK	LOC119072463|XP_037033582.1|BCOP
OG0001411	LOC108075736|XP_017023772.1|DKIK	LOC119083601|XP_037049232.1|BCOP, LOC119077377|XP_037040463.1|BCOP, LOC119083602|XP_037049233.1|BCOP, LOC119070386|XP_037030600.1|BCOP, LOC119074488|XP_037036531.1|BCOP
OG0001429	LOC108077873|XP_017026899.1|DKIK	LOC119069720|XP_037029741.1|BCOP, LOC119069004|XP_037028776.1|BCOP
OG0001430	LOC108074073|XP_017021436.1|DKIK	LOC119069695|XP_037029719.1|BCOP
OG0001431	LOC108074162|XP_017021560.1|DKIK	LOC119068849|XP_037028560.1|BCOP
OG0001432	LOC108081943|XP_017032676.1|DKIK, LOC108083570|XP_017034915.1|DKIK	LOC119068544|XP_037028058.1|BCOP
OG0001433	LOC108083705|XP_017035091.1|DKIK	LOC119085603|XP_037051921.1|BCOP, LOC119085621|XP_037051939.1|BCOP
OG0001434	LOC108082943|XP_017034045.1|DKIK	LOC119067814|XP_037026864.1|BCOP
OG0001435	LOC108078106|XP_017027199.1|DKIK	LOC119070281|XP_037030442.1|BCOP
OG0001436	LOC108082898|XP_017033971.1|DKIK, LOC108080386|XP_017030599.1|DKIK	LOC119070372|XP_037030568.1|BCOP
OG0001437	LOC108074834|XP_017022524.1|DKIK	LOC119077714|XP_037040888.1|BCOP
OG0001438	LOC108081129|XP_017031636.1|DKIK	LOC119070579|XP_037030882.1|BCOP
OG0001439	LOC108071362|XP_017017593.1|DKIK	LOC119068124|XP_037027476.1|BCOP
OG0001440	LOC108076668|XP_017025092.1|DKIK	LOC119070767|XP_037031143.1|BCOP
OG0001442	LOC108077388|XP_017026170.1|DKIK	LOC119085588|XP_037051900.1|BCOP
OG0001443	LOC108085870|XP_017038117.1|DKIK	LOC119068350|XP_037027809.1|BCOP
OG0001444	LOC108073531|XP_017020701.1|DKIK	LOC119074569|XP_037036689.1|BCOP, LOC119082837|XP_037048387.1|BCOP
OG0001445	LOC108077760|XP_017026730.1|DKIK	LOC119066291|XP_037024561.1|BCOP
OG0001446	LOC108071324|XP_017017523.1|DKIK	LOC119067925|XP_037027128.1|BCOP, LOC119066853|XP_037025416.1|BCOP, LOC119067923|XP_037027122.1|BCOP
OG0001447	LOC108084261|XP_017035894.1|DKIK	LOC119067041|XP_037025676.1|BCOP
OG0001448	LOC108073720|XP_017020955.1|DKIK	LOC119084574|XP_037050524.1|BCOP, LOC119068674|XP_037028251.1|BCOP
OG0001449	LOC108078532|XP_017027933.1|DKIK	LOC119067787|XP_037026829.1|BCOP
OG0001450	LOC108074553|XP_017022143.1|DKIK	LOC119068156|XP_037027525.1|BCOP
OG0001451	LOC108081317|XP_017031895.1|DKIK	LOC119083373|XP_037048982.1|BCOP, LOC119083330|XP_037048911.1|BCOP
OG0001452	LOC108076786|XP_017025281.1|DKIK, LOC108076573|XP_017024972.1|DKIK	LOC119084935|XP_037050969.1|BCOP
OG0001453	LOC108080204|XP_017030349.1|DKIK	LOC119080452|XP_037044714.1|BCOP, LOC119080451|XP_037044711.1|BCOP
OG0001454	LOC108071444|XP_017017688.1|DKIK	LOC119068491|XP_037027998.1|BCOP, LOC119069190|XP_037029031.1|BCOP
OG0001455	LOC108078800|XP_017028354.1|DKIK	LOC119077311|XP_037040372.1|BCOP
OG0001456	LOC108085115|XP_017037084.1|DKIK	LOC119083642|XP_037049278.1|BCOP
OG0001457	LOC108081009|XP_017031434.1|DKIK	LOC119081950|XP_037047134.1|BCOP, LOC119072427|XP_037033540.1|BCOP
OG0001458	LOC108074665|XP_017022273.1|DKIK	LOC119079434|XP_037043242.1|BCOP
OG0001459	LOC108071653|XP_017017938.1|DKIK	LOC119081762|XP_037046850.1|BCOP
OG0001460	LOC108072869|XP_017019677.1|DKIK, LOC108072056|XP_017018537.1|DKIK	LOC119079206|XP_037042887.1|BCOP, LOC119079363|XP_037043106.1|BCOP, LOC119079207|XP_037042889.1|BCOP
OG0001461	LOC108079179|XP_017028919.1|DKIK, LOC108085462|XP_017037565.1|DKIK	LOC119084438|XP_037050343.1|BCOP, LOC119085389|XP_037051678.1|BCOP
OG0001462	LOC108079761|XP_017029672.1|DKIK	LOC119080004|XP_037044071.1|BCOP
OG0001463	LOC108081136|XP_017031646.1|DKIK	LOC119081083|XP_037045720.1|BCOP, LOC119082702|XP_037048175.1|BCOP, LOC119074416|XP_037036440.1|BCOP
OG0001464	LOC108079450|XP_017029273.1|DKIK	LOC119073222|XP_037034428.1|BCOP, LOC119085508|XP_037051817.1|BCOP, LOC119085075|XP_037051210.1|BCOP, LOC119085507|XP_037051816.1|BCOP, LOC119085501|XP_037051812.1|BCOP, LOC119082133|XP_037047406.1|BCOP, LOC119085074|XP_037051207.1|BCOP, LOC119073018|XP_037034235.1|BCOP
OG0001465	LOC108078560|XP_017027967.1|DKIK	LOC119081152|XP_037045800.1|BCOP
OG0001466	LOC108076904|XP_017025433.1|DKIK	LOC119079375|XP_037043143.1|BCOP, LOC119079376|XP_037043148.1|BCOP
OG0001467	LOC108082000|XP_017032732.1|DKIK	LOC119085874|XP_037052278.1|BCOP
OG0001468	LOC108078612|XP_017028021.1|DKIK	LOC119080863|XP_037045335.1|BCOP
OG0001469	LOC108072949|XP_017019815.1|DKIK	LOC119081330|XP_037046012.1|BCOP
OG0001470	LOC108083002|XP_017034115.1|DKIK	LOC119074223|XP_037036130.1|BCOP, LOC119074224|XP_037036133.1|BCOP, LOC119074272|XP_037036189.1|BCOP
OG0001471	LOC108071519|XP_017017777.1|DKIK	LOC119075238|XP_037037529.1|BCOP
OG0001472	LOC108079718|XP_017029616.1|DKIK	LOC119073631|XP_037035117.1|BCOP
OG0001473	LOC108084327|XP_017035977.1|DKIK	LOC119068774|XP_037028428.1|BCOP
OG0001474	LOC108083886|XP_017035365.1|DKIK	LOC119083216|XP_037048778.1|BCOP
OG0001475	LOC108073092|XP_017020067.1|DKIK	LOC119085938|XP_037052386.1|BCOP
OG0001476	LOC108077564|XP_017026444.1|DKIK, LOC108070762|XP_017016851.1|DKIK	LOC119073252|XP_037034502.1|BCOP
OG0001477	LOC108073488|XP_017020635.1|DKIK	LOC119080073|XP_037044187.1|BCOP
OG0001478	LOC108086106|XP_017038423.1|DKIK	LOC119084634|XP_037050598.1|BCOP, LOC119066327|XP_037024619.1|BCOP
OG0001479	LOC108076100|XP_017024311.1|DKIK, LOC108075133|XP_017022905.1|DKIK	LOC119081696|XP_037046691.1|BCOP
OG0001480	LOC108086128|XP_017038469.1|DKIK	LOC119079619|XP_037043510.1|BCOP
OG0001481	LOC108079606|XP_017029456.1|DKIK	LOC119085854|XP_037052259.1|BCOP
OG0001482	LOC108076251|XP_017024489.1|DKIK	LOC119078892|XP_037042517.1|BCOP
OG0001483	LOC108083449|XP_017034710.1|DKIK	LOC119069194|XP_037029036.1|BCOP
OG0001485	LOC108085507|XP_017037620.1|DKIK	LOC119066875|XP_037025444.1|BCOP
OG0001486	LOC108077031|XP_017025647.1|DKIK	LOC119075372|XP_037037693.1|BCOP
OG0001487	LOC108085948|XP_017038227.1|DKIK	LOC119071292|XP_037032057.1|BCOP
OG0001488	LOC108070774|XP_017016862.1|DKIK	LOC119080267|XP_037044416.1|BCOP, LOC119080265|XP_037044409.1|BCOP
OG0001489	LOC108082761|XP_017033767.1|DKIK	LOC119082548|XP_037047954.1|BCOP
OG0001490	LOC108075910|XP_017024024.1|DKIK	LOC119082084|XP_037047339.1|BCOP
OG0001491	LOC108074557|XP_017022145.1|DKIK	LOC119078712|XP_037042279.1|BCOP
OG0001493	LOC108083358|XP_017034590.1|DKIK	LOC119075234|XP_037037521.1|BCOP
OG0001494	LOC108074923|XP_017022639.1|DKIK	LOC119077643|XP_037040759.1|BCOP
OG0001495	LOC108078112|XP_017027205.1|DKIK	LOC119074897|XP_037037139.1|BCOP
OG0001496	LOC108083439|XP_017034684.1|DKIK	LOC119074211|XP_037036147.1|BCOP
OG0001497	LOC108078450|XP_017027827.1|DKIK	LOC119078593|XP_037042074.1|BCOP, LOC119081292|XP_037045948.1|BCOP, LOC119072594|XP_037033744.1|BCOP
OG0001498	LOC108085481|XP_017037588.1|DKIK	LOC119074573|XP_037036695.1|BCOP
OG0001500	LOC108082520|XP_017033438.1|DKIK	LOC119068893|XP_037028658.1|BCOP
OG0001501	LOC108085601|XP_017037759.1|DKIK	LOC119080610|XP_037044907.1|BCOP
OG0001502	LOC108072449|XP_017019065.1|DKIK	LOC119079851|XP_037043814.1|BCOP
OG0001503	LOC108081784|XP_017032491.1|DKIK, LOC108081294|XP_017031870.1|DKIK	LOC119083702|XP_037049389.1|BCOP, LOC119077333|XP_037040410.1|BCOP
OG0001504	LOC108080304|XP_017030467.1|DKIK	LOC119072387|XP_037033490.1|BCOP
OG0001506	LOC108078357|XP_017027663.1|DKIK	LOC119079020|XP_037042692.1|BCOP
OG0001507	LOC108072343|XP_017018922.1|DKIK	LOC119071742|XP_037032669.1|BCOP
OG0001508	LOC108084163|XP_017035735.1|DKIK	LOC119080040|XP_037044136.1|BCOP, LOC119066573|XP_037025018.1|BCOP
OG0001509	LOC108072294|XP_017018849.1|DKIK	LOC119083247|XP_037048804.1|BCOP
OG0001510	LOC108075961|XP_017024099.1|DKIK	LOC119081977|XP_037047185.1|BCOP, LOC119072757|XP_037033941.1|BCOP
OG0001511	LOC108072373|XP_017018962.1|DKIK	LOC119066136|XP_037024322.1|BCOP
OG0001512	LOC108078289|XP_017027553.1|DKIK	LOC119071191|XP_037031860.1|BCOP, LOC119077034|XP_037040054.1|BCOP, LOC119071183|XP_037031848.1|BCOP, LOC119071407|XP_037032181.1|BCOP, LOC119071406|XP_037032179.1|BCOP, LOC119071408|XP_037032182.1|BCOP, LOC119071188|XP_037031857.1|BCOP
OG0001513	LOC108079253|XP_017029034.1|DKIK, LOC108075443|XP_017023423.1|DKIK	LOC119071130|XP_037031699.1|BCOP
OG0001515	LOC108080333|XP_017030522.1|DKIK	LOC119076873|XP_037039777.1|BCOP
OG0001517	LOC108083643|XP_017035004.1|DKIK	LOC119085002|XP_037051073.1|BCOP
OG0001518	LOC108071701|XP_017018005.1|DKIK	LOC119067207|XP_037025945.1|BCOP
OG0001534	LOC108079248|XP_017029025.1|DKIK, LOC108072440|XP_017019052.1|DKIK, LOC108079136|XP_017028872.1|DKIK	LOC119069790|XP_037029827.1|BCOP
OG0001535	LOC108074180|XP_017021606.1|DKIK	LOC119081291|XP_037045952.1|BCOP
OG0001536	LOC108083352|XP_017034585.1|DKIK	LOC119083641|XP_037049277.1|BCOP
OG0001537	LOC108074263|XP_017021723.1|DKIK	LOC119070285|XP_037030449.1|BCOP, LOC119070287|XP_037030450.1|BCOP
OG0001538	LOC108083574|XP_017034920.1|DKIK	LOC119084761|XP_037050722.1|BCOP
OG0001539	LOC108074204|XP_017021632.1|DKIK	LOC119080435|XP_037044693.1|BCOP
OG0001540	LOC108077214|XP_017025955.1|DKIK	LOC119077061|XP_037040084.1|BCOP
OG0001541	LOC108072628|XP_017019351.1|DKIK	LOC119067503|XP_037026408.1|BCOP, LOC119074747|XP_037036905.1|BCOP
OG0001542	LOC108071453|XP_017017699.1|DKIK	LOC119083755|XP_037049434.1|BCOP
OG0001543	LOC108071053|XP_017017218.1|DKIK, LOC108081675|XP_017032382.1|DKIK, LOC108071703|XP_017018008.1|DKIK	LOC119067212|XP_037025951.1|BCOP
OG0001544	LOC108071210|XP_017017382.1|DKIK	LOC119068022|XP_037027277.1|BCOP
OG0001545	LOC108084685|XP_017036506.1|DKIK	LOC119071911|XP_037032925.1|BCOP, LOC119067565|XP_037026541.1|BCOP
OG0001546	LOC108084671|XP_017036487.1|DKIK	LOC119084624|XP_037050587.1|BCOP, LOC119069480|XP_037029442.1|BCOP, LOC119071884|XP_037032878.1|BCOP
OG0001547	LOC108071757|XP_017018073.1|DKIK	LOC119067177|XP_037025885.1|BCOP
OG0001548	LOC108083964|XP_017035460.1|DKIK, LOC108085956|XP_017038232.1|DKIK	LOC119067604|XP_037026594.1|BCOP
OG0001549	LOC108077018|XP_017025610.1|DKIK	LOC119078658|XP_037042167.1|BCOP
OG0001550	LOC108085903|XP_017038161.1|DKIK, LOC108073921|XP_017021211.1|DKIK	LOC119067024|XP_037025651.1|BCOP
OG0001551	LOC108073557|XP_017020732.1|DKIK	LOC119068659|XP_037028230.1|BCOP
OG0001552	LOC108083248|XP_017034446.1|DKIK	LOC119069945|XP_037030067.1|BCOP
OG0001553	LOC108082895|XP_017033969.1|DKIK, LOC108074139|XP_017021528.1|DKIK	LOC119068481|XP_037027987.1|BCOP, LOC119077795|XP_037041001.1|BCOP
OG0001554	LOC108077586|XP_017026469.1|DKIK	LOC119068534|XP_037028040.1|BCOP
OG0001556	LOC108076802|XP_017025316.1|DKIK	LOC119069503|XP_037029472.1|BCOP
OG0001557	LOC108083534|XP_017034857.1|DKIK	LOC119077131|XP_037040206.1|BCOP
OG0001558	LOC108084733|XP_017036544.1|DKIK	LOC119085650|XP_037051990.1|BCOP
OG0001559	LOC108077791|XP_017026780.1|DKIK	LOC119069552|XP_037029526.1|BCOP, LOC119067227|XP_037025974.1|BCOP
OG0001560	LOC108074075|XP_017021440.1|DKIK	LOC119070423|XP_037030655.1|BCOP
OG0001561	LOC108075567|XP_017023571.1|DKIK	LOC119078770|XP_037042373.1|BCOP
OG0001562	LOC108077347|XP_017026125.1|DKIK	LOC119073818|XP_037035490.1|BCOP
OG0001563	LOC108078562|XP_017027970.1|DKIK, LOC108077779|XP_017026770.1|DKIK	LOC119067500|XP_037026402.1|BCOP
OG0001564	LOC108073472|XP_017020605.1|DKIK	LOC119067239|XP_037025996.1|BCOP
OG0001565	LOC108071432|XP_017017673.1|DKIK	LOC119067360|XP_037026166.1|BCOP
OG0001566	LOC108084141|XP_017035674.1|DKIK	LOC119067590|XP_037026583.1|BCOP
OG0001567	LOC108078330|XP_017027617.1|DKIK	LOC119085861|XP_037052270.1|BCOP
OG0001568	LOC108077604|XP_017026489.1|DKIK	LOC119069780|XP_037029810.1|BCOP
OG0001570	LOC108074097|XP_017021480.1|DKIK	LOC119070649|XP_037030978.1|BCOP, LOC119070659|XP_037030988.1|BCOP, LOC119067461|XP_037026342.1|BCOP
OG0001571	LOC108077178|XP_017025905.1|DKIK	LOC119066962|XP_037025589.1|BCOP
OG0001572	LOC108083608|XP_017034968.1|DKIK	LOC119073400|XP_037034725.1|BCOP
OG0001573	LOC108078828|XP_017028405.1|DKIK	LOC119082450|XP_037047868.1|BCOP, LOC119083348|XP_037048936.1|BCOP
OG0001574	LOC108080249|XP_017030396.1|DKIK	LOC119071041|XP_037031536.1|BCOP, LOC119073628|XP_037035113.1|BCOP
OG0001575	LOC108084548|XP_017036285.1|DKIK	LOC119070120|XP_037030329.1|BCOP, LOC119071146|XP_037031769.1|BCOP
OG0001576	LOC108084814|XP_017036663.1|DKIK	LOC119082146|XP_037047441.1|BCOP, LOC119084794|XP_037050755.1|BCOP
OG0001577	LOC108073455|XP_017020578.1|DKIK	LOC119076585|XP_037039324.1|BCOP
OG0001578	LOC108081150|XP_017031678.1|DKIK	LOC119066452|XP_037024848.1|BCOP, LOC119085051|XP_037051162.1|BCOP, LOC119085839|XP_037052237.1|BCOP, LOC119082619|XP_037048073.1|BCOP
OG0001579	LOC108083411|XP_017034654.1|DKIK	LOC119083540|XP_037049158.1|BCOP
OG0001580	LOC108078541|XP_017027943.1|DKIK	LOC119080394|XP_037044608.1|BCOP
OG0001581	LOC108080104|XP_017030208.1|DKIK	LOC119081125|XP_037045764.1|BCOP
OG0001582	LOC108072926|XP_017019761.1|DKIK	LOC119073350|XP_037034640.1|BCOP
OG0001584	LOC108073454|XP_017020576.1|DKIK	LOC119074639|XP_037036814.1|BCOP, LOC119067311|XP_037026114.1|BCOP
OG0001585	LOC108083460|XP_017034727.1|DKIK	LOC119067960|XP_037027182.1|BCOP
OG0001586	LOC108078206|XP_017027383.1|DKIK, LOC108083811|XP_017035247.1|DKIK	LOC119081213|XP_037045828.1|BCOP
OG0001587	LOC108083716|XP_017035112.1|DKIK	LOC119071784|XP_037032739.1|BCOP
OG0001588	LOC108078452|XP_017027830.1|DKIK	LOC119073902|XP_037035686.1|BCOP
OG0001589	LOC108083946|XP_017035439.1|DKIK	LOC119072887|XP_037034105.1|BCOP
OG0001590	LOC108076613|XP_017025024.1|DKIK	LOC119071876|XP_037032846.1|BCOP
OG0001591	LOC108075717|XP_017023744.1|DKIK	LOC119082064|XP_037047296.1|BCOP
OG0001592	LOC108076993|XP_017025542.1|DKIK	LOC119066743|XP_037025260.1|BCOP
OG0001593	LOC108077273|XP_017026031.1|DKIK	LOC119066748|XP_037025272.1|BCOP, LOC119066741|XP_037025258.1|BCOP
OG0001595	LOC108073115|XP_017020098.1|DKIK	LOC119073618|XP_037035090.1|BCOP
OG0001596	LOC108072582|XP_017019279.1|DKIK	LOC119074048|XP_037035889.1|BCOP, LOC119082323|XP_037047717.1|BCOP, LOC119078412|XP_037041808.1|BCOP, LOC119077099|XP_037040151.1|BCOP
OG0001597	LOC108083513|XP_017034816.1|DKIK	LOC119081933|XP_037047081.1|BCOP
OG0001598	LOC108074416|XP_017021933.1|DKIK	LOC119081944|XP_037047103.1|BCOP
OG0001599	LOC108075940|XP_017024072.1|DKIK	LOC119077001|XP_037040003.1|BCOP
OG0001601	LOC108082234|XP_017033061.1|DKIK	LOC119078696|XP_037042253.1|BCOP
OG0001602	LOC108082251|XP_017033083.1|DKIK	LOC119085260|XP_037051503.1|BCOP
OG0001603	LOC108077291|XP_017026059.1|DKIK	LOC119072752|XP_037033933.1|BCOP, LOC119072750|XP_037033931.1|BCOP
OG0001604	LOC108073533|XP_017020703.1|DKIK, LOC108080402|XP_017030619.1|DKIK	LOC119084493|XP_037050394.1|BCOP
OG0001605	LOC108079410|XP_017029226.1|DKIK, LOC108070917|XP_017017065.1|DKIK	LOC119073863|XP_037035623.1|BCOP
OG0001606	LOC108081307|XP_017031889.1|DKIK	LOC119071515|XP_037032285.1|BCOP
OG0001607	LOC108077410|XP_017026199.1|DKIK	LOC119081917|XP_037047049.1|BCOP
OG0001608	LOC108081533|XP_017032240.1|DKIK	LOC119069430|XP_037029382.1|BCOP, LOC119070907|XP_037031331.1|BCOP
OG0001609	LOC108077978|XP_017027009.1|DKIK	LOC119080234|XP_037044376.1|BCOP
OG0001610	LOC108072496|XP_017019151.1|DKIK	LOC119085960|XP_037052411.1|BCOP
OG0001611	LOC108082173|XP_017032967.1|DKIK	LOC119078606|XP_037042095.1|BCOP
OG0001612	LOC108079576|XP_017029409.1|DKIK	LOC119068420|XP_037027884.1|BCOP, LOC119085336|XP_037051614.1|BCOP
OG0001613	LOC108077187|XP_017025920.1|DKIK	LOC119078421|XP_037041823.1|BCOP
OG0001614	LOC108078307|XP_017027582.1|DKIK	LOC119084837|XP_037050828.1|BCOP
OG0001615	LOC108081465|XP_017032147.1|DKIK	LOC119082410|XP_037047838.1|BCOP
OG0001616	LOC108081412|XP_017032085.1|DKIK, LOC108082235|XP_017033062.1|DKIK	LOC119075332|XP_037037655.1|BCOP
OG0001617	LOC108082801|XP_017033845.1|DKIK	LOC119071474|XP_037032218.1|BCOP
OG0001618	LOC108076986|XP_017025534.1|DKIK	LOC119078628|XP_037042122.1|BCOP
OG0001619	LOC108082886|XP_017033957.1|DKIK	LOC119071103|XP_037031640.1|BCOP
OG0001620	LOC108078403|XP_017027749.1|DKIK	LOC119085342|XP_037051620.1|BCOP
OG0001621	LOC108078058|XP_017027110.1|DKIK	LOC119066774|XP_037025323.1|BCOP, LOC119080914|XP_037045424.1|BCOP, LOC119077640|XP_037040755.1|BCOP, LOC119070524|XP_037030795.1|BCOP, LOC119066295|XP_037024565.1|BCOP, LOC119083210|XP_037048772.1|BCOP
OG0001622	LOC108076867|XP_017025389.1|DKIK	LOC119068566|XP_037028089.1|BCOP
