Orthogroup	BCOP.longest_only	DERE.longest_only
OG0001207	LOC119084185|XP_037049953.1|BCOP	LOC6549664|XP_026837731.1|DERE
OG0001210	LOC119068077|XP_037027378.1|BCOP	LOC6550627|XP_001978166.2|DERE
OG0001212	LOC119068310|XP_037027746.1|BCOP	LOC6550867|XP_001978227.1|DERE
OG0001213	LOC119068313|XP_037027752.1|BCOP	LOC6552120|XP_001979727.1|DERE
OG0001214	LOC119066168|XP_037024358.1|BCOP, LOC119068969|XP_037028729.1|BCOP	LOC6554916|XP_001982238.1|DERE
OG0001215	LOC119067338|XP_037026138.1|BCOP	LOC6552713|XP_026831440.1|DERE
OG0001216	LOC119067343|XP_037026146.1|BCOP, LOC119067344|XP_037026147.1|BCOP	LOC6552772|XP_001979957.2|DERE
OG0001217	LOC119085676|XP_037052019.1|BCOP	LOC6548324|XP_001973939.2|DERE
OG0001220	LOC119080143|XP_037044254.1|BCOP, LOC119080142|XP_037044252.1|BCOP, LOC119080141|XP_037044251.1|BCOP	LOC6543155|XP_001970651.1|DERE
OG0001221	LOC119072814|XP_037034004.1|BCOP, LOC119078069|XP_037041414.1|BCOP, LOC119073652|XP_037035146.1|BCOP	LOC6547787|XP_026836644.1|DERE
OG0001222	LOC119078371|XP_037041771.1|BCOP	LOC6555040|XP_026831439.1|DERE
OG0001223	LOC119079449|XP_037043258.1|BCOP, LOC119071545|XP_037032339.1|BCOP	LOC6541021|XP_001970869.3|DERE
OG0001224	LOC119071511|XP_037032275.1|BCOP	LOC6548498|XP_001975311.1|DERE
OG0001225	LOC119079331|XP_037043024.1|BCOP	LOC6543112|XP_026834471.1|DERE
OG0001226	LOC119079509|XP_037043359.1|BCOP	LOC6547174|XP_001976091.1|DERE
OG0001227	LOC119072561|XP_037033694.1|BCOP, LOC119072562|XP_037033697.1|BCOP	LOC6541093|XP_015014849.1|DERE
OG0001229	LOC119080001|XP_037044068.1|BCOP	LOC6541715|XP_026838627.1|DERE
OG0001230	LOC119075518|XP_037037885.1|BCOP	LOC6548529|XP_001975369.1|DERE
OG0001231	LOC119069408|XP_037029352.1|BCOP, LOC119085250|XP_037051481.1|BCOP	LOC6548545|XP_001973923.1|DERE
OG0001233	LOC119077143|XP_037040222.1|BCOP	LOC6541493|XP_026835028.1|DERE
OG0001234	LOC119080165|XP_037044281.1|BCOP	LOC6548779|XP_001975434.1|DERE
OG0001235	LOC119066204|XP_037024418.1|BCOP	LOC6540819|XP_001968183.1|DERE
OG0001236	LOC119076423|XP_037039060.1|BCOP	LOC6545231|XP_001973465.3|DERE
OG0001237	LOC119066412|XP_037024783.1|BCOP	LOC6553936|XP_026839887.1|DERE
OG0001238	LOC119067592|XP_037026588.1|BCOP	LOC6554410|XP_026838513.1|DERE
OG0001239	LOC119080900|XP_037045379.1|BCOP, LOC119071778|XP_037032732.1|BCOP	LOC6553742|XP_001980360.2|DERE
OG0001240	LOC119071571|XP_037032408.1|BCOP, LOC119071617|XP_037032455.1|BCOP, LOC119069733|XP_037029759.1|BCOP	LOC6554398|XP_026839734.1|DERE
OG0001241	LOC119076890|XP_037039790.1|BCOP	LOC6546818|XP_001975928.1|DERE
OG0001242	LOC119074893|XP_037037134.1|BCOP	LOC6550330|XP_026838219.1|DERE
OG0001243	LOC119080215|XP_037044349.1|BCOP	LOC6545346|XP_015012980.1|DERE
OG0001244	LOC119081757|XP_037046842.1|BCOP, LOC119084826|XP_037050801.1|BCOP	LOC6552764|XP_001979949.1|DERE
OG0001245	LOC119072143|XP_037033181.1|BCOP	LOC6553773|XP_001979440.2|DERE
OG0001246	LOC119082098|XP_037047361.1|BCOP	LOC6548132|XP_001976509.1|DERE
OG0001248	LOC119075245|XP_037037539.1|BCOP	LOC6545475|XP_001971587.1|DERE
OG0001249	LOC119080457|XP_037044720.1|BCOP	LOC6554195|XP_026831624.1|DERE, LOC6551192|XP_001977026.1|DERE
OG0001257	LOC119085040|XP_037051135.1|BCOP	LOC6555838|XP_026839144.1|DERE
OG0001258	LOC119069519|XP_037029493.1|BCOP, LOC119076546|XP_037039236.1|BCOP	LOC6552916|XP_001980979.1|DERE
OG0001259	LOC119070552|XP_037030845.1|BCOP	LOC6555762|XP_001982668.1|DERE
OG0001260	LOC119068993|XP_037028764.1|BCOP	LOC6551952|XP_001980706.1|DERE
OG0001261	LOC119070076|XP_037030271.1|BCOP	LOC6549872|XP_001978653.2|DERE
OG0001262	LOC119085722|XP_037052066.1|BCOP	LOC6543849|XP_001972350.3|DERE
OG0001263	LOC119070353|XP_037030541.1|BCOP	LOC6554157|XP_026839561.1|DERE, LOC113563722|XP_026831611.1|DERE
OG0001264	LOC119078566|XP_037042032.1|BCOP, LOC119068128|XP_037027482.1|BCOP	LOC6541322|XP_001968615.2|DERE
OG0001265	LOC119069911|XP_037030014.1|BCOP	LOC6555689|XP_015008807.1|DERE
OG0001266	LOC119077021|XP_037040031.1|BCOP	LOC6548086|XP_001975202.2|DERE
OG0001267	LOC119084811|XP_037050775.1|BCOP, LOC119069963|XP_037030093.1|BCOP	LOC6555281|XP_015008835.1|DERE
OG0001269	LOC119070358|XP_037030547.1|BCOP	LOC6546997|XP_001976039.1|DERE
OG0001270	LOC119077657|XP_037040770.1|BCOP	LOC6552687|XP_001978950.1|DERE
OG0001271	LOC119080744|XP_037045188.1|BCOP, LOC119084964|XP_037051008.1|BCOP	LOC6542309|XP_001969101.1|DERE
OG0001272	LOC119066265|XP_037024514.1|BCOP, LOC119080600|XP_037044897.1|BCOP, LOC119080172|XP_037044289.1|BCOP	LOC6545961|XP_026832486.1|DERE
OG0001273	LOC119085730|XP_037052091.1|BCOP	LOC6552245|XP_026839525.1|DERE
OG0001274	LOC119071667|XP_037032541.1|BCOP	LOC6545550|XP_001973389.1|DERE
OG0001275	LOC119077876|XP_037041124.1|BCOP	LOC6550628|XP_015011303.1|DERE
OG0001276	LOC119078766|XP_037042372.1|BCOP	LOC6546447|XP_001971816.1|DERE
OG0001278	LOC119083449|XP_037049066.1|BCOP, LOC119082191|XP_037047510.1|BCOP	LOC6543976|XP_001972210.1|DERE
OG0001279	LOC119082184|XP_037047501.1|BCOP, LOC119083062|XP_037048580.1|BCOP	LOC6545644|XP_001972165.1|DERE
OG0001280	LOC119073374|XP_037034692.1|BCOP	LOC6544826|XP_026832479.1|DERE
OG0001281	LOC119080644|XP_037044952.1|BCOP, LOC119080642|XP_037044951.1|BCOP	LOC6546026|XP_001971211.2|DERE
OG0001282	LOC119070562|XP_037030865.1|BCOP	LOC6541864|XP_026835270.1|DERE, LOC113564235|XP_026835624.1|DERE
OG0001283	LOC119082204|XP_037047534.1|BCOP, LOC119076452|XP_037039114.1|BCOP	LOC6548769|XP_001975424.1|DERE
OG0001284	LOC119072278|XP_037033366.1|BCOP	LOC6541564|XP_001970923.1|DERE
OG0001285	LOC119071935|XP_037032952.1|BCOP, LOC119073343|XP_037034632.1|BCOP	LOC6545081|XP_001971036.1|DERE
OG0001286	LOC119075691|XP_037038109.1|BCOP, LOC119074449|XP_037036475.1|BCOP, LOC119075693|XP_037038110.1|BCOP, LOC119075696|XP_037038117.1|BCOP, LOC119078022|XP_037041313.1|BCOP, LOC119075694|XP_037038115.1|BCOP, LOC119072764|XP_037033954.1|BCOP, LOC119075695|XP_037038116.1|BCOP	LOC6548746|XP_001974103.1|DERE
OG0001287	LOC119068416|XP_037027883.1|BCOP	LOC6553174|XP_001980010.1|DERE
OG0001288	LOC119077031|XP_037040049.1|BCOP	LOC6542539|XP_001968211.1|DERE
OG0001289	LOC119070699|XP_037031045.1|BCOP	LOC6548956|XP_026836394.1|DERE
OG0001290	LOC119077062|XP_037040094.1|BCOP	LOC6541299|XP_026834189.1|DERE, LOC113564240|XP_026835632.1|DERE
OG0001291	LOC119072054|XP_037033079.1|BCOP	LOC6547993|XP_001976495.1|DERE
OG0001292	LOC119071121|XP_037031664.1|BCOP	LOC6548308|XP_026837047.1|DERE
OG0001293	LOC119072053|XP_037033082.1|BCOP	LOC6550994|XP_001976870.1|DERE
OG0001294	LOC119086076|XP_037052546.1|BCOP	LOC6551990|XP_026832086.1|DERE
OG0001295	LOC119074602|XP_037036749.1|BCOP	LOC6550653|XP_001978043.1|DERE
OG0001296	LOC119074741|XP_037036898.1|BCOP	LOC113564239|XP_026835631.1|DERE, LOC6541458|XP_026834489.1|DERE
OG0001297	LOC119076741|XP_037039580.1|BCOP	LOC6554487|XP_001981932.1|DERE
OG0001298	LOC119085776|XP_037052167.1|BCOP, LOC119067013|XP_037025637.1|BCOP	LOC6553334|XP_001979307.1|DERE
OG0001299	LOC119074935|XP_037037221.1|BCOP	LOC6544268|XP_001971954.1|DERE
OG0001300	LOC119083181|XP_037048736.1|BCOP	LOC6551784|XP_001980597.1|DERE
OG0001301	LOC119068447|XP_037027923.1|BCOP	LOC6542841|XP_001970076.1|DERE
OG0001302	LOC119082840|XP_037048392.1|BCOP, LOC119084858|XP_037050887.1|BCOP	LOC6547451|XP_026836566.1|DERE
OG0001303	LOC119067286|XP_037026066.1|BCOP	LOC6556244|XP_026839555.1|DERE, LOC6552357|XP_001979821.1|DERE, LOC6552355|XP_001979819.1|DERE
OG0001304	LOC119078465|XP_037041902.1|BCOP	LOC6549513|XP_026836132.1|DERE
OG0001305	LOC119078132|XP_037041498.1|BCOP	LOC6552686|XP_026835679.1|DERE
OG0001306	LOC119069549|XP_037029523.1|BCOP	LOC6552486|XP_001979835.1|DERE
OG0001307	LOC119074401|XP_037036417.1|BCOP	LOC6545096|XP_015013259.1|DERE
OG0001309	LOC119077885|XP_037041144.1|BCOP	LOC6553357|XP_001980186.1|DERE
OG0001310	LOC119084874|XP_037050909.1|BCOP, LOC119085692|XP_037052037.1|BCOP	LOC6550372|XP_001977853.1|DERE
OG0001311	LOC119083176|XP_037048730.1|BCOP, LOC119070013|XP_037030187.1|BCOP, LOC119070031|XP_037030212.1|BCOP	LOC6550257|XP_026838073.1|DERE
OG0001313	LOC119072484|XP_037033612.1|BCOP	LOC6549055|XP_001975577.1|DERE
OG0001315	LOC119083708|XP_037049392.1|BCOP, LOC119071029|XP_037031519.1|BCOP	LOC6555559|XP_001982584.1|DERE
OG0001326	LOC119068673|XP_037028250.1|BCOP	LOC6555294|XP_026839773.1|DERE
OG0001328	LOC119070657|XP_037030983.1|BCOP, LOC119067324|XP_037026125.1|BCOP	LOC6550709|XP_026838036.1|DERE
OG0001329	LOC119067609|XP_037026597.1|BCOP	LOC6550002|XP_001977468.1|DERE
OG0001330	LOC119082152|XP_037047448.1|BCOP	LOC6550582|XP_001978183.1|DERE
OG0001331	LOC119069973|XP_037030111.1|BCOP	LOC6555632|XP_001982516.1|DERE
OG0001332	LOC119068843|XP_037028545.1|BCOP, LOC119068844|XP_037028552.1|BCOP	LOC6550077|XP_026837754.1|DERE
OG0001333	LOC119069998|XP_037030145.1|BCOP, LOC119070001|XP_037030147.1|BCOP	LOC6542171|XP_001968537.2|DERE
OG0001334	LOC119067734|XP_037026742.1|BCOP	LOC6555347|XP_026839639.1|DERE
OG0001335	LOC119068138|XP_037027494.1|BCOP, LOC119068921|XP_037028678.1|BCOP	LOC6553840|XP_026839811.1|DERE
OG0001337	LOC119067232|XP_037025981.1|BCOP	LOC6550059|XP_026838050.1|DERE
OG0001338	LOC119085777|XP_037052168.1|BCOP	LOC6548277|XP_001975259.1|DERE
OG0001339	LOC119068739|XP_037028335.1|BCOP, LOC119079641|XP_037043560.1|BCOP	LOC6546591|XP_001975905.2|DERE
OG0001340	LOC119068557|XP_037028078.1|BCOP, LOC119068772|XP_037028422.1|BCOP	LOC6544880|XP_001973840.2|DERE
OG0001341	LOC119067839|XP_037026909.1|BCOP	LOC6554548|XP_001981949.1|DERE
OG0001343	LOC119068819|XP_037028488.1|BCOP	LOC6552718|XP_001979047.1|DERE
OG0001344	LOC119067089|XP_037025743.1|BCOP, LOC119067088|XP_037025742.1|BCOP	LOC6554960|XP_026839874.1|DERE
OG0001345	LOC119068712|XP_037028296.1|BCOP	LOC6552044|XP_001980720.1|DERE
OG0001346	LOC119070059|XP_037030247.1|BCOP	LOC6552501|XP_001980856.2|DERE, LOC6552502|XP_026834514.1|DERE
OG0001347	LOC119068588|XP_037028129.1|BCOP	LOC6549692|XP_001978725.1|DERE
OG0001348	LOC119081782|XP_037046887.1|BCOP	LOC6550033|XP_001977499.1|DERE
OG0001349	LOC119076108|XP_037038668.1|BCOP	LOC6545659|XP_026833979.1|DERE
OG0001350	LOC119069222|XP_037029139.1|BCOP	LOC6544580|XP_026833344.1|DERE
OG0001351	LOC119084977|XP_037051024.1|BCOP, LOC119084881|XP_037050921.1|BCOP	LOC6541096|XP_001969111.1|DERE
OG0001352	LOC119073437|XP_037034814.1|BCOP	LOC6541987|XP_015014695.1|DERE
OG0001353	LOC119067652|XP_037026648.1|BCOP	LOC6544339|XP_026833190.1|DERE
OG0001354	LOC119075131|XP_037037410.1|BCOP, LOC119084554|XP_037050464.1|BCOP, LOC119084538|XP_037050441.1|BCOP, LOC119073015|XP_037034233.1|BCOP	LOC6547922|XP_015012652.1|DERE
OG0001355	LOC119076251|XP_037038813.1|BCOP, LOC119078126|XP_037041488.1|BCOP	LOC6546656|XP_001974499.1|DERE
OG0001356	LOC119079525|XP_037043401.1|BCOP	LOC6551923|XP_026832033.1|DERE
OG0001357	LOC119080183|XP_037044308.1|BCOP, LOC119080187|XP_037044319.1|BCOP, LOC119071034|XP_037031528.1|BCOP, LOC119071033|XP_037031527.1|BCOP, LOC119080460|XP_037044726.1|BCOP	LOC6543839|XP_001971411.1|DERE
OG0001358	LOC119080184|XP_037044309.1|BCOP, LOC119083376|XP_037048985.1|BCOP	LOC6546068|XP_001972809.1|DERE
OG0001359	LOC119076426|XP_037039066.1|BCOP	LOC6541153|XP_001970052.1|DERE
OG0001360	LOC119074489|XP_037036534.1|BCOP	LOC6541940|XP_001969119.1|DERE
OG0001361	LOC119076931|XP_037039861.1|BCOP	LOC6543973|XP_001972207.2|DERE
OG0001362	LOC119082193|XP_037047522.1|BCOP, LOC119083450|XP_037049069.1|BCOP	LOC6543978|XP_001972212.1|DERE
OG0001363	LOC119076875|XP_037039779.1|BCOP, LOC119080901|XP_037045380.1|BCOP	LOC6554076|XP_001979514.1|DERE
OG0001364	LOC119073335|XP_037034624.1|BCOP	LOC6547257|XP_026836172.1|DERE
OG0001365	LOC119084893|XP_037050938.1|BCOP	LOC6544771|XP_001971677.1|DERE
OG0001366	LOC119082924|XP_037048474.1|BCOP	LOC6543807|XP_026833950.1|DERE
OG0001367	LOC119078008|XP_037041291.1|BCOP	LOC6546677|XP_026837008.1|DERE
OG0001368	LOC119081869|XP_037046996.1|BCOP, LOC119081865|XP_037046989.1|BCOP, LOC119081866|XP_037046990.1|BCOP	LOC6541043|XP_026834794.1|DERE
OG0001369	LOC119080425|XP_037044670.1|BCOP, LOC119076370|XP_037038973.1|BCOP	LOC6551035|XP_001978254.1|DERE
OG0001370	LOC119079586|XP_037043471.1|BCOP	LOC6547807|XP_026836625.1|DERE
OG0001371	LOC119072744|XP_037033922.1|BCOP	LOC113564599|XP_026838610.1|DERE, LOC26526097|XP_026838621.1|DERE, LOC26526453|XP_026838611.1|DERE
OG0001372	LOC119081890|XP_037047013.1|BCOP, LOC119073081|XP_037034289.1|BCOP	LOC6547078|XP_026836645.1|DERE
OG0001373	LOC119071460|XP_037032211.1|BCOP	LOC6543284|XP_026834406.1|DERE
OG0001374	LOC119081445|XP_037046274.1|BCOP	LOC6549420|XP_001975653.1|DERE
OG0001375	LOC119077671|XP_037040810.1|BCOP, LOC119077676|XP_037040822.1|BCOP, LOC119072638|XP_037033781.1|BCOP, LOC119078464|XP_037041896.1|BCOP, LOC119077673|XP_037040816.1|BCOP, LOC119077675|XP_037040820.1|BCOP	LOC6551754|XP_026831965.1|DERE
OG0001376	LOC119073483|XP_037034883.1|BCOP	LOC6546866|XP_001976062.1|DERE
OG0001377	LOC119085360|XP_037051633.1|BCOP	LOC6541109|XP_001970215.2|DERE
OG0001378	LOC119073535|XP_037034971.1|BCOP	LOC6542871|XP_026834559.1|DERE
OG0001380	LOC119081665|XP_037046643.1|BCOP	LOC6542628|XP_001970807.1|DERE
OG0001381	LOC119068711|XP_037028295.1|BCOP, LOC119068709|XP_037028294.1|BCOP	LOC6548647|XP_026835712.1|DERE
OG0001382	LOC119076360|XP_037038954.1|BCOP	LOC6541384|XP_015015166.1|DERE
OG0001383	LOC119078241|XP_037041605.1|BCOP	LOC6540772|XP_001970388.1|DERE
OG0001384	LOC119074606|XP_037036758.1|BCOP, LOC119072248|XP_037033323.1|BCOP, LOC119072247|XP_037033322.1|BCOP	LOC6549501|XP_001974292.1|DERE
OG0001385	LOC119082316|XP_037047712.1|BCOP	LOC6540831|XP_001969330.2|DERE
OG0001387	LOC119077011|XP_037040019.1|BCOP, LOC119073952|XP_037035732.1|BCOP	LOC6542134|XP_026835090.1|DERE
OG0001388	LOC119078838|XP_037042435.1|BCOP	LOC6543257|XP_001969423.1|DERE
OG0001389	LOC119070229|XP_037030392.1|BCOP	LOC6554303|XP_001982127.2|DERE
OG0001390	LOC119066921|XP_037025519.1|BCOP, LOC119076711|XP_037039523.1|BCOP, LOC119079002|XP_037042664.1|BCOP, LOC119067954|XP_037027173.1|BCOP	LOC6542226|XP_001968679.2|DERE
OG0001391	LOC119066428|XP_037024846.1|BCOP	LOC6549495|XP_001974286.1|DERE
OG0001392	LOC119074919|XP_037037205.1|BCOP	LOC6550767|XP_026838112.1|DERE
OG0001393	LOC119076493|XP_037039173.1|BCOP	LOC6549410|XP_001974316.1|DERE
OG0001394	LOC119075488|XP_037037849.1|BCOP	LOC6541303|XP_001969465.1|DERE
OG0001395	LOC119074955|XP_037037239.1|BCOP	LOC6553175|XP_001980011.1|DERE
OG0001396	LOC119083406|XP_037049020.1|BCOP, LOC119076413|XP_037039043.1|BCOP	LOC6549705|XP_001977447.1|DERE
OG0001397	LOC119084135|XP_037049881.1|BCOP	LOC6554065|XP_026834878.1|DERE
OG0001398	LOC119073267|XP_037034539.1|BCOP	LOC6551727|XP_026838833.1|DERE
OG0001399	LOC119066910|XP_037025505.1|BCOP	LOC6541212|XP_026839330.1|DERE, LOC26526050|XP_015015440.1|DERE
OG0001400	LOC119075955|XP_037038417.1|BCOP	LOC6553635|XP_001980318.1|DERE
OG0001401	LOC119080499|XP_037044793.1|BCOP, LOC119071758|XP_037032692.1|BCOP, LOC119081901|XP_037047030.1|BCOP, LOC119070024|XP_037030205.1|BCOP	LOC6545791|XP_001973441.1|DERE
OG0001402	LOC119078307|XP_037041703.1|BCOP	LOC6544887|XP_001973151.1|DERE
OG0001403	LOC119072446|XP_037033558.1|BCOP	LOC6545527|XP_026832664.1|DERE
OG0001404	LOC119075529|XP_037037893.1|BCOP	LOC6549550|XP_015012456.1|DERE
OG0001405	LOC119071739|XP_037032666.1|BCOP	LOC6548175|XP_001975158.1|DERE
OG0001406	LOC119071455|XP_037032202.1|BCOP	LOC6551605|XP_001977130.1|DERE
OG0001407	LOC119072463|XP_037033582.1|BCOP	LOC6543615|XP_026832845.1|DERE
OG0001411	LOC119083601|XP_037049232.1|BCOP, LOC119077377|XP_037040463.1|BCOP, LOC119083602|XP_037049233.1|BCOP, LOC119070386|XP_037030600.1|BCOP, LOC119074488|XP_037036531.1|BCOP	LOC6552522|XP_001979914.1|DERE
OG0001429	LOC119069720|XP_037029741.1|BCOP, LOC119069004|XP_037028776.1|BCOP	LOC6552691|XP_001979879.1|DERE
OG0001430	LOC119069695|XP_037029719.1|BCOP	LOC6553615|XP_001980244.1|DERE
OG0001431	LOC119068849|XP_037028560.1|BCOP	LOC6549900|XP_026838512.1|DERE
OG0001432	LOC119068544|XP_037028058.1|BCOP	LOC6550246|XP_001977921.2|DERE
OG0001433	LOC119085603|XP_037051921.1|BCOP, LOC119085621|XP_037051939.1|BCOP	LOC6554793|XP_001982224.1|DERE
OG0001434	LOC119067814|XP_037026864.1|BCOP	LOC6550874|XP_015010954.1|DERE
OG0001435	LOC119070281|XP_037030442.1|BCOP	LOC6541406|XP_001970512.1|DERE
OG0001436	LOC119070372|XP_037030568.1|BCOP	LOC6554905|XP_001981590.3|DERE
OG0001437	LOC119077714|XP_037040888.1|BCOP	LOC6543470|XP_001970286.1|DERE
OG0001438	LOC119070579|XP_037030882.1|BCOP	LOC6555103|XP_001981430.1|DERE
OG0001439	LOC119068124|XP_037027476.1|BCOP	LOC6553472|XP_001979372.1|DERE
OG0001440	LOC119070767|XP_037031143.1|BCOP	LOC6550226|XP_001978194.3|DERE
OG0001442	LOC119085588|XP_037051900.1|BCOP	LOC6542126|XP_001970104.1|DERE
OG0001443	LOC119068350|XP_037027809.1|BCOP	LOC6554210|XP_001981227.1|DERE
OG0001444	LOC119074569|XP_037036689.1|BCOP, LOC119082837|XP_037048387.1|BCOP	LOC6552944|XP_001981021.1|DERE
OG0001445	LOC119066291|XP_037024561.1|BCOP	LOC6552130|XP_015009536.1|DERE
OG0001446	LOC119067925|XP_037027128.1|BCOP, LOC119066853|XP_037025416.1|BCOP, LOC119067923|XP_037027122.1|BCOP	LOC6554755|XP_001982191.2|DERE
OG0001447	LOC119067041|XP_037025676.1|BCOP	LOC6554034|XP_001980507.2|DERE
OG0001448	LOC119084574|XP_037050524.1|BCOP, LOC119068674|XP_037028251.1|BCOP	LOC6555324|XP_015009174.1|DERE
OG0001449	LOC119067787|XP_037026829.1|BCOP	LOC6548929|XP_001975416.2|DERE
OG0001450	LOC119068156|XP_037027525.1|BCOP	LOC6542538|XP_001968861.1|DERE
OG0001451	LOC119083373|XP_037048982.1|BCOP, LOC119083330|XP_037048911.1|BCOP	LOC6541747|XP_026834553.1|DERE
OG0001452	LOC119084935|XP_037050969.1|BCOP	LOC6547333|XP_026836098.1|DERE
OG0001453	LOC119080452|XP_037044714.1|BCOP, LOC119080451|XP_037044711.1|BCOP	LOC6546227|XP_001973569.1|DERE
OG0001454	LOC119068491|XP_037027998.1|BCOP, LOC119069190|XP_037029031.1|BCOP	LOC6552408|XP_001979806.1|DERE
OG0001455	LOC119077311|XP_037040372.1|BCOP	LOC6543913|XP_026833507.1|DERE
OG0001456	LOC119083642|XP_037049278.1|BCOP	LOC6541201|XP_026834192.1|DERE
OG0001457	LOC119081950|XP_037047134.1|BCOP, LOC119072427|XP_037033540.1|BCOP	LOC6549525|XP_001975817.1|DERE
OG0001458	LOC119079434|XP_037043242.1|BCOP	LOC6549335|XP_001975635.1|DERE
OG0001459	LOC119081762|XP_037046850.1|BCOP	LOC6545097|XP_001972048.1|DERE
OG0001460	LOC119079206|XP_037042887.1|BCOP, LOC119079363|XP_037043106.1|BCOP, LOC119079207|XP_037042889.1|BCOP	LOC6541701|XP_026834623.1|DERE
OG0001461	LOC119084438|XP_037050343.1|BCOP, LOC119085389|XP_037051678.1|BCOP	LOC6550354|XP_026837973.1|DERE
OG0001462	LOC119080004|XP_037044071.1|BCOP	LOC6545412|XP_001971711.1|DERE
OG0001463	LOC119081083|XP_037045720.1|BCOP, LOC119082702|XP_037048175.1|BCOP, LOC119074416|XP_037036440.1|BCOP	LOC6554667|XP_026832162.1|DERE
OG0001464	LOC119073222|XP_037034428.1|BCOP, LOC119085508|XP_037051817.1|BCOP, LOC119085075|XP_037051210.1|BCOP, LOC119085507|XP_037051816.1|BCOP, LOC119085501|XP_037051812.1|BCOP, LOC119082133|XP_037047406.1|BCOP, LOC119085074|XP_037051207.1|BCOP, LOC119073018|XP_037034235.1|BCOP	LOC6555714|XP_001982558.1|DERE
OG0001465	LOC119081152|XP_037045800.1|BCOP	LOC6547168|XP_001976169.1|DERE
OG0001466	LOC119079375|XP_037043143.1|BCOP, LOC119079376|XP_037043148.1|BCOP	LOC6541235|XP_001969712.2|DERE
OG0001467	LOC119085874|XP_037052278.1|BCOP	LOC6542256|XP_001969842.1|DERE
OG0001468	LOC119080863|XP_037045335.1|BCOP	LOC6545453|XP_015013866.2|DERE
OG0001469	LOC119081330|XP_037046012.1|BCOP	LOC6549218|XP_026836328.1|DERE, LOC6554284|XP_001981752.2|DERE
OG0001470	LOC119074223|XP_037036130.1|BCOP, LOC119074224|XP_037036133.1|BCOP, LOC119074272|XP_037036189.1|BCOP	LOC6545889|XP_001973431.1|DERE
OG0001471	LOC119075238|XP_037037529.1|BCOP	LOC6545127|XP_015013607.1|DERE
OG0001472	LOC119073631|XP_037035117.1|BCOP	LOC6544218|XP_001973034.1|DERE
OG0001473	LOC119068774|XP_037028428.1|BCOP	LOC6552084|XP_026838647.1|DERE
OG0001474	LOC119083216|XP_037048778.1|BCOP	LOC6551282|XP_001978426.1|DERE
OG0001475	LOC119085938|XP_037052386.1|BCOP	LOC6542184|XP_001969104.1|DERE
OG0001476	LOC119073252|XP_037034502.1|BCOP	LOC6550249|XP_026838261.1|DERE
OG0001477	LOC119080073|XP_037044187.1|BCOP	LOC6554557|XP_026837003.1|DERE
OG0001478	LOC119084634|XP_037050598.1|BCOP, LOC119066327|XP_037024619.1|BCOP	LOC6540776|XP_026834221.1|DERE
OG0001479	LOC119081696|XP_037046691.1|BCOP	LOC6541335|XP_001969646.1|DERE, LOC6555552|XP_001982410.1|DERE
OG0001480	LOC119079619|XP_037043510.1|BCOP	LOC6540822|XP_001968167.1|DERE
OG0001481	LOC119085854|XP_037052259.1|BCOP	LOC6549125|XP_026836120.1|DERE
OG0001482	LOC119078892|XP_037042517.1|BCOP	LOC6548662|XP_001975384.1|DERE
OG0001483	LOC119069194|XP_037029036.1|BCOP	LOC6548635|XP_026838669.1|DERE
OG0001485	LOC119066875|XP_037025444.1|BCOP	LOC6545090|XP_001973276.1|DERE
OG0001486	LOC119075372|XP_037037693.1|BCOP	LOC6541677|XP_001970227.1|DERE
OG0001487	LOC119071292|XP_037032057.1|BCOP	LOC26527072|XP_026838615.1|DERE
OG0001488	LOC119080267|XP_037044416.1|BCOP, LOC119080265|XP_037044409.1|BCOP	LOC6549471|XP_001975777.1|DERE
OG0001489	LOC119082548|XP_037047954.1|BCOP	LOC6548947|XP_015011964.2|DERE
OG0001490	LOC119082084|XP_037047339.1|BCOP	LOC6541656|XP_001968482.1|DERE
OG0001491	LOC119078712|XP_037042279.1|BCOP	LOC6541139|XP_026835079.1|DERE
OG0001493	LOC119075234|XP_037037521.1|BCOP	LOC6550437|XP_026837813.1|DERE
OG0001494	LOC119077643|XP_037040759.1|BCOP	LOC6551443|XP_001978541.1|DERE
OG0001495	LOC119074897|XP_037037139.1|BCOP	LOC113563683|XP_026835340.1|DERE
OG0001496	LOC119074211|XP_037036147.1|BCOP	LOC6551510|XP_001978581.2|DERE
OG0001497	LOC119078593|XP_037042074.1|BCOP, LOC119081292|XP_037045948.1|BCOP, LOC119072594|XP_037033744.1|BCOP	LOC6540620|XP_001970338.1|DERE
OG0001498	LOC119074573|XP_037036695.1|BCOP	LOC6552666|XP_001979174.1|DERE
OG0001500	LOC119068893|XP_037028658.1|BCOP	LOC6547292|XP_001974774.1|DERE
OG0001501	LOC119080610|XP_037044907.1|BCOP	LOC6553784|XP_001980483.1|DERE
OG0001502	LOC119079851|XP_037043814.1|BCOP	LOC6548971|XP_026835932.1|DERE
OG0001503	LOC119083702|XP_037049389.1|BCOP, LOC119077333|XP_037040410.1|BCOP	LOC6542918|XP_026834344.1|DERE
OG0001504	LOC119072387|XP_037033490.1|BCOP	LOC6551549|XP_026837217.1|DERE
OG0001506	LOC119079020|XP_037042692.1|BCOP	LOC6546723|XP_015011626.1|DERE
OG0001507	LOC119071742|XP_037032669.1|BCOP	LOC6547979|XP_015012258.1|DERE
OG0001508	LOC119080040|XP_037044136.1|BCOP, LOC119066573|XP_037025018.1|BCOP	LOC6547756|XP_001974879.1|DERE
