Orthogroup	BCOP.longest_only	DBIA.longest_only
OG0002296	LOC119072829|XP_037034024.1|BCOP	LOC108032590|XP_016961986.1|DBIA
OG0002297	LOC119080976|XP_037045515.1|BCOP	LOC108031415|XP_016960304.1|DBIA
OG0002298	LOC119073204|XP_037034409.1|BCOP, LOC119081199|XP_037045810.1|BCOP	LOC108026529|XP_016952966.1|DBIA
OG0002299	LOC119081201|XP_037045816.1|BCOP, LOC119073225|XP_037034432.1|BCOP	LOC108022229|XP_016946576.1|DBIA
OG0002300	LOC119071456|XP_037032203.1|BCOP	LOC108034325|XP_016964686.1|DBIA
OG0002301	LOC119082756|XP_037048233.1|BCOP	LOC108033974|XP_016964178.1|DBIA
OG0002302	LOC119070830|XP_037031227.1|BCOP	LOC108033761|XP_016963823.1|DBIA
OG0002303	LOC119077038|XP_037040057.1|BCOP	LOC108032156|XP_016961494.1|DBIA
OG0002304	LOC119081963|XP_037047162.1|BCOP	LOC108029171|XP_016956805.1|DBIA
OG0002305	LOC119085146|XP_037051319.1|BCOP	LOC108028581|XP_016955978.1|DBIA
OG0002306	LOC119070890|XP_037031307.1|BCOP	LOC108036114|XP_016967578.1|DBIA
OG0002307	LOC119066739|XP_037025256.1|BCOP	LOC108032575|XP_016961963.1|DBIA
OG0002308	LOC119072832|XP_037034035.1|BCOP	LOC108022273|XP_016946624.1|DBIA, LOC108032632|XP_016962062.1|DBIA
OG0002309	LOC119069832|XP_037029895.1|BCOP	LOC108029080|XP_016956654.1|DBIA
OG0002310	LOC119085817|XP_037052203.1|BCOP	LOC108034171|XP_016964469.1|DBIA
OG0002311	LOC119082307|XP_037047697.1|BCOP	LOC108032368|XP_016961670.1|DBIA
OG0002312	LOC119072674|XP_037033844.1|BCOP, LOC119084664|XP_037050636.1|BCOP	LOC108032784|XP_016962274.1|DBIA
OG0002314	LOC119073895|XP_037035679.1|BCOP	LOC108029416|XP_016957141.1|DBIA
OG0002315	LOC119066318|XP_037024602.1|BCOP	LOC108030435|XP_016958810.1|DBIA
OG0002316	LOC119072614|XP_037033763.1|BCOP	LOC108033377|XP_016963185.1|DBIA
OG0002317	LOC119072700|XP_037033865.1|BCOP, LOC119085442|XP_037051760.1|BCOP, LOC119072701|XP_037033866.1|BCOP	LOC108035250|XP_016966275.1|DBIA
OG0002318	LOC119082095|XP_037047357.1|BCOP	LOC108034073|XP_016964321.1|DBIA
OG0002319	LOC119072731|XP_037033902.1|BCOP	LOC108032804|XP_016962300.1|DBIA
OG0002320	LOC119079431|XP_037043237.1|BCOP	LOC108022591|XP_016947107.1|DBIA
OG0002321	LOC119066374|XP_037024694.1|BCOP	LOC108023088|XP_016947832.1|DBIA
OG0002322	LOC119082065|XP_037047298.1|BCOP	LOC108034199|XP_016964518.1|DBIA
OG0002323	LOC119084003|XP_037049710.1|BCOP	LOC108034229|XP_016964564.1|DBIA
OG0002324	LOC119073596|XP_037035065.1|BCOP	LOC108030801|XP_016959373.1|DBIA
OG0002325	LOC119066721|XP_037025230.1|BCOP, LOC119073537|XP_037034975.1|BCOP, LOC119073517|XP_037034939.1|BCOP	LOC108028529|XP_016955910.1|DBIA
OG0002326	LOC119076472|XP_037039144.1|BCOP, LOC119072872|XP_037034074.1|BCOP, LOC119073530|XP_037034964.1|BCOP	LOC108028651|XP_016956064.1|DBIA
OG0002327	LOC119073735|XP_037035282.1|BCOP	LOC108024745|XP_016950334.1|DBIA
OG0002328	LOC119082380|XP_037047798.1|BCOP	LOC108032793|XP_016962286.1|DBIA
OG0002329	LOC119070923|XP_037031360.1|BCOP	LOC108027926|XP_016955039.1|DBIA
OG0002330	LOC119077117|XP_037040181.1|BCOP	LOC108027913|XP_016955023.1|DBIA
OG0002331	LOC119076302|XP_037038862.1|BCOP	LOC108035772|XP_016966967.1|DBIA
OG0002332	LOC119085089|XP_037051225.1|BCOP	LOC108027496|XP_016954432.1|DBIA, LOC108035554|XP_016966712.1|DBIA
OG0002333	LOC119079279|XP_037042960.1|BCOP, LOC119079284|XP_037042968.1|BCOP	LOC108022607|XP_016947132.1|DBIA
OG0002334	LOC119084807|XP_037050773.1|BCOP, LOC119080246|XP_037044389.1|BCOP	LOC108034141|XP_016964424.1|DBIA
OG0002335	LOC119084622|XP_037050583.1|BCOP	LOC108029708|XP_016957671.1|DBIA
OG0002336	LOC119071160|XP_037031810.1|BCOP	LOC108035916|XP_016967179.1|DBIA
OG0002337	LOC119081396|XP_037046177.1|BCOP	LOC108036330|XP_016967851.1|DBIA
OG0002338	LOC119082046|XP_037047267.1|BCOP	LOC108034180|XP_016964486.1|DBIA
OG0002339	LOC119076373|XP_037038978.1|BCOP	LOC108027830|XP_016954904.1|DBIA
OG0002340	LOC119076367|XP_037038968.1|BCOP	LOC108033967|XP_016964165.1|DBIA
OG0002341	LOC119068618|XP_037028179.1|BCOP, LOC119073643|XP_037035136.1|BCOP, LOC119072585|XP_037033733.1|BCOP	LOC108022165|XP_016946498.1|DBIA
OG0002342	LOC119085397|XP_037051694.1|BCOP	LOC108029107|XP_016956707.1|DBIA
OG0002343	LOC119077071|XP_037040108.1|BCOP	LOC108029043|XP_016956583.1|DBIA
OG0002344	LOC119082390|XP_037047814.1|BCOP	LOC108028907|XP_016956417.1|DBIA, LOC108023835|XP_016948968.1|DBIA
OG0002345	LOC119074085|XP_037035935.1|BCOP	LOC108029520|XP_016957308.1|DBIA
OG0002346	LOC119084611|XP_037050572.1|BCOP, LOC119072567|XP_037033702.1|BCOP	LOC108034074|XP_016964323.1|DBIA
OG0002347	LOC119081380|XP_037046159.1|BCOP	LOC108030291|XP_016958611.1|DBIA
OG0002348	LOC119066932|XP_037025540.1|BCOP	LOC108036101|XP_016967555.1|DBIA
OG0002349	LOC119073881|XP_037035656.1|BCOP	LOC108029523|XP_016957312.1|DBIA
OG0002350	LOC119081404|XP_037046193.1|BCOP	LOC108029518|XP_016957305.1|DBIA
OG0002351	LOC119081501|XP_037046402.1|BCOP	LOC108023113|XP_016947868.1|DBIA
OG0002352	LOC119081468|XP_037046352.1|BCOP	LOC108030262|XP_016958574.1|DBIA
OG0002353	LOC119082403|XP_037047829.1|BCOP	LOC108031771|XP_016960971.1|DBIA
OG0002354	LOC119085918|XP_037052367.1|BCOP	LOC108036795|XP_016968631.1|DBIA
OG0002355	LOC119082262|XP_037047617.1|BCOP	LOC108026994|XP_016953680.1|DBIA
OG0002356	LOC119083269|XP_037048850.1|BCOP	LOC108034517|XP_016964933.1|DBIA
OG0002357	LOC119079343|XP_037043066.1|BCOP, LOC119080488|XP_037044780.1|BCOP	LOC108024539|XP_016949996.1|DBIA
OG0002358	LOC119066242|XP_037024457.1|BCOP	LOC108034499|XP_016964898.1|DBIA
OG0002359	LOC119077069|XP_037040106.1|BCOP	LOC108025857|XP_016952013.1|DBIA
OG0002360	LOC119071573|XP_037032407.1|BCOP	LOC108033774|XP_016963861.1|DBIA
OG0002361	LOC119077610|XP_037040726.1|BCOP	LOC108028831|XP_016956308.1|DBIA
OG0002362	LOC119076930|XP_037039853.1|BCOP	LOC108033640|XP_016963548.1|DBIA
OG0002363	LOC119076926|XP_037039846.1|BCOP	LOC108034169|XP_016964465.1|DBIA
OG0002364	LOC119076922|XP_037039831.1|BCOP	LOC108033687|XP_016963645.1|DBIA
OG0002365	LOC119075602|XP_037037966.1|BCOP	LOC108034221|XP_016964552.1|DBIA
OG0002366	LOC119072718|XP_037033884.1|BCOP	LOC108027829|XP_016954902.1|DBIA
OG0002367	LOC119068278|XP_037027704.1|BCOP, LOC119084601|XP_037050551.1|BCOP	LOC108036111|XP_016967576.1|DBIA
OG0002368	LOC119077129|XP_037040198.1|BCOP	LOC108024075|XP_016949335.1|DBIA
OG0002369	LOC119077133|XP_037040207.1|BCOP	LOC108024006|XP_016949237.1|DBIA
OG0002370	LOC119075583|XP_037037946.1|BCOP	LOC108033398|XP_016963206.1|DBIA
OG0002371	LOC119076257|XP_037038820.1|BCOP	LOC108033800|XP_016963898.1|DBIA
OG0002372	LOC119078905|XP_037042529.1|BCOP	LOC108029074|XP_016956643.1|DBIA
OG0002373	LOC119076965|XP_037039952.1|BCOP	LOC108034343|XP_016964719.1|DBIA
OG0002374	LOC119069869|XP_037029935.1|BCOP	LOC108026467|XP_016952897.1|DBIA
OG0002375	LOC119081144|XP_037045783.1|BCOP	LOC108027223|XP_016954040.1|DBIA
OG0002376	LOC119081928|XP_037047078.1|BCOP	LOC108033775|XP_016963862.1|DBIA
OG0002377	LOC119065987|XP_037024088.1|BCOP, LOC119077235|XP_037040319.1|BCOP	LOC108023822|XP_016948959.1|DBIA
OG0002378	LOC119084173|XP_037049927.1|BCOP	LOC108028825|XP_016956300.1|DBIA
OG0002379	LOC119078936|XP_037042577.1|BCOP	LOC108035062|XP_016965943.1|DBIA
OG0002380	LOC119082244|XP_037047603.1|BCOP	LOC108033001|XP_016962615.1|DBIA
OG0002381	LOC119066384|XP_037024711.1|BCOP	LOC108036227|XP_016967727.1|DBIA
OG0002382	LOC119071174|XP_037031832.1|BCOP	LOC108024186|XP_016949515.1|DBIA
OG0002383	LOC119071194|XP_037031870.1|BCOP	LOC108035447|XP_016966571.1|DBIA
OG0002384	LOC119069011|XP_037028783.1|BCOP, LOC119074536|XP_037036598.1|BCOP	LOC108023494|XP_016948511.1|DBIA
OG0002386	LOC119084151|XP_037049893.1|BCOP	LOC108031348|XP_016960100.1|DBIA
OG0002387	LOC119084427|XP_037050299.1|BCOP	LOC108031206|XP_016959922.1|DBIA
OG0002388	LOC119066565|XP_037025007.1|BCOP, LOC119080347|XP_037044540.1|BCOP, LOC119078065|XP_037041397.1|BCOP	LOC108031687|XP_016960821.1|DBIA
OG0002389	LOC119076759|XP_037039611.1|BCOP	LOC108024679|XP_016950238.1|DBIA
OG0002390	LOC119073788|XP_037035407.1|BCOP	LOC108022295|XP_016946647.1|DBIA, LOC108034263|XP_016964610.1|DBIA
OG0002391	LOC119085224|XP_037051432.1|BCOP	LOC108022651|XP_016947197.1|DBIA
OG0002392	LOC119072765|XP_037033958.1|BCOP, LOC119075003|XP_037037300.1|BCOP	LOC108035513|XP_016966665.1|DBIA
OG0002393	LOC119074933|XP_037037218.1|BCOP	LOC108035426|XP_016966546.1|DBIA
OG0002394	LOC119068580|XP_037028158.1|BCOP	LOC108026138|XP_016952351.1|DBIA
OG0002395	LOC119078061|XP_037041390.1|BCOP	LOC108024715|XP_016950296.1|DBIA
OG0002396	LOC119080349|XP_037044542.1|BCOP	LOC108026683|XP_016953259.1|DBIA
OG0002397	LOC119076486|XP_037039166.1|BCOP	LOC108036813|XP_016968652.1|DBIA
OG0002398	LOC119082077|XP_037047312.1|BCOP, LOC119073932|XP_037035696.1|BCOP, LOC119072043|XP_037033057.1|BCOP, LOC119072044|XP_037033063.1|BCOP	LOC108023191|XP_016947929.1|DBIA
OG0002399	LOC119071691|XP_037032574.1|BCOP	LOC108035480|XP_016966623.1|DBIA
OG0002400	LOC119071702|XP_037032585.1|BCOP	LOC108023098|XP_016947848.1|DBIA
OG0002401	LOC119079502|XP_037043345.1|BCOP	LOC108024896|XP_016950529.1|DBIA
OG0002402	LOC119076888|XP_037039787.1|BCOP	LOC108024732|XP_016950318.1|DBIA
OG0002403	LOC119074386|XP_037036399.1|BCOP, LOC119076884|XP_037039783.1|BCOP	LOC108024850|XP_016950479.1|DBIA
OG0002404	LOC119084374|XP_037050221.1|BCOP	LOC108024955|XP_016950677.1|DBIA
OG0002405	LOC119071729|XP_037032653.1|BCOP	LOC108023820|XP_016948956.1|DBIA
OG0002406	LOC119074007|XP_037035839.1|BCOP	LOC108035469|XP_016966606.1|DBIA
OG0002407	LOC119084019|XP_037049728.1|BCOP	LOC108023878|XP_016949050.1|DBIA
OG0002408	LOC119068865|XP_037028601.1|BCOP	LOC108023811|XP_016948944.1|DBIA
OG0002410	LOC119074783|XP_037036952.1|BCOP	LOC108031914|XP_016961171.1|DBIA
OG0002411	LOC119068782|XP_037028437.1|BCOP	LOC108032115|XP_016961436.1|DBIA
OG0002412	LOC119068166|XP_037027543.1|BCOP	LOC108032028|XP_016961330.1|DBIA
OG0002413	LOC119085333|XP_037051612.1|BCOP	LOC108023713|XP_016948832.1|DBIA
OG0002414	LOC119083075|XP_037048592.1|BCOP	LOC108029619|XP_016957498.1|DBIA, LOC108022868|XP_016947539.1|DBIA
OG0002415	LOC119076085|XP_037038633.1|BCOP, LOC119076088|XP_037038636.1|BCOP	LOC108031654|XP_016960777.1|DBIA
OG0002416	LOC119076143|XP_037038713.1|BCOP, LOC119078096|XP_037041460.1|BCOP	LOC108036009|XP_016967405.1|DBIA
OG0002417	LOC119070846|XP_037031251.1|BCOP	LOC108036857|XP_016968719.1|DBIA
OG0002418	LOC119066192|XP_037024404.1|BCOP	LOC108026830|XP_016953494.1|DBIA
OG0002419	LOC119077851|XP_037041073.1|BCOP	LOC108021967|XP_016946292.1|DBIA
OG0002420	LOC119079301|XP_037042983.1|BCOP, LOC119078134|XP_037041505.1|BCOP, LOC119082199|XP_037047528.1|BCOP	LOC108035182|XP_016966142.1|DBIA
OG0002421	LOC119079652|XP_037043628.1|BCOP, LOC119076131|XP_037038698.1|BCOP, LOC119079578|XP_037043500.1|BCOP	LOC108026073|XP_016952261.1|DBIA
OG0002422	LOC119078114|XP_037041461.1|BCOP, LOC119080523|XP_037044828.1|BCOP	LOC108031718|XP_016960876.1|DBIA
OG0002423	LOC119074331|XP_037036310.1|BCOP	LOC108028589|XP_016955991.1|DBIA
OG0002424	LOC119076864|XP_037039764.1|BCOP	LOC108032880|XP_016962392.1|DBIA, LOC108024916|XP_016950604.1|DBIA
OG0002425	LOC119067380|XP_037026195.1|BCOP	LOC108033107|XP_016962796.1|DBIA
OG0002426	LOC119083250|XP_037048809.1|BCOP	LOC108028950|XP_016956469.1|DBIA
OG0002427	LOC119078692|XP_037042251.1|BCOP	LOC108024905|XP_016950565.1|DBIA
OG0002428	LOC119067826|XP_037026893.1|BCOP	LOC108024157|XP_016949458.1|DBIA
OG0002429	LOC119082512|XP_037047919.1|BCOP	LOC108034847|XP_016965468.1|DBIA
OG0002430	LOC119078236|XP_037041589.1|BCOP	LOC108030331|XP_016958680.1|DBIA
OG0002431	LOC119071319|XP_037032097.1|BCOP	LOC108026869|XP_016953543.1|DBIA
OG0002432	LOC119074344|XP_037036332.1|BCOP	LOC108021979|XP_016946308.1|DBIA
OG0002433	LOC119077797|XP_037041003.1|BCOP	LOC108032219|XP_016961570.1|DBIA
OG0002434	LOC119084220|XP_037050014.1|BCOP	LOC108024675|XP_016950234.1|DBIA
OG0002436	LOC119071260|XP_037032010.1|BCOP	LOC108030193|XP_016958437.1|DBIA
OG0002437	LOC119085315|XP_037051589.1|BCOP	LOC108029617|XP_016957491.1|DBIA
OG0002438	LOC119071047|XP_037031544.1|BCOP	LOC108023435|XP_016948413.1|DBIA
OG0002439	LOC119070966|XP_037031432.1|BCOP	LOC108022547|XP_016947023.1|DBIA, LOC108024072|XP_016949331.1|DBIA
OG0002440	LOC119085381|XP_037051662.1|BCOP, LOC119067279|XP_037026051.1|BCOP	LOC108028556|XP_016955949.1|DBIA
OG0002441	LOC119071391|XP_037032162.1|BCOP	LOC108036517|XP_016968212.1|DBIA
OG0002442	LOC119074198|XP_037036089.1|BCOP	LOC108022512|XP_016946970.1|DBIA
OG0002443	LOC119072386|XP_037033484.1|BCOP, LOC119072392|XP_037033496.1|BCOP	LOC108036423|XP_016968039.1|DBIA
OG0002444	LOC119084080|XP_037049810.1|BCOP	LOC108036460|XP_016968117.1|DBIA
OG0002445	LOC119069836|XP_037029898.1|BCOP	LOC108029741|XP_016957720.1|DBIA
OG0002447	LOC119071927|XP_037032945.1|BCOP	LOC108035946|XP_016967232.1|DBIA
OG0002448	LOC119066229|XP_037024448.1|BCOP	LOC108023008|XP_016947730.1|DBIA
OG0002449	LOC119071329|XP_037032108.1|BCOP	LOC108036392|XP_016967990.1|DBIA
OG0002450	LOC119084537|XP_037050445.1|BCOP, LOC119084500|XP_037050417.1|BCOP	LOC108031421|XP_016960310.1|DBIA
OG0002451	LOC119084029|XP_037049746.1|BCOP, LOC119077965|XP_037041240.1|BCOP	LOC108029535|XP_016957333.1|DBIA
OG0002452	LOC119066537|XP_037024957.1|BCOP	LOC108026535|XP_016952971.1|DBIA
OG0002453	LOC119072839|XP_037034047.1|BCOP	LOC108026839|XP_016953504.1|DBIA
OG0002454	LOC119066170|XP_037024361.1|BCOP	LOC108030880|XP_016959529.1|DBIA
OG0002455	LOC119072032|XP_037033048.1|BCOP	LOC108030867|XP_016959507.1|DBIA
OG0002456	LOC119072082|XP_037033133.1|BCOP	LOC108023127|XP_016947885.1|DBIA
OG0002457	LOC119085354|XP_037051625.1|BCOP	LOC108030152|XP_016958364.1|DBIA
OG0002458	LOC119066843|XP_037025406.1|BCOP	LOC108021919|XP_016946235.1|DBIA, LOC108035851|XP_016967084.1|DBIA
OG0002459	LOC119077043|XP_037040065.1|BCOP	LOC108029466|XP_016957205.1|DBIA
OG0002460	LOC119066116|XP_037024292.1|BCOP	LOC108026558|XP_016952998.1|DBIA
OG0002461	LOC119082739|XP_037048214.1|BCOP	LOC108023074|XP_016947814.1|DBIA
OG0002462	LOC119071060|XP_037031574.1|BCOP	LOC108030165|XP_016958386.1|DBIA
OG0002463	LOC119078240|XP_037041597.1|BCOP	LOC108026651|XP_016953178.1|DBIA
OG0002464	LOC119071679|XP_037032555.1|BCOP	LOC108022693|XP_016947255.1|DBIA
OG0002465	LOC119082101|XP_037047366.1|BCOP	LOC108035491|XP_016966635.1|DBIA
OG0002466	LOC119085098|XP_037051237.1|BCOP, LOC119083407|XP_037049021.1|BCOP	LOC108035841|XP_016967079.1|DBIA
OG0002467	LOC119073227|XP_037034433.1|BCOP, LOC119081200|XP_037045812.1|BCOP	LOC108034484|XP_016964878.1|DBIA
OG0002468	LOC119083241|XP_037048794.1|BCOP, LOC119083240|XP_037048791.1|BCOP, LOC119083221|XP_037048782.1|BCOP	LOC108028728|XP_016956179.1|DBIA
OG0002469	LOC119067785|XP_037026821.1|BCOP	LOC108024979|XP_016950714.1|DBIA
OG0002470	LOC119083279|XP_037048862.1|BCOP	LOC108029613|XP_016957487.1|DBIA
OG0002471	LOC119086078|XP_037052549.1|BCOP	LOC108036645|XP_016968410.1|DBIA
OG0002472	LOC119071492|XP_037032238.1|BCOP	LOC108022789|XP_016947404.1|DBIA
OG0002473	LOC119072615|XP_037033765.1|BCOP	LOC108030400|XP_016958773.1|DBIA
OG0002474	LOC119071844|XP_037032794.1|BCOP	LOC108030581|XP_016959032.1|DBIA
OG0002475	LOC119071960|XP_037032986.1|BCOP	LOC108025430|XP_016951407.1|DBIA
OG0002476	LOC119085339|XP_037051617.1|BCOP	LOC108026750|XP_016953365.1|DBIA
OG0002477	LOC119072433|XP_037033542.1|BCOP	LOC108029806|XP_016957813.1|DBIA
OG0002478	LOC119078989|XP_037042640.1|BCOP	LOC108030215|XP_016958471.1|DBIA
OG0002479	LOC119066902|XP_037025487.1|BCOP	LOC108036916|XP_016968816.1|DBIA
OG0002480	LOC119071163|XP_037031815.1|BCOP	LOC108032800|XP_016962299.1|DBIA
OG0002481	LOC119067505|XP_037026410.1|BCOP, LOC119078450|XP_037041875.1|BCOP	LOC108023427|XP_016948404.1|DBIA
OG0002482	LOC119071591|XP_037032433.1|BCOP, LOC119068653|XP_037028226.1|BCOP	LOC108029449|XP_016957188.1|DBIA
OG0002483	LOC119076934|XP_037039866.1|BCOP	LOC108026862|XP_016953537.1|DBIA
OG0002484	LOC119075973|XP_037038455.1|BCOP, LOC119067411|XP_037026253.1|BCOP	LOC108022468|XP_016946907.1|DBIA
OG0002485	LOC119070974|XP_037031447.1|BCOP	LOC108029606|XP_016957469.1|DBIA
OG0002486	LOC119085992|XP_037052458.1|BCOP	LOC108028279|XP_016955473.1|DBIA
OG0002487	LOC119072776|XP_037033960.1|BCOP	LOC108033042|XP_016962661.1|DBIA
OG0002488	LOC119080997|XP_037045556.1|BCOP	LOC108022969|XP_016947683.1|DBIA
OG0002489	LOC119076718|XP_037039536.1|BCOP	LOC108035956|XP_016967250.1|DBIA
OG0002490	LOC119071118|XP_037031662.1|BCOP, LOC119080097|XP_037044221.1|BCOP	LOC108029725|XP_016957692.1|DBIA
OG0002491	LOC119071526|XP_037032302.1|BCOP	LOC108030826|XP_016959432.1|DBIA
OG0002492	LOC119071175|XP_037031838.1|BCOP	LOC108022502|XP_016946952.1|DBIA
OG0002493	LOC119071162|XP_037031814.1|BCOP	LOC108029479|XP_016957232.1|DBIA
OG0002494	LOC119084257|XP_037050057.1|BCOP	LOC108024535|XP_016949992.1|DBIA
OG0002495	LOC119083517|XP_037049129.1|BCOP	LOC108026879|XP_016953560.1|DBIA
OG0002497	LOC119073156|XP_037034353.1|BCOP, LOC119080635|XP_037044944.1|BCOP, LOC119085952|XP_037052398.1|BCOP, LOC119066403|XP_037024759.1|BCOP, LOC119082531|XP_037047938.1|BCOP, LOC119080978|XP_037045518.1|BCOP	LOC108035011|XP_016965844.1|DBIA
OG0002499	LOC119075573|XP_037037935.1|BCOP	LOC108031162|XP_016959874.1|DBIA
OG0002500	LOC119083584|XP_037049227.1|BCOP	LOC108024566|XP_016950050.1|DBIA
OG0002508	LOC119069496|XP_037029462.1|BCOP	LOC108035780|XP_016966982.1|DBIA
OG0002509	LOC119067530|XP_037026479.1|BCOP	LOC108030345|XP_016958699.1|DBIA
OG0002510	LOC119083413|XP_037049026.1|BCOP, LOC119067720|XP_037026732.1|BCOP	LOC108028906|XP_016956416.1|DBIA
OG0002511	LOC119068188|XP_037027577.1|BCOP	LOC108031660|XP_016960785.1|DBIA
OG0002512	LOC119080990|XP_037045531.1|BCOP	LOC108035799|XP_016967032.1|DBIA
OG0002513	LOC119085629|XP_037051960.1|BCOP	LOC108031531|XP_016960555.1|DBIA
OG0002514	LOC119068027|XP_037027285.1|BCOP	LOC108029104|XP_016956695.1|DBIA
OG0002516	LOC119082549|XP_037047964.1|BCOP	LOC108026014|XP_016952194.1|DBIA
OG0002517	LOC119068638|XP_037028203.1|BCOP	LOC108023963|XP_016949166.1|DBIA
OG0002518	LOC119069694|XP_037029718.1|BCOP	LOC108023078|XP_016947821.1|DBIA
OG0002519	LOC119082002|XP_037047215.1|BCOP	LOC108022582|XP_016947094.1|DBIA
OG0002520	LOC119067422|XP_037026288.1|BCOP	LOC108036399|XP_016968010.1|DBIA
OG0002521	LOC119067294|XP_037026080.1|BCOP	LOC108035824|XP_016967061.1|DBIA, LOC108035795|XP_016967024.1|DBIA
OG0002522	LOC119070134|XP_037030353.1|BCOP	LOC108025311|XP_016951205.1|DBIA
OG0002523	LOC119068173|XP_037027556.1|BCOP	LOC108025381|XP_016951343.1|DBIA
OG0002524	LOC119084814|XP_037050786.1|BCOP	LOC108024128|XP_016949399.1|DBIA
OG0002525	LOC119068315|XP_037027762.1|BCOP	LOC108035553|XP_016966711.1|DBIA
OG0002526	LOC119070595|XP_037030910.1|BCOP	LOC108021934|XP_016946253.1|DBIA
OG0002527	LOC119070111|XP_037030319.1|BCOP	LOC108031815|XP_016961030.1|DBIA
OG0002528	LOC119068748|XP_037028349.1|BCOP	LOC108023420|XP_016948383.1|DBIA
OG0002529	LOC119067909|XP_037027097.1|BCOP	LOC108024960|XP_016950688.1|DBIA
OG0002530	LOC119076992|XP_037039995.1|BCOP, LOC119082545|XP_037047950.1|BCOP	LOC108032749|XP_016962226.1|DBIA
OG0002531	LOC119075664|XP_037038067.1|BCOP	LOC108035787|XP_016967008.1|DBIA
OG0002532	LOC119067488|XP_037026389.1|BCOP	LOC108028707|XP_016956146.1|DBIA, LOC108032767|XP_016962256.1|DBIA
OG0002533	LOC119070601|XP_037030914.1|BCOP	LOC108028885|XP_016956389.1|DBIA
OG0002534	LOC119067662|XP_037026659.1|BCOP, LOC119068320|XP_037027771.1|BCOP	LOC108030396|XP_016958769.1|DBIA
OG0002535	LOC119072304|XP_037033385.1|BCOP	LOC108035974|XP_016967285.1|DBIA
OG0002536	LOC119080712|XP_037045073.1|BCOP	LOC108026417|XP_016952834.1|DBIA
OG0002537	LOC119074362|XP_037036360.1|BCOP	LOC108026836|XP_016953500.1|DBIA
OG0002539	LOC119082169|XP_037047479.1|BCOP, LOC119083386|XP_037048996.1|BCOP	LOC108023043|XP_016947772.1|DBIA
OG0002540	LOC119067310|XP_037026113.1|BCOP	LOC108026192|XP_016952471.1|DBIA
OG0002541	LOC119067209|XP_037025948.1|BCOP	LOC108023638|XP_016948743.1|DBIA
OG0002542	LOC119070371|XP_037030567.1|BCOP	LOC108024097|XP_016949360.1|DBIA
OG0002543	LOC119068574|XP_037028114.1|BCOP	LOC108033199|XP_016962934.1|DBIA
OG0002544	LOC119069560|XP_037029537.1|BCOP, LOC119073986|XP_037035793.1|BCOP	LOC108031816|XP_016961032.1|DBIA
OG0002545	LOC119069993|XP_037030132.1|BCOP, LOC119071287|XP_037032052.1|BCOP	LOC108023548|XP_016948615.1|DBIA
OG0002547	LOC119070262|XP_037030427.1|BCOP	LOC108033211|XP_016962952.1|DBIA
OG0002548	LOC119070613|XP_037030933.1|BCOP	LOC108025941|XP_016952128.1|DBIA
OG0002549	LOC119067667|XP_037026667.1|BCOP	LOC108033122|XP_016962824.1|DBIA
OG0002550	LOC119074515|XP_037036573.1|BCOP, LOC119074532|XP_037036591.1|BCOP	LOC108023990|XP_016949210.1|DBIA
OG0002551	LOC119082264|XP_037047628.1|BCOP	LOC108023887|XP_016949061.1|DBIA
OG0002552	LOC119068697|XP_037028283.1|BCOP	LOC108033387|XP_016963196.1|DBIA
OG0002553	LOC119068612|XP_037028164.1|BCOP	LOC108028891|XP_016956398.1|DBIA
OG0002554	LOC119085663|XP_037052006.1|BCOP	LOC108023247|XP_016948016.1|DBIA
OG0002555	LOC119067291|XP_037026076.1|BCOP, LOC119081549|XP_037046467.1|BCOP	LOC108036468|XP_016968137.1|DBIA
OG0002556	LOC119067989|XP_037027241.1|BCOP	LOC108026474|XP_016952914.1|DBIA
OG0002557	LOC119067147|XP_037025840.1|BCOP	LOC108036554|XP_016968282.1|DBIA
OG0002558	LOC119070376|XP_037030583.1|BCOP	LOC108024530|XP_016949986.1|DBIA
OG0002559	LOC119068160|XP_037027532.1|BCOP	LOC108026995|XP_016953683.1|DBIA, LOC108022354|XP_016946762.1|DBIA
OG0002560	LOC119068324|XP_037027774.1|BCOP	LOC108031965|XP_016961244.1|DBIA
OG0002561	LOC119069500|XP_037029467.1|BCOP	LOC108031549|XP_016960576.1|DBIA
OG0002562	LOC119069154|XP_037028954.1|BCOP, LOC119085595|XP_037051948.1|BCOP, LOC119069153|XP_037028953.1|BCOP, LOC119071965|XP_037032991.1|BCOP	LOC108023745|XP_016948872.1|DBIA
OG0002563	LOC119071167|XP_037031819.1|BCOP	LOC108032959|XP_016962519.1|DBIA
OG0002564	LOC119070097|XP_037030305.1|BCOP, LOC119078092|XP_037041451.1|BCOP, LOC119075249|XP_037037543.1|BCOP	LOC108025009|XP_016950754.1|DBIA
OG0002565	LOC119069163|XP_037028964.1|BCOP	LOC108031708|XP_016960862.1|DBIA
OG0002566	LOC119081788|XP_037046896.1|BCOP	LOC108025055|XP_016950804.1|DBIA
OG0002567	LOC119067298|XP_037026094.1|BCOP	LOC108036283|XP_016967787.1|DBIA
OG0002568	LOC119082824|XP_037048370.1|BCOP, LOC119070391|XP_037030606.1|BCOP	LOC108031193|XP_016959903.1|DBIA
OG0002569	LOC119068141|XP_037027497.1|BCOP, LOC119066720|XP_037025229.1|BCOP	LOC108028709|XP_016956148.1|DBIA
OG0002570	LOC119069537|XP_037029508.1|BCOP	LOC108024159|XP_016949464.1|DBIA
