Orthogroup	BCOP.longest_only	DNOV.longest_only
OG0000438	LOC119081686|XP_037046672.1|BCOP	LOC115761313|XP_030558904.1|DNOV
OG0000439	LOC119072864|XP_037034066.1|BCOP	LOC115763239|XP_030561575.1|DNOV
OG0000439	LOC119066792|XP_037025350.1|BCOP	LOC115770436|XP_030571567.1|DNOV
OG0000440	LOC119081700|XP_037046700.1|BCOP	LOC115760910|XP_030558341.1|DNOV, LOC115761002|XP_030558472.1|DNOV, LOC115760625|XP_030557935.1|DNOV
OG0000441	LOC119068102|XP_037027421.1|BCOP	LOC115760980|XP_030558443.1|DNOV, LOC115760673|XP_030558000.1|DNOV
OG0000444	LOC119066750|XP_037025276.1|BCOP, LOC119082651|XP_037048128.1|BCOP	LOC115759117|XP_030555819.1|DNOV, LOC115759284|XP_030556046.1|DNOV
OG0000448	LOC119068228|XP_037027631.1|BCOP, LOC119078003|XP_037041277.1|BCOP, LOC119085502|XP_037051813.1|BCOP, LOC119073203|XP_037034408.1|BCOP	LOC115764922|XP_030564087.1|DNOV, LOC115765067|XP_030564302.1|DNOV, LOC115759283|XP_030556045.1|DNOV
OG0000449	LOC119074382|XP_037036392.1|BCOP	LOC115771068|XP_030572481.1|DNOV
OG0000450	LOC119067806|XP_037026850.1|BCOP	LOC115765363|XP_030564744.1|DNOV
OG0000450	LOC119069185|XP_037029014.1|BCOP	LOC115764404|XP_030563256.1|DNOV
OG0000451	LOC119083054|XP_037048572.1|BCOP	LOC115768450|XP_030568871.1|DNOV
OG0000451	LOC119083043|XP_037048564.1|BCOP	LOC115768449|XP_030568869.1|DNOV
OG0000453	LOC119069044|XP_037028809.1|BCOP	LOC115764689|XP_030563739.1|DNOV, LOC115764706|XP_030563765.1|DNOV
OG0000454	LOC119081428|XP_037046244.1|BCOP	LOC115758865|XP_030555514.1|DNOV
OG0000455	LOC119085270|XP_037051517.1|BCOP	LOC115760795|XP_030558150.1|DNOV
OG0000456	LOC119081862|XP_037046991.1|BCOP	LOC115766708|XP_030566486.1|DNOV
OG0000456	LOC119081940|XP_037047096.1|BCOP	LOC115769174|XP_030569739.1|DNOV
OG0000457	LOC119078469|XP_037041917.1|BCOP	LOC115763206|XP_030561531.1|DNOV
OG0000457	LOC119078454|XP_037041880.1|BCOP	LOC115759127|XP_030555831.1|DNOV
OG0000458	LOC119083128|XP_037048658.1|BCOP, LOC119075186|XP_037037472.1|BCOP, LOC119079595|XP_037043484.1|BCOP, LOC119079594|XP_037043483.1|BCOP, LOC119084802|XP_037050764.1|BCOP, LOC119066719|XP_037025227.1|BCOP, LOC119076661|XP_037039440.1|BCOP	LOC115765461|XP_030564885.1|DNOV
OG0000460	LOC119078530|XP_037041991.1|BCOP	LOC115758693|XP_030555298.1|DNOV
OG0000465	LOC119067946|XP_037027159.1|BCOP, LOC119081205|XP_037045819.1|BCOP	LOC115762013|XP_030559942.1|DNOV, LOC115761927|XP_030559818.1|DNOV
OG0000466	LOC119068775|XP_037028429.1|BCOP	LOC115767076|XP_030567076.1|DNOV
OG0000466	LOC119066267|XP_037024515.1|BCOP	LOC115765560|XP_030565058.1|DNOV
OG0000467	LOC119074151|XP_037036046.1|BCOP, LOC119083429|XP_037049047.1|BCOP	LOC115762439|XP_030560498.1|DNOV, LOC115762360|XP_030560395.1|DNOV
OG0000468	LOC119075149|XP_037037437.1|BCOP	LOC115766158|XP_030565858.1|DNOV
OG0000468	LOC119081771|XP_037046868.1|BCOP	LOC115762409|XP_030560457.1|DNOV
OG0000469	LOC119079053|XP_037042746.1|BCOP	LOC115760268|XP_030557398.1|DNOV
OG0000470	LOC119078216|XP_037041569.1|BCOP	LOC115768455|XP_030568881.1|DNOV
OG0000470	LOC119078221|XP_037041577.1|BCOP	LOC115770144|XP_030571152.1|DNOV
OG0000471	LOC119085140|XP_037051312.1|BCOP	LOC115768078|XP_030568403.1|DNOV, LOC115758893|XP_030555550.1|DNOV
OG0000473	LOC119080264|XP_037044408.1|BCOP, LOC119069800|XP_037029850.1|BCOP	LOC115764416|XP_030563273.1|DNOV, LOC115768010|XP_030568281.1|DNOV
OG0000474	LOC119081379|XP_037046155.1|BCOP	LOC115767198|XP_030567248.1|DNOV, LOC115769601|XP_030570354.1|DNOV
OG0000475	LOC119070442|XP_037030687.1|BCOP	LOC115771743|XP_030573431.1|DNOV, LOC115771717|XP_030573401.1|DNOV, LOC115772026|XP_030573816.1|DNOV
OG0000476	LOC119067456|XP_037026334.1|BCOP	LOC115761867|XP_030559727.1|DNOV, LOC115761898|XP_030559767.1|DNOV
OG0000477	LOC119081215|XP_037045836.1|BCOP	LOC115772038|XP_030573836.1|DNOV, LOC115771798|XP_030573527.1|DNOV
OG0000478	LOC119071207|XP_037031898.1|BCOP, LOC119080802|XP_037045267.1|BCOP, LOC119072042|XP_037033061.1|BCOP	LOC115771340|XP_030572870.1|DNOV, LOC115765658|XP_030565177.1|DNOV
OG0000479	LOC119080776|XP_037045239.1|BCOP, LOC119069458|XP_037029404.1|BCOP	LOC115761872|XP_030559735.1|DNOV
OG0000480	LOC119085939|XP_037052387.1|BCOP	LOC115763425|XP_030561845.1|DNOV, LOC115763347|XP_030561722.1|DNOV
OG0000482	LOC119081966|XP_037047171.1|BCOP	LOC115763744|XP_030562308.1|DNOV
OG0000482	LOC119068376|XP_037027843.1|BCOP	LOC115763714|XP_030562267.1|DNOV
OG0000483	LOC119079738|XP_037043739.1|BCOP	LOC115770865|XP_030572162.1|DNOV, LOC115770864|XP_030572161.1|DNOV
OG0000484	LOC119083522|XP_037049136.1|BCOP, LOC119069580|XP_037029560.1|BCOP, LOC119077684|XP_037040840.1|BCOP, LOC119080355|XP_037044551.1|BCOP	LOC115759546|XP_030556361.1|DNOV, LOC115759538|XP_030556353.1|DNOV
OG0000485	LOC119076451|XP_037039113.1|BCOP, LOC119084291|XP_037050113.1|BCOP, LOC119084458|XP_037050335.1|BCOP	LOC115767756|XP_030567938.1|DNOV, LOC115767748|XP_030567926.1|DNOV
OG0000486	LOC119080487|XP_037044773.1|BCOP, LOC119066531|XP_037024947.1|BCOP, LOC119082804|XP_037048345.1|BCOP	LOC115760770|XP_030558117.1|DNOV, LOC115760767|XP_030558112.1|DNOV
OG0000487	LOC119067927|XP_037027134.1|BCOP	LOC115760599|XP_030557900.1|DNOV, LOC115760585|XP_030557875.1|DNOV, LOC115760579|XP_030557862.1|DNOV
OG0000489	LOC119070021|XP_037030197.1|BCOP	LOC115771632|XP_030573291.1|DNOV, LOC115766281|XP_030566008.1|DNOV
OG0000490	LOC119068825|XP_037028492.1|BCOP	LOC115767062|XP_030567062.1|DNOV
OG0000490	LOC119078887|XP_037042505.1|BCOP	LOC115768330|XP_030568749.1|DNOV
OG0000491	LOC119073534|XP_037034970.1|BCOP	LOC115762526|XP_030560650.1|DNOV
OG0000492	LOC119070141|XP_037030362.1|BCOP	LOC115764009|XP_030562697.1|DNOV
OG0000492	LOC119066042|XP_037024161.1|BCOP	LOC115769236|XP_030569812.1|DNOV
OG0000494	LOC119075562|XP_037037924.1|BCOP	LOC115767761|XP_030567943.1|DNOV
OG0000494	LOC119079908|XP_037043894.1|BCOP	LOC115759207|XP_030555958.1|DNOV
OG0000495	LOC119083767|XP_037049445.1|BCOP, LOC119083917|XP_037049624.1|BCOP, LOC119072727|XP_037033896.1|BCOP	LOC115768985|XP_030569561.1|DNOV, LOC115762172|XP_030560150.1|DNOV
OG0000496	LOC119066241|XP_037024453.1|BCOP	LOC115763382|XP_030561780.1|DNOV
OG0000497	LOC119078655|XP_037042147.1|BCOP	LOC115765536|XP_030565015.1|DNOV
OG0000497	LOC119079153|XP_037042864.1|BCOP	LOC115765537|XP_030565017.1|DNOV
OG0000498	LOC119074352|XP_037036389.1|BCOP, LOC119074439|XP_037036505.1|BCOP, LOC119077710|XP_037040884.1|BCOP	LOC115770861|XP_030572158.1|DNOV, LOC115770627|XP_030571831.1|DNOV
OG0000499	LOC119081984|XP_037047200.1|BCOP	LOC115760080|XP_030557126.1|DNOV
OG0000499	LOC119077427|XP_037040535.1|BCOP, LOC119068488|XP_037027994.1|BCOP	LOC115766865|XP_030566785.1|DNOV
OG0000500	LOC119071040|XP_037031535.1|BCOP, LOC119071045|XP_037031542.1|BCOP	LOC115770654|XP_030571882.1|DNOV, LOC115768743|XP_030569292.1|DNOV
OG0000504	LOC119077990|XP_037041265.1|BCOP	LOC115769643|XP_030570413.1|DNOV
OG0000505	LOC119067672|XP_037026673.1|BCOP	LOC115768059|XP_030568360.1|DNOV, LOC115768833|XP_030569389.1|DNOV
OG0000507	LOC119081653|XP_037046630.1|BCOP	LOC115768238|XP_030568624.1|DNOV
OG0000507	LOC119068763|XP_037028394.1|BCOP	LOC115768239|XP_030568625.1|DNOV
OG0000508	LOC119081073|XP_037045709.1|BCOP	LOC115762738|XP_030560931.1|DNOV, LOC115762739|XP_030560934.1|DNOV
OG0000509	LOC119073953|XP_037035734.1|BCOP	LOC115761008|XP_030558478.1|DNOV, LOC115761027|XP_030558498.1|DNOV
OG0000510	LOC119081474|XP_037046366.1|BCOP	LOC115760668|XP_030557995.1|DNOV
OG0000511	LOC119078667|XP_037042216.1|BCOP	LOC115758930|XP_030555590.1|DNOV, LOC115758571|XP_030555143.1|DNOV
OG0000513	LOC119071560|XP_037032382.1|BCOP	LOC115770109|XP_030571129.1|DNOV, LOC115759147|XP_030555860.1|DNOV
OG0000514	LOC119066747|XP_037025267.1|BCOP	LOC115765508|XP_030564985.1|DNOV, LOC115765496|XP_030564965.1|DNOV
OG0000515	LOC119080178|XP_037044299.1|BCOP	LOC115766732|XP_030566553.1|DNOV
OG0000516	LOC119074878|XP_037037111.1|BCOP	LOC115766811|XP_030566706.1|DNOV
OG0000517	LOC119078309|XP_037041708.1|BCOP	LOC115771498|XP_030573083.1|DNOV, LOC115771499|XP_030573085.1|DNOV
OG0000521	LOC119084098|XP_037049844.1|BCOP, LOC119067405|XP_037026246.1|BCOP	LOC115766327|XP_030566078.1|DNOV, LOC115766286|XP_030566014.1|DNOV
OG0000522	LOC119067459|XP_037026337.1|BCOP	LOC115758627|XP_030555222.1|DNOV, LOC115765110|XP_030564358.1|DNOV
OG0000523	LOC119068976|XP_037028740.1|BCOP	LOC115765282|XP_030564632.1|DNOV
OG0000524	LOC119067974|XP_037027215.1|BCOP	LOC115761883|XP_030559745.1|DNOV
OG0000525	LOC119081070|XP_037045687.1|BCOP	LOC115762223|XP_030560217.1|DNOV
OG0000526	LOC119078975|XP_037042621.1|BCOP	LOC115759224|XP_030555979.1|DNOV, LOC115766568|XP_030566410.1|DNOV
OG0000527	LOC119082764|XP_037048246.1|BCOP	LOC115758354|XP_030554797.1|DNOV, LOC115758545|XP_030555102.1|DNOV
OG0000528	LOC119076750|XP_037039592.1|BCOP, LOC119071645|XP_037032503.1|BCOP, LOC119066646|XP_037025109.1|BCOP, LOC119066205|XP_037024419.1|BCOP, LOC119085327|XP_037051604.1|BCOP, LOC119072892|XP_037034110.1|BCOP, LOC119077328|XP_037040406.1|BCOP, LOC119076340|XP_037038928.1|BCOP, LOC119078619|XP_037042110.1|BCOP, LOC119078521|XP_037041980.1|BCOP, LOC119071755|XP_037032689.1|BCOP, LOC119072785|XP_037033974.1|BCOP, LOC119076244|XP_037038802.1|BCOP	LOC115758405|XP_030554913.1|DNOV
OG0000529	LOC119073005|XP_037034225.1|BCOP	LOC115758661|XP_030555260.1|DNOV, LOC115758674|XP_030555275.1|DNOV
OG0000530	LOC119073760|XP_037035317.1|BCOP, LOC119073759|XP_037035316.1|BCOP	LOC115770158|XP_030571170.1|DNOV, LOC115769720|XP_030570511.1|DNOV
OG0000531	LOC119085223|XP_037051430.1|BCOP	LOC115758470|XP_030555006.1|DNOV
OG0000532	LOC119077975|XP_037041252.1|BCOP	LOC115770876|XP_030572172.1|DNOV, LOC115770877|XP_030572173.1|DNOV
OG0000534	LOC119077103|XP_037040157.1|BCOP	LOC115767100|XP_030567108.1|DNOV, LOC115762665|XP_030560834.1|DNOV
OG0000535	LOC119071812|XP_037032775.1|BCOP	LOC115765435|XP_030564852.1|DNOV, LOC115757993|XP_030554347.1|DNOV
OG0000536	LOC119069281|XP_037029238.1|BCOP	LOC115769719|XP_030570510.1|DNOV, LOC115769455|XP_030570127.1|DNOV
OG0000537	LOC119079032|XP_037042711.1|BCOP	LOC115762423|XP_030560478.1|DNOV
OG0000538	LOC119085377|XP_037051658.1|BCOP	LOC115767434|XP_030567587.1|DNOV, LOC115764503|XP_030563452.1|DNOV
OG0000539	LOC119071307|XP_037032080.1|BCOP	LOC115765723|XP_030565247.1|DNOV, LOC115765667|XP_030565185.1|DNOV
OG0000542	LOC119074089|XP_037035944.1|BCOP	LOC115770949|XP_030572270.1|DNOV, LOC115766778|XP_030566648.1|DNOV
OG0000543	LOC119068098|XP_037027417.1|BCOP	LOC115761599|XP_030559259.1|DNOV, LOC115760511|XP_030557731.1|DNOV
OG0000544	LOC119068980|XP_037028746.1|BCOP	LOC115771106|XP_030572525.1|DNOV, LOC115764619|XP_030563640.1|DNOV
OG0000545	LOC119068518|XP_037028019.1|BCOP, LOC119069506|XP_037029478.1|BCOP	LOC115771852|XP_030573594.1|DNOV, LOC115772096|XP_030573917.1|DNOV
OG0000546	LOC119068569|XP_037028107.1|BCOP	LOC115759403|XP_030556151.1|DNOV, LOC115765207|XP_030564508.1|DNOV
OG0000547	LOC119074047|XP_037035888.1|BCOP	LOC115768488|XP_030568930.1|DNOV, LOC115761440|XP_030559068.1|DNOV
OG0000548	LOC119083707|XP_037049391.1|BCOP	LOC115768555|XP_030569029.1|DNOV, LOC115768570|XP_030569060.1|DNOV
OG0000549	LOC119067694|XP_037026713.1|BCOP	LOC115762388|XP_030560428.1|DNOV
OG0000550	LOC119073291|XP_037034572.1|BCOP	LOC115760017|XP_030557038.1|DNOV
OG0000552	LOC119083277|XP_037048860.1|BCOP, LOC119083171|XP_037048726.1|BCOP	LOC115761308|XP_030558897.1|DNOV, LOC115761306|XP_030558895.1|DNOV, LOC115761324|XP_030558917.1|DNOV
OG0000553	LOC119082066|XP_037047300.1|BCOP	LOC115758588|XP_030555167.1|DNOV, LOC115758617|XP_030555210.1|DNOV
OG0000554	LOC119070470|XP_037030721.1|BCOP	LOC115761372|XP_030558982.1|DNOV, LOC115763975|XP_030562638.1|DNOV
OG0000555	LOC119085881|XP_037052292.1|BCOP	LOC115765825|XP_030565408.1|DNOV, LOC115766951|XP_030566898.1|DNOV
OG0000556	LOC119077410|XP_037040553.1|BCOP	LOC115766453|XP_030566246.1|DNOV, LOC115761302|XP_030558889.1|DNOV
OG0000557	LOC119076133|XP_037038702.1|BCOP	LOC115763878|XP_030562513.1|DNOV, LOC115763924|XP_030562577.1|DNOV, LOC115763879|XP_030562515.1|DNOV
OG0000558	LOC119082201|XP_037047530.1|BCOP	LOC115770828|XP_030572122.1|DNOV, LOC115768527|XP_030568978.1|DNOV
OG0000559	LOC119066909|XP_037025495.1|BCOP	LOC115761993|XP_030559920.1|DNOV, LOC115770449|XP_030571587.1|DNOV
OG0000560	LOC119069268|XP_037029220.1|BCOP	LOC115760982|XP_030558450.1|DNOV, LOC115760973|XP_030558437.1|DNOV
OG0000561	LOC119074217|XP_037036113.1|BCOP	LOC115769829|XP_030570663.1|DNOV, LOC115769566|XP_030570278.1|DNOV
OG0000562	LOC119066879|XP_037025459.1|BCOP	LOC115766351|XP_030566114.1|DNOV, LOC115769425|XP_030570096.1|DNOV
OG0000563	LOC119066025|XP_037024138.1|BCOP	LOC115767577|XP_030567726.1|DNOV, LOC115767155|XP_030567192.1|DNOV, LOC115770836|XP_030572134.1|DNOV, LOC115770826|XP_030572123.1|DNOV, LOC115766917|XP_030566863.1|DNOV
OG0000564	LOC119080545|XP_037044855.1|BCOP	LOC115769840|XP_030570674.1|DNOV, LOC115769492|XP_030570170.1|DNOV
OG0000566	LOC119081012|XP_037045588.1|BCOP	LOC115764955|XP_030564136.1|DNOV, LOC115769708|XP_030570497.1|DNOV
OG0000567	LOC119068523|XP_037028027.1|BCOP	LOC115768837|XP_030569394.1|DNOV
OG0000568	LOC119068289|XP_037027721.1|BCOP, LOC119080071|XP_037044182.1|BCOP	LOC115765295|XP_030564647.1|DNOV, LOC115771675|XP_030573349.1|DNOV
OG0000569	LOC119084660|XP_037050628.1|BCOP	LOC115759518|XP_030556323.1|DNOV
OG0000569	LOC119084581|XP_037050535.1|BCOP	LOC115760392|XP_030557552.1|DNOV
OG0000570	LOC119069556|XP_037029532.1|BCOP	LOC115772021|XP_030573814.1|DNOV, LOC115771916|XP_030573667.1|DNOV
OG0000571	LOC119069735|XP_037029761.1|BCOP	LOC115771991|XP_030573773.1|DNOV, LOC115759578|XP_030556406.1|DNOV
OG0000572	LOC119084086|XP_037049819.1|BCOP, LOC119071786|XP_037032742.1|BCOP, LOC119084895|XP_037050940.1|BCOP	LOC115761345|XP_030558946.1|DNOV, LOC115761689|XP_030559407.1|DNOV
OG0000573	LOC119075079|XP_037037366.1|BCOP, LOC119071850|XP_037032806.1|BCOP	LOC115768072|XP_030568394.1|DNOV, LOC115762118|XP_030560082.1|DNOV
OG0000574	LOC119081453|XP_037046287.1|BCOP	LOC115769779|XP_030570608.1|DNOV, LOC115770659|XP_030571885.1|DNOV, LOC115762546|XP_030560679.1|DNOV, LOC115770633|XP_030571839.1|DNOV
OG0000575	LOC119080687|XP_037045018.1|BCOP	LOC115770177|XP_030571197.1|DNOV, LOC115770358|XP_030571459.1|DNOV
OG0000576	LOC119076338|XP_037038925.1|BCOP	LOC115761386|XP_030558999.1|DNOV
OG0000577	LOC119084662|XP_037050634.1|BCOP	LOC115760218|XP_030557330.1|DNOV
OG0000577	LOC119082768|XP_037048257.1|BCOP	LOC115765905|XP_030565510.1|DNOV
OG0000578	LOC119072065|XP_037033095.1|BCOP	LOC115758634|XP_030555229.1|DNOV, LOC115757944|XP_030554275.1|DNOV
OG0000579	LOC119084174|XP_037049928.1|BCOP	LOC115764642|XP_030563675.1|DNOV, LOC115767968|XP_030568230.1|DNOV
OG0000580	LOC119076778|XP_037039633.1|BCOP, LOC119074749|XP_037036909.1|BCOP	LOC115766092|XP_030565762.1|DNOV, LOC115766091|XP_030565761.1|DNOV
OG0000581	LOC119079094|XP_037042806.1|BCOP, LOC119083987|XP_037049730.1|BCOP	LOC115763627|XP_030562110.1|DNOV
OG0000581	LOC119067460|XP_037026339.1|BCOP	LOC115765298|XP_030564649.1|DNOV
OG0000582	LOC119071172|XP_037031830.1|BCOP	LOC115770374|XP_030571483.1|DNOV, LOC115757931|XP_030554257.1|DNOV
OG0000583	LOC119074106|XP_037035968.1|BCOP, LOC119082826|XP_037048373.1|BCOP	LOC115762390|XP_030560431.1|DNOV
OG0000589	LOC119068864|XP_037028596.1|BCOP	LOC115767812|XP_030568004.1|DNOV
OG0000590	LOC119071848|XP_037032802.1|BCOP	LOC115768443|XP_030568862.1|DNOV
OG0000592	LOC119084008|XP_037049716.1|BCOP	LOC115761102|XP_030558589.1|DNOV, LOC115758537|XP_030555093.1|DNOV
OG0000593	LOC119083155|XP_037048698.1|BCOP, LOC119083147|XP_037048689.1|BCOP	LOC115758751|XP_030555369.1|DNOV, LOC115757838|XP_030554131.1|DNOV
OG0000594	LOC119067943|XP_037027155.1|BCOP	LOC115763974|XP_030562637.1|DNOV, LOC115763849|XP_030562478.1|DNOV
OG0000595	LOC119070400|XP_037030619.1|BCOP	LOC115761760|XP_030559527.1|DNOV, LOC115771804|XP_030573535.1|DNOV
OG0000596	LOC119069672|XP_037029687.1|BCOP	LOC115767045|XP_030567036.1|DNOV
OG0000597	LOC119067936|XP_037027146.1|BCOP, LOC119071640|XP_037032500.1|BCOP	LOC115771692|XP_030573368.1|DNOV, LOC115772132|XP_030573973.1|DNOV
OG0000598	LOC119072158|XP_037033214.1|BCOP, LOC119080438|XP_037044695.1|BCOP	LOC115761686|XP_030559401.1|DNOV
OG0000599	LOC119066037|XP_037024150.1|BCOP, LOC119073532|XP_037034972.1|BCOP	LOC115770489|XP_030571631.1|DNOV, LOC115770492|XP_030571639.1|DNOV
OG0000600	LOC119077332|XP_037040413.1|BCOP	LOC115760648|XP_030557971.1|DNOV, LOC115760647|XP_030557969.1|DNOV
OG0000601	LOC119066781|XP_037025335.1|BCOP, LOC119073283|XP_037034566.1|BCOP, LOC119067385|XP_037026205.1|BCOP	LOC115763067|XP_030561352.1|DNOV, LOC115759310|XP_030556076.1|DNOV
OG0000602	LOC119072724|XP_037033894.1|BCOP	LOC115763385|XP_030561785.1|DNOV, LOC115763395|XP_030561798.1|DNOV
OG0000603	LOC119076325|XP_037038897.1|BCOP	LOC115758767|XP_030555389.1|DNOV
OG0000604	LOC119078486|XP_037041938.1|BCOP	LOC115765575|XP_030565084.1|DNOV, LOC115763492|XP_030561943.1|DNOV
OG0000605	LOC119078625|XP_037042117.1|BCOP	LOC115758622|XP_030555215.1|DNOV
OG0000606	LOC119068548|XP_037028075.1|BCOP	LOC115768629|XP_030569153.1|DNOV
OG0000607	LOC119083705|XP_037049388.1|BCOP	LOC115771972|XP_030573752.1|DNOV, LOC115764740|XP_030563816.1|DNOV
OG0000608	LOC119066266|XP_037024518.1|BCOP	LOC115770569|XP_030571743.1|DNOV, LOC115762542|XP_030560676.1|DNOV, LOC115770592|XP_030571782.1|DNOV
OG0000609	LOC119082211|XP_037047555.1|BCOP	LOC115764281|XP_030563071.1|DNOV, LOC115758773|XP_030555398.1|DNOV, LOC115758774|XP_030555400.1|DNOV
OG0000610	LOC119070949|XP_037031396.1|BCOP, LOC119083489|XP_037049112.1|BCOP	LOC115771517|XP_030573112.1|DNOV, LOC115759603|XP_030556437.1|DNOV
OG0000611	LOC119083546|XP_037049160.1|BCOP, LOC119072190|XP_037033244.1|BCOP	LOC115763834|XP_030562457.1|DNOV, LOC115761023|XP_030558497.1|DNOV
OG0000614	LOC119077296|XP_037040353.1|BCOP	LOC115764261|XP_030563041.1|DNOV
OG0000615	LOC119069401|XP_037029342.1|BCOP, LOC119070642|XP_037030966.1|BCOP, LOC119068755|XP_037028378.1|BCOP	LOC115767103|XP_030567110.1|DNOV, LOC115759514|XP_030556318.1|DNOV
OG0000616	LOC119069996|XP_037030135.1|BCOP	LOC115767085|XP_030567092.1|DNOV
OG0000617	LOC119081325|XP_037046008.1|BCOP	LOC115764853|XP_030563982.1|DNOV, LOC115761587|XP_030559238.1|DNOV
OG0000618	LOC119070536|XP_037030804.1|BCOP	LOC115771748|XP_030573454.1|DNOV
OG0000618	LOC119076049|XP_037038574.1|BCOP, LOC119076050|XP_037038577.1|BCOP	LOC115769684|XP_030570462.1|DNOV
OG0000620	LOC119082516|XP_037047926.1|BCOP, LOC119082181|XP_037047490.1|BCOP	LOC115766391|XP_030566163.1|DNOV, LOC115769605|XP_030570356.1|DNOV
OG0000621	LOC119082160|XP_037047463.1|BCOP	LOC115757747|XP_030554001.1|DNOV, LOC115767786|XP_030567974.1|DNOV
OG0000622	LOC119069597|XP_037029587.1|BCOP	LOC115769599|XP_030570348.1|DNOV, LOC115762639|XP_030560802.1|DNOV
OG0000623	LOC119066479|XP_037024879.1|BCOP	LOC115769962|XP_030570868.1|DNOV, LOC115770846|XP_030572146.1|DNOV
OG0000624	LOC119079882|XP_037043859.1|BCOP	LOC115760780|XP_030558130.1|DNOV, LOC115760781|XP_030558132.1|DNOV
OG0000625	LOC119083676|XP_037049354.1|BCOP	LOC115769323|XP_030569919.1|DNOV, LOC115769831|XP_030570665.1|DNOV
OG0000626	LOC119082188|XP_037047507.1|BCOP	LOC115758212|XP_030554623.1|DNOV, LOC115762154|XP_030560126.1|DNOV
OG0000627	LOC119082760|XP_037048241.1|BCOP	LOC115769818|XP_030570646.1|DNOV, LOC115768585|XP_030569091.1|DNOV
OG0000628	LOC119085988|XP_037052448.1|BCOP	LOC115758606|XP_030555193.1|DNOV, LOC115763927|XP_030562578.1|DNOV
OG0000629	LOC119066341|XP_037024648.1|BCOP	LOC115770565|XP_030571737.1|DNOV, LOC115765848|XP_030565434.1|DNOV
OG0000630	LOC119084654|XP_037050617.1|BCOP	LOC115763504|XP_030561961.1|DNOV, LOC115763485|XP_030561930.1|DNOV
OG0000631	LOC119071768|XP_037032710.1|BCOP	LOC115759001|XP_030555665.1|DNOV
OG0000632	LOC119077150|XP_037040230.1|BCOP	LOC115763534|XP_030562009.1|DNOV, LOC115765855|XP_030565444.1|DNOV
OG0000633	LOC119071731|XP_037032650.1|BCOP	LOC115766079|XP_030565747.1|DNOV
OG0000634	LOC119071953|XP_037032978.1|BCOP	LOC115771370|XP_030572917.1|DNOV
OG0000635	LOC119066896|XP_037025480.1|BCOP	LOC115766554|XP_030566392.1|DNOV, LOC115768292|XP_030568696.1|DNOV
OG0000636	LOC119073578|XP_037035042.1|BCOP	LOC115763543|XP_030562019.1|DNOV, LOC115763397|XP_030561800.1|DNOV
OG0000637	LOC119084264|XP_037050067.1|BCOP	LOC115768912|XP_030569501.1|DNOV, LOC115768688|XP_030569234.1|DNOV
OG0000638	LOC119067567|XP_037026543.1|BCOP	LOC115769000|XP_030569570.1|DNOV
OG0000639	LOC119071882|XP_037032869.1|BCOP	LOC115770014|XP_030570925.1|DNOV
OG0000642	LOC119074558|XP_037036652.1|BCOP	LOC115761891|XP_030559756.1|DNOV, LOC115763418|XP_030561835.1|DNOV
OG0000646	LOC119069169|XP_037028974.1|BCOP	LOC115764060|XP_030562767.1|DNOV, LOC115772117|XP_030573950.1|DNOV
OG0000647	LOC119068465|XP_037027953.1|BCOP	LOC115764010|XP_030562694.1|DNOV, LOC115765430|XP_030564835.1|DNOV
OG0000648	LOC119067168|XP_037025865.1|BCOP	LOC115767228|XP_030567285.1|DNOV
OG0000648	LOC119067154|XP_037025842.1|BCOP	LOC115767239|XP_030567300.1|DNOV
OG0000649	LOC119067054|XP_037025695.1|BCOP	LOC115768703|XP_030569252.1|DNOV, LOC115768709|XP_030569257.1|DNOV
OG0000650	LOC119081019|XP_037045596.1|BCOP	LOC115766763|XP_030566617.1|DNOV
OG0000651	LOC119068676|XP_037028252.1|BCOP	LOC115769937|XP_030570839.1|DNOV, LOC115770493|XP_030571642.1|DNOV
OG0000652	LOC119073327|XP_037034614.1|BCOP	LOC115760696|XP_030558021.1|DNOV, LOC115768610|XP_030569125.1|DNOV
OG0000653	LOC119069227|XP_037029156.1|BCOP	LOC115772125|XP_030573962.1|DNOV
OG0000654	LOC119076735|XP_037039548.1|BCOP	LOC115771191|XP_030572645.1|DNOV
OG0000654	LOC119077290|XP_037040337.1|BCOP	LOC115769884|XP_030570749.1|DNOV
OG0000655	LOC119066518|XP_037024930.1|BCOP	LOC115762138|XP_030560109.1|DNOV, LOC115765880|XP_030565480.1|DNOV
OG0000656	LOC119069203|XP_037029067.1|BCOP	LOC115770642|XP_030571853.1|DNOV, LOC115770906|XP_030572206.1|DNOV
OG0000658	LOC119071304|XP_037032078.1|BCOP	LOC115766487|XP_030566309.1|DNOV, LOC115764653|XP_030563695.1|DNOV
OG0000659	LOC119081960|XP_037047158.1|BCOP	LOC115763486|XP_030561931.1|DNOV, LOC115763450|XP_030561879.1|DNOV
OG0000660	LOC119076100|XP_037038651.1|BCOP, LOC119080500|XP_037044794.1|BCOP, LOC119080471|XP_037044744.1|BCOP, LOC119077116|XP_037040180.1|BCOP, LOC119077115|XP_037040178.1|BCOP	LOC115759751|XP_030556653.1|DNOV
OG0000661	LOC119082339|XP_037047743.1|BCOP	LOC115762829|XP_030561055.1|DNOV, LOC115768557|XP_030569026.1|DNOV
OG0000662	LOC119084304|XP_037050118.1|BCOP	LOC115767147|XP_030567176.1|DNOV, LOC115767098|XP_030567106.1|DNOV
