Orthogroup	BCOP.longest_only	DSUZ.longest_only
OG0000749	LOC119067451|XP_037026330.1|BCOP	LOC108007838|XP_016927091.2|DSUZ, LOC108007848|XP_016927098.2|DSUZ, LOC108019514|XP_036673230.1|DSUZ, LOC108014203|XP_016935733.2|DSUZ
OG0000753	LOC119081088|XP_037045727.1|BCOP	LOC108018405|XP_036672589.1|DSUZ, LOC108012679|XP_016933595.1|DSUZ
OG0000754	LOC119080422|XP_037044658.1|BCOP	LOC108005475|XP_036676966.1|DSUZ, LOC108006284|XP_016925231.1|DSUZ
OG0000755	LOC119070065|XP_037030253.1|BCOP	LOC108018290|XP_036674677.1|DSUZ, LOC108018289|XP_036674692.1|DSUZ
OG0000756	LOC119069805|XP_037029857.1|BCOP	LOC108005039|XP_016923665.2|DSUZ
OG0000756	LOC119069813|XP_037029868.1|BCOP	LOC108005038|XP_016923664.2|DSUZ
OG0000757	LOC119081608|XP_037046545.1|BCOP	LOC108007118|XP_016926211.1|DSUZ
OG0000758	LOC119080295|XP_037044462.1|BCOP, LOC119073870|XP_037035636.1|BCOP	LOC108011303|XP_036671197.1|DSUZ, LOC108011319|XP_036671194.1|DSUZ
OG0000759	LOC119078818|XP_037042423.1|BCOP	LOC108013607|XP_016935036.1|DSUZ, LOC108012426|XP_036671839.1|DSUZ
OG0000760	LOC119074093|XP_037035947.1|BCOP	LOC108010299|XP_016930663.1|DSUZ
OG0000761	LOC119082602|XP_037048054.1|BCOP	LOC108021545|XP_036676751.1|DSUZ, LOC108005031|XP_016923659.1|DSUZ
OG0000762	LOC119076339|XP_037038927.1|BCOP	LOC108005456|XP_016924241.1|DSUZ
OG0000762	LOC119078534|XP_037041996.1|BCOP	LOC108010606|XP_016930991.1|DSUZ
OG0000763	LOC119070925|XP_037031362.1|BCOP	LOC108021341|XP_016945507.1|DSUZ, LOC108021343|XP_016945511.1|DSUZ
OG0000764	LOC119074476|XP_037036512.1|BCOP	LOC108006447|XP_036672945.1|DSUZ
OG0000765	LOC119066365|XP_037024682.1|BCOP	LOC108012671|XP_016933586.1|DSUZ, LOC108015300|XP_016937166.1|DSUZ
OG0000766	LOC119067516|XP_037026432.1|BCOP	LOC108010875|XP_016931352.1|DSUZ, LOC108020178|XP_016943771.1|DSUZ
OG0000767	LOC119079320|XP_037043010.1|BCOP	LOC108016254|XP_016938366.2|DSUZ, LOC108010681|XP_036672278.1|DSUZ
OG0000768	LOC119074908|XP_037037150.1|BCOP	LOC108005850|XP_036671900.1|DSUZ
OG0000769	LOC119084810|XP_037050774.1|BCOP	LOC108012134|XP_016932914.2|DSUZ, LOC108015385|XP_016937292.1|DSUZ
OG0000771	LOC119085304|XP_037051547.1|BCOP, LOC119070582|XP_037030885.1|BCOP, LOC119070583|XP_037030886.1|BCOP	LOC108011804|XP_016932531.2|DSUZ, LOC108011837|XP_016932564.2|DSUZ
OG0000772	LOC119078461|XP_037041893.1|BCOP, LOC119085562|XP_037051890.1|BCOP, LOC119069554|XP_037029530.1|BCOP	LOC108008397|XP_016927731.1|DSUZ, LOC108018091|XP_016940984.2|DSUZ
OG0000778	LOC119067498|XP_037026398.1|BCOP	LOC108011444|XP_016932069.1|DSUZ, LOC108014401|XP_036672050.1|DSUZ
OG0000779	LOC119072148|XP_037033186.1|BCOP, LOC119070336|XP_037030511.1|BCOP	LOC108004707|XP_016923210.1|DSUZ
OG0000780	LOC119069133|XP_037028934.1|BCOP, LOC119074652|XP_037036825.1|BCOP, LOC119067816|XP_037026870.1|BCOP, LOC119075273|XP_037037562.1|BCOP	LOC108009945|XP_016930178.1|DSUZ
OG0000781	LOC119067818|XP_037026875.1|BCOP	LOC108019124|XP_016942345.1|DSUZ, LOC108007436|XP_016926584.2|DSUZ
OG0000782	LOC119085853|XP_037052258.1|BCOP	LOC108014639|XP_036671167.1|DSUZ, LOC108005169|XP_016923833.1|DSUZ
OG0000783	LOC119074637|XP_037036808.1|BCOP	LOC108014686|XP_016936349.1|DSUZ, LOC108015375|XP_016937282.1|DSUZ
OG0000784	LOC119083273|XP_037048859.1|BCOP	LOC108012735|XP_016933657.1|DSUZ, LOC108016874|XP_016939247.1|DSUZ
OG0000785	LOC119071481|XP_037032226.1|BCOP	LOC108011725|XP_016932436.2|DSUZ, LOC108011726|XP_016932437.2|DSUZ, LOC108020160|XP_016943751.2|DSUZ
OG0000786	LOC119083249|XP_037048807.1|BCOP	LOC108020430|XP_016944238.1|DSUZ
OG0000786	LOC119067170|XP_037025869.1|BCOP	LOC108018387|XP_036672790.1|DSUZ
OG0000787	LOC119073161|XP_037034357.1|BCOP, LOC119073160|XP_037034356.1|BCOP	LOC108013088|XP_036670990.1|DSUZ, LOC108005233|XP_016923914.1|DSUZ
OG0000788	LOC119081625|XP_037046569.1|BCOP	LOC108014889|XP_016936600.1|DSUZ, LOC108005882|XP_016924752.1|DSUZ
OG0000789	LOC119085993|XP_037052459.1|BCOP	LOC108007756|XP_016927003.2|DSUZ, LOC108013325|XP_016934615.1|DSUZ
OG0000791	LOC119069590|XP_037029575.1|BCOP	LOC108017536|XP_036675275.1|DSUZ, LOC108019460|XP_036674189.1|DSUZ
OG0000792	LOC119084707|XP_037050684.1|BCOP, LOC119072704|XP_037033871.1|BCOP	LOC108009951|XP_016930193.1|DSUZ, LOC108008463|XP_016927809.1|DSUZ
OG0000793	LOC119076761|XP_037039614.1|BCOP, LOC119068736|XP_037028329.1|BCOP	LOC108015971|XP_016938043.2|DSUZ, LOC108015360|XP_016937264.1|DSUZ
OG0000794	LOC119082300|XP_037047679.1|BCOP, LOC119066181|XP_037024381.1|BCOP, LOC119082299|XP_037047678.1|BCOP	LOC108020875|XP_016944763.1|DSUZ, LOC108015046|XP_016936774.1|DSUZ
OG0000795	LOC119084406|XP_037050268.1|BCOP	LOC108004757|XP_016923283.1|DSUZ, LOC108012042|XP_016932811.1|DSUZ
OG0000796	LOC119084327|XP_037050152.1|BCOP	LOC108010558|XP_036674438.1|DSUZ, LOC108004727|XP_016923238.1|DSUZ
OG0000797	LOC119076167|XP_037038747.1|BCOP	LOC108017482|XP_016940016.2|DSUZ, LOC108017480|XP_036674283.1|DSUZ
OG0000798	LOC119071212|XP_037031903.1|BCOP	LOC108019781|XP_016943258.1|DSUZ, LOC108019780|XP_016943252.1|DSUZ
OG0000799	LOC119074621|XP_037036780.1|BCOP	LOC108019251|XP_036673861.1|DSUZ, LOC108015152|XP_016936917.1|DSUZ
OG0000800	LOC119080459|XP_037044724.1|BCOP, LOC119066846|XP_037025409.1|BCOP, LOC119066057|XP_037024177.1|BCOP	LOC108012423|XP_016933273.1|DSUZ
OG0000801	LOC119071073|XP_037031606.1|BCOP	LOC108008266|XP_016927543.1|DSUZ, LOC108008353|XP_016927671.1|DSUZ
OG0000802	LOC119081430|XP_037046246.1|BCOP, LOC119084813|XP_037050780.1|BCOP, LOC119070483|XP_037030768.1|BCOP	LOC108004581|XP_016923009.1|DSUZ, LOC108004576|XP_016923005.1|DSUZ
OG0000803	LOC119075633|XP_037038009.1|BCOP	LOC108021119|XP_016945157.1|DSUZ, LOC108011871|XP_036670751.1|DSUZ
OG0000804	LOC119071673|XP_037032547.1|BCOP	LOC108008724|XP_016928111.1|DSUZ, LOC108016053|XP_036674900.1|DSUZ
OG0000805	LOC119076350|XP_037038942.1|BCOP	LOC108019642|XP_016943015.1|DSUZ, LOC108019653|XP_016943027.1|DSUZ
OG0000811	LOC119084745|XP_037050710.1|BCOP, LOC119072707|XP_037033872.1|BCOP	LOC108006656|XP_016925681.1|DSUZ, LOC108009093|XP_016928642.1|DSUZ
OG0000812	LOC119083724|XP_037049416.1|BCOP	LOC108018925|XP_016942005.1|DSUZ, LOC108011756|XP_016932474.2|DSUZ
OG0000813	LOC119067956|XP_037027175.1|BCOP	LOC108019788|XP_016943273.1|DSUZ
OG0000814	LOC119078943|XP_037042585.1|BCOP, LOC119069742|XP_037029776.1|BCOP, LOC119075556|XP_037037919.1|BCOP, LOC119085690|XP_037052031.1|BCOP, LOC119070575|XP_037030881.1|BCOP, LOC119084670|XP_037050642.1|BCOP, LOC119066154|XP_037024353.1|BCOP, LOC119078433|XP_037041841.1|BCOP, LOC119078432|XP_037041840.1|BCOP, LOC119075461|XP_037037800.1|BCOP, LOC119082399|XP_037047825.1|BCOP, LOC119077705|XP_037040876.1|BCOP, LOC119077703|XP_037040874.1|BCOP, LOC119077704|XP_037040875.1|BCOP, LOC119074417|XP_037036441.1|BCOP, LOC119079959|XP_037043966.1|BCOP, LOC119073096|XP_037034309.1|BCOP	LOC108008525|XP_016927888.1|DSUZ
OG0000815	LOC119082603|XP_037048059.1|BCOP, LOC119080426|XP_037044671.1|BCOP	LOC108021696|XP_016946016.1|DSUZ
OG0000816	LOC119070839|XP_037031244.1|BCOP	LOC108004669|XP_016923136.1|DSUZ, LOC108013963|XP_016935467.1|DSUZ
OG0000818	LOC119075904|XP_037038375.1|BCOP	LOC108016618|XP_016938801.1|DSUZ, LOC108014108|XP_016935625.1|DSUZ
OG0000819	LOC119068462|XP_037027949.1|BCOP	LOC108016527|XP_016938689.1|DSUZ, LOC108016526|XP_036676591.1|DSUZ
OG0000820	LOC119072983|XP_037034198.1|BCOP	LOC108015089|XP_016936818.1|DSUZ
OG0000821	LOC119083527|XP_037049139.1|BCOP	LOC108011585|XP_036673920.1|DSUZ, LOC108008253|XP_036669414.1|DSUZ
OG0000822	LOC119074660|XP_037036836.1|BCOP	LOC108012267|XP_016933057.1|DSUZ, LOC108021667|XP_016945971.1|DSUZ
OG0000824	LOC119069942|XP_037030062.1|BCOP	LOC108007551|XP_016926735.1|DSUZ
OG0000830	LOC119081667|XP_037046645.1|BCOP, LOC119066986|XP_037025607.1|BCOP, LOC119081668|XP_037046646.1|BCOP, LOC119081676|XP_037046656.1|BCOP	LOC108019199|XP_016942475.1|DSUZ
OG0000831	LOC119068183|XP_037027573.1|BCOP, LOC119068182|XP_037027572.1|BCOP, LOC119081077|XP_037045715.1|BCOP, LOC119069201|XP_037029057.1|BCOP, LOC119068184|XP_037027574.1|BCOP, LOC119068185|XP_037027575.1|BCOP	LOC108013415|XP_016934762.1|DSUZ
OG0000832	LOC119081551|XP_037046469.1|BCOP	LOC108009205|XP_016928855.1|DSUZ, LOC108012190|XP_016932979.1|DSUZ
OG0000836	LOC119085395|XP_037051689.1|BCOP	LOC108008108|XP_016927390.1|DSUZ, LOC108020943|XP_016944870.1|DSUZ
OG0000837	LOC119076471|XP_037039142.1|BCOP	LOC108016597|XP_016938774.1|DSUZ
OG0000838	LOC119068074|XP_037027375.1|BCOP	LOC108007335|XP_016926476.1|DSUZ, LOC108009399|XP_016929211.1|DSUZ
OG0000839	LOC119070071|XP_037030263.1|BCOP	LOC108016228|XP_036675015.1|DSUZ, LOC108005022|XP_036672637.1|DSUZ, LOC108005021|XP_036673245.1|DSUZ
OG0000840	LOC119080753|XP_037045206.1|BCOP	LOC108019838|XP_016943359.1|DSUZ, LOC108004760|XP_016923287.1|DSUZ
OG0000841	LOC119084366|XP_037050211.1|BCOP	LOC108005068|XP_036677731.1|DSUZ, LOC118878993|XP_036677843.1|DSUZ, LOC118878994|XP_036677844.1|DSUZ, LOC118876774|XP_036677730.1|DSUZ
OG0000842	LOC119072389|XP_037033493.1|BCOP, LOC119072384|XP_037033480.1|BCOP	LOC108019658|XP_016943034.1|DSUZ, LOC118877942|XP_036674525.1|DSUZ
OG0000843	LOC119079035|XP_037042717.1|BCOP	LOC108010211|XP_016930544.1|DSUZ
OG0000844	LOC119083170|XP_037048724.1|BCOP	LOC108010265|XP_036669703.1|DSUZ, LOC108005002|XP_016923625.1|DSUZ
OG0000846	LOC119068707|XP_037028291.1|BCOP, LOC119070787|XP_037031160.1|BCOP, LOC119079003|XP_037042665.1|BCOP	LOC108007583|XP_016926764.1|DSUZ
OG0000847	LOC119072346|XP_037033430.1|BCOP	LOC108019631|XP_016943003.1|DSUZ, LOC108009264|XP_016928956.1|DSUZ
OG0000854	LOC119069498|XP_037029463.1|BCOP	LOC108011146|XP_016931719.1|DSUZ, LOC108011148|XP_016931723.1|DSUZ
OG0000855	LOC119068890|XP_037028652.1|BCOP	LOC108016930|XP_016939347.1|DSUZ, LOC108006077|XP_016925012.2|DSUZ
OG0000856	LOC119067987|XP_037027238.1|BCOP	LOC108006291|XP_016925240.1|DSUZ, LOC108006918|XP_016926007.2|DSUZ
OG0000857	LOC119068999|XP_037028771.1|BCOP, LOC119072698|XP_037033864.1|BCOP	LOC108015334|XP_016937225.1|DSUZ
OG0000858	LOC119083251|XP_037048820.1|BCOP, LOC119067888|XP_037027065.1|BCOP	LOC108011587|XP_036673909.1|DSUZ, LOC108011586|XP_016932244.2|DSUZ
OG0000860	LOC119079717|XP_037043668.1|BCOP, LOC119075551|XP_037037913.1|BCOP	LOC108013147|XP_016934323.1|DSUZ, LOC108007155|XP_036670936.1|DSUZ
OG0000861	LOC119074061|XP_037035907.1|BCOP	LOC108008751|XP_016928138.1|DSUZ, LOC108010154|XP_036669370.1|DSUZ
OG0000862	LOC119073900|XP_037035684.1|BCOP	LOC108009771|XP_016929889.1|DSUZ, LOC108021139|XP_016945188.1|DSUZ
OG0000863	LOC119066209|XP_037024425.1|BCOP	LOC108020482|XP_036673118.1|DSUZ
OG0000864	LOC119066527|XP_037024946.1|BCOP	LOC108011791|XP_016932522.1|DSUZ, LOC108005178|XP_016923845.1|DSUZ
OG0000865	LOC119073880|XP_037035655.1|BCOP	LOC108007886|XP_016927144.1|DSUZ, LOC108017484|XP_016940019.2|DSUZ
OG0000866	LOC119066067|XP_037024188.1|BCOP	LOC108021288|XP_016945417.1|DSUZ, LOC108020870|XP_016944758.1|DSUZ
OG0000867	LOC119067861|XP_037027007.1|BCOP	LOC108009123|XP_016928695.1|DSUZ, LOC108006241|XP_016925185.1|DSUZ
OG0000868	LOC119072834|XP_037034037.1|BCOP	LOC108004668|XP_016923133.1|DSUZ
OG0000869	LOC119071912|XP_037032926.1|BCOP	LOC108017099|XP_036674808.1|DSUZ
OG0000870	LOC119079910|XP_037043895.1|BCOP	LOC108017942|XP_016940660.1|DSUZ
OG0000871	LOC119066342|XP_037024650.1|BCOP, LOC119080211|XP_037044344.1|BCOP, LOC119084154|XP_037049900.1|BCOP, LOC119073231|XP_037034438.1|BCOP, LOC119073153|XP_037034349.1|BCOP, LOC119084536|XP_037050440.1|BCOP, LOC119079324|XP_037043015.1|BCOP, LOC119069709|XP_037029728.1|BCOP, LOC119069530|XP_037029500.1|BCOP, LOC119070130|XP_037030348.1|BCOP, LOC119071216|XP_037031920.1|BCOP, LOC119079423|XP_037043223.1|BCOP, LOC119082646|XP_037048121.1|BCOP, LOC119071173|XP_037031831.1|BCOP	LOC108010130|XP_016930447.1|DSUZ
OG0000872	LOC119072985|XP_037034201.1|BCOP	LOC108004841|XP_016923405.1|DSUZ
OG0000873	LOC119066871|XP_037025438.1|BCOP, LOC119066872|XP_037025441.1|BCOP	LOC118879235|XP_036678021.1|DSUZ, LOC108007427|XP_036671097.1|DSUZ
OG0000874	LOC119071112|XP_037031653.1|BCOP	LOC108016691|XP_016938903.1|DSUZ, LOC108009898|XP_016930108.1|DSUZ
OG0000875	LOC119085447|XP_037051763.1|BCOP	LOC108005543|XP_036671350.1|DSUZ
OG0000877	LOC119080405|XP_037044630.1|BCOP	LOC108019343|XP_036672055.1|DSUZ, LOC108016688|XP_016938900.1|DSUZ
OG0000882	LOC119067316|XP_037026121.1|BCOP	LOC108005482|XP_036677101.1|DSUZ, LOC108009728|XP_036676018.1|DSUZ
OG0000883	LOC119068362|XP_037027826.1|BCOP, LOC119068300|XP_037027736.1|BCOP, LOC119080995|XP_037045546.1|BCOP, LOC119080818|XP_037045280.1|BCOP, LOC119085737|XP_037052100.1|BCOP, LOC119080377|XP_037044580.1|BCOP, LOC119085741|XP_037052103.1|BCOP, LOC119073230|XP_037034437.1|BCOP, LOC119078909|XP_037042534.1|BCOP	LOC108006535|XP_016925549.1|DSUZ
OG0000884	LOC119068721|XP_037028308.1|BCOP	LOC108009339|XP_016929156.1|DSUZ, LOC108004763|XP_016923293.2|DSUZ
OG0000885	LOC119068824|XP_037028491.1|BCOP	LOC118877565|XP_036672664.1|DSUZ
OG0000886	LOC119083322|XP_037048902.1|BCOP, LOC119083347|XP_037048934.1|BCOP	LOC108020302|XP_016943921.1|DSUZ
OG0000887	LOC119070304|XP_037030468.1|BCOP	LOC108004667|XP_036676890.1|DSUZ
OG0000888	LOC119080382|XP_037044584.1|BCOP	LOC108012961|XP_016934001.1|DSUZ
OG0000889	LOC119080079|XP_037044194.1|BCOP	LOC118877330|XP_036671527.1|DSUZ
OG0000890	LOC119074495|XP_037036542.1|BCOP	LOC108010245|XP_016930588.1|DSUZ, LOC108020468|XP_016944282.1|DSUZ
OG0000891	LOC119071905|XP_037032913.1|BCOP	LOC108020996|XP_016944953.1|DSUZ, LOC108021473|XP_016945701.1|DSUZ
OG0000892	LOC119078708|XP_037042273.1|BCOP	LOC108015891|XP_036672276.1|DSUZ, LOC108015222|XP_016937053.2|DSUZ, LOC108013072|XP_016934182.2|DSUZ
OG0000893	LOC119075563|XP_037037925.1|BCOP, LOC119075564|XP_037037927.1|BCOP, LOC119077985|XP_037041261.1|BCOP, LOC119084453|XP_037050329.1|BCOP, LOC119067881|XP_037027052.1|BCOP, LOC119074918|XP_037037203.1|BCOP	LOC108017812|XP_036675144.1|DSUZ
OG0000894	LOC119068826|XP_037028494.1|BCOP	LOC108015978|XP_036675129.1|DSUZ, LOC108017139|XP_016939607.2|DSUZ
OG0000896	LOC119071864|XP_037032821.1|BCOP	LOC108008232|XP_016927512.1|DSUZ, LOC108014988|XP_016936699.1|DSUZ
OG0000907	LOC119069087|XP_037028864.1|BCOP	LOC108010212|XP_016930545.1|DSUZ
OG0000909	LOC119067056|XP_037025697.1|BCOP	LOC108007299|XP_016926433.1|DSUZ, LOC108011893|XP_016932629.1|DSUZ
OG0000910	LOC119075482|XP_037037828.1|BCOP	LOC108018274|XP_036674308.1|DSUZ, LOC108005122|XP_036677107.1|DSUZ
OG0000911	LOC119072888|XP_037034106.1|BCOP	LOC108008428|XP_016927766.1|DSUZ
OG0000912	LOC119075043|XP_037037336.1|BCOP	LOC108017677|XP_016940274.1|DSUZ, LOC108017676|XP_016940272.1|DSUZ
OG0000913	LOC119080701|XP_037045051.1|BCOP	LOC108011731|XP_036670716.1|DSUZ
OG0000914	LOC119081480|XP_037046373.1|BCOP	LOC108008891|XP_016928284.1|DSUZ
OG0000915	LOC119084701|XP_037050673.1|BCOP	LOC108008813|XP_016928205.1|DSUZ, LOC108016694|XP_016938907.2|DSUZ
OG0000916	LOC119085310|XP_037051561.1|BCOP, LOC119083725|XP_037049418.1|BCOP, LOC119083824|XP_037049514.1|BCOP, LOC119083729|XP_037049422.1|BCOP	LOC108019753|XP_016943191.1|DSUZ
OG0000917	LOC119082593|XP_037048030.1|BCOP	LOC108016593|XP_036676442.1|DSUZ
OG0000918	LOC119076314|XP_037038876.1|BCOP	LOC108019295|XP_036677308.1|DSUZ, LOC108015932|XP_016938004.1|DSUZ
OG0000920	LOC119083049|XP_037048568.1|BCOP	LOC108004558|XP_016922981.1|DSUZ
OG0000921	LOC119078052|XP_037041367.1|BCOP	LOC108016746|XP_016938977.2|DSUZ, LOC108016747|XP_016938978.2|DSUZ
OG0000922	LOC119068338|XP_037027793.1|BCOP, LOC119082934|XP_037048485.1|BCOP	LOC108020049|XP_036672171.1|DSUZ, LOC108020016|XP_036672173.1|DSUZ
OG0000923	LOC119075006|XP_037037304.1|BCOP	LOC108019541|XP_036672273.1|DSUZ, LOC108007980|XP_016927249.2|DSUZ
OG0000924	LOC119076113|XP_037038669.1|BCOP	LOC108005463|XP_016924248.1|DSUZ
OG0000925	LOC119066547|XP_037024978.1|BCOP	LOC108008034|XP_016927306.2|DSUZ, LOC108008036|XP_016927308.1|DSUZ
OG0000935	LOC119085662|XP_037052005.1|BCOP	LOC108007309|XP_036673509.1|DSUZ
OG0000936	LOC119068158|XP_037027530.1|BCOP	LOC108011918|XP_016932655.1|DSUZ, LOC108006552|XP_016925573.1|DSUZ
OG0000937	LOC119069164|XP_037028965.1|BCOP, LOC119069166|XP_037028969.1|BCOP, LOC119071087|XP_037031624.1|BCOP	LOC108016137|XP_036675609.1|DSUZ
OG0000938	LOC119069567|XP_037029542.1|BCOP	LOC108008831|XP_016928227.1|DSUZ, LOC108005404|XP_016924157.1|DSUZ
OG0000939	LOC119069209|XP_037029080.1|BCOP	LOC108015247|XP_016937092.1|DSUZ, LOC108019046|XP_016942161.2|DSUZ
OG0000940	LOC119067541|XP_037026493.1|BCOP	LOC108004600|XP_016923029.1|DSUZ, LOC108012370|XP_016933214.1|DSUZ
OG0000941	LOC119069063|XP_037028834.1|BCOP	LOC108015009|XP_016936726.1|DSUZ
OG0000942	LOC119080805|XP_037045271.1|BCOP	LOC108013179|XP_016934367.1|DSUZ
OG0000943	LOC119075876|XP_037038336.1|BCOP	LOC108009222|XP_016928870.1|DSUZ
OG0000944	LOC119081864|XP_037046988.1|BCOP	LOC108006569|XP_016925593.1|DSUZ, LOC108010322|XP_016930736.1|DSUZ
OG0000945	LOC119083903|XP_037049611.1|BCOP	LOC108013017|XP_016934097.1|DSUZ, LOC108013016|XP_016934096.2|DSUZ
OG0000947	LOC119081502|XP_037046404.1|BCOP	LOC108009139|XP_016928731.1|DSUZ
OG0000948	LOC119071154|XP_037031801.1|BCOP	LOC108011795|XP_036671205.1|DSUZ
OG0000949	LOC119076037|XP_037038552.1|BCOP, LOC119076075|XP_037038619.1|BCOP	LOC108005293|XP_016923981.1|DSUZ
OG0000950	LOC119081508|XP_037046414.1|BCOP	LOC108015404|XP_036676764.1|DSUZ, LOC108019334|XP_016942644.2|DSUZ
OG0000951	LOC119084350|XP_037050187.1|BCOP	LOC108018673|XP_016941732.2|DSUZ
OG0000954	LOC119081383|XP_037046166.1|BCOP, LOC119080804|XP_037045270.1|BCOP, LOC119074225|XP_037036139.1|BCOP	LOC108019662|XP_016943042.1|DSUZ
OG0000964	LOC119085822|XP_037052212.1|BCOP	LOC108010465|XP_016930823.1|DSUZ, LOC108010278|XP_016930634.1|DSUZ
OG0000965	LOC119083829|XP_037049526.1|BCOP	LOC108015397|XP_016937305.1|DSUZ
OG0000966	LOC119073645|XP_037035139.1|BCOP, LOC119073195|XP_037034398.1|BCOP	LOC108019750|XP_016943184.1|DSUZ, LOC108018267|XP_016941277.2|DSUZ
OG0000968	LOC119066471|XP_037024872.1|BCOP, LOC119068517|XP_037028018.1|BCOP, LOC119080041|XP_037044138.1|BCOP, LOC119067361|XP_037026171.1|BCOP, LOC119080036|XP_037044121.1|BCOP	LOC108019463|XP_036671203.1|DSUZ
OG0000969	LOC119074494|XP_037036541.1|BCOP	LOC108008552|XP_016927912.1|DSUZ, LOC108017086|XP_016939535.1|DSUZ
OG0000970	LOC119073002|XP_037034221.1|BCOP, LOC119072601|XP_037033750.1|BCOP, LOC119077095|XP_037040152.1|BCOP, LOC119077140|XP_037040218.1|BCOP	LOC108012022|XP_016932789.1|DSUZ
OG0000971	LOC119072932|XP_037034147.1|BCOP	LOC108007879|XP_036676004.1|DSUZ, LOC108006004|XP_016924940.1|DSUZ
OG0000972	LOC119066215|XP_037024433.1|BCOP	LOC108013313|XP_016934594.2|DSUZ, LOC108017009|XP_016939453.1|DSUZ
OG0000975	LOC119075022|XP_037037326.1|BCOP	LOC108010632|XP_036674727.1|DSUZ
OG0000977	LOC119077973|XP_037041250.1|BCOP	LOC108004923|XP_016923507.2|DSUZ
OG0000978	LOC119079549|XP_037043432.1|BCOP	LOC108009870|XP_016930062.1|DSUZ, LOC108006049|XP_036674322.1|DSUZ
OG0000980	LOC119085810|XP_037052186.1|BCOP, LOC119078875|XP_037042486.1|BCOP	LOC108016151|XP_016938255.1|DSUZ, LOC108011040|XP_016931581.2|DSUZ
OG0000981	LOC119077440|XP_037040551.1|BCOP	LOC108015103|XP_016936836.1|DSUZ, LOC108021057|XP_016945053.1|DSUZ
OG0000988	LOC119068079|XP_037027381.1|BCOP, LOC119080941|XP_037045463.1|BCOP	LOC108021368|XP_016945548.1|DSUZ
OG0000990	LOC119070368|XP_037030562.1|BCOP	LOC118877672|XP_036673199.1|DSUZ, LOC108014935|XP_036676765.1|DSUZ
OG0000991	LOC119066633|XP_037025092.1|BCOP, LOC119081459|XP_037046325.1|BCOP	LOC108004688|XP_016923181.1|DSUZ
OG0000992	LOC119074967|XP_037037258.1|BCOP	LOC108009869|XP_016930060.1|DSUZ, LOC108014864|XP_016936569.2|DSUZ
OG0000994	LOC119081336|XP_037046032.1|BCOP	LOC108004569|XP_016922995.1|DSUZ
OG0000995	LOC119081827|XP_037046960.1|BCOP	LOC108018994|XP_016942092.1|DSUZ, LOC108011944|XP_016932687.1|DSUZ
OG0000996	LOC119081619|XP_037046563.1|BCOP, LOC119081223|XP_037045842.1|BCOP, LOC119070962|XP_037031421.1|BCOP	LOC108010038|XP_016930333.1|DSUZ
OG0000997	LOC119076354|XP_037038949.1|BCOP	LOC108010246|XP_016930589.1|DSUZ
OG0000998	LOC119074775|XP_037036948.1|BCOP, LOC119073498|XP_037034908.1|BCOP, LOC119074718|XP_037036896.1|BCOP	LOC108013291|XP_016934553.1|DSUZ
OG0000999	LOC119084413|XP_037050276.1|BCOP	LOC108008691|XP_016928074.2|DSUZ, LOC108016554|XP_036676171.1|DSUZ
OG0001000	LOC119073777|XP_037035340.1|BCOP	LOC108007407|XP_036678333.1|DSUZ
OG0001001	LOC119075735|XP_037038174.1|BCOP	LOC108018098|XP_016940998.1|DSUZ
OG0001002	LOC119074361|XP_037036358.1|BCOP, LOC119070352|XP_037030564.1|BCOP	LOC108004904|XP_016923481.1|DSUZ
OG0001003	LOC119066211|XP_037024432.1|BCOP	LOC108017659|XP_016940254.1|DSUZ, LOC108019802|XP_016943295.1|DSUZ
OG0001004	LOC119084063|XP_037049796.1|BCOP	LOC108004819|XP_016923378.2|DSUZ, LOC108017195|XP_016939679.1|DSUZ
OG0001005	LOC119074410|XP_037036429.1|BCOP	LOC108013806|XP_016935309.1|DSUZ, LOC108016750|XP_036676489.1|DSUZ
OG0001006	LOC119071631|XP_037032484.1|BCOP	LOC108014161|XP_016935684.1|DSUZ, LOC108018650|XP_016941711.1|DSUZ
OG0001007	LOC119072482|XP_037033606.1|BCOP	LOC108008485|XP_016927833.1|DSUZ, LOC108012898|XP_016933893.1|DSUZ
OG0001008	LOC119086069|XP_037052540.1|BCOP	LOC108014821|XP_036673576.1|DSUZ, LOC108006278|XP_016925223.1|DSUZ
OG0001009	LOC119075361|XP_037037690.1|BCOP	LOC108015851|XP_016937908.1|DSUZ, LOC108014059|XP_016935566.2|DSUZ
OG0001019	LOC119069347|XP_037029316.1|BCOP	LOC108016124|XP_036675607.1|DSUZ
OG0001020	LOC119078481|XP_037041936.1|BCOP, LOC119078471|XP_037041924.1|BCOP, LOC119069995|XP_037030138.1|BCOP	LOC108015220|XP_016937050.1|DSUZ
OG0001022	LOC119081328|XP_037046015.1|BCOP	LOC108013920|XP_016935414.1|DSUZ, LOC108019202|XP_016942483.1|DSUZ
OG0001024	LOC119082402|XP_037047828.1|BCOP, LOC119069342|XP_037029308.1|BCOP, LOC119069345|XP_037029310.1|BCOP, LOC119085058|XP_037051170.1|BCOP, LOC119085254|XP_037051486.1|BCOP	LOC108016112|XP_036675595.1|DSUZ
OG0001025	LOC119081450|XP_037046283.1|BCOP, LOC119083125|XP_037048657.1|BCOP, LOC119083124|XP_037048656.1|BCOP, LOC119073089|XP_037034296.1|BCOP	LOC108012416|XP_016933266.1|DSUZ, LOC108012286|XP_036671585.1|DSUZ
