Orthogroup	BCOP.longest_only	AEAL.longest_only
OG0001200	LOC119069489|XP_037029455.1|BCOP	LOC109410346|XP_019539441.2|AEAL
OG0001201	LOC119078460|XP_037041892.1|BCOP, LOC119085192|XP_037051398.1|BCOP, LOC119078825|XP_037042428.1|BCOP, LOC119078965|XP_037042609.1|BCOP	LOC109413206|XP_029710459.1|AEAL, LOC109411468|XP_029729632.1|AEAL, LOC115266993|XP_029729612.1|AEAL
OG0001202	LOC119074986|XP_037037283.1|BCOP, LOC119074987|XP_037037284.1|BCOP, LOC119074985|XP_037037282.1|BCOP, LOC119066078|XP_037024245.1|BCOP, LOC119084725|XP_037050694.1|BCOP	LOC115256338|XP_029710513.1|AEAL, LOC115256337|XP_029710510.1|AEAL, LOC109424953|XP_019555691.2|AEAL
OG0001203	LOC119083571|XP_037049212.1|BCOP	LOC109424988|XP_029711078.1|AEAL
OG0001203	LOC119079488|XP_037043326.1|BCOP	LOC115256418|XP_029710789.1|AEAL, LOC109431137|XP_019562876.2|AEAL
OG0001204	LOC119080679|XP_037045012.1|BCOP	LOC109408950|XP_019537895.2|AEAL
OG0001205	LOC119081666|XP_037046644.1|BCOP	LOC109415236|XP_019544668.2|AEAL, LOC109428353|XP_019559616.2|AEAL
OG0001206	LOC119078341|XP_037041739.1|BCOP, LOC119078340|XP_037041738.1|BCOP, LOC119069337|XP_037029299.1|BCOP, LOC119084775|XP_037050734.1|BCOP	LOC109422192|XP_029710557.1|AEAL
OG0001207	LOC119084185|XP_037049953.1|BCOP	LOC109416871|XP_019546517.1|AEAL
OG0001208	LOC119068164|XP_037027541.1|BCOP	LOC109423265|XP_019553743.2|AEAL
OG0001208	LOC119079940|XP_037043945.1|BCOP	LOC109425890|XP_019556814.2|AEAL
OG0001210	LOC119068077|XP_037027378.1|BCOP	LOC109425391|XP_029717696.1|AEAL, LOC115261678|XP_029719427.1|AEAL, LOC109418683|XP_019548443.1|AEAL, LOC109415912|XP_029717657.1|AEAL, LOC109412955|XP_029717701.1|AEAL, LOC115261681|XP_029719430.1|AEAL
OG0001211	LOC119070321|XP_037030488.1|BCOP	LOC109410067|XP_029712702.1|AEAL
OG0001212	LOC119068310|XP_037027746.1|BCOP	LOC109412731|XP_019541898.2|AEAL, LOC109411856|XP_019541019.2|AEAL, LOC115259469|XP_029715906.1|AEAL, LOC109413157|XP_029711334.1|AEAL
OG0001213	LOC119068313|XP_037027752.1|BCOP	LOC109429341|XP_029716203.1|AEAL, LOC109399009|XP_029716156.1|AEAL, LOC115260114|XP_029716874.1|AEAL, LOC109429357|XP_029716187.1|AEAL, LOC109399008|XP_019526999.2|AEAL
OG0001214	LOC119066168|XP_037024358.1|BCOP, LOC119068969|XP_037028729.1|BCOP	LOC109623212|XP_019933252.2|AEAL, LOC109415280|XP_019544702.2|AEAL
OG0001215	LOC119067338|XP_037026138.1|BCOP	LOC109423631|XP_019554162.2|AEAL, LOC115264127|XP_029723333.1|AEAL, LOC109423633|XP_029723345.1|AEAL, LOC109400263|XP_019528289.2|AEAL, LOC115264141|XP_029723378.1|AEAL
OG0001216	LOC119067343|XP_037026146.1|BCOP	LOC109423629|XP_029723325.1|AEAL, LOC109400267|XP_029723331.1|AEAL
OG0001216	LOC119067344|XP_037026147.1|BCOP	LOC109423626|XP_029723323.1|AEAL, LOC115264295|XP_029723826.1|AEAL
OG0001217	LOC119085676|XP_037052019.1|BCOP	LOC109405480|XP_029729887.1|AEAL, LOC109402376|XP_029712601.1|AEAL, LOC115267179|XP_029729888.1|AEAL
OG0001220	LOC119080143|XP_037044254.1|BCOP, LOC119080142|XP_037044252.1|BCOP, LOC119080141|XP_037044251.1|BCOP	LOC115265440|XP_029726428.1|AEAL, LOC109423337|XP_019553825.2|AEAL, LOC115261959|XP_029719743.1|AEAL, LOC109423338|XP_029726429.1|AEAL, LOC115261964|XP_029719751.1|AEAL
OG0001221	LOC119072814|XP_037034004.1|BCOP, LOC119078069|XP_037041414.1|BCOP	LOC109399239|XP_019527222.2|AEAL, LOC109429051|XP_029726541.1|AEAL
OG0001221	LOC119073652|XP_037035146.1|BCOP	LOC109428699|XP_019560056.2|AEAL, LOC109424283|XP_029735634.1|AEAL
OG0001222	LOC119078513|XP_037041973.1|BCOP	LOC109405806|XP_019534410.1|AEAL
OG0001223	LOC119079449|XP_037043258.1|BCOP, LOC119071545|XP_037032339.1|BCOP	LOC109415870|XP_019545361.3|AEAL, LOC109622717|XP_029712038.1|AEAL
OG0001224	LOC119071511|XP_037032275.1|BCOP	LOC115254269|XP_029736457.1|AEAL, LOC115260213|XP_029717005.1|AEAL, LOC109418651|XP_029730668.1|AEAL, LOC109414794|XP_029719570.1|AEAL
OG0001225	LOC119079331|XP_037043024.1|BCOP	LOC109423814|XP_029735400.1|AEAL, LOC109430612|XP_029735415.1|AEAL, LOC109423816|XP_019554406.2|AEAL, LOC109430634|XP_029735433.1|AEAL
OG0001226	LOC119079509|XP_037043359.1|BCOP	LOC109408176|XP_029728757.1|AEAL, LOC109411115|XP_029728702.1|AEAL, LOC115266551|XP_029728705.1|AEAL
OG0001227	LOC119072561|XP_037033694.1|BCOP, LOC119072562|XP_037033697.1|BCOP	LOC109622030|XP_019931782.2|AEAL, LOC109622003|XP_029724995.1|AEAL
OG0001228	LOC119076863|XP_037039762.1|BCOP, LOC119076862|XP_037039761.1|BCOP	LOC109398533|XP_019526462.2|AEAL, LOC109416521|XP_019546135.2|AEAL
OG0001229	LOC119080001|XP_037044068.1|BCOP	LOC109417515|XP_029714500.1|AEAL, LOC109410204|XP_019539271.2|AEAL
OG0001230	LOC119075518|XP_037037885.1|BCOP	LOC115255374|XP_029709276.1|AEAL, LOC115255378|XP_029709286.1|AEAL, LOC109417688|XP_029709203.1|AEAL
OG0001231	LOC119069408|XP_037029352.1|BCOP, LOC119085250|XP_037051481.1|BCOP	LOC109431831|XP_029722656.1|AEAL, LOC115254955|XP_029708480.1|AEAL
OG0001233	LOC119066408|XP_037024775.1|BCOP, LOC119071493|XP_037032246.1|BCOP	LOC115265523|XP_029726924.1|AEAL
OG0001233	LOC119077143|XP_037040222.1|BCOP	LOC109432481|XP_029726919.1|AEAL, LOC109421338|XP_029727063.1|AEAL
OG0001234	LOC119080165|XP_037044281.1|BCOP	LOC109402517|XP_019530753.2|AEAL
OG0001235	LOC119066204|XP_037024418.1|BCOP	LOC109411688|XP_019540801.2|AEAL, LOC115262177|XP_029720326.1|AEAL, LOC109404615|XP_019533064.2|AEAL, LOC109411681|XP_029720322.1|AEAL
OG0001236	LOC119076423|XP_037039060.1|BCOP	LOC109414181|XP_029712491.1|AEAL
OG0001237	LOC119066412|XP_037024783.1|BCOP	LOC109426266|XP_029707813.1|AEAL, LOC109421720|XP_029714000.1|AEAL
OG0001238	LOC119067592|XP_037026588.1|BCOP	LOC109413694|XP_029727320.1|AEAL
OG0001238	LOC119082802|XP_037048342.1|BCOP	LOC109408707|XP_029730847.1|AEAL, LOC115267745|XP_029730829.1|AEAL, LOC109428914|XP_029730848.1|AEAL
OG0001239	LOC119080900|XP_037045379.1|BCOP	LOC115264738|XP_029724628.1|AEAL, LOC109409112|XP_029730294.1|AEAL, LOC109401658|XP_019529779.2|AEAL, LOC109420361|XP_019550234.2|AEAL
OG0001240	LOC119071571|XP_037032408.1|BCOP, LOC119071617|XP_037032455.1|BCOP	LOC109405745|XP_029710923.1|AEAL
OG0001241	LOC119076890|XP_037039790.1|BCOP	LOC109422597|XP_029712274.1|AEAL, LOC109402813|XP_029712227.1|AEAL
OG0001242	LOC119074893|XP_037037134.1|BCOP	LOC109403313|XP_029718610.1|AEAL, LOC109412243|XP_019541430.1|AEAL
OG0001243	LOC119076460|XP_037039119.1|BCOP	LOC109399481|XP_019527482.2|AEAL
OG0001244	LOC119081757|XP_037046842.1|BCOP, LOC119084826|XP_037050801.1|BCOP	LOC115267025|XP_029729659.1|AEAL, LOC109432004|XP_029724278.1|AEAL, LOC115267091|XP_029729808.1|AEAL, LOC109399824|XP_029729811.1|AEAL
OG0001245	LOC119072143|XP_037033181.1|BCOP	LOC115262829|XP_029721582.1|AEAL, LOC109425844|XP_029721583.1|AEAL, LOC115262612|XP_029720867.1|AEAL, LOC115262767|XP_029721474.1|AEAL
OG0001246	LOC119082098|XP_037047361.1|BCOP	LOC109426479|XP_019557543.2|AEAL, LOC109426478|XP_019557542.2|AEAL, LOC109408978|XP_019537917.2|AEAL
OG0001248	LOC119075245|XP_037037539.1|BCOP	LOC109425899|XP_019556819.2|AEAL
OG0001249	LOC119080457|XP_037044720.1|BCOP	LOC115270971|XP_029736208.1|AEAL, LOC109407549|XP_019536161.2|AEAL, LOC109425808|XP_029736205.1|AEAL
OG0001257	LOC119085040|XP_037051135.1|BCOP	LOC109424983|XP_029711672.1|AEAL, LOC109431126|XP_029730261.1|AEAL
OG0001258	LOC119069519|XP_037029493.1|BCOP, LOC119076546|XP_037039236.1|BCOP	LOC115260011|XP_029716705.1|AEAL, LOC109422191|XP_019552379.2|AEAL, LOC109428477|XP_019559796.1|AEAL
OG0001259	LOC119070552|XP_037030845.1|BCOP	LOC109398767|XP_019526709.2|AEAL, LOC109623360|XP_019933464.2|AEAL, LOC109401178|XP_019529200.2|AEAL
OG0001260	LOC119068993|XP_037028764.1|BCOP	LOC115256411|XP_029710765.1|AEAL, LOC109427544|XP_019558657.2|AEAL, LOC115256617|XP_029711299.1|AEAL, LOC115256594|XP_029711260.1|AEAL, LOC115269374|XP_029733906.1|AEAL, LOC109427545|XP_019558658.1|AEAL
OG0001261	LOC119070076|XP_037030271.1|BCOP	LOC109422119|XP_019552298.1|AEAL
OG0001262	LOC119081009|XP_037045585.1|BCOP	LOC109427412|XP_029711014.1|AEAL, LOC109410133|XP_029707928.1|AEAL, LOC109432965|XP_029709757.1|AEAL, LOC115269554|XP_029734197.1|AEAL, LOC109397697|XP_019525542.2|AEAL
OG0001263	LOC119070353|XP_037030541.1|BCOP	LOC109415630|XP_029730267.1|AEAL
OG0001264	LOC119078566|XP_037042032.1|BCOP	LOC115266784|XP_029729217.1|AEAL, LOC109433564|XP_029729246.1|AEAL, LOC109430179|XP_029729242.1|AEAL
OG0001264	LOC119068128|XP_037027482.1|BCOP	LOC109421814|XP_029717586.1|AEAL, LOC115253729|XP_029717522.1|AEAL
OG0001265	LOC119069911|XP_037030014.1|BCOP	LOC109431460|XP_019563208.2|AEAL
OG0001266	LOC119077021|XP_037040031.1|BCOP	LOC115263718|XP_029722829.1|AEAL, LOC109425434|XP_019556248.2|AEAL, LOC109432218|XP_029722814.1|AEAL
OG0001267	LOC119084811|XP_037050775.1|BCOP	LOC115263657|XP_029722722.1|AEAL, LOC109400103|XP_029722959.1|AEAL, LOC115253611|XP_029722954.1|AEAL, LOC109621581|XP_029730493.1|AEAL
OG0001267	LOC119069963|XP_037030093.1|BCOP	LOC109430341|XP_019561943.2|AEAL
OG0001268	LOC119077376|XP_037040462.1|BCOP, LOC119071090|XP_037031627.1|BCOP	LOC109399939|XP_019527939.2|AEAL
OG0001269	LOC119070358|XP_037030547.1|BCOP	LOC109429328|XP_019560777.2|AEAL, LOC109401040|XP_019529067.2|AEAL
OG0001270	LOC119077657|XP_037040770.1|BCOP	LOC109424426|XP_019555076.2|AEAL, LOC109426294|XP_029721529.1|AEAL, LOC115253683|XP_029714169.1|AEAL, LOC115269325|XP_029733802.1|AEAL, LOC109415279|XP_019544701.2|AEAL
OG0001271	LOC119080744|XP_037045188.1|BCOP, LOC119084964|XP_037051008.1|BCOP	LOC109423271|XP_019553748.2|AEAL, LOC109423269|XP_019553746.2|AEAL
OG0001272	LOC119066265|XP_037024514.1|BCOP, LOC119080600|XP_037044897.1|BCOP, LOC119080172|XP_037044289.1|BCOP	LOC109402588|XP_019530832.2|AEAL
OG0001273	LOC119085730|XP_037052091.1|BCOP	LOC109406565|XP_019535205.2|AEAL, LOC115265703|XP_029727526.1|AEAL, LOC109415843|XP_019545328.2|AEAL, LOC109418743|XP_029715739.1|AEAL, LOC109415844|XP_019545329.1|AEAL
OG0001274	LOC119071667|XP_037032541.1|BCOP	LOC115269683|XP_029734372.1|AEAL, LOC109404909|XP_029734943.1|AEAL, LOC115270107|XP_029734980.1|AEAL, LOC109400595|XP_019528628.2|AEAL, LOC115270106|XP_029734979.1|AEAL
OG0001275	LOC119067843|XP_037026912.1|BCOP, LOC119080711|XP_037045067.1|BCOP	LOC109400612|XP_029734960.1|AEAL, LOC109404925|XP_029734969.1|AEAL
OG0001276	LOC119078766|XP_037042372.1|BCOP	LOC109425655|XP_029734743.1|AEAL
OG0001278	LOC119083449|XP_037049066.1|BCOP, LOC119082191|XP_037047510.1|BCOP	LOC115268895|XP_029732944.1|AEAL, LOC109403769|XP_029722460.1|AEAL
OG0001279	LOC119082184|XP_037047501.1|BCOP, LOC119083062|XP_037048580.1|BCOP	LOC115254218|XP_029732946.1|AEAL, LOC115259606|XP_029716199.1|AEAL, LOC109420587|XP_019550498.2|AEAL, LOC115260841|XP_029718021.1|AEAL, LOC109407261|XP_019535814.2|AEAL, LOC115258603|XP_029714746.1|AEAL, LOC109413533|XP_019542761.2|AEAL, LOC109404211|XP_019532592.2|AEAL, LOC109416926|XP_019546586.1|AEAL
OG0001280	LOC119073374|XP_037034692.1|BCOP	LOC109424159|XP_029722010.1|AEAL, LOC115253833|XP_029710342.1|AEAL, LOC109430829|XP_019562461.1|AEAL
OG0001281	LOC119080644|XP_037044952.1|BCOP	LOC115254264|XP_029736044.1|AEAL, LOC109399532|XP_029736040.1|AEAL, LOC109404375|XP_019532768.1|AEAL
OG0001281	LOC119080642|XP_037044951.1|BCOP	LOC115254263|XP_029736038.1|AEAL, LOC109404377|XP_029735738.1|AEAL, LOC115270449|XP_029736039.1|AEAL
OG0001282	LOC119070562|XP_037030865.1|BCOP	LOC109622166|XP_019931946.2|AEAL, LOC115269807|XP_029734460.1|AEAL, LOC115270436|XP_029736024.1|AEAL, LOC115269438|XP_029734080.1|AEAL, LOC115258972|XP_029715337.1|AEAL, LOC115258974|XP_029715338.1|AEAL
OG0001283	LOC119082204|XP_037047534.1|BCOP, LOC119076452|XP_037039114.1|BCOP	LOC109405605|XP_019534212.2|AEAL
OG0001284	LOC119072278|XP_037033366.1|BCOP	LOC115266358|XP_029728399.1|AEAL, LOC109427900|XP_029723150.1|AEAL, LOC109428219|XP_029723153.1|AEAL, LOC115263996|XP_029723158.1|AEAL
OG0001285	LOC119071935|XP_037032952.1|BCOP	LOC109407533|XP_019536144.2|AEAL
OG0001285	LOC119073343|XP_037034632.1|BCOP	LOC109428193|XP_019559437.2|AEAL, LOC115266363|XP_029728424.1|AEAL, LOC109427881|XP_029734304.1|AEAL
OG0001286	LOC119075695|XP_037038116.1|BCOP	LOC109622823|XP_029714587.1|AEAL, LOC109397529|XP_029714595.1|AEAL
OG0001287	LOC119068416|XP_037027883.1|BCOP	LOC109417665|XP_029709322.1|AEAL, LOC115255401|XP_029709329.1|AEAL, LOC109417666|XP_019547261.3|AEAL
OG0001288	LOC119077031|XP_037040049.1|BCOP	LOC109621380|XP_029732585.1|AEAL, LOC115268590|XP_029732564.1|AEAL
OG0001289	LOC119070699|XP_037031045.1|BCOP	LOC109398322|XP_019526217.2|AEAL, LOC109429831|XP_029729192.1|AEAL, LOC109429832|XP_029729191.1|AEAL, LOC109398331|XP_019526230.2|AEAL, LOC109398282|XP_019526155.2|AEAL
OG0001290	LOC119077062|XP_037040094.1|BCOP	LOC109411751|XP_029720185.1|AEAL
OG0001291	LOC119072054|XP_037033079.1|BCOP	LOC115262189|XP_029720388.1|AEAL, LOC115262185|XP_029720380.1|AEAL
OG0001292	LOC119071121|XP_037031664.1|BCOP	LOC109426269|XP_029707774.1|AEAL, LOC115257201|XP_029712497.1|AEAL, LOC115257193|XP_029712483.1|AEAL
OG0001293	LOC119072053|XP_037033082.1|BCOP	LOC109621638|XP_029713982.1|AEAL, LOC109426360|XP_029707782.1|AEAL
OG0001294	LOC119086076|XP_037052546.1|BCOP	LOC109428031|XP_029720704.1|AEAL
OG0001295	LOC119074602|XP_037036749.1|BCOP	LOC109427321|XP_019558396.2|AEAL
OG0001296	LOC119074741|XP_037036898.1|BCOP	LOC115263973|XP_029723137.1|AEAL, LOC109418392|XP_029721394.1|AEAL
OG0001297	LOC119076741|XP_037039580.1|BCOP	LOC109403034|XP_029724657.1|AEAL
OG0001298	LOC119085776|XP_037052167.1|BCOP	LOC115271076|XP_029736372.1|AEAL, LOC109402751|XP_029712232.1|AEAL
OG0001299	LOC119074935|XP_037037221.1|BCOP	LOC109415647|XP_019545096.2|AEAL, LOC109425050|XP_029727810.1|AEAL, LOC109416667|XP_029717986.1|AEAL, LOC109400170|XP_029727844.1|AEAL, LOC115260810|XP_029717992.1|AEAL
OG0001300	LOC119083181|XP_037048736.1|BCOP	LOC109404863|XP_029730231.1|AEAL
OG0001301	LOC119068447|XP_037027923.1|BCOP	LOC115268049|XP_029731831.1|AEAL, LOC109423386|XP_019553926.2|AEAL, LOC115254205|XP_029731856.1|AEAL, LOC109409546|XP_029731850.1|AEAL, LOC109423387|XP_029731947.1|AEAL
OG0001302	LOC119082840|XP_037048392.1|BCOP, LOC119084858|XP_037050887.1|BCOP	LOC109409577|XP_019538575.2|AEAL, LOC109430467|XP_019562082.1|AEAL, LOC115268973|XP_029733111.1|AEAL
OG0001303	LOC119067286|XP_037026066.1|BCOP	LOC109405755|XP_019534367.2|AEAL
OG0001304	LOC119085120|XP_037051277.1|BCOP	LOC115254250|XP_029735064.1|AEAL
OG0001304	LOC119078465|XP_037041902.1|BCOP	LOC109422619|XP_029712250.1|AEAL
OG0001305	LOC119078132|XP_037041498.1|BCOP	LOC109424108|XP_019554748.2|AEAL, LOC109408394|XP_029736004.1|AEAL
OG0001306	LOC119069549|XP_037029523.1|BCOP	LOC109431902|XP_029727831.1|AEAL, LOC115266069|XP_029727795.1|AEAL, LOC109404401|XP_019532794.2|AEAL
OG0001307	LOC119074401|XP_037036417.1|BCOP	LOC109401126|XP_019529151.2|AEAL, LOC109422683|XP_019553087.2|AEAL
OG0001308	LOC119083019|XP_037048552.1|BCOP	LOC115260119|XP_029716884.1|AEAL, LOC109402817|XP_029736414.1|AEAL, LOC109422652|XP_029716899.1|AEAL
OG0001309	LOC119077885|XP_037041144.1|BCOP	LOC109406154|XP_019534767.1|AEAL, LOC109406159|XP_019534772.2|AEAL, LOC109401790|XP_029710058.1|AEAL
OG0001310	LOC119082443|XP_037047866.1|BCOP	LOC109419536|XP_029715075.1|AEAL
OG0001311	LOC119070013|XP_037030187.1|BCOP	LOC115256563|XP_029711158.1|AEAL, LOC115256637|XP_029711331.1|AEAL, LOC109401927|XP_019530096.2|AEAL
OG0001313	LOC119072484|XP_037033612.1|BCOP	LOC115254196|XP_029731204.1|AEAL, LOC109399588|XP_029731213.1|AEAL
OG0001315	LOC119083708|XP_037049392.1|BCOP, LOC119071029|XP_037031519.1|BCOP	LOC115261157|XP_029718373.1|AEAL, LOC115269127|XP_029733395.1|AEAL, LOC109427228|XP_019558280.2|AEAL
OG0001326	LOC119068673|XP_037028250.1|BCOP	LOC115254736|XP_029708273.1|AEAL, LOC109421123|XP_029719625.1|AEAL, LOC109415200|XP_029710897.1|AEAL, LOC109426281|XP_019557293.2|AEAL
OG0001328	LOC119070657|XP_037030983.1|BCOP	LOC109426400|XP_019557457.1|AEAL
OG0001328	LOC119067324|XP_037026125.1|BCOP	LOC109428421|XP_019559716.2|AEAL, LOC109430528|XP_029729088.1|AEAL
OG0001329	LOC119067609|XP_037026597.1|BCOP	LOC109428569|XP_019559888.2|AEAL
OG0001330	LOC119082152|XP_037047448.1|BCOP	LOC109406965|XP_019535520.2|AEAL, LOC109397698|XP_029708398.1|AEAL
OG0001331	LOC119069973|XP_037030111.1|BCOP	LOC109401885|XP_029709685.1|AEAL, LOC115255730|XP_029709713.1|AEAL, LOC109401884|XP_019530032.2|AEAL, LOC109414706|XP_029709686.1|AEAL, LOC115255731|XP_029709714.1|AEAL
OG0001332	LOC119068843|XP_037028545.1|BCOP, LOC119068844|XP_037028552.1|BCOP	LOC109433012|XP_019564937.2|AEAL, LOC115253665|XP_029734202.1|AEAL, LOC109397726|XP_019525586.2|AEAL, LOC109433016|XP_029734230.1|AEAL
OG0001333	LOC119069998|XP_037030145.1|BCOP	LOC109423055|XP_029708388.1|AEAL, LOC115260697|XP_029717773.1|AEAL
OG0001333	LOC119070001|XP_037030147.1|BCOP	LOC115253915|XP_029717759.1|AEAL, LOC109432368|XP_029717766.1|AEAL, LOC109423056|XP_019553505.2|AEAL
OG0001334	LOC119067734|XP_037026742.1|BCOP	LOC109425180|XP_029717616.1|AEAL, LOC115253810|XP_029714023.1|AEAL, LOC109425173|XP_029717621.1|AEAL
OG0001335	LOC119068138|XP_037027494.1|BCOP, LOC119068921|XP_037028678.1|BCOP	LOC109412094|XP_019541280.1|AEAL, LOC109427342|XP_019558420.2|AEAL, LOC109412097|XP_029707539.1|AEAL, LOC109427354|XP_029733712.1|AEAL
OG0001337	LOC119067232|XP_037025981.1|BCOP	LOC109405489|XP_019534122.2|AEAL
OG0001338	LOC119085777|XP_037052168.1|BCOP	LOC109430336|XP_019561937.2|AEAL
OG0001339	LOC119068739|XP_037028335.1|BCOP	LOC109400129|XP_019528163.2|AEAL, LOC109621258|XP_019931277.2|AEAL
OG0001339	LOC119079641|XP_037043560.1|BCOP	LOC109622561|XP_019932516.2|AEAL
OG0001340	LOC119068557|XP_037028078.1|BCOP, LOC119068772|XP_037028422.1|BCOP	LOC109399955|XP_019527968.2|AEAL, LOC115269180|XP_029733449.1|AEAL
OG0001341	LOC119067839|XP_037026909.1|BCOP	LOC109398471|XP_019526395.2|AEAL
OG0001342	LOC119069051|XP_037028813.1|BCOP	LOC109421111|XP_029710014.1|AEAL, LOC115255943|XP_029710037.1|AEAL
OG0001343	LOC119068821|XP_037028489.1|BCOP	LOC109411182|XP_029730128.1|AEAL
OG0001344	LOC119067089|XP_037025743.1|BCOP, LOC119067088|XP_037025742.1|BCOP	LOC109423591|XP_029720533.1|AEAL, LOC109402459|XP_019530693.1|AEAL, LOC115264100|XP_029723287.1|AEAL, LOC109423594|XP_029723283.1|AEAL
OG0001345	LOC119068712|XP_037028296.1|BCOP	LOC109402412|XP_019530630.2|AEAL, LOC109423538|XP_019554067.2|AEAL, LOC109402443|XP_019530675.1|AEAL
OG0001346	LOC119070059|XP_037030247.1|BCOP	LOC109402420|XP_029733451.1|AEAL, LOC115267181|XP_029729909.1|AEAL, LOC109405431|XP_029712606.1|AEAL
OG0001347	LOC119068588|XP_037028129.1|BCOP	LOC109404017|XP_019532425.2|AEAL
OG0001348	LOC119081782|XP_037046887.1|BCOP	LOC109418066|XP_019547779.2|AEAL
OG0001349	LOC119076108|XP_037038668.1|BCOP	LOC109407770|XP_019536490.2|AEAL
OG0001350	LOC119069222|XP_037029139.1|BCOP	LOC109397828|XP_019525707.2|AEAL, LOC109418971|XP_029709783.1|AEAL
OG0001351	LOC119084977|XP_037051024.1|BCOP, LOC119084881|XP_037050921.1|BCOP	LOC109419691|XP_029733477.1|AEAL
OG0001352	LOC119073437|XP_037034814.1|BCOP	LOC115254554|XP_029708023.1|AEAL, LOC109415740|XP_019545217.2|AEAL
OG0001353	LOC119067652|XP_037026648.1|BCOP	LOC115263700|XP_029722794.1|AEAL, LOC115261548|XP_029719298.1|AEAL, LOC115262218|XP_029720456.1|AEAL, LOC115262103|XP_029719983.1|AEAL, LOC109427105|XP_029725593.1|AEAL
OG0001354	LOC119075131|XP_037037410.1|BCOP, LOC119084554|XP_037050464.1|BCOP	LOC115256955|XP_029712021.1|AEAL
OG0001354	LOC119084538|XP_037050441.1|BCOP, LOC119073015|XP_037034233.1|BCOP	LOC109417878|XP_029725401.1|AEAL
OG0001355	LOC119076251|XP_037038813.1|BCOP, LOC119078126|XP_037041488.1|BCOP	LOC115259327|XP_029715719.1|AEAL, LOC109407944|XP_019536686.1|AEAL, LOC109431510|XP_019563283.2|AEAL, LOC109413835|XP_019543106.1|AEAL
OG0001356	LOC119079525|XP_037043401.1|BCOP	LOC109408027|XP_029735244.1|AEAL, LOC109405168|XP_019533733.2|AEAL, LOC109408089|XP_019536851.2|AEAL, LOC115269850|XP_029734492.1|AEAL
OG0001357	LOC119080183|XP_037044308.1|BCOP, LOC119080187|XP_037044319.1|BCOP, LOC119071034|XP_037031528.1|BCOP, LOC119071033|XP_037031527.1|BCOP, LOC119080460|XP_037044726.1|BCOP	LOC109400603|XP_029734998.1|AEAL, LOC115270110|XP_029734987.1|AEAL, LOC109404943|XP_019533441.1|AEAL
OG0001358	LOC119080184|XP_037044309.1|BCOP	LOC115253910|XP_029734981.1|AEAL, LOC109404941|XP_029734936.1|AEAL, LOC115269652|XP_029734348.1|AEAL, LOC109400600|XP_029734996.1|AEAL
OG0001359	LOC119076426|XP_037039066.1|BCOP	LOC109425685|XP_019556514.2|AEAL, LOC109422978|XP_019553427.1|AEAL, LOC109422959|XP_019553405.2|AEAL
OG0001360	LOC119074489|XP_037036534.1|BCOP	LOC115256976|XP_029712057.1|AEAL, LOC109622716|XP_019932694.1|AEAL, LOC109415868|XP_019545358.1|AEAL
OG0001361	LOC119076931|XP_037039861.1|BCOP	LOC115259395|XP_029715801.1|AEAL, LOC109403799|XP_019532244.2|AEAL, LOC115263322|XP_029722453.1|AEAL, LOC109416943|XP_029722481.1|AEAL, LOC109403757|XP_019532171.2|AEAL
OG0001362	LOC119082193|XP_037047522.1|BCOP, LOC119083450|XP_037049069.1|BCOP	LOC109403770|XP_019532186.1|AEAL, LOC109416931|XP_019546590.1|AEAL
OG0001363	LOC119080901|XP_037045380.1|BCOP	LOC109406369|XP_029722267.1|AEAL, LOC109403810|XP_029722363.1|AEAL, LOC115263267|XP_029722257.1|AEAL
OG0001364	LOC119073335|XP_037034624.1|BCOP	LOC115263159|XP_029721947.1|AEAL, LOC109424117|XP_029721943.1|AEAL
OG0001365	LOC119084893|XP_037050938.1|BCOP	LOC109431682|XP_019563486.1|AEAL
OG0001366	LOC119080290|XP_037044453.1|BCOP	LOC109397991|XP_019525867.2|AEAL, LOC109431662|XP_029730340.1|AEAL, LOC115267480|XP_029730347.1|AEAL
OG0001367	LOC119078008|XP_037041291.1|BCOP	LOC109398078|XP_029730551.1|AEAL, LOC115267582|XP_029730520.1|AEAL, LOC109399526|XP_029730510.1|AEAL
OG0001368	LOC119081869|XP_037046996.1|BCOP, LOC119081865|XP_037046989.1|BCOP, LOC119081866|XP_037046990.1|BCOP	LOC109404349|XP_029735721.1|AEAL, LOC109399512|XP_029736056.1|AEAL
OG0001369	LOC119080425|XP_037044670.1|BCOP, LOC119076370|XP_037038973.1|BCOP	LOC115270441|XP_029736029.1|AEAL, LOC109408637|XP_019537514.2|AEAL, LOC109622204|XP_019931996.2|AEAL
OG0001370	LOC119079586|XP_037043471.1|BCOP	LOC109414239|XP_019543595.2|AEAL
OG0001371	LOC119072744|XP_037033922.1|BCOP	LOC115253735|XP_029728876.1|AEAL, LOC109408223|XP_029728880.1|AEAL
OG0001372	LOC119081890|XP_037047013.1|BCOP, LOC119073081|XP_037034289.1|BCOP	LOC109418473|XP_029728843.1|AEAL, LOC109408904|XP_029728815.1|AEAL
OG0001373	LOC119071460|XP_037032211.1|BCOP	LOC109397797|XP_029723962.1|AEAL, LOC115266340|XP_029728312.1|AEAL, LOC109428281|XP_029728477.1|AEAL, LOC115266389|XP_029728485.1|AEAL
OG0001374	LOC119081445|XP_037046274.1|BCOP	LOC109427897|XP_019559050.2|AEAL, LOC115263986|XP_029723147.1|AEAL
