Orthogroup	BCOP.longest_only	DYAK.longest_only
OG0002205	LOC119070447|XP_037030693.1|BCOP	LOC6536934|XP_002097503.1|DYAK
OG0002206	LOC119067466|XP_037026348.1|BCOP	LOC6537789|XP_002098330.1|DYAK
OG0002207	LOC119068191|XP_037027584.1|BCOP, LOC119068192|XP_037027585.1|BCOP	LOC6538168|XP_002098696.2|DYAK
OG0002208	LOC119068186|XP_037027576.1|BCOP	LOC6538172|XP_002098700.1|DYAK
OG0002209	LOC119076431|XP_037039074.1|BCOP	LOC6524038|XP_002099908.1|DYAK
OG0002210	LOC119067337|XP_037026136.1|BCOP	LOC6537543|XP_015048405.1|DYAK
OG0002211	LOC119070046|XP_037030224.1|BCOP	LOC6536947|XP_002097516.1|DYAK
OG0002212	LOC119069248|XP_037029195.1|BCOP, LOC119070313|XP_037030474.1|BCOP	LOC6535636|XP_002096264.1|DYAK
OG0002213	LOC119069748|XP_037029784.1|BCOP	LOC6536148|XP_002096749.1|DYAK
OG0002214	LOC119069073|XP_037028846.1|BCOP	LOC6537636|XP_015048450.1|DYAK
OG0002215	LOC119069952|XP_037030076.1|BCOP	LOC6537269|XP_015048241.2|DYAK
OG0002216	LOC119081256|XP_037045888.1|BCOP	LOC6538030|XP_002098565.1|DYAK
OG0002217	LOC119069242|XP_037029190.1|BCOP	LOC6537282|XP_015048256.1|DYAK
OG0002218	LOC119067252|XP_037026023.1|BCOP	LOC6524831|XP_002100673.1|DYAK
OG0002219	LOC119078248|XP_037041621.1|BCOP, LOC119069089|XP_037028872.1|BCOP	LOC6536963|XP_015048031.1|DYAK
OG0002220	LOC119072018|XP_037033032.1|BCOP, LOC119074239|XP_037036156.1|BCOP	LOC6536964|XP_002097533.3|DYAK
OG0002221	LOC119084830|XP_037050808.1|BCOP	LOC6532532|XP_039230906.1|DYAK
OG0002222	LOC119083959|XP_037049662.1|BCOP, LOC119083465|XP_037049080.1|BCOP, LOC119079723|XP_037043682.1|BCOP, LOC119082955|XP_037048497.1|BCOP	LOC6532070|XP_002092847.2|DYAK
OG0002224	LOC119081716|XP_037046729.1|BCOP	LOC6528453|XP_039227177.1|DYAK
OG0002225	LOC119073439|XP_037034818.1|BCOP	LOC6533343|XP_002094069.2|DYAK
OG0002226	LOC119081374|XP_037046151.1|BCOP	LOC6528304|XP_002089357.1|DYAK
OG0002227	LOC119080299|XP_037044467.1|BCOP	LOC6528898|XP_039227299.1|DYAK
OG0002228	LOC119082140|XP_037047415.1|BCOP, LOC119079257|XP_037042931.1|BCOP	LOC6528558|XP_002089602.1|DYAK
OG0002229	LOC119081545|XP_037046455.1|BCOP	LOC6532086|XP_015051691.1|DYAK
OG0002230	LOC119079254|XP_037042930.1|BCOP	LOC6530055|XP_002091001.1|DYAK
OG0002231	LOC119073448|XP_037034836.1|BCOP	LOC6528402|XP_002089449.1|DYAK
OG0002233	LOC119075212|XP_037037494.1|BCOP	LOC6533892|XP_002094592.2|DYAK
OG0002235	LOC119083565|XP_037049197.1|BCOP	LOC6531612|XP_039228980.1|DYAK
OG0002236	LOC119080175|XP_037044295.1|BCOP	LOC6531949|XP_002092735.1|DYAK
OG0002237	LOC119079255|XP_037042933.1|BCOP	LOC6531964|XP_015051638.1|DYAK
OG0002238	LOC119083149|XP_037048686.1|BCOP, LOC119076738|XP_037039550.1|BCOP	LOC6528330|XP_015053921.1|DYAK
OG0002239	LOC119085382|XP_037051663.1|BCOP	LOC6530074|XP_002091020.1|DYAK
OG0002240	LOC119079503|XP_037043346.1|BCOP	LOC6531591|XP_002092389.1|DYAK
OG0002241	LOC119081255|XP_037045885.1|BCOP	LOC6532559|XP_002093304.2|DYAK
OG0002242	LOC119080678|XP_037045006.1|BCOP	LOC6532715|XP_002093457.1|DYAK
OG0002243	LOC119083632|XP_037049262.1|BCOP	LOC6535793|XP_002096416.1|DYAK
OG0002244	LOC119084555|XP_037050465.1|BCOP, LOC119073695|XP_037035190.1|BCOP, LOC119084557|XP_037050468.1|BCOP	LOC6533657|XP_002094363.1|DYAK
OG0002245	LOC119073696|XP_037035191.1|BCOP	LOC6533366|XP_002094091.1|DYAK
OG0002246	LOC119079508|XP_037043357.1|BCOP	LOC6528332|XP_039226443.1|DYAK
OG0002247	LOC119079492|XP_037043336.1|BCOP	LOC26536030|XP_015051600.1|DYAK
OG0002248	LOC119079312|XP_037043005.1|BCOP	LOC6532950|XP_039230898.1|DYAK
OG0002249	LOC119080647|XP_037044956.1|BCOP	LOC26534760|XP_015049582.1|DYAK
OG0002250	LOC119073479|XP_037034879.1|BCOP	LOC6530732|XP_002091622.1|DYAK
OG0002251	LOC119073572|XP_037035026.1|BCOP	LOC6530734|XP_039228092.1|DYAK
OG0002252	LOC119077679|XP_037040836.1|BCOP	LOC6530751|XP_015052744.2|DYAK
OG0002253	LOC119074011|XP_037035841.1|BCOP	LOC26535160|XP_015051683.1|DYAK
OG0002254	LOC119079368|XP_037043133.1|BCOP	LOC6538655|XP_002099175.1|DYAK
OG0002255	LOC119084172|XP_037049926.1|BCOP	LOC6525190|XP_002101028.1|DYAK
OG0002256	LOC119081221|XP_037045840.1|BCOP, LOC119074128|XP_037036006.1|BCOP	LOC6529368|XP_002090373.1|DYAK
OG0002257	LOC119070242|XP_037030411.1|BCOP, LOC119075133|XP_037037414.1|BCOP	LOC6529294|XP_002090299.1|DYAK
OG0002258	LOC119079286|XP_037042971.1|BCOP, LOC119079287|XP_037042972.1|BCOP	LOC6533249|XP_002093975.1|DYAK
OG0002259	LOC119078492|XP_037041943.1|BCOP	LOC6524899|XP_002100739.1|DYAK
OG0002260	LOC119079351|XP_037043075.1|BCOP	LOC6534896|XP_002095568.2|DYAK
OG0002261	LOC119080525|XP_037044831.1|BCOP	LOC6534917|XP_002095588.1|DYAK
OG0002262	LOC119070724|XP_037031072.1|BCOP	LOC6528800|XP_002089832.2|DYAK
OG0002263	LOC119077861|XP_037041090.1|BCOP	LOC6535106|XP_002095769.1|DYAK
OG0002264	LOC119081148|XP_037045791.1|BCOP	LOC6532071|XP_002092848.1|DYAK
OG0002265	LOC119076153|XP_037038732.1|BCOP	LOC6533611|XP_002094319.1|DYAK
OG0002266	LOC119073649|XP_037035142.1|BCOP	LOC6534861|XP_015050878.1|DYAK
OG0002267	LOC119083362|XP_037048971.1|BCOP, LOC119075050|XP_037037340.1|BCOP	LOC6532638|XP_002093382.1|DYAK
OG0002268	LOC119080619|XP_037044918.1|BCOP, LOC119066077|XP_037024241.1|BCOP	LOC6539382|XP_002086275.1|DYAK
OG0002269	LOC119081728|XP_037046784.1|BCOP	LOC6531527|XP_002092326.1|DYAK
OG0002270	LOC119074506|XP_037036558.1|BCOP	LOC6531486|XP_039228131.1|DYAK
OG0002271	LOC119080669|XP_037044995.1|BCOP	LOC6532626|XP_015049496.1|DYAK
OG0002272	LOC119075051|XP_037037341.1|BCOP, LOC119083363|XP_037048973.1|BCOP	LOC6532418|XP_002093169.1|DYAK
OG0002273	LOC119069867|XP_037029932.1|BCOP, LOC119079355|XP_037043083.1|BCOP	LOC6534555|XP_039230841.1|DYAK
OG0002274	LOC119073513|XP_037034927.1|BCOP	LOC6535120|XP_039230790.1|DYAK
OG0002275	LOC119084843|XP_037050844.1|BCOP	LOC6534360|XP_002095038.1|DYAK
OG0002276	LOC119079718|XP_037043674.1|BCOP	LOC6532383|XP_002093134.2|DYAK
OG0002277	LOC119073271|XP_037034548.1|BCOP	LOC6532376|XP_015049297.2|DYAK
OG0002279	LOC119076586|XP_037039320.1|BCOP	LOC6532591|XP_002093335.3|DYAK
OG0002280	LOC119070015|XP_037030188.1|BCOP, LOC119070968|XP_037031440.1|BCOP, LOC119080389|XP_037044595.1|BCOP, LOC119069110|XP_037028897.1|BCOP	LOC6534398|XP_002095076.2|DYAK
OG0002281	LOC119077996|XP_037041271.1|BCOP	LOC6534409|XP_002095087.1|DYAK
OG0002282	LOC119085901|XP_037052340.1|BCOP, LOC119077824|XP_037041030.1|BCOP, LOC119073806|XP_037035464.1|BCOP	LOC6532811|XP_039230773.1|DYAK
OG0002284	LOC119081350|XP_037046090.1|BCOP	LOC6528525|XP_002089571.1|DYAK
OG0002285	LOC119072366|XP_037033455.1|BCOP, LOC119077792|XP_037040999.1|BCOP	LOC6525457|XP_039233409.1|DYAK
OG0002286	LOC119079844|XP_037043804.1|BCOP	LOC6531766|XP_002092553.2|DYAK
OG0002287	LOC119074511|XP_037036568.1|BCOP	LOC6531485|XP_002092284.1|DYAK
OG0002288	LOC119080406|XP_037044632.1|BCOP	LOC6532627|XP_015049497.1|DYAK
OG0002289	LOC119073547|XP_037034995.1|BCOP, LOC119073548|XP_037034996.1|BCOP	LOC6532696|XP_002093438.1|DYAK
OG0002290	LOC119076753|XP_037039597.1|BCOP, LOC119069972|XP_037030110.1|BCOP	LOC6527124|XP_002088217.1|DYAK
OG0002291	LOC119079329|XP_037043021.1|BCOP	LOC6528429|XP_002089475.2|DYAK
OG0002292	LOC119079063|XP_037042770.1|BCOP	LOC6528334|XP_015054423.1|DYAK
OG0002293	LOC119073985|XP_037035791.1|BCOP	LOC6539197|XP_002086098.3|DYAK
OG0002294	LOC119079625|XP_037043517.1|BCOP, LOC119079626|XP_037043519.1|BCOP	LOC6536195|XP_002096786.1|DYAK
OG0002295	LOC119066270|XP_037024521.1|BCOP	LOC6526995|XP_039226177.1|DYAK
OG0002296	LOC119072829|XP_037034024.1|BCOP	LOC6527870|XP_015052994.1|DYAK
OG0002297	LOC119080976|XP_037045515.1|BCOP	LOC6537220|XP_002097778.2|DYAK
OG0002298	LOC119073204|XP_037034409.1|BCOP, LOC119081199|XP_037045810.1|BCOP	LOC6531973|XP_002092759.1|DYAK
OG0002299	LOC119081201|XP_037045816.1|BCOP, LOC119073225|XP_037034432.1|BCOP	LOC6529341|XP_002090346.1|DYAK
OG0002300	LOC119071456|XP_037032203.1|BCOP	LOC6528129|XP_015053883.1|DYAK
OG0002301	LOC119082756|XP_037048233.1|BCOP	LOC6529207|XP_015052250.1|DYAK
OG0002302	LOC119070830|XP_037031227.1|BCOP	LOC6529200|XP_039229243.1|DYAK
OG0002303	LOC119077038|XP_037040057.1|BCOP	LOC6523820|XP_002099695.1|DYAK
OG0002304	LOC119081963|XP_037047162.1|BCOP	LOC6528277|XP_002089330.1|DYAK
OG0002305	LOC119085146|XP_037051319.1|BCOP	LOC6534792|XP_002095464.1|DYAK
OG0002306	LOC119070890|XP_037031307.1|BCOP	LOC6527736|XP_002088819.1|DYAK
OG0002307	LOC119066739|XP_037025256.1|BCOP	LOC6526464|XP_039227768.1|DYAK
OG0002308	LOC119072832|XP_037034035.1|BCOP	LOC6527872|XP_002088944.1|DYAK
OG0002309	LOC119069832|XP_037029895.1|BCOP	LOC6528161|XP_015054450.1|DYAK
OG0002310	LOC119085817|XP_037052203.1|BCOP	LOC6529232|XP_002090238.1|DYAK
OG0002311	LOC119082307|XP_037047697.1|BCOP	LOC6529747|XP_039229294.1|DYAK
OG0002312	LOC119072674|XP_037033844.1|BCOP, LOC119084664|XP_037050636.1|BCOP	LOC6527489|XP_039226509.1|DYAK
OG0002313	LOC119085561|XP_037051885.1|BCOP	LOC6530404|XP_015051950.1|DYAK
OG0002314	LOC119073895|XP_037035679.1|BCOP	LOC6528614|XP_002089657.1|DYAK
OG0002315	LOC119066318|XP_037024602.1|BCOP	LOC6530204|XP_002091142.1|DYAK
OG0002316	LOC119072614|XP_037033763.1|BCOP	LOC6527226|XP_002088320.1|DYAK
OG0002317	LOC119072700|XP_037033865.1|BCOP, LOC119085442|XP_037051760.1|BCOP, LOC119072701|XP_037033866.1|BCOP	LOC6534172|XP_015050490.1|DYAK
OG0002318	LOC119082095|XP_037047357.1|BCOP	LOC6529609|XP_002090603.1|DYAK
OG0002319	LOC119072731|XP_037033902.1|BCOP	LOC6527464|XP_002088555.1|DYAK
OG0002320	LOC119079431|XP_037043237.1|BCOP	LOC6530716|XP_002091607.1|DYAK
OG0002321	LOC119066374|XP_037024694.1|BCOP	LOC6530164|XP_002091106.2|DYAK
OG0002322	LOC119082065|XP_037047298.1|BCOP	LOC6529217|XP_002090224.1|DYAK
OG0002323	LOC119084003|XP_037049710.1|BCOP	LOC6529246|XP_002090252.1|DYAK
OG0002324	LOC119073596|XP_037035065.1|BCOP	LOC6534914|XP_015050925.1|DYAK
OG0002325	LOC119066721|XP_037025230.1|BCOP, LOC119073537|XP_037034975.1|BCOP, LOC119073517|XP_037034939.1|BCOP	LOC6533644|XP_015050198.1|DYAK
OG0002326	LOC119076472|XP_037039144.1|BCOP, LOC119072872|XP_037034074.1|BCOP, LOC119073530|XP_037034964.1|BCOP	LOC6533645|XP_015050200.1|DYAK
OG0002327	LOC119073735|XP_037035282.1|BCOP	LOC26534581|XP_015047853.1|DYAK
OG0002328	LOC119082380|XP_037047798.1|BCOP	LOC6529777|XP_002090761.1|DYAK
OG0002329	LOC119070923|XP_037031360.1|BCOP	LOC6526387|XP_002087506.1|DYAK
OG0002330	LOC119077117|XP_037040181.1|BCOP	LOC6526389|XP_002087508.1|DYAK
OG0002331	LOC119076302|XP_037038862.1|BCOP	LOC6525854|XP_002101674.1|DYAK
OG0002332	LOC119085089|XP_037051225.1|BCOP	LOC6533454|XP_002094165.1|DYAK
OG0002333	LOC119079279|XP_037042960.1|BCOP, LOC119079284|XP_037042968.1|BCOP	LOC6532131|XP_002092907.2|DYAK
OG0002334	LOC119084807|XP_037050773.1|BCOP, LOC119080246|XP_037044389.1|BCOP	LOC6528109|XP_002089176.1|DYAK
OG0002335	LOC119084622|XP_037050583.1|BCOP	LOC6528669|XP_002089711.2|DYAK
OG0002336	LOC119071160|XP_037031810.1|BCOP	LOC6534992|XP_002095662.2|DYAK
OG0002337	LOC119081396|XP_037046177.1|BCOP	LOC6528772|XP_002089806.2|DYAK
OG0002338	LOC119082046|XP_037047267.1|BCOP	LOC6526970|XP_002088066.1|DYAK
OG0002339	LOC119076373|XP_037038978.1|BCOP	LOC6526683|XP_015053293.1|DYAK
OG0002340	LOC119076367|XP_037038968.1|BCOP	LOC6527323|XP_015053657.1|DYAK
OG0002341	LOC119068618|XP_037028179.1|BCOP, LOC119073643|XP_037035136.1|BCOP, LOC119072585|XP_037033733.1|BCOP	LOC6528856|XP_002089888.1|DYAK
OG0002342	LOC119085397|XP_037051694.1|BCOP	LOC6527582|XP_039226729.1|DYAK
OG0002343	LOC119077071|XP_037040108.1|BCOP	LOC6527598|XP_002088686.2|DYAK
OG0002344	LOC119082390|XP_037047814.1|BCOP	LOC6539147|XP_039227262.1|DYAK
OG0002345	LOC119074085|XP_037035935.1|BCOP	LOC6528500|XP_002089546.1|DYAK
OG0002346	LOC119084611|XP_037050572.1|BCOP, LOC119072567|XP_037033702.1|BCOP	LOC6527000|XP_015053563.1|DYAK
OG0002347	LOC119081380|XP_037046159.1|BCOP	LOC6530177|XP_039229348.1|DYAK
OG0002348	LOC119066932|XP_037025540.1|BCOP	LOC6527695|XP_002088779.1|DYAK
OG0002349	LOC119073881|XP_037035656.1|BCOP	LOC26536309|XP_015054727.1|DYAK
OG0002350	LOC119081404|XP_037046193.1|BCOP	LOC6528499|XP_002089545.1|DYAK
OG0002351	LOC119081501|XP_037046402.1|BCOP	LOC6530119|XP_002091065.1|DYAK
OG0002352	LOC119081468|XP_037046352.1|BCOP	LOC6530036|XP_002090982.1|DYAK
OG0002353	LOC119082403|XP_037047829.1|BCOP	LOC6540552|XP_002087342.2|DYAK
OG0002354	LOC119085918|XP_037052367.1|BCOP	LOC26535576|XP_015054641.1|DYAK, LOC6527802|XP_039227119.1|DYAK
OG0002355	LOC119082262|XP_037047617.1|BCOP	LOC6539240|XP_002086139.2|DYAK
OG0002356	LOC119083269|XP_037048850.1|BCOP	LOC6529553|XP_002090550.1|DYAK
OG0002357	LOC119079343|XP_037043066.1|BCOP, LOC119080488|XP_037044780.1|BCOP	LOC6537292|XP_002097850.1|DYAK
OG0002358	LOC119066242|XP_037024457.1|BCOP	LOC6527985|XP_002089052.1|DYAK
OG0002359	LOC119077069|XP_037040106.1|BCOP	LOC6524299|XP_002100158.2|DYAK
OG0002360	LOC119071573|XP_037032407.1|BCOP	LOC6530319|XP_002091246.1|DYAK
OG0002361	LOC119077610|XP_037040726.1|BCOP	LOC6534872|XP_002095544.1|DYAK
OG0002362	LOC119076930|XP_037039853.1|BCOP	LOC6526927|XP_015053515.1|DYAK
OG0002363	LOC119076926|XP_037039846.1|BCOP	LOC6526968|XP_002088064.1|DYAK
OG0002364	LOC119076922|XP_037039831.1|BCOP	LOC6526966|XP_039226223.1|DYAK
OG0002365	LOC119075602|XP_037037966.1|BCOP	LOC6526964|XP_002088060.1|DYAK
OG0002366	LOC119072718|XP_037033884.1|BCOP	LOC6527628|XP_002088716.2|DYAK
OG0002367	LOC119068278|XP_037027704.1|BCOP, LOC119084601|XP_037050551.1|BCOP	LOC6526508|XP_002087619.1|DYAK
OG0002368	LOC119077129|XP_037040198.1|BCOP	LOC6528068|XP_002089135.1|DYAK
OG0002369	LOC119077133|XP_037040207.1|BCOP	LOC6530134|XP_002091080.1|DYAK
OG0002370	LOC119075583|XP_037037946.1|BCOP	LOC6528185|XP_002089248.2|DYAK
OG0002371	LOC119076257|XP_037038820.1|BCOP	LOC6528183|XP_002089246.1|DYAK
OG0002372	LOC119078905|XP_037042529.1|BCOP	LOC6526801|XP_039226537.1|DYAK
OG0002373	LOC119076965|XP_037039952.1|BCOP	LOC6529529|XP_002090531.1|DYAK
OG0002374	LOC119069869|XP_037029935.1|BCOP	LOC6538623|XP_015048928.1|DYAK
OG0002375	LOC119081144|XP_037045783.1|BCOP	LOC6535989|XP_002096604.1|DYAK
OG0002376	LOC119081928|XP_037047078.1|BCOP	LOC6527011|XP_002088106.1|DYAK
OG0002377	LOC119065987|XP_037024088.1|BCOP, LOC119077235|XP_037040319.1|BCOP	LOC6535411|XP_002096060.1|DYAK
OG0002378	LOC119084173|XP_037049927.1|BCOP	LOC6533960|XP_002094660.1|DYAK
OG0002379	LOC119078936|XP_037042577.1|BCOP	LOC6529409|XP_002090414.1|DYAK
OG0002380	LOC119082244|XP_037047603.1|BCOP	LOC6524009|XP_015045430.1|DYAK
OG0002381	LOC119066384|XP_037024711.1|BCOP	LOC6530350|XP_002091277.1|DYAK
OG0002382	LOC119071174|XP_037031832.1|BCOP	LOC6525292|XP_002101128.1|DYAK
OG0002383	LOC119071194|XP_037031870.1|BCOP	LOC6532438|XP_002093185.1|DYAK
OG0002384	LOC119069011|XP_037028783.1|BCOP, LOC119074536|XP_037036598.1|BCOP	LOC6524451|XP_015045707.1|DYAK
OG0002386	LOC119084151|XP_037049893.1|BCOP	LOC6535740|XP_002096363.1|DYAK
OG0002387	LOC119084427|XP_037050299.1|BCOP	LOC6537856|XP_015048547.1|DYAK
OG0002388	LOC119066565|XP_037025007.1|BCOP, LOC119080347|XP_037044540.1|BCOP, LOC119078065|XP_037041397.1|BCOP	LOC6537217|XP_002097775.2|DYAK
OG0002389	LOC119076759|XP_037039611.1|BCOP	LOC6537877|XP_002098418.1|DYAK
OG0002390	LOC119073788|XP_037035407.1|BCOP	LOC6527171|XP_002088265.1|DYAK
OG0002391	LOC119085224|XP_037051432.1|BCOP	LOC6531657|XP_002092454.1|DYAK
OG0002392	LOC119072765|XP_037033958.1|BCOP, LOC119075003|XP_037037300.1|BCOP	LOC6533023|XP_015049779.1|DYAK
OG0002393	LOC119074933|XP_037037218.1|BCOP	LOC6534442|XP_002095119.1|DYAK
OG0002394	LOC119068580|XP_037028158.1|BCOP	LOC6538492|XP_015048887.1|DYAK
OG0002395	LOC119078061|XP_037041390.1|BCOP	LOC6536579|XP_039231214.1|DYAK
OG0002396	LOC119080349|XP_037044542.1|BCOP	LOC6530507|XP_015052692.1|DYAK
OG0002397	LOC119076486|XP_037039166.1|BCOP	LOC6529110|XP_002090123.1|DYAK
OG0002398	LOC119082077|XP_037047312.1|BCOP, LOC119073932|XP_037035696.1|BCOP, LOC119072043|XP_037033057.1|BCOP, LOC119072044|XP_037033063.1|BCOP	LOC6525234|XP_002101072.2|DYAK
OG0002399	LOC119071691|XP_037032574.1|BCOP	LOC6529080|XP_002090093.1|DYAK
OG0002400	LOC119071702|XP_037032585.1|BCOP	LOC6531632|XP_002092429.2|DYAK
OG0002401	LOC119079502|XP_037043345.1|BCOP	LOC6523699|XP_002099576.1|DYAK
OG0002402	LOC119076888|XP_037039787.1|BCOP	LOC6537081|XP_002097642.2|DYAK
OG0002403	LOC119074386|XP_037036399.1|BCOP, LOC119076884|XP_037039783.1|BCOP	LOC6537080|XP_002097641.1|DYAK
OG0002404	LOC119084374|XP_037050221.1|BCOP	LOC6535249|XP_002095905.1|DYAK
OG0002405	LOC119071729|XP_037032653.1|BCOP	LOC6535404|XP_002096053.1|DYAK
OG0002406	LOC119074007|XP_037035839.1|BCOP	LOC6539324|XP_002086216.1|DYAK
OG0002407	LOC119084019|XP_037049728.1|BCOP	LOC6539029|XP_002099531.1|DYAK
OG0002408	LOC119068865|XP_037028601.1|BCOP	LOC6535417|XP_002096066.1|DYAK
OG0002410	LOC119074783|XP_037036952.1|BCOP	LOC6535726|XP_039231406.1|DYAK
OG0002411	LOC119068782|XP_037028437.1|BCOP	LOC6536303|XP_002096887.1|DYAK
OG0002412	LOC119068166|XP_037027543.1|BCOP	LOC26534951|XP_015044780.2|DYAK
OG0002413	LOC119085333|XP_037051612.1|BCOP	LOC6524064|XP_002099933.1|DYAK
OG0002414	LOC119083075|XP_037048592.1|BCOP	LOC6532343|XP_002093103.1|DYAK
OG0002415	LOC119076085|XP_037038633.1|BCOP, LOC119076088|XP_037038636.1|BCOP	LOC6536783|XP_015047950.1|DYAK
OG0002416	LOC119076143|XP_037038713.1|BCOP, LOC119078096|XP_037041460.1|BCOP	LOC6523720|XP_039233076.1|DYAK
OG0002417	LOC119070846|XP_037031251.1|BCOP	LOC6526260|XP_002087382.1|DYAK
OG0002418	LOC119066192|XP_037024404.1|BCOP	LOC26536186|XP_039232837.1|DYAK
OG0002419	LOC119077851|XP_037041073.1|BCOP	LOC6524244|XP_002100107.1|DYAK
OG0002420	LOC119079301|XP_037042983.1|BCOP, LOC119078134|XP_037041505.1|BCOP, LOC119082199|XP_037047528.1|BCOP	LOC6532813|XP_002093550.2|DYAK
OG0002421	LOC119079652|XP_037043628.1|BCOP, LOC119076131|XP_037038698.1|BCOP, LOC119079578|XP_037043500.1|BCOP	LOC6538721|XP_002099236.1|DYAK
OG0002422	LOC119078114|XP_037041461.1|BCOP, LOC119080523|XP_037044828.1|BCOP	LOC6535969|XP_015047482.2|DYAK
OG0002423	LOC119074331|XP_037036310.1|BCOP	LOC6533673|XP_002094379.1|DYAK
OG0002424	LOC119076864|XP_037039764.1|BCOP	LOC6523694|XP_002099572.1|DYAK
OG0002425	LOC119067380|XP_037026195.1|BCOP	LOC6524846|XP_002100686.2|DYAK
OG0002426	LOC119083250|XP_037048809.1|BCOP	LOC6532295|XP_002093055.1|DYAK
OG0002427	LOC119078692|XP_037042251.1|BCOP	LOC6523700|XP_002099577.1|DYAK
OG0002428	LOC119067826|XP_037026893.1|BCOP	LOC6525155|XP_002100993.2|DYAK
OG0002429	LOC119082512|XP_037047919.1|BCOP	LOC6533478|XP_039230863.1|DYAK
OG0002430	LOC119078236|XP_037041589.1|BCOP	LOC6528410|XP_002089456.1|DYAK
OG0002431	LOC119071319|XP_037032097.1|BCOP	LOC6530942|XP_002091784.1|DYAK
OG0002432	LOC119074344|XP_037036332.1|BCOP	LOC6524217|XP_002100080.1|DYAK
OG0002433	LOC119077797|XP_037041003.1|BCOP	LOC6535645|XP_002096273.1|DYAK
OG0002434	LOC119084220|XP_037050014.1|BCOP	LOC6536396|XP_002096978.1|DYAK
OG0002436	LOC119071260|XP_037032010.1|BCOP	LOC6529880|XP_002090837.1|DYAK
OG0002437	LOC119085315|XP_037051589.1|BCOP	LOC6529915|XP_039229312.1|DYAK
OG0002438	LOC119071047|XP_037031544.1|BCOP	LOC6524485|XP_039226161.1|DYAK
OG0002439	LOC119070966|XP_037031432.1|BCOP	LOC6528069|XP_002089136.2|DYAK
OG0002440	LOC119085381|XP_037051662.1|BCOP, LOC119067279|XP_037026051.1|BCOP	LOC6534273|XP_002094954.1|DYAK
OG0002441	LOC119071391|XP_037032162.1|BCOP	LOC6528792|XP_002089826.1|DYAK
OG0002442	LOC119074198|XP_037036089.1|BCOP	LOC6531256|XP_002092065.1|DYAK
OG0002443	LOC119072386|XP_037033484.1|BCOP, LOC119072392|XP_037033496.1|BCOP	LOC6529353|XP_015052293.1|DYAK
OG0002444	LOC119084080|XP_037049810.1|BCOP	LOC6531583|XP_002092381.1|DYAK
OG0002445	LOC119069836|XP_037029898.1|BCOP	LOC6529900|XP_002090857.2|DYAK
OG0002447	LOC119071927|XP_037032945.1|BCOP	LOC6533935|XP_015050347.1|DYAK
OG0002448	LOC119066229|XP_037024448.1|BCOP	LOC6530580|XP_002091493.1|DYAK
OG0002449	LOC119071329|XP_037032108.1|BCOP	LOC6531345|XP_002092149.1|DYAK
OG0002450	LOC119084537|XP_037050445.1|BCOP, LOC119084500|XP_037050417.1|BCOP	LOC6536537|XP_002097113.1|DYAK
OG0002451	LOC119084029|XP_037049746.1|BCOP, LOC119077965|XP_037041240.1|BCOP	LOC6528657|XP_002089699.1|DYAK
OG0002452	LOC119066537|XP_037024957.1|BCOP	LOC6531615|XP_002092412.1|DYAK
OG0002453	LOC119072839|XP_037034047.1|BCOP	LOC6531614|XP_002092411.1|DYAK
OG0002454	LOC119066170|XP_037024361.1|BCOP	LOC6532289|XP_015049269.1|DYAK
OG0002455	LOC119072032|XP_037033048.1|BCOP	LOC6523844|XP_002099717.1|DYAK
OG0002456	LOC119072082|XP_037033133.1|BCOP	LOC6531754|XP_039228336.1|DYAK
OG0002457	LOC119085354|XP_037051625.1|BCOP	LOC6528451|XP_015053939.1|DYAK
OG0002458	LOC119066843|XP_037025406.1|BCOP	LOC6527123|XP_002088216.1|DYAK
OG0002459	LOC119077043|XP_037040065.1|BCOP	LOC6529938|XP_002090893.1|DYAK
OG0002460	LOC119066116|XP_037024292.1|BCOP	LOC6532014|XP_002092793.1|DYAK
OG0002461	LOC119082739|XP_037048214.1|BCOP	LOC6531692|XP_002092483.2|DYAK
OG0002462	LOC119071060|XP_037031574.1|BCOP	LOC6530981|XP_015051796.1|DYAK
OG0002463	LOC119078240|XP_037041597.1|BCOP	LOC6531963|XP_002092749.2|DYAK
OG0002464	LOC119071679|XP_037032555.1|BCOP	LOC6531259|XP_002092068.1|DYAK
OG0002465	LOC119082101|XP_037047366.1|BCOP	LOC6529082|XP_039226600.1|DYAK
OG0002466	LOC119085098|XP_037051237.1|BCOP, LOC119083407|XP_037049021.1|BCOP	LOC6523730|XP_039232886.1|DYAK
OG0002467	LOC119073227|XP_037034433.1|BCOP, LOC119081200|XP_037045812.1|BCOP	LOC6533066|XP_002093798.1|DYAK
OG0002468	LOC119083241|XP_037048794.1|BCOP, LOC119083240|XP_037048791.1|BCOP, LOC119083221|XP_037048782.1|BCOP	LOC6533980|XP_002094675.3|DYAK
OG0002469	LOC119067785|XP_037026821.1|BCOP	LOC6535259|XP_002095915.1|DYAK
OG0002470	LOC119083279|XP_037048862.1|BCOP	LOC6528665|XP_002089707.1|DYAK
OG0002471	LOC119086078|XP_037052549.1|BCOP	LOC6528757|XP_002089792.2|DYAK
OG0002472	LOC119071492|XP_037032238.1|BCOP	LOC6530154|XP_039227811.1|DYAK
OG0002473	LOC119072615|XP_037033765.1|BCOP	LOC6530233|XP_002091170.1|DYAK
OG0002474	LOC119071844|XP_037032794.1|BCOP	LOC6534503|XP_015050660.2|DYAK
