Orthogroup	BCOP.longest_only	DPSE.longest_only
OG0001352	LOC119073437|XP_037034814.1|BCOP	LOC6898659|XP_033234153.1|DPSE
OG0001353	LOC119067652|XP_037026648.1|BCOP	LOC4812831|XP_001353157.1|DPSE
OG0001354	LOC119075131|XP_037037410.1|BCOP, LOC119084554|XP_037050464.1|BCOP, LOC119084538|XP_037050441.1|BCOP, LOC119073015|XP_037034233.1|BCOP	LOC4804539|XP_015039998.2|DPSE
OG0001355	LOC119076251|XP_037038813.1|BCOP, LOC119078126|XP_037041488.1|BCOP	LOC4804222|XP_001360816.1|DPSE
OG0001356	LOC119079525|XP_037043401.1|BCOP	LOC6897925|XP_033239001.1|DPSE
OG0001357	LOC119080183|XP_037044308.1|BCOP, LOC119080187|XP_037044319.1|BCOP, LOC119071034|XP_037031528.1|BCOP, LOC119071033|XP_037031527.1|BCOP, LOC119080460|XP_037044726.1|BCOP	LOC4813405|XP_001353261.1|DPSE
OG0001358	LOC119080184|XP_037044309.1|BCOP, LOC119083376|XP_037048985.1|BCOP	LOC4813256|XP_001353488.3|DPSE
OG0001359	LOC119076426|XP_037039066.1|BCOP	LOC4816205|XP_001355787.2|DPSE
OG0001360	LOC119074489|XP_037036534.1|BCOP	LOC4804711|XP_001361229.2|DPSE
OG0001361	LOC119076931|XP_037039861.1|BCOP	LOC6900308|XP_002135629.2|DPSE
OG0001362	LOC119082193|XP_037047522.1|BCOP, LOC119083450|XP_037049069.1|BCOP	LOC4812684|XP_001353067.1|DPSE
OG0001363	LOC119076875|XP_037039779.1|BCOP, LOC119080901|XP_037045380.1|BCOP	LOC4803273|XP_001360041.1|DPSE
OG0001364	LOC119073335|XP_037034624.1|BCOP	LOC6899426|XP_033233715.1|DPSE
OG0001365	LOC119084893|XP_037050938.1|BCOP	LOC6901937|XP_002133471.1|DPSE, LOC6897710|XP_002137833.2|DPSE, LOC6900941|XP_002134642.1|DPSE
OG0001366	LOC119082924|XP_037048474.1|BCOP	LOC117183342|XP_033232838.1|DPSE, LOC4814116|XP_001354266.4|DPSE, LOC6897017|XP_033233187.1|DPSE
OG0001367	LOC119078008|XP_037041291.1|BCOP	LOC6898419|XP_015039708.1|DPSE
OG0001368	LOC119081869|XP_037046996.1|BCOP, LOC119081865|XP_037046989.1|BCOP, LOC119081866|XP_037046990.1|BCOP	LOC6898537|XP_015040035.2|DPSE
OG0001369	LOC119080425|XP_037044670.1|BCOP, LOC119076370|XP_037038973.1|BCOP	LOC4815190|XP_001354724.3|DPSE
OG0001370	LOC119079586|XP_037043471.1|BCOP	LOC4804486|XP_015039979.2|DPSE
OG0001371	LOC119072744|XP_037033922.1|BCOP	LOC6903318|XP_033235499.1|DPSE
OG0001372	LOC119081890|XP_037047013.1|BCOP, LOC119073081|XP_037034289.1|BCOP	LOC15382872|XP_033233220.1|DPSE
OG0001373	LOC119071460|XP_037032211.1|BCOP	LOC6902589|XP_002133117.3|DPSE
OG0001374	LOC119081445|XP_037046274.1|BCOP	LOC6902435|XP_002132981.2|DPSE, LOC4805487|XP_001361882.1|DPSE
OG0001375	LOC119077671|XP_037040810.1|BCOP, LOC119077676|XP_037040822.1|BCOP, LOC119072638|XP_037033781.1|BCOP, LOC119078464|XP_037041896.1|BCOP, LOC119077673|XP_037040816.1|BCOP, LOC119077675|XP_037040820.1|BCOP	LOC4802527|XP_001359431.4|DPSE
OG0001376	LOC119073483|XP_037034883.1|BCOP	LOC4805015|XP_001361485.2|DPSE
OG0001377	LOC119085360|XP_037051633.1|BCOP	LOC4817376|XP_033235327.1|DPSE
OG0001378	LOC119073535|XP_037034971.1|BCOP	LOC6902363|XP_002133309.3|DPSE, LOC4818042|XP_015035490.2|DPSE
OG0001380	LOC119081665|XP_037046643.1|BCOP	LOC6898672|XP_015040234.2|DPSE
OG0001381	LOC119068711|XP_037028295.1|BCOP, LOC119068709|XP_037028294.1|BCOP	LOC4803820|XP_001360475.2|DPSE
OG0001382	LOC119076360|XP_037038954.1|BCOP	LOC117183986|XP_033235659.1|DPSE, LOC6903567|XP_015035556.2|DPSE
OG0001383	LOC119078241|XP_037041605.1|BCOP	LOC6903341|XP_002132222.1|DPSE, LOC4803354|XP_001360112.1|DPSE
OG0001384	LOC119074606|XP_037036758.1|BCOP, LOC119072248|XP_037033323.1|BCOP, LOC119072247|XP_037033322.1|BCOP	LOC117183959|XP_033235580.1|DPSE, LOC4816707|XP_001356285.1|DPSE
OG0001385	LOC119082316|XP_037047712.1|BCOP	LOC4817464|XP_033235365.1|DPSE
OG0001386	LOC119081244|XP_037045865.1|BCOP, LOC119082514|XP_037047921.1|BCOP, LOC119081242|XP_037045862.1|BCOP, LOC119081592|XP_037046522.1|BCOP, LOC119070351|XP_037030533.1|BCOP	LOC6903315|XP_033236837.1|DPSE
OG0001387	LOC119077011|XP_037040019.1|BCOP, LOC119073952|XP_037035732.1|BCOP	LOC4818098|XP_033236808.1|DPSE
OG0001388	LOC119078838|XP_037042435.1|BCOP	LOC26533386|XP_033236160.1|DPSE
OG0001389	LOC119070229|XP_037030392.1|BCOP	LOC4800555|XP_033241836.1|DPSE
OG0001390	LOC119066921|XP_037025519.1|BCOP, LOC119076711|XP_037039523.1|BCOP, LOC119079002|XP_037042664.1|BCOP, LOC119067954|XP_037027173.1|BCOP	LOC4817570|XP_015036346.1|DPSE
OG0001391	LOC119066428|XP_037024846.1|BCOP	LOC26533271|XP_033239487.1|DPSE, LOC6900533|XP_033237383.1|DPSE, LOC4811697|XP_001352279.2|DPSE
OG0001392	LOC119074919|XP_037037205.1|BCOP	LOC4814504|XP_001355029.4|DPSE
OG0001393	LOC119076493|XP_037039173.1|BCOP	LOC6901671|XP_002134340.1|DPSE, LOC6897229|XP_002137401.1|DPSE
OG0001394	LOC119075488|XP_037037849.1|BCOP	LOC6903314|XP_033236868.1|DPSE
OG0001395	LOC119074955|XP_037037239.1|BCOP	LOC4803088|XP_001359887.1|DPSE, LOC6897547|XP_002137693.4|DPSE
OG0001396	LOC119083406|XP_037049020.1|BCOP, LOC119076413|XP_037039043.1|BCOP	LOC6902447|XP_002132992.2|DPSE, LOC6901333|XP_015041580.2|DPSE
OG0001397	LOC119084135|XP_037049881.1|BCOP	LOC4802822|XP_001359664.2|DPSE
OG0001398	LOC119073267|XP_037034539.1|BCOP	LOC4815444|XP_015041220.2|DPSE
OG0001399	LOC119066910|XP_037025505.1|BCOP	LOC26533571|XP_033234447.1|DPSE
OG0001400	LOC119075955|XP_037038417.1|BCOP	LOC6897176|XP_002137356.5|DPSE
OG0001401	LOC119080499|XP_037044793.1|BCOP, LOC119071758|XP_037032692.1|BCOP, LOC119081901|XP_037047030.1|BCOP, LOC119070024|XP_037030205.1|BCOP	LOC117184478|XP_033238169.1|DPSE, LOC4813398|XP_001353301.2|DPSE
OG0001402	LOC119078307|XP_037041703.1|BCOP	LOC6900298|XP_002135620.2|DPSE
OG0001403	LOC119072446|XP_037033558.1|BCOP	LOC4812519|XP_001352966.2|DPSE
OG0001404	LOC119075529|XP_037037893.1|BCOP	LOC4804384|XP_015039907.1|DPSE
OG0001405	LOC119071739|XP_037032666.1|BCOP	LOC4805705|XP_001362061.3|DPSE
OG0001406	LOC119071455|XP_037032202.1|BCOP	LOC6903006|XP_002132728.1|DPSE, LOC4814627|XP_001354880.2|DPSE
OG0001407	LOC119072463|XP_037033582.1|BCOP	LOC6902488|XP_002133033.3|DPSE, LOC117183188|XP_033236176.1|DPSE, LOC6900695|XP_002135059.2|DPSE
OG0001411	LOC119083601|XP_037049232.1|BCOP, LOC119077377|XP_037040463.1|BCOP, LOC119083602|XP_037049233.1|BCOP, LOC119070386|XP_037030600.1|BCOP, LOC119074488|XP_037036531.1|BCOP	LOC4801581|XP_001358651.2|DPSE
OG0001429	LOC119069720|XP_037029741.1|BCOP, LOC119069004|XP_037028776.1|BCOP	LOC6897285|XP_015037335.2|DPSE
OG0001430	LOC119069695|XP_037029719.1|BCOP	LOC4802004|XP_033235971.1|DPSE
OG0001431	LOC119068849|XP_037028560.1|BCOP	LOC4815815|XP_033239674.1|DPSE
OG0001432	LOC119068544|XP_037028058.1|BCOP	LOC4814404|XP_033239312.1|DPSE
OG0001433	LOC119085603|XP_037051921.1|BCOP, LOC119085621|XP_037051939.1|BCOP	LOC6901708|XP_002134376.2|DPSE, LOC4800932|XP_001358119.3|DPSE
OG0001434	LOC119067814|XP_037026864.1|BCOP	LOC4814818|XP_033241176.1|DPSE
OG0001435	LOC119070281|XP_037030442.1|BCOP	LOC4804343|XP_001360918.3|DPSE, LOC6901740|XP_002134409.2|DPSE
OG0001436	LOC119070372|XP_037030568.1|BCOP	LOC6902608|XP_002133134.1|DPSE, LOC6901855|XP_002133393.1|DPSE
OG0001437	LOC119077714|XP_037040888.1|BCOP	LOC4816856|XP_001356391.1|DPSE
OG0001438	LOC119070579|XP_037030882.1|BCOP	LOC6901931|XP_002133465.3|DPSE, LOC4800623|XP_001357865.2|DPSE
OG0001439	LOC119068124|XP_037027476.1|BCOP	LOC4801550|XP_001358622.2|DPSE
OG0001440	LOC119070767|XP_037031143.1|BCOP	LOC6901561|XP_002134235.3|DPSE
OG0001442	LOC119085588|XP_037051900.1|BCOP	LOC117184543|XP_033238623.1|DPSE, LOC4816112|XP_001355784.2|DPSE
OG0001443	LOC119068350|XP_037027809.1|BCOP	LOC4800405|XP_001357688.2|DPSE
OG0001444	LOC119074569|XP_037036689.1|BCOP, LOC119082837|XP_037048387.1|BCOP	LOC4800958|XP_001358140.3|DPSE
OG0001445	LOC119066291|XP_037024561.1|BCOP	LOC26532481|XP_015039566.1|DPSE, LOC6897777|XP_003736809.3|DPSE
OG0001446	LOC119067925|XP_037027128.1|BCOP, LOC119066853|XP_037025416.1|BCOP, LOC119067923|XP_037027122.1|BCOP	LOC6896960|XP_033232426.1|DPSE
OG0001447	LOC119067041|XP_037025676.1|BCOP	LOC4802832|XP_015038128.2|DPSE
OG0001448	LOC119084574|XP_037050524.1|BCOP, LOC119068674|XP_037028251.1|BCOP	LOC4800396|XP_001357681.2|DPSE
OG0001449	LOC119067787|XP_037026829.1|BCOP	LOC6898959|XP_002138919.1|DPSE
OG0001450	LOC119068156|XP_037027525.1|BCOP	LOC6903339|XP_033235136.1|DPSE
OG0001451	LOC119083373|XP_037048982.1|BCOP, LOC119083330|XP_037048911.1|BCOP	LOC4803471|XP_033234372.1|DPSE
OG0001452	LOC119084935|XP_037050969.1|BCOP	LOC4804251|XP_015039767.2|DPSE
OG0001453	LOC119080452|XP_037044714.1|BCOP, LOC119080451|XP_037044711.1|BCOP	LOC4813723|XP_001353213.1|DPSE
OG0001454	LOC119068491|XP_037027998.1|BCOP, LOC119069190|XP_037029031.1|BCOP	LOC4802098|XP_033232956.1|DPSE
OG0001455	LOC119077311|XP_037040372.1|BCOP	LOC4812289|XP_015043887.2|DPSE
OG0001456	LOC119083642|XP_037049278.1|BCOP	LOC6898426|XP_033235039.1|DPSE
OG0001457	LOC119081950|XP_037047134.1|BCOP, LOC119072427|XP_037033540.1|BCOP	LOC6898347|XP_002138400.2|DPSE
OG0001458	LOC119079434|XP_037043242.1|BCOP	LOC4803884|XP_015039408.1|DPSE
OG0001459	LOC119081762|XP_037046850.1|BCOP	LOC6900728|XP_033239166.1|DPSE
OG0001460	LOC119079206|XP_037042887.1|BCOP, LOC119079363|XP_037043106.1|BCOP, LOC119079207|XP_037042889.1|BCOP	LOC4804906|XP_001361391.4|DPSE
OG0001461	LOC119084438|XP_037050343.1|BCOP, LOC119085389|XP_037051678.1|BCOP	LOC4815237|XP_001355217.2|DPSE, LOC6900775|XP_002135134.2|DPSE
OG0001462	LOC119080004|XP_037044071.1|BCOP	LOC4813013|XP_001353471.1|DPSE
OG0001463	LOC119081083|XP_037045720.1|BCOP, LOC119082702|XP_037048175.1|BCOP, LOC119074416|XP_037036440.1|BCOP	LOC4802674|XP_033240706.1|DPSE
OG0001464	LOC119073222|XP_037034428.1|BCOP, LOC119085508|XP_037051817.1|BCOP, LOC119085075|XP_037051210.1|BCOP, LOC119085507|XP_037051816.1|BCOP, LOC119085501|XP_037051812.1|BCOP, LOC119082133|XP_037047406.1|BCOP, LOC119085074|XP_037051207.1|BCOP, LOC119073018|XP_037034235.1|BCOP	LOC4815559|XP_001355245.2|DPSE
OG0001465	LOC119081152|XP_037045800.1|BCOP	LOC4805316|XP_001361736.1|DPSE
OG0001466	LOC119079375|XP_037043143.1|BCOP, LOC119079376|XP_037043148.1|BCOP	LOC4816529|XP_001355889.3|DPSE, LOC6902457|XP_002133002.2|DPSE
OG0001467	LOC119085874|XP_037052278.1|BCOP	LOC4817029|XP_001356804.1|DPSE
OG0001468	LOC119080863|XP_037045335.1|BCOP	LOC6900906|XP_015042501.1|DPSE
OG0001469	LOC119081330|XP_037046012.1|BCOP	LOC4805343|XP_001361758.3|DPSE
OG0001470	LOC119074223|XP_037036130.1|BCOP, LOC119074224|XP_037036133.1|BCOP, LOC119074272|XP_037036189.1|BCOP	LOC4813699|XP_001353535.1|DPSE
OG0001471	LOC119075238|XP_037037529.1|BCOP	LOC6900617|XP_033237620.1|DPSE
OG0001472	LOC119073631|XP_037035117.1|BCOP	LOC6900268|XP_002135596.2|DPSE, LOC4812557|XP_001352596.1|DPSE
OG0001473	LOC119068774|XP_037028428.1|BCOP	LOC4802762|XP_033241710.1|DPSE
OG0001474	LOC119083216|XP_037048778.1|BCOP	LOC4815065|XP_001355098.3|DPSE, LOC6898022|XP_002138111.1|DPSE
OG0001475	LOC119085938|XP_037052386.1|BCOP	LOC4804087|XP_001360705.3|DPSE, LOC117183749|XP_033234654.1|DPSE
OG0001476	LOC119073252|XP_037034502.1|BCOP	LOC4811726|XP_033234912.1|DPSE
OG0001477	LOC119080073|XP_037044187.1|BCOP	LOC4800999|XP_001358174.1|DPSE
OG0001478	LOC119084634|XP_037050598.1|BCOP, LOC119066327|XP_037024619.1|BCOP	LOC4817152|XP_015035818.2|DPSE
OG0001479	LOC119081696|XP_037046691.1|BCOP	LOC6901137|XP_002134613.1|DPSE
OG0001480	LOC119079619|XP_037043510.1|BCOP	LOC26532259|XP_033239493.1|DPSE, LOC4816871|XP_001356440.2|DPSE
OG0001481	LOC119085854|XP_037052259.1|BCOP	LOC4816575|XP_033235399.1|DPSE
OG0001482	LOC119078892|XP_037042517.1|BCOP	LOC4803816|XP_001360473.2|DPSE
OG0001483	LOC119069194|XP_037029036.1|BCOP	LOC6902747|XP_002133261.3|DPSE
OG0001485	LOC119066875|XP_037025444.1|BCOP	LOC4812899|XP_001353479.2|DPSE
OG0001486	LOC119075372|XP_037037693.1|BCOP	LOC4816791|XP_001356878.2|DPSE
OG0001487	LOC119071292|XP_037032057.1|BCOP	LOC117184005|XP_033235746.1|DPSE, LOC26533936|XP_033235734.1|DPSE
OG0001488	LOC119080267|XP_037044416.1|BCOP, LOC119080265|XP_037044409.1|BCOP	LOC4803343|XP_001360123.1|DPSE
OG0001489	LOC119082548|XP_037047954.1|BCOP	LOC6902623|XP_033236795.1|DPSE
OG0001490	LOC119082084|XP_037047339.1|BCOP	LOC4816681|XP_001356160.2|DPSE
OG0001491	LOC119078712|XP_037042279.1|BCOP	LOC4816854|XP_001356623.1|DPSE
OG0001493	LOC119075234|XP_037037521.1|BCOP	LOC6897402|XP_002137554.1|DPSE, LOC6902134|XP_033239566.1|DPSE
OG0001494	LOC119077643|XP_037040759.1|BCOP	LOC4815259|XP_001355149.2|DPSE
OG0001495	LOC119074897|XP_037037139.1|BCOP	LOC26532043|XP_015039832.2|DPSE, LOC6900450|XP_002134843.2|DPSE
OG0001496	LOC119074211|XP_037036147.1|BCOP	LOC6900610|XP_033240045.1|DPSE, LOC4814682|XP_001354531.1|DPSE
OG0001497	LOC119078593|XP_037042074.1|BCOP, LOC119081292|XP_037045948.1|BCOP, LOC119072594|XP_037033744.1|BCOP	LOC4804501|XP_001361056.2|DPSE
OG0001498	LOC119074573|XP_037036695.1|BCOP	LOC6897855|XP_003736867.2|DPSE
OG0001500	LOC119068893|XP_037028658.1|BCOP	LOC6899126|XP_033233194.1|DPSE, LOC6899125|XP_015040870.2|DPSE, LOC4805743|XP_001362090.1|DPSE
OG0001501	LOC119080610|XP_037044907.1|BCOP	LOC4802582|XP_001359476.3|DPSE
OG0001502	LOC119079851|XP_037043814.1|BCOP	LOC4804017|XP_001360647.2|DPSE
OG0001503	LOC119083702|XP_037049389.1|BCOP, LOC119077333|XP_037040410.1|BCOP	LOC4803495|XP_033233832.1|DPSE
OG0001504	LOC119072387|XP_037033490.1|BCOP	LOC6901832|XP_033237623.1|DPSE
OG0001506	LOC119079020|XP_037042692.1|BCOP	LOC4803384|XP_001357539.2|DPSE
OG0001507	LOC119071742|XP_037032669.1|BCOP	LOC6898842|XP_015040510.2|DPSE
OG0001508	LOC119080040|XP_037044136.1|BCOP, LOC119066573|XP_037025018.1|BCOP	LOC4804500|XP_001361055.2|DPSE
OG0001509	LOC119083247|XP_037048804.1|BCOP	LOC4803692|XP_015039277.2|DPSE
OG0001510	LOC119081977|XP_037047185.1|BCOP, LOC119072757|XP_037033941.1|BCOP	LOC4818051|XP_001357203.1|DPSE
OG0001511	LOC119066136|XP_037024322.1|BCOP	LOC4804620|XP_001361153.5|DPSE
OG0001512	LOC119071191|XP_037031860.1|BCOP, LOC119077034|XP_037040054.1|BCOP, LOC119071183|XP_037031848.1|BCOP, LOC119071407|XP_037032181.1|BCOP, LOC119071406|XP_037032179.1|BCOP, LOC119071408|XP_037032182.1|BCOP, LOC119071188|XP_037031857.1|BCOP	LOC4813908|XP_001353240.2|DPSE
OG0001513	LOC119071130|XP_037031699.1|BCOP	LOC4813557|XP_033237473.1|DPSE
OG0001515	LOC119076873|XP_037039777.1|BCOP	LOC6901149|XP_002134625.1|DPSE, LOC6897372|XP_002137525.3|DPSE
OG0001517	LOC119085002|XP_037051073.1|BCOP	LOC4800665|XP_001357897.3|DPSE
OG0001518	LOC119067207|XP_037025945.1|BCOP	LOC4815243|XP_001355130.4|DPSE
OG0001534	LOC119069790|XP_037029827.1|BCOP	LOC6902031|XP_033237898.1|DPSE
OG0001535	LOC119081291|XP_037045952.1|BCOP	LOC4814357|XP_001354423.1|DPSE
OG0001536	LOC119083641|XP_037049277.1|BCOP	LOC4814601|XP_001354832.2|DPSE
OG0001537	LOC119070285|XP_037030449.1|BCOP, LOC119070287|XP_037030450.1|BCOP	LOC6902813|XP_015035819.2|DPSE, LOC4817068|XP_001356428.1|DPSE
OG0001538	LOC119084761|XP_037050722.1|BCOP	LOC6902153|XP_015041209.2|DPSE
OG0001539	LOC119080435|XP_037044693.1|BCOP	LOC4803955|XP_001360593.2|DPSE
OG0001540	LOC119077061|XP_037040084.1|BCOP	LOC6899940|XP_002135308.2|DPSE, LOC26532228|XP_015037482.2|DPSE, LOC4816801|XP_001356412.3|DPSE
OG0001541	LOC119067503|XP_037026408.1|BCOP, LOC119074747|XP_037036905.1|BCOP	LOC4812581|XP_001352392.3|DPSE
OG0001542	LOC119083755|XP_037049434.1|BCOP	LOC4802105|XP_002137604.3|DPSE
OG0001543	LOC119067212|XP_037025951.1|BCOP	LOC4814491|XP_001354698.2|DPSE
OG0001544	LOC119068022|XP_037027277.1|BCOP	LOC6901826|XP_015042172.2|DPSE
OG0001545	LOC119071911|XP_037032925.1|BCOP, LOC119067565|XP_037026541.1|BCOP	LOC6901886|XP_033237687.1|DPSE
OG0001546	LOC119084624|XP_037050587.1|BCOP, LOC119069480|XP_037029442.1|BCOP, LOC119071884|XP_037032878.1|BCOP	LOC4815501|XP_033237685.1|DPSE
OG0001547	LOC119083969|XP_037049669.1|BCOP	LOC6901306|XP_033240413.1|DPSE
OG0001548	LOC119067604|XP_037026594.1|BCOP	LOC6902854|XP_002132590.1|DPSE, LOC4814556|XP_015041555.1|DPSE
OG0001549	LOC119078658|XP_037042167.1|BCOP	LOC6902880|XP_015035927.2|DPSE
OG0001550	LOC119067024|XP_037025651.1|BCOP	LOC6897009|XP_002137194.3|DPSE
OG0001551	LOC119068659|XP_037028230.1|BCOP	LOC4800916|XP_015038617.2|DPSE
OG0001552	LOC119069945|XP_037030067.1|BCOP	LOC4800355|XP_001357559.1|DPSE
OG0001553	LOC119068481|XP_037027987.1|BCOP, LOC119077795|XP_037041001.1|BCOP	LOC4814982|XP_033239500.1|DPSE
OG0001554	LOC119068534|XP_037028040.1|BCOP	LOC4801012|XP_015038636.2|DPSE
OG0001556	LOC119069503|XP_037029472.1|BCOP	LOC4804780|XP_001361289.1|DPSE
OG0001557	LOC119077131|XP_037040206.1|BCOP	LOC4815477|XP_015041023.2|DPSE
OG0001558	LOC119085650|XP_037051990.1|BCOP	LOC26532991|XP_015044202.2|DPSE, LOC4811768|XP_033238062.1|DPSE
OG0001559	LOC119069552|XP_037029526.1|BCOP, LOC119067227|XP_037025974.1|BCOP	LOC4801718|XP_001358763.3|DPSE
OG0001560	LOC119070423|XP_037030655.1|BCOP	LOC4802017|XP_033235903.1|DPSE
OG0001561	LOC119078770|XP_037042373.1|BCOP	LOC4801206|XP_015037090.2|DPSE
OG0001562	LOC119073818|XP_037035490.1|BCOP	LOC4816177|XP_001355789.3|DPSE
OG0001563	LOC119067500|XP_037026402.1|BCOP	LOC6899766|XP_033241743.1|DPSE
OG0001564	LOC119067239|XP_037025996.1|BCOP	LOC4800966|XP_033241641.1|DPSE
OG0001565	LOC119067360|XP_037026166.1|BCOP	LOC4801588|XP_001358657.4|DPSE
OG0001566	LOC119067590|XP_037026583.1|BCOP	LOC6901752|XP_002134421.1|DPSE, LOC6897361|XP_002137514.1|DPSE
OG0001567	LOC119085861|XP_037052270.1|BCOP	LOC4805109|XP_001361567.2|DPSE
OG0001568	LOC119069780|XP_037029810.1|BCOP	LOC4801949|XP_033232924.1|DPSE
OG0001570	LOC119070649|XP_037030978.1|BCOP, LOC119070659|XP_037030988.1|BCOP, LOC119067461|XP_037026342.1|BCOP	LOC4801271|XP_001358391.3|DPSE
OG0001571	LOC119066962|XP_037025589.1|BCOP	LOC4817717|XP_033236567.1|DPSE
OG0001572	LOC119073400|XP_037034725.1|BCOP	LOC4814552|XP_001355107.2|DPSE
OG0001573	LOC119082450|XP_037047868.1|BCOP, LOC119083348|XP_037048936.1|BCOP	LOC6900063|XP_033238385.1|DPSE
OG0001574	LOC119071041|XP_037031536.1|BCOP, LOC119073628|XP_037035113.1|BCOP	LOC4815338|XP_001354779.2|DPSE
OG0001575	LOC119070120|XP_037030329.1|BCOP, LOC119071146|XP_037031769.1|BCOP	LOC4801789|XP_003736600.3|DPSE
OG0001576	LOC119082146|XP_037047441.1|BCOP, LOC119084794|XP_037050755.1|BCOP	LOC4803146|XP_001359936.1|DPSE
OG0001577	LOC119076585|XP_037039324.1|BCOP	LOC6896899|XP_002137086.2|DPSE, LOC4800243|XP_001357649.2|DPSE
OG0001578	LOC119066452|XP_037024848.1|BCOP, LOC119085051|XP_037051162.1|BCOP, LOC119085839|XP_037052237.1|BCOP, LOC119082619|XP_037048073.1|BCOP	LOC4804822|XP_001361324.3|DPSE
OG0001579	LOC119083540|XP_037049158.1|BCOP	LOC6900668|XP_002135034.2|DPSE, LOC4814919|XP_001354901.1|DPSE, LOC117184821|XP_033239668.1|DPSE
OG0001580	LOC119080394|XP_037044608.1|BCOP	LOC6898870|XP_015040556.2|DPSE
OG0001581	LOC119081125|XP_037045764.1|BCOP	LOC6902224|XP_002133752.3|DPSE
OG0001582	LOC119073350|XP_037034640.1|BCOP	LOC4805467|XP_015040672.2|DPSE
OG0001584	LOC119074639|XP_037036814.1|BCOP, LOC119067311|XP_037026114.1|BCOP	LOC4812842|XP_001353670.2|DPSE, LOC6900614|XP_002134987.2|DPSE
OG0001585	LOC119067960|XP_037027182.1|BCOP	LOC4814489|XP_015042053.2|DPSE
OG0001586	LOC119081213|XP_037045828.1|BCOP	LOC4813835|XP_001353232.1|DPSE
OG0001587	LOC119071784|XP_037032739.1|BCOP	LOC4803330|XP_033234042.1|DPSE
OG0001588	LOC119073902|XP_037035686.1|BCOP	LOC4804136|XP_001360742.2|DPSE
OG0001589	LOC119072887|XP_037034105.1|BCOP	LOC26534361|XP_015044423.1|DPSE
OG0001590	LOC119071876|XP_037032846.1|BCOP	LOC4803659|XP_015039247.2|DPSE
OG0001591	LOC119082064|XP_037047296.1|BCOP	LOC6896766|XP_033238911.1|DPSE
OG0001592	LOC119066743|XP_037025260.1|BCOP	LOC6902896|XP_033235150.1|DPSE
OG0001593	LOC119066748|XP_037025272.1|BCOP, LOC119066741|XP_037025258.1|BCOP	LOC6902890|XP_033235165.1|DPSE, LOC6902891|XP_033235164.1|DPSE
OG0001595	LOC119073618|XP_037035090.1|BCOP	LOC6898282|XP_002138347.1|DPSE
OG0001596	LOC119074048|XP_037035889.1|BCOP, LOC119082323|XP_037047717.1|BCOP, LOC119078412|XP_037041808.1|BCOP, LOC119077099|XP_037040151.1|BCOP	LOC4817909|XP_001357300.2|DPSE
OG0001597	LOC119081933|XP_037047081.1|BCOP	LOC6902755|XP_002133267.1|DPSE
OG0001598	LOC119081944|XP_037047103.1|BCOP	LOC4816591|XP_001356203.3|DPSE
OG0001599	LOC119077001|XP_037040003.1|BCOP	LOC4817934|XP_001357413.1|DPSE
OG0001601	LOC119078696|XP_037042253.1|BCOP	LOC4818056|XP_001357183.1|DPSE
OG0001602	LOC119085260|XP_037051503.1|BCOP	LOC117183169|XP_015035309.2|DPSE, LOC6903365|XP_002132247.3|DPSE, LOC26533099|XP_015035306.2|DPSE
OG0001603	LOC119072752|XP_037033933.1|BCOP, LOC119072750|XP_037033931.1|BCOP	LOC4816809|XP_001356375.3|DPSE
OG0001604	LOC119084493|XP_037050394.1|BCOP	LOC4815759|XP_001355602.1|DPSE
OG0001605	LOC119073863|XP_037035623.1|BCOP	LOC4803367|XP_001360102.3|DPSE
OG0001606	LOC119071515|XP_037032285.1|BCOP	LOC26532275|XP_015044307.1|DPSE
OG0001607	LOC119081917|XP_037047049.1|BCOP	LOC4817218|XP_001356543.2|DPSE
OG0001608	LOC119069430|XP_037029382.1|BCOP, LOC119070907|XP_037031331.1|BCOP	LOC4816487|XP_033236946.1|DPSE
OG0001609	LOC119080234|XP_037044376.1|BCOP	LOC15382876|XP_004444300.2|DPSE
OG0001610	LOC119085960|XP_037052411.1|BCOP	LOC6901050|XP_002134529.2|DPSE, LOC4816378|XP_001356110.3|DPSE
OG0001611	LOC119078606|XP_037042095.1|BCOP	LOC4817290|XP_001356855.1|DPSE
OG0001612	LOC119068420|XP_037027884.1|BCOP, LOC119085336|XP_037051614.1|BCOP	LOC4817050|XP_001356605.1|DPSE
OG0001613	LOC119078421|XP_037041823.1|BCOP	LOC4817772|XP_001357164.1|DPSE, LOC6903479|XP_002132358.2|DPSE
OG0001614	LOC119084837|XP_037050828.1|BCOP	LOC6898643|XP_033234007.1|DPSE
OG0001615	LOC119082410|XP_037047838.1|BCOP	LOC6903360|XP_002132241.3|DPSE
OG0001616	LOC119075332|XP_037037655.1|BCOP	LOC4817709|XP_001357088.1|DPSE
OG0001617	LOC119071474|XP_037032218.1|BCOP	LOC4816182|XP_001355750.3|DPSE
OG0001618	LOC119078628|XP_037042122.1|BCOP	LOC117184253|XP_033236851.1|DPSE
OG0001619	LOC119071103|XP_037031640.1|BCOP	LOC4816262|XP_033237036.1|DPSE
OG0001620	LOC119085342|XP_037051620.1|BCOP	LOC4803394|XP_001357529.1|DPSE
