Orthogroup	BCOP.longest_only	DSUB.longest_only
OG0001990	LOC119066370|XP_037024689.1|BCOP	LOC117902304|XP_034669477.1|DSUB
OG0001991	LOC119076320|XP_037038884.1|BCOP	LOC117901751|XP_034668528.1|DSUB
OG0001992	LOC119075686|XP_037038099.1|BCOP	LOC117900288|XP_034666491.1|DSUB
OG0001993	LOC119071486|XP_037032232.1|BCOP	LOC117899982|XP_034666038.1|DSUB
OG0001994	LOC119076301|XP_037038860.1|BCOP, LOC119076299|XP_037038858.1|BCOP, LOC119066634|XP_037025093.1|BCOP, LOC119066632|XP_037025090.1|BCOP	LOC117899659|XP_034665733.1|DSUB
OG0001995	LOC119085141|XP_037051313.1|BCOP	LOC117900760|XP_034667133.1|DSUB
OG0001996	LOC119076361|XP_037038960.1|BCOP	LOC117902249|XP_034669394.1|DSUB
OG0001997	LOC119073369|XP_037034684.1|BCOP	LOC117891440|XP_034652807.1|DSUB
OG0001998	LOC119073380|XP_037034699.1|BCOP	LOC117891438|XP_034652803.1|DSUB
OG0001999	LOC119083775|XP_037049456.1|BCOP	LOC117890291|XP_034650947.1|DSUB
OG0002000	LOC119066480|XP_037024884.1|BCOP, LOC119085551|XP_037051865.1|BCOP, LOC119076607|XP_037039358.1|BCOP, LOC119084359|XP_037050201.1|BCOP, LOC119068360|XP_037027824.1|BCOP	LOC117900356|XP_034666595.1|DSUB
OG0002001	LOC119085307|XP_037051552.1|BCOP	LOC117900167|XP_034666300.1|DSUB
OG0002002	LOC119081466|XP_037046350.1|BCOP	LOC117897968|XP_034662970.1|DSUB
OG0002003	LOC119076345|XP_037038935.1|BCOP	LOC117902123|XP_034669138.1|DSUB
OG0002004	LOC119082567|XP_037047988.1|BCOP	LOC117901464|XP_034668117.1|DSUB
OG0002005	LOC119066968|XP_037025594.1|BCOP	LOC117902822|XP_034670340.1|DSUB
OG0002006	LOC119069445|XP_037029394.1|BCOP, LOC119076358|XP_037038950.1|BCOP, LOC119069460|XP_037029406.1|BCOP	LOC117902704|XP_034670142.1|DSUB
OG0002007	LOC119075381|XP_037037717.1|BCOP, LOC119085517|XP_037051827.1|BCOP, LOC119085233|XP_037051442.1|BCOP	LOC117902344|XP_034669535.1|DSUB
OG0002008	LOC119067811|XP_037026857.1|BCOP, LOC119085004|XP_037051078.1|BCOP	LOC117902972|XP_034670521.1|DSUB
OG0002009	LOC119076740|XP_037039568.1|BCOP	LOC117890742|XP_034651687.1|DSUB
OG0002010	LOC119072338|XP_037033424.1|BCOP	LOC117902121|XP_034669136.1|DSUB
OG0002011	LOC119076348|XP_037038940.1|BCOP	LOC117902616|XP_034670018.1|DSUB
OG0002012	LOC119081891|XP_037047014.1|BCOP, LOC119076292|XP_037038850.1|BCOP	LOC117901946|XP_034668809.1|DSUB
OG0002013	LOC119072256|XP_037033334.1|BCOP	LOC117901606|XP_034668313.1|DSUB
OG0002014	LOC119068127|XP_037027481.1|BCOP	LOC117891658|XP_034653104.1|DSUB
OG0002015	LOC119077146|XP_037040226.1|BCOP	LOC117902551|XP_034669880.1|DSUB
OG0002016	LOC119081426|XP_037046240.1|BCOP	LOC117892019|XP_034653803.1|DSUB
OG0002017	LOC119085893|XP_037052325.1|BCOP, LOC119078115|XP_037041463.1|BCOP	LOC117901516|XP_034668179.1|DSUB
OG0002018	LOC119075634|XP_037038010.1|BCOP	LOC117899980|XP_034666036.1|DSUB
OG0002019	LOC119079090|XP_037042801.1|BCOP	LOC117900905|XP_034667356.1|DSUB
OG0002020	LOC119085889|XP_037052320.1|BCOP	LOC117902663|XP_034670083.1|DSUB
OG0002021	LOC119074077|XP_037035919.1|BCOP, LOC119074075|XP_037035913.1|BCOP, LOC119074074|XP_037035912.1|BCOP	LOC117892168|XP_034654126.1|DSUB
OG0002022	LOC119070933|XP_037031376.1|BCOP	LOC117900084|XP_034666180.1|DSUB
OG0002023	LOC119082763|XP_037048245.1|BCOP, LOC119070653|XP_037030979.1|BCOP	LOC117896942|XP_034661377.1|DSUB
OG0002024	LOC119066321|XP_037024605.1|BCOP	LOC117901112|XP_034667636.1|DSUB
OG0002025	LOC119085816|XP_037052200.1|BCOP	LOC117900975|XP_034667452.1|DSUB
OG0002026	LOC119070840|XP_037031248.1|BCOP	LOC117893776|XP_034656406.1|DSUB
OG0002027	LOC119082838|XP_037048389.1|BCOP	LOC117891803|XP_034653369.1|DSUB
OG0002028	LOC119082846|XP_037048407.1|BCOP	LOC117889888|XP_034650288.1|DSUB
OG0002029	LOC119067718|XP_037026730.1|BCOP, LOC119077752|XP_037040959.1|BCOP, LOC119073642|XP_037035134.1|BCOP	LOC117895020|XP_034658279.1|DSUB
OG0002030	LOC119073674|XP_037035175.1|BCOP, LOC119084288|XP_037050109.1|BCOP	LOC117892212|XP_034654203.1|DSUB
OG0002031	LOC119066123|XP_037024303.1|BCOP	LOC117891148|XP_034652291.1|DSUB
OG0002032	LOC119081115|XP_037045753.1|BCOP, LOC119074600|XP_037036746.1|BCOP	LOC117898836|XP_034664401.1|DSUB
OG0002033	LOC119076024|XP_037038523.1|BCOP, LOC119071625|XP_037032474.1|BCOP, LOC119076028|XP_037038541.1|BCOP, LOC119076027|XP_037038540.1|BCOP	LOC117891884|XP_034653576.1|DSUB
OG0002034	LOC119074965|XP_037037248.1|BCOP	LOC117890122|XP_034650695.1|DSUB
OG0002035	LOC119076751|XP_037039593.1|BCOP	LOC117897094|XP_034661629.1|DSUB
OG0002036	LOC119076673|XP_037039463.1|BCOP	LOC117899019|XP_034664669.1|DSUB
OG0002037	LOC119074391|XP_037036405.1|BCOP	LOC117895048|XP_034658317.1|DSUB
OG0002038	LOC119082225|XP_037047573.1|BCOP	LOC117896740|XP_034661096.1|DSUB
OG0002039	LOC119069135|XP_037028936.1|BCOP	LOC117896931|XP_034661362.1|DSUB
OG0002040	LOC119076843|XP_037039742.1|BCOP	LOC117896068|XP_034659981.1|DSUB
OG0002041	LOC119071703|XP_037032588.1|BCOP	LOC117890015|XP_034650507.1|DSUB
OG0002042	LOC119071706|XP_037032598.1|BCOP	LOC117898900|XP_034664473.1|DSUB
OG0002043	LOC119084128|XP_037049872.1|BCOP, LOC119073545|XP_037034992.1|BCOP	LOC117897483|XP_034662237.1|DSUB
OG0002044	LOC119074435|XP_037036458.1|BCOP	LOC117898252|XP_034663390.1|DSUB
OG0002045	LOC119076462|XP_037039124.1|BCOP	LOC117898809|XP_034664352.1|DSUB
OG0002046	LOC119074348|XP_037036338.1|BCOP	LOC117899562|XP_034665591.1|DSUB
OG0002047	LOC119084246|XP_037050039.1|BCOP	LOC117903560|XP_034671653.1|DSUB
OG0002048	LOC119076119|XP_037038682.1|BCOP	LOC117899099|XP_034664771.1|DSUB
OG0002049	LOC119066552|XP_037024990.1|BCOP	LOC117899418|XP_034665299.1|DSUB
OG0002050	LOC119074831|XP_037037016.1|BCOP	LOC117896076|XP_034659997.1|DSUB
OG0002051	LOC119074387|XP_037036401.1|BCOP	LOC117890000|XP_034650478.1|DSUB, LOC117889999|XP_034650477.1|DSUB
OG0002053	LOC119067125|XP_037025799.1|BCOP	LOC117899489|XP_034665428.1|DSUB
OG0002054	LOC119076474|XP_037039146.1|BCOP	LOC117898538|XP_034663903.1|DSUB
OG0002055	LOC119078030|XP_037041338.1|BCOP	LOC117899269|XP_034665058.1|DSUB
OG0002056	LOC119072096|XP_037033145.1|BCOP	LOC117894445|XP_034657421.1|DSUB
OG0002057	LOC119083151|XP_037048692.1|BCOP	LOC117902326|XP_034669507.1|DSUB
OG0002058	LOC119083154|XP_037048696.1|BCOP	LOC117895112|XP_034658409.1|DSUB
OG0002059	LOC119071955|XP_037032980.1|BCOP	LOC117899236|XP_034665001.1|DSUB
OG0002060	LOC119072723|XP_037033893.1|BCOP	LOC117891905|XP_034653619.1|DSUB
OG0002061	LOC119075375|XP_037037700.1|BCOP	LOC117892160|XP_034654115.1|DSUB
OG0002062	LOC119076630|XP_037039430.1|BCOP, LOC119078348|XP_037041745.1|BCOP	LOC117898414|XP_034663716.1|DSUB
OG0002063	LOC119074412|XP_037036437.1|BCOP	LOC117903406|XP_034671295.1|DSUB
OG0002064	LOC119084475|XP_037050355.1|BCOP	LOC117891619|XP_034653086.1|DSUB
OG0002065	LOC119084520|XP_037050428.1|BCOP, LOC119083954|XP_037049658.1|BCOP, LOC119083333|XP_037048917.1|BCOP, LOC119083956|XP_037049659.1|BCOP	LOC117893068|XP_034655369.1|DSUB
OG0002066	LOC119074548|XP_037036613.1|BCOP	LOC117898239|XP_034663367.1|DSUB
OG0002067	LOC119074674|XP_037036852.1|BCOP	LOC117889889|XP_034650291.1|DSUB
OG0002068	LOC119074954|XP_037037238.1|BCOP	LOC117890591|XP_034651419.1|DSUB
OG0002069	LOC119074755|XP_037036916.1|BCOP	LOC117900828|XP_034667227.1|DSUB
OG0002070	LOC119068727|XP_037028316.1|BCOP	LOC117899782|XP_034665946.1|DSUB
OG0002071	LOC119071555|XP_037032373.1|BCOP	LOC117896277|XP_034660371.1|DSUB
OG0002072	LOC119080154|XP_037044269.1|BCOP	LOC117891709|XP_034653194.1|DSUB
OG0002073	LOC119078320|XP_037041719.1|BCOP	LOC117893204|XP_034655610.1|DSUB
OG0002074	LOC119074748|XP_037036906.1|BCOP	LOC117891502|XP_034652883.1|DSUB
OG0002075	LOC119078225|XP_037041580.1|BCOP	LOC117901480|XP_034668140.1|DSUB
OG0002076	LOC119070671|XP_037030998.1|BCOP	LOC117891292|XP_034652576.1|DSUB
OG0002077	LOC119072345|XP_037033428.1|BCOP	LOC117892907|XP_034655107.1|DSUB
OG0002078	LOC119070722|XP_037031070.1|BCOP	LOC117891508|XP_034652893.1|DSUB
OG0002079	LOC119071814|XP_037032777.1|BCOP	LOC117894775|XP_034657892.1|DSUB
OG0002080	LOC119070971|XP_037031441.1|BCOP	LOC117890199|XP_034650797.1|DSUB
OG0002081	LOC119079101|XP_037042814.1|BCOP	LOC117889736|XP_034650051.1|DSUB
OG0002082	LOC119076952|XP_037039900.1|BCOP	LOC117892102|XP_034653992.1|DSUB
OG0002083	LOC119075772|XP_037038214.1|BCOP, LOC119075781|XP_037038236.1|BCOP	LOC117890108|XP_034650669.1|DSUB
OG0002084	LOC119071316|XP_037032094.1|BCOP	LOC117892095|XP_034653982.1|DSUB
OG0002085	LOC119082803|XP_037048343.1|BCOP	LOC117889876|XP_034650275.1|DSUB
OG0002086	LOC119071097|XP_037031637.1|BCOP	LOC117892099|XP_034653987.1|DSUB
OG0002087	LOC119066517|XP_037024925.1|BCOP	LOC117894398|XP_034657295.1|DSUB
OG0002088	LOC119071860|XP_037032817.1|BCOP	LOC117895201|XP_034658572.1|DSUB
OG0002089	LOC119071904|XP_037032912.1|BCOP	LOC117890845|XP_034651820.1|DSUB
OG0002090	LOC119066947|XP_037025561.1|BCOP	LOC117893368|XP_034655852.1|DSUB
OG0002091	LOC119074240|XP_037036157.1|BCOP	LOC117890105|XP_034650662.1|DSUB
OG0002092	LOC119072408|XP_037033520.1|BCOP, LOC119069249|XP_037029196.1|BCOP, LOC119071245|XP_037031977.1|BCOP	LOC117893223|XP_034655649.1|DSUB
OG0002093	LOC119066901|XP_037025485.1|BCOP	LOC117891986|XP_034653754.1|DSUB
OG0002094	LOC119083173|XP_037048728.1|BCOP	LOC117892625|XP_034654868.1|DSUB
OG0002095	LOC119074654|XP_037036828.1|BCOP	LOC117898528|XP_034663892.1|DSUB
OG0002096	LOC119071682|XP_037032558.1|BCOP	LOC117891048|XP_034652109.1|DSUB
OG0002097	LOC119072630|XP_037033769.1|BCOP	LOC117891379|XP_034652706.1|DSUB
OG0002099	LOC119078295|XP_037041685.1|BCOP, LOC119078343|XP_037041741.1|BCOP	LOC117897119|XP_034661663.1|DSUB
OG0002100	LOC119071084|XP_037031618.1|BCOP	LOC117895551|XP_034659145.1|DSUB
OG0002101	LOC119066386|XP_037024713.1|BCOP	LOC117892686|XP_034654981.1|DSUB
OG0002102	LOC119071138|XP_037031727.1|BCOP	LOC117892493|XP_034654650.1|DSUB, LOC117896110|XP_034660059.1|DSUB
OG0002103	LOC119085732|XP_037052097.1|BCOP	LOC117899203|XP_034664966.1|DSUB
OG0002105	LOC119069623|XP_037029617.1|BCOP, LOC119083924|XP_037049633.1|BCOP, LOC119082950|XP_037048494.1|BCOP, LOC119078121|XP_037041469.1|BCOP	LOC117902743|XP_034670217.1|DSUB
OG0002106	LOC119069921|XP_037030037.1|BCOP, LOC119066113|XP_037024289.1|BCOP, LOC119066695|XP_037025187.1|BCOP, LOC119084692|XP_037050667.1|BCOP, LOC119076372|XP_037038977.1|BCOP, LOC119071196|XP_037031877.1|BCOP	LOC117896995|XP_034661446.1|DSUB
OG0002107	LOC119077008|XP_037040013.1|BCOP	LOC117900363|XP_034666603.1|DSUB
OG0002117	LOC119079205|XP_037042886.1|BCOP, LOC119067803|XP_037026848.1|BCOP	LOC117903163|XP_034670898.1|DSUB
OG0002118	LOC119075266|XP_037037558.1|BCOP, LOC119069940|XP_037030060.1|BCOP	LOC117896930|XP_034661360.1|DSUB
OG0002119	LOC119070028|XP_037030208.1|BCOP	LOC117898437|XP_034663729.1|DSUB
OG0002120	LOC119085060|XP_037051186.1|BCOP	LOC117902913|XP_034670367.1|DSUB
OG0002121	LOC119073069|XP_037034268.1|BCOP, LOC119082165|XP_037047474.1|BCOP, LOC119083340|XP_037048932.1|BCOP	LOC117899072|XP_034664731.1|DSUB
OG0002122	LOC119066913|XP_037025511.1|BCOP	LOC117901724|XP_034668493.1|DSUB
OG0002123	LOC119083896|XP_037049601.1|BCOP	LOC117901593|XP_034668295.1|DSUB
OG0002124	LOC119069671|XP_037029684.1|BCOP	LOC117901561|XP_034668253.1|DSUB
OG0002125	LOC119079473|XP_037043301.1|BCOP	LOC117892365|XP_034654465.1|DSUB
OG0002126	LOC119073593|XP_037035062.1|BCOP	LOC117893450|XP_034655960.1|DSUB
OG0002127	LOC119085600|XP_037051916.1|BCOP	LOC117895686|XP_034659409.1|DSUB
OG0002128	LOC119070370|XP_037030566.1|BCOP, LOC119070369|XP_037030565.1|BCOP	LOC117899646|XP_034665717.1|DSUB
OG0002129	LOC119068015|XP_037027269.1|BCOP	LOC117899645|XP_034665712.1|DSUB
OG0002131	LOC119067244|XP_037026006.1|BCOP, LOC119069693|XP_037029717.1|BCOP	LOC117899284|XP_034665084.1|DSUB
OG0002132	LOC119076232|XP_037038785.1|BCOP	LOC117902283|XP_034669447.1|DSUB
OG0002133	LOC119068988|XP_037028755.1|BCOP	LOC117894226|XP_034657036.1|DSUB
OG0002134	LOC119084479|XP_037050362.1|BCOP	LOC117900524|XP_034666813.1|DSUB, LOC117903728|XP_034671971.1|DSUB
OG0002135	LOC119068606|XP_037028151.1|BCOP	LOC117903769|XP_034672073.1|DSUB
OG0002136	LOC119070453|XP_037030699.1|BCOP	LOC117897574|XP_034662417.1|DSUB
OG0002137	LOC119068487|XP_037027993.1|BCOP, LOC119068501|XP_037028006.1|BCOP, LOC119085510|XP_037051820.1|BCOP	LOC117898424|XP_034663703.1|DSUB
OG0002138	LOC119083180|XP_037048738.1|BCOP	LOC117892612|XP_034654857.1|DSUB
OG0002139	LOC119067435|XP_037026303.1|BCOP	LOC117892757|XP_034655076.1|DSUB
OG0002140	LOC119069470|XP_037029418.1|BCOP, LOC119069437|XP_037029390.1|BCOP, LOC119069436|XP_037029389.1|BCOP	LOC117890820|XP_034651786.1|DSUB
OG0002141	LOC119068176|XP_037027559.1|BCOP	LOC117897162|XP_034661724.1|DSUB
OG0002142	LOC119068290|XP_037027723.1|BCOP	LOC117897430|XP_034662159.1|DSUB
OG0002143	LOC119068125|XP_037027478.1|BCOP	LOC117901625|XP_034668345.1|DSUB
OG0002144	LOC119080273|XP_037044430.1|BCOP	LOC117902962|XP_034670501.1|DSUB
OG0002145	LOC119067269|XP_037026043.1|BCOP, LOC119083079|XP_037048597.1|BCOP	LOC117897926|XP_034662900.1|DSUB
OG0002146	LOC119069157|XP_037028956.1|BCOP	LOC117896134|XP_034660091.1|DSUB
OG0002147	LOC119068311|XP_037027749.1|BCOP	LOC117892351|XP_034654449.1|DSUB
OG0002148	LOC119068400|XP_037027855.1|BCOP	LOC117894910|XP_034658098.1|DSUB
OG0002149	LOC119075571|XP_037037936.1|BCOP	LOC117902973|XP_034670525.1|DSUB
OG0002150	LOC119085647|XP_037051979.1|BCOP	LOC117903596|XP_034671726.1|DSUB
OG0002151	LOC119074031|XP_037035868.1|BCOP, LOC119074101|XP_037035960.1|BCOP	LOC117902310|XP_034669483.1|DSUB
OG0002152	LOC119082372|XP_037047794.1|BCOP	LOC117897052|XP_034661535.1|DSUB
OG0002153	LOC119068706|XP_037028290.1|BCOP	LOC117897013|XP_034661476.1|DSUB
OG0002154	LOC119067768|XP_037026807.1|BCOP	LOC117889590|XP_034649891.1|DSUB
OG0002155	LOC119069323|XP_037029275.1|BCOP	LOC117897836|XP_034662791.1|DSUB
OG0002156	LOC119081040|XP_037045635.1|BCOP	LOC117894045|XP_034656787.1|DSUB
OG0002157	LOC119069857|XP_037029927.1|BCOP	LOC117896500|XP_034660738.1|DSUB
OG0002158	LOC119074956|XP_037037240.1|BCOP, LOC119068516|XP_037028020.1|BCOP	LOC117890592|XP_034651420.1|DSUB
OG0002159	LOC119068701|XP_037028287.1|BCOP	LOC117891626|XP_034653055.1|DSUB
OG0002160	LOC119068295|XP_037027729.1|BCOP	LOC117898072|XP_034663138.1|DSUB
OG0002161	LOC119085218|XP_037051427.1|BCOP	LOC117898446|XP_034663744.1|DSUB
OG0002162	LOC119067373|XP_037026189.1|BCOP	LOC117899425|XP_034665311.1|DSUB
OG0002163	LOC119067190|XP_037025916.1|BCOP	LOC117903556|XP_034671651.1|DSUB, LOC117900180|XP_034666317.1|DSUB
OG0002164	LOC119068336|XP_037027789.1|BCOP	LOC117897737|XP_034662664.1|DSUB
OG0002165	LOC119068466|XP_037027955.1|BCOP	LOC117898395|XP_034663644.1|DSUB
OG0002166	LOC119066227|XP_037024446.1|BCOP	LOC117899955|XP_034666000.1|DSUB
OG0002167	LOC119066372|XP_037024695.1|BCOP	LOC117891412|XP_034652750.1|DSUB
OG0002168	LOC119068986|XP_037028752.1|BCOP	LOC117890443|XP_034651165.1|DSUB
OG0002169	LOC119068737|XP_037028331.1|BCOP	LOC117893745|XP_034656370.1|DSUB
OG0002170	LOC119083567|XP_037049205.1|BCOP	LOC117902998|XP_034670612.1|DSUB
OG0002171	LOC119069264|XP_037029217.1|BCOP	LOC117898473|XP_034663795.1|DSUB
OG0002172	LOC119067940|XP_037027151.1|BCOP	LOC117897921|XP_034662896.1|DSUB
OG0002173	LOC119078710|XP_037042275.1|BCOP	LOC117899986|XP_034666046.1|DSUB
OG0002174	LOC119082710|XP_037048184.1|BCOP	LOC117897972|XP_034662974.1|DSUB
OG0002175	LOC119082813|XP_037048363.1|BCOP	LOC117897973|XP_034662975.1|DSUB
OG0002176	LOC119067918|XP_037027114.1|BCOP	LOC117897569|XP_034662403.1|DSUB
OG0002177	LOC119067430|XP_037026297.1|BCOP	LOC117898603|XP_034664043.1|DSUB
OG0002178	LOC119069100|XP_037028887.1|BCOP	LOC117896323|XP_034660445.1|DSUB
OG0002179	LOC119067624|XP_037026612.1|BCOP	LOC117897708|XP_034662621.1|DSUB
OG0002180	LOC119068090|XP_037027402.1|BCOP	LOC117897087|XP_034661616.1|DSUB
OG0002181	LOC119069061|XP_037028831.1|BCOP	LOC117903835|XP_034672178.1|DSUB
OG0002182	LOC119067226|XP_037025967.1|BCOP	LOC117897379|XP_034662072.1|DSUB
OG0002183	LOC119071530|XP_037032309.1|BCOP	LOC117892646|XP_034654892.1|DSUB
OG0002184	LOC119067354|XP_037026158.1|BCOP	LOC117896648|XP_034660986.1|DSUB
OG0002185	LOC119069969|XP_037030103.1|BCOP	LOC117898257|XP_034663403.1|DSUB
OG0002186	LOC119079315|XP_037043004.1|BCOP	LOC117901770|XP_034668558.1|DSUB
OG0002187	LOC119069210|XP_037029076.1|BCOP, LOC119070066|XP_037030256.1|BCOP	LOC117897931|XP_034662912.1|DSUB
OG0002188	LOC119080885|XP_037045359.1|BCOP	LOC117889846|XP_034650230.1|DSUB
OG0002189	LOC119069499|XP_037029465.1|BCOP	LOC117897881|XP_034662847.1|DSUB
OG0002190	LOC119084695|XP_037050671.1|BCOP	LOC117895963|XP_034659808.1|DSUB
OG0002191	LOC119067687|XP_037026702.1|BCOP	LOC117894650|XP_034657714.1|DSUB
OG0002192	LOC119078993|XP_037042652.1|BCOP	LOC117895883|XP_034659774.1|DSUB
OG0002193	LOC119085773|XP_037052160.1|BCOP	LOC117898322|XP_034663531.1|DSUB
OG0002194	LOC119070038|XP_037030217.1|BCOP	LOC117898552|XP_034663927.1|DSUB
OG0002195	LOC119067218|XP_037025959.1|BCOP	LOC117897024|XP_034661492.1|DSUB
OG0002196	LOC119078582|XP_037042054.1|BCOP	LOC117899593|XP_034665603.1|DSUB
OG0002197	LOC119069309|XP_037029255.1|BCOP	LOC117892912|XP_034655116.1|DSUB
OG0002198	LOC119068092|XP_037027404.1|BCOP	LOC117898952|XP_034664570.1|DSUB
OG0002199	LOC119074834|XP_037037026.1|BCOP	LOC117898940|XP_034664549.1|DSUB
OG0002200	LOC119070571|XP_037030872.1|BCOP	LOC117897155|XP_034661720.1|DSUB
OG0002202	LOC119068798|XP_037028455.1|BCOP	LOC117896781|XP_034661167.1|DSUB
OG0002203	LOC119069182|XP_037029011.1|BCOP	LOC117896925|XP_034661356.1|DSUB
OG0002204	LOC119069037|XP_037028801.1|BCOP	LOC117899444|XP_034665341.1|DSUB
OG0002205	LOC119070447|XP_037030693.1|BCOP	LOC117897392|XP_034662094.1|DSUB
OG0002206	LOC119067466|XP_037026348.1|BCOP	LOC117899612|XP_034665646.1|DSUB
OG0002207	LOC119068191|XP_037027584.1|BCOP, LOC119068192|XP_037027585.1|BCOP	LOC117898803|XP_034664338.1|DSUB
OG0002208	LOC119068186|XP_037027576.1|BCOP	LOC117896783|XP_034661170.1|DSUB
OG0002209	LOC119076431|XP_037039074.1|BCOP	LOC117894573|XP_034657607.1|DSUB, LOC117900294|XP_034666501.1|DSUB
OG0002210	LOC119067337|XP_037026136.1|BCOP	LOC117897991|XP_034663007.1|DSUB
OG0002211	LOC119070046|XP_037030224.1|BCOP	LOC117896827|XP_034661227.1|DSUB
OG0002212	LOC119069248|XP_037029195.1|BCOP, LOC119070313|XP_037030474.1|BCOP	LOC117896237|XP_034660274.1|DSUB
OG0002213	LOC119069748|XP_037029784.1|BCOP	LOC117898638|XP_034664092.1|DSUB
OG0002214	LOC119069073|XP_037028846.1|BCOP	LOC117897002|XP_034661454.1|DSUB
OG0002215	LOC119069952|XP_037030076.1|BCOP	LOC117896532|XP_034660796.1|DSUB
OG0002216	LOC119081256|XP_037045888.1|BCOP	LOC117902253|XP_034669402.1|DSUB
OG0002217	LOC119069242|XP_037029190.1|BCOP	LOC117899450|XP_034665349.1|DSUB
OG0002218	LOC119067252|XP_037026023.1|BCOP	LOC117903324|XP_034671158.1|DSUB
OG0002219	LOC119078248|XP_037041621.1|BCOP, LOC119069089|XP_037028872.1|BCOP	LOC117897925|XP_034662899.1|DSUB
OG0002220	LOC119072018|XP_037033032.1|BCOP, LOC119074239|XP_037036156.1|BCOP	LOC117899003|XP_034664641.1|DSUB
OG0002221	LOC119084830|XP_037050808.1|BCOP	LOC117894494|XP_034657493.1|DSUB
OG0002222	LOC119083959|XP_037049662.1|BCOP, LOC119083465|XP_037049080.1|BCOP, LOC119079723|XP_037043682.1|BCOP, LOC119082955|XP_037048497.1|BCOP	LOC117890044|XP_034650554.1|DSUB
OG0002223	LOC119081781|XP_037046883.1|BCOP	LOC117891944|XP_034653687.1|DSUB
OG0002224	LOC119081716|XP_037046729.1|BCOP	LOC117892526|XP_034654708.1|DSUB
OG0002225	LOC119073439|XP_037034818.1|BCOP	LOC117894121|XP_034656894.1|DSUB
OG0002226	LOC119081374|XP_037046151.1|BCOP	LOC117892415|XP_034654539.1|DSUB
OG0002227	LOC119080299|XP_037044467.1|BCOP	LOC117892342|XP_034654415.1|DSUB
OG0002228	LOC119082140|XP_037047415.1|BCOP, LOC119079257|XP_037042931.1|BCOP	LOC117892070|XP_034653949.1|DSUB
OG0002229	LOC119081545|XP_037046455.1|BCOP	LOC117892045|XP_034653862.1|DSUB
OG0002230	LOC119079254|XP_037042930.1|BCOP	LOC117890746|XP_034651693.1|DSUB
OG0002231	LOC119073448|XP_037034836.1|BCOP	LOC117892215|XP_034654206.1|DSUB
OG0002233	LOC119075212|XP_037037494.1|BCOP	LOC117894458|XP_034657449.1|DSUB
OG0002235	LOC119083565|XP_037049197.1|BCOP	LOC117891552|XP_034652959.1|DSUB
OG0002236	LOC119080175|XP_037044295.1|BCOP	LOC117891028|XP_034652082.1|DSUB
OG0002237	LOC119079255|XP_037042933.1|BCOP	LOC117889836|XP_034650215.1|DSUB
OG0002238	LOC119083149|XP_037048686.1|BCOP, LOC119076738|XP_037039550.1|BCOP	LOC117890064|XP_034650593.1|DSUB
OG0002239	LOC119085382|XP_037051663.1|BCOP	LOC117892381|XP_034654483.1|DSUB
OG0002240	LOC119079503|XP_037043346.1|BCOP	LOC117892458|XP_034654598.1|DSUB
OG0002241	LOC119081255|XP_037045885.1|BCOP	LOC117895213|XP_034658595.1|DSUB
OG0002242	LOC119080678|XP_037045006.1|BCOP	LOC117895274|XP_034658690.1|DSUB
OG0002243	LOC119083632|XP_037049262.1|BCOP	LOC117896272|XP_034660366.1|DSUB
OG0002244	LOC119084555|XP_037050465.1|BCOP, LOC119073695|XP_037035190.1|BCOP, LOC119084557|XP_037050468.1|BCOP	LOC117895821|XP_034659649.1|DSUB
OG0002245	LOC119073696|XP_037035191.1|BCOP	LOC117894125|XP_034656903.1|DSUB
OG0002246	LOC119079508|XP_037043357.1|BCOP	LOC117891287|XP_034652570.1|DSUB
OG0002247	LOC119079492|XP_037043336.1|BCOP	LOC117890444|XP_034651166.1|DSUB
OG0002248	LOC119079312|XP_037043005.1|BCOP	LOC117894104|XP_034656871.1|DSUB
OG0002249	LOC119080647|XP_037044956.1|BCOP	LOC117895813|XP_034659629.1|DSUB
OG0002250	LOC119073479|XP_037034879.1|BCOP	LOC117891550|XP_034652957.1|DSUB
OG0002251	LOC119073572|XP_037035026.1|BCOP	LOC117891340|XP_034652651.1|DSUB
OG0002252	LOC119077679|XP_037040836.1|BCOP	LOC117890978|XP_034652010.1|DSUB
OG0002253	LOC119074011|XP_037035841.1|BCOP	LOC117890262|XP_034650910.1|DSUB
OG0002254	LOC119079368|XP_037043133.1|BCOP	LOC117899433|XP_034665326.1|DSUB
OG0002255	LOC119084172|XP_037049926.1|BCOP	LOC117896859|XP_034661279.1|DSUB, LOC117901264|XP_034667850.1|DSUB
OG0002256	LOC119081221|XP_037045840.1|BCOP, LOC119074128|XP_037036006.1|BCOP	LOC117891946|XP_034653691.1|DSUB
OG0002257	LOC119070242|XP_037030411.1|BCOP, LOC119075133|XP_037037414.1|BCOP	LOC117890712|XP_034651641.1|DSUB
OG0002258	LOC119079286|XP_037042971.1|BCOP, LOC119079287|XP_037042972.1|BCOP	LOC117893762|XP_034656392.1|DSUB
OG0002259	LOC119078492|XP_037041943.1|BCOP	LOC117890380|XP_034651074.1|DSUB
OG0002260	LOC119079351|XP_037043075.1|BCOP	LOC117894825|XP_034657963.1|DSUB
OG0002261	LOC119080525|XP_037044831.1|BCOP	LOC117893838|XP_034656494.1|DSUB
OG0002262	LOC119070724|XP_037031072.1|BCOP	LOC117890353|XP_034651036.1|DSUB
OG0002263	LOC119077861|XP_037041090.1|BCOP	LOC117893398|XP_034655887.1|DSUB
