Orthogroup	BCOP.longest_only	CPIP.longest_only
OG0000874	LOC119071112|XP_037031653.1|BCOP	LOC120423682|XP_039443508.1|CPIP
OG0000875	LOC119085447|XP_037051763.1|BCOP	LOC120429100|XP_039450197.1|CPIP
OG0000882	LOC119067316|XP_037026121.1|BCOP	LOC120415611|XP_039433139.1|CPIP
OG0000883	LOC119068362|XP_037027826.1|BCOP, LOC119068300|XP_037027736.1|BCOP, LOC119080995|XP_037045546.1|BCOP, LOC119080818|XP_037045280.1|BCOP, LOC119085737|XP_037052100.1|BCOP, LOC119080377|XP_037044580.1|BCOP, LOC119085741|XP_037052103.1|BCOP, LOC119073230|XP_037034437.1|BCOP, LOC119078909|XP_037042534.1|BCOP	LOC120419054|XP_039437562.1|CPIP, LOC120420051|XP_039438897.1|CPIP, LOC120425029|XP_039445334.1|CPIP, LOC120421899|XP_039441131.1|CPIP, LOC120420379|XP_039439326.1|CPIP
OG0000884	LOC119068721|XP_037028308.1|BCOP	LOC120427201|XP_039447995.1|CPIP
OG0000885	LOC119068824|XP_037028491.1|BCOP	LOC120424055|XP_039444010.1|CPIP, LOC120424044|XP_039444000.1|CPIP, LOC120424045|XP_039444001.1|CPIP
OG0000887	LOC119070304|XP_037030468.1|BCOP	LOC120425775|XP_039446321.1|CPIP
OG0000888	LOC119080382|XP_037044584.1|BCOP	LOC120412402|XP_039428795.1|CPIP
OG0000889	LOC119080079|XP_037044194.1|BCOP	LOC120418561|XP_039436926.1|CPIP
OG0000890	LOC119074495|XP_037036542.1|BCOP	LOC120422694|XP_039442137.1|CPIP
OG0000891	LOC119071905|XP_037032913.1|BCOP	LOC120413113|XP_039429753.1|CPIP
OG0000892	LOC119078708|XP_037042273.1|BCOP	LOC120428476|XP_039449427.1|CPIP
OG0000893	LOC119075563|XP_037037925.1|BCOP, LOC119075564|XP_037037927.1|BCOP, LOC119077985|XP_037041261.1|BCOP, LOC119084453|XP_037050329.1|BCOP, LOC119067881|XP_037027052.1|BCOP, LOC119074918|XP_037037203.1|BCOP	LOC120414042|XP_039431000.1|CPIP, LOC120415367|XP_039432803.1|CPIP, LOC120413619|XP_039430463.1|CPIP, LOC120414024|XP_039430983.1|CPIP, LOC120414031|XP_039430990.1|CPIP, LOC120413628|XP_039430476.1|CPIP
OG0000894	LOC119068826|XP_037028494.1|BCOP	LOC120412970|XP_039429552.1|CPIP
OG0000896	LOC119071864|XP_037032821.1|BCOP	LOC120422176|XP_039441485.1|CPIP
OG0000907	LOC119069087|XP_037028864.1|BCOP	LOC120422532|XP_039441927.1|CPIP
OG0000908	LOC119076713|XP_037039526.1|BCOP, LOC119079933|XP_037043931.1|BCOP, LOC119082720|XP_037048194.1|BCOP, LOC119073889|XP_037035672.1|BCOP, LOC119077796|XP_037041002.1|BCOP, LOC119080511|XP_037044815.1|BCOP, LOC119070347|XP_037030531.1|BCOP, LOC119070345|XP_037030530.1|BCOP, LOC119066601|XP_037025059.1|BCOP	LOC120416077|XP_039433685.1|CPIP, LOC120416082|XP_039433699.1|CPIP, LOC120416666|XP_039434417.1|CPIP
OG0000908	LOC119073801|XP_037035455.1|BCOP	LOC120415872|XP_039433446.1|CPIP, LOC120417073|XP_039434976.1|CPIP, LOC120421214|XP_039440350.1|CPIP, LOC120413735|XP_039430597.1|CPIP, LOC120416068|XP_039433673.1|CPIP
OG0000909	LOC119067056|XP_037025697.1|BCOP	LOC120424456|XP_039444523.1|CPIP
OG0000910	LOC119075482|XP_037037828.1|BCOP	LOC120432597|XP_039453770.1|CPIP
OG0000911	LOC119072888|XP_037034106.1|BCOP	LOC120417462|XP_039435459.1|CPIP
OG0000912	LOC119075043|XP_037037336.1|BCOP	LOC120418557|XP_039436921.1|CPIP
OG0000913	LOC119080701|XP_037045051.1|BCOP	LOC120418826|XP_039437276.1|CPIP
OG0000914	LOC119081480|XP_037046373.1|BCOP	LOC120418298|XP_039436562.1|CPIP, LOC120418292|XP_039436556.1|CPIP, LOC120418291|XP_039436554.1|CPIP, LOC120418294|XP_039436558.1|CPIP, LOC120418293|XP_039436557.1|CPIP, LOC120419858|XP_039438629.1|CPIP
OG0000915	LOC119084701|XP_037050673.1|BCOP	LOC120416134|XP_039433742.1|CPIP, LOC120423137|XP_039442750.1|CPIP
OG0000916	LOC119085310|XP_037051561.1|BCOP, LOC119083725|XP_037049418.1|BCOP, LOC119083824|XP_037049514.1|BCOP, LOC119083729|XP_037049422.1|BCOP	LOC120419180|XP_039437774.1|CPIP, LOC120419181|XP_039437782.1|CPIP
OG0000917	LOC119082593|XP_037048030.1|BCOP	LOC120414568|XP_039431721.1|CPIP
OG0000918	LOC119076314|XP_037038876.1|BCOP	LOC120420514|XP_039439508.1|CPIP, LOC120413898|XP_039430809.1|CPIP
OG0000920	LOC119083049|XP_037048568.1|BCOP	LOC120415401|XP_039432861.1|CPIP, LOC120415381|XP_039432839.1|CPIP, LOC120415349|XP_039432772.1|CPIP, LOC120415392|XP_039432852.1|CPIP, LOC120415348|XP_039432771.1|CPIP, LOC120415389|XP_039432846.1|CPIP, LOC120430879|XP_039451942.1|CPIP
OG0000921	LOC119078052|XP_037041367.1|BCOP	LOC120413978|XP_039430918.1|CPIP
OG0000922	LOC119068338|XP_037027793.1|BCOP	LOC120422036|XP_039441299.1|CPIP
OG0000923	LOC119075006|XP_037037304.1|BCOP	LOC120423161|XP_039442776.1|CPIP, LOC120429725|XP_039450705.1|CPIP
OG0000924	LOC119076113|XP_037038669.1|BCOP	LOC120418575|XP_039436954.1|CPIP
OG0000925	LOC119066547|XP_037024978.1|BCOP	LOC120423899|XP_039443814.1|CPIP, LOC120423887|XP_039443795.1|CPIP
OG0000935	LOC119085662|XP_037052005.1|BCOP	LOC120413347|XP_039430059.1|CPIP
OG0000936	LOC119068158|XP_037027530.1|BCOP	LOC120424541|XP_039444639.1|CPIP
OG0000937	LOC119069164|XP_037028965.1|BCOP, LOC119069166|XP_037028969.1|BCOP, LOC119071087|XP_037031624.1|BCOP	LOC120421436|XP_039440578.1|CPIP, LOC120423044|XP_039442646.1|CPIP
OG0000938	LOC119069567|XP_037029542.1|BCOP	LOC120418068|XP_039436262.1|CPIP
OG0000939	LOC119069209|XP_037029080.1|BCOP	LOC120429750|XP_039451052.1|CPIP
OG0000941	LOC119069063|XP_037028834.1|BCOP	LOC120416887|XP_039434719.1|CPIP
OG0000942	LOC119080805|XP_037045271.1|BCOP	LOC120420666|XP_039439697.1|CPIP
OG0000943	LOC119075876|XP_037038336.1|BCOP	LOC120419988|XP_039438800.1|CPIP
OG0000944	LOC119081864|XP_037046988.1|BCOP	LOC120414476|XP_039431604.1|CPIP
OG0000945	LOC119083903|XP_037049611.1|BCOP	LOC120422285|XP_039441609.1|CPIP
OG0000946	LOC119084620|XP_037050580.1|BCOP	LOC120428101|XP_039449022.1|CPIP
OG0000947	LOC119081502|XP_037046404.1|BCOP	LOC120427061|XP_039447834.1|CPIP, LOC120421155|XP_039440279.1|CPIP, LOC120421145|XP_039440268.1|CPIP, LOC120421144|XP_039440267.1|CPIP
OG0000948	LOC119071154|XP_037031801.1|BCOP	LOC120413180|XP_039429827.1|CPIP
OG0000949	LOC119076037|XP_037038552.1|BCOP	LOC120419243|XP_039437835.1|CPIP
OG0000949	LOC119076075|XP_037038619.1|BCOP	LOC120419259|XP_039437851.1|CPIP
OG0000950	LOC119081508|XP_037046414.1|BCOP	LOC120423626|XP_039443431.1|CPIP
OG0000951	LOC119084350|XP_037050187.1|BCOP	LOC120424899|XP_039445123.1|CPIP, LOC120432196|XP_039453284.1|CPIP
OG0000952	LOC119066190|XP_037024398.1|BCOP	LOC120421245|XP_039440380.1|CPIP
OG0000963	LOC119082671|XP_037048142.1|BCOP, LOC119067559|XP_037026520.1|BCOP	LOC120432205|XP_039453301.1|CPIP, LOC120432197|XP_039453288.1|CPIP, LOC120432186|XP_039453264.1|CPIP
OG0000964	LOC119085822|XP_037052212.1|BCOP	LOC120432247|XP_039453355.1|CPIP, LOC120425740|XP_039446280.1|CPIP
OG0000965	LOC119083829|XP_037049526.1|BCOP	LOC120412464|XP_039428876.1|CPIP
OG0000966	LOC119073645|XP_037035139.1|BCOP, LOC119073195|XP_037034398.1|BCOP	LOC120418083|XP_039436275.1|CPIP, LOC120419866|XP_039438651.1|CPIP
OG0000967	LOC119074144|XP_037036037.1|BCOP	LOC120425262|XP_039445640.1|CPIP, LOC120424113|XP_039444086.1|CPIP, LOC120424247|XP_039444245.1|CPIP, LOC120424244|XP_039444242.1|CPIP, LOC120424245|XP_039444243.1|CPIP, LOC120424268|XP_039444264.1|CPIP, LOC120424243|XP_039444240.1|CPIP, LOC120424256|XP_039444253.1|CPIP, LOC120424258|XP_039444255.1|CPIP, LOC120424252|XP_039444249.1|CPIP, LOC120424250|XP_039444248.1|CPIP, LOC120428715|XP_039449721.1|CPIP, LOC120428712|XP_039449718.1|CPIP, LOC120421808|XP_039441019.1|CPIP, LOC120421812|XP_039441024.1|CPIP, LOC120421809|XP_039441021.1|CPIP, LOC120424249|XP_039444247.1|CPIP
OG0000968	LOC119066471|XP_037024872.1|BCOP, LOC119068517|XP_037028018.1|BCOP, LOC119080041|XP_037044138.1|BCOP, LOC119067361|XP_037026171.1|BCOP, LOC119080036|XP_037044121.1|BCOP	LOC120413224|XP_039429884.1|CPIP, LOC120413265|XP_039429927.1|CPIP
OG0000969	LOC119074494|XP_037036541.1|BCOP	LOC120422701|XP_039442146.1|CPIP
OG0000970	LOC119073002|XP_037034221.1|BCOP, LOC119072601|XP_037033750.1|BCOP	LOC120412746|XP_039429272.1|CPIP, LOC120414836|XP_039432096.1|CPIP, LOC120416782|XP_039434584.1|CPIP
OG0000971	LOC119072932|XP_037034147.1|BCOP	LOC120412655|XP_039429144.1|CPIP, LOC120420893|XP_039439948.1|CPIP
OG0000972	LOC119066215|XP_037024433.1|BCOP	LOC120415719|XP_039433248.1|CPIP
OG0000975	LOC119075022|XP_037037326.1|BCOP	LOC120424400|XP_039444433.1|CPIP
OG0000976	LOC119076040|XP_037038558.1|BCOP	LOC120421927|XP_039441173.1|CPIP
OG0000978	LOC119079549|XP_037043432.1|BCOP	LOC120414919|XP_039432185.1|CPIP
OG0000981	LOC119070854|XP_037031262.1|BCOP	LOC120421034|XP_039440105.1|CPIP
OG0000988	LOC119080941|XP_037045463.1|BCOP	LOC120421063|XP_039440142.1|CPIP
OG0000989	LOC119070650|XP_037030975.1|BCOP, LOC119077834|XP_037041046.1|BCOP, LOC119068368|XP_037027831.1|BCOP, LOC119081138|XP_037045777.1|BCOP	LOC120420128|XP_039439013.1|CPIP, LOC120431358|XP_039452420.1|CPIP, LOC120426398|XP_039447090.1|CPIP, LOC120431081|XP_039452169.1|CPIP, LOC120429488|XP_039450495.1|CPIP, LOC120426046|XP_039446665.1|CPIP, LOC120424558|XP_039444660.1|CPIP, LOC120431592|XP_039452632.1|CPIP, LOC120431476|XP_039452524.1|CPIP, LOC120431477|XP_039452526.1|CPIP, LOC120425014|XP_039445348.1|CPIP, LOC120431249|XP_039452320.1|CPIP
OG0000990	LOC119070368|XP_037030562.1|BCOP	LOC120420232|XP_039439155.1|CPIP
OG0000991	LOC119066633|XP_037025092.1|BCOP, LOC119081459|XP_037046325.1|BCOP	LOC120422538|XP_039441935.1|CPIP, LOC120417786|XP_039435882.1|CPIP
OG0000992	LOC119074967|XP_037037258.1|BCOP	LOC120423852|XP_039443737.1|CPIP
OG0000994	LOC119081336|XP_037046032.1|BCOP	LOC120424683|XP_039444794.1|CPIP, LOC120424625|XP_039444724.1|CPIP
OG0000995	LOC119081827|XP_037046960.1|BCOP	LOC120427566|XP_039448374.1|CPIP
OG0000996	LOC119081619|XP_037046563.1|BCOP, LOC119081223|XP_037045842.1|BCOP, LOC119070962|XP_037031421.1|BCOP	LOC120427074|XP_039447850.1|CPIP
OG0000997	LOC119076354|XP_037038949.1|BCOP	LOC120420924|XP_039439987.1|CPIP
OG0000998	LOC119074775|XP_037036948.1|BCOP, LOC119073498|XP_037034908.1|BCOP, LOC119074718|XP_037036896.1|BCOP	LOC120424650|XP_039444755.1|CPIP, LOC120424647|XP_039444749.1|CPIP
OG0000999	LOC119084413|XP_037050276.1|BCOP	LOC120423615|XP_039443416.1|CPIP
OG0001000	LOC119073777|XP_037035340.1|BCOP	LOC120424549|XP_039444648.1|CPIP
OG0001001	LOC119075735|XP_037038174.1|BCOP	LOC120419379|XP_039437985.1|CPIP, LOC120419368|XP_039437971.1|CPIP, LOC120428792|XP_039449824.1|CPIP
OG0001002	LOC119074361|XP_037036358.1|BCOP	LOC120420795|XP_039439844.1|CPIP
OG0001002	LOC119070352|XP_037030564.1|BCOP	LOC120420762|XP_039439801.1|CPIP, LOC120419729|XP_039438460.1|CPIP
OG0001003	LOC119066211|XP_037024432.1|BCOP	LOC120417872|XP_039436027.1|CPIP
OG0001004	LOC119084063|XP_037049796.1|BCOP	LOC120427940|XP_039448820.1|CPIP
OG0001006	LOC119071631|XP_037032484.1|BCOP	LOC120412343|XP_039428677.1|CPIP
OG0001007	LOC119072482|XP_037033606.1|BCOP	LOC120412364|XP_039428722.1|CPIP
OG0001008	LOC119086069|XP_037052540.1|BCOP	LOC120425096|XP_039445425.1|CPIP
OG0001009	LOC119075361|XP_037037690.1|BCOP	LOC120422414|XP_039441762.1|CPIP
OG0001019	LOC119069347|XP_037029316.1|BCOP	LOC120431968|XP_039453040.1|CPIP, LOC120426070|XP_039446688.1|CPIP, LOC120420148|XP_039439078.1|CPIP
OG0001020	LOC119078481|XP_037041936.1|BCOP, LOC119078471|XP_037041924.1|BCOP, LOC119069995|XP_037030138.1|BCOP	LOC120432292|XP_039453413.1|CPIP, LOC120432291|XP_039453412.1|CPIP, LOC120432246|XP_039453354.1|CPIP, LOC120432290|XP_039453411.1|CPIP
OG0001022	LOC119081328|XP_037046015.1|BCOP	LOC120418094|XP_039436296.1|CPIP, LOC120419901|XP_039438703.1|CPIP
OG0001024	LOC119082402|XP_037047828.1|BCOP, LOC119069342|XP_037029308.1|BCOP, LOC119069345|XP_037029310.1|BCOP, LOC119085058|XP_037051170.1|BCOP, LOC119085254|XP_037051486.1|BCOP	LOC120427860|XP_039448711.1|CPIP, LOC120418640|XP_039437020.1|CPIP
OG0001025	LOC119081450|XP_037046283.1|BCOP	LOC120425358|XP_039445799.1|CPIP, LOC120429619|XP_039450584.1|CPIP
OG0001026	LOC119065982|XP_037024085.1|BCOP, LOC119075085|XP_037037371.1|BCOP, LOC119074505|XP_037036557.1|BCOP	LOC120422301|XP_039441626.1|CPIP, LOC120422302|XP_039441627.1|CPIP
OG0001027	LOC119076434|XP_037039078.1|BCOP	LOC120416048|XP_039433643.1|CPIP, LOC120423608|XP_039443408.1|CPIP, LOC120423611|XP_039443410.1|CPIP, LOC120416052|XP_039433646.1|CPIP
OG0001028	LOC119080337|XP_037044529.1|BCOP, LOC119082899|XP_037048456.1|BCOP, LOC119077960|XP_037041235.1|BCOP, LOC119077717|XP_037040893.1|BCOP, LOC119077716|XP_037040890.1|BCOP	LOC120427120|XP_039447907.1|CPIP, LOC120425132|XP_039445491.1|CPIP
OG0001030	LOC119068198|XP_037027594.1|BCOP	LOC120430681|XP_039451713.1|CPIP, LOC120423463|XP_039443221.1|CPIP, LOC120430684|XP_039451715.1|CPIP, LOC120423465|XP_039443224.1|CPIP, LOC120423466|XP_039443225.1|CPIP, LOC120430682|XP_039451714.1|CPIP, LOC120431845|XP_039452908.1|CPIP, LOC120422004|XP_039441253.1|CPIP, LOC120422009|XP_039441259.1|CPIP, LOC120432175|XP_039453247.1|CPIP, LOC120423464|XP_039443222.1|CPIP, LOC120423460|XP_039443219.1|CPIP, LOC120423457|XP_039443213.1|CPIP, LOC120416764|XP_039434544.1|CPIP, LOC120423461|XP_039443220.1|CPIP
OG0001031	LOC119071712|XP_037032601.1|BCOP	LOC120422610|XP_039442034.1|CPIP
OG0001032	LOC119081634|XP_037046580.1|BCOP, LOC119081743|XP_037046809.1|BCOP, LOC119075007|XP_037037305.1|BCOP	LOC120420748|XP_039439778.1|CPIP
OG0001033	LOC119068730|XP_037028321.1|BCOP, LOC119066556|XP_037024997.1|BCOP	LOC120412515|XP_039428945.1|CPIP
OG0001042	LOC119084984|XP_037051038.1|BCOP	LOC120415636|XP_039433169.1|CPIP, LOC120415634|XP_039433167.1|CPIP
OG0001043	LOC119085900|XP_037052342.1|BCOP, LOC119069916|XP_037030028.1|BCOP, LOC119069917|XP_037030033.1|BCOP	LOC120428461|XP_039449409.1|CPIP, LOC120428460|XP_039449408.1|CPIP
OG0001044	LOC119073827|XP_037035519.1|BCOP	LOC120430637|XP_039451667.1|CPIP, LOC120414295|XP_039431364.1|CPIP, LOC120431058|XP_039452146.1|CPIP
OG0001044	LOC119085590|XP_037051902.1|BCOP	LOC120423322|XP_039443017.1|CPIP, LOC120426241|XP_039446912.1|CPIP
OG0001045	LOC119069797|XP_037029846.1|BCOP	LOC120418895|XP_039437360.1|CPIP, LOC120418897|XP_039437362.1|CPIP, LOC120418896|XP_039437361.1|CPIP
OG0001046	LOC119085214|XP_037051420.1|BCOP	LOC120414288|XP_039431353.1|CPIP
OG0001048	LOC119085139|XP_037051310.1|BCOP	LOC120427460|XP_039448272.1|CPIP, LOC120415347|XP_039432770.1|CPIP, LOC120415491|XP_039432993.1|CPIP
OG0001049	LOC119080206|XP_037044340.1|BCOP	LOC120418908|XP_039437369.1|CPIP
OG0001050	LOC119081569|XP_037046495.1|BCOP	LOC120424973|XP_039445263.1|CPIP
OG0001051	LOC119076391|XP_037039010.1|BCOP	LOC120428680|XP_039449673.1|CPIP
OG0001051	LOC119083578|XP_037049218.1|BCOP, LOC119083906|XP_037049613.1|BCOP, LOC119080418|XP_037044653.1|BCOP	LOC120427127|XP_039447913.1|CPIP
OG0001052	LOC119075377|XP_037037706.1|BCOP	LOC120423094|XP_039442705.1|CPIP
OG0001053	LOC119072009|XP_037033024.1|BCOP, LOC119071048|XP_037031555.1|BCOP	LOC120414310|XP_039431383.1|CPIP
OG0001054	LOC119077890|XP_037041149.1|BCOP	LOC120426826|XP_039447547.1|CPIP
OG0001056	LOC119075793|XP_037038255.1|BCOP	LOC120418272|XP_039436525.1|CPIP
OG0001057	LOC119081015|XP_037045593.1|BCOP	LOC120430572|XP_039451611.1|CPIP
OG0001058	LOC119067766|XP_037026805.1|BCOP	LOC120416636|XP_039434382.1|CPIP
OG0001059	LOC119082553|XP_037047962.1|BCOP	LOC120415206|XP_039432595.1|CPIP
OG0001072	LOC119076224|XP_037038774.1|BCOP	LOC120432331|XP_039453453.1|CPIP
OG0001073	LOC119068180|XP_037027566.1|BCOP	LOC120431391|XP_039452478.1|CPIP
OG0001074	LOC119083078|XP_037048596.1|BCOP	LOC120427970|XP_039448860.1|CPIP
OG0001074	LOC119083179|XP_037048734.1|BCOP	LOC120414966|XP_039432232.1|CPIP
OG0001075	LOC119068476|XP_037027982.1|BCOP	LOC120427450|XP_039448252.1|CPIP
OG0001076	LOC119072133|XP_037033170.1|BCOP, LOC119072298|XP_037033372.1|BCOP	LOC120432040|XP_039453107.1|CPIP
OG0001077	LOC119070585|XP_037030891.1|BCOP	LOC120425417|XP_039445881.1|CPIP
OG0001078	LOC119083630|XP_037049263.1|BCOP	LOC120417092|XP_039435005.1|CPIP
OG0001078	LOC119083310|XP_037048891.1|BCOP, LOC119085253|XP_037051484.1|BCOP, LOC119083868|XP_037049572.1|BCOP, LOC119066619|XP_037025072.1|BCOP, LOC119074776|XP_037036944.1|BCOP, LOC119073855|XP_037035613.1|BCOP	LOC120418041|XP_039436223.1|CPIP
OG0001079	LOC119080836|XP_037045291.1|BCOP	LOC120413721|XP_039430582.1|CPIP
OG0001080	LOC119076015|XP_037038502.1|BCOP	LOC120424184|XP_039444173.1|CPIP
OG0001081	LOC119077092|XP_037040147.1|BCOP, LOC119076408|XP_037039035.1|BCOP, LOC119073269|XP_037034544.1|BCOP	LOC120424185|XP_039444176.1|CPIP, LOC120422819|XP_039442287.1|CPIP
OG0001082	LOC119076850|XP_037039752.1|BCOP	LOC120422638|XP_039442070.1|CPIP
OG0001083	LOC119082042|XP_037047264.1|BCOP, LOC119066221|XP_037024443.1|BCOP, LOC119074746|XP_037036908.1|BCOP	LOC120424383|XP_039444416.1|CPIP
OG0001084	LOC119076818|XP_037039701.1|BCOP	LOC120414378|XP_039431483.1|CPIP, LOC120428045|XP_039448942.1|CPIP
OG0001084	LOC119073995|XP_037035817.1|BCOP	LOC120415730|XP_039433256.1|CPIP
OG0001085	LOC119073430|XP_037034797.1|BCOP	LOC120429944|XP_039450976.1|CPIP
OG0001086	LOC119071574|XP_037032409.1|BCOP	LOC120420100|XP_039438981.1|CPIP
OG0001087	LOC119074448|XP_037036474.1|BCOP	LOC120412412|XP_039428808.1|CPIP
OG0001088	LOC119076941|XP_037039884.1|BCOP	LOC120418521|XP_039436891.1|CPIP, LOC120414624|XP_039431791.1|CPIP
OG0001089	LOC119080047|XP_037044149.1|BCOP	LOC120424839|XP_039445003.1|CPIP
OG0001090	LOC119081801|XP_037046915.1|BCOP	LOC120423504|XP_039443279.1|CPIP, LOC120423512|XP_039443287.1|CPIP, LOC120431958|XP_039453026.1|CPIP, LOC120423513|XP_039443290.1|CPIP
OG0001091	LOC119076807|XP_037039878.1|BCOP, LOC119083890|XP_037049630.1|BCOP	LOC120421900|XP_039441132.1|CPIP
OG0001092	LOC119076984|XP_037039983.1|BCOP	LOC120413539|XP_039430351.1|CPIP
OG0001093	LOC119076993|XP_037039996.1|BCOP, LOC119076994|XP_037039998.1|BCOP	LOC120413540|XP_039430353.1|CPIP
OG0001094	LOC119078595|XP_037042077.1|BCOP	LOC120413630|XP_039430474.1|CPIP
OG0001095	LOC119085955|XP_037052407.1|BCOP	LOC120417378|XP_039435329.1|CPIP, LOC120417361|XP_039435306.1|CPIP, LOC120417357|XP_039435303.1|CPIP
OG0001096	LOC119078915|XP_037042541.1|BCOP, LOC119078916|XP_037042544.1|BCOP	LOC120424098|XP_039444044.1|CPIP, LOC120431700|XP_039452749.1|CPIP, LOC120431699|XP_039452748.1|CPIP, LOC120424107|XP_039444051.1|CPIP
OG0001097	LOC119066245|XP_037024464.1|BCOP	LOC120415700|XP_039433225.1|CPIP
OG0001099	LOC119071399|XP_037032180.1|BCOP	LOC120419084|XP_039437601.1|CPIP
OG0001100	LOC119083187|XP_037048744.1|BCOP	LOC120415264|XP_039432666.1|CPIP
OG0001101	LOC119066925|XP_037025528.1|BCOP	LOC120425311|XP_039445716.1|CPIP
OG0001102	LOC119083309|XP_037048890.1|BCOP	LOC120414050|XP_039431003.1|CPIP, LOC120414045|XP_039430999.1|CPIP
OG0001103	LOC119069160|XP_037028962.1|BCOP, LOC119069161|XP_037028963.1|BCOP	LOC120416829|XP_039434650.1|CPIP
OG0001104	LOC119078780|XP_037042387.1|BCOP, LOC119070322|XP_037030485.1|BCOP	LOC120432582|XP_039453752.1|CPIP
OG0001105	LOC119084069|XP_037049806.1|BCOP	LOC120432555|XP_039453718.1|CPIP
OG0001106	LOC119079471|XP_037043296.1|BCOP	LOC120431888|XP_039452951.1|CPIP, LOC120422223|XP_039441542.1|CPIP
OG0001118	LOC119084904|XP_037050954.1|BCOP	LOC120413330|XP_039430037.1|CPIP
OG0001119	LOC119068250|XP_037027677.1|BCOP	LOC120424039|XP_039443997.1|CPIP
OG0001120	LOC119068668|XP_037028247.1|BCOP, LOC119075141|XP_037037422.1|BCOP	LOC120423577|XP_039443370.1|CPIP, LOC120425386|XP_039445836.1|CPIP
OG0001121	LOC119081363|XP_037046120.1|BCOP	LOC120425861|XP_039446420.1|CPIP
OG0001122	LOC119083683|XP_037049363.1|BCOP	LOC120412874|XP_039429439.1|CPIP
OG0001124	LOC119067257|XP_037026028.1|BCOP	LOC120425352|XP_039445788.1|CPIP, LOC120429621|XP_039450585.1|CPIP
OG0001125	LOC119076572|XP_037039262.1|BCOP, LOC119083869|XP_037049573.1|BCOP, LOC119075720|XP_037038146.1|BCOP, LOC119081761|XP_037046847.1|BCOP, LOC119081370|XP_037046142.1|BCOP	LOC120413485|XP_039430269.1|CPIP, LOC120413467|XP_039430239.1|CPIP, LOC120413468|XP_039430240.1|CPIP
OG0001126	LOC119081714|XP_037046724.1|BCOP	LOC120418013|XP_039436189.1|CPIP
OG0001127	LOC119083838|XP_037049535.1|BCOP, LOC119080648|XP_037044957.1|BCOP	LOC120415811|XP_039433372.1|CPIP, LOC120429657|XP_039450624.1|CPIP
OG0001128	LOC119084880|XP_037050919.1|BCOP	LOC120429702|XP_039450671.1|CPIP, LOC120427739|XP_039448579.1|CPIP, LOC120430786|XP_039451833.1|CPIP
OG0001129	LOC119066268|XP_037024516.1|BCOP	LOC120422189|XP_039441499.1|CPIP
OG0001130	LOC119075759|XP_037038195.1|BCOP	LOC120424895|XP_039445117.1|CPIP
OG0001131	LOC119081050|XP_037045650.1|BCOP	LOC120419785|XP_039438552.1|CPIP, LOC120429031|XP_039450101.1|CPIP, LOC120419786|XP_039438553.1|CPIP
OG0001133	LOC119080676|XP_037045003.1|BCOP	LOC120416081|XP_039433692.1|CPIP
OG0001134	LOC119071186|XP_037031854.1|BCOP	LOC120419185|XP_039437793.1|CPIP, LOC120421259|XP_039440389.1|CPIP, LOC120420150|XP_039439048.1|CPIP, LOC120415343|XP_039432765.1|CPIP, LOC120417188|XP_039435089.1|CPIP
OG0001135	LOC119075541|XP_037037907.1|BCOP, LOC119075800|XP_037038262.1|BCOP	LOC120414352|XP_039431447.1|CPIP
OG0001135	LOC119084470|XP_037050350.1|BCOP	LOC120422246|XP_039441573.1|CPIP
OG0001136	LOC119074562|XP_037036667.1|BCOP	LOC120417494|XP_039435503.1|CPIP
OG0001138	LOC119069810|XP_037029867.1|BCOP	LOC120421356|XP_039440478.1|CPIP, LOC120432104|XP_039453171.1|CPIP, LOC120429313|XP_039450469.1|CPIP
OG0001139	LOC119072089|XP_037033143.1|BCOP	LOC120415108|XP_039432461.1|CPIP
OG0001153	LOC119083126|XP_037048661.1|BCOP, LOC119083102|XP_037048628.1|BCOP	LOC120420201|XP_039439120.1|CPIP
OG0001154	LOC119066290|XP_037024558.1|BCOP	LOC120419964|XP_039438772.1|CPIP, LOC120432189|XP_039453265.1|CPIP
OG0001155	LOC119069788|XP_037029824.1|BCOP	LOC120428763|XP_039449780.1|CPIP, LOC120430949|XP_039452010.1|CPIP
OG0001156	LOC119084425|XP_037050296.1|BCOP, LOC119070105|XP_037030316.1|BCOP	LOC120416392|XP_039434063.1|CPIP
OG0001156	LOC119078768|XP_037042370.1|BCOP, LOC119070104|XP_037030315.1|BCOP	LOC120416391|XP_039434062.1|CPIP, LOC120416418|XP_039434103.1|CPIP
OG0001157	LOC119075169|XP_037037458.1|BCOP	LOC120414010|XP_039430957.1|CPIP
OG0001157	LOC119080403|XP_037044631.1|BCOP	LOC120424145|XP_039444120.1|CPIP
OG0001158	LOC119074863|XP_037037079.1|BCOP	LOC120431385|XP_039452450.1|CPIP
OG0001158	LOC119076925|XP_037039845.1|BCOP	LOC120423984|XP_039443915.1|CPIP
OG0001159	LOC119069139|XP_037028940.1|BCOP	LOC120432503|XP_039453649.1|CPIP
OG0001160	LOC119067229|XP_037025978.1|BCOP	LOC120430694|XP_039451737.1|CPIP, LOC120427184|XP_039447982.1|CPIP
OG0001161	LOC119077882|XP_037041135.1|BCOP	LOC120426255|XP_039446926.1|CPIP
OG0001162	LOC119067561|XP_037026522.1|BCOP	LOC120424769|XP_039444908.1|CPIP, LOC120431325|XP_039452391.1|CPIP
