Orthogroup	BCOP.longest_only	DSUP.longest_only
OG0001390	LOC119066921|XP_037025519.1|BCOP, LOC119076711|XP_037039523.1|BCOP, LOC119079002|XP_037042664.1|BCOP, LOC119067954|XP_037027173.1|BCOP	LOC119548425|XP_037711593.1|DSUP
OG0001391	LOC119066428|XP_037024846.1|BCOP	LOC119547480|XP_037710293.1|DSUP
OG0001392	LOC119074919|XP_037037205.1|BCOP	LOC119556605|XP_037724846.1|DSUP
OG0001393	LOC119076493|XP_037039173.1|BCOP	LOC119546571|XP_037708892.1|DSUP
OG0001394	LOC119075488|XP_037037849.1|BCOP	LOC119547700|XP_037710602.1|DSUP
OG0001395	LOC119074955|XP_037037239.1|BCOP	LOC119560179|XP_037729471.1|DSUP
OG0001396	LOC119083406|XP_037049020.1|BCOP, LOC119076413|XP_037039043.1|BCOP	LOC119556634|XP_037724888.1|DSUP
OG0001397	LOC119084135|XP_037049881.1|BCOP	LOC119563138|XP_037732323.1|DSUP
OG0001398	LOC119073267|XP_037034539.1|BCOP	LOC119558395|XP_037727850.1|DSUP
OG0001399	LOC119066910|XP_037025505.1|BCOP	LOC119559607|XP_037728548.1|DSUP
OG0001400	LOC119075955|XP_037038417.1|BCOP	LOC119562986|XP_037732092.1|DSUP
OG0001401	LOC119080499|XP_037044793.1|BCOP, LOC119071758|XP_037032692.1|BCOP, LOC119081901|XP_037047030.1|BCOP, LOC119070024|XP_037030205.1|BCOP	LOC119553731|XP_037720247.1|DSUP
OG0001402	LOC119078307|XP_037041703.1|BCOP	LOC119555472|XP_037722806.1|DSUP, LOC119555462|XP_037722796.1|DSUP
OG0001403	LOC119072446|XP_037033558.1|BCOP	LOC119554938|XP_037721975.1|DSUP
OG0001404	LOC119075529|XP_037037893.1|BCOP	LOC119549017|XP_037712589.1|DSUP
OG0001405	LOC119071739|XP_037032666.1|BCOP	LOC119551134|XP_037716252.1|DSUP
OG0001406	LOC119071455|XP_037032202.1|BCOP	LOC119556079|XP_037723859.1|DSUP
OG0001407	LOC119072463|XP_037033582.1|BCOP	LOC119555297|XP_037722541.1|DSUP
OG0001411	LOC119083601|XP_037049232.1|BCOP, LOC119077377|XP_037040463.1|BCOP, LOC119083602|XP_037049233.1|BCOP, LOC119070386|XP_037030600.1|BCOP, LOC119074488|XP_037036531.1|BCOP	LOC119560586|XP_037730040.1|DSUP
OG0001429	LOC119069720|XP_037029741.1|BCOP, LOC119069004|XP_037028776.1|BCOP	LOC119559983|XP_037729169.1|DSUP
OG0001430	LOC119069695|XP_037029719.1|BCOP	LOC119559866|XP_037728902.1|DSUP
OG0001431	LOC119068849|XP_037028560.1|BCOP	LOC119556661|XP_037724937.1|DSUP, LOC119556061|XP_037723796.1|DSUP
OG0001432	LOC119068544|XP_037028058.1|BCOP	LOC119558189|XP_037727396.1|DSUP
OG0001433	LOC119085603|XP_037051921.1|BCOP, LOC119085621|XP_037051939.1|BCOP	LOC119549033|XP_037712648.1|DSUP
OG0001434	LOC119067814|XP_037026864.1|BCOP	LOC119557942|XP_037726888.1|DSUP
OG0001435	LOC119070281|XP_037030442.1|BCOP	LOC119549241|XP_037713067.1|DSUP
OG0001436	LOC119070372|XP_037030568.1|BCOP	LOC119557524|XP_037726225.1|DSUP
OG0001437	LOC119077714|XP_037040888.1|BCOP	LOC119546569|XP_037708889.1|DSUP
OG0001438	LOC119070579|XP_037030882.1|BCOP	LOC119548441|XP_037711632.1|DSUP
OG0001439	LOC119068124|XP_037027476.1|BCOP	LOC119563005|XP_037732122.1|DSUP
OG0001440	LOC119070767|XP_037031143.1|BCOP	LOC119557887|XP_037726818.1|DSUP
OG0001442	LOC119085588|XP_037051900.1|BCOP	LOC119546787|XP_037709272.1|DSUP
OG0001443	LOC119068350|XP_037027809.1|BCOP	LOC119550919|XP_037715863.1|DSUP
OG0001444	LOC119074569|XP_037036689.1|BCOP, LOC119082837|XP_037048387.1|BCOP	LOC119560748|XP_037730293.1|DSUP, LOC119559263|XP_037728262.1|DSUP
OG0001445	LOC119066291|XP_037024561.1|BCOP	LOC119560809|XP_037730370.1|DSUP
OG0001446	LOC119067925|XP_037027128.1|BCOP, LOC119066853|XP_037025416.1|BCOP, LOC119067923|XP_037027122.1|BCOP	LOC119557719|XP_037726532.1|DSUP
OG0001447	LOC119067041|XP_037025676.1|BCOP	LOC119555489|XP_037722830.1|DSUP
OG0001448	LOC119084574|XP_037050524.1|BCOP, LOC119068674|XP_037028251.1|BCOP	LOC119549123|XP_037712818.1|DSUP
OG0001449	LOC119067787|XP_037026829.1|BCOP	LOC119548997|XP_037712531.1|DSUP
OG0001450	LOC119068156|XP_037027525.1|BCOP	LOC119561544|XP_037731121.1|DSUP
OG0001451	LOC119083373|XP_037048982.1|BCOP, LOC119083330|XP_037048911.1|BCOP	LOC119551046|XP_037716084.1|DSUP
OG0001452	LOC119084935|XP_037050969.1|BCOP	LOC119549876|XP_037714105.1|DSUP
OG0001453	LOC119080452|XP_037044714.1|BCOP, LOC119080451|XP_037044711.1|BCOP	LOC119554241|XP_037721004.1|DSUP
OG0001454	LOC119068491|XP_037027998.1|BCOP, LOC119069190|XP_037029031.1|BCOP	LOC119559279|XP_037728274.1|DSUP, LOC119556014|XP_037723714.1|DSUP
OG0001455	LOC119077311|XP_037040372.1|BCOP	LOC119555325|XP_037722580.1|DSUP
OG0001456	LOC119083642|XP_037049278.1|BCOP	LOC119551941|XP_037717560.1|DSUP
OG0001457	LOC119081950|XP_037047134.1|BCOP, LOC119072427|XP_037033540.1|BCOP	LOC119549335|XP_037713244.1|DSUP
OG0001458	LOC119079434|XP_037043242.1|BCOP	LOC119551741|XP_037717170.1|DSUP
OG0001459	LOC119081762|XP_037046850.1|BCOP	LOC119554998|XP_037722065.1|DSUP
OG0001460	LOC119079206|XP_037042887.1|BCOP, LOC119079363|XP_037043106.1|BCOP, LOC119079207|XP_037042889.1|BCOP	LOC119551473|XP_037716760.1|DSUP
OG0001461	LOC119084438|XP_037050343.1|BCOP, LOC119085389|XP_037051678.1|BCOP	LOC119556094|XP_037723878.1|DSUP
OG0001462	LOC119080004|XP_037044071.1|BCOP	LOC119552693|XP_037718348.1|DSUP
OG0001463	LOC119081083|XP_037045720.1|BCOP, LOC119082702|XP_037048175.1|BCOP, LOC119074416|XP_037036440.1|BCOP	LOC119562355|XP_037731450.1|DSUP
OG0001464	LOC119073222|XP_037034428.1|BCOP, LOC119085508|XP_037051817.1|BCOP, LOC119085075|XP_037051210.1|BCOP, LOC119085507|XP_037051816.1|BCOP, LOC119085501|XP_037051812.1|BCOP, LOC119082133|XP_037047406.1|BCOP, LOC119085074|XP_037051207.1|BCOP, LOC119073018|XP_037034235.1|BCOP	LOC119556024|XP_037723732.1|DSUP
OG0001465	LOC119081152|XP_037045800.1|BCOP	LOC119551797|XP_037717272.1|DSUP
OG0001466	LOC119079375|XP_037043143.1|BCOP, LOC119079376|XP_037043148.1|BCOP	LOC119546850|XP_037709376.1|DSUP
OG0001467	LOC119085874|XP_037052278.1|BCOP	LOC119548553|XP_037711778.1|DSUP
OG0001468	LOC119080863|XP_037045335.1|BCOP	LOC119552636|XP_037718253.1|DSUP
OG0001469	LOC119081330|XP_037046012.1|BCOP	LOC119551513|XP_037716822.1|DSUP
OG0001470	LOC119074223|XP_037036130.1|BCOP, LOC119074224|XP_037036133.1|BCOP, LOC119074272|XP_037036189.1|BCOP	LOC119554630|XP_037721553.1|DSUP
OG0001471	LOC119075238|XP_037037529.1|BCOP	LOC119555410|XP_037722696.1|DSUP
OG0001472	LOC119073631|XP_037035117.1|BCOP	LOC119552932|XP_037718804.1|DSUP
OG0001473	LOC119068774|XP_037028428.1|BCOP	LOC119560640|XP_037730120.1|DSUP
OG0001474	LOC119083216|XP_037048778.1|BCOP	LOC119557077|XP_037725558.1|DSUP
OG0001475	LOC119085938|XP_037052386.1|BCOP	LOC119551606|XP_037716940.1|DSUP, LOC119562712|XP_037731828.1|DSUP
OG0001476	LOC119073252|XP_037034502.1|BCOP	LOC119556085|XP_037723864.1|DSUP
OG0001477	LOC119080073|XP_037044187.1|BCOP	LOC119545640|XP_037707280.1|DSUP
OG0001478	LOC119084634|XP_037050598.1|BCOP, LOC119066327|XP_037024619.1|BCOP	LOC119548528|XP_037711749.1|DSUP
OG0001479	LOC119081696|XP_037046691.1|BCOP	LOC119556707|XP_037725031.1|DSUP
OG0001480	LOC119079619|XP_037043510.1|BCOP	LOC119546946|XP_037709514.1|DSUP
OG0001481	LOC119085854|XP_037052259.1|BCOP	LOC119548729|XP_037712161.1|DSUP
OG0001482	LOC119078892|XP_037042517.1|BCOP	LOC119551711|XP_037717113.1|DSUP
OG0001483	LOC119069194|XP_037029036.1|BCOP	LOC119559697|XP_037728683.1|DSUP
OG0001485	LOC119066875|XP_037025444.1|BCOP	LOC119554455|XP_037721295.1|DSUP
OG0001486	LOC119075372|XP_037037693.1|BCOP	LOC119546089|XP_037708097.1|DSUP, LOC119548517|XP_037711735.1|DSUP, LOC119547719|XP_037710621.1|DSUP
OG0001487	LOC119071292|XP_037032057.1|BCOP	LOC119562550|XP_037731680.1|DSUP
OG0001488	LOC119080267|XP_037044416.1|BCOP, LOC119080265|XP_037044409.1|BCOP	LOC119550471|XP_037715088.1|DSUP
OG0001489	LOC119082548|XP_037047954.1|BCOP	LOC119547588|XP_037710424.1|DSUP
OG0001490	LOC119082084|XP_037047339.1|BCOP	LOC119546873|XP_037709407.1|DSUP
OG0001491	LOC119078712|XP_037042279.1|BCOP	LOC119548384|XP_037711533.1|DSUP
OG0001493	LOC119075234|XP_037037521.1|BCOP	LOC119550107|XP_037714516.1|DSUP, LOC119556109|XP_037723908.1|DSUP
OG0001494	LOC119077643|XP_037040759.1|BCOP	LOC119557372|XP_037726044.1|DSUP
OG0001495	LOC119074897|XP_037037139.1|BCOP	LOC119549245|XP_037713072.1|DSUP
OG0001496	LOC119074211|XP_037036147.1|BCOP	LOC119553385|XP_037719670.1|DSUP, LOC119557683|XP_037726482.1|DSUP
OG0001497	LOC119078593|XP_037042074.1|BCOP, LOC119081292|XP_037045948.1|BCOP, LOC119072594|XP_037033744.1|BCOP	LOC119551570|XP_037716898.1|DSUP
OG0001498	LOC119074573|XP_037036695.1|BCOP	LOC119560430|XP_037729795.1|DSUP
OG0001500	LOC119068893|XP_037028658.1|BCOP	LOC119549409|XP_037713399.1|DSUP
OG0001501	LOC119080610|XP_037044907.1|BCOP	LOC119552623|XP_037718222.1|DSUP
OG0001502	LOC119079851|XP_037043814.1|BCOP	LOC119549856|XP_037714080.1|DSUP
OG0001503	LOC119083702|XP_037049389.1|BCOP, LOC119077333|XP_037040410.1|BCOP	LOC119549552|XP_037713630.1|DSUP
OG0001504	LOC119072387|XP_037033490.1|BCOP	LOC119558376|XP_037727821.1|DSUP, LOC119558377|XP_037727822.1|DSUP, LOC119558184|XP_037727379.1|DSUP
OG0001506	LOC119079020|XP_037042692.1|BCOP	LOC119550212|XP_037714695.1|DSUP
OG0001507	LOC119071742|XP_037032669.1|BCOP	LOC119549000|XP_037712535.1|DSUP
OG0001508	LOC119080040|XP_037044136.1|BCOP, LOC119066573|XP_037025018.1|BCOP	LOC119550713|XP_037715520.1|DSUP
OG0001509	LOC119083247|XP_037048804.1|BCOP	LOC119550199|XP_037714671.1|DSUP
OG0001510	LOC119081977|XP_037047185.1|BCOP, LOC119072757|XP_037033941.1|BCOP	LOC119562476|XP_037731599.1|DSUP
OG0001511	LOC119066136|XP_037024322.1|BCOP	LOC119551616|XP_037716957.1|DSUP
OG0001512	LOC119071191|XP_037031860.1|BCOP, LOC119077034|XP_037040054.1|BCOP, LOC119071183|XP_037031848.1|BCOP, LOC119071407|XP_037032181.1|BCOP, LOC119071406|XP_037032179.1|BCOP, LOC119071408|XP_037032182.1|BCOP, LOC119071188|XP_037031857.1|BCOP	LOC119553430|XP_037719741.1|DSUP
OG0001513	LOC119071130|XP_037031699.1|BCOP	LOC119552963|XP_037718876.1|DSUP
OG0001515	LOC119076873|XP_037039777.1|BCOP	LOC119546397|XP_037708573.1|DSUP, LOC119557919|XP_037726855.1|DSUP
OG0001517	LOC119085002|XP_037051073.1|BCOP	LOC119560166|XP_037729453.1|DSUP, LOC119552705|XP_037718381.1|DSUP, LOC119562901|XP_037731954.1|DSUP
OG0001518	LOC119067207|XP_037025945.1|BCOP	LOC119557552|XP_037726262.1|DSUP
OG0001534	LOC119069790|XP_037029827.1|BCOP	LOC119558159|XP_037727349.1|DSUP
OG0001535	LOC119081291|XP_037045952.1|BCOP	LOC119556008|XP_037723701.1|DSUP
OG0001536	LOC119083641|XP_037049277.1|BCOP	LOC119557785|XP_037726612.1|DSUP
OG0001537	LOC119070285|XP_037030449.1|BCOP, LOC119070287|XP_037030450.1|BCOP	LOC119548457|XP_037711651.1|DSUP
OG0001538	LOC119084761|XP_037050722.1|BCOP	LOC119556416|XP_037724539.1|DSUP
OG0001539	LOC119080435|XP_037044693.1|BCOP	LOC119550793|XP_037715653.1|DSUP
OG0001540	LOC119077061|XP_037040084.1|BCOP	LOC119546071|XP_037708070.1|DSUP
OG0001541	LOC119067503|XP_037026408.1|BCOP, LOC119074747|XP_037036905.1|BCOP	LOC119554256|XP_037721022.1|DSUP
OG0001542	LOC119083755|XP_037049434.1|BCOP	LOC119559282|XP_037728279.1|DSUP, LOC119558402|XP_037727864.1|DSUP
OG0001543	LOC119067212|XP_037025951.1|BCOP	LOC119558171|XP_037727364.1|DSUP
OG0001544	LOC119068022|XP_037027277.1|BCOP	LOC119557293|XP_037725923.1|DSUP
OG0001545	LOC119071911|XP_037032925.1|BCOP, LOC119067565|XP_037026541.1|BCOP	LOC119556683|XP_037724983.1|DSUP
OG0001546	LOC119084624|XP_037050587.1|BCOP, LOC119069480|XP_037029442.1|BCOP, LOC119071884|XP_037032878.1|BCOP	LOC119556827|XP_037725211.1|DSUP
OG0001547	LOC119083969|XP_037049669.1|BCOP	LOC119556407|XP_037724520.1|DSUP
OG0001548	LOC119067604|XP_037026594.1|BCOP	LOC119556739|XP_037725076.1|DSUP
OG0001549	LOC119078658|XP_037042167.1|BCOP	LOC119546049|XP_037708026.1|DSUP
OG0001550	LOC119067024|XP_037025651.1|BCOP	LOC119545815|XP_037707638.1|DSUP
OG0001551	LOC119068659|XP_037028230.1|BCOP	LOC119550944|XP_037715900.1|DSUP
OG0001552	LOC119069945|XP_037030067.1|BCOP	LOC119555610|XP_037723041.1|DSUP
OG0001553	LOC119068481|XP_037027987.1|BCOP, LOC119077795|XP_037041001.1|BCOP	LOC119557826|XP_037726712.1|DSUP
OG0001554	LOC119068534|XP_037028040.1|BCOP	LOC119553707|XP_037720216.1|DSUP
OG0001556	LOC119069503|XP_037029472.1|BCOP	LOC119551171|XP_037716297.1|DSUP
OG0001557	LOC119077131|XP_037040206.1|BCOP	LOC119556652|XP_037724915.1|DSUP
OG0001558	LOC119085650|XP_037051990.1|BCOP	LOC119556758|XP_037725107.1|DSUP
OG0001559	LOC119069552|XP_037029526.1|BCOP, LOC119067227|XP_037025974.1|BCOP	LOC119562489|XP_037731625.1|DSUP
OG0001560	LOC119070423|XP_037030655.1|BCOP	LOC119560312|XP_037729614.1|DSUP
OG0001561	LOC119078770|XP_037042373.1|BCOP	LOC119546430|XP_037708630.1|DSUP
OG0001562	LOC119073818|XP_037035490.1|BCOP	LOC119548055|XP_037711065.1|DSUP
OG0001563	LOC119067500|XP_037026402.1|BCOP	LOC119560136|XP_037729415.1|DSUP
OG0001564	LOC119067239|XP_037025996.1|BCOP	LOC119560709|XP_037730234.1|DSUP
OG0001565	LOC119067360|XP_037026166.1|BCOP	LOC119560023|XP_037729241.1|DSUP
OG0001566	LOC119067590|XP_037026583.1|BCOP	LOC119563053|XP_037732189.1|DSUP
OG0001567	LOC119085861|XP_037052270.1|BCOP	LOC119549912|XP_037714160.1|DSUP, LOC119552118|XP_037717832.1|DSUP
OG0001568	LOC119069780|XP_037029810.1|BCOP	LOC119545840|XP_037707730.1|DSUP
OG0001570	LOC119070649|XP_037030978.1|BCOP, LOC119070659|XP_037030988.1|BCOP, LOC119067461|XP_037026342.1|BCOP	LOC119551498|XP_037716795.1|DSUP, LOC119554596|XP_037721511.1|DSUP
OG0001571	LOC119066962|XP_037025589.1|BCOP	LOC119546662|XP_037709048.1|DSUP
OG0001572	LOC119073400|XP_037034725.1|BCOP	LOC119557746|XP_037726561.1|DSUP
OG0001573	LOC119082450|XP_037047868.1|BCOP, LOC119083348|XP_037048936.1|BCOP	LOC119552851|XP_037718653.1|DSUP
OG0001574	LOC119071041|XP_037031536.1|BCOP, LOC119073628|XP_037035113.1|BCOP	LOC119557457|XP_037726150.1|DSUP
OG0001575	LOC119070120|XP_037030329.1|BCOP, LOC119071146|XP_037031769.1|BCOP	LOC119562867|XP_037731909.1|DSUP
OG0001576	LOC119082146|XP_037047441.1|BCOP, LOC119084794|XP_037050755.1|BCOP	LOC119563371|XP_037732650.1|DSUP
OG0001577	LOC119076585|XP_037039324.1|BCOP	LOC119548644|XP_037711980.1|DSUP
OG0001578	LOC119066452|XP_037024848.1|BCOP, LOC119085051|XP_037051162.1|BCOP, LOC119085839|XP_037052237.1|BCOP, LOC119082619|XP_037048073.1|BCOP	LOC119550118|XP_037714528.1|DSUP
OG0001579	LOC119083540|XP_037049158.1|BCOP	LOC119558041|XP_037727116.1|DSUP
OG0001580	LOC119080394|XP_037044608.1|BCOP	LOC119549867|XP_037714091.1|DSUP
OG0001581	LOC119081125|XP_037045764.1|BCOP	LOC119558108|XP_037727261.1|DSUP, LOC119559340|XP_037728316.1|DSUP, LOC119546092|XP_037708100.1|DSUP
OG0001582	LOC119073350|XP_037034640.1|BCOP	LOC119551060|XP_037716109.1|DSUP, LOC119551255|XP_037716431.1|DSUP
OG0001584	LOC119074639|XP_037036814.1|BCOP, LOC119067311|XP_037026114.1|BCOP	LOC119553345|XP_037719609.1|DSUP
OG0001585	LOC119067960|XP_037027182.1|BCOP	LOC119558363|XP_037727795.1|DSUP
OG0001586	LOC119081213|XP_037045828.1|BCOP	LOC119552878|XP_037718706.1|DSUP
OG0001587	LOC119071784|XP_037032739.1|BCOP	LOC119561865|XP_037731273.1|DSUP
OG0001588	LOC119073902|XP_037035686.1|BCOP	LOC119551562|XP_037716888.1|DSUP
OG0001589	LOC119072887|XP_037034105.1|BCOP	LOC119562466|XP_037731581.1|DSUP, LOC119562468|XP_037731589.1|DSUP
OG0001590	LOC119071876|XP_037032846.1|BCOP	LOC119551897|XP_037717437.1|DSUP
OG0001591	LOC119082064|XP_037047296.1|BCOP	LOC119561055|XP_037730821.1|DSUP
OG0001592	LOC119066743|XP_037025260.1|BCOP	LOC119546495|XP_037708723.1|DSUP
OG0001593	LOC119066748|XP_037025272.1|BCOP, LOC119066741|XP_037025258.1|BCOP	LOC119548476|XP_037711672.1|DSUP
OG0001595	LOC119073618|XP_037035090.1|BCOP	LOC119550621|XP_037715379.1|DSUP
OG0001596	LOC119074048|XP_037035889.1|BCOP, LOC119082323|XP_037047717.1|BCOP, LOC119078412|XP_037041808.1|BCOP, LOC119077099|XP_037040151.1|BCOP	LOC119546956|XP_037709529.1|DSUP
OG0001597	LOC119081933|XP_037047081.1|BCOP	LOC119562367|XP_037731459.1|DSUP
OG0001598	LOC119081944|XP_037047103.1|BCOP	LOC119546396|XP_037708569.1|DSUP
OG0001599	LOC119077001|XP_037040003.1|BCOP	LOC119546301|XP_037708420.1|DSUP
OG0001601	LOC119078696|XP_037042253.1|BCOP	LOC119562630|XP_037731785.1|DSUP
OG0001602	LOC119085260|XP_037051503.1|BCOP	LOC119547523|XP_037710345.1|DSUP
OG0001603	LOC119072752|XP_037033933.1|BCOP, LOC119072750|XP_037033931.1|BCOP	LOC119547916|XP_037710884.1|DSUP
OG0001604	LOC119084493|XP_037050394.1|BCOP	LOC119556047|XP_037723768.1|DSUP
OG0001605	LOC119073863|XP_037035623.1|BCOP	LOC119550882|XP_037715797.1|DSUP
OG0001606	LOC119071515|XP_037032285.1|BCOP	LOC119562732|XP_037731862.1|DSUP
OG0001607	LOC119081917|XP_037047049.1|BCOP	LOC119547350|XP_037710093.1|DSUP
OG0001608	LOC119069430|XP_037029382.1|BCOP, LOC119070907|XP_037031331.1|BCOP	LOC119547001|XP_037709595.1|DSUP
OG0001609	LOC119080234|XP_037044376.1|BCOP	LOC119550665|XP_037715439.1|DSUP, LOC119550668|XP_037715441.1|DSUP, LOC119549602|XP_037713693.1|DSUP
OG0001610	LOC119085960|XP_037052411.1|BCOP	LOC119547635|XP_037710501.1|DSUP
OG0001611	LOC119078606|XP_037042095.1|BCOP	LOC119547077|XP_037709697.1|DSUP
OG0001612	LOC119068420|XP_037027884.1|BCOP, LOC119085336|XP_037051614.1|BCOP	LOC119547263|XP_037709972.1|DSUP
OG0001613	LOC119078421|XP_037041823.1|BCOP	LOC119547340|XP_037710079.1|DSUP
OG0001614	LOC119084837|XP_037050828.1|BCOP	LOC119550819|XP_037715689.1|DSUP
OG0001616	LOC119075332|XP_037037655.1|BCOP	LOC119546403|XP_037708589.1|DSUP
OG0001617	LOC119071474|XP_037032218.1|BCOP	LOC119546042|XP_037707990.1|DSUP
OG0001618	LOC119078628|XP_037042122.1|BCOP	LOC119547284|XP_037709996.1|DSUP
OG0001619	LOC119071103|XP_037031640.1|BCOP	LOC119548510|XP_037711725.1|DSUP
OG0001620	LOC119085342|XP_037051620.1|BCOP	LOC119551598|XP_037716928.1|DSUP
OG0001621	LOC119066774|XP_037025323.1|BCOP, LOC119080914|XP_037045424.1|BCOP, LOC119077640|XP_037040755.1|BCOP, LOC119070524|XP_037030795.1|BCOP, LOC119066295|XP_037024565.1|BCOP, LOC119083210|XP_037048772.1|BCOP	LOC119550978|XP_037715941.1|DSUP
OG0001622	LOC119068566|XP_037028089.1|BCOP	LOC119556117|XP_037723920.1|DSUP
OG0001623	LOC119083103|XP_037048625.1|BCOP, LOC119083105|XP_037048631.1|BCOP, LOC119083108|XP_037048635.1|BCOP	LOC119546563|XP_037708861.1|DSUP
OG0001624	LOC119085274|XP_037051523.1|BCOP, LOC119075636|XP_037038012.1|BCOP	LOC119546154|XP_037708191.1|DSUP
OG0001625	LOC119066260|XP_037024508.1|BCOP	LOC119546437|XP_037708635.1|DSUP
OG0001626	LOC119074811|XP_037036993.1|BCOP	LOC119548356|XP_037711499.1|DSUP
OG0001628	LOC119076696|XP_037039506.1|BCOP	LOC119553927|XP_037720547.1|DSUP
OG0001629	LOC119077391|XP_037040487.1|BCOP	LOC119553225|XP_037719413.1|DSUP
OG0001630	LOC119077822|XP_037041025.1|BCOP	LOC119563069|XP_037732212.1|DSUP
OG0001631	LOC119083402|XP_037049016.1|BCOP, LOC119076405|XP_037039027.1|BCOP	LOC119559927|XP_037729059.1|DSUP
OG0001632	LOC119068038|XP_037027298.1|BCOP, LOC119068036|XP_037027296.1|BCOP	LOC119547856|XP_037710815.1|DSUP
OG0001633	LOC119084121|XP_037049869.1|BCOP, LOC119077838|XP_037041049.1|BCOP	LOC119548253|XP_037711328.1|DSUP
OG0001634	LOC119073458|XP_037034849.1|BCOP, LOC119071722|XP_037032634.1|BCOP, LOC119085412|XP_037051717.1|BCOP	LOC119559042|XP_037728097.1|DSUP
OG0001635	LOC119073768|XP_037035330.1|BCOP	LOC119553322|XP_037719583.1|DSUP
OG0001636	LOC119066825|XP_037025377.1|BCOP, LOC119069449|XP_037029399.1|BCOP, LOC119086042|XP_037052511.1|BCOP	LOC119559951|XP_037729109.1|DSUP
OG0001637	LOC119072635|XP_037033773.1|BCOP, LOC119085107|XP_037051257.1|BCOP	LOC119548411|XP_037711582.1|DSUP
OG0001638	LOC119076967|XP_037039954.1|BCOP, LOC119073720|XP_037035241.1|BCOP	LOC119556278|XP_037724256.1|DSUP
OG0001639	LOC119076591|XP_037039330.1|BCOP	LOC119559407|XP_037728404.1|DSUP
OG0001640	LOC119076800|XP_037039659.1|BCOP	LOC119560088|XP_037729334.1|DSUP
OG0001641	LOC119083470|XP_037049086.1|BCOP, LOC119079711|XP_037043663.1|BCOP	LOC119555584|XP_037722990.1|DSUP
OG0001642	LOC119066090|XP_037024257.1|BCOP	LOC119558273|XP_037727574.1|DSUP
OG0001643	LOC119078224|XP_037041579.1|BCOP	LOC119548432|XP_037711606.1|DSUP
OG0001645	LOC119071400|XP_037032171.1|BCOP, LOC119071401|XP_037032172.1|BCOP	LOC119550463|XP_037715076.1|DSUP
OG0001646	LOC119071297|XP_037032066.1|BCOP, LOC119071313|XP_037032088.1|BCOP, LOC119071315|XP_037032093.1|BCOP, LOC119071414|XP_037032186.1|BCOP, LOC119071415|XP_037032187.1|BCOP, LOC119071312|XP_037032086.1|BCOP	LOC119552188|XP_037717963.1|DSUP
OG0001647	LOC119066071|XP_037024196.1|BCOP	LOC119550551|XP_037715210.1|DSUP
OG0001648	LOC119074220|XP_037036116.1|BCOP	LOC119554758|XP_037721713.1|DSUP
OG0001649	LOC119082638|XP_037048099.1|BCOP, LOC119082195|XP_037047524.1|BCOP	LOC119549800|XP_037713994.1|DSUP
OG0001650	LOC119085352|XP_037051622.1|BCOP	LOC119550313|XP_037714845.1|DSUP
OG0001651	LOC119081719|XP_037046753.1|BCOP	LOC119550210|XP_037714690.1|DSUP
OG0001652	LOC119070872|XP_037031280.1|BCOP	LOC119555519|XP_037722872.1|DSUP
OG0001653	LOC119071874|XP_037032844.1|BCOP	LOC119552993|XP_037718939.1|DSUP
OG0001654	LOC119069545|XP_037029520.1|BCOP	LOC119550233|XP_037714729.1|DSUP
OG0001655	LOC119077077|XP_037040131.1|BCOP, LOC119083695|XP_037049375.1|BCOP	LOC119551574|XP_037716902.1|DSUP
OG0001656	LOC119068316|XP_037027759.1|BCOP, LOC119067357|XP_037026162.1|BCOP, LOC119071770|XP_037032715.1|BCOP	LOC119548305|XP_037711405.1|DSUP
OG0001657	LOC119086068|XP_037052539.1|BCOP	LOC119554770|XP_037721739.1|DSUP
OG0001658	LOC119071227|XP_037031938.1|BCOP	LOC119554092|XP_037720768.1|DSUP
OG0001659	LOC119071248|XP_037031981.1|BCOP	LOC119553117|XP_037719227.1|DSUP
OG0001660	LOC119082328|XP_037047729.1|BCOP	LOC119555184|XP_037722364.1|DSUP
OG0001661	LOC119078813|XP_037042413.1|BCOP, LOC119085962|XP_037052414.1|BCOP	LOC119563340|XP_037732616.1|DSUP, LOC119559287|XP_037728292.1|DSUP
OG0001663	LOC119068581|XP_037028121.1|BCOP, LOC119068578|XP_037028118.1|BCOP	LOC119562987|XP_037732094.1|DSUP
OG0001678	LOC119084546|XP_037050454.1|BCOP, LOC119077826|XP_037041028.1|BCOP	LOC119555920|XP_037723546.1|DSUP
OG0001679	LOC119068406|XP_037027864.1|BCOP	LOC119557428|XP_037726108.1|DSUP
OG0001680	LOC119067812|XP_037026859.1|BCOP	LOC119556628|XP_037724879.1|DSUP
OG0001681	LOC119070363|XP_037030555.1|BCOP, LOC119076744|XP_037039584.1|BCOP	LOC119556546|XP_037724757.1|DSUP
OG0001682	LOC119085255|XP_037051487.1|BCOP, LOC119069413|XP_037029357.1|BCOP, LOC119078998|XP_037042658.1|BCOP	LOC119556526|XP_037724731.1|DSUP
OG0001683	LOC119070881|XP_037031295.1|BCOP	LOC119547693|XP_037710589.1|DSUP
OG0001684	LOC119077200|XP_037040276.1|BCOP, LOC119076428|XP_037039068.1|BCOP	LOC119563147|XP_037732374.1|DSUP
OG0001685	LOC119077691|XP_037040851.1|BCOP	LOC119547107|XP_037709745.1|DSUP
OG0001686	LOC119069627|XP_037029621.1|BCOP	LOC119557139|XP_037725649.1|DSUP
OG0001687	LOC119068651|XP_037028222.1|BCOP	LOC119557302|XP_037725940.1|DSUP
