Orthogroup	BCOP.longest_only	DSEC.longest_only
OG0001565	LOC119067360|XP_037026166.1|BCOP	LOC6607310|XP_032577806.1|DSEC
OG0001566	LOC119067590|XP_037026583.1|BCOP	LOC6606905|XP_002031699.1|DSEC
OG0001567	LOC119085861|XP_037052270.1|BCOP	LOC6608654|XP_002033388.1|DSEC
OG0001568	LOC119069780|XP_037029810.1|BCOP	LOC6606400|XP_032579137.1|DSEC
OG0001570	LOC119070649|XP_037030978.1|BCOP, LOC119070659|XP_037030988.1|BCOP, LOC119067461|XP_037026342.1|BCOP	LOC6606541|XP_002031342.1|DSEC
OG0001571	LOC119066962|XP_037025589.1|BCOP	LOC6611981|XP_032583112.1|DSEC
OG0001572	LOC119073400|XP_037034725.1|BCOP	LOC6617918|XP_002042226.1|DSEC
OG0001573	LOC119082450|XP_037047868.1|BCOP, LOC119083348|XP_037048936.1|BCOP	LOC6610826|XP_002035392.2|DSEC
OG0001574	LOC119071041|XP_037031536.1|BCOP, LOC119073628|XP_037035113.1|BCOP	LOC6615845|XP_032580246.1|DSEC
OG0001575	LOC119070120|XP_037030329.1|BCOP, LOC119071146|XP_037031769.1|BCOP	LOC6607704|XP_002032468.1|DSEC
OG0001576	LOC119082146|XP_037047441.1|BCOP, LOC119084794|XP_037050755.1|BCOP	LOC6606862|XP_002031656.1|DSEC
OG0001577	LOC119076585|XP_037039324.1|BCOP	LOC6612759|XP_032576594.1|DSEC
OG0001578	LOC119066452|XP_037024848.1|BCOP, LOC119085051|XP_037051162.1|BCOP, LOC119085839|XP_037052237.1|BCOP, LOC119082619|XP_037048073.1|BCOP	LOC6609801|XP_002034455.1|DSEC
OG0001579	LOC119083540|XP_037049158.1|BCOP	LOC116803113|XP_032582962.1|DSEC, LOC6615055|XP_032580390.1|DSEC
OG0001580	LOC119080394|XP_037044608.1|BCOP	LOC6608557|XP_032571031.1|DSEC, LOC116800703|XP_032573053.1|DSEC
OG0001581	LOC119081125|XP_037045764.1|BCOP	LOC6617466|XP_002041783.2|DSEC
OG0001582	LOC119073350|XP_037034640.1|BCOP	LOC6608860|XP_032571863.1|DSEC, LOC6608859|XP_032572212.1|DSEC
OG0001584	LOC119074639|XP_037036814.1|BCOP, LOC119067311|XP_037026114.1|BCOP	LOC6610241|XP_002034836.1|DSEC
OG0001585	LOC119067960|XP_037027182.1|BCOP	LOC6619895|XP_032580226.1|DSEC
OG0001586	LOC119081213|XP_037045828.1|BCOP	LOC6611138|XP_002035695.1|DSEC
OG0001587	LOC119071784|XP_037032739.1|BCOP	LOC6620406|XP_002044615.1|DSEC
OG0001588	LOC119073902|XP_037035686.1|BCOP	LOC6608038|XP_002032786.1|DSEC
OG0001589	LOC119072887|XP_037034105.1|BCOP	LOC6620745|XP_002044947.1|DSEC
OG0001590	LOC119071876|XP_037032846.1|BCOP	LOC6609935|XP_032572120.1|DSEC
OG0001591	LOC119082064|XP_037047296.1|BCOP	LOC6617947|XP_032580507.1|DSEC, LOC6620204|XP_002044411.2|DSEC, LOC6612686|XP_032577137.1|DSEC
OG0001592	LOC119066743|XP_037025260.1|BCOP	LOC6617753|XP_032576545.1|DSEC
OG0001593	LOC119066748|XP_037025272.1|BCOP, LOC119066741|XP_037025258.1|BCOP	LOC6617742|XP_002042054.1|DSEC
OG0001595	LOC119073618|XP_037035090.1|BCOP	LOC6608674|XP_032570831.1|DSEC
OG0001596	LOC119074048|XP_037035889.1|BCOP, LOC119082323|XP_037047717.1|BCOP, LOC119078412|XP_037041808.1|BCOP, LOC119077099|XP_037040151.1|BCOP	LOC6614708|XP_002039135.1|DSEC
OG0001597	LOC119081933|XP_037047081.1|BCOP	LOC116803617|XP_032583550.1|DSEC, LOC116803619|XP_032583557.1|DSEC, LOC116803612|XP_032583535.1|DSEC
OG0001598	LOC119081944|XP_037047103.1|BCOP	LOC6611259|XP_002035814.2|DSEC
OG0001599	LOC119077001|XP_037040003.1|BCOP	LOC6611443|XP_002035986.1|DSEC
OG0001601	LOC119078696|XP_037042253.1|BCOP	LOC6613583|XP_002038051.1|DSEC
OG0001602	LOC119085260|XP_037051503.1|BCOP	LOC6611809|XP_032574360.1|DSEC
OG0001603	LOC119072752|XP_037033933.1|BCOP, LOC119072750|XP_037033931.1|BCOP	LOC6611828|XP_002036350.1|DSEC
OG0001604	LOC119084493|XP_037050394.1|BCOP	LOC6612269|XP_032582174.1|DSEC
OG0001605	LOC119073863|XP_037035623.1|BCOP	LOC6608202|XP_002032947.1|DSEC
OG0001606	LOC119071515|XP_037032285.1|BCOP	LOC116800582|XP_032572236.1|DSEC
OG0001607	LOC119081917|XP_037047049.1|BCOP	LOC6614416|XP_002038849.1|DSEC
OG0001608	LOC119069430|XP_037029382.1|BCOP, LOC119070907|XP_037031331.1|BCOP	LOC116800459|XP_032571468.1|DSEC, LOC116800460|XP_032571478.1|DSEC, LOC6619342|XP_002043517.2|DSEC
OG0001609	LOC119080234|XP_037044376.1|BCOP	LOC6609275|XP_032571343.1|DSEC
OG0001610	LOC119085960|XP_037052411.1|BCOP	LOC6614768|XP_002039187.1|DSEC
OG0001611	LOC119078606|XP_037042095.1|BCOP	LOC6618194|XP_002042469.1|DSEC
OG0001612	LOC119068420|XP_037027884.1|BCOP, LOC119085336|XP_037051614.1|BCOP	LOC6611645|XP_002036181.1|DSEC
OG0001613	LOC119078421|XP_037041823.1|BCOP	LOC6621777|XP_032575672.1|DSEC
OG0001614	LOC119084837|XP_037050828.1|BCOP	LOC6608269|XP_032571892.1|DSEC
OG0001615	LOC119082410|XP_037047838.1|BCOP	LOC116800522|XP_032571843.1|DSEC
OG0001616	LOC119075332|XP_037037655.1|BCOP	LOC6617691|XP_002042003.1|DSEC
OG0001617	LOC119071474|XP_037032218.1|BCOP	LOC6614736|XP_032569984.1|DSEC
OG0001618	LOC119078628|XP_037042122.1|BCOP	LOC6611973|XP_002036490.2|DSEC
OG0001619	LOC119071103|XP_037031640.1|BCOP	LOC6611774|XP_002036297.1|DSEC
OG0001620	LOC119085342|XP_037051620.1|BCOP	LOC6615774|XP_032570297.1|DSEC
OG0001621	LOC119066774|XP_037025323.1|BCOP, LOC119080914|XP_037045424.1|BCOP, LOC119077640|XP_037040755.1|BCOP, LOC119070524|XP_037030795.1|BCOP, LOC119066295|XP_037024565.1|BCOP, LOC119083210|XP_037048772.1|BCOP	LOC6609364|XP_002034053.1|DSEC
OG0001622	LOC119068566|XP_037028089.1|BCOP	LOC6619768|XP_002043981.1|DSEC
OG0001623	LOC119083103|XP_037048625.1|BCOP, LOC119083105|XP_037048631.1|BCOP, LOC119083108|XP_037048635.1|BCOP	LOC6617260|XP_032574083.1|DSEC
OG0001624	LOC119085274|XP_037051523.1|BCOP, LOC119075636|XP_037038012.1|BCOP	LOC6613634|XP_002038104.1|DSEC
OG0001625	LOC119066260|XP_037024508.1|BCOP	LOC6619307|XP_002043524.1|DSEC
OG0001626	LOC119074811|XP_037036993.1|BCOP	LOC6611608|XP_002036145.1|DSEC
OG0001628	LOC119076696|XP_037039506.1|BCOP	LOC6617042|XP_002041370.1|DSEC
OG0001629	LOC119077391|XP_037040487.1|BCOP	LOC6620523|XP_032579279.1|DSEC
OG0001630	LOC119077822|XP_037041025.1|BCOP	LOC6607703|XP_002032467.1|DSEC
OG0001631	LOC119083402|XP_037049016.1|BCOP, LOC119076405|XP_037039027.1|BCOP	LOC6613845|XP_032578151.1|DSEC
OG0001632	LOC119068038|XP_037027298.1|BCOP, LOC119068036|XP_037027296.1|BCOP	LOC6611871|XP_002036389.1|DSEC
OG0001633	LOC119084121|XP_037049869.1|BCOP, LOC119077838|XP_037041049.1|BCOP	LOC6606812|XP_002031609.1|DSEC
OG0001634	LOC119073458|XP_037034849.1|BCOP, LOC119071722|XP_037032634.1|BCOP, LOC119085412|XP_037051717.1|BCOP	LOC116801437|XP_032576851.1|DSEC
OG0001635	LOC119073768|XP_037035330.1|BCOP	LOC6616993|XP_032578541.1|DSEC
OG0001637	LOC119072635|XP_037033773.1|BCOP, LOC119085107|XP_037051257.1|BCOP	LOC6607127|XP_002031915.1|DSEC
OG0001638	LOC119076967|XP_037039954.1|BCOP, LOC119073720|XP_037035241.1|BCOP	LOC6612441|XP_002036949.2|DSEC, LOC6616646|XP_002041003.1|DSEC, LOC6616130|XP_002040495.1|DSEC
OG0001639	LOC119076591|XP_037039330.1|BCOP	LOC6619141|XP_002043381.1|DSEC
OG0001640	LOC119076800|XP_037039659.1|BCOP	LOC6621645|XP_032577074.1|DSEC
OG0001641	LOC119083470|XP_037049086.1|BCOP, LOC119079711|XP_037043663.1|BCOP	LOC6606765|XP_002031562.1|DSEC
OG0001642	LOC119066090|XP_037024257.1|BCOP	LOC6620169|XP_002044380.1|DSEC
OG0001643	LOC119078224|XP_037041579.1|BCOP	LOC6611589|XP_002036126.1|DSEC
OG0001645	LOC119071400|XP_037032171.1|BCOP, LOC119071401|XP_037032172.1|BCOP	LOC6615476|XP_002039856.1|DSEC
OG0001646	LOC119071297|XP_037032066.1|BCOP, LOC119071313|XP_037032088.1|BCOP, LOC119071315|XP_037032093.1|BCOP, LOC119071414|XP_037032186.1|BCOP, LOC119071415|XP_037032187.1|BCOP, LOC119071312|XP_037032086.1|BCOP	LOC6609550|XP_032571493.1|DSEC
OG0001647	LOC119066071|XP_037024196.1|BCOP	LOC6607979|XP_032572871.1|DSEC
OG0001648	LOC119074220|XP_037036116.1|BCOP	LOC6605664|XP_032575123.1|DSEC
OG0001649	LOC119082638|XP_037048099.1|BCOP, LOC119082195|XP_037047524.1|BCOP	LOC6609118|XP_002033820.1|DSEC
OG0001650	LOC119085352|XP_037051622.1|BCOP	LOC6609916|XP_002034566.1|DSEC
OG0001651	LOC119081719|XP_037046753.1|BCOP	LOC6615580|XP_032573028.1|DSEC
OG0001652	LOC119070872|XP_037031280.1|BCOP	LOC6606138|XP_002030946.2|DSEC
OG0001653	LOC119071874|XP_037032844.1|BCOP	LOC6616492|XP_002040852.1|DSEC
OG0001654	LOC119069545|XP_037029520.1|BCOP	LOC6609634|XP_032572253.1|DSEC
OG0001655	LOC119077077|XP_037040131.1|BCOP, LOC119083695|XP_037049375.1|BCOP	LOC6608376|XP_002033112.1|DSEC
OG0001656	LOC119068316|XP_037027759.1|BCOP, LOC119067357|XP_037026162.1|BCOP, LOC119071770|XP_037032715.1|BCOP	LOC6613160|XP_032583324.1|DSEC
OG0001657	LOC119086068|XP_037052539.1|BCOP	LOC6605776|XP_002030591.1|DSEC
OG0001658	LOC119071227|XP_037031938.1|BCOP	LOC6605350|XP_002030184.1|DSEC
OG0001659	LOC119071248|XP_037031981.1|BCOP	LOC6605591|XP_002030410.1|DSEC
OG0001660	LOC119082328|XP_037047729.1|BCOP	LOC6610350|XP_002034936.1|DSEC
OG0001661	LOC119078813|XP_037042413.1|BCOP, LOC119085962|XP_037052414.1|BCOP	LOC6606906|XP_002031700.1|DSEC
OG0001663	LOC119068581|XP_037028121.1|BCOP, LOC119068578|XP_037028118.1|BCOP	LOC6606577|XP_032578803.1|DSEC
OG0001678	LOC119084546|XP_037050454.1|BCOP, LOC119077826|XP_037041028.1|BCOP	LOC6618088|XP_032580068.1|DSEC
OG0001679	LOC119068406|XP_037027864.1|BCOP	LOC6612326|XP_002036836.1|DSEC
OG0001680	LOC119067812|XP_037026859.1|BCOP	LOC6619002|XP_002043247.2|DSEC
OG0001681	LOC119070363|XP_037030555.1|BCOP, LOC119076744|XP_037039584.1|BCOP	LOC6617477|XP_032581702.1|DSEC
OG0001682	LOC119085255|XP_037051487.1|BCOP, LOC119069413|XP_037029357.1|BCOP, LOC119078998|XP_037042658.1|BCOP	LOC6614819|XP_002039238.1|DSEC
OG0001683	LOC119070881|XP_037031295.1|BCOP	LOC6611677|XP_032579879.1|DSEC
OG0001684	LOC119077200|XP_037040276.1|BCOP, LOC119076428|XP_037039068.1|BCOP	LOC6619460|XP_032579780.1|DSEC
OG0001685	LOC119077691|XP_037040851.1|BCOP	LOC6613681|XP_002038151.1|DSEC
OG0001686	LOC119069627|XP_037029621.1|BCOP	LOC116802218|XP_032581873.1|DSEC, LOC6614906|XP_032581874.1|DSEC
OG0001687	LOC119068651|XP_037028222.1|BCOP	LOC6615855|XP_032581108.1|DSEC
OG0001688	LOC119076000|XP_037038468.1|BCOP	LOC6612333|XP_002036843.1|DSEC, LOC6612334|XP_032581990.1|DSEC
OG0001689	LOC119075265|XP_037037557.1|BCOP, LOC119084308|XP_037050123.1|BCOP, LOC119069045|XP_037028810.1|BCOP	LOC6619907|XP_002044119.2|DSEC
OG0001690	LOC119080524|XP_037044829.1|BCOP	LOC6610924|XP_002035481.1|DSEC
OG0001691	LOC119077971|XP_037041247.1|BCOP	LOC6611585|XP_002036123.2|DSEC
OG0001693	LOC119069078|XP_037028850.1|BCOP	LOC6618663|XP_032581562.1|DSEC
OG0001694	LOC119069932|XP_037030051.1|BCOP	LOC6613741|XP_002038211.2|DSEC
OG0001695	LOC119067243|XP_037026004.1|BCOP	LOC6609825|XP_002034479.1|DSEC
OG0001696	LOC119067018|XP_037025641.1|BCOP	LOC6606977|XP_002031769.2|DSEC
OG0001697	LOC119067851|XP_037026983.1|BCOP	LOC6619639|XP_002043854.1|DSEC
OG0001698	LOC119068832|XP_037028497.1|BCOP	LOC6615098|XP_032580674.1|DSEC
OG0001699	LOC119067858|XP_037026990.1|BCOP	LOC6606944|XP_002031738.1|DSEC
OG0001700	LOC119077575|XP_037040681.1|BCOP, LOC119084064|XP_037049798.1|BCOP	LOC6607078|XP_002031866.1|DSEC
OG0001701	LOC119069177|XP_037028999.1|BCOP	LOC6614047|XP_032577458.1|DSEC
OG0001702	LOC119066373|XP_037024692.1|BCOP	LOC6611893|XP_002036410.1|DSEC
OG0001703	LOC119068930|XP_037028690.1|BCOP	LOC6607517|XP_002032286.2|DSEC
OG0001704	LOC119068928|XP_037028688.1|BCOP	LOC6607518|XP_002032287.2|DSEC
OG0001705	LOC119067910|XP_037027098.1|BCOP	LOC6612754|XP_032577008.1|DSEC
OG0001706	LOC119081527|XP_037046427.1|BCOP	LOC6619116|XP_002043356.1|DSEC
OG0001707	LOC119070533|XP_037030802.1|BCOP	LOC6607557|XP_032577104.1|DSEC
OG0001708	LOC119068790|XP_037028445.1|BCOP	LOC6606489|XP_002031290.1|DSEC
OG0001709	LOC119068970|XP_037028730.1|BCOP	LOC6610768|XP_002035334.1|DSEC
OG0001711	LOC119070360|XP_037030550.1|BCOP	LOC6607424|XP_032578696.1|DSEC
OG0001712	LOC119069168|XP_037028972.1|BCOP	LOC6607663|XP_032576830.1|DSEC
OG0001713	LOC119070411|XP_037030638.1|BCOP	LOC6606842|XP_002031639.2|DSEC
OG0001714	LOC119068105|XP_037027426.1|BCOP	LOC6613905|XP_032579215.1|DSEC
OG0001715	LOC119068244|XP_037027670.1|BCOP	LOC6618003|XP_002042311.2|DSEC
OG0001716	LOC119081196|XP_037045807.1|BCOP	LOC6620173|XP_002044384.1|DSEC
OG0001717	LOC119067038|XP_037025668.1|BCOP	LOC6612783|XP_032579054.1|DSEC
OG0001718	LOC119067040|XP_037025672.1|BCOP	LOC6607470|XP_032578573.1|DSEC
OG0001719	LOC119068687|XP_037028261.1|BCOP, LOC119068679|XP_037028259.1|BCOP	LOC6607563|XP_032576632.1|DSEC
OG0001720	LOC119070509|XP_037030762.1|BCOP	LOC6606915|XP_032578893.1|DSEC
OG0001721	LOC119067428|XP_037026293.1|BCOP	LOC6607294|XP_002032073.1|DSEC
OG0001722	LOC119074593|XP_037036734.1|BCOP	LOC6605862|XP_032573859.1|DSEC
OG0001723	LOC119083678|XP_037049357.1|BCOP	LOC6619122|XP_002043362.1|DSEC
OG0001724	LOC119074111|XP_037035969.1|BCOP	LOC6615381|XP_032572247.1|DSEC
OG0001725	LOC119073997|XP_037035821.1|BCOP	LOC6608464|XP_032572309.1|DSEC
OG0001726	LOC119073360|XP_037034663.1|BCOP	LOC6616370|XP_002040730.1|DSEC
OG0001727	LOC119070539|XP_037030810.1|BCOP	LOC6607454|XP_002032223.1|DSEC
OG0001728	LOC119076376|XP_037038987.1|BCOP, LOC119081678|XP_037046662.1|BCOP	LOC6608724|XP_002033448.1|DSEC
OG0001729	LOC119079298|XP_037042980.1|BCOP	LOC6618921|XP_032571585.1|DSEC
OG0001730	LOC119085974|XP_037052431.1|BCOP	LOC6617702|XP_002042014.2|DSEC
OG0001731	LOC119077466|XP_037040571.1|BCOP	LOC6608942|XP_032571686.1|DSEC
OG0001733	LOC119083620|XP_037049252.1|BCOP, LOC119083619|XP_037049251.1|BCOP	LOC6615345|XP_002039743.1|DSEC
OG0001734	LOC119075456|XP_037037792.1|BCOP, LOC119070476|XP_037030728.1|BCOP	LOC6608281|XP_032571568.1|DSEC
OG0001735	LOC119073264|XP_037034537.1|BCOP	LOC116801097|XP_032574602.1|DSEC
OG0001736	LOC119080231|XP_037044373.1|BCOP	LOC6609855|XP_032570861.1|DSEC
OG0001737	LOC119080960|XP_037045487.1|BCOP	LOC6615756|XP_002040127.2|DSEC
OG0001738	LOC119080843|XP_037045298.1|BCOP	LOC6606067|XP_002030877.1|DSEC
OG0001739	LOC119080808|XP_037045274.1|BCOP	LOC116801613|XP_032578125.1|DSEC
OG0001740	LOC119075498|XP_037037858.1|BCOP, LOC119070240|XP_037030407.1|BCOP	LOC6615698|XP_002040069.2|DSEC
OG0001742	LOC119080199|XP_037044335.1|BCOP	LOC6608466|XP_002033200.2|DSEC
OG0001743	LOC119076138|XP_037038711.1|BCOP	LOC6610394|XP_032575531.1|DSEC
OG0001744	LOC119079410|XP_037043196.1|BCOP	LOC6607885|XP_032570103.1|DSEC
OG0001745	LOC119081729|XP_037046785.1|BCOP	LOC6615591|XP_032572070.1|DSEC
OG0001746	LOC119085490|XP_037051801.1|BCOP	LOC6605173|XP_002030012.1|DSEC
OG0001747	LOC119079630|XP_037043520.1|BCOP	LOC6609700|XP_032571896.1|DSEC
OG0001748	LOC119081126|XP_037045765.1|BCOP	LOC6604950|XP_032575291.1|DSEC
OG0001749	LOC119079661|XP_037043605.1|BCOP	LOC6618838|XP_002043087.1|DSEC
OG0001750	LOC119079658|XP_037043596.1|BCOP	LOC6618836|XP_032571987.1|DSEC
OG0001751	LOC119080835|XP_037045288.1|BCOP	LOC6606077|XP_032575183.1|DSEC
OG0001752	LOC119080955|XP_037045480.1|BCOP	LOC6610938|XP_002035495.1|DSEC
OG0001753	LOC119073253|XP_037034509.1|BCOP	LOC6610644|XP_032573611.1|DSEC
OG0001754	LOC119073323|XP_037034608.1|BCOP	LOC6608875|XP_002033589.1|DSEC
OG0001755	LOC119076046|XP_037038572.1|BCOP	LOC6610654|XP_032575320.1|DSEC
OG0001756	LOC119074519|XP_037036577.1|BCOP	LOC6609372|XP_032573040.1|DSEC
OG0001757	LOC119074147|XP_037036042.1|BCOP	LOC6609792|XP_002034446.1|DSEC
OG0001758	LOC119080723|XP_037045104.1|BCOP	LOC6605599|XP_032573278.1|DSEC
OG0001759	LOC119073603|XP_037035073.1|BCOP	LOC6609590|XP_002034267.1|DSEC
OG0001760	LOC119074615|XP_037036773.1|BCOP	LOC6608315|XP_002033052.1|DSEC
OG0001761	LOC119073322|XP_037034606.1|BCOP	LOC6615343|XP_032570221.1|DSEC
OG0001762	LOC119066255|XP_037024487.1|BCOP	LOC6611428|XP_002035972.2|DSEC
OG0001763	LOC119080693|XP_037045035.1|BCOP, LOC119066128|XP_037024312.1|BCOP	LOC6611454|XP_032578141.1|DSEC
OG0001764	LOC119084901|XP_037050950.1|BCOP	LOC6616871|XP_002041207.1|DSEC
OG0001765	LOC119073248|XP_037034476.1|BCOP	LOC6608363|XP_032572939.1|DSEC
OG0001766	LOC119083409|XP_037049024.1|BCOP, LOC119082183|XP_037047494.1|BCOP, LOC119082515|XP_037047922.1|BCOP	LOC6611719|XP_002036252.1|DSEC
OG0001767	LOC119084667|XP_037050638.1|BCOP	LOC6613220|XP_002037698.2|DSEC
OG0001768	LOC119069042|XP_037028808.1|BCOP	LOC6617251|XP_002041578.1|DSEC
OG0001769	LOC119082055|XP_037047282.1|BCOP	LOC6613541|XP_002038009.2|DSEC
OG0001770	LOC119073705|XP_037035204.1|BCOP, LOC119083728|XP_037049425.1|BCOP, LOC119067046|XP_037025684.1|BCOP	LOC6612075|XP_002036592.1|DSEC
OG0001771	LOC119070858|XP_037031266.1|BCOP	LOC6621141|XP_002045320.1|DSEC
OG0001772	LOC119078700|XP_037042258.1|BCOP, LOC119078699|XP_037042257.1|BCOP	LOC6611964|XP_002036481.1|DSEC
OG0001773	LOC119082576|XP_037047996.1|BCOP	LOC6611900|XP_032582892.1|DSEC
OG0001774	LOC119083129|XP_037048660.1|BCOP, LOC119079737|XP_037043697.1|BCOP	LOC6618876|XP_002043124.2|DSEC
OG0001776	LOC119073579|XP_037035043.1|BCOP, LOC119067408|XP_037026250.1|BCOP, LOC119076524|XP_037039205.1|BCOP	LOC6611398|XP_032569881.1|DSEC
OG0001777	LOC119078707|XP_037042271.1|BCOP	LOC6611527|XP_002036068.1|DSEC
OG0001778	LOC119079060|XP_037042761.1|BCOP	LOC6613687|XP_002038157.1|DSEC
OG0001779	LOC119075648|XP_037038030.1|BCOP	LOC6611912|XP_032569873.1|DSEC
OG0001780	LOC119081661|XP_037046639.1|BCOP	LOC6619124|XP_032570511.1|DSEC
OG0001781	LOC119085957|XP_037052409.1|BCOP	LOC6614767|XP_032582941.1|DSEC
OG0001782	LOC119072880|XP_037034088.1|BCOP	LOC6617880|XP_002042188.2|DSEC
OG0001783	LOC119076346|XP_037038936.1|BCOP	LOC6611759|XP_002036282.1|DSEC
OG0001784	LOC119082062|XP_037047291.1|BCOP	LOC6617389|XP_002041714.1|DSEC
OG0001785	LOC119081413|XP_037046205.1|BCOP, LOC119083653|XP_037049324.1|BCOP	LOC6608371|XP_002033107.1|DSEC
OG0001786	LOC119085436|XP_037051749.1|BCOP	LOC6611504|XP_002036045.1|DSEC
OG0001787	LOC119066153|XP_037024350.1|BCOP	LOC6611506|XP_032575646.1|DSEC
OG0001788	LOC119084388|XP_037050251.1|BCOP	LOC6609060|XP_002033763.1|DSEC
OG0001789	LOC119079846|XP_037043808.1|BCOP	LOC6615650|XP_002040021.1|DSEC
OG0001790	LOC119076539|XP_037039228.1|BCOP, LOC119082236|XP_037047594.1|BCOP	LOC6611523|XP_032570130.1|DSEC
OG0001791	LOC119081629|XP_037046575.1|BCOP	LOC6608679|XP_002033408.1|DSEC
OG0001792	LOC119078851|XP_037042455.1|BCOP	LOC6614589|XP_032580535.1|DSEC
OG0001793	LOC119073435|XP_037034811.1|BCOP	LOC6609124|XP_032570503.1|DSEC
OG0001794	LOC119066773|XP_037025321.1|BCOP	LOC6613688|XP_032583463.1|DSEC
OG0001795	LOC119072041|XP_037033055.1|BCOP	LOC6614395|XP_032583523.1|DSEC
OG0001796	LOC119069660|XP_037029673.1|BCOP	LOC6618000|XP_002042308.1|DSEC
OG0001797	LOC119081026|XP_037045607.1|BCOP	LOC6619447|XP_002043661.2|DSEC
OG0001799	LOC119084672|XP_037050644.1|BCOP	LOC6615191|XP_002039604.1|DSEC, LOC116802026|XP_032580782.1|DSEC
OG0001800	LOC119074840|XP_037037041.1|BCOP, LOC119078739|XP_037042328.1|BCOP	LOC6611533|XP_002036072.2|DSEC
OG0001801	LOC119070239|XP_037030404.1|BCOP, LOC119083377|XP_037048986.1|BCOP, LOC119075132|XP_037037412.1|BCOP	LOC6605091|XP_032573929.1|DSEC
OG0001802	LOC119077578|XP_037040683.1|BCOP	LOC6607229|XP_002032013.2|DSEC
OG0001803	LOC119074668|XP_037036845.1|BCOP	LOC6614330|XP_002038770.1|DSEC
OG0001804	LOC119074411|XP_037036433.1|BCOP	LOC6613962|XP_032576862.1|DSEC
OG0001805	LOC119083334|XP_037048955.1|BCOP, LOC119076508|XP_037039185.1|BCOP, LOC119083881|XP_037049590.1|BCOP	LOC6604853|XP_032575508.1|DSEC
OG0001806	LOC119077764|XP_037040969.1|BCOP	LOC6607764|XP_002032527.1|DSEC
OG0001807	LOC119074311|XP_037036254.1|BCOP	LOC6606286|XP_032576737.1|DSEC
OG0001808	LOC119067233|XP_037025988.1|BCOP	LOC6606820|XP_032576925.1|DSEC
OG0001809	LOC119084084|XP_037049815.1|BCOP	LOC6613849|XP_002038318.2|DSEC
OG0001810	LOC119075999|XP_037038466.1|BCOP	LOC6607539|XP_002032308.1|DSEC
OG0001811	LOC119083150|XP_037048690.1|BCOP	LOC6608103|XP_002032851.1|DSEC
OG0001812	LOC119076651|XP_037039429.1|BCOP	LOC6614995|XP_032581492.1|DSEC
OG0001813	LOC119076005|XP_037038475.1|BCOP	LOC6619064|XP_032576515.1|DSEC
OG0001814	LOC119072241|XP_037033312.1|BCOP, LOC119067977|XP_037027223.1|BCOP, LOC119067968|XP_037027201.1|BCOP	LOC6614299|XP_002038739.1|DSEC
OG0001815	LOC119074471|XP_037036508.1|BCOP	LOC6613989|XP_002038445.1|DSEC
OG0001816	LOC119078718|XP_037042286.1|BCOP	LOC6609026|XP_002033730.1|DSEC
OG0001817	LOC119074379|XP_037036385.1|BCOP	LOC6621152|XP_032571407.1|DSEC
OG0001818	LOC119074284|XP_037036198.1|BCOP	LOC6617615|XP_032581450.1|DSEC
OG0001819	LOC119070039|XP_037030218.1|BCOP	LOC6615490|XP_002039870.1|DSEC
OG0001820	LOC119078953|XP_037042596.1|BCOP	LOC6618977|XP_002043222.2|DSEC
OG0001821	LOC119083186|XP_037048743.1|BCOP	LOC6618857|XP_002043105.1|DSEC
OG0001822	LOC119070878|XP_037031291.1|BCOP, LOC119082020|XP_037047233.1|BCOP	LOC6615614|XP_002039988.1|DSEC
OG0001823	LOC119072464|XP_037033583.1|BCOP	LOC6605231|XP_002030069.1|DSEC
OG0001824	LOC119077697|XP_037040864.1|BCOP, LOC119077718|XP_037040895.1|BCOP, LOC119077696|XP_037040863.1|BCOP	LOC6617401|XP_002041726.2|DSEC
OG0001825	LOC119072845|XP_037034052.1|BCOP	LOC6609964|XP_032572454.1|DSEC
OG0001826	LOC119071288|XP_037032053.1|BCOP	LOC6608564|XP_002033298.1|DSEC
OG0001827	LOC119072658|XP_037033808.1|BCOP, LOC119068437|XP_037027904.1|BCOP	LOC6609541|XP_002034224.2|DSEC
OG0001828	LOC119071869|XP_037032826.1|BCOP	LOC6618681|XP_002042940.2|DSEC
OG0001829	LOC119072596|XP_037033746.1|BCOP	LOC6608753|XP_032571787.1|DSEC
OG0001830	LOC119082400|XP_037047826.1|BCOP, LOC119070530|XP_037030799.1|BCOP	LOC6615644|XP_002040018.1|DSEC
OG0001831	LOC119084778|XP_037050735.1|BCOP	LOC6606148|XP_032574319.1|DSEC
OG0001832	LOC119084082|XP_037049813.1|BCOP	LOC6612303|XP_002036813.2|DSEC
OG0001833	LOC119076942|XP_037039888.1|BCOP	LOC6615809|XP_002040179.2|DSEC
OG0001834	LOC119069690|XP_037029711.1|BCOP, LOC119067248|XP_037026012.1|BCOP	LOC6606340|XP_002031145.1|DSEC
OG0001838	LOC119075784|XP_037038244.1|BCOP	LOC6608990|XP_002033703.1|DSEC
OG0001848	LOC119068234|XP_037027645.1|BCOP	LOC116800890|XP_032573143.1|DSEC
OG0001849	LOC119067444|XP_037026319.1|BCOP	LOC6607648|XP_002032413.1|DSEC
OG0001850	LOC119085077|XP_037051212.1|BCOP, LOC119083087|XP_037048601.1|BCOP	LOC6619486|XP_002043701.2|DSEC
OG0001851	LOC119085003|XP_037051069.1|BCOP	LOC6619463|XP_032579706.1|DSEC
OG0001852	LOC119071421|XP_037032192.1|BCOP	LOC6610183|XP_032573665.1|DSEC
