Orthogroup	BCOP.longest_only	DKIK.longest_only
OG0001773	LOC119082576|XP_037047996.1|BCOP	LOC108082059|XP_017032826.1|DKIK
OG0001774	LOC119083129|XP_037048660.1|BCOP, LOC119079737|XP_037043697.1|BCOP	LOC108074744|XP_017022406.1|DKIK
OG0001776	LOC119073579|XP_037035043.1|BCOP, LOC119067408|XP_037026250.1|BCOP, LOC119076524|XP_037039205.1|BCOP	LOC108082809|XP_017033857.1|DKIK
OG0001777	LOC119078707|XP_037042271.1|BCOP	LOC108072859|XP_017019664.1|DKIK
OG0001778	LOC119079060|XP_037042761.1|BCOP	LOC108072554|XP_017019219.1|DKIK
OG0001779	LOC119075648|XP_037038030.1|BCOP	LOC108081958|XP_017032682.1|DKIK
OG0001780	LOC119081661|XP_037046639.1|BCOP	LOC108070938|XP_017017081.1|DKIK
OG0001781	LOC119085957|XP_037052409.1|BCOP	LOC108077492|XP_017026305.1|DKIK, LOC108072622|XP_017019337.1|DKIK
OG0001782	LOC119072880|XP_037034088.1|BCOP	LOC108086222|XP_017038581.1|DKIK
OG0001783	LOC119076346|XP_037038936.1|BCOP	LOC108076342|XP_017024621.1|DKIK
OG0001784	LOC119082062|XP_037047291.1|BCOP	LOC108081397|XP_017032046.1|DKIK
OG0001785	LOC119081413|XP_037046205.1|BCOP, LOC119083653|XP_037049324.1|BCOP	LOC108078101|XP_017027191.1|DKIK
OG0001786	LOC119085436|XP_037051749.1|BCOP	LOC108072855|XP_017019658.1|DKIK
OG0001787	LOC119066153|XP_037024350.1|BCOP	LOC108072853|XP_017019657.1|DKIK
OG0001788	LOC119084388|XP_037050251.1|BCOP	LOC108079843|XP_017029842.1|DKIK
OG0001789	LOC119079846|XP_037043808.1|BCOP	LOC108072366|XP_017018949.1|DKIK
OG0001790	LOC119076539|XP_037039228.1|BCOP, LOC119082236|XP_037047594.1|BCOP	LOC108072828|XP_017019608.1|DKIK
OG0001791	LOC119081629|XP_037046575.1|BCOP	LOC108073073|XP_017020028.1|DKIK, LOC108076388|XP_017024714.1|DKIK, LOC108073101|XP_017020080.1|DKIK
OG0001792	LOC119078851|XP_037042455.1|BCOP	LOC108079641|XP_017029517.1|DKIK
OG0001793	LOC119073435|XP_037034811.1|BCOP	LOC108074730|XP_017022376.1|DKIK
OG0001794	LOC119066773|XP_037025321.1|BCOP	LOC108072555|XP_017019220.1|DKIK
OG0001795	LOC119072041|XP_037033055.1|BCOP	LOC108072522|XP_017019182.1|DKIK
OG0001796	LOC119069660|XP_037029673.1|BCOP	LOC108076687|XP_017025131.1|DKIK
OG0001797	LOC119081026|XP_037045607.1|BCOP	LOC108072469|XP_017019115.1|DKIK
OG0001799	LOC119084672|XP_037050644.1|BCOP	LOC108074135|XP_017021523.1|DKIK
OG0001800	LOC119074840|XP_037037041.1|BCOP, LOC119078739|XP_037042328.1|BCOP	LOC108072866|XP_017019672.1|DKIK
OG0001801	LOC119070239|XP_037030404.1|BCOP, LOC119083377|XP_037048986.1|BCOP, LOC119075132|XP_037037412.1|BCOP	LOC108078856|XP_017028449.1|DKIK
OG0001802	LOC119077578|XP_037040683.1|BCOP	LOC108085465|XP_017037571.1|DKIK
OG0001803	LOC119074668|XP_037036845.1|BCOP	LOC108084125|XP_017035652.1|DKIK
OG0001804	LOC119074411|XP_037036433.1|BCOP	LOC108075524|XP_017023508.1|DKIK
OG0001805	LOC119083334|XP_037048955.1|BCOP, LOC119076508|XP_037039185.1|BCOP, LOC119083881|XP_037049590.1|BCOP	LOC108071964|XP_017018429.1|DKIK
OG0001806	LOC119077764|XP_037040969.1|BCOP	LOC108073239|XP_017020280.1|DKIK
OG0001807	LOC119074311|XP_037036254.1|BCOP	LOC108084233|XP_017035846.1|DKIK
OG0001808	LOC119067233|XP_037025988.1|BCOP	LOC108085690|XP_017037886.1|DKIK
OG0001809	LOC119084084|XP_037049815.1|BCOP	LOC108080770|XP_017031121.1|DKIK
OG0001810	LOC119075999|XP_037038466.1|BCOP	LOC108071255|XP_017017431.1|DKIK
OG0001811	LOC119083150|XP_037048690.1|BCOP	LOC108076828|XP_017025351.1|DKIK
OG0001812	LOC119076651|XP_037039429.1|BCOP	LOC108083583|XP_017034932.1|DKIK, LOC108079394|XP_017029206.1|DKIK
OG0001813	LOC119076005|XP_037038475.1|BCOP	LOC108084360|XP_017036014.1|DKIK
OG0001814	LOC119072241|XP_037033312.1|BCOP, LOC119067977|XP_037027223.1|BCOP, LOC119067968|XP_037027201.1|BCOP	LOC108081141|XP_017031665.1|DKIK
OG0001815	LOC119074471|XP_037036508.1|BCOP	LOC108084381|XP_017036062.1|DKIK
OG0001816	LOC119078718|XP_037042286.1|BCOP	LOC108080860|XP_017031253.1|DKIK
OG0001817	LOC119074379|XP_037036385.1|BCOP	LOC108078520|XP_017027915.1|DKIK
OG0001818	LOC119074284|XP_037036198.1|BCOP	LOC108084491|XP_017036217.1|DKIK
OG0001819	LOC119070039|XP_037030218.1|BCOP	LOC108085164|XP_017037188.1|DKIK
OG0001820	LOC119078953|XP_037042596.1|BCOP	LOC108079418|XP_017029234.1|DKIK
OG0001821	LOC119083186|XP_037048743.1|BCOP	LOC108076527|XP_017024928.1|DKIK
OG0001822	LOC119070878|XP_037031291.1|BCOP, LOC119082020|XP_037047233.1|BCOP	LOC108076253|XP_017024492.1|DKIK
OG0001823	LOC119072464|XP_037033583.1|BCOP	LOC108083146|XP_017034317.1|DKIK
OG0001824	LOC119077697|XP_037040864.1|BCOP, LOC119077718|XP_037040895.1|BCOP, LOC119077696|XP_037040863.1|BCOP	LOC108072623|XP_017019341.1|DKIK
OG0001825	LOC119072845|XP_037034052.1|BCOP	LOC108082088|XP_017032873.1|DKIK, LOC108076685|XP_017025122.1|DKIK
OG0001826	LOC119071288|XP_037032053.1|BCOP	LOC108078548|XP_017027953.1|DKIK
OG0001827	LOC119072658|XP_037033808.1|BCOP, LOC119068437|XP_037027904.1|BCOP	LOC108076265|XP_017024502.1|DKIK
OG0001828	LOC119071869|XP_037032826.1|BCOP	LOC108083831|XP_017035292.1|DKIK
OG0001829	LOC119072596|XP_037033746.1|BCOP	LOC108082333|XP_017033152.1|DKIK
OG0001830	LOC119082400|XP_037047826.1|BCOP, LOC119070530|XP_037030799.1|BCOP	LOC108086141|XP_017038486.1|DKIK
OG0001831	LOC119084778|XP_037050735.1|BCOP	LOC108080601|XP_017030909.1|DKIK
OG0001832	LOC119084082|XP_037049813.1|BCOP	LOC108071202|XP_017017372.1|DKIK
OG0001833	LOC119076942|XP_037039888.1|BCOP	LOC108071991|XP_017018454.1|DKIK
OG0001834	LOC119069690|XP_037029711.1|BCOP, LOC119067248|XP_037026012.1|BCOP	LOC108075532|XP_017023518.1|DKIK
OG0001838	LOC119075784|XP_037038244.1|BCOP	LOC108070809|XP_017016899.1|DKIK, LOC108083769|XP_017035183.1|DKIK, LOC108070910|XP_017017054.1|DKIK, LOC108070745|XP_017016830.1|DKIK
OG0001848	LOC119068234|XP_037027645.1|BCOP	LOC108081262|XP_017031848.1|DKIK, LOC108075353|XP_017023250.1|DKIK
OG0001849	LOC119067444|XP_037026319.1|BCOP	LOC108084578|XP_017036341.1|DKIK
OG0001850	LOC119085077|XP_037051212.1|BCOP, LOC119083087|XP_037048601.1|BCOP	LOC108084518|XP_017036241.1|DKIK
OG0001851	LOC119085003|XP_037051069.1|BCOP	LOC108082645|XP_017033607.1|DKIK
OG0001852	LOC119071421|XP_037032192.1|BCOP	LOC108078668|XP_017028092.1|DKIK
OG0001853	LOC119085625|XP_037051944.1|BCOP, LOC119085682|XP_037052024.1|BCOP	LOC108085576|XP_017037704.1|DKIK
OG0001854	LOC119073386|XP_037034707.1|BCOP	LOC108085067|XP_017037022.1|DKIK
OG0001855	LOC119083430|XP_037049050.1|BCOP	LOC108076147|XP_017024363.1|DKIK
OG0001856	LOC119069649|XP_037029667.1|BCOP	LOC108083789|XP_017035203.1|DKIK
OG0001857	LOC119068857|XP_037028587.1|BCOP	LOC108080163|XP_017030295.1|DKIK
OG0001858	LOC119068402|XP_037027856.1|BCOP	LOC108082959|XP_017034065.1|DKIK
OG0001859	LOC119081671|XP_037046649.1|BCOP	LOC108084640|XP_017036420.1|DKIK
OG0001860	LOC119076117|XP_037038674.1|BCOP	LOC108080685|XP_017031007.1|DKIK
OG0001861	LOC119068190|XP_037027583.1|BCOP	LOC108073434|XP_017020585.1|DKIK
OG0001862	LOC119068469|XP_037027961.1|BCOP	LOC108074190|XP_017021621.1|DKIK
OG0001863	LOC119068016|XP_037027270.1|BCOP	LOC108080124|XP_017030244.1|DKIK
OG0001864	LOC119084883|XP_037050927.1|BCOP	LOC108075489|XP_017023433.1|DKIK
OG0001865	LOC119068623|XP_037028184.1|BCOP	LOC108076631|XP_017025050.1|DKIK
OG0001866	LOC119068120|XP_037027468.1|BCOP	LOC108081235|XP_017031806.1|DKIK
OG0001867	LOC119081267|XP_037045904.1|BCOP	LOC108071914|XP_017018350.1|DKIK
OG0001868	LOC119067265|XP_037026038.1|BCOP, LOC119067123|XP_037025792.1|BCOP, LOC119078561|XP_037042024.1|BCOP	LOC108073623|XP_017020812.1|DKIK
OG0001869	LOC119074368|XP_037036368.1|BCOP, LOC119074367|XP_037036366.1|BCOP, LOC119074366|XP_037036364.1|BCOP	LOC108071259|XP_017017434.1|DKIK
OG0001870	LOC119070614|XP_037030937.1|BCOP	LOC108084466|XP_017036166.1|DKIK
OG0001872	LOC119070096|XP_037030304.1|BCOP	LOC108073744|XP_017020996.1|DKIK
OG0001873	LOC119069539|XP_037029511.1|BCOP	LOC108073462|XP_017020587.1|DKIK
OG0001874	LOC119068632|XP_037028197.1|BCOP	LOC108073414|XP_017020508.1|DKIK
OG0001875	LOC119069327|XP_037029280.1|BCOP	LOC108073674|XP_017020889.1|DKIK
OG0001876	LOC119068436|XP_037027902.1|BCOP	LOC108084712|XP_017036536.1|DKIK, LOC108084514|XP_017036239.1|DKIK
OG0001877	LOC119079092|XP_037042804.1|BCOP, LOC119078455|XP_037041881.1|BCOP	LOC108078988|XP_017028652.1|DKIK
OG0001878	LOC119069846|XP_037029911.1|BCOP, LOC119069844|XP_037029908.1|BCOP	LOC108074103|XP_017021490.1|DKIK
OG0001879	LOC119068334|XP_037027784.1|BCOP	LOC108073545|XP_017020717.1|DKIK
OG0001880	LOC119067915|XP_037027111.1|BCOP	LOC108084625|XP_017036402.1|DKIK
OG0001881	LOC119069356|XP_037029324.1|BCOP	LOC108084096|XP_017035612.1|DKIK
OG0001882	LOC119069099|XP_037028886.1|BCOP	LOC108085050|XP_017036999.1|DKIK
OG0001883	LOC119067716|XP_037026727.1|BCOP	LOC108071294|XP_017017482.1|DKIK
OG0001884	LOC119069433|XP_037029385.1|BCOP	LOC108071317|XP_017017514.1|DKIK
OG0001884	LOC119077272|XP_037040314.1|BCOP	LOC108081610|XP_017032318.1|DKIK
OG0001885	LOC119080560|XP_037044870.1|BCOP	LOC108082240|XP_017033066.1|DKIK
OG0001886	LOC119085717|XP_037052061.1|BCOP	LOC108073418|XP_017020525.1|DKIK
OG0001887	LOC119085543|XP_037051856.1|BCOP	LOC108078247|XP_017027459.1|DKIK
OG0001888	LOC119067103|XP_037025761.1|BCOP	LOC108075589|XP_017023599.1|DKIK
OG0001889	LOC119067521|XP_037026443.1|BCOP	LOC108074160|XP_017021558.1|DKIK
OG0001890	LOC119079313|XP_037043002.1|BCOP, LOC119079311|XP_037043001.1|BCOP	LOC108075070|XP_017022840.1|DKIK
OG0001891	LOC119067582|XP_037026572.1|BCOP	LOC108084021|XP_017035522.1|DKIK
OG0001892	LOC119075316|XP_037037631.1|BCOP	LOC108079921|XP_017029943.1|DKIK, LOC108073953|XP_017021267.1|DKIK
OG0001893	LOC119067846|XP_037026973.1|BCOP	LOC108083981|XP_017035481.1|DKIK
OG0001894	LOC119080082|XP_037044198.1|BCOP	LOC108076730|XP_017025197.1|DKIK
OG0001895	LOC119080999|XP_037045562.1|BCOP	LOC108072470|XP_017019116.1|DKIK
OG0001897	LOC119067082|XP_037025726.1|BCOP	LOC108075601|XP_017023612.1|DKIK
OG0001898	LOC119069834|XP_037029897.1|BCOP	LOC108083562|XP_017034906.1|DKIK
OG0001899	LOC119069346|XP_037029311.1|BCOP	LOC108085725|XP_017037938.1|DKIK
OG0001900	LOC119084482|XP_037050365.1|BCOP, LOC119084090|XP_037049822.1|BCOP	LOC108083250|XP_017034445.1|DKIK, LOC108083249|XP_017034443.1|DKIK
OG0001901	LOC119068227|XP_037027630.1|BCOP	LOC108075966|XP_017024107.1|DKIK
OG0001902	LOC119069170|XP_037028975.1|BCOP	LOC108084499|XP_017036226.1|DKIK
OG0001903	LOC119066507|XP_037024912.1|BCOP	LOC108077627|XP_017026526.1|DKIK
OG0001904	LOC119080209|XP_037044342.1|BCOP, LOC119067074|XP_037025701.1|BCOP, LOC119074193|XP_037036081.1|BCOP	LOC108084164|XP_017035732.1|DKIK
OG0001906	LOC119067171|XP_037025879.1|BCOP, LOC119080675|XP_037045001.1|BCOP	LOC108084847|XP_017036710.1|DKIK
OG0001907	LOC119068764|XP_037028398.1|BCOP	LOC108083571|XP_017034916.1|DKIK
OG0001908	LOC119085477|XP_037051790.1|BCOP	LOC108083734|XP_017035131.1|DKIK
OG0001909	LOC119069055|XP_037028823.1|BCOP	LOC108071818|XP_017018213.1|DKIK
OG0001910	LOC119068662|XP_037028238.1|BCOP	LOC108084241|XP_017035864.1|DKIK
OG0001911	LOC119067469|XP_037026355.1|BCOP	LOC108077708|XP_017026648.1|DKIK
OG0001912	LOC119085811|XP_037052189.1|BCOP	LOC108073081|XP_017020038.1|DKIK
OG0001914	LOC119067414|XP_037026262.1|BCOP	LOC108084544|XP_017036272.1|DKIK
OG0001915	LOC119084835|XP_037050815.1|BCOP	LOC108075210|XP_017023035.1|DKIK
OG0001916	LOC119081737|XP_037046800.1|BCOP	LOC108082561|XP_017033500.1|DKIK
OG0001917	LOC119073456|XP_037034846.1|BCOP	LOC108070544|XP_017016559.1|DKIK
OG0001918	LOC119084932|XP_037050966.1|BCOP	LOC108079814|XP_017029786.1|DKIK
OG0001919	LOC119074137|XP_037036018.1|BCOP	LOC108076500|XP_017024882.1|DKIK
OG0001920	LOC119080390|XP_037044600.1|BCOP, LOC119081340|XP_037046034.1|BCOP	LOC108079050|XP_017028743.1|DKIK
OG0001921	LOC119075484|XP_037037831.1|BCOP	LOC108070756|XP_017016842.1|DKIK
OG0001922	LOC119073165|XP_037034362.1|BCOP, LOC119073166|XP_037034364.1|BCOP	LOC108076354|XP_017024639.1|DKIK
OG0001924	LOC119082349|XP_037047762.1|BCOP	LOC108072393|XP_017018992.1|DKIK
OG0001925	LOC119080967|XP_037045501.1|BCOP, LOC119085592|XP_037051909.1|BCOP	LOC108070581|XP_017016624.1|DKIK
OG0001926	LOC119075663|XP_037038070.1|BCOP	LOC108078722|XP_017028208.1|DKIK
OG0001927	LOC119084335|XP_037050159.1|BCOP	LOC108082423|XP_017033278.1|DKIK
OG0001928	LOC119084906|XP_037050956.1|BCOP	LOC108071885|XP_017018303.1|DKIK
OG0001929	LOC119080713|XP_037045072.1|BCOP	LOC108071906|XP_017018327.1|DKIK
OG0001930	LOC119079460|XP_037043282.1|BCOP	LOC108081091|XP_017031567.1|DKIK
OG0001931	LOC119080261|XP_037044404.1|BCOP	LOC108071866|XP_017018283.1|DKIK
OG0001932	LOC119081873|XP_037047006.1|BCOP	LOC108072728|XP_017019477.1|DKIK, LOC108075992|XP_017024134.1|DKIK
OG0001933	LOC119073719|XP_037035237.1|BCOP	LOC108073016|XP_017019963.1|DKIK
OG0001934	LOC119077487|XP_037040595.1|BCOP	LOC108071971|XP_017018435.1|DKIK
OG0001935	LOC119080985|XP_037045525.1|BCOP	LOC108078905|XP_017028527.1|DKIK, LOC108078904|XP_017028526.1|DKIK
OG0001937	LOC119073518|XP_037034942.1|BCOP	LOC108073108|XP_017020088.1|DKIK
OG0001938	LOC119070232|XP_037030398.1|BCOP, LOC119075124|XP_037037405.1|BCOP	LOC108078416|XP_017027769.1|DKIK
OG0001939	LOC119073670|XP_037035170.1|BCOP	LOC108077983|XP_017027015.1|DKIK
OG0001940	LOC119079400|XP_037043178.1|BCOP	LOC108084078|XP_017035592.1|DKIK
OG0001941	LOC119084724|XP_037050696.1|BCOP	LOC108079051|XP_017028746.1|DKIK
OG0001943	LOC119080982|XP_037045522.1|BCOP	LOC108078675|XP_017028097.1|DKIK
OG0001944	LOC119080072|XP_037044186.1|BCOP	LOC108079041|XP_017028713.1|DKIK
OG0001945	LOC119073449|XP_037034837.1|BCOP	LOC108076726|XP_017025187.1|DKIK
OG0001946	LOC119082790|XP_037048279.1|BCOP, LOC119075499|XP_037037860.1|BCOP	LOC108076777|XP_017025270.1|DKIK
OG0001947	LOC119079362|XP_037043105.1|BCOP	LOC108072973|XP_017019897.1|DKIK
OG0001948	LOC119080503|XP_037044798.1|BCOP	LOC108081421|XP_017032093.1|DKIK, LOC108083353|XP_017034586.1|DKIK
OG0001949	LOC119077322|XP_037040397.1|BCOP	LOC108085827|XP_017038069.1|DKIK
OG0001950	LOC119073232|XP_037034439.1|BCOP	LOC108075508|XP_017023468.1|DKIK
OG0001951	LOC119081713|XP_037046718.1|BCOP	LOC108076290|XP_017024536.1|DKIK
OG0001952	LOC119074053|XP_037035898.1|BCOP	LOC108079474|XP_017029307.1|DKIK
OG0001953	LOC119079610|XP_037043499.1|BCOP	LOC108076782|XP_017025277.1|DKIK
OG0001954	LOC119079366|XP_037043115.1|BCOP	LOC108085139|XP_017037147.1|DKIK
OG0001955	LOC119079390|XP_037043171.1|BCOP	LOC108074456|XP_017022007.1|DKIK
OG0001956	LOC119080715|XP_037045092.1|BCOP	LOC108070564|XP_017016591.1|DKIK
OG0001957	LOC119079960|XP_037043967.1|BCOP	LOC108082592|XP_017033546.1|DKIK
OG0001958	LOC119081650|XP_037046627.1|BCOP	LOC108081205|XP_017031762.1|DKIK
OG0001959	LOC119072456|XP_037033575.1|BCOP	LOC108074999|XP_017022730.1|DKIK
OG0001960	LOC119078235|XP_037041588.1|BCOP, LOC119079928|XP_037043923.1|BCOP	LOC108079046|XP_017028740.1|DKIK
OG0001961	LOC119079675|XP_037043622.1|BCOP	LOC108072375|XP_017018964.1|DKIK
OG0001962	LOC119079441|XP_037043249.1|BCOP	LOC108076728|XP_017025192.1|DKIK
OG0001963	LOC119072920|XP_037034134.1|BCOP, LOC119084186|XP_037049950.1|BCOP, LOC119081573|XP_037046503.1|BCOP	LOC108079812|XP_017029784.1|DKIK
OG0001964	LOC119073177|XP_037034382.1|BCOP	LOC108083407|XP_017034653.1|DKIK, LOC108078348|XP_017027645.1|DKIK
OG0001965	LOC119083324|XP_037048904.1|BCOP, LOC119083366|XP_037048978.1|BCOP	LOC108079120|XP_017028850.1|DKIK
OG0001966	LOC119067255|XP_037026026.1|BCOP	LOC108075622|XP_017023645.1|DKIK
OG0001967	LOC119085549|XP_037051863.1|BCOP, LOC119073362|XP_037034662.1|BCOP	LOC108082341|XP_017033163.1|DKIK
OG0001968	LOC119080491|XP_037044779.1|BCOP	LOC108080382|XP_017030596.1|DKIK
OG0001969	LOC119084839|XP_037050831.1|BCOP, LOC119080417|XP_037044656.1|BCOP	LOC108076754|XP_017025240.1|DKIK
OG0001970	LOC119080020|XP_037044093.1|BCOP	LOC108076485|XP_017024862.1|DKIK
OG0001971	LOC119085338|XP_037051616.1|BCOP	LOC108082153|XP_017032943.1|DKIK
OG0001972	LOC119071816|XP_037032780.1|BCOP	LOC108072588|XP_017019284.1|DKIK
OG0001973	LOC119079603|XP_037043489.1|BCOP	LOC108076160|XP_017024375.1|DKIK
OG0001974	LOC119081078|XP_037045716.1|BCOP	LOC108076466|XP_017024840.1|DKIK
OG0001975	LOC119076310|XP_037038872.1|BCOP, LOC119078786|XP_037042397.1|BCOP	LOC108075125|XP_017022897.1|DKIK
OG0001976	LOC119084443|XP_037050319.1|BCOP	LOC108072443|XP_017019060.1|DKIK
OG0001978	LOC119066330|XP_037024625.1|BCOP	LOC108082679|XP_017033667.1|DKIK
OG0001979	LOC119070930|XP_037031369.1|BCOP	LOC108079603|XP_017029451.1|DKIK
OG0001980	LOC119078499|XP_037041948.1|BCOP	LOC108074340|XP_017021850.1|DKIK
OG0001982	LOC119081937|XP_037047088.1|BCOP	LOC108084648|XP_017036428.1|DKIK
OG0001983	LOC119080917|XP_037045428.1|BCOP, LOC119080401|XP_037044625.1|BCOP, LOC119068171|XP_037027550.1|BCOP, LOC119068854|XP_037028575.1|BCOP	LOC108077151|XP_017025873.1|DKIK
OG0001984	LOC119078695|XP_037042252.1|BCOP	LOC108082233|XP_017033060.1|DKIK
OG0001985	LOC119078457|XP_037041886.1|BCOP	LOC108077046|XP_017025668.1|DKIK
OG0001986	LOC119072804|XP_037033996.1|BCOP	LOC108075831|XP_017023891.1|DKIK
OG0001987	LOC119073791|XP_037035415.1|BCOP, LOC119068065|XP_037027361.1|BCOP	LOC108084662|XP_017036476.1|DKIK
OG0001988	LOC119074080|XP_037035925.1|BCOP	LOC108074716|XP_017022348.1|DKIK
OG0001989	LOC119076077|XP_037038621.1|BCOP	LOC108078918|XP_017028548.1|DKIK
OG0001990	LOC119066370|XP_037024689.1|BCOP	LOC108077307|XP_017026078.1|DKIK
OG0001992	LOC119075686|XP_037038099.1|BCOP	LOC108074610|XP_017022222.1|DKIK
OG0001993	LOC119071486|XP_037032232.1|BCOP	LOC108079977|XP_017030030.1|DKIK
OG0001994	LOC119076301|XP_037038860.1|BCOP, LOC119076299|XP_037038858.1|BCOP, LOC119066634|XP_037025093.1|BCOP, LOC119066632|XP_037025090.1|BCOP	LOC108072992|XP_017019932.1|DKIK
OG0001995	LOC119085141|XP_037051313.1|BCOP	LOC108082686|XP_017033679.1|DKIK
OG0001996	LOC119076361|XP_037038960.1|BCOP	LOC108081354|XP_017031989.1|DKIK
OG0001997	LOC119073369|XP_037034684.1|BCOP	LOC108078336|XP_017027628.1|DKIK
OG0001998	LOC119073380|XP_037034699.1|BCOP	LOC108078297|XP_017027563.1|DKIK
OG0001999	LOC119083775|XP_037049456.1|BCOP	LOC108085136|XP_017037132.1|DKIK, LOC108085086|XP_017037044.1|DKIK
OG0002000	LOC119066480|XP_037024884.1|BCOP, LOC119085551|XP_037051865.1|BCOP, LOC119076607|XP_037039358.1|BCOP, LOC119084359|XP_037050201.1|BCOP, LOC119068360|XP_037027824.1|BCOP	LOC108079580|XP_017029414.1|DKIK
OG0002001	LOC119085307|XP_037051552.1|BCOP	LOC108082742|XP_017033740.1|DKIK
OG0002002	LOC119081466|XP_037046350.1|BCOP	LOC108082580|XP_017033526.1|DKIK
OG0002003	LOC119076345|XP_037038935.1|BCOP	LOC108075839|XP_017023908.1|DKIK
OG0002004	LOC119082567|XP_037047988.1|BCOP	LOC108085364|XP_017037424.1|DKIK
OG0002005	LOC119066968|XP_037025594.1|BCOP	LOC108075919|XP_017024042.1|DKIK
OG0002006	LOC119069445|XP_037029394.1|BCOP, LOC119076358|XP_037038950.1|BCOP, LOC119069460|XP_037029406.1|BCOP	LOC108082555|XP_017033496.1|DKIK
OG0002007	LOC119075381|XP_037037717.1|BCOP, LOC119085517|XP_037051827.1|BCOP, LOC119085233|XP_037051442.1|BCOP	LOC108077642|XP_017026545.1|DKIK, LOC108084450|XP_017036148.1|DKIK, LOC108074832|XP_017022522.1|DKIK
OG0002008	LOC119067811|XP_037026857.1|BCOP, LOC119085004|XP_037051078.1|BCOP	LOC108074895|XP_017022607.1|DKIK
OG0002009	LOC119076740|XP_037039568.1|BCOP	LOC108076204|XP_017024427.1|DKIK
OG0002010	LOC119072338|XP_037033424.1|BCOP	LOC108076333|XP_017024609.1|DKIK
OG0002011	LOC119076348|XP_037038940.1|BCOP	LOC108072603|XP_017019313.1|DKIK
OG0002012	LOC119081891|XP_037047014.1|BCOP, LOC119076292|XP_037038850.1|BCOP	LOC108081383|XP_017032029.1|DKIK
OG0002013	LOC119072256|XP_037033334.1|BCOP	LOC108082851|XP_017033913.1|DKIK
OG0002014	LOC119068127|XP_037027481.1|BCOP	LOC108078411|XP_017027756.1|DKIK
OG0002015	LOC119077146|XP_037040226.1|BCOP	LOC108079558|XP_017029386.1|DKIK
OG0002016	LOC119081426|XP_037046240.1|BCOP	LOC108078308|XP_017027589.1|DKIK
OG0002017	LOC119085893|XP_037052325.1|BCOP, LOC119078115|XP_037041463.1|BCOP	LOC108077280|XP_017026047.1|DKIK
OG0002018	LOC119075634|XP_037038010.1|BCOP	LOC108082772|XP_017033794.1|DKIK
OG0002019	LOC119079090|XP_037042801.1|BCOP	LOC108076281|XP_017024550.1|DKIK
OG0002020	LOC119085889|XP_037052320.1|BCOP	LOC108082765|XP_017033781.1|DKIK
OG0002021	LOC119074077|XP_037035919.1|BCOP, LOC119074075|XP_037035913.1|BCOP, LOC119074074|XP_037035912.1|BCOP	LOC108082493|XP_017033401.1|DKIK
OG0002022	LOC119070933|XP_037031376.1|BCOP	LOC108081374|XP_017032017.1|DKIK
OG0002023	LOC119082763|XP_037048245.1|BCOP, LOC119070653|XP_037030979.1|BCOP	LOC108080800|XP_017031180.1|DKIK
OG0002024	LOC119066321|XP_037024605.1|BCOP	LOC108076918|XP_017025450.1|DKIK
OG0002025	LOC119085816|XP_037052200.1|BCOP	LOC108082061|XP_017032828.1|DKIK
OG0002026	LOC119070840|XP_037031248.1|BCOP	LOC108080674|XP_017030996.1|DKIK
OG0002027	LOC119082838|XP_037048389.1|BCOP	LOC108078098|XP_017027181.1|DKIK
OG0002028	LOC119082846|XP_037048407.1|BCOP	LOC108076050|XP_017024218.1|DKIK, LOC108072159|XP_017018693.1|DKIK
OG0002029	LOC119067718|XP_037026730.1|BCOP, LOC119077752|XP_037040959.1|BCOP, LOC119073642|XP_037035134.1|BCOP	LOC108086000|XP_017038298.1|DKIK
OG0002030	LOC119073674|XP_037035175.1|BCOP, LOC119084288|XP_037050109.1|BCOP	LOC108076201|XP_017024424.1|DKIK
OG0002031	LOC119066123|XP_037024303.1|BCOP	LOC108085132|XP_017037128.1|DKIK
OG0002032	LOC119081115|XP_037045753.1|BCOP, LOC119074600|XP_037036746.1|BCOP	LOC108083177|XP_017034362.1|DKIK
OG0002033	LOC119076024|XP_037038523.1|BCOP, LOC119071625|XP_037032474.1|BCOP, LOC119076028|XP_037038541.1|BCOP, LOC119076027|XP_037038540.1|BCOP	LOC108085957|XP_017038239.1|DKIK
OG0002034	LOC119074965|XP_037037248.1|BCOP	LOC108084665|XP_017036475.1|DKIK
OG0002035	LOC119076751|XP_037039593.1|BCOP	LOC108083182|XP_017034366.1|DKIK
OG0002036	LOC119076673|XP_037039463.1|BCOP	LOC108084028|XP_017035530.1|DKIK
OG0002037	LOC119074391|XP_037036405.1|BCOP	LOC108079727|XP_017029626.1|DKIK
OG0002038	LOC119082225|XP_037047573.1|BCOP	LOC108079013|XP_017028680.1|DKIK, LOC108073373|XP_017020431.1|DKIK
OG0002039	LOC119069135|XP_037028936.1|BCOP	LOC108084632|XP_017036409.1|DKIK
OG0002040	LOC119076843|XP_037039742.1|BCOP	LOC108072873|XP_017019684.1|DKIK
OG0002041	LOC119071703|XP_037032588.1|BCOP	LOC108072293|XP_017018852.1|DKIK
OG0002042	LOC119071706|XP_037032598.1|BCOP	LOC108085460|XP_017037564.1|DKIK
OG0002043	LOC119084128|XP_037049872.1|BCOP, LOC119073545|XP_037034992.1|BCOP	LOC108085472|XP_017037577.1|DKIK, LOC108071062|XP_017017227.1|DKIK
OG0002044	LOC119074435|XP_037036458.1|BCOP	LOC108084210|XP_017035814.1|DKIK
