Orthogroup	BCOP.longest_only	DSIM.longest_only
OG0001982	LOC119081937|XP_037047088.1|BCOP	LOC27207519|XP_016022786.1|DSIM
OG0001983	LOC119080917|XP_037045428.1|BCOP, LOC119080401|XP_037044625.1|BCOP, LOC119068171|XP_037027550.1|BCOP, LOC119068854|XP_037028575.1|BCOP	LOC27208878|XP_039149301.1|DSIM
OG0001984	LOC119078695|XP_037042252.1|BCOP	LOC6731169|XP_002078327.1|DSIM
OG0001985	LOC119078457|XP_037041886.1|BCOP	LOC6731655|XP_016024337.1|DSIM
OG0001986	LOC119072804|XP_037033996.1|BCOP	LOC27207907|XP_016023821.1|DSIM
OG0001987	LOC119073791|XP_037035415.1|BCOP, LOC119068065|XP_037027361.1|BCOP	LOC27207378|XP_016037575.1|DSIM
OG0001988	LOC119074080|XP_037035925.1|BCOP	LOC6734903|XP_016028176.1|DSIM
OG0001989	LOC119076077|XP_037038621.1|BCOP	LOC6730492|XP_002077673.2|DSIM
OG0001990	LOC119066370|XP_037024689.1|BCOP	LOC6731831|XP_016024513.1|DSIM
OG0001991	LOC119076320|XP_037038884.1|BCOP	LOC27206899|XP_039154520.1|DSIM
OG0001992	LOC119075686|XP_037038099.1|BCOP	LOC6732072|XP_016024742.2|DSIM
OG0001993	LOC119071486|XP_037032232.1|BCOP	LOC6731218|XP_002078377.1|DSIM
OG0001994	LOC119076301|XP_037038860.1|BCOP, LOC119076299|XP_037038858.1|BCOP, LOC119066634|XP_037025093.1|BCOP, LOC119066632|XP_037025090.1|BCOP	LOC6727328|XP_016033856.1|DSIM
OG0001995	LOC119085141|XP_037051313.1|BCOP	LOC6732820|XP_002079933.1|DSIM
OG0001996	LOC119076361|XP_037038960.1|BCOP	LOC6731072|XP_039149693.1|DSIM
OG0001997	LOC119073369|XP_037034684.1|BCOP	LOC6736125|XP_002083025.1|DSIM
OG0001998	LOC119073380|XP_037034699.1|BCOP	LOC6736127|XP_002083027.1|DSIM
OG0001999	LOC119083775|XP_037049456.1|BCOP	LOC6733832|XP_039148756.1|DSIM
OG0002000	LOC119066480|XP_037024884.1|BCOP, LOC119085551|XP_037051865.1|BCOP, LOC119076607|XP_037039358.1|BCOP, LOC119084359|XP_037050201.1|BCOP, LOC119068360|XP_037027824.1|BCOP	LOC6731482|XP_002078631.1|DSIM
OG0002001	LOC119085307|XP_037051552.1|BCOP	LOC6732654|XP_016025368.2|DSIM
OG0002002	LOC119081466|XP_037046350.1|BCOP	LOC6734159|XP_002081188.1|DSIM
OG0002003	LOC119076345|XP_037038935.1|BCOP	LOC27207690|XP_016024252.1|DSIM
OG0002004	LOC119082567|XP_037047988.1|BCOP	LOC6732619|XP_016025327.1|DSIM
OG0002005	LOC119066968|XP_037025594.1|BCOP	LOC6732489|XP_039154416.1|DSIM
OG0002006	LOC119069445|XP_037029394.1|BCOP, LOC119076358|XP_037038950.1|BCOP, LOC119069460|XP_037029406.1|BCOP	LOC6731360|XP_039147199.1|DSIM
OG0002007	LOC119075381|XP_037037717.1|BCOP, LOC119085517|XP_037051827.1|BCOP, LOC119085233|XP_037051442.1|BCOP	LOC6731492|XP_016024169.1|DSIM
OG0002008	LOC119067811|XP_037026857.1|BCOP, LOC119085004|XP_037051078.1|BCOP	LOC27207557|XP_016037384.1|DSIM
OG0002009	LOC119076740|XP_037039568.1|BCOP	LOC6735777|XP_002082690.1|DSIM
OG0002010	LOC119072338|XP_037033424.1|BCOP	LOC6731578|XP_002078719.2|DSIM
OG0002011	LOC119076348|XP_037038940.1|BCOP	LOC6732900|XP_016025622.1|DSIM
OG0002012	LOC119081891|XP_037047014.1|BCOP, LOC119076292|XP_037038850.1|BCOP	LOC6731058|XP_002078217.3|DSIM
OG0002013	LOC119072256|XP_037033334.1|BCOP	LOC6732772|XP_039147050.1|DSIM
OG0002014	LOC119068127|XP_037027481.1|BCOP	LOC6735483|XP_016028818.1|DSIM
OG0002015	LOC119077146|XP_037040226.1|BCOP	LOC6731390|XP_002078543.1|DSIM
OG0002016	LOC119081426|XP_037046240.1|BCOP	LOC6733629|XP_016026590.1|DSIM
OG0002017	LOC119085893|XP_037052325.1|BCOP, LOC119078115|XP_037041463.1|BCOP	LOC6731889|XP_039154308.1|DSIM
OG0002018	LOC119075634|XP_037038010.1|BCOP	LOC6731219|XP_016023760.1|DSIM
OG0002019	LOC119079090|XP_037042801.1|BCOP	LOC6732086|XP_002079218.2|DSIM
OG0002020	LOC119085889|XP_037052320.1|BCOP	LOC6739250|XP_016025539.1|DSIM
OG0002021	LOC119074077|XP_037035919.1|BCOP, LOC119074075|XP_037035913.1|BCOP, LOC119074074|XP_037035912.1|BCOP	LOC6735508|XP_016028840.1|DSIM
OG0002022	LOC119070933|XP_037031376.1|BCOP	LOC6733034|XP_016025721.1|DSIM
OG0002023	LOC119082763|XP_037048245.1|BCOP, LOC119070653|XP_037030979.1|BCOP	LOC6728274|XP_039150914.1|DSIM
OG0002024	LOC119066321|XP_037024605.1|BCOP	LOC6731778|XP_002078913.1|DSIM
OG0002025	LOC119085816|XP_037052200.1|BCOP	LOC6731976|XP_039148436.1|DSIM
OG0002026	LOC119070840|XP_037031248.1|BCOP	LOC6739094|XP_039149850.1|DSIM, LOC120284800|XP_039149851.1|DSIM
OG0002027	LOC119082838|XP_037048389.1|BCOP	LOC6735712|XP_016029086.1|DSIM
OG0002028	LOC119082846|XP_037048407.1|BCOP	LOC6735947|XP_016029298.1|DSIM
OG0002029	LOC119067718|XP_037026730.1|BCOP, LOC119077752|XP_037040959.1|BCOP, LOC119073642|XP_037035134.1|BCOP	LOC6736901|XP_002083754.1|DSIM
OG0002030	LOC119073674|XP_037035175.1|BCOP, LOC119084288|XP_037050109.1|BCOP	LOC6736095|XP_016029490.1|DSIM
OG0002031	LOC119066123|XP_037024303.1|BCOP	LOC6734383|XP_016027504.1|DSIM
OG0002032	LOC119081115|XP_037045753.1|BCOP, LOC119074600|XP_037036746.1|BCOP	LOC6727228|XP_002102620.3|DSIM
OG0002033	LOC119076024|XP_037038523.1|BCOP, LOC119071625|XP_037032474.1|BCOP, LOC119076028|XP_037038541.1|BCOP, LOC119076027|XP_037038540.1|BCOP	LOC6725630|XP_039153548.1|DSIM
OG0002034	LOC119074965|XP_037037248.1|BCOP	LOC27207764|XP_016037637.2|DSIM
OG0002035	LOC119076751|XP_037039593.1|BCOP	LOC6728909|XP_002104239.2|DSIM
OG0002036	LOC119076673|XP_037039463.1|BCOP	LOC6728706|XP_016035373.2|DSIM
OG0002037	LOC119074391|XP_037036405.1|BCOP	LOC27207182|XP_016030378.1|DSIM
OG0002038	LOC119082225|XP_037047573.1|BCOP	LOC6727373|XP_002102758.1|DSIM
OG0002039	LOC119069135|XP_037028936.1|BCOP	LOC27208877|XP_016025917.2|DSIM, LOC27208205|XP_016025878.1|DSIM
OG0002040	LOC119076843|XP_037039742.1|BCOP	LOC120284217|XP_039154244.1|DSIM, LOC27206198|XP_039154242.1|DSIM
OG0002041	LOC119071703|XP_037032588.1|BCOP	LOC6733574|XP_016026524.1|DSIM
OG0002042	LOC119071706|XP_037032598.1|BCOP	LOC6727069|XP_002102466.1|DSIM
OG0002043	LOC119084128|XP_037049872.1|BCOP, LOC119073545|XP_037034992.1|BCOP	LOC6726871|XP_002102273.1|DSIM
OG0002044	LOC119074435|XP_037036458.1|BCOP	LOC6739760|XP_039151026.1|DSIM
OG0002045	LOC119076462|XP_037039124.1|BCOP	LOC6739699|XP_016035602.2|DSIM
OG0002046	LOC119074348|XP_037036338.1|BCOP	LOC6724736|XP_002105779.1|DSIM
OG0002047	LOC119084246|XP_037050039.1|BCOP	LOC6740235|XP_039153822.1|DSIM
OG0002048	LOC119076119|XP_037038682.1|BCOP	LOC6728392|XP_002103740.2|DSIM
OG0002049	LOC119066552|XP_037024990.1|BCOP	LOC6728517|XP_016035172.2|DSIM
OG0002050	LOC119074831|XP_037037016.1|BCOP	LOC6727915|XP_039150663.1|DSIM
OG0002051	LOC119074387|XP_037036401.1|BCOP	LOC27208216|XP_016027029.1|DSIM
OG0002053	LOC119067125|XP_037025799.1|BCOP	LOC6739701|XP_039151298.1|DSIM
OG0002054	LOC119076474|XP_037039146.1|BCOP	LOC6726853|XP_002102255.2|DSIM
OG0002055	LOC119078030|XP_037041338.1|BCOP	LOC6728446|XP_016035057.1|DSIM
OG0002056	LOC119072096|XP_037033145.1|BCOP	LOC6737838|XP_002084666.2|DSIM
OG0002057	LOC119083151|XP_037048692.1|BCOP	LOC6731841|XP_002078976.1|DSIM
OG0002058	LOC119083154|XP_037048696.1|BCOP	LOC6736210|XP_002083105.1|DSIM
OG0002059	LOC119071955|XP_037032980.1|BCOP	LOC6729620|XP_002104928.1|DSIM
OG0002060	LOC119072723|XP_037033893.1|BCOP	LOC6734527|XP_016027644.1|DSIM
OG0002061	LOC119075375|XP_037037700.1|BCOP	LOC6736012|XP_016029388.1|DSIM
OG0002062	LOC119076630|XP_037039430.1|BCOP, LOC119078348|XP_037041745.1|BCOP	LOC6726599|XP_016040272.1|DSIM
OG0002063	LOC119074412|XP_037036437.1|BCOP	LOC6725296|XP_002106315.2|DSIM
OG0002064	LOC119084475|XP_037050355.1|BCOP	LOC27206253|XP_039149593.1|DSIM
OG0002065	LOC119084520|XP_037050428.1|BCOP, LOC119083954|XP_037049658.1|BCOP, LOC119083333|XP_037048917.1|BCOP, LOC119083956|XP_037049659.1|BCOP	LOC6736522|XP_016030107.1|DSIM
OG0002066	LOC119074548|XP_037036613.1|BCOP	LOC6727872|XP_016034465.1|DSIM
OG0002067	LOC119074674|XP_037036852.1|BCOP	LOC6735946|XP_002082855.1|DSIM
OG0002068	LOC119074954|XP_037037238.1|BCOP	LOC6735143|XP_002082120.2|DSIM
OG0002069	LOC119074755|XP_037036916.1|BCOP	LOC27208881|XP_016025964.1|DSIM
OG0002070	LOC119068727|XP_037028316.1|BCOP	LOC6728589|XP_002103930.1|DSIM
OG0002071	LOC119071555|XP_037032373.1|BCOP	LOC6729504|XP_016036177.1|DSIM
OG0002072	LOC119080154|XP_037044269.1|BCOP	LOC6734692|XP_016027890.1|DSIM
OG0002073	LOC119078320|XP_037041719.1|BCOP	LOC6738107|XP_016031936.1|DSIM
OG0002074	LOC119074748|XP_037036906.1|BCOP	LOC6734586|XP_002081594.1|DSIM
OG0002075	LOC119078225|XP_037041580.1|BCOP	LOC27208875|XP_016024027.1|DSIM
OG0002076	LOC119070671|XP_037030998.1|BCOP	LOC6735790|XP_016029164.1|DSIM
OG0002077	LOC119072345|XP_037033428.1|BCOP	LOC6736295|XP_016029774.1|DSIM
OG0002078	LOC119070722|XP_037031070.1|BCOP	LOC6734373|XP_016027451.1|DSIM
OG0002079	LOC119071814|XP_037032777.1|BCOP	LOC6738801|XP_016032612.1|DSIM
OG0002080	LOC119070971|XP_037031441.1|BCOP	LOC6734867|XP_016028129.1|DSIM
OG0002081	LOC119079101|XP_037042814.1|BCOP	LOC6736031|XP_016029425.1|DSIM
OG0002082	LOC119076952|XP_037039900.1|BCOP	LOC6734812|XP_016028030.1|DSIM
OG0002083	LOC119075772|XP_037038214.1|BCOP, LOC119075781|XP_037038236.1|BCOP	LOC6739950|XP_039152513.1|DSIM
OG0002084	LOC119071316|XP_037032094.1|BCOP	LOC6735856|XP_002082766.2|DSIM
OG0002085	LOC119082803|XP_037048343.1|BCOP	LOC6735694|XP_016029071.1|DSIM
OG0002086	LOC119071097|XP_037031637.1|BCOP	LOC27208273|XP_016028957.1|DSIM
OG0002087	LOC119066517|XP_037024925.1|BCOP	LOC6738754|XP_016032565.1|DSIM
OG0002088	LOC119071860|XP_037032817.1|BCOP	LOC6738878|XP_016032698.1|DSIM
OG0002089	LOC119071904|XP_037032912.1|BCOP	LOC6733593|XP_016026553.1|DSIM
OG0002090	LOC119066947|XP_037025561.1|BCOP	LOC6737913|XP_016031685.1|DSIM
OG0002091	LOC119074240|XP_037036157.1|BCOP	LOC6736037|XP_002082939.1|DSIM
OG0002092	LOC119072408|XP_037033520.1|BCOP, LOC119069249|XP_037029196.1|BCOP, LOC119071245|XP_037031977.1|BCOP	LOC6738330|XP_016032176.1|DSIM
OG0002093	LOC119066901|XP_037025485.1|BCOP	LOC6735668|XP_016029033.1|DSIM
OG0002094	LOC119083173|XP_037048728.1|BCOP	LOC6735957|XP_002082866.1|DSIM
OG0002095	LOC119074654|XP_037036828.1|BCOP	LOC6731597|XP_002078738.1|DSIM, LOC27207716|XP_016040062.1|DSIM
OG0002096	LOC119071682|XP_037032558.1|BCOP	LOC6734491|XP_039148502.1|DSIM
OG0002097	LOC119072630|XP_037033769.1|BCOP	LOC6733737|XP_016026703.1|DSIM
OG0002098	LOC119066099|XP_037024266.1|BCOP	LOC6739032|XP_016032871.1|DSIM
OG0002099	LOC119078295|XP_037041685.1|BCOP, LOC119078343|XP_037041741.1|BCOP	LOC6728944|XP_002104272.1|DSIM
OG0002100	LOC119071084|XP_037031618.1|BCOP	LOC6738151|XP_016031982.2|DSIM
OG0002101	LOC119066386|XP_037024713.1|BCOP	LOC6733526|XP_039148618.1|DSIM
OG0002102	LOC119071138|XP_037031727.1|BCOP	LOC6735372|XP_016028701.1|DSIM
OG0002103	LOC119085732|XP_037052097.1|BCOP	LOC6739698|XP_016035627.2|DSIM
OG0002105	LOC119069623|XP_037029617.1|BCOP, LOC119083924|XP_037049633.1|BCOP, LOC119082950|XP_037048494.1|BCOP, LOC119078121|XP_037041469.1|BCOP	LOC6730532|XP_002077711.1|DSIM
OG0002106	LOC119069921|XP_037030037.1|BCOP, LOC119066113|XP_037024289.1|BCOP, LOC119066695|XP_037025187.1|BCOP, LOC119084692|XP_037050667.1|BCOP, LOC119076372|XP_037038977.1|BCOP, LOC119071196|XP_037031877.1|BCOP	LOC27208555|XP_039151493.1|DSIM
OG0002107	LOC119077008|XP_037040013.1|BCOP	LOC6731878|XP_016024551.1|DSIM
OG0002117	LOC119079205|XP_037042886.1|BCOP, LOC119067803|XP_037026848.1|BCOP	LOC6735264|XP_002082234.1|DSIM
OG0002118	LOC119075266|XP_037037558.1|BCOP, LOC119069940|XP_037030060.1|BCOP	LOC6739812|XP_039150279.1|DSIM
OG0002119	LOC119070028|XP_037030208.1|BCOP	LOC6729516|XP_016036189.1|DSIM
OG0002120	LOC119085060|XP_037051186.1|BCOP	LOC6724743|XP_016037431.1|DSIM
OG0002121	LOC119073069|XP_037034268.1|BCOP, LOC119082165|XP_037047474.1|BCOP, LOC119083340|XP_037048932.1|BCOP	LOC6730033|XP_016036798.1|DSIM
OG0002123	LOC119083896|XP_037049601.1|BCOP	LOC6731397|XP_016024014.1|DSIM
OG0002124	LOC119069671|XP_037029684.1|BCOP	LOC6726348|XP_002107308.1|DSIM
OG0002125	LOC119079473|XP_037043301.1|BCOP	LOC6734570|XP_039148662.1|DSIM
OG0002126	LOC119073593|XP_037035062.1|BCOP	LOC6738909|XP_002085704.1|DSIM
OG0002127	LOC119085600|XP_037051916.1|BCOP	LOC27208333|XP_039154086.1|DSIM
OG0002128	LOC119070370|XP_037030566.1|BCOP, LOC119070369|XP_037030565.1|BCOP	LOC6726361|XP_016039940.1|DSIM
OG0002129	LOC119068015|XP_037027269.1|BCOP	LOC6727529|XP_016034108.1|DSIM
OG0002131	LOC119067244|XP_037026006.1|BCOP, LOC119069693|XP_037029717.1|BCOP	LOC6727580|XP_002102959.1|DSIM
OG0002132	LOC119076232|XP_037038785.1|BCOP	LOC6731746|XP_016024420.1|DSIM
OG0002133	LOC119068988|XP_037028755.1|BCOP	LOC6732098|XP_002079230.2|DSIM, LOC6725796|XP_002106793.1|DSIM
OG0002134	LOC119084479|XP_037050362.1|BCOP	LOC6726267|XP_002107229.2|DSIM
OG0002135	LOC119068606|XP_037028151.1|BCOP	LOC6725410|XP_016038484.1|DSIM
OG0002136	LOC119070453|XP_037030699.1|BCOP	LOC6730133|XP_016036900.1|DSIM
OG0002137	LOC119068487|XP_037027993.1|BCOP, LOC119068501|XP_037028006.1|BCOP, LOC119085510|XP_037051820.1|BCOP	LOC27206480|XP_016035953.1|DSIM
OG0002138	LOC119083180|XP_037048738.1|BCOP	LOC6726314|XP_016039864.1|DSIM
OG0002139	LOC119067435|XP_037026303.1|BCOP	LOC6725055|XP_039152241.1|DSIM
OG0002140	LOC119069470|XP_037029418.1|BCOP, LOC119069437|XP_037029390.1|BCOP, LOC119069436|XP_037029389.1|BCOP	LOC6740037|XP_016038646.1|DSIM
OG0002141	LOC119068176|XP_037027559.1|BCOP	LOC6739171|XP_016033041.1|DSIM
OG0002142	LOC119068290|XP_037027723.1|BCOP	LOC6726685|XP_002102096.1|DSIM
OG0002143	LOC119068125|XP_037027478.1|BCOP	LOC6730540|XP_016022991.1|DSIM
OG0002144	LOC119080273|XP_037044430.1|BCOP	LOC6724710|XP_039152013.1|DSIM
OG0002145	LOC119067269|XP_037026043.1|BCOP, LOC119083079|XP_037048597.1|BCOP	LOC6727367|XP_016033907.1|DSIM
OG0002146	LOC119069157|XP_037028956.1|BCOP	LOC6726687|XP_002102098.1|DSIM
OG0002147	LOC119068311|XP_037027749.1|BCOP	LOC6740064|XP_039153929.1|DSIM
OG0002148	LOC119068400|XP_037027855.1|BCOP	LOC27209428|XP_016030222.1|DSIM
OG0002149	LOC119075571|XP_037037936.1|BCOP	LOC6724732|XP_039152114.1|DSIM
OG0002150	LOC119085647|XP_037051979.1|BCOP	LOC6740135|XP_016039362.1|DSIM
OG0002151	LOC119074031|XP_037035868.1|BCOP, LOC119074101|XP_037035960.1|BCOP	LOC6731830|XP_016024512.1|DSIM
OG0002152	LOC119082372|XP_037047794.1|BCOP	LOC27208488|XP_016034152.1|DSIM
OG0002153	LOC119068706|XP_037028290.1|BCOP	LOC6730079|XP_039151874.1|DSIM
OG0002154	LOC119067768|XP_037026807.1|BCOP	LOC6739913|XP_002076803.1|DSIM
OG0002155	LOC119069323|XP_037029275.1|BCOP	LOC6730274|XP_002105557.1|DSIM
OG0002156	LOC119081040|XP_037045635.1|BCOP	LOC6739143|XP_016032994.1|DSIM
OG0002157	LOC119069857|XP_037029927.1|BCOP	LOC6728259|XP_016034895.1|DSIM
OG0002158	LOC119074956|XP_037037240.1|BCOP, LOC119068516|XP_037028020.1|BCOP	LOC6735144|XP_002082121.1|DSIM
OG0002159	LOC119068701|XP_037028287.1|BCOP	LOC6735868|XP_016029230.1|DSIM
OG0002160	LOC119068295|XP_037027729.1|BCOP	LOC6727176|XP_002102568.3|DSIM
OG0002161	LOC119085218|XP_037051427.1|BCOP	LOC6727507|XP_002102887.1|DSIM
OG0002162	LOC119067373|XP_037026189.1|BCOP	LOC6728669|XP_016035328.1|DSIM
OG0002163	LOC119067190|XP_037025916.1|BCOP	LOC6725200|XP_002106223.1|DSIM
OG0002164	LOC119068336|XP_037027789.1|BCOP	LOC6729638|XP_016036280.1|DSIM
OG0002165	LOC119068466|XP_037027955.1|BCOP	LOC6732579|XP_002079698.1|DSIM
OG0002166	LOC119066227|XP_037024446.1|BCOP	LOC6732140|XP_002079272.2|DSIM
OG0002167	LOC119066372|XP_037024695.1|BCOP	LOC6735226|XP_002082199.1|DSIM
OG0002168	LOC119068986|XP_037028752.1|BCOP	LOC6735949|XP_039148019.1|DSIM
OG0002169	LOC119068737|XP_037028331.1|BCOP	LOC6737480|XP_002084316.1|DSIM
OG0002170	LOC119083567|XP_037049205.1|BCOP	LOC6724690|XP_016037213.1|DSIM
OG0002171	LOC119069264|XP_037029217.1|BCOP	LOC27208656|XP_016035960.1|DSIM
OG0002172	LOC119067940|XP_037027151.1|BCOP	LOC6729200|XP_039151399.1|DSIM
OG0002173	LOC119078710|XP_037042275.1|BCOP	LOC6731901|XP_002079036.1|DSIM
OG0002174	LOC119082710|XP_037048184.1|BCOP	LOC6728087|XP_002103439.2|DSIM
OG0002175	LOC119082813|XP_037048363.1|BCOP	LOC6728088|XP_002103440.2|DSIM
OG0002176	LOC119067918|XP_037027114.1|BCOP	LOC6727498|XP_002102878.1|DSIM
OG0002177	LOC119067430|XP_037026297.1|BCOP	LOC6727800|XP_016034388.1|DSIM
OG0002178	LOC119069100|XP_037028887.1|BCOP	LOC6729830|XP_039151126.1|DSIM
OG0002179	LOC119067624|XP_037026612.1|BCOP	LOC6729552|XP_016036221.1|DSIM
OG0002180	LOC119068090|XP_037027402.1|BCOP	LOC6730212|XP_016036962.1|DSIM
OG0002181	LOC119069061|XP_037028831.1|BCOP	LOC6725560|XP_016038684.1|DSIM
OG0002182	LOC119067226|XP_037025967.1|BCOP	LOC6727155|XP_016033639.1|DSIM
OG0002183	LOC119071530|XP_037032309.1|BCOP	LOC6735237|XP_039147537.1|DSIM
OG0002184	LOC119067354|XP_037026158.1|BCOP	LOC6728136|XP_002103487.2|DSIM
OG0002185	LOC119069969|XP_037030103.1|BCOP	LOC6727973|XP_016034565.1|DSIM
OG0002186	LOC119079315|XP_037043004.1|BCOP	LOC6731153|XP_002078311.1|DSIM
OG0002187	LOC119069210|XP_037029076.1|BCOP, LOC119070066|XP_037030256.1|BCOP	LOC6729112|XP_002104433.1|DSIM
OG0002188	LOC119080885|XP_037045359.1|BCOP	LOC6735997|XP_016029372.1|DSIM
OG0002189	LOC119069499|XP_037029465.1|BCOP	LOC27206978|XP_039150284.1|DSIM
OG0002190	LOC119084695|XP_037050671.1|BCOP	LOC6729313|XP_002104630.1|DSIM
OG0002191	LOC119067687|XP_037026702.1|BCOP	LOC6738903|XP_002085698.1|DSIM
OG0002192	LOC119078993|XP_037042652.1|BCOP	LOC6738582|XP_002085386.1|DSIM
OG0002193	LOC119085773|XP_037052160.1|BCOP	LOC6728649|XP_002103989.2|DSIM
OG0002194	LOC119070038|XP_037030217.1|BCOP	LOC6729856|XP_002105159.1|DSIM
OG0002195	LOC119067218|XP_037025959.1|BCOP	LOC6729341|XP_016035982.1|DSIM
OG0002196	LOC119078582|XP_037042054.1|BCOP	LOC6728616|XP_002103957.2|DSIM
OG0002197	LOC119069309|XP_037029255.1|BCOP	LOC6736199|XP_002083094.1|DSIM
OG0002198	LOC119068092|XP_037027404.1|BCOP	LOC6727135|XP_039151853.1|DSIM
OG0002199	LOC119074834|XP_037037026.1|BCOP	LOC6728962|XP_002104290.1|DSIM
OG0002200	LOC119070571|XP_037030872.1|BCOP	LOC6740526|XP_002077352.2|DSIM
OG0002202	LOC119068798|XP_037028455.1|BCOP	LOC27206314|XP_016034787.1|DSIM
OG0002203	LOC119069182|XP_037029011.1|BCOP	LOC6728084|XP_016034708.1|DSIM
OG0002204	LOC119069037|XP_037028801.1|BCOP	LOC6729515|XP_016036188.1|DSIM
OG0002205	LOC119070447|XP_037030693.1|BCOP	LOC6728242|XP_002103591.1|DSIM
OG0002206	LOC119067466|XP_037026348.1|BCOP	LOC6729146|XP_016035793.1|DSIM
OG0002207	LOC119068191|XP_037027584.1|BCOP, LOC119068192|XP_037027585.1|BCOP	LOC27206425|XP_016036694.1|DSIM
OG0002208	LOC119068186|XP_037027576.1|BCOP	LOC6729930|XP_016036692.1|DSIM
OG0002209	LOC119076431|XP_037039074.1|BCOP	LOC6725287|XP_002106308.2|DSIM
OG0002210	LOC119067337|XP_037026136.1|BCOP	LOC6726894|XP_016033404.2|DSIM
OG0002211	LOC119070046|XP_037030224.1|BCOP	LOC6728231|XP_016034868.1|DSIM
OG0002212	LOC119069248|XP_037029195.1|BCOP, LOC119070313|XP_037030474.1|BCOP	LOC6727503|XP_002102883.1|DSIM
OG0002213	LOC119069748|XP_037029784.1|BCOP	LOC6726990|XP_002102391.1|DSIM
OG0002214	LOC119069073|XP_037028846.1|BCOP	LOC6728994|XP_016035659.1|DSIM
OG0002215	LOC119069952|XP_037030076.1|BCOP	LOC6728055|XP_039150741.1|DSIM
OG0002216	LOC119081256|XP_037045888.1|BCOP	LOC6730075|XP_002105368.1|DSIM
OG0002217	LOC119069242|XP_037029190.1|BCOP	LOC6728070|XP_016034688.1|DSIM
OG0002218	LOC119067252|XP_037026023.1|BCOP	LOC120285356|XP_039153572.1|DSIM, LOC27206592|XP_016039407.1|DSIM
OG0002219	LOC119078248|XP_037041621.1|BCOP, LOC119069089|XP_037028872.1|BCOP	LOC6728216|XP_016034855.1|DSIM
OG0002220	LOC119072018|XP_037033032.1|BCOP, LOC119074239|XP_037036156.1|BCOP	LOC6728215|XP_016034854.2|DSIM
OG0002221	LOC119084830|XP_037050808.1|BCOP	LOC6737456|XP_016031225.1|DSIM
OG0002222	LOC119083959|XP_037049662.1|BCOP, LOC119083465|XP_037049080.1|BCOP, LOC119079723|XP_037043682.1|BCOP, LOC119082955|XP_037048497.1|BCOP	LOC6736086|XP_016029483.1|DSIM
OG0002224	LOC119081716|XP_037046729.1|BCOP	LOC6739296|XP_039148670.1|DSIM
OG0002225	LOC119073439|XP_037034818.1|BCOP	LOC6737158|XP_016030815.1|DSIM
OG0002226	LOC119081374|XP_037046151.1|BCOP	LOC6733250|XP_002080313.1|DSIM
OG0002227	LOC119080299|XP_037044467.1|BCOP	LOC6733850|XP_039148574.1|DSIM
OG0002228	LOC119082140|XP_037047415.1|BCOP, LOC119079257|XP_037042931.1|BCOP	LOC6733516|XP_039147778.1|DSIM
OG0002229	LOC119081545|XP_037046455.1|BCOP	LOC6736101|XP_016029492.1|DSIM
OG0002230	LOC119079254|XP_037042930.1|BCOP	LOC6734216|XP_016027261.1|DSIM
OG0002231	LOC119073448|XP_037034836.1|BCOP	LOC6739284|XP_002076191.3|DSIM
OG0002233	LOC119075212|XP_037037494.1|BCOP	LOC6737830|XP_016031605.1|DSIM
OG0002235	LOC119083565|XP_037049197.1|BCOP	LOC6735690|XP_016029068.1|DSIM
OG0002236	LOC119080175|XP_037044295.1|BCOP	LOC6735986|XP_016029348.1|DSIM
OG0002237	LOC119079255|XP_037042933.1|BCOP	LOC6735996|XP_016029370.1|DSIM
OG0002238	LOC119083149|XP_037048686.1|BCOP, LOC119076738|XP_037039550.1|BCOP	LOC6733275|XP_016026166.1|DSIM
OG0002239	LOC119085382|XP_037051663.1|BCOP	LOC6734195|XP_002081224.1|DSIM
OG0002240	LOC119079503|XP_037043346.1|BCOP	LOC6735675|XP_016029046.1|DSIM
OG0002241	LOC119081255|XP_037045885.1|BCOP	LOC6737431|XP_016031204.1|DSIM
OG0002242	LOC119080678|XP_037045006.1|BCOP	LOC6737281|XP_039149424.1|DSIM
OG0002243	LOC119083632|XP_037049262.1|BCOP	LOC6727346|XP_002102731.1|DSIM
OG0002244	LOC119084555|XP_037050465.1|BCOP, LOC119073695|XP_037035190.1|BCOP, LOC119084557|XP_037050468.1|BCOP	LOC6737613|XP_039149898.1|DSIM
OG0002245	LOC119073696|XP_037035191.1|BCOP	LOC6737180|XP_016030868.1|DSIM
OG0002246	LOC119079508|XP_037043357.1|BCOP	LOC6733278|XP_016026168.1|DSIM
OG0002247	LOC119079492|XP_037043336.1|BCOP	LOC27207209|XP_016029302.1|DSIM
OG0002248	LOC119079312|XP_037043005.1|BCOP	LOC6736763|XP_039149400.1|DSIM
OG0002249	LOC119080647|XP_037044956.1|BCOP	LOC6737259|XP_016030970.1|DSIM
OG0002250	LOC119073479|XP_037034879.1|BCOP	LOC6735455|XP_002082395.2|DSIM
OG0002251	LOC119073572|XP_037035026.1|BCOP	LOC6735452|XP_016028760.1|DSIM
OG0002252	LOC119077679|XP_037040836.1|BCOP	LOC6735434|XP_016028738.1|DSIM
OG0002253	LOC119074011|XP_037035841.1|BCOP	LOC27208013|XP_016029476.1|DSIM
OG0002254	LOC119079368|XP_037043133.1|BCOP	LOC6729473|XP_016036146.1|DSIM
OG0002255	LOC119084172|XP_037049926.1|BCOP	LOC6726447|XP_002107404.1|DSIM
