Orthogroup	BCOP.longest_only	DELE.longest_only
OG0001538	LOC119084761|XP_037050722.1|BCOP	LOC108136228|XP_017112739.1|DELE
OG0001539	LOC119080435|XP_037044693.1|BCOP	LOC108143420|XP_017123313.1|DELE
OG0001540	LOC119077061|XP_037040084.1|BCOP	LOC108134728|XP_017110621.1|DELE
OG0001541	LOC119067503|XP_037026408.1|BCOP, LOC119074747|XP_037036905.1|BCOP	LOC108143259|XP_017123059.1|DELE
OG0001542	LOC119083755|XP_037049434.1|BCOP	LOC108148333|XP_017130819.1|DELE
OG0001543	LOC119067212|XP_037025951.1|BCOP	LOC108140042|XP_017118231.1|DELE, LOC108139561|XP_017117774.1|DELE, LOC108147639|XP_017129783.1|DELE
OG0001544	LOC119068022|XP_037027277.1|BCOP	LOC108136521|XP_017113275.1|DELE
OG0001545	LOC119071911|XP_037032925.1|BCOP, LOC119067565|XP_037026541.1|BCOP	LOC108140936|XP_017119493.1|DELE
OG0001546	LOC119084624|XP_037050587.1|BCOP, LOC119069480|XP_037029442.1|BCOP, LOC119071884|XP_037032878.1|BCOP	LOC108140923|XP_017119475.1|DELE
OG0001547	LOC119083969|XP_037049669.1|BCOP	LOC108135885|XP_017112279.1|DELE
OG0001548	LOC119067604|XP_037026594.1|BCOP	LOC108137715|XP_017115087.1|DELE
OG0001549	LOC119078658|XP_037042167.1|BCOP	LOC108150462|XP_017134133.1|DELE
OG0001550	LOC119067024|XP_037025651.1|BCOP	LOC108140713|XP_017119164.1|DELE, LOC108140690|XP_017119170.1|DELE
OG0001551	LOC119068659|XP_037028230.1|BCOP	LOC108148628|XP_017131229.1|DELE
OG0001552	LOC119069945|XP_037030067.1|BCOP	LOC108143071|XP_017122773.1|DELE
OG0001553	LOC119068481|XP_037027987.1|BCOP, LOC119077795|XP_037041001.1|BCOP	LOC108135937|XP_017112374.1|DELE
OG0001554	LOC119068534|XP_037028040.1|BCOP	LOC108135866|XP_017112257.1|DELE
OG0001556	LOC119069503|XP_037029472.1|BCOP	LOC108137982|XP_017115442.1|DELE
OG0001557	LOC119077131|XP_037040206.1|BCOP	LOC108137708|XP_017115077.1|DELE
OG0001558	LOC119085650|XP_037051990.1|BCOP	LOC108134884|XP_017110870.1|DELE
OG0001559	LOC119069552|XP_037029526.1|BCOP, LOC119067227|XP_037025974.1|BCOP	LOC108136943|XP_017113910.1|DELE
OG0001560	LOC119070423|XP_037030655.1|BCOP	LOC108141091|XP_017119779.1|DELE
OG0001561	LOC119078770|XP_037042373.1|BCOP	LOC108140752|XP_017119219.1|DELE
OG0001562	LOC119073818|XP_037035490.1|BCOP	LOC108135225|XP_017111343.1|DELE
OG0001563	LOC119067500|XP_037026402.1|BCOP	LOC108146894|XP_017128626.1|DELE
OG0001564	LOC119067239|XP_037025996.1|BCOP	LOC108143846|XP_017123887.1|DELE
OG0001565	LOC119067360|XP_037026166.1|BCOP	LOC108143871|XP_017123927.1|DELE
OG0001566	LOC119067590|XP_037026583.1|BCOP	LOC108140401|XP_017118599.1|DELE
OG0001567	LOC119085861|XP_037052270.1|BCOP	LOC108144854|XP_017125490.1|DELE
OG0001568	LOC119069780|XP_037029810.1|BCOP	LOC108139165|XP_017117269.1|DELE
OG0001570	LOC119070649|XP_037030978.1|BCOP, LOC119070659|XP_037030988.1|BCOP, LOC119067461|XP_037026342.1|BCOP	LOC108135327|XP_017111508.1|DELE
OG0001571	LOC119066962|XP_037025589.1|BCOP	LOC108141685|XP_017120653.1|DELE
OG0001572	LOC119073400|XP_037034725.1|BCOP	LOC108141627|XP_017120585.1|DELE
OG0001573	LOC119082450|XP_037047868.1|BCOP, LOC119083348|XP_037048936.1|BCOP	LOC108145946|XP_017127143.1|DELE
OG0001574	LOC119071041|XP_037031536.1|BCOP, LOC119073628|XP_037035113.1|BCOP	LOC108137200|XP_017114278.1|DELE
OG0001575	LOC119070120|XP_037030329.1|BCOP, LOC119071146|XP_037031769.1|BCOP	LOC108136771|XP_017113621.1|DELE
OG0001576	LOC119082146|XP_037047441.1|BCOP, LOC119084794|XP_037050755.1|BCOP	LOC108137030|XP_017114019.1|DELE
OG0001577	LOC119076585|XP_037039324.1|BCOP	LOC108148787|XP_017131492.1|DELE
OG0001578	LOC119066452|XP_037024848.1|BCOP, LOC119085051|XP_037051162.1|BCOP, LOC119085839|XP_037052237.1|BCOP, LOC119082619|XP_037048073.1|BCOP	LOC108139075|XP_017117191.1|DELE
OG0001579	LOC119083540|XP_037049158.1|BCOP	LOC108137653|XP_017114973.1|DELE
OG0001580	LOC119080394|XP_037044608.1|BCOP	LOC108143538|XP_017123523.1|DELE
OG0001581	LOC119081125|XP_037045764.1|BCOP	LOC108137269|XP_017114352.1|DELE, LOC108137728|XP_017115115.1|DELE
OG0001582	LOC119073350|XP_037034640.1|BCOP	LOC108144871|XP_017125511.1|DELE
OG0001584	LOC119074639|XP_037036814.1|BCOP, LOC119067311|XP_037026114.1|BCOP	LOC108146376|XP_017127855.1|DELE
OG0001585	LOC119067960|XP_037027182.1|BCOP	LOC108137659|XP_017114982.1|DELE
OG0001586	LOC119081213|XP_037045828.1|BCOP	LOC108142782|XP_017122316.1|DELE
OG0001587	LOC119071784|XP_037032739.1|BCOP	LOC108137603|XP_017114863.1|DELE
OG0001588	LOC119073902|XP_037035686.1|BCOP	LOC108149671|XP_017132906.1|DELE
OG0001589	LOC119072887|XP_037034105.1|BCOP	LOC108134957|XP_017110968.1|DELE, LOC108138319|XP_017115972.1|DELE, LOC108148514|XP_017131044.1|DELE
OG0001590	LOC119071876|XP_037032846.1|BCOP	LOC108136812|XP_017113708.1|DELE, LOC108147041|XP_017128803.1|DELE
OG0001591	LOC119082064|XP_037047296.1|BCOP	LOC108148910|XP_017131715.1|DELE
OG0001592	LOC119066743|XP_037025260.1|BCOP	LOC108138098|XP_017115573.1|DELE
OG0001593	LOC119066748|XP_037025272.1|BCOP, LOC119066741|XP_037025258.1|BCOP	LOC108138125|XP_017115647.1|DELE
OG0001595	LOC119073618|XP_037035090.1|BCOP	LOC108144692|XP_017125253.1|DELE
OG0001596	LOC119074048|XP_037035889.1|BCOP, LOC119082323|XP_037047717.1|BCOP, LOC119078412|XP_037041808.1|BCOP, LOC119077099|XP_037040151.1|BCOP	LOC108138922|XP_017116978.1|DELE
OG0001597	LOC119081933|XP_037047081.1|BCOP	LOC108135009|XP_017111032.1|DELE, LOC108135010|XP_017111033.1|DELE
OG0001598	LOC119081944|XP_037047103.1|BCOP	LOC108138781|XP_017116741.1|DELE
OG0001599	LOC119077001|XP_037040003.1|BCOP	LOC108150721|XP_017134507.1|DELE
OG0001601	LOC119078696|XP_037042253.1|BCOP	LOC108148223|XP_017130631.1|DELE
OG0001602	LOC119085260|XP_037051503.1|BCOP	LOC108142093|XP_017121277.1|DELE
OG0001603	LOC119072752|XP_037033933.1|BCOP, LOC119072750|XP_037033931.1|BCOP	LOC108141696|XP_017120668.1|DELE
OG0001604	LOC119084493|XP_037050394.1|BCOP	LOC108141059|XP_017119702.1|DELE
OG0001605	LOC119073863|XP_037035623.1|BCOP	LOC108145536|XP_017126524.1|DELE, LOC108146172|XP_017127600.1|DELE
OG0001606	LOC119071515|XP_037032285.1|BCOP	LOC108149206|XP_017132123.1|DELE
OG0001607	LOC119081917|XP_037047049.1|BCOP	LOC108150427|XP_017134074.1|DELE
OG0001608	LOC119069430|XP_037029382.1|BCOP, LOC119070907|XP_037031331.1|BCOP	LOC108135282|XP_017111452.1|DELE
OG0001609	LOC119080234|XP_037044376.1|BCOP	LOC108144230|XP_017124396.1|DELE
OG0001610	LOC119085960|XP_037052411.1|BCOP	LOC108138978|XP_017117051.1|DELE
OG0001611	LOC119078606|XP_037042095.1|BCOP	LOC108141918|XP_017121031.1|DELE
OG0001612	LOC119068420|XP_037027884.1|BCOP, LOC119085336|XP_037051614.1|BCOP	LOC108149243|XP_017132168.1|DELE
OG0001613	LOC119078421|XP_037041823.1|BCOP	LOC108142070|XP_017121245.1|DELE
OG0001614	LOC119084837|XP_037050828.1|BCOP	LOC108145527|XP_017126505.1|DELE
OG0001615	LOC119082410|XP_037047838.1|BCOP	LOC108149200|XP_017132114.1|DELE
OG0001616	LOC119075332|XP_037037655.1|BCOP	LOC108139650|XP_017117868.1|DELE, LOC108138291|XP_017115935.1|DELE
OG0001617	LOC119071474|XP_037032218.1|BCOP	LOC108138813|XP_017116796.1|DELE
OG0001618	LOC119078628|XP_037042122.1|BCOP	LOC108141749|XP_017120733.1|DELE
OG0001619	LOC119071103|XP_037031640.1|BCOP	LOC108141933|XP_017121059.1|DELE
OG0001620	LOC119085342|XP_037051620.1|BCOP	LOC108141529|XP_017120451.1|DELE
OG0001621	LOC119066774|XP_037025323.1|BCOP, LOC119080914|XP_037045424.1|BCOP, LOC119077640|XP_037040755.1|BCOP, LOC119070524|XP_037030795.1|BCOP, LOC119066295|XP_037024565.1|BCOP, LOC119083210|XP_037048772.1|BCOP	LOC108141299|XP_017120053.1|DELE
OG0001622	LOC119068566|XP_037028089.1|BCOP	LOC108136455|XP_017113126.1|DELE
OG0001623	LOC119083103|XP_037048625.1|BCOP, LOC119083105|XP_037048631.1|BCOP, LOC119083108|XP_037048635.1|BCOP	LOC108137838|XP_017115253.1|DELE
OG0001624	LOC119085274|XP_037051523.1|BCOP, LOC119075636|XP_037038012.1|BCOP	LOC108135299|XP_017111473.1|DELE
OG0001625	LOC119066260|XP_037024508.1|BCOP	LOC108135244|XP_017111396.1|DELE
OG0001626	LOC119074811|XP_037036993.1|BCOP	LOC108147811|XP_017130043.1|DELE
OG0001628	LOC119076696|XP_037039506.1|BCOP	LOC108147078|XP_017128856.1|DELE
OG0001629	LOC119076817|XP_037039700.1|BCOP, LOC119076293|XP_037038851.1|BCOP	LOC108136931|XP_017113900.1|DELE
OG0001629	LOC119077391|XP_037040487.1|BCOP	LOC108138359|XP_017116016.1|DELE
OG0001630	LOC119077822|XP_037041025.1|BCOP	LOC108137028|XP_017114016.1|DELE
OG0001631	LOC119083402|XP_037049016.1|BCOP, LOC119076405|XP_037039027.1|BCOP	LOC108141196|XP_017119929.1|DELE
OG0001632	LOC119068038|XP_037027298.1|BCOP, LOC119068036|XP_037027296.1|BCOP	LOC108142020|XP_017121184.1|DELE
OG0001633	LOC119084121|XP_037049869.1|BCOP, LOC119077838|XP_037041049.1|BCOP	LOC108140620|XP_017119023.1|DELE
OG0001634	LOC119073458|XP_037034849.1|BCOP, LOC119071722|XP_037032634.1|BCOP, LOC119085412|XP_037051717.1|BCOP	LOC108145134|XP_017125837.1|DELE
OG0001635	LOC119073768|XP_037035330.1|BCOP	LOC108147097|XP_017128872.1|DELE
OG0001636	LOC119066825|XP_037025377.1|BCOP, LOC119069449|XP_037029399.1|BCOP, LOC119086042|XP_037052511.1|BCOP	LOC108141002|XP_017119566.1|DELE
OG0001637	LOC119072635|XP_037033773.1|BCOP, LOC119085107|XP_037051257.1|BCOP	LOC108142989|XP_017122649.1|DELE
OG0001638	LOC119076967|XP_037039954.1|BCOP, LOC119073720|XP_037035241.1|BCOP	LOC108136297|XP_017112871.1|DELE
OG0001639	LOC119076591|XP_037039330.1|BCOP	LOC108147594|XP_017129724.1|DELE
OG0001640	LOC119076800|XP_037039659.1|BCOP	LOC108141147|XP_017119861.1|DELE
OG0001641	LOC119083470|XP_037049086.1|BCOP, LOC119079711|XP_037043663.1|BCOP	LOC108140541|XP_017118860.1|DELE
OG0001642	LOC119066090|XP_037024257.1|BCOP	LOC108136634|XP_017113442.1|DELE
OG0001643	LOC119078224|XP_037041579.1|BCOP	LOC108138274|XP_017115915.1|DELE
OG0001645	LOC119071400|XP_037032171.1|BCOP, LOC119071401|XP_037032172.1|BCOP	LOC108143644|XP_017123645.1|DELE, LOC108147085|XP_017128899.1|DELE
OG0001646	LOC119071297|XP_037032066.1|BCOP, LOC119071313|XP_037032088.1|BCOP, LOC119071315|XP_037032093.1|BCOP, LOC119071414|XP_037032186.1|BCOP, LOC119071415|XP_037032187.1|BCOP, LOC119071312|XP_037032086.1|BCOP	LOC108144316|XP_017124505.1|DELE
OG0001647	LOC119066071|XP_037024196.1|BCOP	LOC108149589|XP_017132712.1|DELE
OG0001648	LOC119074220|XP_037036116.1|BCOP	LOC108143200|XP_017122942.1|DELE
OG0001649	LOC119082638|XP_037048099.1|BCOP, LOC119082195|XP_037047524.1|BCOP	LOC108149794|XP_017133147.1|DELE
OG0001650	LOC119085352|XP_037051622.1|BCOP	LOC108143696|XP_017123711.1|DELE
OG0001651	LOC119081719|XP_037046753.1|BCOP	LOC108137552|XP_017114766.1|DELE
OG0001652	LOC119070872|XP_037031280.1|BCOP	LOC108135616|XP_017111920.1|DELE
OG0001653	LOC119071874|XP_037032844.1|BCOP	LOC108143228|XP_017123013.1|DELE
OG0001654	LOC119069545|XP_037029520.1|BCOP	LOC108144328|XP_017124526.1|DELE
OG0001655	LOC119077077|XP_037040131.1|BCOP, LOC119083695|XP_037049375.1|BCOP	LOC108141351|XP_017120156.1|DELE
OG0001656	LOC119068316|XP_037027759.1|BCOP, LOC119067357|XP_037026162.1|BCOP, LOC119071770|XP_037032715.1|BCOP	LOC108147838|XP_017130082.1|DELE
OG0001657	LOC119086068|XP_037052539.1|BCOP	LOC108136153|XP_017112637.1|DELE
OG0001658	LOC119071227|XP_037031938.1|BCOP	LOC108142655|XP_017122145.1|DELE
OG0001659	LOC119071248|XP_037031981.1|BCOP	LOC108146799|XP_017128464.1|DELE
OG0001660	LOC119082328|XP_037047729.1|BCOP	LOC108145935|XP_017127128.1|DELE
OG0001661	LOC119078813|XP_037042413.1|BCOP, LOC119085962|XP_037052414.1|BCOP	LOC108148414|XP_017130943.1|DELE
OG0001663	LOC119068581|XP_037028121.1|BCOP, LOC119068578|XP_037028118.1|BCOP	LOC108150039|XP_017133495.1|DELE
OG0001678	LOC119084546|XP_037050454.1|BCOP, LOC119077826|XP_037041028.1|BCOP	LOC108136225|XP_017112735.1|DELE
OG0001679	LOC119068406|XP_037027864.1|BCOP	LOC108141376|XP_017120206.1|DELE
OG0001680	LOC119067812|XP_037026859.1|BCOP	LOC108138547|XP_017116306.1|DELE
OG0001681	LOC119070363|XP_037030555.1|BCOP, LOC119076744|XP_037039584.1|BCOP	LOC108137328|XP_017114447.1|DELE
OG0001682	LOC119085255|XP_037051487.1|BCOP, LOC119069413|XP_037029357.1|BCOP, LOC119078998|XP_037042658.1|BCOP	LOC108142443|XP_017121797.1|DELE
OG0001683	LOC119070881|XP_037031295.1|BCOP	LOC108149477|XP_017132580.1|DELE
OG0001684	LOC119077200|XP_037040276.1|BCOP, LOC119076428|XP_037039068.1|BCOP	LOC108145285|XP_017126088.1|DELE
OG0001685	LOC119077691|XP_037040851.1|BCOP	LOC108150507|XP_017134212.1|DELE
OG0001686	LOC119069627|XP_037029621.1|BCOP	LOC108136545|XP_017113333.1|DELE
OG0001687	LOC119068651|XP_037028222.1|BCOP	LOC108137090|XP_017114105.1|DELE
OG0001688	LOC119076000|XP_037038468.1|BCOP	LOC108141127|XP_017119838.1|DELE, LOC108140643|XP_017119058.1|DELE
OG0001689	LOC119075265|XP_037037557.1|BCOP, LOC119084308|XP_037050123.1|BCOP, LOC119069045|XP_037028810.1|BCOP	LOC108137731|XP_017115119.1|DELE
OG0001690	LOC119080524|XP_037044829.1|BCOP	LOC108147559|XP_017129636.1|DELE
OG0001691	LOC119077971|XP_037041247.1|BCOP	LOC108138240|XP_017115860.1|DELE
OG0001693	LOC119069078|XP_037028850.1|BCOP	LOC108136345|XP_017112942.1|DELE
OG0001694	LOC119069932|XP_037030051.1|BCOP	LOC108136845|XP_017113756.1|DELE
OG0001695	LOC119067243|XP_037026004.1|BCOP	LOC108139142|XP_017117250.1|DELE
OG0001696	LOC119067018|XP_037025641.1|BCOP	LOC108140527|XP_017118825.1|DELE
OG0001698	LOC119068832|XP_037028497.1|BCOP	LOC108147684|XP_017129871.1|DELE
OG0001699	LOC119067858|XP_037026990.1|BCOP	LOC108135856|XP_017112238.1|DELE
OG0001700	LOC119077575|XP_037040681.1|BCOP, LOC119084064|XP_037049798.1|BCOP	LOC108139229|XP_017117383.1|DELE
OG0001701	LOC119069177|XP_037028999.1|BCOP	LOC108148286|XP_017130741.1|DELE
OG0001702	LOC119066373|XP_037024692.1|BCOP	LOC108141826|XP_017120896.1|DELE
OG0001703	LOC119068930|XP_037028690.1|BCOP	LOC108148686|XP_017131323.1|DELE
OG0001704	LOC119068928|XP_037028688.1|BCOP	LOC108148739|XP_017131419.1|DELE
OG0001705	LOC119067910|XP_037027098.1|BCOP	LOC108148838|XP_017131594.1|DELE
OG0001706	LOC119081527|XP_037046427.1|BCOP	LOC108136774|XP_017113627.1|DELE, LOC108146787|XP_017128447.1|DELE, LOC108137430|XP_017114586.1|DELE
OG0001707	LOC119070533|XP_037030802.1|BCOP	LOC108148804|XP_017131520.1|DELE
OG0001708	LOC119068790|XP_037028445.1|BCOP	LOC108139348|XP_017117561.1|DELE
OG0001709	LOC119068970|XP_037028730.1|BCOP	LOC108146492|XP_017128013.1|DELE
OG0001711	LOC119070360|XP_037030550.1|BCOP	LOC108148729|XP_017131396.1|DELE
OG0001712	LOC119069168|XP_037028972.1|BCOP	LOC108136737|XP_017113566.1|DELE
OG0001713	LOC119070411|XP_037030638.1|BCOP	LOC108140778|XP_017119254.1|DELE
OG0001714	LOC119068105|XP_037027426.1|BCOP	LOC108141044|XP_017119670.1|DELE
OG0001715	LOC119068244|XP_037027670.1|BCOP	LOC108150024|XP_017133473.1|DELE
OG0001716	LOC119081196|XP_037045807.1|BCOP	LOC108136637|XP_017113446.1|DELE
OG0001717	LOC119067038|XP_037025668.1|BCOP	LOC108148776|XP_017131474.1|DELE
OG0001718	LOC119067040|XP_037025672.1|BCOP	LOC108137372|XP_017114503.1|DELE
OG0001719	LOC119068687|XP_037028261.1|BCOP, LOC119068679|XP_037028259.1|BCOP	LOC108148675|XP_017131298.1|DELE
OG0001720	LOC119070509|XP_037030762.1|BCOP	LOC108135543|XP_017111783.1|DELE
OG0001721	LOC119067428|XP_037026293.1|BCOP	LOC108143815|XP_017123826.1|DELE
OG0001722	LOC119074593|XP_037036734.1|BCOP	LOC108146080|XP_017127385.1|DELE
OG0001723	LOC119083678|XP_037049357.1|BCOP	LOC108140484|XP_017118726.1|DELE
OG0001724	LOC119074111|XP_037035969.1|BCOP	LOC108145202|XP_017125933.1|DELE
OG0001725	LOC119073997|XP_037035821.1|BCOP	LOC108144324|XP_017124515.1|DELE
OG0001726	LOC119073360|XP_037034663.1|BCOP	LOC108142582|XP_017122027.1|DELE
OG0001727	LOC119070539|XP_037030810.1|BCOP	LOC108148864|XP_017131653.1|DELE
OG0001728	LOC119076376|XP_037038987.1|BCOP, LOC119081678|XP_037046662.1|BCOP	LOC108144734|XP_017125319.1|DELE
OG0001729	LOC119079298|XP_037042980.1|BCOP	LOC108141310|XP_017120064.1|DELE
OG0001730	LOC119085974|XP_037052431.1|BCOP	LOC108138208|XP_017115817.1|DELE
OG0001731	LOC119077466|XP_037040571.1|BCOP	LOC108138803|XP_017116784.1|DELE
OG0001733	LOC119083620|XP_037049252.1|BCOP, LOC119083619|XP_037049251.1|BCOP	LOC108145243|XP_017126001.1|DELE
OG0001734	LOC119075456|XP_037037792.1|BCOP, LOC119070476|XP_037030728.1|BCOP	LOC108145543|XP_017126532.1|DELE
OG0001735	LOC119073264|XP_037034537.1|BCOP	LOC108142677|XP_017122171.1|DELE
OG0001736	LOC119080231|XP_037044373.1|BCOP	LOC108145183|XP_017125912.1|DELE, LOC108145182|XP_017125910.1|DELE
OG0001737	LOC119080960|XP_037045487.1|BCOP	LOC108143472|XP_017123404.1|DELE
OG0001738	LOC119080843|XP_037045298.1|BCOP	LOC108135689|XP_017112019.1|DELE
OG0001739	LOC119080808|XP_037045274.1|BCOP	LOC108138356|XP_017116018.1|DELE, LOC108149909|XP_017133299.1|DELE
OG0001740	LOC119075498|XP_037037858.1|BCOP, LOC119070240|XP_037030407.1|BCOP	LOC108143429|XP_017123333.1|DELE
OG0001741	LOC119073401|XP_037034730.1|BCOP, LOC119085850|XP_037052253.1|BCOP	LOC108138697|XP_017116532.1|DELE
OG0001742	LOC119080199|XP_037044335.1|BCOP	LOC108147029|XP_017128775.1|DELE, LOC108147059|XP_017128835.1|DELE
OG0001743	LOC119076138|XP_037038711.1|BCOP	LOC108146416|XP_017127908.1|DELE
OG0001744	LOC119079410|XP_037043196.1|BCOP	LOC108145087|XP_017125764.1|DELE
OG0001745	LOC119081729|XP_037046785.1|BCOP	LOC108137528|XP_017114734.1|DELE
OG0001746	LOC119085490|XP_037051801.1|BCOP	LOC108150375|XP_017134004.1|DELE
OG0001747	LOC119079630|XP_037043520.1|BCOP	LOC108144429|XP_017124782.1|DELE
OG0001748	LOC119081126|XP_037045765.1|BCOP	LOC108150119|XP_017133575.1|DELE
OG0001749	LOC119079661|XP_037043605.1|BCOP	LOC108144826|XP_017125447.1|DELE
OG0001750	LOC119079658|XP_037043596.1|BCOP	LOC108144824|XP_017125444.1|DELE
OG0001751	LOC119080835|XP_037045288.1|BCOP	LOC108135579|XP_017111860.1|DELE
OG0001752	LOC119080955|XP_037045480.1|BCOP	LOC108147407|XP_017129333.1|DELE
OG0001753	LOC119073253|XP_037034509.1|BCOP	LOC108146120|XP_017127448.1|DELE
OG0001754	LOC119073323|XP_037034608.1|BCOP	LOC108143532|XP_017123517.1|DELE
OG0001755	LOC119076046|XP_037038572.1|BCOP	LOC108145804|XP_017126867.1|DELE
OG0001756	LOC119074519|XP_037036577.1|BCOP	LOC108141359|XP_017120169.1|DELE
OG0001757	LOC119074147|XP_037036042.1|BCOP	LOC108138639|XP_017116469.1|DELE
OG0001758	LOC119080723|XP_037045104.1|BCOP	LOC108146594|XP_017128105.1|DELE
OG0001759	LOC119073603|XP_037035073.1|BCOP	LOC108144504|XP_017124927.1|DELE
OG0001760	LOC119074615|XP_037036773.1|BCOP	LOC108137105|XP_017114161.1|DELE, LOC108143496|XP_017123442.1|DELE
OG0001761	LOC119073322|XP_037034606.1|BCOP	LOC108145241|XP_017125996.1|DELE
OG0001762	LOC119066255|XP_037024487.1|BCOP	LOC108150729|XP_017134515.1|DELE
OG0001763	LOC119080693|XP_037045035.1|BCOP, LOC119066128|XP_037024312.1|BCOP	LOC108135274|XP_017111442.1|DELE
OG0001764	LOC119084901|XP_037050950.1|BCOP	LOC108135154|XP_017111263.1|DELE
OG0001765	LOC119073248|XP_037034476.1|BCOP	LOC108141334|XP_017120106.1|DELE
OG0001766	LOC119083409|XP_037049024.1|BCOP, LOC119082183|XP_037047494.1|BCOP, LOC119082515|XP_037047922.1|BCOP	LOC108141883|XP_017120981.1|DELE
OG0001767	LOC119084667|XP_037050638.1|BCOP	LOC108138937|XP_017117000.1|DELE
OG0001768	LOC119069042|XP_037028808.1|BCOP	LOC108137867|XP_017115292.1|DELE
OG0001769	LOC119082055|XP_037047282.1|BCOP	LOC108137780|XP_017115174.1|DELE
OG0001770	LOC119073705|XP_037035204.1|BCOP, LOC119083728|XP_037049425.1|BCOP, LOC119067046|XP_037025684.1|BCOP	LOC108134526|XP_017110358.1|DELE
OG0001771	LOC119070858|XP_037031266.1|BCOP	LOC108134771|XP_017110707.1|DELE
OG0001772	LOC119078700|XP_037042258.1|BCOP, LOC119078699|XP_037042257.1|BCOP	LOC108142083|XP_017121263.1|DELE
OG0001773	LOC119082576|XP_037047996.1|BCOP	LOC108142051|XP_017121222.1|DELE
OG0001774	LOC119083129|XP_037048660.1|BCOP, LOC119079737|XP_037043697.1|BCOP	LOC108144745|XP_017125336.1|DELE
OG0001776	LOC119073579|XP_037035043.1|BCOP, LOC119067408|XP_037026250.1|BCOP, LOC119076524|XP_037039205.1|BCOP	LOC108135248|XP_017111402.1|DELE
OG0001777	LOC119078707|XP_037042271.1|BCOP	LOC108138317|XP_017115964.1|DELE
OG0001778	LOC119079060|XP_037042761.1|BCOP	LOC108150464|XP_017134142.1|DELE
OG0001779	LOC119075648|XP_037038030.1|BCOP	LOC108141778|XP_017120767.1|DELE
OG0001780	LOC119081661|XP_037046639.1|BCOP	LOC108146741|XP_017128358.1|DELE, LOC108142154|XP_017121328.1|DELE
OG0001781	LOC119085957|XP_037052409.1|BCOP	LOC108138976|XP_017117049.1|DELE
OG0001782	LOC119072880|XP_037034088.1|BCOP	LOC108149309|XP_017132249.1|DELE
OG0001783	LOC119076346|XP_037038936.1|BCOP	LOC108142028|XP_017121193.1|DELE
OG0001784	LOC119082062|XP_037047291.1|BCOP	LOC108147934|XP_017130208.1|DELE
OG0001785	LOC119081413|XP_037046205.1|BCOP, LOC119083653|XP_037049324.1|BCOP	LOC108141340|XP_017120138.1|DELE
OG0001786	LOC119085436|XP_037051749.1|BCOP	LOC108139015|XP_017117107.1|DELE
OG0001787	LOC119066153|XP_037024350.1|BCOP	LOC108138821|XP_017116808.1|DELE
OG0001788	LOC119084388|XP_037050251.1|BCOP	LOC108134664|XP_017110549.1|DELE
OG0001789	LOC119079846|XP_037043808.1|BCOP	LOC108135384|XP_017111567.1|DELE
OG0001790	LOC119076539|XP_037039228.1|BCOP, LOC119082236|XP_037047594.1|BCOP	LOC108138228|XP_017115839.1|DELE
OG0001791	LOC119081629|XP_037046575.1|BCOP	LOC108144432|XP_017124803.1|DELE
OG0001792	LOC119078851|XP_037042455.1|BCOP	LOC108138933|XP_017116995.1|DELE
OG0001793	LOC119073435|XP_037034811.1|BCOP	LOC108149744|XP_017133013.1|DELE
OG0001794	LOC119066773|XP_037025321.1|BCOP	LOC108150465|XP_017134143.1|DELE
OG0001795	LOC119072041|XP_037033055.1|BCOP	LOC108150452|XP_017134101.1|DELE
OG0001796	LOC119069660|XP_037029673.1|BCOP	LOC108149971|XP_017133379.1|DELE
OG0001797	LOC119081026|XP_037045607.1|BCOP	LOC108145321|XP_017126184.1|DELE
OG0001799	LOC119084672|XP_037050644.1|BCOP	LOC108145044|XP_017125717.1|DELE
OG0001800	LOC119074840|XP_037037041.1|BCOP, LOC119078739|XP_037042328.1|BCOP	LOC108138324|XP_017115974.1|DELE
OG0001801	LOC119070239|XP_037030404.1|BCOP, LOC119083377|XP_037048986.1|BCOP, LOC119075132|XP_037037412.1|BCOP	LOC108150358|XP_017133981.1|DELE
OG0001802	LOC119077578|XP_037040683.1|BCOP	LOC108144053|XP_017124186.1|DELE
OG0001803	LOC119074668|XP_037036845.1|BCOP	LOC108141176|XP_017119893.1|DELE
OG0001804	LOC119074411|XP_037036433.1|BCOP	LOC108137475|XP_017114670.1|DELE
OG0001805	LOC119083334|XP_037048955.1|BCOP, LOC119076508|XP_037039185.1|BCOP, LOC119083881|XP_037049590.1|BCOP	LOC108147522|XP_017129593.1|DELE
OG0001806	LOC119077764|XP_037040969.1|BCOP	LOC108139236|XP_017117392.1|DELE
OG0001807	LOC119074311|XP_037036254.1|BCOP	LOC108148337|XP_017130828.1|DELE
OG0001808	LOC119067233|XP_037025988.1|BCOP	LOC108140506|XP_017118777.1|DELE
OG0001809	LOC119084084|XP_037049815.1|BCOP	LOC108141211|XP_017119949.1|DELE
OG0001810	LOC119075999|XP_037038466.1|BCOP	LOC108148485|XP_017131008.1|DELE
OG0001811	LOC119083150|XP_037048690.1|BCOP	LOC108147063|XP_017128843.1|DELE
OG0001812	LOC119076651|XP_037039429.1|BCOP	LOC108134928|XP_017110937.1|DELE
OG0001813	LOC119076005|XP_037038475.1|BCOP	LOC108135750|XP_017112073.1|DELE
OG0001814	LOC119072241|XP_037033312.1|BCOP, LOC119067977|XP_037027223.1|BCOP, LOC119067968|XP_037027201.1|BCOP	LOC108141065|XP_017119708.1|DELE
