Orthogroup	BCOP.longest_only	DMIR.longest_only
OG0000836	LOC119085395|XP_037051689.1|BCOP	LOC117188880|XP_033249299.1|DMIR, LOC117188881|XP_033249300.1|DMIR, LOC108164111|XP_033249298.1|DMIR, LOC108161607|XP_017151392.1|DMIR
OG0000837	LOC119076471|XP_037039142.1|BCOP	LOC108162100|XP_017152153.1|DMIR
OG0000838	LOC119068074|XP_037027375.1|BCOP	LOC108161713|XP_017151522.1|DMIR, LOC108161714|XP_017151523.1|DMIR
OG0000839	LOC119070071|XP_037030263.1|BCOP	LOC108154741|XP_017140599.1|DMIR
OG0000840	LOC119080753|XP_037045206.1|BCOP	LOC108164574|XP_017155882.1|DMIR
OG0000841	LOC119084366|XP_037050211.1|BCOP	LOC108157441|XP_017144984.1|DMIR
OG0000841	LOC119083016|XP_037048548.1|BCOP	LOC108157024|XP_017144321.1|DMIR
OG0000842	LOC119072389|XP_037033493.1|BCOP, LOC119072384|XP_037033480.1|BCOP	LOC108158195|XP_017145903.1|DMIR, LOC108157095|XP_017144448.1|DMIR
OG0000843	LOC119079035|XP_037042717.1|BCOP	LOC117191099|XP_033251953.1|DMIR, LOC117190358|XP_033251328.1|DMIR, LOC117190631|XP_033251567.1|DMIR, LOC117190630|XP_033251566.1|DMIR, LOC117190170|XP_033251123.1|DMIR, LOC117190355|XP_033251325.1|DMIR, LOC117190335|XP_033251306.1|DMIR, LOC117190332|XP_033251301.1|DMIR, LOC117190336|XP_033251307.1|DMIR, LOC117190337|XP_033251309.1|DMIR, LOC117191089|XP_033251943.1|DMIR, LOC117190328|XP_033251297.1|DMIR, LOC117190327|XP_033251293.1|DMIR, LOC117190333|XP_033251302.1|DMIR, LOC117190329|XP_033251298.1|DMIR, LOC117190331|XP_033251300.1|DMIR, LOC117190330|XP_033251299.1|DMIR, LOC117191632|XP_033252336.1|DMIR, LOC117187714|XP_033246349.1|DMIR, LOC117191634|XP_033252337.1|DMIR, LOC117190320|XP_033251286.1|DMIR, LOC117190334|XP_033251303.1|DMIR
OG0000844	LOC119083170|XP_037048724.1|BCOP	LOC108160082|XP_017149343.1|DMIR, LOC108155080|XP_017141186.1|DMIR
OG0000846	LOC119068707|XP_037028291.1|BCOP, LOC119070787|XP_037031160.1|BCOP, LOC119079003|XP_037042665.1|BCOP	LOC108157191|XP_017144609.1|DMIR
OG0000847	LOC119072346|XP_037033430.1|BCOP	LOC108160915|XP_017150682.1|DMIR, LOC117194160|XP_033254707.1|DMIR, LOC108159107|XP_017147569.1|DMIR
OG0000854	LOC119069498|XP_037029463.1|BCOP	LOC108160280|XP_017149655.1|DMIR, LOC108160260|XP_017149621.1|DMIR
OG0000855	LOC119068890|XP_037028652.1|BCOP	LOC108150977|XP_017134808.1|DMIR, LOC108154293|XP_017140033.1|DMIR
OG0000856	LOC119067987|XP_037027238.1|BCOP	LOC108152869|XP_017137987.1|DMIR
OG0000857	LOC119068999|XP_037028771.1|BCOP, LOC119072698|XP_037033864.1|BCOP	LOC108162242|XP_017152371.1|DMIR
OG0000858	LOC119083251|XP_037048820.1|BCOP, LOC119067888|XP_037027065.1|BCOP	LOC108154170|XP_033244277.1|DMIR
OG0000860	LOC119079717|XP_037043668.1|BCOP, LOC119075551|XP_037037913.1|BCOP	LOC108151523|XP_017135662.1|DMIR, LOC108151758|XP_017136088.1|DMIR
OG0000861	LOC119074061|XP_037035907.1|BCOP	LOC108158687|XP_017146709.1|DMIR, LOC117194131|XP_033254669.1|DMIR, LOC108158683|XP_017146704.1|DMIR, LOC117194128|XP_033254665.1|DMIR, LOC117193108|XP_033253720.1|DMIR
OG0000862	LOC119073900|XP_037035684.1|BCOP	LOC117192274|XP_033252821.1|DMIR, LOC108158863|XP_017147085.1|DMIR, LOC108163211|XP_017153855.1|DMIR
OG0000863	LOC119066209|XP_037024425.1|BCOP	LOC108155197|XP_017141358.1|DMIR
OG0000864	LOC119066527|XP_037024946.1|BCOP	LOC108152880|XP_017138002.1|DMIR
OG0000865	LOC119073880|XP_037035655.1|BCOP	LOC108163908|XP_017154925.1|DMIR, LOC108156918|XP_017144154.1|DMIR
OG0000866	LOC119066067|XP_037024188.1|BCOP	LOC117188611|XP_033248498.1|DMIR, LOC108161761|XP_033248503.1|DMIR
OG0000867	LOC119067861|XP_037027007.1|BCOP	LOC108163864|XP_017154869.1|DMIR
OG0000868	LOC119072834|XP_037034037.1|BCOP	LOC108164990|XP_017156505.1|DMIR, LOC108163639|XP_017154539.1|DMIR, LOC108163345|XP_017154074.1|DMIR, LOC108157316|XP_017144814.1|DMIR, LOC108162651|XP_017152977.1|DMIR
OG0000869	LOC119071912|XP_037032926.1|BCOP	LOC108157765|XP_017145436.1|DMIR
OG0000870	LOC119079910|XP_037043895.1|BCOP	LOC117191037|XP_033251898.1|DMIR, LOC108160499|XP_017150025.1|DMIR
OG0000871	LOC119066342|XP_037024650.1|BCOP, LOC119080211|XP_037044344.1|BCOP, LOC119084154|XP_037049900.1|BCOP, LOC119073231|XP_037034438.1|BCOP, LOC119073153|XP_037034349.1|BCOP, LOC119084536|XP_037050440.1|BCOP, LOC119079324|XP_037043015.1|BCOP, LOC119069709|XP_037029728.1|BCOP, LOC119069530|XP_037029500.1|BCOP, LOC119070130|XP_037030348.1|BCOP, LOC119071216|XP_037031920.1|BCOP, LOC119079423|XP_037043223.1|BCOP, LOC119082646|XP_037048121.1|BCOP, LOC119071173|XP_037031831.1|BCOP	LOC108159137|XP_017147620.2|DMIR, LOC117188403|XP_033248129.1|DMIR
OG0000873	LOC119066871|XP_037025438.1|BCOP, LOC119066872|XP_037025441.1|BCOP	LOC108152656|XP_017137639.1|DMIR
OG0000874	LOC119071112|XP_037031653.1|BCOP	LOC108165187|XP_017156746.1|DMIR, LOC117193456|XP_033254103.1|DMIR, LOC108160532|XP_017150083.1|DMIR
OG0000875	LOC119085447|XP_037051763.1|BCOP	LOC108153984|XP_033246109.1|DMIR, LOC108153332|XP_017138738.1|DMIR
OG0000877	LOC119080405|XP_037044630.1|BCOP	LOC108151444|XP_017135545.1|DMIR, LOC108165148|XP_017156704.1|DMIR
OG0000882	LOC119067316|XP_037026121.1|BCOP	LOC108160058|XP_017149297.1|DMIR, LOC108161883|XP_033250029.1|DMIR
OG0000883	LOC119068362|XP_037027826.1|BCOP, LOC119068300|XP_037027736.1|BCOP, LOC119080995|XP_037045546.1|BCOP, LOC119080818|XP_037045280.1|BCOP, LOC119085737|XP_037052100.1|BCOP, LOC119080377|XP_037044580.1|BCOP, LOC119085741|XP_037052103.1|BCOP, LOC119073230|XP_037034437.1|BCOP, LOC119078909|XP_037042534.1|BCOP	LOC108150812|XP_017134609.1|DMIR
OG0000884	LOC119068721|XP_037028308.1|BCOP	LOC117188641|XP_033248686.1|DMIR, LOC108163482|XP_017154278.2|DMIR, LOC117188639|XP_033248684.1|DMIR, LOC108159126|XP_017147604.1|DMIR
OG0000885	LOC119068824|XP_037028491.1|BCOP	LOC108156404|XP_017143332.1|DMIR
OG0000886	LOC119083322|XP_037048902.1|BCOP, LOC119083347|XP_037048934.1|BCOP	LOC108155876|XP_017142488.1|DMIR
OG0000887	LOC119070304|XP_037030468.1|BCOP	LOC108165075|XP_017156615.1|DMIR
OG0000888	LOC119080382|XP_037044584.1|BCOP	LOC117186617|XP_033243514.1|DMIR, LOC108152097|XP_017136636.2|DMIR
OG0000889	LOC119080079|XP_037044194.1|BCOP	LOC108152556|XP_017137466.1|DMIR
OG0000890	LOC119074495|XP_037036542.1|BCOP	LOC117185730|XP_033246507.1|DMIR, LOC108160187|XP_017149506.2|DMIR, LOC108154032|XP_033244735.1|DMIR, LOC117187064|XP_033244734.1|DMIR, LOC117186398|XP_033243030.1|DMIR, LOC117186473|XP_033243235.1|DMIR, LOC117186408|XP_033243056.1|DMIR, LOC117186389|XP_033243015.1|DMIR, LOC108163228|XP_017153873.1|DMIR
OG0000891	LOC119071905|XP_037032913.1|BCOP	LOC108163385|XP_017154128.1|DMIR
OG0000892	LOC119078708|XP_037042273.1|BCOP	LOC108152201|XP_017136849.1|DMIR, LOC108152050|XP_017136541.1|DMIR
OG0000893	LOC119075563|XP_037037925.1|BCOP, LOC119075564|XP_037037927.1|BCOP, LOC119077985|XP_037041261.1|BCOP, LOC119084453|XP_037050329.1|BCOP, LOC119067881|XP_037027052.1|BCOP, LOC119074918|XP_037037203.1|BCOP	LOC108153859|XP_017139447.1|DMIR
OG0000894	LOC119068826|XP_037028494.1|BCOP	LOC108156893|XP_017144122.1|DMIR, LOC108156892|XP_017144119.1|DMIR, LOC108156884|XP_017144108.1|DMIR
OG0000896	LOC119071864|XP_037032821.1|BCOP	LOC117185727|XP_033247630.1|DMIR, LOC108157972|XP_033252695.1|DMIR, LOC108156265|XP_017143123.1|DMIR
OG0000907	LOC119069087|XP_037028864.1|BCOP	LOC117191628|XP_033252332.1|DMIR, LOC117191629|XP_033252333.1|DMIR, LOC117191626|XP_033252331.1|DMIR, LOC117191630|XP_033252334.1|DMIR, LOC117191631|XP_033252335.1|DMIR, LOC117187719|XP_033246358.1|DMIR, LOC117190340|XP_033251312.1|DMIR, LOC117190343|XP_033251314.1|DMIR, LOC117190629|XP_033251565.1|DMIR, LOC117189528|XP_033250560.1|DMIR, LOC117190628|XP_033251564.1|DMIR, LOC117191098|XP_033251952.1|DMIR, LOC117190169|XP_033251122.1|DMIR, LOC117190348|XP_033251320.1|DMIR, LOC117190342|XP_033251313.1|DMIR, LOC117190352|XP_033251323.1|DMIR, LOC117190344|XP_033251315.1|DMIR, LOC117190346|XP_033251318.1|DMIR, LOC117190347|XP_033251319.1|DMIR, LOC117190345|XP_033251316.1|DMIR, LOC117190350|XP_033251322.1|DMIR, LOC117190349|XP_033251321.1|DMIR
OG0000909	LOC119067056|XP_037025697.1|BCOP	LOC117188014|XP_033247036.1|DMIR, LOC108164962|XP_017156460.1|DMIR, LOC108157387|XP_017144912.1|DMIR, LOC117188275|XP_033247725.1|DMIR, LOC117188015|XP_033247042.1|DMIR, LOC117188925|XP_033249448.1|DMIR, LOC117188272|XP_033247720.1|DMIR
OG0000910	LOC119075482|XP_037037828.1|BCOP	LOC108158469|XP_017146252.1|DMIR
OG0000911	LOC119072888|XP_037034106.1|BCOP	LOC117188192|XP_033247563.1|DMIR, LOC117188202|XP_033247578.1|DMIR, LOC117188206|XP_033247585.1|DMIR, LOC108160576|XP_033247584.1|DMIR, LOC117188193|XP_033247564.1|DMIR, LOC117187404|XP_033245897.1|DMIR, LOC108158058|XP_033247456.1|DMIR, LOC117188050|XP_033247157.1|DMIR, LOC117188212|XP_033247594.1|DMIR, LOC117188211|XP_033247593.1|DMIR, LOC117188189|XP_033247560.1|DMIR, LOC117194106|XP_033254637.1|DMIR, LOC117194107|XP_033254638.1|DMIR, LOC117194105|XP_033254636.1|DMIR, LOC117194118|XP_033254652.1|DMIR, LOC117194108|XP_033254641.1|DMIR, LOC108155394|XP_033254654.1|DMIR, LOC117194119|XP_033254653.1|DMIR, LOC117194109|XP_033254642.1|DMIR
OG0000912	LOC119075043|XP_037037336.1|BCOP	LOC108153104|XP_017138376.1|DMIR
OG0000913	LOC119080701|XP_037045051.1|BCOP	LOC108151510|XP_017135644.1|DMIR
OG0000914	LOC119081480|XP_037046373.1|BCOP	LOC108160970|XP_017150757.2|DMIR, LOC117188428|XP_033248198.1|DMIR
OG0000915	LOC119084701|XP_037050673.1|BCOP	LOC108160172|XP_017149485.1|DMIR, LOC117191242|XP_033252050.1|DMIR
OG0000916	LOC119085310|XP_037051561.1|BCOP, LOC119083725|XP_037049418.1|BCOP, LOC119083824|XP_037049514.1|BCOP, LOC119083729|XP_037049422.1|BCOP	LOC108163426|XP_033248996.1|DMIR
OG0000917	LOC119082593|XP_037048030.1|BCOP	LOC108156937|XP_033245053.1|DMIR, LOC108162455|XP_033249421.1|DMIR
OG0000918	LOC119076314|XP_037038876.1|BCOP	LOC108163084|XP_017153652.1|DMIR
OG0000920	LOC119083049|XP_037048568.1|BCOP	LOC108165043|XP_017156570.1|DMIR
OG0000921	LOC119078052|XP_037041367.1|BCOP	LOC117186269|XP_033242682.1|DMIR, LOC108151703|XP_033242034.1|DMIR
OG0000922	LOC119068338|XP_037027793.1|BCOP, LOC119082934|XP_037048485.1|BCOP	LOC108152685|XP_017137673.1|DMIR
OG0000923	LOC119075006|XP_037037304.1|BCOP	LOC108155715|XP_017142201.1|DMIR
OG0000924	LOC119076113|XP_037038669.1|BCOP	LOC117186525|XP_033243335.1|DMIR, LOC117186531|XP_033243346.1|DMIR, LOC117186528|XP_033243343.1|DMIR, LOC117186539|XP_033243357.1|DMIR, LOC117186745|XP_033243837.1|DMIR, LOC117186534|XP_033243349.1|DMIR, LOC117186533|XP_033243348.1|DMIR, LOC117186532|XP_033243347.1|DMIR, LOC117186542|XP_033243361.1|DMIR, LOC117186535|XP_033243352.1|DMIR, LOC117186536|XP_033243353.1|DMIR, LOC117195294|XP_033255792.1|DMIR, LOC117186537|XP_033243355.1|DMIR, LOC117186530|XP_033243345.1|DMIR, LOC117186529|XP_033243344.1|DMIR, LOC117186541|XP_033243360.1|DMIR, LOC117186540|XP_033243358.1|DMIR, LOC117186538|XP_033243356.1|DMIR, LOC108153145|XP_033243286.1|DMIR
OG0000925	LOC119066547|XP_037024978.1|BCOP	LOC108156033|XP_017142774.1|DMIR
OG0000935	LOC119085662|XP_037052005.1|BCOP	LOC108155300|XP_017141504.2|DMIR
OG0000936	LOC119068158|XP_037027530.1|BCOP	LOC117187223|XP_033245321.1|DMIR, LOC108152145|XP_017136749.1|DMIR
OG0000937	LOC119069164|XP_037028965.1|BCOP, LOC119069166|XP_037028969.1|BCOP, LOC119071087|XP_037031624.1|BCOP	LOC108157203|XP_017144624.1|DMIR
OG0000938	LOC119069567|XP_037029542.1|BCOP	LOC108164361|XP_017155475.1|DMIR
OG0000939	LOC119069209|XP_037029080.1|BCOP	LOC108163156|XP_017153762.2|DMIR, LOC117185883|XP_033249325.1|DMIR
OG0000940	LOC119067541|XP_037026493.1|BCOP	LOC108153229|XP_017138551.1|DMIR
OG0000941	LOC119069063|XP_037028834.1|BCOP	LOC108159334|XP_017148024.1|DMIR
OG0000942	LOC119080805|XP_037045271.1|BCOP	LOC108152313|XP_017137035.1|DMIR
OG0000943	LOC119075876|XP_037038336.1|BCOP	LOC108160030|XP_017149258.1|DMIR, LOC117190065|XP_033251037.1|DMIR, LOC108159380|XP_017148097.1|DMIR
OG0000944	LOC119081864|XP_037046988.1|BCOP	LOC108164647|XP_017155986.1|DMIR
OG0000945	LOC119083903|XP_037049611.1|BCOP	LOC108152464|XP_017137321.1|DMIR
OG0000947	LOC119081502|XP_037046404.1|BCOP	LOC108160478|XP_017149987.1|DMIR, LOC117189835|XP_033250789.1|DMIR
OG0000948	LOC119071154|XP_037031801.1|BCOP	LOC117186253|XP_033242659.1|DMIR, LOC108151885|XP_033242660.1|DMIR, LOC108151887|XP_033242658.1|DMIR, LOC117186254|XP_033242662.1|DMIR, LOC117186252|XP_033242657.1|DMIR, LOC108151884|XP_033242654.1|DMIR, LOC117186250|XP_033242655.1|DMIR, LOC117186317|XP_033242837.1|DMIR, LOC117186251|XP_033242656.1|DMIR
OG0000949	LOC119076037|XP_037038552.1|BCOP	LOC108155578|XP_017141973.1|DMIR
OG0000949	LOC119076075|XP_037038619.1|BCOP	LOC108155592|XP_017142002.1|DMIR
OG0000950	LOC119081508|XP_037046414.1|BCOP	LOC108152594|XP_017137542.1|DMIR, LOC108154333|XP_017140084.1|DMIR
OG0000951	LOC119084350|XP_037050187.1|BCOP	LOC117191277|XP_033252078.1|DMIR, LOC108155628|XP_017142048.1|DMIR, LOC117191967|XP_033252600.1|DMIR, LOC108161568|XP_017151346.2|DMIR
OG0000954	LOC119081383|XP_037046166.1|BCOP, LOC119080804|XP_037045270.1|BCOP, LOC119074225|XP_037036139.1|BCOP	LOC117194151|XP_033254696.1|DMIR, LOC108158315|XP_017146046.1|DMIR, LOC117193634|XP_033254270.1|DMIR, LOC117194152|XP_033254697.1|DMIR, LOC108158308|XP_017146036.1|DMIR
OG0000964	LOC119085822|XP_037052212.1|BCOP	LOC117191441|XP_033252198.1|DMIR, LOC117190486|XP_033251444.1|DMIR, LOC117191998|XP_033252613.1|DMIR, LOC108161245|XP_017150989.1|DMIR
OG0000965	LOC119083829|XP_037049526.1|BCOP	LOC117187003|XP_033244446.1|DMIR, LOC117187013|XP_033244505.1|DMIR, LOC117187426|XP_033245975.1|DMIR, LOC117187419|XP_033245965.1|DMIR, LOC117187427|XP_033245976.1|DMIR, LOC117187423|XP_033245971.1|DMIR, LOC117187049|XP_033244666.1|DMIR, LOC117187033|XP_033244601.1|DMIR, LOC117187005|XP_033244454.1|DMIR, LOC117186984|XP_033244352.1|DMIR, LOC117187001|XP_033244441.1|DMIR, LOC108164947|XP_017156425.2|DMIR
OG0000966	LOC119073645|XP_037035139.1|BCOP, LOC119073195|XP_037034398.1|BCOP	LOC108157490|XP_017145076.1|DMIR
OG0000968	LOC119066471|XP_037024872.1|BCOP, LOC119068517|XP_037028018.1|BCOP, LOC119080041|XP_037044138.1|BCOP, LOC119067361|XP_037026171.1|BCOP, LOC119080036|XP_037044121.1|BCOP	LOC108151665|XP_017135893.1|DMIR
OG0000969	LOC119074494|XP_037036541.1|BCOP	LOC117193545|XP_033254181.1|DMIR, LOC108158362|XP_017146105.1|DMIR
OG0000970	LOC119073002|XP_037034221.1|BCOP, LOC119072601|XP_037033750.1|BCOP, LOC119077095|XP_037040152.1|BCOP, LOC119077140|XP_037040218.1|BCOP	LOC108154284|XP_017140027.1|DMIR, LOC108154274|XP_017140016.1|DMIR, LOC108156262|XP_017143114.1|DMIR
OG0000971	LOC119072932|XP_037034147.1|BCOP	LOC108164143|XP_017155236.1|DMIR
OG0000972	LOC119066215|XP_037024433.1|BCOP	LOC108151938|XP_017136357.1|DMIR
OG0000975	LOC119075022|XP_037037326.1|BCOP	LOC108154784|XP_017140660.1|DMIR, LOC108155522|XP_017141858.1|DMIR
OG0000977	LOC119077973|XP_037041250.1|BCOP	LOC108154819|XP_017140708.1|DMIR, LOC108154818|XP_017140707.1|DMIR
OG0000978	LOC119079549|XP_037043432.1|BCOP	LOC108154967|XP_017140970.1|DMIR
OG0000980	LOC119085810|XP_037052186.1|BCOP, LOC119078875|XP_037042486.1|BCOP	LOC108154783|XP_017140659.1|DMIR, LOC108154194|XP_017139899.1|DMIR
OG0000981	LOC119077440|XP_037040551.1|BCOP	LOC108163919|XP_033249068.1|DMIR
OG0000988	LOC119068079|XP_037027381.1|BCOP, LOC119080941|XP_037045463.1|BCOP	LOC108162923|XP_017153394.1|DMIR
OG0000990	LOC119070368|XP_037030562.1|BCOP	LOC117190487|XP_033251445.1|DMIR, LOC108152683|XP_017137675.1|DMIR
OG0000991	LOC119066633|XP_037025092.1|BCOP, LOC119081459|XP_037046325.1|BCOP	LOC108159144|XP_017147632.1|DMIR
OG0000992	LOC119074967|XP_037037258.1|BCOP	LOC108157393|XP_033245963.1|DMIR
OG0000994	LOC119081336|XP_037046032.1|BCOP	LOC108165057|XP_017156591.1|DMIR
OG0000995	LOC119081827|XP_037046960.1|BCOP	LOC108163937|XP_017154961.2|DMIR
OG0000996	LOC119081619|XP_037046563.1|BCOP, LOC119081223|XP_037045842.1|BCOP, LOC119070962|XP_037031421.1|BCOP	LOC108160227|XP_017149568.1|DMIR
OG0000997	LOC119076354|XP_037038949.1|BCOP	LOC108160787|XP_017150483.2|DMIR, LOC117190405|XP_033251374.1|DMIR, LOC117187782|XP_033246511.1|DMIR
OG0000998	LOC119074775|XP_037036948.1|BCOP, LOC119073498|XP_037034908.1|BCOP, LOC119074718|XP_037036896.1|BCOP	LOC108151389|XP_017135454.1|DMIR
OG0000999	LOC119084413|XP_037050276.1|BCOP	LOC108155745|XP_017142259.1|DMIR
OG0001000	LOC119073777|XP_037035340.1|BCOP	LOC117188052|XP_033247167.1|DMIR, LOC117190773|XP_033251724.1|DMIR
OG0001001	LOC119075735|XP_037038174.1|BCOP	LOC117192545|XP_033253132.1|DMIR, LOC108160074|XP_017149319.1|DMIR
OG0001002	LOC119074361|XP_037036358.1|BCOP, LOC119070352|XP_037030564.1|BCOP	LOC108162981|XP_017153476.1|DMIR
OG0001003	LOC119066211|XP_037024432.1|BCOP	LOC108154975|XP_017140984.1|DMIR
OG0001004	LOC119084063|XP_037049796.1|BCOP	LOC108155115|XP_017141243.1|DMIR
OG0001005	LOC119074410|XP_037036429.1|BCOP	LOC108158674|XP_017146682.1|DMIR
OG0001006	LOC119071631|XP_037032484.1|BCOP	LOC108151405|XP_017135482.1|DMIR
OG0001007	LOC119072482|XP_037033606.1|BCOP	LOC117185760|XP_017148353.1|DMIR, LOC108159506|XP_017148352.2|DMIR
OG0001008	LOC119086069|XP_037052540.1|BCOP	LOC108164832|XP_017156243.1|DMIR
OG0001009	LOC119075361|XP_037037690.1|BCOP	LOC108155068|XP_017141144.1|DMIR, LOC108155777|XP_033245461.1|DMIR
OG0001019	LOC119069347|XP_037029316.1|BCOP	LOC108157038|XP_017144341.1|DMIR
OG0001020	LOC119078481|XP_037041936.1|BCOP, LOC119078471|XP_037041924.1|BCOP, LOC119069995|XP_037030138.1|BCOP	LOC108164937|XP_017156415.1|DMIR
OG0001022	LOC119081328|XP_037046015.1|BCOP	LOC117186231|XP_033242563.1|DMIR
OG0001024	LOC119082402|XP_037047828.1|BCOP, LOC119069342|XP_037029308.1|BCOP, LOC119069345|XP_037029310.1|BCOP, LOC119085058|XP_037051170.1|BCOP, LOC119085254|XP_037051486.1|BCOP	LOC108156052|XP_017142814.1|DMIR
OG0001025	LOC119081450|XP_037046283.1|BCOP, LOC119083125|XP_037048657.1|BCOP, LOC119083124|XP_037048656.1|BCOP, LOC119073089|XP_037034296.1|BCOP	LOC108151123|XP_017135032.1|DMIR
OG0001026	LOC119065982|XP_037024085.1|BCOP, LOC119075085|XP_037037371.1|BCOP, LOC119074505|XP_037036557.1|BCOP	LOC108158200|XP_017145912.1|DMIR, LOC117191865|XP_033252522.1|DMIR
OG0001027	LOC119076434|XP_037039078.1|BCOP	LOC108152654|XP_017137637.1|DMIR
OG0001028	LOC119080337|XP_037044529.1|BCOP, LOC119082899|XP_037048456.1|BCOP, LOC119077960|XP_037041235.1|BCOP, LOC119077717|XP_037040893.1|BCOP, LOC119077716|XP_037040890.1|BCOP	LOC108164203|XP_017155322.1|DMIR
OG0001031	LOC119071712|XP_037032601.1|BCOP	LOC108161349|XP_033249163.1|DMIR
OG0001032	LOC119081634|XP_037046580.1|BCOP, LOC119081743|XP_037046809.1|BCOP, LOC119075007|XP_037037305.1|BCOP	LOC108161911|XP_017151807.1|DMIR
OG0001033	LOC119068730|XP_037028321.1|BCOP, LOC119066556|XP_037024997.1|BCOP	LOC108163110|XP_017153694.1|DMIR, LOC117188476|XP_033248288.1|DMIR, LOC108158001|XP_017145636.2|DMIR
OG0001034	LOC119076343|XP_037038934.1|BCOP	LOC108163659|XP_033249196.1|DMIR, LOC108153130|XP_017138408.1|DMIR
OG0001042	LOC119084984|XP_037051038.1|BCOP	LOC108154264|XP_017139989.1|DMIR
OG0001043	LOC119085900|XP_037052342.1|BCOP, LOC119069916|XP_037030028.1|BCOP	LOC108164201|XP_017155320.1|DMIR
OG0001044	LOC119073827|XP_037035519.1|BCOP, LOC119085590|XP_037051902.1|BCOP	LOC108160001|XP_017149214.1|DMIR
OG0001045	LOC119069797|XP_037029846.1|BCOP	LOC108160800|XP_017150507.1|DMIR, LOC117193810|XP_033254415.1|DMIR
OG0001046	LOC119085214|XP_037051420.1|BCOP	LOC117193070|XP_033253693.1|DMIR, LOC108159806|XP_017148865.1|DMIR
OG0001047	LOC119066651|XP_037025117.1|BCOP, LOC119073202|XP_037034406.1|BCOP	LOC117191409|XP_033252177.1|DMIR, LOC117190924|XP_033251815.1|DMIR, LOC108159473|XP_017148285.1|DMIR, LOC117188102|XP_033247332.1|DMIR, LOC117188107|XP_033247337.1|DMIR
OG0001048	LOC119085139|XP_037051310.1|BCOP	LOC117193002|XP_033253619.1|DMIR, LOC108160521|XP_017150066.1|DMIR
OG0001049	LOC119080206|XP_037044340.1|BCOP	LOC108161310|XP_017151020.1|DMIR, LOC108152602|XP_017137549.1|DMIR
OG0001050	LOC119081569|XP_037046495.1|BCOP	LOC108157607|XP_033245713.1|DMIR, LOC108157606|XP_017145223.2|DMIR, LOC117187276|XP_033245508.1|DMIR, LOC108151347|XP_017135390.1|DMIR, LOC108161248|XP_017150960.2|DMIR
OG0001051	LOC119076391|XP_037039010.1|BCOP	LOC108162247|XP_017152383.1|DMIR
OG0001052	LOC119075377|XP_037037706.1|BCOP	LOC108163367|XP_017154107.1|DMIR
OG0001053	LOC119072009|XP_037033024.1|BCOP, LOC119071048|XP_037031555.1|BCOP	LOC117190646|XP_033251582.1|DMIR, LOC108164587|XP_033251578.1|DMIR, LOC117187196|XP_033245228.1|DMIR, LOC117187199|XP_033245232.1|DMIR, LOC117187200|XP_033245235.1|DMIR, LOC117187195|XP_033245224.1|DMIR
OG0001054	LOC119077890|XP_037041149.1|BCOP	LOC108156657|XP_017143759.1|DMIR, LOC108156655|XP_017143758.1|DMIR
OG0001056	LOC119075793|XP_037038255.1|BCOP	LOC117186381|XP_033242994.1|DMIR
OG0001057	LOC119081015|XP_037045593.1|BCOP	LOC108163578|XP_017154437.1|DMIR, LOC108163579|XP_017154438.1|DMIR
OG0001058	LOC119067766|XP_037026805.1|BCOP	LOC108153231|XP_017138555.1|DMIR
OG0001059	LOC119082553|XP_037047962.1|BCOP	LOC108150981|XP_017134810.1|DMIR
OG0001060	LOC119067032|XP_037025663.1|BCOP	LOC117189014|XP_033249756.1|DMIR, LOC117186009|XP_033241933.1|DMIR, LOC117189046|XP_033249832.1|DMIR, LOC117187150|XP_033245100.1|DMIR, LOC117187148|XP_033245095.1|DMIR, LOC108164965|XP_017156467.1|DMIR, LOC117189016|XP_033249771.1|DMIR, LOC117186012|XP_033241935.1|DMIR, LOC117186018|XP_033241941.1|DMIR, LOC117187151|XP_033245107.1|DMIR, LOC108155144|XP_017141287.1|DMIR
OG0001072	LOC119076224|XP_037038774.1|BCOP	LOC108153406|XP_017138889.1|DMIR
OG0001073	LOC119068180|XP_037027566.1|BCOP	LOC108156263|XP_017143115.1|DMIR
OG0001074	LOC119083179|XP_037048734.1|BCOP	LOC108160726|XP_017150395.1|DMIR, LOC117191676|XP_033252370.1|DMIR, LOC117191677|XP_033252371.1|DMIR, LOC117191788|XP_033252443.1|DMIR
OG0001075	LOC119073761|XP_037035323.1|BCOP	LOC108152005|XP_017136466.1|DMIR
OG0001078	LOC119083630|XP_037049263.1|BCOP, LOC119083310|XP_037048891.1|BCOP, LOC119085253|XP_037051484.1|BCOP, LOC119083868|XP_037049572.1|BCOP, LOC119066619|XP_037025072.1|BCOP, LOC119074776|XP_037036944.1|BCOP, LOC119073855|XP_037035613.1|BCOP	LOC108164673|XP_017156015.1|DMIR
OG0001079	LOC119080836|XP_037045291.1|BCOP	LOC108151344|XP_017135388.1|DMIR
