Orthogroup	BCOP.longest_only	DSER.longest_only
OG0001983	LOC119080917|XP_037045428.1|BCOP, LOC119080401|XP_037044625.1|BCOP, LOC119068171|XP_037027550.1|BCOP, LOC119068854|XP_037028575.1|BCOP	LOC110188122|XP_020813360.1|DSER
OG0001984	LOC119078695|XP_037042252.1|BCOP	LOC110185871|XP_020810540.1|DSER
OG0001985	LOC119078457|XP_037041886.1|BCOP	LOC110177884|XP_020800507.1|DSER
OG0001986	LOC119072804|XP_037033996.1|BCOP	LOC110186079|XP_020810773.1|DSER
OG0001987	LOC119073791|XP_037035415.1|BCOP, LOC119068065|XP_037027361.1|BCOP	LOC110182580|XP_020806286.1|DSER
OG0001988	LOC119074080|XP_037035925.1|BCOP	LOC110189297|XP_020814987.1|DSER, LOC110176787|XP_020798884.1|DSER
OG0001989	LOC119076077|XP_037038621.1|BCOP	LOC110178185|XP_020800878.1|DSER
OG0001990	LOC119066370|XP_037024689.1|BCOP	LOC110183371|XP_020807292.1|DSER
OG0001991	LOC119076320|XP_037038884.1|BCOP	LOC110180592|XP_020803941.1|DSER
OG0001992	LOC119075686|XP_037038099.1|BCOP	LOC110187325|XP_020812371.1|DSER
OG0001993	LOC119071486|XP_037032232.1|BCOP	LOC110185078|XP_020809416.1|DSER
OG0001994	LOC119076301|XP_037038860.1|BCOP, LOC119076299|XP_037038858.1|BCOP, LOC119066634|XP_037025093.1|BCOP, LOC119066632|XP_037025090.1|BCOP	LOC110188237|XP_020813556.1|DSER
OG0001995	LOC119085141|XP_037051313.1|BCOP	LOC110181357|XP_020804740.1|DSER, LOC110178694|XP_020801556.1|DSER
OG0001996	LOC119076361|XP_037038960.1|BCOP	LOC110187394|XP_020812444.1|DSER
OG0001997	LOC119073369|XP_037034684.1|BCOP	LOC110182069|XP_020805710.1|DSER, LOC110177802|XP_020800355.1|DSER
OG0001998	LOC119073380|XP_037034699.1|BCOP	LOC110191767|XP_020818372.1|DSER, LOC110182075|XP_020805721.1|DSER
OG0001999	LOC119083775|XP_037049456.1|BCOP	LOC110178274|XP_020801001.1|DSER
OG0002000	LOC119066480|XP_037024884.1|BCOP, LOC119085551|XP_037051865.1|BCOP, LOC119076607|XP_037039358.1|BCOP, LOC119084359|XP_037050201.1|BCOP, LOC119068360|XP_037027824.1|BCOP	LOC110176945|XP_020799105.1|DSER
OG0002001	LOC119085307|XP_037051552.1|BCOP	LOC110187468|XP_020812514.1|DSER
OG0002002	LOC119081466|XP_037046350.1|BCOP	LOC110178362|XP_020801156.1|DSER
OG0002003	LOC119076345|XP_037038935.1|BCOP	LOC110180601|XP_020803945.1|DSER, LOC110183012|XP_020806861.1|DSER, LOC110183033|XP_020806878.1|DSER
OG0002004	LOC119082567|XP_037047988.1|BCOP	LOC110187228|XP_020812284.1|DSER
OG0002005	LOC119066968|XP_037025594.1|BCOP	LOC110185706|XP_020810336.1|DSER
OG0002006	LOC119069445|XP_037029394.1|BCOP, LOC119076358|XP_037038950.1|BCOP, LOC119069460|XP_037029406.1|BCOP	LOC110182693|XP_020806446.1|DSER
OG0002007	LOC119075381|XP_037037717.1|BCOP, LOC119085517|XP_037051827.1|BCOP, LOC119085233|XP_037051442.1|BCOP	LOC110176396|XP_020798387.1|DSER, LOC110183821|XP_020807832.1|DSER, LOC110181628|XP_020805095.1|DSER, LOC110181397|XP_020804790.1|DSER
OG0002008	LOC119067811|XP_037026857.1|BCOP, LOC119085004|XP_037051078.1|BCOP	LOC110185394|XP_020809831.1|DSER
OG0002009	LOC119076740|XP_037039568.1|BCOP	LOC110179862|XP_020803123.1|DSER
OG0002010	LOC119072338|XP_037033424.1|BCOP	LOC110180604|XP_020803948.1|DSER, LOC110183016|XP_020806863.1|DSER, LOC110183035|XP_020806880.1|DSER
OG0002011	LOC119076348|XP_037038940.1|BCOP	LOC110185601|XP_020810203.1|DSER
OG0002012	LOC119081891|XP_037047014.1|BCOP, LOC119076292|XP_037038850.1|BCOP	LOC110187401|XP_020812450.1|DSER
OG0002013	LOC119072256|XP_037033334.1|BCOP	LOC110179874|XP_020803132.1|DSER, LOC110181451|XP_020804854.1|DSER
OG0002014	LOC119068127|XP_037027481.1|BCOP	LOC110179210|XP_020802302.1|DSER
OG0002015	LOC119077146|XP_037040226.1|BCOP	LOC110177005|XP_020799174.1|DSER
OG0002016	LOC119081426|XP_037046240.1|BCOP	LOC110188951|XP_020814550.1|DSER, LOC110176377|XP_020798368.1|DSER
OG0002017	LOC119085893|XP_037052325.1|BCOP, LOC119078115|XP_037041463.1|BCOP	LOC110183462|XP_020807401.1|DSER
OG0002018	LOC119075634|XP_037038010.1|BCOP	LOC110180580|XP_020803930.1|DSER
OG0002019	LOC119079090|XP_037042801.1|BCOP	LOC110183995|XP_020808011.1|DSER
OG0002020	LOC119085889|XP_037052320.1|BCOP	LOC110181362|XP_020804744.1|DSER, LOC110179511|XP_020802747.1|DSER
OG0002021	LOC119074077|XP_037035919.1|BCOP, LOC119074075|XP_037035913.1|BCOP, LOC119074074|XP_037035912.1|BCOP	LOC110181102|XP_020804432.1|DSER
OG0002022	LOC119070933|XP_037031376.1|BCOP	LOC110179897|XP_020803152.1|DSER
OG0002023	LOC119082763|XP_037048245.1|BCOP, LOC119070653|XP_037030979.1|BCOP	LOC110187649|XP_020812716.1|DSER
OG0002024	LOC119066321|XP_037024605.1|BCOP	LOC110183352|XP_020807266.1|DSER
OG0002025	LOC119085816|XP_037052200.1|BCOP	LOC110184012|XP_020808037.1|DSER
OG0002026	LOC119070840|XP_037031248.1|BCOP	LOC110179811|XP_020803074.1|DSER
OG0002027	LOC119082838|XP_037048389.1|BCOP	LOC110180808|XP_020804147.1|DSER
OG0002028	LOC119082846|XP_037048407.1|BCOP	LOC110178205|XP_020800900.1|DSER, LOC110191504|XP_020818029.1|DSER
OG0002029	LOC119067718|XP_037026730.1|BCOP, LOC119077752|XP_037040959.1|BCOP, LOC119073642|XP_037035134.1|BCOP	LOC110176236|XP_020798194.1|DSER
OG0002030	LOC119073674|XP_037035175.1|BCOP, LOC119084288|XP_037050109.1|BCOP	LOC110176804|XP_020798905.1|DSER
OG0002031	LOC119066123|XP_037024303.1|BCOP	LOC110189284|XP_020814967.1|DSER
OG0002032	LOC119081115|XP_037045753.1|BCOP, LOC119074600|XP_037036746.1|BCOP	LOC110187925|XP_020813095.1|DSER
OG0002033	LOC119076024|XP_037038523.1|BCOP, LOC119071625|XP_037032474.1|BCOP, LOC119076028|XP_037038541.1|BCOP, LOC119076027|XP_037038540.1|BCOP	LOC110181604|XP_020805062.1|DSER
OG0002034	LOC119074965|XP_037037248.1|BCOP	LOC110181728|XP_020805245.1|DSER, LOC110179469|XP_020802698.1|DSER
OG0002035	LOC119076751|XP_037039593.1|BCOP	LOC110187929|XP_020813099.1|DSER
OG0002036	LOC119076673|XP_037039463.1|BCOP	LOC110188754|XP_020814255.1|DSER
OG0002037	LOC119074391|XP_037036405.1|BCOP	LOC110183557|XP_020807517.1|DSER
OG0002038	LOC119082225|XP_037047573.1|BCOP	LOC110188051|XP_020813260.1|DSER
OG0002039	LOC119069135|XP_037028936.1|BCOP	LOC110179905|XP_020803161.1|DSER
OG0002040	LOC119076843|XP_037039742.1|BCOP	LOC110187948|XP_020813122.1|DSER
OG0002041	LOC119071703|XP_037032588.1|BCOP	LOC110189738|XP_020815591.1|DSER
OG0002042	LOC119071706|XP_037032598.1|BCOP	LOC110188523|XP_020813924.1|DSER
OG0002043	LOC119084128|XP_037049872.1|BCOP, LOC119073545|XP_037034992.1|BCOP	LOC110187687|XP_020812778.1|DSER, LOC110180925|XP_020804260.1|DSER
OG0002044	LOC119074435|XP_037036458.1|BCOP	LOC110188662|XP_020814107.1|DSER
OG0002045	LOC119076462|XP_037039124.1|BCOP	LOC110187820|XP_020812956.1|DSER
OG0002046	LOC119074348|XP_037036338.1|BCOP	LOC110181701|XP_020805204.1|DSER
OG0002047	LOC119084246|XP_037050039.1|BCOP	LOC110180145|XP_020803450.1|DSER
OG0002048	LOC119076119|XP_037038682.1|BCOP	LOC110191771|XP_020818374.1|DSER
OG0002049	LOC119066552|XP_037024990.1|BCOP	LOC110186490|XP_020811336.1|DSER
OG0002050	LOC119074831|XP_037037016.1|BCOP	LOC110191844|XP_020818471.1|DSER
OG0002051	LOC119074387|XP_037036401.1|BCOP	LOC110179354|XP_020802525.1|DSER
OG0002053	LOC119067125|XP_037025799.1|BCOP	LOC110188293|XP_020813654.1|DSER
OG0002054	LOC119076474|XP_037039146.1|BCOP	LOC110187970|XP_020813149.1|DSER
OG0002055	LOC119078030|XP_037041338.1|BCOP	LOC110176651|XP_020798741.1|DSER
OG0002056	LOC119072096|XP_037033145.1|BCOP	LOC110190754|XP_020817036.1|DSER
OG0002057	LOC119083151|XP_037048692.1|BCOP	LOC110183391|XP_020807317.1|DSER
OG0002058	LOC119083154|XP_037048696.1|BCOP	LOC110178815|XP_020801736.1|DSER
OG0002059	LOC119071955|XP_037032980.1|BCOP	LOC110186775|XP_020811704.1|DSER
OG0002060	LOC119072723|XP_037033893.1|BCOP	LOC110187156|XP_020812230.1|DSER, LOC110178597|XP_020801445.1|DSER
OG0002061	LOC119075375|XP_037037700.1|BCOP	LOC110191547|XP_020818079.1|DSER
OG0002062	LOC119076630|XP_037039430.1|BCOP, LOC119078348|XP_037041745.1|BCOP	LOC110181697|XP_020805199.1|DSER
OG0002063	LOC119074412|XP_037036437.1|BCOP	LOC110187153|XP_020812229.1|DSER
OG0002064	LOC119084475|XP_037050355.1|BCOP	LOC110184412|XP_020808609.1|DSER, LOC110184377|XP_020808536.1|DSER
OG0002065	LOC119084520|XP_037050428.1|BCOP, LOC119083954|XP_037049658.1|BCOP, LOC119083333|XP_037048917.1|BCOP, LOC119083956|XP_037049659.1|BCOP	LOC110185341|XP_020809779.1|DSER
OG0002066	LOC119074548|XP_037036613.1|BCOP	LOC110191929|XP_020818590.1|DSER
OG0002067	LOC119074674|XP_037036852.1|BCOP	LOC110191510|XP_020818037.1|DSER
OG0002068	LOC119074954|XP_037037238.1|BCOP	LOC110189567|XP_020815357.1|DSER
OG0002069	LOC119074755|XP_037036916.1|BCOP	LOC110188779|XP_020814283.1|DSER
OG0002070	LOC119068727|XP_037028316.1|BCOP	LOC110188084|XP_020813296.1|DSER
OG0002071	LOC119071555|XP_037032373.1|BCOP	LOC110191193|XP_020817620.1|DSER
OG0002072	LOC119080154|XP_037044269.1|BCOP	LOC110176379|XP_020798369.1|DSER, LOC110188953|XP_020814552.1|DSER, LOC110188932|XP_020814529.1|DSER
OG0002073	LOC119078320|XP_037041719.1|BCOP	LOC110176210|XP_020798135.1|DSER
OG0002074	LOC119074748|XP_037036906.1|BCOP	LOC110177740|XP_020800256.1|DSER
OG0002075	LOC119078225|XP_037041580.1|BCOP	LOC110176907|XP_020799055.1|DSER
OG0002076	LOC119070671|XP_037030998.1|BCOP	LOC110182887|XP_020806694.1|DSER
OG0002077	LOC119072345|XP_037033428.1|BCOP	LOC110178659|XP_020801512.1|DSER
OG0002078	LOC119070722|XP_037031070.1|BCOP	LOC110189789|XP_020815681.1|DSER
OG0002079	LOC119071814|XP_037032777.1|BCOP	LOC110178549|XP_020801373.1|DSER
OG0002080	LOC119070971|XP_037031441.1|BCOP	LOC110191440|XP_020817965.1|DSER
OG0002081	LOC119079101|XP_037042814.1|BCOP	LOC110177373|XP_020799733.1|DSER
OG0002082	LOC119076952|XP_037039900.1|BCOP	LOC110182085|XP_020805729.1|DSER
OG0002083	LOC119075772|XP_037038214.1|BCOP, LOC119075781|XP_037038236.1|BCOP	LOC110179593|XP_020802852.1|DSER, LOC110179425|XP_020802613.1|DSER
OG0002084	LOC119071316|XP_037032094.1|BCOP	LOC110177939|XP_020800579.1|DSER
OG0002085	LOC119082803|XP_037048343.1|BCOP	LOC110176480|XP_020798507.1|DSER
OG0002086	LOC119071097|XP_037031637.1|BCOP	LOC110177943|XP_020800584.1|DSER
OG0002087	LOC119066517|XP_037024925.1|BCOP	LOC110178934|XP_020801886.1|DSER
OG0002088	LOC119071860|XP_037032817.1|BCOP	LOC110184635|XP_020808892.1|DSER
OG0002089	LOC119071904|XP_037032912.1|BCOP	LOC110189676|XP_020815493.1|DSER
OG0002090	LOC119066947|XP_037025561.1|BCOP	LOC110190964|XP_020817313.1|DSER
OG0002091	LOC119074240|XP_037036157.1|BCOP	LOC110181273|XP_020804647.1|DSER
OG0002092	LOC119072408|XP_037033520.1|BCOP, LOC119069249|XP_037029196.1|BCOP, LOC119071245|XP_037031977.1|BCOP	LOC110188358|XP_020813725.1|DSER
OG0002093	LOC119066901|XP_037025485.1|BCOP	LOC110177687|XP_020800168.1|DSER
OG0002094	LOC119083173|XP_037048728.1|BCOP	LOC110191517|XP_020818044.1|DSER
OG0002095	LOC119074654|XP_037036828.1|BCOP	LOC110180098|XP_020803380.1|DSER, LOC110175980|XP_020797837.1|DSER
OG0002096	LOC119071682|XP_037032558.1|BCOP	LOC110191278|XP_020817738.1|DSER
OG0002097	LOC119072630|XP_037033769.1|BCOP	LOC110191871|XP_020818517.1|DSER
OG0002098	LOC119066099|XP_037024266.1|BCOP	LOC110189900|XP_020815820.1|DSER
OG0002099	LOC119078295|XP_037041685.1|BCOP, LOC119078343|XP_037041741.1|BCOP	LOC110186426|XP_020811267.1|DSER
OG0002100	LOC119071084|XP_037031618.1|BCOP	LOC110176207|XP_020798129.1|DSER
OG0002101	LOC119066386|XP_037024713.1|BCOP	LOC110177963|XP_020800617.1|DSER
OG0002102	LOC119071138|XP_037031727.1|BCOP	LOC110182878|XP_020806680.1|DSER
OG0002103	LOC119085732|XP_037052097.1|BCOP	LOC110186718|XP_020811649.1|DSER
OG0002105	LOC119069623|XP_037029617.1|BCOP, LOC119083924|XP_037049633.1|BCOP, LOC119082950|XP_037048494.1|BCOP, LOC119078121|XP_037041469.1|BCOP	LOC110185994|XP_020810680.1|DSER
OG0002106	LOC119069921|XP_037030037.1|BCOP, LOC119066113|XP_037024289.1|BCOP, LOC119066695|XP_037025187.1|BCOP, LOC119084692|XP_037050667.1|BCOP, LOC119076372|XP_037038977.1|BCOP, LOC119071196|XP_037031877.1|BCOP	LOC110186570|XP_020811438.1|DSER
OG0002107	LOC119077008|XP_037040013.1|BCOP	LOC110183408|XP_020807344.1|DSER
OG0002117	LOC119079205|XP_037042886.1|BCOP, LOC119067803|XP_037026848.1|BCOP	LOC110181741|XP_020805259.1|DSER
OG0002118	LOC119075266|XP_037037558.1|BCOP, LOC119069940|XP_037030060.1|BCOP	LOC110187751|XP_020812869.1|DSER
OG0002119	LOC119070028|XP_037030208.1|BCOP	LOC110189484|XP_020815235.1|DSER
OG0002120	LOC119085060|XP_037051186.1|BCOP	LOC110185469|XP_020809981.1|DSER
OG0002121	LOC119073069|XP_037034268.1|BCOP, LOC119082165|XP_037047474.1|BCOP, LOC119083340|XP_037048932.1|BCOP	LOC110186855|XP_020811800.1|DSER
OG0002123	LOC119083896|XP_037049601.1|BCOP	LOC110176917|XP_020799068.1|DSER
OG0002124	LOC119069671|XP_037029684.1|BCOP	LOC110175973|XP_020797827.1|DSER, LOC110176017|XP_020797885.1|DSER
OG0002125	LOC119079473|XP_037043301.1|BCOP	LOC110177753|XP_020800273.1|DSER
OG0002126	LOC119073593|XP_037035062.1|BCOP	LOC110176706|XP_020798803.1|DSER
OG0002127	LOC119085600|XP_037051916.1|BCOP	LOC110187462|XP_020812509.1|DSER, LOC110177088|XP_020799275.1|DSER, LOC110184429|XP_020808624.1|DSER
OG0002128	LOC119070370|XP_037030566.1|BCOP, LOC119070369|XP_037030565.1|BCOP	LOC110182636|XP_020806364.1|DSER
OG0002129	LOC119068015|XP_037027269.1|BCOP	LOC110186947|XP_020811941.1|DSER
OG0002131	LOC119067244|XP_037026006.1|BCOP, LOC119069693|XP_037029717.1|BCOP	LOC110188284|XP_020813640.1|DSER
OG0002132	LOC119076232|XP_037038785.1|BCOP	LOC110177641|XP_020800114.1|DSER, LOC110187302|XP_020812348.1|DSER
OG0002133	LOC119068988|XP_037028755.1|BCOP	LOC110180572|XP_020803925.1|DSER
OG0002134	LOC119084479|XP_037050362.1|BCOP	LOC110178203|XP_020800898.1|DSER
OG0002135	LOC119068606|XP_037028151.1|BCOP	LOC110182187|XP_020805851.1|DSER
OG0002136	LOC119070453|XP_037030699.1|BCOP	LOC110190092|XP_020816060.1|DSER
OG0002137	LOC119068487|XP_037027993.1|BCOP, LOC119068501|XP_037028006.1|BCOP, LOC119085510|XP_037051820.1|BCOP	LOC110191381|XP_020817894.1|DSER
OG0002138	LOC119083180|XP_037048738.1|BCOP	LOC110184289|XP_020808433.1|DSER
OG0002139	LOC119067435|XP_037026303.1|BCOP	LOC110184605|XP_020808857.1|DSER
OG0002140	LOC119069470|XP_037029418.1|BCOP, LOC119069437|XP_037029390.1|BCOP, LOC119069436|XP_037029389.1|BCOP	LOC110179088|XP_020802133.1|DSER
OG0002141	LOC119068176|XP_037027559.1|BCOP	LOC110179902|XP_020803158.1|DSER
OG0002142	LOC119068290|XP_037027723.1|BCOP	LOC110176470|XP_020798489.1|DSER
OG0002143	LOC119068125|XP_037027478.1|BCOP	LOC110186105|XP_020810809.1|DSER
OG0002144	LOC119080273|XP_037044430.1|BCOP	LOC110184524|XP_020808754.1|DSER
OG0002145	LOC119067269|XP_037026043.1|BCOP, LOC119083079|XP_037048597.1|BCOP	LOC110187720|XP_020812823.1|DSER
OG0002146	LOC119069157|XP_037028956.1|BCOP	LOC110176430|XP_020798438.1|DSER
OG0002147	LOC119068311|XP_037027749.1|BCOP	LOC110181777|XP_020805314.1|DSER
OG0002148	LOC119068400|XP_037027855.1|BCOP	LOC110187571|XP_020812620.1|DSER
OG0002149	LOC119075571|XP_037037936.1|BCOP	LOC110185441|XP_020809923.1|DSER
OG0002150	LOC119085647|XP_037051979.1|BCOP	LOC110187032|XP_020812054.1|DSER, LOC110185534|XP_020810100.1|DSER
OG0002151	LOC119074031|XP_037035868.1|BCOP, LOC119074101|XP_037035960.1|BCOP	LOC110183366|XP_020807287.1|DSER
OG0002152	LOC119082372|XP_037047794.1|BCOP	LOC110187633|XP_020812700.1|DSER, LOC110187630|XP_020812695.1|DSER
OG0002153	LOC119068706|XP_037028290.1|BCOP	LOC110186478|XP_020811324.1|DSER
OG0002154	LOC119067768|XP_037026807.1|BCOP	LOC110183529|XP_020807486.1|DSER, LOC110183490|XP_020807432.1|DSER
OG0002155	LOC119069323|XP_037029275.1|BCOP	LOC110186839|XP_020811788.1|DSER
OG0002156	LOC119081040|XP_037045635.1|BCOP	LOC110190241|XP_020816264.1|DSER
OG0002157	LOC119069857|XP_037029927.1|BCOP	LOC110186435|XP_020811280.1|DSER
OG0002158	LOC119074956|XP_037037240.1|BCOP, LOC119068516|XP_037028020.1|BCOP	LOC110189568|XP_020815358.1|DSER
OG0002159	LOC119068701|XP_037028287.1|BCOP	LOC110178448|XP_020801242.1|DSER
OG0002160	LOC119068295|XP_037027729.1|BCOP	LOC110188610|XP_020814033.1|DSER
OG0002161	LOC119085218|XP_037051427.1|BCOP	LOC110186666|XP_020811590.1|DSER
OG0002162	LOC119067373|XP_037026189.1|BCOP	LOC110186235|XP_020810961.1|DSER
OG0002163	LOC119067190|XP_037025916.1|BCOP	LOC110183064|XP_020806910.1|DSER
OG0002164	LOC119068336|XP_037027789.1|BCOP	LOC110191764|XP_020818362.1|DSER
OG0002165	LOC119068466|XP_037027955.1|BCOP	LOC110179787|XP_020803060.1|DSER, LOC110184853|XP_020809152.1|DSER
OG0002166	LOC119066227|XP_037024446.1|BCOP	LOC110178415|XP_020801217.1|DSER, LOC110183943|XP_020807963.1|DSER
OG0002167	LOC119066372|XP_037024695.1|BCOP	LOC110177853|XP_020800458.1|DSER
OG0002168	LOC119068986|XP_037028752.1|BCOP	LOC110191490|XP_020818014.1|DSER
OG0002169	LOC119068737|XP_037028331.1|BCOP	LOC110190516|XP_020816707.1|DSER
OG0002170	LOC119083567|XP_037049205.1|BCOP	LOC110185446|XP_020809933.1|DSER
OG0002171	LOC119069264|XP_037029217.1|BCOP	LOC110191309|XP_020817781.1|DSER
OG0002172	LOC119067940|XP_037027151.1|BCOP	LOC110191005|XP_020817382.1|DSER
OG0002173	LOC119078710|XP_037042275.1|BCOP	LOC110183452|XP_020807390.1|DSER
OG0002174	LOC119082710|XP_037048184.1|BCOP	LOC110176514|XP_020798550.1|DSER
OG0002175	LOC119082813|XP_037048363.1|BCOP	LOC110176516|XP_020798551.1|DSER
OG0002176	LOC119067918|XP_037027114.1|BCOP	LOC110191176|XP_020817600.1|DSER
OG0002177	LOC119067430|XP_037026297.1|BCOP	LOC110190696|XP_020816970.1|DSER
OG0002178	LOC119069100|XP_037028887.1|BCOP	LOC110186886|XP_020811845.1|DSER
OG0002179	LOC119067611|XP_037026600.1|BCOP	LOC110189041|XP_020814668.1|DSER
OG0002179	LOC119067624|XP_037026612.1|BCOP	LOC110191387|XP_020817902.1|DSER
OG0002180	LOC119068090|XP_037027402.1|BCOP	LOC110186968|XP_020811973.1|DSER
OG0002181	LOC119069061|XP_037028831.1|BCOP	LOC110184372|XP_020808530.1|DSER
OG0002182	LOC119067226|XP_037025967.1|BCOP	LOC110188364|XP_020813737.1|DSER
OG0002183	LOC119071530|XP_037032309.1|BCOP	LOC110177867|XP_020800476.1|DSER
OG0002184	LOC119067354|XP_037026158.1|BCOP	LOC110186954|XP_020811948.1|DSER
OG0002185	LOC119069969|XP_037030103.1|BCOP	LOC110191873|XP_020818515.1|DSER
OG0002186	LOC119079315|XP_037043004.1|BCOP	LOC110185821|XP_020810487.1|DSER
OG0002187	LOC119069210|XP_037029076.1|BCOP, LOC119070066|XP_037030256.1|BCOP	LOC110188250|XP_020813582.1|DSER
OG0002188	LOC119080885|XP_037045359.1|BCOP	LOC110191667|XP_020818227.1|DSER
OG0002189	LOC119069499|XP_037029465.1|BCOP	LOC110179405|XP_020802589.1|DSER
OG0002190	LOC119084695|XP_037050671.1|BCOP	LOC110188486|XP_020813878.1|DSER
OG0002191	LOC119067687|XP_037026702.1|BCOP	LOC110176701|XP_020798796.1|DSER
OG0002192	LOC119078993|XP_037042652.1|BCOP	LOC110185213|XP_020809602.1|DSER
OG0002193	LOC119085773|XP_037052160.1|BCOP	LOC110188622|XP_020814051.1|DSER
OG0002194	LOC119070038|XP_037030217.1|BCOP	LOC110177367|XP_020799718.1|DSER
OG0002195	LOC119067218|XP_037025959.1|BCOP	LOC110191068|XP_020817459.1|DSER
OG0002196	LOC119078582|XP_037042054.1|BCOP	LOC110176471|XP_020798490.1|DSER
OG0002197	LOC119069309|XP_037029255.1|BCOP	LOC110178823|XP_020801749.1|DSER
OG0002198	LOC119068092|XP_037027404.1|BCOP	LOC110185693|XP_020810323.1|DSER
OG0002199	LOC119074834|XP_037037026.1|BCOP	LOC110186474|XP_020811319.1|DSER, LOC110186476|XP_020811322.1|DSER
OG0002200	LOC119070571|XP_037030872.1|BCOP	LOC110179459|XP_020802677.1|DSER
OG0002202	LOC119068798|XP_037028455.1|BCOP	LOC110191284|XP_020817750.1|DSER
OG0002203	LOC119069182|XP_037029011.1|BCOP	LOC110176487|XP_020798519.1|DSER
OG0002204	LOC119069037|XP_037028801.1|BCOP	LOC110189477|XP_020815222.1|DSER
OG0002205	LOC119070447|XP_037030693.1|BCOP	LOC110186218|XP_020810943.1|DSER
OG0002206	LOC119067466|XP_037026348.1|BCOP	LOC110177398|XP_020799762.1|DSER
OG0002207	LOC119068191|XP_037027584.1|BCOP, LOC119068192|XP_037027585.1|BCOP	LOC110186398|XP_020811220.1|DSER
OG0002208	LOC119068186|XP_037027576.1|BCOP	LOC110186565|XP_020811431.1|DSER
OG0002209	LOC119076431|XP_037039074.1|BCOP	LOC110187071|XP_020812120.1|DSER
OG0002210	LOC119067337|XP_037026136.1|BCOP	LOC110188789|XP_020814304.1|DSER
OG0002211	LOC119070046|XP_037030224.1|BCOP	LOC110184099|XP_020808150.1|DSER
OG0002212	LOC119069248|XP_037029195.1|BCOP, LOC119070313|XP_037030474.1|BCOP	LOC110191220|XP_020817646.1|DSER
OG0002213	LOC119069748|XP_037029784.1|BCOP	LOC110191754|XP_020818351.1|DSER
OG0002214	LOC119069073|XP_037028846.1|BCOP	LOC110191194|XP_020817621.1|DSER
OG0002215	LOC119069952|XP_037030076.1|BCOP	LOC110188042|XP_020813245.1|DSER
OG0002216	LOC119081256|XP_037045888.1|BCOP	LOC110179190|XP_020802262.1|DSER
OG0002217	LOC119069242|XP_037029190.1|BCOP	LOC110186143|XP_020810852.1|DSER
OG0002218	LOC119067252|XP_037026023.1|BCOP	LOC110184272|XP_020808396.1|DSER
OG0002219	LOC119078248|XP_037041621.1|BCOP, LOC119069089|XP_037028872.1|BCOP	LOC110184261|XP_020808386.1|DSER
OG0002220	LOC119072018|XP_037033032.1|BCOP, LOC119074239|XP_037036156.1|BCOP	LOC110184900|XP_020809208.1|DSER
OG0002221	LOC119084830|XP_037050808.1|BCOP	LOC110190672|XP_020816936.1|DSER
OG0002222	LOC119083959|XP_037049662.1|BCOP, LOC119083465|XP_037049080.1|BCOP, LOC119079723|XP_037043682.1|BCOP, LOC119082955|XP_037048497.1|BCOP	LOC110189758|XP_020815675.1|DSER
OG0002224	LOC119081716|XP_037046729.1|BCOP	LOC110182647|XP_020806377.1|DSER
OG0002225	LOC119073439|XP_037034818.1|BCOP	LOC110189124|XP_020814757.1|DSER
OG0002226	LOC119081374|XP_037046151.1|BCOP	LOC110189733|XP_020815586.1|DSER
OG0002227	LOC119080299|XP_037044467.1|BCOP	LOC110191670|XP_020818238.1|DSER
OG0002228	LOC119082140|XP_037047415.1|BCOP, LOC119079257|XP_037042931.1|BCOP	LOC110191203|XP_020817632.1|DSER
OG0002229	LOC119081545|XP_037046455.1|BCOP	LOC110190114|XP_020816126.1|DSER, LOC110177208|XP_020799489.1|DSER
OG0002230	LOC119079254|XP_037042930.1|BCOP	LOC110182221|XP_020805910.1|DSER
OG0002231	LOC119073448|XP_037034836.1|BCOP	LOC110189427|XP_020815149.1|DSER
OG0002233	LOC119075212|XP_037037494.1|BCOP	LOC110190548|XP_020816757.1|DSER
OG0002235	LOC119083565|XP_037049197.1|BCOP	LOC110177441|XP_020799831.1|DSER
OG0002236	LOC119080175|XP_037044295.1|BCOP	LOC110191555|XP_020818089.1|DSER
OG0002237	LOC119079255|XP_037042933.1|BCOP	LOC110191666|XP_020818223.1|DSER
OG0002238	LOC119083149|XP_037048686.1|BCOP, LOC119076738|XP_037039550.1|BCOP	LOC110189773|XP_020815653.1|DSER
OG0002239	LOC119085382|XP_037051663.1|BCOP	LOC110182501|XP_020806212.1|DSER
OG0002240	LOC119079503|XP_037043346.1|BCOP	LOC110184537|XP_020808807.1|DSER
OG0002241	LOC119081255|XP_037045885.1|BCOP	LOC110190690|XP_020816961.1|DSER
OG0002242	LOC119080678|XP_037045006.1|BCOP	LOC110190648|XP_020816905.1|DSER
OG0002243	LOC119083632|XP_037049262.1|BCOP	LOC110188200|XP_020813456.1|DSER
OG0002244	LOC119084555|XP_037050465.1|BCOP, LOC119073695|XP_037035190.1|BCOP, LOC119084557|XP_037050468.1|BCOP	LOC110183695|XP_020807693.1|DSER
OG0002245	LOC119073696|XP_037035191.1|BCOP	LOC110189120|XP_020814754.1|DSER
OG0002246	LOC119079508|XP_037043357.1|BCOP	LOC110189649|XP_020815452.1|DSER
OG0002247	LOC119079492|XP_037043336.1|BCOP	LOC110191518|XP_020818045.1|DSER
OG0002248	LOC119079312|XP_037043005.1|BCOP	LOC110183582|XP_020807552.1|DSER
OG0002249	LOC119080647|XP_037044956.1|BCOP	LOC110190717|XP_020816998.1|DSER
