Orthogroup	BCOP.longest_only	SLEB.longest_only
OG0001897	LOC119067082|XP_037025726.1|BCOP	LOC115629453|XP_030381777.1|SLEB
OG0001898	LOC119069834|XP_037029897.1|BCOP	LOC115627506|XP_030379059.1|SLEB
OG0001899	LOC119069346|XP_037029311.1|BCOP	LOC115620936|XP_030370307.1|SLEB
OG0001900	LOC119084482|XP_037050365.1|BCOP, LOC119084090|XP_037049822.1|BCOP	LOC115630576|XP_030383057.1|SLEB
OG0001901	LOC119068227|XP_037027630.1|BCOP	LOC115626207|XP_030377351.1|SLEB
OG0001902	LOC119069170|XP_037028975.1|BCOP	LOC115628647|XP_030380676.1|SLEB
OG0001903	LOC119066507|XP_037024912.1|BCOP	LOC115620357|XP_030369420.1|SLEB
OG0001904	LOC119080209|XP_037044342.1|BCOP, LOC119067074|XP_037025701.1|BCOP, LOC119074193|XP_037036081.1|BCOP	LOC115621793|XP_030371425.1|SLEB
OG0001906	LOC119067171|XP_037025879.1|BCOP, LOC119080675|XP_037045001.1|BCOP	LOC115621567|XP_030371108.1|SLEB
OG0001907	LOC119068764|XP_037028398.1|BCOP	LOC115627853|XP_030379574.1|SLEB
OG0001908	LOC119085477|XP_037051790.1|BCOP	LOC115620336|XP_030369393.1|SLEB
OG0001909	LOC119069055|XP_037028823.1|BCOP	LOC115628677|XP_030380711.1|SLEB
OG0001910	LOC119068662|XP_037028238.1|BCOP	LOC115625361|XP_030376256.1|SLEB
OG0001911	LOC119067469|XP_037026355.1|BCOP	LOC115621012|XP_030370392.1|SLEB
OG0001912	LOC119085811|XP_037052189.1|BCOP	LOC115626721|XP_030378029.1|SLEB
OG0001914	LOC119067414|XP_037026262.1|BCOP	LOC115625053|XP_030375765.1|SLEB
OG0001915	LOC119084835|XP_037050815.1|BCOP	LOC115622564|XP_030372394.1|SLEB
OG0001916	LOC119081737|XP_037046800.1|BCOP	LOC115620169|XP_030369158.1|SLEB, LOC115630214|XP_030382640.1|SLEB
OG0001917	LOC119073456|XP_037034846.1|BCOP	LOC115632734|XP_030385840.1|SLEB, LOC115632382|XP_030385371.1|SLEB
OG0001918	LOC119084932|XP_037050966.1|BCOP	LOC115622243|XP_030371999.1|SLEB
OG0001919	LOC119074137|XP_037036018.1|BCOP	LOC115625611|XP_030376610.1|SLEB
OG0001920	LOC119080390|XP_037044600.1|BCOP, LOC119081340|XP_037046034.1|BCOP	LOC115633095|XP_030386335.1|SLEB
OG0001921	LOC119075484|XP_037037831.1|BCOP	LOC115633945|XP_030387322.1|SLEB
OG0001922	LOC119073165|XP_037034362.1|BCOP, LOC119073166|XP_037034364.1|BCOP	LOC115632761|XP_030385873.1|SLEB
OG0001923	LOC119075415|XP_037037753.1|BCOP, LOC119083351|XP_037048943.1|BCOP, LOC119084541|XP_037050446.1|BCOP	LOC115633094|XP_030386334.1|SLEB
OG0001924	LOC119082349|XP_037047762.1|BCOP	LOC115624314|XP_030374803.1|SLEB
OG0001925	LOC119080967|XP_037045501.1|BCOP, LOC119085592|XP_037051909.1|BCOP	LOC115622308|XP_030372073.1|SLEB
OG0001926	LOC119075663|XP_037038070.1|BCOP	LOC115622517|XP_030372332.1|SLEB
OG0001927	LOC119067627|XP_037026615.1|BCOP	LOC115633301|XP_030386573.1|SLEB
OG0001927	LOC119084335|XP_037050159.1|BCOP	LOC115629465|XP_030381799.1|SLEB
OG0001928	LOC119084906|XP_037050956.1|BCOP	LOC115622816|XP_030372746.1|SLEB
OG0001929	LOC119080713|XP_037045072.1|BCOP	LOC115622118|XP_030371823.1|SLEB
OG0001930	LOC119079460|XP_037043282.1|BCOP	LOC115631050|XP_030383548.1|SLEB
OG0001931	LOC119080261|XP_037044404.1|BCOP	LOC115633086|XP_030386323.1|SLEB
OG0001932	LOC119081873|XP_037047006.1|BCOP	LOC115633085|XP_030386320.1|SLEB
OG0001933	LOC119073719|XP_037035237.1|BCOP	LOC115634066|XP_030387471.1|SLEB
OG0001934	LOC119077487|XP_037040595.1|BCOP	LOC115622258|XP_030372018.1|SLEB
OG0001935	LOC119080985|XP_037045525.1|BCOP	LOC115632367|XP_030385344.1|SLEB
OG0001937	LOC119073518|XP_037034942.1|BCOP	LOC115620076|XP_030369101.1|SLEB
OG0001938	LOC119070232|XP_037030398.1|BCOP, LOC119075124|XP_037037405.1|BCOP	LOC115633357|XP_030386661.1|SLEB
OG0001939	LOC119073670|XP_037035170.1|BCOP	LOC115624643|XP_030375277.1|SLEB
OG0001940	LOC119079400|XP_037043178.1|BCOP	LOC115634150|XP_030387583.1|SLEB
OG0001941	LOC119084724|XP_037050696.1|BCOP	LOC115632452|XP_030385463.1|SLEB
OG0001943	LOC119080982|XP_037045522.1|BCOP	LOC115633024|XP_030386208.1|SLEB
OG0001944	LOC119080072|XP_037044186.1|BCOP	LOC115624798|XP_030375502.1|SLEB
OG0001945	LOC119073449|XP_037034837.1|BCOP	LOC115630519|XP_030382984.1|SLEB
OG0001946	LOC119082790|XP_037048279.1|BCOP, LOC119075499|XP_037037860.1|BCOP	LOC115630326|XP_030382727.1|SLEB
OG0001947	LOC119079362|XP_037043105.1|BCOP	LOC115633391|XP_030386736.1|SLEB
OG0001948	LOC119080503|XP_037044798.1|BCOP	LOC115624732|XP_030375418.1|SLEB
OG0001949	LOC119077322|XP_037040397.1|BCOP	LOC115622502|XP_030372310.1|SLEB
OG0001950	LOC119073232|XP_037034439.1|BCOP	LOC115625531|XP_030376464.1|SLEB
OG0001951	LOC119081713|XP_037046718.1|BCOP	LOC115634452|XP_030388033.1|SLEB
OG0001952	LOC119074053|XP_037035898.1|BCOP	LOC115627259|XP_030378757.1|SLEB
OG0001953	LOC119079610|XP_037043499.1|BCOP	LOC115621298|XP_030370768.1|SLEB
OG0001954	LOC119079366|XP_037043115.1|BCOP	LOC115631191|XP_030383745.1|SLEB
OG0001955	LOC119079390|XP_037043171.1|BCOP	LOC115631313|XP_030383887.1|SLEB, LOC115622273|XP_030372038.1|SLEB
OG0001956	LOC119080715|XP_037045092.1|BCOP	LOC115632557|XP_030385630.1|SLEB
OG0001957	LOC119079960|XP_037043967.1|BCOP	LOC115629432|XP_030381753.1|SLEB
OG0001958	LOC119081650|XP_037046627.1|BCOP	LOC115628749|XP_030380851.1|SLEB
OG0001960	LOC119078235|XP_037041588.1|BCOP, LOC119079928|XP_037043923.1|BCOP	LOC115628349|XP_030380282.1|SLEB
OG0001961	LOC119079675|XP_037043622.1|BCOP	LOC115625912|XP_030377008.1|SLEB
OG0001962	LOC119079441|XP_037043249.1|BCOP	LOC115634803|XP_030388576.1|SLEB
OG0001963	LOC119072920|XP_037034134.1|BCOP, LOC119084186|XP_037049950.1|BCOP, LOC119081573|XP_037046503.1|BCOP	LOC115632270|XP_030385211.1|SLEB
OG0001964	LOC119073177|XP_037034382.1|BCOP	LOC115628265|XP_030380144.1|SLEB
OG0001965	LOC119083324|XP_037048904.1|BCOP, LOC119083366|XP_037048978.1|BCOP	LOC115632888|XP_030386029.1|SLEB
OG0001966	LOC119067255|XP_037026026.1|BCOP	LOC115621306|XP_030370778.1|SLEB
OG0001967	LOC119085549|XP_037051863.1|BCOP, LOC119073362|XP_037034662.1|BCOP	LOC115633270|XP_030386542.1|SLEB
OG0001968	LOC119080491|XP_037044779.1|BCOP	LOC115632235|XP_030385154.1|SLEB
OG0001969	LOC119084839|XP_037050831.1|BCOP, LOC119080417|XP_037044656.1|BCOP	LOC115629718|XP_030382103.1|SLEB
OG0001970	LOC119080020|XP_037044093.1|BCOP	LOC115631595|XP_030384260.1|SLEB
OG0001971	LOC119085338|XP_037051616.1|BCOP	LOC115626900|XP_030378269.1|SLEB
OG0001972	LOC119071816|XP_037032780.1|BCOP	LOC115633736|XP_030387067.1|SLEB
OG0001973	LOC119079603|XP_037043489.1|BCOP	LOC115630544|XP_030383017.1|SLEB
OG0001974	LOC119081078|XP_037045716.1|BCOP	LOC115623352|XP_030373499.1|SLEB
OG0001975	LOC119076310|XP_037038872.1|BCOP, LOC119078786|XP_037042397.1|BCOP	LOC115632670|XP_030385764.1|SLEB, LOC115632667|XP_030385761.1|SLEB, LOC115632672|XP_030385766.1|SLEB
OG0001976	LOC119084443|XP_037050319.1|BCOP	LOC115620028|XP_030368991.1|SLEB
OG0001978	LOC119066330|XP_037024625.1|BCOP	LOC115630531|XP_030382995.1|SLEB
OG0001979	LOC119070930|XP_037031369.1|BCOP	LOC115622414|XP_030372208.1|SLEB, LOC115630969|XP_030383408.1|SLEB
OG0001980	LOC119078499|XP_037041948.1|BCOP	LOC115628545|XP_030380566.1|SLEB
OG0001982	LOC119081937|XP_037047088.1|BCOP	LOC115626379|XP_030377594.1|SLEB
OG0001983	LOC119080917|XP_037045428.1|BCOP, LOC119080401|XP_037044625.1|BCOP, LOC119068171|XP_037027550.1|BCOP, LOC119068854|XP_037028575.1|BCOP	LOC115630060|XP_030382554.1|SLEB
OG0001984	LOC119078695|XP_037042252.1|BCOP	LOC115626407|XP_030377632.1|SLEB
OG0001985	LOC119078457|XP_037041886.1|BCOP	LOC115626195|XP_030377336.1|SLEB
OG0001986	LOC119072804|XP_037033996.1|BCOP	LOC115629074|XP_030381250.1|SLEB
OG0001987	LOC119073791|XP_037035415.1|BCOP, LOC119068065|XP_037027361.1|BCOP	LOC115627361|XP_030378870.1|SLEB
OG0001988	LOC119074080|XP_037035925.1|BCOP	LOC115624248|XP_030375102.1|SLEB
OG0001989	LOC119076077|XP_037038621.1|BCOP	LOC115631503|XP_030384123.1|SLEB
OG0001990	LOC119066370|XP_037024689.1|BCOP	LOC115631549|XP_030384186.1|SLEB
OG0001991	LOC119076320|XP_037038884.1|BCOP	LOC115633459|XP_030386774.1|SLEB
OG0001992	LOC119075686|XP_037038099.1|BCOP	LOC115631134|XP_030383662.1|SLEB
OG0001993	LOC119071486|XP_037032232.1|BCOP	LOC115626212|XP_030377363.1|SLEB
OG0001994	LOC119076301|XP_037038860.1|BCOP, LOC119076299|XP_037038858.1|BCOP, LOC119066634|XP_037025093.1|BCOP, LOC119066632|XP_037025090.1|BCOP	LOC115620309|XP_030369353.1|SLEB
OG0001995	LOC119085141|XP_037051313.1|BCOP	LOC115625791|XP_030376825.1|SLEB
OG0001996	LOC119076361|XP_037038960.1|BCOP	LOC115628484|XP_030380467.1|SLEB
OG0001997	LOC119073369|XP_037034684.1|BCOP	LOC115623018|XP_030373048.1|SLEB, LOC115626740|XP_030378052.1|SLEB
OG0001998	LOC119073380|XP_037034699.1|BCOP	LOC115627825|XP_030379523.1|SLEB
OG0001999	LOC119083775|XP_037049456.1|BCOP	LOC115627840|XP_030379555.1|SLEB
OG0002000	LOC119066480|XP_037024884.1|BCOP, LOC119085551|XP_037051865.1|BCOP, LOC119076607|XP_037039358.1|BCOP, LOC119084359|XP_037050201.1|BCOP, LOC119068360|XP_037027824.1|BCOP	LOC115631813|XP_030384509.1|SLEB
OG0002001	LOC119085307|XP_037051552.1|BCOP	LOC115630473|XP_030382905.1|SLEB
OG0002002	LOC119081466|XP_037046350.1|BCOP	LOC115631299|XP_030383877.1|SLEB
OG0002003	LOC119076345|XP_037038935.1|BCOP	LOC115626386|XP_030377604.1|SLEB
OG0002004	LOC119082567|XP_037047988.1|BCOP	LOC115630532|XP_030382996.1|SLEB
OG0002005	LOC119066968|XP_037025594.1|BCOP	LOC115626358|XP_030377569.1|SLEB
OG0002006	LOC119069445|XP_037029394.1|BCOP, LOC119076358|XP_037038950.1|BCOP, LOC119069460|XP_037029406.1|BCOP	LOC115631952|XP_030384666.1|SLEB
OG0002007	LOC119075381|XP_037037717.1|BCOP, LOC119085517|XP_037051827.1|BCOP, LOC119085233|XP_037051442.1|BCOP	LOC115625655|XP_030376642.1|SLEB
OG0002008	LOC119067811|XP_037026857.1|BCOP, LOC119085004|XP_037051078.1|BCOP	LOC115628013|XP_030379798.1|SLEB
OG0002009	LOC119076740|XP_037039568.1|BCOP	LOC115633645|XP_030386950.1|SLEB
OG0002010	LOC119072338|XP_037033424.1|BCOP	LOC115626262|XP_030377431.1|SLEB
OG0002011	LOC119076348|XP_037038940.1|BCOP	LOC115625985|XP_030377091.1|SLEB
OG0002012	LOC119081891|XP_037047014.1|BCOP, LOC119076292|XP_037038850.1|BCOP	LOC115630790|XP_030383305.1|SLEB
OG0002013	LOC119072256|XP_037033334.1|BCOP	LOC115625787|XP_030376817.1|SLEB
OG0002014	LOC119068127|XP_037027481.1|BCOP	LOC115624613|XP_030375225.1|SLEB
OG0002015	LOC119077146|XP_037040226.1|BCOP	LOC115632054|XP_030384888.1|SLEB
OG0002016	LOC119081426|XP_037046240.1|BCOP	LOC115634113|XP_030387531.1|SLEB
OG0002017	LOC119085893|XP_037052325.1|BCOP, LOC119078115|XP_037041463.1|BCOP	LOC115630966|XP_030383405.1|SLEB
OG0002018	LOC119075634|XP_037038010.1|BCOP	LOC115626211|XP_030377362.1|SLEB
OG0002019	LOC119079090|XP_037042801.1|BCOP	LOC115631601|XP_030384263.1|SLEB, LOC115631600|XP_030384262.1|SLEB
OG0002020	LOC119085889|XP_037052320.1|BCOP	LOC115625933|XP_030377030.1|SLEB
OG0002021	LOC119074077|XP_037035919.1|BCOP, LOC119074075|XP_037035913.1|BCOP, LOC119074074|XP_037035912.1|BCOP	LOC115634191|XP_030387638.1|SLEB
OG0002022	LOC119070933|XP_037031376.1|BCOP	LOC115630511|XP_030382971.1|SLEB
OG0002023	LOC119082763|XP_037048245.1|BCOP, LOC119070653|XP_037030979.1|BCOP	LOC115620321|XP_030369374.1|SLEB
OG0002024	LOC119066321|XP_037024605.1|BCOP	LOC115625374|XP_030376271.1|SLEB, LOC115630976|XP_030383415.1|SLEB, LOC115627214|XP_030378694.1|SLEB
OG0002025	LOC119085816|XP_037052200.1|BCOP	LOC115631413|XP_030383999.1|SLEB
OG0002026	LOC119070840|XP_037031248.1|BCOP	LOC115634024|XP_030387417.1|SLEB, LOC115625951|XP_030377050.1|SLEB
OG0002027	LOC119082838|XP_037048389.1|BCOP	LOC115620035|XP_030369006.1|SLEB
OG0002028	LOC119082846|XP_037048407.1|BCOP	LOC115629426|XP_030381744.1|SLEB
OG0002029	LOC119067718|XP_037026730.1|BCOP, LOC119077752|XP_037040959.1|BCOP, LOC119073642|XP_037035134.1|BCOP	LOC115623073|XP_030373134.1|SLEB
OG0002030	LOC119073674|XP_037035175.1|BCOP, LOC119084288|XP_037050109.1|BCOP	LOC115632284|XP_030385238.1|SLEB
OG0002031	LOC119066123|XP_037024303.1|BCOP	LOC115622922|XP_030372907.1|SLEB, LOC115633238|XP_030386493.1|SLEB, LOC115622929|XP_030372917.1|SLEB, LOC115627216|XP_030378699.1|SLEB
OG0002032	LOC119081115|XP_037045753.1|BCOP, LOC119074600|XP_037036746.1|BCOP	LOC115623392|XP_030373559.1|SLEB
OG0002033	LOC119076024|XP_037038523.1|BCOP, LOC119071625|XP_037032474.1|BCOP, LOC119076028|XP_037038541.1|BCOP, LOC119076027|XP_037038540.1|BCOP	LOC115629149|XP_030381371.1|SLEB
OG0002034	LOC119074965|XP_037037248.1|BCOP	LOC115627811|XP_030379501.1|SLEB
OG0002035	LOC119076751|XP_037039593.1|BCOP	LOC115623568|XP_030373825.1|SLEB
OG0002036	LOC119076673|XP_037039463.1|BCOP	LOC115625563|XP_030376516.1|SLEB
OG0002037	LOC119074391|XP_037036405.1|BCOP	LOC115624723|XP_030375404.1|SLEB
OG0002038	LOC119082225|XP_037047573.1|BCOP	LOC115623497|XP_030373734.1|SLEB
OG0002039	LOC119069135|XP_037028936.1|BCOP	LOC115628097|XP_030379938.1|SLEB
OG0002040	LOC119076843|XP_037039742.1|BCOP	LOC115621440|XP_030370953.1|SLEB
OG0002041	LOC119071703|XP_037032588.1|BCOP	LOC115620037|XP_030369016.1|SLEB
OG0002042	LOC119071706|XP_037032598.1|BCOP	LOC115623851|XP_030374255.1|SLEB
OG0002043	LOC119084128|XP_037049872.1|BCOP, LOC119073545|XP_037034992.1|BCOP	LOC115625179|XP_030376004.1|SLEB
OG0002044	LOC119074435|XP_037036458.1|BCOP	LOC115621986|XP_030371698.1|SLEB
OG0002045	LOC119076462|XP_037039124.1|BCOP	LOC115624425|XP_030375024.1|SLEB
OG0002046	LOC119074348|XP_037036338.1|BCOP	LOC115626883|XP_030378253.1|SLEB
OG0002047	LOC119084246|XP_037050039.1|BCOP	LOC115629153|XP_030381378.1|SLEB
OG0002048	LOC119076119|XP_037038682.1|BCOP	LOC115623913|XP_030374329.1|SLEB, LOC115624061|XP_030374506.1|SLEB
OG0002049	LOC119066552|XP_037024990.1|BCOP	LOC115623340|XP_030373471.1|SLEB
OG0002050	LOC119074831|XP_037037016.1|BCOP	LOC115625161|XP_030375950.1|SLEB
OG0002051	LOC119074387|XP_037036401.1|BCOP	LOC115621966|XP_030371678.1|SLEB
OG0002053	LOC119067125|XP_037025799.1|BCOP	LOC115623759|XP_030374154.1|SLEB
OG0002054	LOC119076474|XP_037039146.1|BCOP	LOC115621869|XP_030371551.1|SLEB
OG0002055	LOC119078030|XP_037041338.1|BCOP	LOC115623698|XP_030374034.1|SLEB
OG0002056	LOC119072096|XP_037033145.1|BCOP	LOC115624615|XP_030375226.1|SLEB
OG0002057	LOC119083151|XP_037048692.1|BCOP	LOC115631304|XP_030383879.1|SLEB
OG0002058	LOC119083154|XP_037048696.1|BCOP	LOC115623467|XP_030373689.1|SLEB
OG0002059	LOC119071955|XP_037032980.1|BCOP	LOC115625167|XP_030375958.1|SLEB
OG0002060	LOC119072723|XP_037033893.1|BCOP	LOC115623559|XP_030373854.1|SLEB
OG0002061	LOC119075375|XP_037037700.1|BCOP	LOC115620148|XP_030369153.1|SLEB
OG0002062	LOC119076630|XP_037039430.1|BCOP, LOC119078348|XP_037041745.1|BCOP	LOC115626652|XP_030377917.1|SLEB
OG0002063	LOC119074412|XP_037036437.1|BCOP	LOC115633954|XP_030387331.1|SLEB, LOC115633277|XP_030386548.1|SLEB
OG0002064	LOC119084475|XP_037050355.1|BCOP	LOC115629217|XP_030381483.1|SLEB
OG0002065	LOC119084520|XP_037050428.1|BCOP, LOC119083954|XP_037049658.1|BCOP, LOC119083333|XP_037048917.1|BCOP, LOC119083956|XP_037049659.1|BCOP	LOC115622317|XP_030372083.1|SLEB
OG0002066	LOC119074548|XP_037036613.1|BCOP	LOC115625064|XP_030375799.1|SLEB
OG0002067	LOC119074674|XP_037036852.1|BCOP	LOC115624831|XP_030375538.1|SLEB, LOC115629428|XP_030381746.1|SLEB
OG0002068	LOC119074954|XP_037037238.1|BCOP	LOC115630546|XP_030383015.1|SLEB
OG0002069	LOC119074755|XP_037036916.1|BCOP	LOC115625986|XP_030377092.1|SLEB
OG0002070	LOC119068727|XP_037028316.1|BCOP	LOC115625296|XP_030376171.1|SLEB
OG0002071	LOC119071555|XP_037032373.1|BCOP	LOC115621844|XP_030371516.1|SLEB
OG0002072	LOC119080154|XP_037044269.1|BCOP	LOC115630045|XP_030382539.1|SLEB
OG0002073	LOC119078320|XP_037041719.1|BCOP	LOC115632904|XP_030386056.1|SLEB
OG0002074	LOC119074748|XP_037036906.1|BCOP	LOC115623135|XP_030373208.1|SLEB
OG0002075	LOC119078225|XP_037041580.1|BCOP	LOC115631765|XP_030384461.1|SLEB
OG0002076	LOC119070671|XP_037030998.1|BCOP	LOC115624601|XP_030375202.1|SLEB
OG0002077	LOC119072345|XP_037033428.1|BCOP	LOC115624795|XP_030375498.1|SLEB, LOC115624933|XP_030375643.1|SLEB
OG0002078	LOC119070722|XP_037031070.1|BCOP	LOC115622810|XP_030372741.1|SLEB
OG0002079	LOC119071814|XP_037032777.1|BCOP	LOC115623009|XP_030373040.1|SLEB
OG0002080	LOC119070971|XP_037031441.1|BCOP	LOC115630010|XP_030382497.1|SLEB, LOC115633907|XP_030387272.1|SLEB
OG0002081	LOC119079101|XP_037042814.1|BCOP	LOC115624699|XP_030375374.1|SLEB
OG0002082	LOC119076952|XP_037039900.1|BCOP	LOC115620006|XP_030368956.1|SLEB
OG0002083	LOC119075772|XP_037038214.1|BCOP, LOC119075781|XP_037038236.1|BCOP	LOC115629905|XP_030382370.1|SLEB
OG0002084	LOC119071316|XP_037032094.1|BCOP	LOC115633999|XP_030387383.1|SLEB
OG0002085	LOC119082803|XP_037048343.1|BCOP	LOC115633911|XP_030387280.1|SLEB
OG0002086	LOC119071097|XP_037031637.1|BCOP	LOC115626810|XP_030378146.1|SLEB
OG0002087	LOC119066517|XP_037024925.1|BCOP	LOC115622580|XP_030372427.1|SLEB
OG0002088	LOC119071860|XP_037032817.1|BCOP	LOC115629448|XP_030381775.1|SLEB
OG0002089	LOC119071904|XP_037032912.1|BCOP	LOC115624440|XP_030375026.1|SLEB
OG0002090	LOC119066947|XP_037025561.1|BCOP	LOC115633667|XP_030386971.1|SLEB
OG0002091	LOC119074240|XP_037036157.1|BCOP	LOC115624859|XP_030375564.1|SLEB
OG0002092	LOC119072408|XP_037033520.1|BCOP, LOC119069249|XP_037029196.1|BCOP, LOC119071245|XP_037031977.1|BCOP	LOC115622120|XP_030371827.1|SLEB
OG0002093	LOC119066901|XP_037025485.1|BCOP	LOC115624531|XP_030375115.1|SLEB
OG0002094	LOC119083173|XP_037048728.1|BCOP	LOC115633832|XP_030387179.1|SLEB
OG0002095	LOC119074654|XP_037036828.1|BCOP	LOC115628909|XP_030381029.1|SLEB
OG0002096	LOC119071682|XP_037032558.1|BCOP	LOC115628190|XP_030380042.1|SLEB
OG0002097	LOC119072630|XP_037033769.1|BCOP	LOC115633710|XP_030387031.1|SLEB
OG0002098	LOC119066099|XP_037024266.1|BCOP	LOC115624927|XP_030375638.1|SLEB
OG0002099	LOC119078295|XP_037041685.1|BCOP, LOC119078343|XP_037041741.1|BCOP	LOC115620410|XP_030369490.1|SLEB
OG0002100	LOC119071084|XP_037031618.1|BCOP	LOC115624637|XP_030375259.1|SLEB
OG0002101	LOC119066386|XP_037024713.1|BCOP	LOC115634535|XP_030388205.1|SLEB
OG0002102	LOC119071138|XP_037031727.1|BCOP	LOC115624985|XP_030375702.1|SLEB
OG0002103	LOC119085732|XP_037052097.1|BCOP	LOC115620416|XP_030369499.1|SLEB
OG0002105	LOC119083924|XP_037049633.1|BCOP, LOC119082950|XP_037048494.1|BCOP, LOC119078121|XP_037041469.1|BCOP	LOC115624853|XP_030375558.1|SLEB, LOC115628155|XP_030379988.1|SLEB
OG0002106	LOC119069921|XP_037030037.1|BCOP, LOC119066113|XP_037024289.1|BCOP, LOC119066695|XP_037025187.1|BCOP, LOC119084692|XP_037050667.1|BCOP, LOC119076372|XP_037038977.1|BCOP, LOC119071196|XP_037031877.1|BCOP	LOC115629477|XP_030381807.1|SLEB, LOC115621093|XP_030370487.1|SLEB
OG0002107	LOC119077008|XP_037040013.1|BCOP	LOC115630515|XP_030382977.1|SLEB
OG0002117	LOC119079205|XP_037042886.1|BCOP, LOC119067803|XP_037026848.1|BCOP	LOC115633265|XP_030386529.1|SLEB
OG0002118	LOC119075266|XP_037037558.1|BCOP, LOC119069940|XP_037030060.1|BCOP	LOC115628087|XP_030379924.1|SLEB
OG0002119	LOC119070028|XP_037030208.1|BCOP	LOC115621113|XP_030370517.1|SLEB
OG0002120	LOC119085060|XP_037051186.1|BCOP	LOC115627826|XP_030379521.1|SLEB
OG0002121	LOC119073069|XP_037034268.1|BCOP, LOC119082165|XP_037047474.1|BCOP, LOC119083340|XP_037048932.1|BCOP	LOC115621258|XP_030370715.1|SLEB
OG0002122	LOC119066913|XP_037025511.1|BCOP	LOC115625740|XP_030376753.1|SLEB, LOC115626429|XP_030377662.1|SLEB
OG0002123	LOC119083896|XP_037049601.1|BCOP	LOC115631094|XP_030383605.1|SLEB
OG0002124	LOC119069671|XP_037029684.1|BCOP	LOC115627689|XP_030379292.1|SLEB
OG0002125	LOC119079473|XP_037043301.1|BCOP	LOC115634444|XP_030388013.1|SLEB
OG0002126	LOC119073593|XP_037035062.1|BCOP	LOC115634377|XP_030387917.1|SLEB
OG0002127	LOC119085600|XP_037051916.1|BCOP	LOC115628717|XP_030380773.1|SLEB, LOC115621757|XP_030371351.1|SLEB
OG0002128	LOC119070370|XP_037030566.1|BCOP, LOC119070369|XP_037030565.1|BCOP	LOC115627455|XP_030378983.1|SLEB
OG0002129	LOC119068015|XP_037027269.1|BCOP	LOC115621730|XP_030371319.1|SLEB
OG0002131	LOC119067244|XP_037026006.1|BCOP, LOC119069693|XP_037029717.1|BCOP	LOC115621353|XP_030370836.1|SLEB
OG0002132	LOC119076232|XP_037038785.1|BCOP	LOC115625780|XP_030376811.1|SLEB
OG0002133	LOC119068988|XP_037028755.1|BCOP	LOC115629924|XP_030382389.1|SLEB
OG0002134	LOC119084479|XP_037050362.1|BCOP	LOC115627168|XP_030378618.1|SLEB
OG0002135	LOC119068606|XP_037028151.1|BCOP	LOC115626712|XP_030378012.1|SLEB
OG0002136	LOC119070453|XP_037030699.1|BCOP	LOC115621955|XP_030371662.1|SLEB
OG0002137	LOC119068487|XP_037027993.1|BCOP, LOC119068501|XP_037028006.1|BCOP, LOC119085510|XP_037051820.1|BCOP	LOC115621392|XP_030370893.1|SLEB
OG0002138	LOC119083180|XP_037048738.1|BCOP	LOC115626773|XP_030378095.1|SLEB
OG0002139	LOC119067435|XP_037026303.1|BCOP	LOC115628962|XP_030381098.1|SLEB
OG0002140	LOC119069470|XP_037029418.1|BCOP, LOC119069437|XP_037029390.1|BCOP, LOC119069436|XP_037029389.1|BCOP	LOC115633405|XP_030386708.1|SLEB
OG0002141	LOC119068176|XP_037027559.1|BCOP	LOC115628074|XP_030379908.1|SLEB
OG0002142	LOC119068290|XP_037027723.1|BCOP	LOC115621132|XP_030370544.1|SLEB
OG0002143	LOC119068125|XP_037027478.1|BCOP	LOC115630615|XP_030383101.1|SLEB
OG0002144	LOC119080273|XP_037044430.1|BCOP	LOC115627724|XP_030379334.1|SLEB
OG0002145	LOC119067269|XP_037026043.1|BCOP, LOC119083079|XP_037048597.1|BCOP	LOC115624035|XP_030374473.1|SLEB
OG0002146	LOC119069157|XP_037028956.1|BCOP	LOC115620575|XP_030369736.1|SLEB
OG0002147	LOC119068311|XP_037027749.1|BCOP	LOC115629482|XP_030381813.1|SLEB
OG0002148	LOC119068400|XP_037027855.1|BCOP	LOC115632865|XP_030385988.1|SLEB
OG0002149	LOC119075571|XP_037037936.1|BCOP	LOC115627831|XP_030379531.1|SLEB
OG0002150	LOC119085647|XP_037051979.1|BCOP	LOC115629871|XP_030382326.1|SLEB
OG0002151	LOC119074031|XP_037035868.1|BCOP, LOC119074101|XP_037035960.1|BCOP	LOC115622316|XP_030372082.1|SLEB, LOC115628387|XP_030380331.1|SLEB
OG0002152	LOC119082372|XP_037047794.1|BCOP	LOC115621415|XP_030370923.1|SLEB
OG0002153	LOC119068706|XP_037028290.1|BCOP	LOC115621584|XP_030371135.1|SLEB
OG0002154	LOC119067768|XP_037026807.1|BCOP	LOC115626760|XP_030378076.1|SLEB
OG0002155	LOC119069323|XP_037029275.1|BCOP	LOC115621539|XP_030371065.1|SLEB
OG0002156	LOC119081040|XP_037045635.1|BCOP	LOC115632371|XP_030385350.1|SLEB
OG0002157	LOC119069857|XP_037029927.1|BCOP	LOC115620998|XP_030370378.1|SLEB
OG0002158	LOC119074956|XP_037037240.1|BCOP, LOC119068516|XP_037028020.1|BCOP	LOC115628903|XP_030381025.1|SLEB
OG0002159	LOC119068701|XP_037028287.1|BCOP	LOC115634010|XP_030387396.1|SLEB
OG0002160	LOC119068295|XP_037027729.1|BCOP	LOC115621570|XP_030371117.1|SLEB
OG0002161	LOC119085218|XP_037051427.1|BCOP	LOC115621407|XP_030370910.1|SLEB
