Orthogroup	BCOP.longest_only	CCAP.longest_only
OG0001954	LOC119079366|XP_037043115.1|BCOP	CCAP1982_LOCUS23202|CAD7015253.1|CCAP
OG0001955	LOC119079390|XP_037043171.1|BCOP	CCAP1982_LOCUS22670|CAD7014686.1|CCAP
OG0001957	LOC119079960|XP_037043967.1|BCOP	CCAP1982_LOCUS22307|CAD7014307.1|CCAP
OG0001958	LOC119081650|XP_037046627.1|BCOP	CCAP1982_LOCUS23338|CAD7015394.1|CCAP, CCAP1982_LOCUS23339|CAD7015395.1|CCAP
OG0001959	LOC119072456|XP_037033575.1|BCOP	CCAP1982_LOCUS14238|CAD7005898.1|CCAP
OG0001960	LOC119078235|XP_037041588.1|BCOP, LOC119079928|XP_037043923.1|BCOP	CCAP1982_LOCUS12222|CAD7003786.1|CCAP
OG0001961	LOC119079675|XP_037043622.1|BCOP	CCAP1982_LOCUS22414|CAD7014418.1|CCAP, CCAP1982_LOCUS22415|CAD7014419.1|CCAP
OG0001962	LOC119079441|XP_037043249.1|BCOP	CCAP1982_LOCUS22716|CAD7014738.1|CCAP, CCAP1982_LOCUS22717|CAD7014739.1|CCAP
OG0001963	LOC119072920|XP_037034134.1|BCOP, LOC119084186|XP_037049950.1|BCOP, LOC119081573|XP_037046503.1|BCOP	CCAP1982_LOCUS12183|CAD7003747.1|CCAP
OG0001964	LOC119073177|XP_037034382.1|BCOP	CCAP1982_LOCUS12354|CAD7003931.1|CCAP
OG0001965	LOC119083358|XP_037048967.1|BCOP, LOC119082972|XP_037048510.1|BCOP	CCAP1982_LOCUS12695|CAD7004275.1|CCAP
OG0001965	LOC119083324|XP_037048904.1|BCOP, LOC119083366|XP_037048978.1|BCOP	CCAP1982_LOCUS12704|CAD7004284.1|CCAP
OG0001966	LOC119067255|XP_037026026.1|BCOP	CCAP1982_LOCUS3040|CAD6994279.1|CCAP
OG0001967	LOC119085549|XP_037051863.1|BCOP, LOC119073362|XP_037034662.1|BCOP	CCAP1982_LOCUS22780|CAD7014812.1|CCAP
OG0001968	LOC119080491|XP_037044779.1|BCOP	CCAP1982_LOCUS14972|CAD7006670.1|CCAP
OG0001969	LOC119084839|XP_037050831.1|BCOP, LOC119080417|XP_037044656.1|BCOP	CCAP1982_LOCUS21687|CAD7013643.1|CCAP
OG0001970	LOC119080020|XP_037044093.1|BCOP	CCAP1982_LOCUS23267|CAD7015322.1|CCAP
OG0001971	LOC119085338|XP_037051616.1|BCOP	CCAP1982_LOCUS8403|CAD6999893.1|CCAP
OG0001972	LOC119071816|XP_037032780.1|BCOP	CCAP1982_LOCUS23021|CAD7015065.1|CCAP
OG0001973	LOC119079603|XP_037043489.1|BCOP	CCAP1982_LOCUS22029|CAD7014023.1|CCAP
OG0001974	LOC119081078|XP_037045716.1|BCOP	CCAP1982_LOCUS23362|CAD7015420.1|CCAP, CCAP1982_LOCUS23363|CAD7015421.1|CCAP
OG0001975	LOC119076310|XP_037038872.1|BCOP, LOC119078786|XP_037042397.1|BCOP	CCAP1982_LOCUS11501|CAD7003038.1|CCAP
OG0001976	LOC119084443|XP_037050319.1|BCOP	CCAP1982_LOCUS22353|CAD7014356.1|CCAP
OG0001978	LOC119066330|XP_037024625.1|BCOP	CCAP1982_LOCUS7617|CAD6999071.1|CCAP
OG0001979	LOC119070930|XP_037031369.1|BCOP	CCAP1982_LOCUS8860|CAD7000384.1|CCAP
OG0001980	LOC119078499|XP_037041948.1|BCOP	CCAP1982_LOCUS6688|CAD6998074.1|CCAP, CCAP1982_LOCUS6687|CAD6998073.1|CCAP
OG0001982	LOC119081937|XP_037047088.1|BCOP	CCAP1982_LOCUS5569|CAD6996896.1|CCAP
OG0001983	LOC119080917|XP_037045428.1|BCOP, LOC119080401|XP_037044625.1|BCOP, LOC119068171|XP_037027550.1|BCOP, LOC119068854|XP_037028575.1|BCOP	CCAP1982_LOCUS3020|CAD6994259.1|CCAP
OG0001984	LOC119078695|XP_037042252.1|BCOP	CCAP1982_LOCUS9240|CAD7000765.1|CCAP
OG0001985	LOC119078457|XP_037041886.1|BCOP	CCAP1982_LOCUS5651|CAD6996989.1|CCAP
OG0001986	LOC119072804|XP_037033996.1|BCOP	CCAP1982_LOCUS6409|CAD6997784.1|CCAP
OG0001988	LOC119074080|XP_037035925.1|BCOP	CCAP1982_LOCUS22258|CAD7014255.1|CCAP
OG0001989	LOC119076077|XP_037038621.1|BCOP	CCAP1982_LOCUS6085|CAD6997439.1|CCAP, CCAP1982_LOCUS20246|CAD7012149.1|CCAP
OG0001990	LOC119066370|XP_037024689.1|BCOP	CCAP1982_LOCUS6087|CAD6997441.1|CCAP, CCAP1982_LOCUS6088|CAD6997442.1|CCAP
OG0001991	LOC119076320|XP_037038884.1|BCOP	CCAP1982_LOCUS5893|CAD6997260.1|CCAP, CCAP1982_LOCUS5892|CAD6997259.1|CCAP
OG0001992	LOC119075686|XP_037038099.1|BCOP	CCAP1982_LOCUS7304|CAD6998750.1|CCAP
OG0001993	LOC119071486|XP_037032232.1|BCOP	CCAP1982_LOCUS6510|CAD6997891.1|CCAP
OG0001994	LOC119076301|XP_037038860.1|BCOP, LOC119076299|XP_037038858.1|BCOP, LOC119066634|XP_037025093.1|BCOP, LOC119066632|XP_037025090.1|BCOP	CCAP1982_LOCUS4040|CAD6995322.1|CCAP
OG0001995	LOC119085141|XP_037051313.1|BCOP	CCAP1982_LOCUS7864|CAD6999337.1|CCAP
OG0001996	LOC119076361|XP_037038960.1|BCOP	CCAP1982_LOCUS6834|CAD6998223.1|CCAP, CCAP1982_LOCUS6835|CAD6998224.1|CCAP
OG0001997	LOC119073369|XP_037034684.1|BCOP	CCAP1982_LOCUS22833|CAD7014869.1|CCAP
OG0001998	LOC119073380|XP_037034699.1|BCOP	CCAP1982_LOCUS22838|CAD7014874.1|CCAP
OG0001999	LOC119083775|XP_037049456.1|BCOP	CCAP1982_LOCUS23209|CAD7015261.1|CCAP, CCAP1982_LOCUS23214|CAD7015266.1|CCAP
OG0002000	LOC119066480|XP_037024884.1|BCOP, LOC119085551|XP_037051865.1|BCOP, LOC119076607|XP_037039358.1|BCOP, LOC119084359|XP_037050201.1|BCOP, LOC119068360|XP_037027824.1|BCOP	CCAP1982_LOCUS8817|CAD7000334.1|CCAP
OG0002001	LOC119085307|XP_037051552.1|BCOP	CCAP1982_LOCUS8682|CAD7000189.1|CCAP
OG0002003	LOC119076345|XP_037038935.1|BCOP	CCAP1982_LOCUS9016|CAD7000540.1|CCAP
OG0002004	LOC119082567|XP_037047988.1|BCOP	CCAP1982_LOCUS7661|CAD6999117.1|CCAP
OG0002005	LOC119066968|XP_037025594.1|BCOP	CCAP1982_LOCUS9022|CAD7000546.1|CCAP
OG0002006	LOC119069445|XP_037029394.1|BCOP, LOC119076358|XP_037038950.1|BCOP, LOC119069460|XP_037029406.1|BCOP	CCAP1982_LOCUS8852|CAD7000372.1|CCAP
OG0002007	LOC119075381|XP_037037717.1|BCOP, LOC119085517|XP_037051827.1|BCOP, LOC119085233|XP_037051442.1|BCOP	CCAP1982_LOCUS5813|CAD6997170.1|CCAP
OG0002008	LOC119067811|XP_037026857.1|BCOP, LOC119085004|XP_037051078.1|BCOP	CCAP1982_LOCUS10577|CAD7002089.1|CCAP, CCAP1982_LOCUS10575|CAD7002087.1|CCAP, CCAP1982_LOCUS10578|CAD7002090.1|CCAP
OG0002008	LOC119080052|XP_037044153.1|BCOP	CCAP1982_LOCUS10573|CAD7002085.1|CCAP
OG0002009	LOC119076740|XP_037039568.1|BCOP	CCAP1982_LOCUS7153|CAD6998573.1|CCAP
OG0002010	LOC119072338|XP_037033424.1|BCOP	CCAP1982_LOCUS9018|CAD7000542.1|CCAP
OG0002011	LOC119076348|XP_037038940.1|BCOP	CCAP1982_LOCUS5797|CAD6997153.1|CCAP
OG0002012	LOC119081891|XP_037047014.1|BCOP, LOC119076292|XP_037038850.1|BCOP	CCAP1982_LOCUS8101|CAD6999576.1|CCAP
OG0002013	LOC119072256|XP_037033334.1|BCOP	CCAP1982_LOCUS5842|CAD6997203.1|CCAP
OG0002014	LOC119068127|XP_037027481.1|BCOP	CCAP1982_LOCUS20407|CAD7012313.1|CCAP
OG0002015	LOC119077146|XP_037040226.1|BCOP	CCAP1982_LOCUS8287|CAD6999764.1|CCAP
OG0002016	LOC119081426|XP_037046240.1|BCOP	CCAP1982_LOCUS22546|CAD7014545.1|CCAP
OG0002017	LOC119085893|XP_037052325.1|BCOP, LOC119078115|XP_037041463.1|BCOP	CCAP1982_LOCUS7916|CAD6999390.1|CCAP, CCAP1982_LOCUS7914|CAD6999388.1|CCAP
OG0002018	LOC119075634|XP_037038010.1|BCOP	CCAP1982_LOCUS5457|CAD6996782.1|CCAP
OG0002019	LOC119079090|XP_037042801.1|BCOP	CCAP1982_LOCUS7335|CAD6998781.1|CCAP
OG0002020	LOC119085889|XP_037052320.1|BCOP	CCAP1982_LOCUS5558|CAD6996885.1|CCAP
OG0002021	LOC119074077|XP_037035919.1|BCOP, LOC119074075|XP_037035913.1|BCOP, LOC119074074|XP_037035912.1|BCOP	CCAP1982_LOCUS22781|CAD7014814.1|CCAP, CCAP1982_LOCUS22783|CAD7014816.1|CCAP
OG0002022	LOC119070933|XP_037031376.1|BCOP	CCAP1982_LOCUS7961|CAD6999437.1|CCAP
OG0002023	LOC119082763|XP_037048245.1|BCOP, LOC119070653|XP_037030979.1|BCOP	CCAP1982_LOCUS2755|CAD6993970.1|CCAP
OG0002024	LOC119066321|XP_037024605.1|BCOP	CCAP1982_LOCUS5710|CAD6997056.1|CCAP
OG0002025	LOC119085870|XP_037052272.1|BCOP	CCAP1982_LOCUS8537|CAD7000033.1|CCAP
OG0002025	LOC119085816|XP_037052200.1|BCOP	CCAP1982_LOCUS8538|CAD7000034.1|CCAP, CCAP1982_LOCUS8536|CAD7000032.1|CCAP
OG0002026	LOC119070840|XP_037031248.1|BCOP	CCAP1982_LOCUS11688|CAD7003227.1|CCAP, CCAP1982_LOCUS11689|CAD7003228.1|CCAP
OG0002027	LOC119082838|XP_037048389.1|BCOP	CCAP1982_LOCUS20430|CAD7012336.1|CCAP, CCAP1982_LOCUS20431|CAD7012337.1|CCAP
OG0002028	LOC119082846|XP_037048407.1|BCOP	CCAP1982_LOCUS20133|CAD7012029.1|CCAP
OG0002029	LOC119067718|XP_037026730.1|BCOP, LOC119077752|XP_037040959.1|BCOP, LOC119073642|XP_037035134.1|BCOP	CCAP1982_LOCUS12945|CAD7004548.1|CCAP
OG0002030	LOC119073674|XP_037035175.1|BCOP, LOC119084288|XP_037050109.1|BCOP	CCAP1982_LOCUS21186|CAD7013113.1|CCAP
OG0002031	LOC119066123|XP_037024303.1|BCOP	CCAP1982_LOCUS19460|CAD7011357.1|CCAP
OG0002032	LOC119081115|XP_037045753.1|BCOP, LOC119074600|XP_037036746.1|BCOP	CCAP1982_LOCUS23288|CAD7015343.1|CCAP, CCAP1982_LOCUS508|CAD6991591.1|CCAP
OG0002035	LOC119076751|XP_037039593.1|BCOP	CCAP1982_LOCUS4823|CAD6996129.1|CCAP
OG0002036	LOC119076673|XP_037039463.1|BCOP	CCAP1982_LOCUS4286|CAD6995576.1|CCAP
OG0002038	LOC119082225|XP_037047573.1|BCOP	CCAP1982_LOCUS630|CAD6991717.1|CCAP
OG0002039	LOC119069135|XP_037028936.1|BCOP	CCAP1982_LOCUS5672|CAD6997011.1|CCAP
OG0002040	LOC119076843|XP_037039742.1|BCOP	CCAP1982_LOCUS4199|CAD6995484.1|CCAP
OG0002041	LOC119071703|XP_037032588.1|BCOP	CCAP1982_LOCUS19975|CAD7011863.1|CCAP
OG0002042	LOC119071706|XP_037032598.1|BCOP	CCAP1982_LOCUS4396|CAD6995689.1|CCAP, CCAP1982_LOCUS4389|CAD6995682.1|CCAP
OG0002043	LOC119084128|XP_037049872.1|BCOP, LOC119073545|XP_037034992.1|BCOP	CCAP1982_LOCUS561|CAD6991647.1|CCAP
OG0002044	LOC119074435|XP_037036458.1|BCOP	CCAP1982_LOCUS4877|CAD6996185.1|CCAP, CCAP1982_LOCUS4875|CAD6996183.1|CCAP
OG0002045	LOC119076462|XP_037039124.1|BCOP	CCAP1982_LOCUS278|CAD6991349.1|CCAP, CCAP1982_LOCUS276|CAD6991347.1|CCAP
OG0002048	LOC119076119|XP_037038682.1|BCOP	CCAP1982_LOCUS826|CAD6991936.1|CCAP
OG0002049	LOC119066552|XP_037024990.1|BCOP	CCAP1982_LOCUS4976|CAD6996293.1|CCAP, CCAP1982_LOCUS4977|CAD6996295.1|CCAP
OG0002050	LOC119074831|XP_037037016.1|BCOP	CCAP1982_LOCUS5116|CAD6996444.1|CCAP
OG0002051	LOC119074387|XP_037036401.1|BCOP	CCAP1982_LOCUS22484|CAD7014482.1|CCAP
OG0002053	LOC119067125|XP_037025799.1|BCOP	CCAP1982_LOCUS270|CAD6991341.1|CCAP, CCAP1982_LOCUS268|CAD6991339.1|CCAP
OG0002054	LOC119076474|XP_037039146.1|BCOP	CCAP1982_LOCUS2427|CAD6993617.1|CCAP
OG0002055	LOC119078030|XP_037041338.1|BCOP	CCAP1982_LOCUS382|CAD6991457.1|CCAP
OG0002056	LOC119072096|XP_037033145.1|BCOP	CCAP1982_LOCUS10781|CAD7002289.1|CCAP
OG0002057	LOC119083151|XP_037048692.1|BCOP	CCAP1982_LOCUS7071|CAD6998476.1|CCAP
OG0002058	LOC119083154|XP_037048696.1|BCOP	CCAP1982_LOCUS2599|CAD6993803.1|CCAP, CCAP1982_LOCUS12120|CAD7003683.1|CCAP
OG0002059	LOC119071955|XP_037032980.1|BCOP	CCAP1982_LOCUS862|CAD6991975.1|CCAP
OG0002060	LOC119072723|XP_037033893.1|BCOP	CCAP1982_LOCUS20652|CAD7012567.1|CCAP
OG0002061	LOC119075375|XP_037037700.1|BCOP	CCAP1982_LOCUS21100|CAD7013011.1|CCAP
OG0002065	LOC119084520|XP_037050428.1|BCOP, LOC119083954|XP_037049658.1|BCOP, LOC119083333|XP_037048917.1|BCOP, LOC119083956|XP_037049659.1|BCOP	CCAP1982_LOCUS10902|CAD7002410.1|CCAP, CCAP1982_LOCUS10901|CAD7002409.1|CCAP
OG0002066	LOC119074548|XP_037036613.1|BCOP	CCAP1982_LOCUS4584|CAD6995883.1|CCAP, CCAP1982_LOCUS4585|CAD6995884.1|CCAP, CCAP1982_LOCUS4583|CAD6995882.1|CCAP, CCAP1982_LOCUS4591|CAD6995890.1|CCAP, CCAP1982_LOCUS4595|CAD6995894.1|CCAP, CCAP1982_LOCUS4592|CAD6995891.1|CCAP
OG0002067	LOC119074674|XP_037036852.1|BCOP	CCAP1982_LOCUS20152|CAD7012050.1|CCAP
OG0002068	LOC119074954|XP_037037238.1|BCOP	CCAP1982_LOCUS21706|CAD7013663.1|CCAP
OG0002070	LOC119068727|XP_037028316.1|BCOP	CCAP1982_LOCUS603|CAD6991690.1|CCAP
OG0002071	LOC119071555|XP_037032373.1|BCOP	CCAP1982_LOCUS2429|CAD6993619.1|CCAP
OG0002072	LOC119080154|XP_037044269.1|BCOP	CCAP1982_LOCUS22664|CAD7014680.1|CCAP
OG0002073	LOC119078320|XP_037041719.1|BCOP	CCAP1982_LOCUS12295|CAD7003865.1|CCAP, CCAP1982_LOCUS12294|CAD7003864.1|CCAP, CCAP1982_LOCUS12292|CAD7003862.1|CCAP
OG0002074	LOC119074748|XP_037036906.1|BCOP	CCAP1982_LOCUS19998|CAD7011886.1|CCAP
OG0002076	LOC119070671|XP_037030998.1|BCOP	CCAP1982_LOCUS20494|CAD7012407.1|CCAP, CCAP1982_LOCUS20493|CAD7012405.1|CCAP
OG0002077	LOC119072345|XP_037033428.1|BCOP	CCAP1982_LOCUS20706|CAD7012622.1|CCAP, CCAP1982_LOCUS20719|CAD7012632.1|CCAP
OG0002078	LOC119070722|XP_037031070.1|BCOP	CCAP1982_LOCUS11090|CAD7002606.1|CCAP, CCAP1982_LOCUS19774|CAD7011690.1|CCAP
OG0002079	LOC119071814|XP_037032777.1|BCOP	CCAP1982_LOCUS13468|CAD7005106.1|CCAP, CCAP1982_LOCUS13467|CAD7005105.1|CCAP, CCAP1982_LOCUS13469|CAD7005107.1|CCAP
OG0002081	LOC119079101|XP_037042814.1|BCOP	CCAP1982_LOCUS19470|CAD7011368.1|CCAP
OG0002082	LOC119076952|XP_037039900.1|BCOP	CCAP1982_LOCUS20321|CAD7012223.1|CCAP, CCAP1982_LOCUS20322|CAD7012224.1|CCAP, CCAP1982_LOCUS20250|CAD7012153.1|CCAP
OG0002084	LOC119071316|XP_037032094.1|BCOP	CCAP1982_LOCUS20885|CAD7012782.1|CCAP
OG0002085	LOC119082803|XP_037048343.1|BCOP	CCAP1982_LOCUS20467|CAD7012373.1|CCAP
OG0002086	LOC119071097|XP_037031637.1|BCOP	CCAP1982_LOCUS20236|CAD7012138.1|CCAP
OG0002087	LOC119066517|XP_037024925.1|BCOP	CCAP1982_LOCUS14474|CAD7006146.1|CCAP, CCAP1982_LOCUS14470|CAD7006142.1|CCAP
OG0002088	LOC119071860|XP_037032817.1|BCOP	CCAP1982_LOCUS13994|CAD7005636.1|CCAP, CCAP1982_LOCUS13982|CAD7005624.1|CCAP, CCAP1982_LOCUS13981|CAD7005623.1|CCAP, CCAP1982_LOCUS13995|CAD7005637.1|CCAP
OG0002089	LOC119071904|XP_037032912.1|BCOP	CCAP1982_LOCUS19383|CAD7011275.1|CCAP
OG0002090	LOC119066947|XP_037025561.1|BCOP	CCAP1982_LOCUS14391|CAD7006056.1|CCAP
OG0002091	LOC119074240|XP_037036157.1|BCOP	CCAP1982_LOCUS19481|CAD7011380.1|CCAP
OG0002092	LOC119072408|XP_037033520.1|BCOP, LOC119069249|XP_037029196.1|BCOP, LOC119071245|XP_037031977.1|BCOP	CCAP1982_LOCUS14442|CAD7006110.1|CCAP
OG0002093	LOC119066901|XP_037025485.1|BCOP	CCAP1982_LOCUS19982|CAD7011870.1|CCAP, CCAP1982_LOCUS19983|CAD7011871.1|CCAP, CCAP1982_LOCUS19984|CAD7011872.1|CCAP
OG0002094	LOC119083173|XP_037048728.1|BCOP	CCAP1982_LOCUS20508|CAD7012424.1|CCAP
OG0002096	LOC119071682|XP_037032558.1|BCOP	CCAP1982_LOCUS20402|CAD7012306.1|CCAP, CCAP1982_LOCUS20399|CAD7012303.1|CCAP, CCAP1982_LOCUS20403|CAD7012307.1|CCAP, CCAP1982_LOCUS20401|CAD7012305.1|CCAP
OG0002097	LOC119072630|XP_037033769.1|BCOP	CCAP1982_LOCUS20691|CAD7012607.1|CCAP
OG0002098	LOC119066099|XP_037024266.1|BCOP	CCAP1982_LOCUS11791|CAD7003331.1|CCAP
OG0002099	LOC119078295|XP_037041685.1|BCOP, LOC119078343|XP_037041741.1|BCOP	CCAP1982_LOCUS1590|CAD6992745.1|CCAP
OG0002100	LOC119071084|XP_037031618.1|BCOP	CCAP1982_LOCUS13404|CAD7005032.1|CCAP
OG0002101	LOC119066386|XP_037024713.1|BCOP	CCAP1982_LOCUS20972|CAD7012873.1|CCAP, CCAP1982_LOCUS20979|CAD7012880.1|CCAP
OG0002102	LOC119071138|XP_037031727.1|BCOP	CCAP1982_LOCUS20632|CAD7012547.1|CCAP
OG0002103	LOC119085732|XP_037052097.1|BCOP	CCAP1982_LOCUS1651|CAD6992812.1|CCAP, CCAP1982_LOCUS1650|CAD6992811.1|CCAP, CCAP1982_LOCUS1632|CAD6992793.1|CCAP, CCAP1982_LOCUS1642|CAD6992803.1|CCAP
OG0002104	LOC119083415|XP_037049029.1|BCOP, LOC119068940|XP_037028700.1|BCOP, LOC119075256|XP_037037548.1|BCOP, LOC119082539|XP_037047945.1|BCOP	CCAP1982_LOCUS1056|CAD6992183.1|CCAP
OG0002105	LOC119069623|XP_037029617.1|BCOP	CCAP1982_LOCUS10109|CAD7001615.1|CCAP
OG0002106	LOC119069921|XP_037030037.1|BCOP, LOC119066113|XP_037024289.1|BCOP, LOC119066695|XP_037025187.1|BCOP, LOC119084692|XP_037050667.1|BCOP, LOC119076372|XP_037038977.1|BCOP, LOC119071196|XP_037031877.1|BCOP	CCAP1982_LOCUS11799|CAD7003340.1|CCAP, CCAP1982_LOCUS1564|CAD6992719.1|CCAP, CCAP1982_LOCUS1559|CAD6992714.1|CCAP
OG0002107	LOC119077008|XP_037040013.1|BCOP	CCAP1982_LOCUS10008|CAD7001511.1|CCAP, CCAP1982_LOCUS9526|CAD7001054.1|CCAP, CCAP1982_LOCUS10007|CAD7001510.1|CCAP, CCAP1982_LOCUS10009|CAD7001512.1|CCAP, CCAP1982_LOCUS9531|CAD7001059.1|CCAP, CCAP1982_LOCUS10003|CAD7001506.1|CCAP, CCAP1982_LOCUS10006|CAD7001509.1|CCAP, CCAP1982_LOCUS9516|CAD7001044.1|CCAP, CCAP1982_LOCUS9271|CAD7000796.1|CCAP, CCAP1982_LOCUS9273|CAD7000798.1|CCAP, CCAP1982_LOCUS9272|CAD7000797.1|CCAP, CCAP1982_LOCUS9530|CAD7001058.1|CCAP, CCAP1982_LOCUS7926|CAD6999400.1|CCAP
OG0002117	LOC119079205|XP_037042886.1|BCOP, LOC119067803|XP_037026848.1|BCOP	CCAP1982_LOCUS9994|CAD7001497.1|CCAP, CCAP1982_LOCUS9998|CAD7001501.1|CCAP
OG0002118	LOC119075266|XP_037037558.1|BCOP, LOC119069940|XP_037030060.1|BCOP	CCAP1982_LOCUS4162|CAD6995445.1|CCAP, CCAP1982_LOCUS4161|CAD6995444.1|CCAP
OG0002119	LOC119070028|XP_037030208.1|BCOP	CCAP1982_LOCUS1582|CAD6992737.1|CCAP
OG0002120	LOC119085060|XP_037051186.1|BCOP	CCAP1982_LOCUS9323|CAD7000849.1|CCAP, CCAP1982_LOCUS9817|CAD7001320.1|CCAP
OG0002121	LOC119073069|XP_037034268.1|BCOP, LOC119082165|XP_037047474.1|BCOP, LOC119083340|XP_037048932.1|BCOP	CCAP1982_LOCUS38|CAD6991090.1|CCAP, CCAP1982_LOCUS37|CAD6991089.1|CCAP
OG0002123	LOC119083896|XP_037049601.1|BCOP	CCAP1982_LOCUS8567|CAD7000064.1|CCAP, CCAP1982_LOCUS8568|CAD7000065.1|CCAP
OG0002125	LOC119079473|XP_037043301.1|BCOP	CCAP1982_LOCUS19878|CAD7011766.1|CCAP, CCAP1982_LOCUS19879|CAD7011767.1|CCAP
OG0002126	LOC119073593|XP_037035062.1|BCOP	CCAP1982_LOCUS14264|CAD7005926.1|CCAP, CCAP1982_LOCUS14265|CAD7005927.1|CCAP
OG0002129	LOC119068015|XP_037027269.1|BCOP	CCAP1982_LOCUS1207|CAD6992343.1|CCAP
OG0002131	LOC119067244|XP_037026006.1|BCOP, LOC119069693|XP_037029717.1|BCOP	CCAP1982_LOCUS1884|CAD6993052.1|CCAP
OG0002132	LOC119076232|XP_037038785.1|BCOP	CCAP1982_LOCUS5552|CAD6996879.1|CCAP
OG0002136	LOC119070453|XP_037030699.1|BCOP	CCAP1982_LOCUS2138|CAD6993322.1|CCAP
OG0002142	LOC119068290|XP_037027723.1|BCOP	CCAP1982_LOCUS1997|CAD6993175.1|CCAP
OG0002143	LOC119068125|XP_037027478.1|BCOP	CCAP1982_LOCUS9161|CAD7000687.1|CCAP
OG0002144	LOC119080273|XP_037044430.1|BCOP	CCAP1982_LOCUS13418|CAD7005047.1|CCAP
OG0002145	LOC119067269|XP_037026043.1|BCOP, LOC119083079|XP_037048597.1|BCOP	CCAP1982_LOCUS622|CAD6991709.1|CCAP
OG0002146	LOC119069157|XP_037028956.1|BCOP	CCAP1982_LOCUS1665|CAD6992828.1|CCAP
OG0002148	LOC119068400|XP_037027855.1|BCOP	CCAP1982_LOCUS13092|CAD7004699.1|CCAP
OG0002149	LOC119075571|XP_037037936.1|BCOP	CCAP1982_LOCUS10222|CAD7001732.1|CCAP, CCAP1982_LOCUS10223|CAD7001733.1|CCAP, CCAP1982_LOCUS10221|CAD7001731.1|CCAP
OG0002152	LOC119082372|XP_037047794.1|BCOP	CCAP1982_LOCUS2091|CAD6993275.1|CCAP
OG0002153	LOC119068706|XP_037028290.1|BCOP	CCAP1982_LOCUS1613|CAD6992772.1|CCAP
OG0002154	LOC119067768|XP_037026807.1|BCOP	CCAP1982_LOCUS6308|CAD6997677.1|CCAP
OG0002155	LOC119069323|XP_037029275.1|BCOP	CCAP1982_LOCUS1752|CAD6992919.1|CCAP, CCAP1982_LOCUS1751|CAD6992918.1|CCAP, CCAP1982_LOCUS1753|CAD6992920.1|CCAP
OG0002156	LOC119081040|XP_037045635.1|BCOP	CCAP1982_LOCUS13759|CAD7005399.1|CCAP
OG0002157	LOC119069857|XP_037029927.1|BCOP	CCAP1982_LOCUS4046|CAD6995328.1|CCAP, CCAP1982_LOCUS4056|CAD6995338.1|CCAP, CCAP1982_LOCUS4045|CAD6995327.1|CCAP
OG0002159	LOC119068701|XP_037028287.1|BCOP	CCAP1982_LOCUS2713|CAD6993925.1|CCAP
OG0002160	LOC119068295|XP_037027729.1|BCOP	CCAP1982_LOCUS3057|CAD6994296.1|CCAP, CCAP1982_LOCUS3058|CAD6994297.1|CCAP
OG0002161	LOC119085218|XP_037051427.1|BCOP	CCAP1982_LOCUS1659|CAD6992820.1|CCAP
OG0002162	LOC119067373|XP_037026189.1|BCOP	CCAP1982_LOCUS2186|CAD6993368.1|CCAP, CCAP1982_LOCUS2185|CAD6993367.1|CCAP
OG0002164	LOC119068336|XP_037027789.1|BCOP	CCAP1982_LOCUS11815|CAD7003356.1|CCAP
OG0002165	LOC119068466|XP_037027955.1|BCOP	CCAP1982_LOCUS3691|CAD6994959.1|CCAP
OG0002166	LOC119066227|XP_037024446.1|BCOP	CCAP1982_LOCUS6734|CAD6998123.1|CCAP
OG0002167	LOC119066372|XP_037024695.1|BCOP	CCAP1982_LOCUS19368|CAD7011260.1|CCAP
OG0002169	LOC119068737|XP_037028331.1|BCOP	CCAP1982_LOCUS12749|CAD7004330.1|CCAP
OG0002170	LOC119083567|XP_037049205.1|BCOP	CCAP1982_LOCUS10174|CAD7001683.1|CCAP, CCAP1982_LOCUS10177|CAD7001687.1|CCAP
OG0002171	LOC119069264|XP_037029217.1|BCOP	CCAP1982_LOCUS3355|CAD6994620.1|CCAP
OG0002172	LOC119067940|XP_037027151.1|BCOP	CCAP1982_LOCUS2672|CAD6993878.1|CCAP, CCAP1982_LOCUS2670|CAD6993876.1|CCAP
OG0002173	LOC119078710|XP_037042275.1|BCOP	CCAP1982_LOCUS7908|CAD6999382.1|CCAP
OG0002174	LOC119082710|XP_037048184.1|BCOP	CCAP1982_LOCUS2681|CAD6993887.1|CCAP
OG0002175	LOC119082813|XP_037048363.1|BCOP	CCAP1982_LOCUS2682|CAD6993889.1|CCAP
OG0002176	LOC119067918|XP_037027114.1|BCOP	CCAP1982_LOCUS1364|CAD6992515.1|CCAP
OG0002177	LOC119067430|XP_037026297.1|BCOP	CCAP1982_LOCUS3852|CAD6995130.1|CCAP
OG0002178	LOC119069100|XP_037028887.1|BCOP	CCAP1982_LOCUS1381|CAD6992532.1|CCAP
OG0002179	LOC119067611|XP_037026600.1|BCOP	CCAP1982_LOCUS3492|CAD6994759.1|CCAP
OG0002179	LOC119067624|XP_037026612.1|BCOP	CCAP1982_LOCUS3487|CAD6994754.1|CCAP
OG0002180	LOC119068090|XP_037027402.1|BCOP	CCAP1982_LOCUS1104|CAD6992234.1|CCAP, CCAP1982_LOCUS1116|CAD6992246.1|CCAP
OG0002182	LOC119067226|XP_037025967.1|BCOP	CCAP1982_LOCUS1440|CAD6992591.1|CCAP
OG0002183	LOC119071530|XP_037032309.1|BCOP	CCAP1982_LOCUS19379|CAD7011271.1|CCAP
