Orthogroup	DERE.longest_only	AAEG.longest_only
OG0001714	LOC6552377|XP_001978888.2|DERE	LOC5564681|XP_021692980.1|AAEG
OG0001715	LOC6550038|XP_001977504.2|DERE	LOC5573668|XP_021698214.1|AAEG, LOC110681428|XP_021712862.1|AAEG, LOC5566465|XP_001650847.2|AAEG
OG0001716	LOC6550312|XP_001977900.1|DERE	LOC110681112|XP_021712571.1|AAEG, LOC23687829|XP_011493203.2|AAEG, LOC5576349|XP_001656084.1|AAEG, LOC110678113|XP_021706410.1|AAEG
OG0001717	LOC6554120|XP_026831726.1|DERE	LOC110680473|XP_021711973.1|AAEG, LOC5573435|XP_021693609.1|AAEG
OG0001718	LOC6554887|XP_001982242.2|DERE	LOC110674147|XP_021693644.1|AAEG, LOC5576566|XP_021693645.1|AAEG
OG0001719	LOC6554517|XP_015009322.1|DERE	LOC5579075|XP_021694078.1|AAEG
OG0001720	LOC6551770|XP_026839523.1|DERE	LOC5576117|XP_001662463.2|AAEG
OG0001721	LOC6552921|XP_001980994.1|DERE	LOC5565136|XP_001649519.2|AAEG, LOC5565189|XP_001649518.2|AAEG, LOC5565137|XP_001649517.2|AAEG
OG0001722	LOC6544871|XP_026833874.1|DERE	LOC5571453|XP_021695480.1|AAEG
OG0001723	LOC6541545|XP_001970814.1|DERE, LOC6542112|XP_001970815.1|DERE	LOC5571265|XP_001653563.1|AAEG
OG0001724	LOC6547973|XP_015011808.1|DERE	LOC5579032|XP_021695970.1|AAEG
OG0001725	LOC6543331|XP_015015049.1|DERE	LOC5568472|XP_021696007.1|AAEG
OG0001726	LOC6546157|XP_026832555.1|DERE	LOC110680966|XP_021712431.1|AAEG, LOC5574101|XP_021696096.1|AAEG
OG0001727	LOC6555115|XP_001982257.1|DERE	LOC5577067|XP_021696347.1|AAEG, LOC5576405|XP_021709876.1|AAEG
OG0001728	LOC6547058|XP_001976016.1|DERE	LOC5570509|XP_001659196.2|AAEG
OG0001729	LOC6548454|XP_026836239.1|DERE	LOC5570505|XP_001659192.2|AAEG
OG0001730	LOC6543159|XP_001969775.1|DERE	LOC5569450|XP_021696659.1|AAEG
OG0001732	LOC26526926|XP_015015576.1|DERE	LOC110675629|XP_021696818.1|AAEG
OG0001733	LOC6547856|XP_001975039.1|DERE	LOC5565207|XP_001649550.1|AAEG, LOC5565221|XP_001649551.1|AAEG
OG0001734	LOC6541069|XP_001970371.1|DERE	LOC5565228|XP_021696985.1|AAEG
OG0001735	LOC6543540|XP_001973624.3|DERE	LOC5579981|XP_001658609.2|AAEG
OG0001736	LOC6547189|XP_026836842.1|DERE	LOC5578900|XP_001664110.1|AAEG
OG0001737	LOC6547889|XP_001976448.1|DERE	LOC110675836|XP_021697399.1|AAEG, LOC110675119|XP_021695189.1|AAEG
OG0001738	LOC6543659|XP_001972958.1|DERE	LOC5576851|XP_021697531.1|AAEG
OG0001739	LOC26526943|XP_015012884.1|DERE	LOC5575248|XP_001655655.1|AAEG
OG0001740	LOC6547768|XP_026835815.1|DERE	LOC110675914|XP_021697629.1|AAEG, LOC5572758|XP_021712795.1|AAEG
OG0001742	LOC6543026|XP_001969090.2|DERE	LOC5576166|XP_001662518.1|AAEG
OG0001743	LOC6543767|XP_015013635.1|DERE	LOC5576175|XP_021697664.1|AAEG
OG0001744	LOC113563695|XP_026834339.1|DERE	LOC5573987|XP_021697960.1|AAEG
OG0001745	LOC6547364|XP_026836567.1|DERE	LOC5573042|XP_021695213.1|AAEG
OG0001746	LOC6543583|XP_001972296.1|DERE	LOC5564250|XP_001648596.1|AAEG
OG0001747	LOC6546829|XP_026837149.1|DERE	LOC5564305|XP_021698368.1|AAEG
OG0001748	LOC6545480|XP_015013763.1|DERE	LOC110676122|XP_021698446.1|AAEG
OG0001749	LOC6548642|XP_001976630.1|DERE	LOC5572527|XP_001654051.1|AAEG
OG0001750	LOC6548641|XP_001976629.1|DERE	LOC5572528|XP_021698705.1|AAEG
OG0001751	LOC6543618|XP_026832342.1|DERE	LOC5574043|XP_021698767.1|AAEG
OG0001752	LOC6545196|XP_001972042.1|DERE	LOC110676202|XP_021698832.1|AAEG
OG0001753	LOC6546254|XP_015013806.2|DERE	LOC5566011|XP_021698869.1|AAEG
OG0001754	LOC6546728|XP_026836558.1|DERE	LOC5575704|XP_021699108.1|AAEG
OG0001755	LOC6546210|XP_015013342.1|DERE	LOC5565278|XP_021699140.1|AAEG
OG0001756	LOC6548768|XP_001975423.1|DERE	LOC5577289|XP_021699173.1|AAEG
OG0001757	LOC6546582|XP_001974681.1|DERE	LOC5572865|XP_001660624.1|AAEG
OG0001758	LOC6545567|XP_026833748.1|DERE	LOC5579195|XP_021699414.1|AAEG
OG0001759	LOC6548151|XP_001975225.3|DERE	LOC5575922|XP_021699452.1|AAEG
OG0001760	LOC6541584|XP_001970345.1|DERE	LOC5566072|XP_001650438.2|AAEG
OG0001761	LOC6547930|XP_026835843.1|DERE	LOC5576993|XP_021699573.1|AAEG
OG0001762	LOC6543015|XP_026835149.1|DERE	LOC5572235|XP_001653920.3|AAEG, LOC5574685|XP_021700044.1|AAEG
OG0001763	LOC6542692|XP_001970082.2|DERE	LOC5574378|XP_021700079.1|AAEG
OG0001764	LOC6553240|XP_001980195.2|DERE	LOC5569117|XP_001652716.2|AAEG
OG0001765	LOC6542673|XP_026835300.1|DERE	LOC5570381|XP_021700177.1|AAEG
OG0001766	LOC6542157|XP_001969221.1|DERE	LOC5567651|XP_021700353.1|AAEG
OG0001767	LOC6542220|XP_001968535.2|DERE	LOC5569370|XP_021700467.1|AAEG
OG0001768	LOC6540814|XP_001968169.1|DERE	LOC5565839|XP_001650193.1|AAEG, LOC5578368|XP_001656939.1|AAEG
OG0001769	LOC6542916|XP_001968860.1|DERE	LOC5566448|XP_021700544.1|AAEG, LOC110680496|XP_021711988.1|AAEG
OG0001770	LOC6543132|XP_001969906.1|DERE	LOC5572645|XP_001654144.2|AAEG
OG0001771	LOC6541155|XP_001968570.1|DERE	LOC5572651|XP_001654151.1|AAEG
OG0001772	LOC6541743|XP_001969450.1|DERE	LOC110680439|XP_021711928.1|AAEG, LOC5573651|XP_001660977.2|AAEG
OG0001774	LOC6548401|XP_001976667.2|DERE	LOC5564490|XP_021701074.1|AAEG, LOC5564489|XP_021695283.1|AAEG
OG0001776	LOC6540894|XP_001970029.1|DERE	LOC5575680|XP_021701220.1|AAEG
OG0001777	LOC6541371|XP_001970155.1|DERE	LOC5573805|XP_021701314.1|AAEG
OG0001778	LOC6542552|XP_001969041.1|DERE	LOC110675190|XP_021695289.1|AAEG, LOC110677148|XP_021703649.1|AAEG
OG0001779	LOC6542676|XP_001969396.2|DERE	LOC110681009|XP_021712466.1|AAEG, LOC5563749|XP_021701405.1|AAEG
OG0001780	LOC6542071|XP_001970812.1|DERE	LOC5565277|XP_021701490.1|AAEG
OG0001781	LOC6549116|XP_015011973.1|DERE	LOC5569344|XP_021701612.1|AAEG
OG0001782	LOC6542033|XP_015014952.1|DERE	LOC5564192|XP_021701622.1|AAEG
OG0001783	LOC6542058|XP_026834983.1|DERE	LOC5576440|XP_021701742.1|AAEG
OG0001784	LOC6541877|XP_001968301.1|DERE	LOC5568160|XP_021701820.1|AAEG, LOC5573090|XP_021701819.1|AAEG
OG0001785	LOC6541287|XP_001969182.1|DERE	LOC5569041|XP_021701853.1|AAEG
OG0001786	LOC6542807|XP_026839340.1|DERE, LOC6543340|XP_001970129.1|DERE	LOC5569034|XP_001652680.1|AAEG
OG0001787	LOC6542003|XP_001970132.2|DERE	LOC5569031|XP_021701868.1|AAEG
OG0001788	LOC6549272|XP_001975714.1|DERE	LOC5573248|XP_001654457.1|AAEG
OG0001789	LOC6547318|XP_001976342.1|DERE	LOC5567954|XP_001657769.1|AAEG
OG0001790	LOC6543267|XP_026834061.1|DERE	LOC5573696|XP_001661021.2|AAEG
OG0001791	LOC6546860|XP_001976056.1|DERE	LOC5575748|XP_021703199.1|AAEG
OG0001792	LOC6549240|XP_026836485.1|DERE	LOC23687649|XP_021703560.1|AAEG
OG0001793	LOC6549416|XP_026835784.1|DERE	LOC5572054|XP_021703576.1|AAEG, LOC110680890|XP_021712373.1|AAEG
OG0001794	LOC6541508|XP_001969042.1|DERE	LOC5565922|XP_001650267.3|AAEG
OG0001795	LOC6547499|XP_026836864.1|DERE	LOC5567339|XP_021704045.1|AAEG
OG0001797	LOC6555824|XP_026839263.1|DERE	LOC5572508|XP_021711425.1|AAEG, LOC5566756|XP_021706948.1|AAEG
OG0001798	LOC6548144|XP_001975218.2|DERE	LOC5566370|XP_001650782.1|AAEG
OG0001799	LOC6549882|XP_026837798.1|DERE, LOC26526250|XP_015011445.1|DERE	LOC5580274|XP_001662901.1|AAEG
OG0001800	LOC6541412|XP_026834716.1|DERE	LOC5570552|XP_021709728.1|AAEG
OG0001801	LOC6543969|XP_001972219.2|DERE	LOC110680785|XP_021712265.1|AAEG, LOC5564279|XP_021712264.1|AAEG, LOC110679411|XP_021709622.1|AAEG
OG0001802	LOC6552446|XP_001980935.1|DERE	LOC5564547|XP_001648902.1|AAEG
OG0001803	LOC6553409|XP_026839543.1|DERE	LOC5577692|XP_001663474.2|AAEG
OG0001804	LOC6552681|XP_015009470.1|DERE	LOC5564652|XP_001649004.2|AAEG, LOC110680554|XP_021712038.1|AAEG
OG0001805	LOC6544772|XP_001971678.1|DERE	LOC5575007|XP_001661741.3|AAEG
OG0001806	LOC6554680|XP_026831948.1|DERE	LOC5567255|XP_021706781.1|AAEG
OG0001808	LOC6553855|XP_001980559.2|DERE	LOC5572949|XP_021709443.1|AAEG
OG0001809	LOC6552290|XP_001978845.2|DERE	LOC5564168|XP_021707416.1|AAEG
OG0001810	LOC6554620|XP_001982178.1|DERE	LOC110678349|XP_021706798.1|AAEG, LOC5570367|XP_021710434.1|AAEG, LOC110677948|XP_021705715.1|AAEG
OG0001811	LOC6541200|XP_001970528.1|DERE	LOC5577351|XP_001656427.1|AAEG, LOC110680308|XP_021711836.1|AAEG, LOC110678676|XP_021707574.1|AAEG
OG0001812	LOC6550394|XP_001977776.2|DERE	LOC5577364|XP_001656444.1|AAEG
OG0001813	LOC6553906|XP_026834532.1|DERE	LOC5568213|XP_021706440.1|AAEG
OG0001814	LOC6553608|XP_026839004.1|DERE	LOC110679259|XP_021709176.1|AAEG, LOC110679258|XP_021709173.1|AAEG
OG0001815	LOC6552551|XP_001978961.1|DERE	LOC5572470|XP_001660415.1|AAEG, LOC110677764|XP_021704810.1|AAEG
OG0001816	LOC6549183|XP_001975743.1|DERE	LOC5564769|XP_001649137.1|AAEG
OG0001817	LOC6541305|XP_026834271.1|DERE	LOC5572254|XP_021707503.1|AAEG
OG0001818	LOC6551515|XP_001977183.2|DERE	LOC5570038|XP_021705809.1|AAEG, LOC5570034|XP_021704393.1|AAEG
OG0001819	LOC6548328|XP_001975163.1|DERE	LOC5565232|XP_001649570.2|AAEG
OG0001820	LOC6551437|XP_001978535.1|DERE	LOC5578522|XP_021711359.1|AAEG
OG0001821	LOC6548373|XP_001976648.1|DERE	LOC5575338|XP_021712568.1|AAEG, LOC110678161|XP_021706474.1|AAEG
OG0001822	LOC6547403|XP_001976311.1|DERE	LOC5571100|XP_021710962.1|AAEG
OG0001823	LOC6543848|XP_001972349.1|DERE	LOC5573745|XP_021705990.1|AAEG, LOC5573744|XP_001654772.1|AAEG
OG0001824	LOC6541589|XP_001968314.1|DERE	LOC5579661|XP_001648135.2|AAEG, LOC5579660|XP_001648134.2|AAEG
OG0001825	LOC6547488|XP_026836490.1|DERE	LOC5572228|XP_021707395.1|AAEG
OG0001826	LOC6547165|XP_001976166.1|DERE	LOC5577483|XP_001663403.2|AAEG
OG0001827	LOC6548235|XP_001975267.1|DERE	LOC5572357|XP_001660316.1|AAEG, LOC5572356|XP_001660315.1|AAEG
OG0001828	LOC6551019|XP_026837511.1|DERE	LOC5567362|XP_021706896.1|AAEG
OG0001829	LOC6546911|XP_001975990.1|DERE	LOC5576206|XP_021708780.1|AAEG, LOC110680523|XP_021712012.1|AAEG
OG0001830	LOC6547311|XP_001976338.1|DERE	LOC5571911|XP_001660008.2|AAEG, LOC110679573|XP_021710291.1|AAEG
OG0001831	LOC6546392|XP_001972882.1|DERE	LOC110680266|XP_021711773.1|AAEG, LOC5566067|XP_021705399.1|AAEG, LOC23687723|XP_021711781.1|AAEG, LOC23687612|XP_021707469.1|AAEG
OG0001832	LOC6551342|XP_026837782.1|DERE	LOC5568452|XP_021706577.1|AAEG
OG0001833	LOC6548005|XP_001976500.2|DERE	LOC5571930|XP_001660027.1|AAEG
OG0001848	LOC26526554|XP_026832531.1|DERE	LOC5575825|XP_001655856.2|AAEG
OG0001849	LOC6555207|XP_001982075.1|DERE	LOC5575828|XP_001655853.1|AAEG
OG0001850	LOC6555841|XP_001982707.1|DERE	LOC110681442|XP_021712895.1|AAEG, LOC5579827|XP_001651058.2|AAEG
OG0001851	LOC6555808|XP_026839214.1|DERE	LOC5578495|XP_021694587.1|AAEG
OG0001852	LOC6545159|XP_026833894.1|DERE	LOC5565125|XP_021694596.1|AAEG
OG0001853	LOC6554202|XP_026833795.1|DERE	LOC5574328|XP_021694599.1|AAEG
OG0001854	LOC6550716|XP_001978098.1|DERE	LOC5569472|XP_001658557.1|AAEG
OG0001855	LOC6548496|XP_001975309.1|DERE	LOC5574649|XP_001661572.1|AAEG
OG0001856	LOC6549866|XP_001977396.1|DERE	LOC110674760|XP_021694723.1|AAEG
OG0001857	LOC6549751|XP_001978613.1|DERE	LOC5575262|XP_001661863.2|AAEG, LOC5575265|XP_021694857.1|AAEG
OG0001858	LOC6550239|XP_001977690.1|DERE	LOC5567841|XP_021694869.1|AAEG
OG0001859	LOC6549660|XP_001978709.1|DERE	LOC5580066|XP_001654807.1|AAEG
OG0001860	LOC6546168|XP_001972865.1|DERE	LOC5564571|XP_021694963.1|AAEG, LOC5568118|XP_021696651.1|AAEG
OG0001861	LOC6555253|XP_001981634.1|DERE	LOC5579466|XP_021693350.1|AAEG
OG0001862	LOC6549875|XP_001978656.1|DERE	LOC5570649|XP_021706525.1|AAEG, LOC5570648|XP_001659242.1|AAEG
OG0001863	LOC6550951|XP_026837666.1|DERE	LOC5570651|XP_001659247.1|AAEG
OG0001864	LOC6552814|XP_015009776.1|DERE	LOC110674837|XP_021695016.1|AAEG, LOC5578628|XP_021694917.1|AAEG
OG0001865	LOC6550044|XP_001977510.1|DERE	LOC110675288|XP_021695482.1|AAEG
OG0001866	LOC6553633|XP_015010111.1|DERE	LOC5574246|XP_021695568.1|AAEG
OG0001867	LOC6546442|XP_001972928.1|DERE	LOC5575004|XP_021697527.1|AAEG, LOC5570553|XP_021706976.1|AAEG
OG0001868	LOC6548794|XP_001974051.2|DERE	LOC5574992|XP_001655465.2|AAEG, LOC5574991|XP_001655464.2|AAEG
OG0001869	LOC6553487|XP_015010366.1|DERE	LOC5574987|XP_021697648.1|AAEG
OG0001870	LOC6551196|XP_001977030.1|DERE	LOC110681030|XP_021712488.1|AAEG, LOC110674273|XP_021694239.1|AAEG, LOC110681059|XP_021712516.1|AAEG, LOC5575006|XP_021697806.1|AAEG
OG0001871	LOC6551365|XP_001977110.3|DERE	LOC5571998|XP_001660103.3|AAEG
OG0001872	LOC6555285|XP_026835075.1|DERE	LOC5574573|XP_021699531.1|AAEG
OG0001873	LOC6552018|XP_001978783.1|DERE	LOC5578825|XP_021701935.1|AAEG
OG0001874	LOC6555444|XP_001981888.1|DERE	LOC5567722|XP_021702328.1|AAEG
OG0001875	LOC6555123|XP_026839514.1|DERE	LOC110677055|XP_021703299.1|AAEG
OG0001876	LOC6550652|XP_001978042.1|DERE	LOC5564040|XP_001648384.2|AAEG
OG0001877	LOC6551236|XP_001976738.1|DERE	LOC5571508|XP_001659759.2|AAEG
OG0001878	LOC6553582|XP_001980278.1|DERE	LOC5566087|XP_021704628.1|AAEG
OG0001879	LOC6555321|XP_001981882.2|DERE	LOC5565257|XP_021705692.1|AAEG
OG0001880	LOC6553901|XP_026834374.1|DERE	LOC5570606|XP_001653270.2|AAEG
OG0001881	LOC6553618|XP_001979276.1|DERE	LOC5566189|XP_001650563.2|AAEG
OG0001882	LOC6554902|XP_026839589.1|DERE	LOC110680416|XP_021711907.1|AAEG, LOC110679567|XP_021710262.1|AAEG, LOC5566197|XP_021711888.1|AAEG, LOC110679570|XP_021710271.1|AAEG, LOC110674299|XP_021694273.1|AAEG
OG0001883	LOC6554779|XP_015009332.1|DERE	LOC5577698|XP_021711630.1|AAEG
OG0001884	LOC6553450|XP_001979377.1|DERE	LOC5577407|XP_001656488.1|AAEG
OG0001885	LOC6542763|XP_001969777.1|DERE	LOC5577423|XP_021711870.1|AAEG
OG0001886	LOC113563738|XP_026831723.1|DERE, LOC6552307|XP_001980832.1|DERE	LOC5572728|XP_001660554.2|AAEG
OG0001887	LOC6547282|XP_001976149.1|DERE	LOC5567793|XP_021712137.1|AAEG
OG0001888	LOC6552381|XP_001978899.2|DERE	LOC110681150|XP_021712610.1|AAEG, LOC5567790|XP_001657693.2|AAEG
OG0001889	LOC6549901|XP_001977377.1|DERE	LOC5567788|XP_001657691.1|AAEG
OG0001890	LOC6545882|XP_026832634.1|DERE	LOC5567782|XP_001657683.2|AAEG
OG0001891	LOC6553768|XP_015009666.1|DERE	LOC5567775|XP_021712347.1|AAEG, LOC5567776|XP_021712762.1|AAEG
OG0001892	LOC26527112|XP_026832226.1|DERE, LOC26526220|XP_015014243.1|DERE	LOC23687555|XP_021712394.1|AAEG, LOC110681196|XP_021712670.1|AAEG
OG0001893	LOC6554639|XP_001981570.1|DERE	LOC5572443|XP_021695330.1|AAEG, LOC110675186|XP_021695285.1|AAEG, LOC5572571|XP_021713040.1|AAEG, LOC5569499|XP_021695253.1|AAEG
OG0001894	LOC6542209|XP_026835480.1|DERE	LOC5572582|XP_001654091.1|AAEG
OG0001895	LOC6555839|XP_026839014.1|DERE	LOC23687627|XP_021713176.1|AAEG
OG0001896	LOC26526941|XP_026838632.1|DERE	LOC110680784|XP_021712262.1|AAEG, LOC5569234|XP_021713263.1|AAEG
OG0001897	LOC6551948|XP_015009964.1|DERE	LOC5579206|XP_021713312.1|AAEG
OG0001898	LOC6550824|XP_001978082.1|DERE	LOC5580016|XP_001653897.2|AAEG
OG0001899	LOC6554090|XP_026831810.1|DERE	LOC5580177|XP_001655592.2|AAEG, LOC5580175|XP_021713419.1|AAEG
OG0001900	LOC6545344|XP_001973359.2|DERE	LOC5568029|XP_001657830.1|AAEG, LOC5563727|XP_001648015.1|AAEG
OG0001901	LOC6540888|XP_015014889.1|DERE	LOC5563615|XP_021693058.1|AAEG
OG0001902	LOC26526255|XP_026832535.1|DERE	LOC5576356|XP_021693302.1|AAEG
OG0001903	LOC6552113|XP_015009532.2|DERE	LOC5573314|XP_021693438.1|AAEG
OG0001904	LOC6554177|XP_001981487.1|DERE	LOC5573316|XP_021693443.1|AAEG
OG0001905	LOC6551436|XP_001977143.1|DERE	LOC5569643|XP_001658667.1|AAEG
OG0001906	LOC6553512|XP_026833130.1|DERE	LOC5576390|XP_021693504.1|AAEG
OG0001907	LOC6550503|XP_001977968.2|DERE	LOC110674160|XP_021693697.1|AAEG, LOC5566429|XP_021695258.1|AAEG
OG0001908	LOC6554390|XP_001981513.1|DERE	LOC5564006|XP_001648330.1|AAEG
OG0001909	LOC6549717|XP_026838315.1|DERE	LOC5569687|XP_021693811.1|AAEG
OG0001910	LOC6552043|XP_001980719.1|DERE	LOC5565945|XP_001650321.1|AAEG, LOC5565940|XP_001650319.2|AAEG
OG0001911	LOC6552660|XP_015010221.1|DERE	LOC110674205|XP_021693943.1|AAEG
OG0001912	LOC6549029|XP_001975538.1|DERE	LOC110674342|XP_021694330.1|AAEG, LOC5576146|XP_021694069.1|AAEG
OG0001913	LOC6542323|XP_001969933.1|DERE	LOC110674222|XP_021694070.1|AAEG, LOC5576149|XP_001662497.2|AAEG
OG0001914	LOC6554949|XP_026837208.1|DERE	LOC5565160|XP_021694133.1|AAEG
OG0001915	LOC6546483|XP_001971252.1|DERE	LOC5566122|XP_021695354.1|AAEG
OG0001916	LOC6547127|XP_026835743.1|DERE	LOC5570941|XP_001653408.1|AAEG
OG0001917	LOC6543837|XP_026833808.1|DERE	LOC5579868|XP_021695539.1|AAEG
OG0001918	LOC6543893|XP_001971888.2|DERE	LOC5575750|XP_001662178.1|AAEG
OG0001919	LOC6548815|XP_001975495.1|DERE	LOC5579460|XP_001647758.2|AAEG
OG0001920	LOC6545470|XP_026832564.1|DERE	LOC5571764|XP_021695753.1|AAEG
OG0001921	LOC6549640|XP_001975758.1|DERE	LOC5571757|XP_001659890.2|AAEG
OG0001922	LOC6547370|XP_015012632.1|DERE	LOC5571267|XP_001653565.1|AAEG
OG0001924	LOC6541787|XP_001970931.1|DERE	LOC23687479|XP_021696447.1|AAEG
OG0001925	LOC6544046|XP_001971970.1|DERE	LOC5567637|XP_001657588.2|AAEG
OG0001926	LOC6545661|XP_001971665.1|DERE	LOC5566295|XP_021696526.1|AAEG
OG0001927	LOC6546545|XP_026835846.1|DERE	LOC5568108|XP_021696643.1|AAEG
OG0001928	LOC6543578|XP_015013915.1|DERE	LOC5568114|XP_001652053.1|AAEG
OG0001929	LOC6546340|XP_026833368.1|DERE	LOC5568122|XP_021696657.1|AAEG
OG0001930	LOC6547013|XP_001974700.2|DERE	LOC5569448|XP_021696661.1|AAEG
OG0001932	LOC6544036|XP_026832819.1|DERE	LOC5574425|XP_021696832.1|AAEG
OG0001933	LOC6548089|XP_001975205.1|DERE, LOC6546706|XP_001974522.1|DERE	LOC5566235|XP_001650598.2|AAEG
OG0001934	LOC6546186|XP_001972279.1|DERE	LOC5565654|XP_001650004.2|AAEG
OG0001935	LOC6544839|XP_001973199.1|DERE	LOC5573776|XP_001654802.2|AAEG
OG0001937	LOC6548933|XP_026835890.1|DERE	LOC5574901|XP_021697034.1|AAEG
OG0001938	LOC6547277|XP_001976100.1|DERE	LOC5567330|XP_021697068.1|AAEG
OG0001939	LOC6547645|XP_001974979.1|DERE	LOC5571823|XP_001659955.1|AAEG, LOC5571824|XP_001659956.1|AAEG
OG0001940	LOC113563694|XP_026834332.1|DERE, LOC6542951|XP_015014603.1|DERE	LOC5578975|XP_021697211.1|AAEG
OG0001941	LOC6545425|XP_026833440.1|DERE	LOC5577574|XP_001663445.2|AAEG
OG0001942	LOC6542426|XP_001970714.3|DERE	LOC5565244|XP_021697467.1|AAEG, LOC5574904|XP_001661710.2|AAEG
OG0001943	LOC6544739|XP_001973201.1|DERE	LOC110675827|XP_021697395.1|AAEG
OG0001944	LOC6544643|XP_026833781.1|DERE	LOC5565994|XP_001650362.2|AAEG
OG0001945	LOC6540979|XP_026835476.1|DERE	LOC5575250|XP_021697553.1|AAEG
OG0001946	LOC6541267|XP_001970611.1|DERE	LOC5572759|XP_001660580.2|AAEG
OG0001947	LOC6546661|XP_026835875.1|DERE	LOC110675915|XP_021697633.1|AAEG, LOC5572761|XP_021712888.1|AAEG
OG0001948	LOC6550118|XP_001977655.1|DERE	LOC5573420|XP_001654595.2|AAEG
OG0001949	LOC6546274|XP_026832991.1|DERE	LOC5575138|XP_021697912.1|AAEG
OG0001950	LOC6552808|XP_026839869.1|DERE	LOC5564815|XP_021697926.1|AAEG
OG0001951	LOC6547363|XP_001976285.3|DERE	LOC5564736|XP_021698057.1|AAEG
OG0001952	LOC6542670|XP_001970865.2|DERE	LOC5568132|XP_021698130.1|AAEG
OG0001953	LOC6548022|XP_026836709.1|DERE	LOC5571480|XP_021698235.1|AAEG
OG0001954	LOC6542182|XP_026835604.1|DERE	LOC5563832|XP_021698302.1|AAEG
OG0001955	LOC6547456|XP_001976205.1|DERE	LOC5576039|XP_001662377.1|AAEG
OG0001956	LOC6544158|XP_001971384.3|DERE	LOC5576036|XP_021698320.1|AAEG
OG0001957	LOC6547858|XP_026836524.1|DERE	LOC5564212|XP_001648594.1|AAEG
OG0001958	LOC6546931|XP_026836294.1|DERE	LOC5569618|XP_021698469.1|AAEG
OG0001959	LOC6544550|XP_001973472.1|DERE	LOC5577966|XP_021698584.1|AAEG, LOC5575279|XP_021704623.1|AAEG
OG0001960	LOC6545669|XP_001971144.1|DERE	LOC5576957|XP_021698653.1|AAEG
OG0001961	LOC6548577|XP_015012699.1|DERE	LOC5572304|XP_021698709.1|AAEG
OG0001962	LOC6542604|XP_026835478.1|DERE	LOC5572270|XP_021698749.1|AAEG
OG0001963	LOC6543632|XP_001973012.1|DERE	LOC5574335|XP_001661369.2|AAEG
OG0001964	LOC6544577|XP_001971456.1|DERE	LOC110677712|XP_021704551.1|AAEG, LOC5563554|XP_021699088.1|AAEG
OG0001966	LOC6552242|XP_001979754.1|DERE	LOC5572494|XP_001660440.2|AAEG, LOC5568681|XP_001658084.2|AAEG
OG0001967	LOC6547670|XP_026836670.1|DERE	LOC5578856|XP_021699344.1|AAEG
OG0001968	LOC6543549|XP_001972302.1|DERE	LOC5578863|XP_001664072.2|AAEG
OG0001969	LOC6543021|XP_001970613.1|DERE	LOC5572859|XP_021699398.1|AAEG
OG0001970	LOC6547340|XP_001976293.1|DERE	LOC5575914|XP_001655906.1|AAEG
OG0001971	LOC6547261|XP_001974868.2|DERE	LOC5563933|XP_021699532.1|AAEG, LOC110676342|XP_021699535.1|AAEG
OG0001972	LOC6541127|XP_001970841.1|DERE	LOC5570728|XP_001659320.1|AAEG
OG0001973	LOC6547796|XP_015012645.1|DERE	LOC23687899|XP_021699564.1|AAEG
OG0001974	LOC6540756|XP_001970327.1|DERE	LOC5569574|XP_001658635.1|AAEG
OG0001975	LOC6546526|XP_001971261.1|DERE	LOC110676393|XP_021699804.1|AAEG
OG0001976	LOC6546898|XP_001975977.1|DERE	LOC5574834|XP_001661657.1|AAEG
OG0001977	LOC6542181|XP_026835450.1|DERE	LOC5575445|XP_021700364.1|AAEG
OG0001978	LOC6549192|XP_001974411.1|DERE	LOC5578159|XP_001663732.1|AAEG
OG0001979	LOC6541858|XP_001970202.1|DERE	LOC5580329|XP_001663282.1|AAEG
OG0001980	LOC6542153|XP_001968113.1|DERE	LOC110676547|XP_021700527.1|AAEG, LOC5578362|XP_001656933.2|AAEG
OG0001982	LOC26526885|XP_015012874.1|DERE	LOC5570903|XP_001653381.1|AAEG
OG0001983	LOC26526860|XP_026832205.1|DERE	LOC5569680|XP_001652945.1|AAEG
OG0001984	LOC6543524|XP_026834820.1|DERE	LOC5572638|XP_001654135.1|AAEG
OG0001985	LOC6540854|XP_026834438.1|DERE	LOC110680287|XP_021711813.1|AAEG, LOC5565763|XP_021700900.1|AAEG, LOC110680285|XP_021711797.1|AAEG
OG0001986	LOC6541601|XP_001970064.1|DERE	LOC5564309|XP_001648656.2|AAEG
OG0001987	LOC6555801|XP_026838871.1|DERE	LOC110680374|XP_021711872.1|AAEG, LOC5572849|XP_021711343.1|AAEG, LOC5566255|XP_021700957.1|AAEG
OG0001988	LOC6548147|XP_026837112.1|DERE	LOC5574483|XP_021701245.1|AAEG
OG0001989	LOC6543488|XP_001968209.3|DERE	LOC5574486|XP_001655150.2|AAEG
OG0001990	LOC6542403|XP_026834918.1|DERE	LOC5574491|XP_021695288.1|AAEG
OG0001991	LOC26526371|XP_015012792.2|DERE	LOC5568825|XP_021701340.1|AAEG
OG0001992	LOC6541163|XP_001969755.2|DERE	LOC5564970|XP_021701369.1|AAEG
OG0001993	LOC6540948|XP_001970021.1|DERE	LOC5573790|XP_001661042.1|AAEG, LOC5564972|XP_001649329.1|AAEG
OG0001994	LOC6553688|XP_026838400.1|DERE	LOC5578318|XP_021701535.1|AAEG
OG0001995	LOC6549285|XP_001974247.1|DERE	LOC5579212|XP_001664294.2|AAEG
