Orthogroup	DERE.longest_only	CCAP.longest_only
OG0001551	LOC6554766|XP_026839830.1|DERE	CCAP1982_LOCUS3146|CAD6994394.1|CCAP
OG0001552	LOC6552497|XP_001980852.1|DERE	CCAP1982_LOCUS3882|CAD6995161.1|CCAP
OG0001554	LOC6551978|XP_015010059.2|DERE	CCAP1982_LOCUS1047|CAD6992172.1|CCAP
OG0001555	LOC6549323|XP_026836131.1|DERE	CCAP1982_LOCUS8800|CAD7000315.1|CCAP
OG0001556	LOC6547046|XP_001974635.1|DERE	CCAP1982_LOCUS21904|CAD7013890.1|CCAP
OG0001559	LOC6554942|XP_001982013.1|DERE	CCAP1982_LOCUS1563|CAD6992718.1|CCAP, CCAP1982_LOCUS1557|CAD6992712.1|CCAP, CCAP1982_LOCUS1558|CAD6992713.1|CCAP
OG0001560	LOC6553436|XP_026836830.1|DERE	CCAP1982_LOCUS4333|CAD6995627.1|CCAP
OG0001561	LOC6552350|XP_026831936.1|DERE	CCAP1982_LOCUS1554|CAD6992709.1|CCAP, CCAP1982_LOCUS1545|CAD6992700.1|CCAP, CCAP1982_LOCUS1555|CAD6992710.1|CCAP, CCAP1982_LOCUS1546|CAD6992701.1|CCAP
OG0001562	LOC6540869|XP_001970054.2|DERE	CCAP1982_LOCUS1189|CAD6992322.1|CCAP
OG0001563	LOC6544512|XP_001973796.1|DERE	CCAP1982_LOCUS20081|CAD7011970.1|CCAP
OG0001564	LOC6552960|XP_026832137.1|DERE	CCAP1982_LOCUS2912|CAD6994146.1|CCAP
OG0001565	LOC6552927|XP_026839509.1|DERE	CCAP1982_LOCUS2206|CAD6993390.1|CCAP, CCAP1982_LOCUS2201|CAD6993385.1|CCAP
OG0001566	LOC6551943|XP_001980631.1|DERE	CCAP1982_LOCUS2933|CAD6994168.1|CCAP
OG0001567	LOC6547178|XP_001976076.1|DERE	CCAP1982_LOCUS20683|CAD7012598.1|CCAP
OG0001568	LOC6552626|XP_015010203.1|DERE	CCAP1982_LOCUS4089|CAD6995371.1|CCAP, CCAP1982_LOCUS4088|CAD6995370.1|CCAP, CCAP1982_LOCUS4087|CAD6995368.1|CCAP, CCAP1982_LOCUS4081|CAD6995362.1|CCAP
OG0001569	LOC6553502|XP_001980229.1|DERE	CCAP1982_LOCUS1296|CAD6992434.1|CCAP
OG0001570	LOC6553588|XP_001980284.1|DERE	CCAP1982_LOCUS2355|CAD6993543.1|CCAP
OG0001571	LOC6541476|XP_026835060.1|DERE	CCAP1982_LOCUS5652|CAD6996990.1|CCAP
OG0001573	LOC6544082|XP_001971939.1|DERE	CCAP1982_LOCUS11587|CAD7003125.1|CCAP
OG0001575	LOC6555108|XP_001982024.1|DERE	CCAP1982_LOCUS3773|CAD6995046.1|CCAP
OG0001576	LOC6551778|XP_001980591.3|DERE	CCAP1982_LOCUS117|CAD6991178.1|CCAP
OG0001577	LOC6554334|XP_026831720.1|DERE	CCAP1982_LOCUS9052|CAD7000578.1|CCAP
OG0001580	LOC6547552|XP_026836095.1|DERE	CCAP1982_LOCUS23298|CAD7015353.1|CCAP, CCAP1982_LOCUS23296|CAD7015351.1|CCAP, CCAP1982_LOCUS23297|CAD7015352.1|CCAP
OG0001582	LOC6546803|XP_001975897.3|DERE	CCAP1982_LOCUS22748|CAD7014775.1|CCAP
OG0001583	LOC6541034|XP_001970560.1|DERE	CCAP1982_LOCUS22705|CAD7014727.1|CCAP
OG0001584	LOC6545203|XP_001971064.1|DERE	CCAP1982_LOCUS10967|CAD7002478.1|CCAP
OG0001586	LOC6544578|XP_001971457.1|DERE	CCAP1982_LOCUS11853|CAD7003396.1|CCAP
OG0001587	LOC6542066|XP_001970845.1|DERE	CCAP1982_LOCUS23022|CAD7015066.1|CCAP
OG0001588	LOC6542666|XP_026834902.1|DERE	CCAP1982_LOCUS21201|CAD7013129.1|CCAP
OG0001589	LOC6543033|XP_001970884.1|DERE	CCAP1982_LOCUS5882|CAD6997249.1|CCAP
OG0001590	LOC6547424|XP_026835999.1|DERE	CCAP1982_LOCUS20139|CAD7012036.1|CCAP
OG0001592	LOC6541198|XP_001969725.2|DERE	CCAP1982_LOCUS8353|CAD6999841.1|CCAP
OG0001593	LOC6542752|XP_001969735.1|DERE	CCAP1982_LOCUS8340|CAD6999829.1|CCAP
OG0001594	LOC6543522|XP_026835252.1|DERE	CCAP1982_LOCUS8198|CAD6999668.1|CCAP
OG0001595	LOC6546864|XP_001976060.1|DERE	CCAP1982_LOCUS5937|CAD6997304.1|CCAP, CCAP1982_LOCUS5948|CAD6997315.1|CCAP, CCAP1982_LOCUS22469|CAD7014473.1|CCAP, CCAP1982_LOCUS22468|CAD7014472.1|CCAP
OG0001596	LOC6549312|XP_001974234.1|DERE	CCAP1982_LOCUS6097|CAD6997451.1|CCAP
OG0001597	LOC26526449|XP_015012804.1|DERE	CCAP1982_LOCUS5570|CAD6996897.1|CCAP
OG0001599	LOC6542962|XP_001970072.1|DERE	CCAP1982_LOCUS6415|CAD6997790.1|CCAP
OG0001601	LOC6543528|XP_001969494.1|DERE	CCAP1982_LOCUS9239|CAD7000764.1|CCAP
OG0001603	LOC6541741|XP_001969320.2|DERE	CCAP1982_LOCUS5630|CAD6996964.1|CCAP
OG0001605	LOC6541962|XP_001970442.1|DERE	CCAP1982_LOCUS22126|CAD7014120.1|CCAP
OG0001607	LOC6547612|XP_001976249.1|DERE	CCAP1982_LOCUS7005|CAD6998405.1|CCAP
OG0001608	LOC6548733|XP_001973984.1|DERE	CCAP1982_LOCUS5486|CAD6996813.1|CCAP
OG0001609	LOC6548348|XP_001975519.2|DERE	CCAP1982_LOCUS7242|CAD6998684.1|CCAP
OG0001610	LOC6549115|XP_001974187.1|DERE	CCAP1982_LOCUS5695|CAD6997037.1|CCAP
OG0001612	LOC6543536|XP_001970266.1|DERE	CCAP1982_LOCUS8268|CAD6999742.1|CCAP
OG0001613	LOC6543298|XP_001969486.1|DERE	CCAP1982_LOCUS5623|CAD6996956.1|CCAP
OG0001614	LOC6543169|XP_026835190.1|DERE	CCAP1982_LOCUS22551|CAD7014550.1|CCAP
OG0001615	LOC26526341|XP_015012785.1|DERE, LOC113564623|XP_026838710.1|DERE	CCAP1982_LOCUS6168|CAD6997529.1|CCAP
OG0001616	LOC6541538|XP_001969786.1|DERE	CCAP1982_LOCUS7604|CAD6999057.1|CCAP
OG0001617	LOC6549098|XP_001974210.1|DERE	CCAP1982_LOCUS5479|CAD6996806.1|CCAP, CCAP1982_LOCUS5480|CAD6996807.1|CCAP
OG0001619	LOC6541411|XP_001969266.1|DERE	CCAP1982_LOCUS5387|CAD6996703.1|CCAP
OG0001620	LOC6548386|XP_001976467.1|DERE	CCAP1982_LOCUS20177|CAD7012077.1|CCAP
OG0001621	LOC6548774|XP_001975429.1|DERE	CCAP1982_LOCUS22660|CAD7014672.1|CCAP, CCAP1982_LOCUS22659|CAD7014671.1|CCAP
OG0001623	LOC6540782|XP_001968178.1|DERE	CCAP1982_LOCUS7557|CAD6999010.1|CCAP
OG0001624	LOC6540930|XP_026835251.1|DERE	CCAP1982_LOCUS5456|CAD6996781.1|CCAP
OG0001625	LOC6548879|XP_001973975.1|DERE	CCAP1982_LOCUS6407|CAD6997782.1|CCAP
OG0001626	LOC6542166|XP_001970232.1|DERE	CCAP1982_LOCUS8185|CAD6999655.1|CCAP
OG0001627	LOC6553164|XP_026831472.1|DERE	CCAP1982_LOCUS760|CAD6991866.1|CCAP
OG0001628	LOC6554261|XP_001981682.2|DERE	CCAP1982_LOCUS314|CAD6991387.1|CCAP
OG0001629	LOC26526708|XP_026832188.1|DERE	CCAP1982_LOCUS4164|CAD6995449.1|CCAP
OG0001631	LOC6552286|XP_001978841.3|DERE	CCAP1982_LOCUS4669|CAD6995958.1|CCAP
OG0001633	LOC6554061|XP_001980550.1|DERE	CCAP1982_LOCUS5110|CAD6996438.1|CCAP
OG0001634	LOC6553930|XP_026834447.1|DERE	CCAP1982_LOCUS4191|CAD6995475.1|CCAP, CCAP1982_LOCUS4192|CAD6995476.1|CCAP, CCAP1982_LOCUS4190|CAD6995474.1|CCAP
OG0001635	LOC6554529|XP_026835736.1|DERE	CCAP1982_LOCUS787|CAD6991897.1|CCAP
OG0001636	LOC6553006|XP_001979149.1|DERE	CCAP1982_LOCUS500|CAD6991582.1|CCAP
OG0001637	LOC6552544|XP_001980840.1|DERE	CCAP1982_LOCUS2588|CAD6993790.1|CCAP
OG0001640	LOC6553193|XP_001979137.1|DERE	CCAP1982_LOCUS4427|CAD6995721.1|CCAP
OG0001641	LOC6553989|XP_026832136.1|DERE	CCAP1982_LOCUS523|CAD6991608.1|CCAP
OG0001642	LOC6550308|XP_001977896.1|DERE	CCAP1982_LOCUS7454|CAD6998907.1|CCAP
OG0001643	LOC6543075|XP_026834815.1|DERE	CCAP1982_LOCUS14069|CAD7005717.1|CCAP
OG0001644	LOC6544930|XP_001972644.1|DERE	CCAP1982_LOCUS14033|CAD7005680.1|CCAP
OG0001645	LOC6548108|XP_001975149.1|DERE	CCAP1982_LOCUS21147|CAD7013069.1|CCAP
OG0001647	LOC6543211|XP_026835356.1|DERE	CCAP1982_LOCUS20197|CAD7012098.1|CCAP
OG0001648	LOC6545876|XP_026833666.1|DERE	CCAP1982_LOCUS14220|CAD7005878.1|CCAP
OG0001649	LOC6549618|XP_001975655.1|DERE	CCAP1982_LOCUS7144|CAD6998561.1|CCAP
OG0001650	LOC6547204|XP_015012183.1|DERE	CCAP1982_LOCUS20338|CAD7012242.1|CCAP
OG0001652	LOC6546360|XP_001972892.2|DERE	CCAP1982_LOCUS14192|CAD7005849.1|CCAP, CCAP1982_LOCUS14193|CAD7005850.1|CCAP, CCAP1982_LOCUS14191|CAD7005848.1|CCAP
OG0001653	LOC6543990|XP_001973669.1|DERE	CCAP1982_LOCUS13526|CAD7005165.1|CCAP
OG0001654	LOC6546745|XP_001974538.1|DERE	CCAP1982_LOCUS19405|CAD7011298.1|CCAP
OG0001655	LOC6541640|XP_001969177.1|DERE	CCAP1982_LOCUS20689|CAD7012605.1|CCAP
OG0001656	LOC6541227|XP_001968477.1|DERE	CCAP1982_LOCUS10973|CAD7002484.1|CCAP, CCAP1982_LOCUS5373|CAD6996689.1|CCAP
OG0001657	LOC6544341|XP_001973084.1|DERE	CCAP1982_LOCUS13406|CAD7005034.1|CCAP
OG0001658	LOC6544613|XP_001972447.1|DERE	CCAP1982_LOCUS13424|CAD7005054.1|CCAP
OG0001659	LOC6545441|XP_026832461.1|DERE	CCAP1982_LOCUS14509|CAD7006180.1|CCAP
OG0001660	LOC6545606|XP_001971158.1|DERE	CCAP1982_LOCUS14935|CAD7006628.1|CCAP
OG0001661	LOC6551944|XP_001980632.1|DERE	CCAP1982_LOCUS3522|CAD6994791.1|CCAP
OG0001663	LOC6553733|XP_026832084.1|DERE	CCAP1982_LOCUS3118|CAD6994365.1|CCAP
OG0001664	LOC6547423|XP_001974805.1|DERE	CCAP1982_LOCUS20142|CAD7012039.1|CCAP
OG0001666	LOC6541012|XP_001968540.1|DERE	CCAP1982_LOCUS6021|CAD6997382.1|CCAP, CCAP1982_LOCUS6019|CAD6997380.1|CCAP, CCAP1982_LOCUS6022|CAD6997383.1|CCAP, CCAP1982_LOCUS6020|CAD6997381.1|CCAP, CCAP1982_LOCUS4374|CAD6995667.1|CCAP, CCAP1982_LOCUS11372|CAD7002903.1|CCAP
OG0001667	LOC6546718|XP_001974590.1|DERE	CCAP1982_LOCUS22319|CAD7014321.1|CCAP, CCAP1982_LOCUS22320|CAD7014322.1|CCAP
OG0001668	LOC6545276|XP_001972065.1|DERE	CCAP1982_LOCUS11060|CAD7002572.1|CCAP
OG0001669	LOC6546451|XP_001971820.1|DERE, LOC6546452|XP_001971821.1|DERE	CCAP1982_LOCUS12259|CAD7003826.1|CCAP, CCAP1982_LOCUS12258|CAD7003825.1|CCAP
OG0001670	LOC6551732|XP_001977218.3|DERE, LOC6541459|XP_015014697.2|DERE	CCAP1982_LOCUS13568|CAD7005208.1|CCAP
OG0001683	LOC6540992|XP_026835224.1|DERE	CCAP1982_LOCUS5522|CAD6996846.1|CCAP
OG0001684	LOC6555810|XP_026839034.1|DERE	CCAP1982_LOCUS10566|CAD7002078.1|CCAP
OG0001685	LOC6541297|XP_001969035.1|DERE	CCAP1982_LOCUS8076|CAD6999556.1|CCAP
OG0001690	LOC6544400|XP_001972030.1|DERE	CCAP1982_LOCUS12978|CAD7004583.1|CCAP
OG0001691	LOC6542969|XP_001970209.1|DERE	CCAP1982_LOCUS8134|CAD6999611.1|CCAP, CCAP1982_LOCUS8133|CAD6999610.1|CCAP
OG0001692	LOC6554088|XP_001979600.3|DERE	CCAP1982_LOCUS1217|CAD6992353.1|CCAP, CCAP1982_LOCUS1214|CAD6992350.1|CCAP
OG0001694	LOC6551818|XP_001979625.2|DERE	CCAP1982_LOCUS2123|CAD6993306.1|CCAP
OG0001696	LOC6552102|XP_015010043.1|DERE	CCAP1982_LOCUS2178|CAD6993360.1|CCAP
OG0001697	LOC6555323|XP_001981884.1|DERE	CCAP1982_LOCUS4178|CAD6995463.1|CCAP
OG0001700	LOC6552128|XP_015009992.1|DERE	CCAP1982_LOCUS4439|CAD6995734.1|CCAP
OG0001701	LOC6552572|XP_026831962.1|DERE	CCAP1982_LOCUS3386|CAD6994651.1|CCAP, CCAP1982_LOCUS4149|CAD6995432.1|CCAP, CCAP1982_LOCUS3389|CAD6994654.1|CCAP
OG0001702	LOC6541812|XP_001969378.1|DERE	CCAP1982_LOCUS6105|CAD6997462.1|CCAP
OG0001703	LOC6554764|XP_026831652.1|DERE	CCAP1982_LOCUS3137|CAD6994384.1|CCAP
OG0001704	LOC6554763|XP_001982199.1|DERE	CCAP1982_LOCUS3134|CAD6994381.1|CCAP
OG0001705	LOC6554466|XP_015009189.1|DERE	CCAP1982_LOCUS1538|CAD6992693.1|CCAP, CCAP1982_LOCUS1532|CAD6992687.1|CCAP, CCAP1982_LOCUS1511|CAD6992666.1|CCAP, CCAP1982_LOCUS1519|CAD6992674.1|CCAP, CCAP1982_LOCUS1526|CAD6992681.1|CCAP
OG0001706	LOC6542047|XP_001970822.1|DERE	CCAP1982_LOCUS5536|CAD6996860.1|CCAP
OG0001707	LOC6554523|XP_026835453.1|DERE	CCAP1982_LOCUS4020|CAD6995301.1|CCAP
OG0001708	LOC6553500|XP_001980227.1|DERE	CCAP1982_LOCUS1293|CAD6992431.1|CCAP
OG0001709	LOC6543891|XP_001971886.1|DERE	CCAP1982_LOCUS12887|CAD7004482.1|CCAP
OG0001710	LOC6554372|XP_001982355.1|DERE	CCAP1982_LOCUS1177|CAD6992309.1|CCAP
OG0001711	LOC6555211|XP_026831902.1|DERE	CCAP1982_LOCUS3250|CAD6994506.1|CCAP
OG0001712	LOC6555071|XP_026831786.1|DERE	CCAP1982_LOCUS3242|CAD6994496.1|CCAP
OG0001713	LOC6551808|XP_001980577.1|DERE	CCAP1982_LOCUS4355|CAD6995648.1|CCAP
OG0001714	LOC6552377|XP_001978888.2|DERE	CCAP1982_LOCUS4320|CAD6995614.1|CCAP, CCAP1982_LOCUS4321|CAD6995615.1|CCAP
OG0001716	LOC6550312|XP_001977900.1|DERE	CCAP1982_LOCUS9224|CAD7000751.1|CCAP
OG0001717	LOC6554120|XP_026831726.1|DERE	CCAP1982_LOCUS1998|CAD6993176.1|CCAP
OG0001718	LOC6554887|XP_001982242.2|DERE	CCAP1982_LOCUS1466|CAD6992617.1|CCAP
OG0001719	LOC6554517|XP_015009322.1|DERE	CCAP1982_LOCUS4010|CAD6995291.1|CCAP, CCAP1982_LOCUS4013|CAD6995294.1|CCAP
OG0001720	LOC6551770|XP_026839523.1|DERE	CCAP1982_LOCUS3510|CAD6994779.1|CCAP
OG0001721	LOC6552921|XP_001980994.1|DERE	CCAP1982_LOCUS1308|CAD6992451.1|CCAP
OG0001722	LOC6544871|XP_026833874.1|DERE	CCAP1982_LOCUS12343|CAD7003918.1|CCAP
OG0001723	LOC6541545|XP_001970814.1|DERE, LOC6542112|XP_001970815.1|DERE	CCAP1982_LOCUS7234|CAD6998674.1|CCAP
OG0001724	LOC6547973|XP_015011808.1|DERE	CCAP1982_LOCUS22214|CAD7014211.1|CCAP, CCAP1982_LOCUS22231|CAD7014228.1|CCAP
OG0001725	LOC6543331|XP_015015049.1|DERE	CCAP1982_LOCUS21440|CAD7013373.1|CCAP
OG0001726	LOC6546157|XP_026832555.1|DERE	CCAP1982_LOCUS11726|CAD7003264.1|CCAP
OG0001727	LOC6555115|XP_001982257.1|DERE	CCAP1982_LOCUS2281|CAD6993469.1|CCAP
OG0001728	LOC6547058|XP_001976016.1|DERE	CCAP1982_LOCUS22945|CAD7014987.1|CCAP
OG0001729	LOC6548454|XP_026836239.1|DERE	CCAP1982_LOCUS7198|CAD6998625.1|CCAP
OG0001730	LOC6543159|XP_001969775.1|DERE	CCAP1982_LOCUS193|CAD6991260.1|CCAP
OG0001731	LOC6549524|XP_026835828.1|DERE	CCAP1982_LOCUS23134|CAD7015182.1|CCAP
OG0001732	LOC26526926|XP_015015576.1|DERE	CCAP1982_LOCUS9007|CAD7000529.1|CCAP
OG0001733	LOC6547856|XP_001975039.1|DERE	CCAP1982_LOCUS21900|CAD7013885.1|CCAP
OG0001734	LOC6541069|XP_001970371.1|DERE	CCAP1982_LOCUS7214|CAD6998646.1|CCAP
OG0001735	LOC6543540|XP_001973624.3|DERE	CCAP1982_LOCUS13005|CAD7004610.1|CCAP
OG0001736	LOC6547189|XP_026836842.1|DERE	CCAP1982_LOCUS23040|CAD7015086.1|CCAP
OG0001737	LOC6547889|XP_001976448.1|DERE	CCAP1982_LOCUS23349|CAD7015406.1|CCAP, CCAP1982_LOCUS23351|CAD7015408.1|CCAP, CCAP1982_LOCUS23348|CAD7015405.1|CCAP
OG0001738	LOC6543659|XP_001972958.1|DERE	CCAP1982_LOCUS12015|CAD7003566.1|CCAP, CCAP1982_LOCUS12011|CAD7003562.1|CCAP
OG0001739	LOC26526943|XP_015012884.1|DERE	CCAP1982_LOCUS21707|CAD7013664.1|CCAP
OG0001740	LOC6547768|XP_026835815.1|DERE	CCAP1982_LOCUS7101|CAD6998513.1|CCAP
OG0001742	LOC6543026|XP_001969090.2|DERE	CCAP1982_LOCUS21237|CAD7013166.1|CCAP
OG0001743	LOC6543767|XP_015013635.1|DERE	CCAP1982_LOCUS14921|CAD7006613.1|CCAP
OG0001744	LOC6542960|XP_026834337.1|DERE	CCAP1982_LOCUS21823|CAD7013803.1|CCAP
OG0001744	LOC113563695|XP_026834339.1|DERE	CCAP1982_LOCUS21824|CAD7013804.1|CCAP
OG0001746	LOC6543583|XP_001972296.1|DERE	CCAP1982_LOCUS13250|CAD7004865.1|CCAP
OG0001747	LOC6546829|XP_026837149.1|DERE	CCAP1982_LOCUS23161|CAD7015213.1|CCAP, CCAP1982_LOCUS23162|CAD7015214.1|CCAP, CCAP1982_LOCUS23170|CAD7015222.1|CCAP
OG0001748	LOC6545480|XP_015013763.1|DERE	CCAP1982_LOCUS11370|CAD7002901.1|CCAP, CCAP1982_LOCUS11369|CAD7002900.1|CCAP
OG0001749	LOC6548642|XP_001976630.1|DERE	CCAP1982_LOCUS22821|CAD7014854.1|CCAP
OG0001750	LOC6548641|XP_001976629.1|DERE	CCAP1982_LOCUS22822|CAD7014855.1|CCAP
OG0001751	LOC6543618|XP_026832342.1|DERE	CCAP1982_LOCUS12027|CAD7003579.1|CCAP
OG0001752	LOC6545196|XP_001972042.1|DERE	CCAP1982_LOCUS10906|CAD7002415.1|CCAP
OG0001753	LOC6546254|XP_015013806.2|DERE	CCAP1982_LOCUS11568|CAD7003105.1|CCAP, CCAP1982_LOCUS11570|CAD7003107.1|CCAP
OG0001754	LOC6546728|XP_026836558.1|DERE	CCAP1982_LOCUS22326|CAD7014329.1|CCAP
OG0001755	LOC6546210|XP_015013342.1|DERE	CCAP1982_LOCUS11972|CAD7003522.1|CCAP, CCAP1982_LOCUS11970|CAD7003520.1|CCAP, CCAP1982_LOCUS11965|CAD7003515.1|CCAP
OG0001756	LOC6548768|XP_001975423.1|DERE	CCAP1982_LOCUS22645|CAD7014657.1|CCAP
OG0001757	LOC6546582|XP_001974681.1|DERE	CCAP1982_LOCUS23262|CAD7015317.1|CCAP
OG0001758	LOC6545567|XP_026833748.1|DERE	CCAP1982_LOCUS13872|CAD7005512.1|CCAP
OG0001759	LOC6548151|XP_001975225.3|DERE	CCAP1982_LOCUS23316|CAD7015372.1|CCAP, CCAP1982_LOCUS23315|CAD7015371.1|CCAP
OG0001760	LOC6541584|XP_001970345.1|DERE	CCAP1982_LOCUS21651|CAD7013597.1|CCAP
OG0001761	LOC6547930|XP_026835843.1|DERE	CCAP1982_LOCUS21800|CAD7013777.1|CCAP
OG0001762	LOC6543015|XP_026835149.1|DERE	CCAP1982_LOCUS6396|CAD6997766.1|CCAP
OG0001763	LOC6542692|XP_001970082.2|DERE	CCAP1982_LOCUS6500|CAD6997881.1|CCAP
OG0001764	LOC6553240|XP_001980195.2|DERE	CCAP1982_LOCUS4898|CAD6996209.1|CCAP, CCAP1982_LOCUS4897|CAD6996208.1|CCAP
OG0001765	LOC6542673|XP_026835300.1|DERE	CCAP1982_LOCUS22890|CAD7014926.1|CCAP
OG0001766	LOC6542157|XP_001969221.1|DERE	CCAP1982_LOCUS9113|CAD7000639.1|CCAP
OG0001767	LOC6542220|XP_001968535.2|DERE	CCAP1982_LOCUS6614|CAD6997998.1|CCAP
OG0001769	LOC6542916|XP_001968860.1|DERE	CCAP1982_LOCUS5427|CAD6996748.1|CCAP
OG0001770	LOC6543132|XP_001969906.1|DERE	CCAP1982_LOCUS7906|CAD6999380.1|CCAP
OG0001771	LOC6541155|XP_001968570.1|DERE	CCAP1982_LOCUS6984|CAD6998384.1|CCAP
OG0001772	LOC6541743|XP_001969450.1|DERE	CCAP1982_LOCUS6455|CAD6997831.1|CCAP
OG0001773	LOC6542834|XP_001969385.3|DERE	CCAP1982_LOCUS6278|CAD6997646.1|CCAP
OG0001774	LOC6548401|XP_001976667.2|DERE	CCAP1982_LOCUS22837|CAD7014873.1|CCAP
OG0001776	LOC6540894|XP_001970029.1|DERE	CCAP1982_LOCUS5458|CAD6996783.1|CCAP
OG0001777	LOC6541371|XP_001970155.1|DERE	CCAP1982_LOCUS6724|CAD6998110.1|CCAP
OG0001778	LOC6542552|XP_001969041.1|DERE	CCAP1982_LOCUS7663|CAD6999119.1|CCAP
OG0001780	LOC6542071|XP_001970812.1|DERE	CCAP1982_LOCUS7239|CAD6998680.1|CCAP
OG0001781	LOC6549116|XP_015011973.1|DERE	CCAP1982_LOCUS5691|CAD6997033.1|CCAP
OG0001782	LOC6542033|XP_015014952.1|DERE	CCAP1982_LOCUS5611|CAD6996941.1|CCAP, CCAP1982_LOCUS5610|CAD6996940.1|CCAP
OG0001783	LOC6542058|XP_026834983.1|DERE	CCAP1982_LOCUS9017|CAD7000541.1|CCAP
OG0001784	LOC6541877|XP_001968301.1|DERE	CCAP1982_LOCUS7884|CAD6999357.1|CCAP, CCAP1982_LOCUS7882|CAD6999355.1|CCAP
OG0001785	LOC6541287|XP_001969182.1|DERE	CCAP1982_LOCUS21527|CAD7013462.1|CCAP
OG0001786	LOC6542807|XP_026839340.1|DERE, LOC6543340|XP_001970129.1|DERE	CCAP1982_LOCUS6869|CAD6998260.1|CCAP
OG0001787	LOC6542003|XP_001970132.2|DERE	CCAP1982_LOCUS6865|CAD6998256.1|CCAP, CCAP1982_LOCUS6866|CAD6998257.1|CCAP
OG0001788	LOC6549272|XP_001975714.1|DERE	CCAP1982_LOCUS19775|CAD7011691.1|CCAP
OG0001789	LOC6547318|XP_001976342.1|DERE	CCAP1982_LOCUS11954|CAD7003504.1|CCAP
OG0001790	LOC6543267|XP_026834061.1|DERE	CCAP1982_LOCUS8064|CAD6999543.1|CCAP, CCAP1982_LOCUS8065|CAD6999544.1|CCAP
OG0001791	LOC6546860|XP_001976056.1|DERE	CCAP1982_LOCUS21402|CAD7013334.1|CCAP
OG0001792	LOC6549240|XP_026836485.1|DERE	CCAP1982_LOCUS7676|CAD6999133.1|CCAP
OG0001793	LOC6549416|XP_026835784.1|DERE	CCAP1982_LOCUS22137|CAD7014132.1|CCAP, CCAP1982_LOCUS22145|CAD7014139.1|CCAP
OG0001794	LOC6541508|XP_001969042.1|DERE	CCAP1982_LOCUS6938|CAD6998334.1|CCAP, CCAP1982_LOCUS6939|CAD6998335.1|CCAP, CCAP1982_LOCUS6940|CAD6998336.1|CCAP
OG0001795	LOC6547499|XP_026836864.1|DERE	CCAP1982_LOCUS7066|CAD6998469.1|CCAP
OG0001797	LOC6555824|XP_026839263.1|DERE	CCAP1982_LOCUS10024|CAD7001527.1|CCAP, CCAP1982_LOCUS10018|CAD7001521.1|CCAP
OG0001798	LOC6548144|XP_001975218.2|DERE	CCAP1982_LOCUS20411|CAD7012317.1|CCAP
OG0001800	LOC6541412|XP_026834716.1|DERE	CCAP1982_LOCUS8862|CAD7000386.1|CCAP, CCAP1982_LOCUS8190|CAD6999660.1|CCAP, CCAP1982_LOCUS8189|CAD6999659.1|CCAP
OG0001801	LOC6543969|XP_001972219.2|DERE	CCAP1982_LOCUS12750|CAD7004331.1|CCAP
OG0001802	LOC6552446|XP_001980935.1|DERE	CCAP1982_LOCUS445|CAD6991526.1|CCAP
OG0001803	LOC6553409|XP_026839543.1|DERE	CCAP1982_LOCUS953|CAD6992073.1|CCAP
OG0001804	LOC6552681|XP_015009470.1|DERE	CCAP1982_LOCUS4422|CAD6995715.1|CCAP
OG0001805	LOC6544772|XP_001971678.1|DERE	CCAP1982_LOCUS10993|CAD7002504.1|CCAP
OG0001806	LOC6554680|XP_026831948.1|DERE	CCAP1982_LOCUS359|CAD6991433.1|CCAP
OG0001807	LOC6553042|XP_001980030.1|DERE	CCAP1982_LOCUS234|CAD6991305.1|CCAP
OG0001808	LOC6553855|XP_001980559.2|DERE	CCAP1982_LOCUS4980|CAD6996299.1|CCAP
OG0001809	LOC6552290|XP_001978845.2|DERE	CCAP1982_LOCUS4894|CAD6996206.1|CCAP
OG0001811	LOC6541200|XP_001970528.1|DERE	CCAP1982_LOCUS7121|CAD6998534.1|CCAP, CCAP1982_LOCUS7122|CAD6998535.1|CCAP
OG0001813	LOC6553906|XP_026834532.1|DERE	CCAP1982_LOCUS4477|CAD6995773.1|CCAP
OG0001814	LOC6553608|XP_026839004.1|DERE	CCAP1982_LOCUS4359|CAD6995652.1|CCAP
OG0001815	LOC6552551|XP_001978961.1|DERE	CCAP1982_LOCUS668|CAD6991760.1|CCAP
OG0001816	LOC6549183|XP_001975743.1|DERE	CCAP1982_LOCUS20579|CAD7012495.1|CCAP
OG0001817	LOC6541305|XP_026834271.1|DERE	CCAP1982_LOCUS20287|CAD7012186.1|CCAP
OG0001819	LOC6548328|XP_001975163.1|DERE	CCAP1982_LOCUS20241|CAD7012144.1|CCAP
OG0001820	LOC6551437|XP_001978535.1|DERE	CCAP1982_LOCUS21127|CAD7013045.1|CCAP
OG0001821	LOC6548373|XP_001976648.1|DERE	CCAP1982_LOCUS7163|CAD6998585.1|CCAP, CCAP1982_LOCUS7162|CAD6998584.1|CCAP
OG0001822	LOC6547403|XP_001976311.1|DERE	CCAP1982_LOCUS7154|CAD6998574.1|CCAP
OG0001823	LOC6543848|XP_001972349.1|DERE	CCAP1982_LOCUS13376|CAD7005000.1|CCAP
OG0001824	LOC6541589|XP_001968314.1|DERE	CCAP1982_LOCUS7026|CAD6998426.1|CCAP
