Orthogroup	DERE.longest_only	BCOP.longest_only
OG0001971	LOC6547261|XP_001974868.2|DERE	LOC119085338|XP_037051616.1|BCOP
OG0001972	LOC6541127|XP_001970841.1|DERE	LOC119071816|XP_037032780.1|BCOP
OG0001973	LOC6547796|XP_015012645.1|DERE	LOC119079603|XP_037043489.1|BCOP
OG0001974	LOC6540756|XP_001970327.1|DERE	LOC119081078|XP_037045716.1|BCOP
OG0001975	LOC6546526|XP_001971261.1|DERE	LOC119076310|XP_037038872.1|BCOP, LOC119078786|XP_037042397.1|BCOP
OG0001976	LOC6546898|XP_001975977.1|DERE	LOC119084443|XP_037050319.1|BCOP
OG0001978	LOC6549192|XP_001974411.1|DERE	LOC119066330|XP_037024625.1|BCOP
OG0001979	LOC6541858|XP_001970202.1|DERE	LOC119070930|XP_037031369.1|BCOP
OG0001980	LOC6542153|XP_001968113.1|DERE	LOC119078499|XP_037041948.1|BCOP
OG0001982	LOC26526885|XP_015012874.1|DERE	LOC119081937|XP_037047088.1|BCOP
OG0001983	LOC26526860|XP_026832205.1|DERE	LOC119080917|XP_037045428.1|BCOP, LOC119080401|XP_037044625.1|BCOP, LOC119068171|XP_037027550.1|BCOP, LOC119068854|XP_037028575.1|BCOP
OG0001984	LOC6543524|XP_026834820.1|DERE	LOC119078695|XP_037042252.1|BCOP
OG0001985	LOC6540854|XP_026834438.1|DERE	LOC119078457|XP_037041886.1|BCOP
OG0001986	LOC6541601|XP_001970064.1|DERE	LOC119072804|XP_037033996.1|BCOP
OG0001987	LOC6555801|XP_026838871.1|DERE	LOC119073791|XP_037035415.1|BCOP, LOC119068065|XP_037027361.1|BCOP
OG0001988	LOC6548147|XP_026837112.1|DERE	LOC119074080|XP_037035925.1|BCOP
OG0001989	LOC6543488|XP_001968209.3|DERE	LOC119076077|XP_037038621.1|BCOP
OG0001990	LOC6542403|XP_026834918.1|DERE	LOC119066370|XP_037024689.1|BCOP
OG0001991	LOC26526371|XP_015012792.2|DERE	LOC119076320|XP_037038884.1|BCOP
OG0001992	LOC6541163|XP_001969755.2|DERE	LOC119075686|XP_037038099.1|BCOP
OG0001993	LOC6540948|XP_001970021.1|DERE	LOC119071486|XP_037032232.1|BCOP
OG0001994	LOC6553688|XP_026838400.1|DERE	LOC119076301|XP_037038860.1|BCOP, LOC119076299|XP_037038858.1|BCOP, LOC119066634|XP_037025093.1|BCOP, LOC119066632|XP_037025090.1|BCOP
OG0001995	LOC6549285|XP_001974247.1|DERE	LOC119085141|XP_037051313.1|BCOP
OG0001996	LOC113563690|XP_026835612.1|DERE, LOC6540587|XP_026834961.1|DERE	LOC119076361|XP_037038960.1|BCOP
OG0001997	LOC6548446|XP_001976664.1|DERE	LOC119073369|XP_037034684.1|BCOP
OG0001998	LOC6548448|XP_001976666.2|DERE	LOC119073380|XP_037034699.1|BCOP
OG0001999	LOC6541288|XP_026834066.1|DERE	LOC119083775|XP_037049456.1|BCOP
OG0002000	LOC6543460|XP_001970281.1|DERE	LOC119066480|XP_037024884.1|BCOP, LOC119085551|XP_037051865.1|BCOP, LOC119076607|XP_037039358.1|BCOP, LOC119084359|XP_037050201.1|BCOP, LOC119068360|XP_037027824.1|BCOP
OG0002001	LOC6549431|XP_001974402.3|DERE	LOC119085307|XP_037051552.1|BCOP
OG0002002	LOC6546547|XP_001975912.1|DERE	LOC119081466|XP_037046350.1|BCOP
OG0002003	LOC6542328|XP_026835174.1|DERE	LOC119076345|XP_037038935.1|BCOP
OG0002004	LOC6549251|XP_015012082.1|DERE	LOC119082567|XP_037047988.1|BCOP
OG0002005	LOC6543308|XP_015015081.1|DERE	LOC119066968|XP_037025594.1|BCOP
OG0002006	LOC6541088|XP_026834720.1|DERE	LOC119069445|XP_037029394.1|BCOP, LOC119076358|XP_037038950.1|BCOP, LOC119069460|XP_037029406.1|BCOP
OG0002007	LOC6543494|XP_015014537.1|DERE	LOC119075381|XP_037037717.1|BCOP, LOC119085517|XP_037051827.1|BCOP, LOC119085233|XP_037051442.1|BCOP
OG0002008	LOC6555836|XP_015008684.1|DERE	LOC119067811|XP_037026857.1|BCOP, LOC119085004|XP_037051078.1|BCOP
OG0002009	LOC6547402|XP_001976310.1|DERE	LOC119076740|XP_037039568.1|BCOP
OG0002010	LOC6542324|XP_001969250.1|DERE	LOC119072338|XP_037033424.1|BCOP
OG0002011	LOC6548911|XP_001974178.1|DERE	LOC119076348|XP_037038940.1|BCOP
OG0002012	LOC6540647|XP_001968782.3|DERE	LOC119081891|XP_037047014.1|BCOP, LOC119076292|XP_037038850.1|BCOP
OG0002013	LOC6549374|XP_026836663.1|DERE	LOC119072256|XP_037033334.1|BCOP
OG0002014	LOC6547746|XP_001975000.1|DERE	LOC119068127|XP_037027481.1|BCOP
OG0002015	LOC6541683|XP_001970192.1|DERE	LOC119077146|XP_037040226.1|BCOP
OG0002016	LOC6540765|XP_001970387.1|DERE	LOC119081426|XP_037046240.1|BCOP
OG0002017	LOC6542987|XP_001969913.1|DERE	LOC119085893|XP_037052325.1|BCOP, LOC119078115|XP_037041463.1|BCOP
OG0002018	LOC6540936|XP_001970022.1|DERE	LOC119075634|XP_037038010.1|BCOP
OG0002019	LOC6543049|XP_026834642.1|DERE	LOC119079090|XP_037042801.1|BCOP
OG0002020	LOC6549649|XP_001974254.1|DERE	LOC119085889|XP_037052320.1|BCOP
OG0002021	LOC113564316|XP_026836669.1|DERE, LOC6547669|XP_001975024.2|DERE	LOC119074077|XP_037035919.1|BCOP, LOC119074075|XP_037035913.1|BCOP, LOC119074074|XP_037035912.1|BCOP
OG0002022	LOC6548951|XP_001974074.3|DERE	LOC119070933|XP_037031376.1|BCOP
OG0002023	LOC6553738|XP_001980324.1|DERE	LOC119082763|XP_037048245.1|BCOP, LOC119070653|XP_037030979.1|BCOP
OG0002024	LOC6541718|XP_001969443.1|DERE	LOC119066321|XP_037024605.1|BCOP
OG0002025	LOC6542572|XP_001969837.1|DERE	LOC119085816|XP_037052200.1|BCOP
OG0002026	LOC6544287|XP_001973715.1|DERE	LOC119070840|XP_037031248.1|BCOP
OG0002027	LOC6546696|XP_026836760.1|DERE	LOC119082838|XP_037048389.1|BCOP
OG0002028	LOC6548011|XP_026836904.1|DERE	LOC119082846|XP_037048407.1|BCOP
OG0002029	LOC6544672|XP_001972009.1|DERE	LOC119067718|XP_037026730.1|BCOP, LOC119077752|XP_037040959.1|BCOP, LOC119073642|XP_037035134.1|BCOP
OG0002030	LOC6548563|XP_001976635.1|DERE	LOC119073674|XP_037035175.1|BCOP, LOC119084288|XP_037050109.1|BCOP
OG0002031	LOC6549423|XP_015012399.1|DERE	LOC119066123|XP_037024303.1|BCOP
OG0002032	LOC6553543|XP_001979326.1|DERE	LOC119081115|XP_037045753.1|BCOP, LOC119074600|XP_037036746.1|BCOP
OG0002033	LOC6551498|XP_001977193.1|DERE	LOC119076024|XP_037038523.1|BCOP, LOC119071625|XP_037032474.1|BCOP, LOC119076028|XP_037038541.1|BCOP, LOC119076027|XP_037038540.1|BCOP
OG0002034	LOC6555570|XP_015008758.1|DERE	LOC119074965|XP_037037248.1|BCOP
OG0002035	LOC6552516|XP_001980941.2|DERE	LOC119076751|XP_037039593.1|BCOP
OG0002036	LOC6552210|XP_001980729.3|DERE	LOC119076673|XP_037039463.1|BCOP
OG0002037	LOC6543755|XP_001971873.1|DERE	LOC119074391|XP_037036405.1|BCOP
OG0002038	LOC6554000|XP_001979459.1|DERE	LOC119082225|XP_037047573.1|BCOP
OG0002039	LOC6544442|XP_001973812.1|DERE	LOC119069135|XP_037028936.1|BCOP
OG0002040	LOC26526448|XP_026839378.1|DERE	LOC119076843|XP_037039742.1|BCOP
OG0002041	LOC6542984|XP_026834008.1|DERE	LOC119071703|XP_037032588.1|BCOP
OG0002042	LOC6552662|XP_001979170.2|DERE	LOC119071706|XP_037032598.1|BCOP
OG0002043	LOC6552739|XP_001978983.1|DERE	LOC119084128|XP_037049872.1|BCOP, LOC119073545|XP_037034992.1|BCOP
OG0002044	LOC6554890|XP_015009342.1|DERE	LOC119074435|XP_037036458.1|BCOP
OG0002045	LOC6552758|XP_001980947.3|DERE	LOC119076462|XP_037039124.1|BCOP
OG0002046	LOC6555830|XP_001982696.2|DERE	LOC119074348|XP_037036338.1|BCOP
OG0002047	LOC6550349|XP_026837573.1|DERE	LOC119084246|XP_037050039.1|BCOP
OG0002048	LOC6553982|XP_026834875.1|DERE	LOC119076119|XP_037038682.1|BCOP
OG0002049	LOC6553856|XP_001980560.1|DERE	LOC119066552|XP_037024990.1|BCOP
OG0002050	LOC6553106|XP_026832093.1|DERE	LOC119074831|XP_037037016.1|BCOP
OG0002051	LOC26526356|XP_015012787.1|DERE	LOC119074387|XP_037036401.1|BCOP
OG0002053	LOC6552677|XP_001980916.3|DERE	LOC119067125|XP_037025799.1|BCOP
OG0002054	LOC6552782|XP_001978968.1|DERE	LOC119076474|XP_037039146.1|BCOP
OG0002055	LOC6553786|XP_001980485.1|DERE	LOC119078030|XP_037041338.1|BCOP
OG0002056	LOC6545308|XP_001972550.1|DERE	LOC119072096|XP_037033145.1|BCOP
OG0002057	LOC6542802|XP_001969966.1|DERE	LOC119083151|XP_037048692.1|BCOP
OG0002058	LOC6544828|XP_001970986.3|DERE	LOC119083154|XP_037048696.1|BCOP
OG0002059	LOC6554729|XP_001981792.1|DERE	LOC119071955|XP_037032980.1|BCOP
OG0002060	LOC6549079|XP_026836677.1|DERE	LOC119072723|XP_037033893.1|BCOP
OG0002061	LOC6548115|XP_026836395.1|DERE	LOC119075375|XP_037037700.1|BCOP
OG0002062	LOC6549952|XP_026837541.1|DERE	LOC119076630|XP_037039430.1|BCOP, LOC119078348|XP_037041745.1|BCOP
OG0002063	LOC6551594|XP_001978459.1|DERE	LOC119074412|XP_037036437.1|BCOP
OG0002064	LOC6543638|XP_001971842.1|DERE	LOC119084475|XP_037050355.1|BCOP
OG0002065	LOC6546286|XP_026832377.1|DERE	LOC119084520|XP_037050428.1|BCOP, LOC119083954|XP_037049658.1|BCOP, LOC119083333|XP_037048917.1|BCOP, LOC119083956|XP_037049659.1|BCOP
OG0002066	LOC6553151|XP_026831565.1|DERE	LOC119074548|XP_037036613.1|BCOP
OG0002067	LOC6548010|XP_001976473.1|DERE	LOC119074674|XP_037036852.1|BCOP
OG0002068	LOC6546635|XP_001974707.1|DERE	LOC119074954|XP_037037238.1|BCOP
OG0002069	LOC26526230|XP_015015476.1|DERE	LOC119074755|XP_037036916.1|BCOP
OG0002070	LOC6551927|XP_001980625.1|DERE	LOC119068727|XP_037028316.1|BCOP
OG0002071	LOC6554142|XP_001981901.1|DERE	LOC119071555|XP_037032373.1|BCOP
OG0002072	LOC6548778|XP_001975433.1|DERE	LOC119080154|XP_037044269.1|BCOP
OG0002073	LOC6545900|XP_015013114.1|DERE	LOC119078320|XP_037041719.1|BCOP
OG0002074	LOC6549033|XP_001975542.1|DERE	LOC119074748|XP_037036906.1|BCOP
OG0002075	LOC26526052|XP_015015441.1|DERE	LOC119078225|XP_037041580.1|BCOP
OG0002076	LOC6547356|XP_015012638.1|DERE	LOC119070671|XP_037030998.1|BCOP
OG0002077	LOC6545496|XP_015013609.1|DERE	LOC119072345|XP_037033428.1|BCOP
OG0002078	LOC6549270|XP_001975712.2|DERE	LOC119070722|XP_037031070.1|BCOP
OG0002079	LOC6545790|XP_001973440.1|DERE	LOC119071814|XP_037032777.1|BCOP
OG0002080	LOC6548274|XP_026837004.1|DERE	LOC119070971|XP_037031441.1|BCOP
OG0002081	LOC6547775|XP_001976570.1|DERE	LOC119079101|XP_037042814.1|BCOP
OG0002082	LOC6548500|XP_026835633.1|DERE	LOC119076952|XP_037039900.1|BCOP
OG0002083	LOC6555599|XP_026838356.1|DERE	LOC119075772|XP_037038214.1|BCOP, LOC119075781|XP_037038236.1|BCOP
OG0002084	LOC6547763|XP_001976385.1|DERE	LOC119071316|XP_037032094.1|BCOP
OG0002085	LOC6548244|XP_026835765.1|DERE	LOC119082803|XP_037048343.1|BCOP
OG0002086	LOC6548200|XP_026837108.1|DERE	LOC119071097|XP_037031637.1|BCOP
OG0002087	LOC26526062|XP_026833953.1|DERE	LOC119066517|XP_037024925.1|BCOP
OG0002088	LOC6546054|XP_015014114.2|DERE	LOC119071860|XP_037032817.1|BCOP
OG0002089	LOC6542321|XP_001970421.1|DERE	LOC119071904|XP_037032912.1|BCOP
OG0002090	LOC6545372|XP_001972621.1|DERE	LOC119066947|XP_037025561.1|BCOP
OG0002091	LOC6548291|XP_001976576.2|DERE	LOC119074240|XP_037036157.1|BCOP
OG0002092	LOC6545401|XP_001973264.1|DERE	LOC119072408|XP_037033520.1|BCOP, LOC119069249|XP_037029196.1|BCOP, LOC119071245|XP_037031977.1|BCOP
OG0002093	LOC6548174|XP_001975157.2|DERE	LOC119066901|XP_037025485.1|BCOP
OG0002094	LOC6548207|XP_001976486.1|DERE	LOC119083173|XP_037048728.1|BCOP
OG0002095	LOC6550416|XP_001977801.1|DERE	LOC119074654|XP_037036828.1|BCOP
OG0002096	LOC6549535|XP_026837081.1|DERE	LOC119071682|XP_037032558.1|BCOP
OG0002097	LOC6541760|XP_001969175.2|DERE	LOC119072630|XP_037033769.1|BCOP
OG0002098	LOC6543924|XP_026833489.1|DERE	LOC119066099|XP_037024266.1|BCOP
OG0002099	LOC6552909|XP_001980972.1|DERE	LOC119078295|XP_037041685.1|BCOP, LOC119078343|XP_037041741.1|BCOP
OG0002100	LOC6544345|XP_001973088.3|DERE	LOC119071084|XP_037031618.1|BCOP
OG0002101	LOC6542090|XP_026834055.1|DERE	LOC119066386|XP_037024713.1|BCOP
OG0002102	LOC6547599|XP_026836042.1|DERE	LOC119071138|XP_037031727.1|BCOP
OG0002103	LOC6552917|XP_001980980.1|DERE	LOC119085732|XP_037052097.1|BCOP
OG0002105	LOC6541001|XP_001968248.1|DERE	LOC119069623|XP_037029617.1|BCOP, LOC119083924|XP_037049633.1|BCOP, LOC119082950|XP_037048494.1|BCOP, LOC119078121|XP_037041469.1|BCOP
OG0002106	LOC6552965|XP_026838283.1|DERE	LOC119069921|XP_037030037.1|BCOP, LOC119066113|XP_037024289.1|BCOP, LOC119066695|XP_037025187.1|BCOP, LOC119084692|XP_037050667.1|BCOP, LOC119076372|XP_037038977.1|BCOP, LOC119071196|XP_037031877.1|BCOP
OG0002107	LOC6542678|XP_001969925.1|DERE	LOC119077008|XP_037040013.1|BCOP
OG0002117	LOC6547657|XP_001974814.1|DERE	LOC119079205|XP_037042886.1|BCOP, LOC119067803|XP_037026848.1|BCOP
OG0002118	LOC26527012|XP_026833152.1|DERE	LOC119075266|XP_037037558.1|BCOP, LOC119069940|XP_037030060.1|BCOP
OG0002119	LOC6555447|XP_001981891.1|DERE	LOC119070028|XP_037030208.1|BCOP
OG0002120	LOC6555887|XP_026839276.1|DERE	LOC119085060|XP_037051186.1|BCOP
OG0002121	LOC6554872|XP_001981368.1|DERE	LOC119073069|XP_037034268.1|BCOP, LOC119082165|XP_037047474.1|BCOP, LOC119083340|XP_037048932.1|BCOP
OG0002123	LOC6542814|XP_001970199.2|DERE	LOC119083896|XP_037049601.1|BCOP
OG0002124	LOC6550132|XP_015010773.1|DERE	LOC119069671|XP_037029684.1|BCOP
OG0002125	LOC6548973|XP_001975556.1|DERE	LOC119079473|XP_037043301.1|BCOP
OG0002126	LOC6546122|XP_026833527.1|DERE	LOC119073593|XP_037035062.1|BCOP
OG0002127	LOC6549841|XP_001977572.1|DERE	LOC119085600|XP_037051916.1|BCOP
OG0002128	LOC6550252|XP_026838072.1|DERE	LOC119070370|XP_037030566.1|BCOP, LOC119070369|XP_037030565.1|BCOP
OG0002129	LOC6554092|XP_001979604.2|DERE	LOC119068015|XP_037027269.1|BCOP
OG0002131	LOC6551861|XP_001979658.3|DERE	LOC119067244|XP_037026006.1|BCOP, LOC119069693|XP_037029717.1|BCOP
OG0002132	LOC6542598|XP_001969408.1|DERE	LOC119076232|XP_037038785.1|BCOP
OG0002133	LOC6551233|XP_001978345.1|DERE	LOC119068988|XP_037028755.1|BCOP
OG0002134	LOC6549771|XP_001977591.1|DERE	LOC119084479|XP_037050362.1|BCOP
OG0002135	LOC6551734|XP_026837371.1|DERE	LOC119068606|XP_037028151.1|BCOP
OG0002136	LOC6554434|XP_001981285.2|DERE	LOC119070453|XP_037030699.1|BCOP
OG0002137	LOC6555073|XP_015008887.1|DERE	LOC119068487|XP_037027993.1|BCOP, LOC119068501|XP_037028006.1|BCOP, LOC119085510|XP_037051820.1|BCOP
OG0002138	LOC6550218|XP_001977613.1|DERE	LOC119083180|XP_037048738.1|BCOP
OG0002139	LOC6550887|XP_026838017.1|DERE	LOC119067435|XP_037026303.1|BCOP
OG0002140	LOC6549893|XP_026838523.1|DERE	LOC119069470|XP_037029418.1|BCOP, LOC119069437|XP_037029390.1|BCOP, LOC119069436|XP_037029389.1|BCOP
OG0002141	LOC6544507|XP_001973791.1|DERE	LOC119068176|XP_037027559.1|BCOP
OG0002142	LOC6552136|XP_001978818.1|DERE	LOC119068290|XP_037027723.1|BCOP
OG0002143	LOC6543251|XP_026834047.1|DERE	LOC119068125|XP_037027478.1|BCOP
OG0002144	LOC6555846|XP_001982680.1|DERE	LOC119080273|XP_037044430.1|BCOP
OG0002145	LOC6553995|XP_001979454.1|DERE	LOC119067269|XP_037026043.1|BCOP, LOC119083079|XP_037048597.1|BCOP
OG0002146	LOC6552147|XP_001978820.1|DERE	LOC119069157|XP_037028956.1|BCOP
OG0002147	LOC6551402|XP_001977221.3|DERE	LOC119068311|XP_037027749.1|BCOP
OG0002148	LOC6546049|XP_026833757.1|DERE	LOC119068400|XP_037027855.1|BCOP
OG0002149	LOC6555834|XP_026839056.1|DERE	LOC119075571|XP_037037936.1|BCOP
OG0002150	LOC6550705|XP_001978119.1|DERE	LOC119085647|XP_037051979.1|BCOP
OG0002151	LOC6542949|XP_001969975.2|DERE	LOC119074031|XP_037035868.1|BCOP, LOC119074101|XP_037035960.1|BCOP
OG0002152	LOC6551844|XP_001979641.3|DERE	LOC119082372|XP_037047794.1|BCOP
OG0002153	LOC6554595|XP_001981330.1|DERE	LOC119068706|XP_037028290.1|BCOP
OG0002154	LOC6555640|XP_015008794.1|DERE	LOC119067768|XP_037026807.1|BCOP
OG0002155	LOC6555127|XP_001981146.2|DERE	LOC119069323|XP_037029275.1|BCOP
OG0002156	LOC6544109|XP_001973764.1|DERE	LOC119081040|XP_037045635.1|BCOP
OG0002157	LOC6553629|XP_001980312.1|DERE	LOC119069857|XP_037029927.1|BCOP
OG0002158	LOC6546636|XP_001974708.1|DERE	LOC119074956|XP_037037240.1|BCOP, LOC119068516|XP_037028020.1|BCOP
OG0002159	LOC6547903|XP_001976397.1|DERE	LOC119068701|XP_037028287.1|BCOP
OG0002160	LOC6553400|XP_001979269.3|DERE	LOC119068295|XP_037027729.1|BCOP
OG0002161	LOC6554071|XP_001979581.1|DERE	LOC119085218|XP_037051427.1|BCOP
OG0002162	LOC6552103|XP_015009956.1|DERE	LOC119067373|XP_037026189.1|BCOP
OG0002163	LOC6550840|XP_026838584.1|DERE	LOC119067190|XP_037025916.1|BCOP
OG0002164	LOC6554670|XP_026831531.1|DERE	LOC119068336|XP_037027789.1|BCOP
OG0002165	LOC6549574|XP_026836335.1|DERE	LOC119068466|XP_037027955.1|BCOP
OG0002166	LOC6541789|XP_001969694.1|DERE	LOC119066227|XP_037024446.1|BCOP
OG0002167	LOC6547102|XP_001974782.1|DERE	LOC119066372|XP_037024695.1|BCOP
OG0002168	LOC6548013|XP_026836903.1|DERE	LOC119068986|XP_037028752.1|BCOP
OG0002169	LOC6543970|XP_001972220.1|DERE	LOC119068737|XP_037028331.1|BCOP
OG0002170	LOC6555870|XP_026839059.1|DERE	LOC119083567|XP_037049205.1|BCOP
OG0002171	LOC26526507|XP_026831785.1|DERE	LOC119069264|XP_037029217.1|BCOP
OG0002172	LOC6554619|XP_001982177.1|DERE	LOC119067940|XP_037027151.1|BCOP
OG0002173	LOC6543051|XP_001969904.1|DERE	LOC119078710|XP_037042275.1|BCOP
OG0002174	LOC6552138|XP_001979931.1|DERE	LOC119082710|XP_037048184.1|BCOP
OG0002175	LOC6552633|XP_001979930.1|DERE	LOC119082813|XP_037048363.1|BCOP
OG0002176	LOC6553900|XP_001979573.1|DERE	LOC119067918|XP_037027114.1|BCOP
OG0002177	LOC6552656|XP_001979855.1|DERE	LOC119067430|XP_037026297.1|BCOP
OG0002178	LOC6554807|XP_001981585.1|DERE	LOC119069100|XP_037028887.1|BCOP
OG0002179	LOC6555481|XP_015009274.2|DERE	LOC119067624|XP_037026612.1|BCOP
OG0002180	LOC6555326|XP_001981213.2|DERE	LOC119068090|XP_037027402.1|BCOP
OG0002181	LOC6549795|XP_001977318.1|DERE	LOC119069061|XP_037028831.1|BCOP
OG0002182	LOC6553577|XP_015009618.2|DERE	LOC119067226|XP_037025967.1|BCOP
OG0002183	LOC6547203|XP_001974789.1|DERE	LOC119071530|XP_037032309.1|BCOP
OG0002184	LOC6552608|XP_001979888.1|DERE	LOC119067354|XP_037026158.1|BCOP
OG0002185	LOC6553094|XP_026833944.1|DERE	LOC119069969|XP_037030103.1|BCOP
OG0002186	LOC6543493|XP_001969511.1|DERE	LOC119079315|XP_037043004.1|BCOP
OG0002187	LOC6555168|XP_001982266.1|DERE	LOC119069210|XP_037029076.1|BCOP, LOC119070066|XP_037030256.1|BCOP
OG0002188	LOC6548119|XP_001976533.1|DERE	LOC119080885|XP_037045359.1|BCOP
OG0002189	LOC26526499|XP_015014290.1|DERE	LOC119069499|XP_037029465.1|BCOP
OG0002190	LOC6555203|XP_001982071.1|DERE	LOC119084695|XP_037050671.1|BCOP
OG0002191	LOC6546301|XP_026833000.1|DERE	LOC119067687|XP_037026702.1|BCOP
OG0002192	LOC6546319|XP_001972827.1|DERE	LOC119078993|XP_037042652.1|BCOP
OG0002193	LOC6552034|XP_001980679.1|DERE	LOC119085773|XP_037052160.1|BCOP
OG0002194	LOC6554357|XP_001981532.1|DERE	LOC119070038|XP_037030217.1|BCOP
OG0002195	LOC6554348|XP_001982046.1|DERE	LOC119067218|XP_037025959.1|BCOP
OG0002196	LOC6551765|XP_001980649.1|DERE	LOC119078582|XP_037042054.1|BCOP
OG0002197	LOC6544639|XP_001970974.2|DERE	LOC119069309|XP_037029255.1|BCOP
OG0002198	LOC6553605|XP_026839437.1|DERE	LOC119068092|XP_037027404.1|BCOP
OG0002199	LOC6552924|XP_001980997.1|DERE	LOC119074834|XP_037037026.1|BCOP
OG0002200	LOC6551457|XP_001977248.1|DERE	LOC119070571|XP_037030872.1|BCOP
OG0002202	LOC6553393|XP_026832119.1|DERE	LOC119068798|XP_037028455.1|BCOP
OG0002203	LOC6552139|XP_001979932.3|DERE	LOC119069182|XP_037029011.1|BCOP
OG0002204	LOC6555448|XP_001981892.1|DERE	LOC119069037|XP_037028801.1|BCOP
OG0002205	LOC6553203|XP_001980296.1|DERE	LOC119070447|XP_037030693.1|BCOP
OG0002206	LOC6554915|XP_001982237.1|DERE	LOC119067466|XP_037026348.1|BCOP
OG0002207	LOC6555453|XP_001981453.3|DERE	LOC119068191|XP_037027584.1|BCOP, LOC119068192|XP_037027585.1|BCOP
OG0002208	LOC6555455|XP_001981455.1|DERE	LOC119068186|XP_037027576.1|BCOP
OG0002209	LOC6551540|XP_001978452.1|DERE	LOC119076431|XP_037039074.1|BCOP
OG0002210	LOC6552712|XP_026831603.1|DERE	LOC119067337|XP_037026136.1|BCOP
OG0002211	LOC6552747|XP_026839373.1|DERE	LOC119070046|XP_037030224.1|BCOP
OG0002212	LOC6554067|XP_001979577.1|DERE	LOC119069248|XP_037029195.1|BCOP, LOC119070313|XP_037030474.1|BCOP
OG0002213	LOC6553183|XP_001979102.1|DERE	LOC119069748|XP_037029784.1|BCOP
OG0002214	LOC6552940|XP_001981017.3|DERE	LOC119069073|XP_037028846.1|BCOP
OG0002215	LOC6552819|XP_026831444.1|DERE	LOC119069952|XP_037030076.1|BCOP
OG0002216	LOC6554599|XP_001981334.1|DERE	LOC119081256|XP_037045888.1|BCOP
OG0002217	LOC6552769|XP_001979954.1|DERE	LOC119069242|XP_037029190.1|BCOP
OG0002218	LOC6550825|XP_001978083.1|DERE	LOC119067252|XP_037026023.1|BCOP
OG0002219	LOC6553475|XP_026831678.1|DERE	LOC119078248|XP_037041621.1|BCOP, LOC119069089|XP_037028872.1|BCOP
OG0002220	LOC6553474|XP_001980268.2|DERE	LOC119072018|XP_037033032.1|BCOP, LOC119074239|XP_037036156.1|BCOP
OG0002221	LOC6545830|XP_026833942.1|DERE	LOC119084830|XP_037050808.1|BCOP
OG0002222	LOC6548260|XP_001976625.2|DERE	LOC119083959|XP_037049662.1|BCOP, LOC119083465|XP_037049080.1|BCOP, LOC119079723|XP_037043682.1|BCOP, LOC119082955|XP_037048497.1|BCOP
OG0002224	LOC6541082|XP_026834935.1|DERE	LOC119081716|XP_037046729.1|BCOP
OG0002225	LOC6544055|XP_026833391.1|DERE	LOC119073439|XP_037034818.1|BCOP
OG0002226	LOC6541471|XP_001970746.1|DERE	LOC119081374|XP_037046151.1|BCOP
OG0002227	LOC6542537|XP_026834120.1|DERE	LOC119080299|XP_037044467.1|BCOP
OG0002228	LOC6541455|XP_001970492.1|DERE	LOC119082140|XP_037047415.1|BCOP, LOC119079257|XP_037042931.1|BCOP
OG0002229	LOC6548569|XP_001976641.2|DERE	LOC119081545|XP_037046455.1|BCOP
OG0002230	LOC6546667|XP_001975860.1|DERE	LOC119079254|XP_037042930.1|BCOP
OG0002231	LOC6542927|XP_001970649.1|DERE	LOC119073448|XP_037034836.1|BCOP
OG0002233	LOC6545012|XP_001972539.2|DERE	LOC119075212|XP_037037494.1|BCOP
OG0002235	LOC6548470|XP_026836561.1|DERE	LOC119083565|XP_037049197.1|BCOP
OG0002236	LOC6548056|XP_001976517.2|DERE	LOC119080175|XP_037044295.1|BCOP
OG0002237	LOC6548400|XP_026836443.1|DERE	LOC119079255|XP_037042933.1|BCOP
OG0002238	LOC6541031|XP_015014715.1|DERE	LOC119083149|XP_037048686.1|BCOP, LOC119076738|XP_037039550.1|BCOP
OG0002239	LOC6546726|XP_001975879.1|DERE	LOC119085382|XP_037051663.1|BCOP
OG0002240	LOC6548078|XP_001975170.1|DERE	LOC119079503|XP_037043346.1|BCOP
OG0002241	LOC6545820|XP_001972173.2|DERE	LOC119081255|XP_037045885.1|BCOP
OG0002242	LOC6545674|XP_001971656.1|DERE	LOC119080678|XP_037045006.1|BCOP
OG0002243	LOC6553722|XP_001979433.1|DERE	LOC119083632|XP_037049262.1|BCOP
OG0002244	LOC6544035|XP_001972338.1|DERE	LOC119084555|XP_037050465.1|BCOP, LOC119073695|XP_037035190.1|BCOP, LOC119084557|XP_037050468.1|BCOP
OG0002245	LOC6543945|XP_001971402.3|DERE	LOC119073696|XP_037035191.1|BCOP
OG0002246	LOC6543118|XP_026835007.1|DERE	LOC119079508|XP_037043357.1|BCOP
OG0002247	LOC26527057|XP_015012905.1|DERE	LOC119079492|XP_037043336.1|BCOP
OG0002248	LOC6543887|XP_026833911.1|DERE	LOC119079312|XP_037043005.1|BCOP
OG0002249	LOC26527080|XP_015014393.1|DERE	LOC119080647|XP_037044956.1|BCOP
OG0002250	LOC6547824|XP_001974972.1|DERE	LOC119073479|XP_037034879.1|BCOP
OG0002251	LOC6547822|XP_026836725.1|DERE	LOC119073572|XP_037035026.1|BCOP
OG0002252	LOC6547635|XP_026836719.1|DERE	LOC119077679|XP_037040836.1|BCOP
OG0002253	LOC26526461|XP_015012805.1|DERE	LOC119074011|XP_037035841.1|BCOP
