Orthogroup	DERE.longest_only	CPIP.longest_only
OG0000458	LOC6542983|XP_026834846.1|DERE	LOC120420484|XP_039439460.1|CPIP, LOC120420485|XP_039439461.1|CPIP, LOC120420501|XP_039439488.1|CPIP, LOC120422898|XP_039442391.1|CPIP, LOC120422907|XP_039442406.1|CPIP
OG0000460	LOC6543218|XP_001968296.1|DERE	LOC120412817|XP_039429355.1|CPIP
OG0000465	LOC6554545|XP_001981947.1|DERE, LOC6554546|XP_026839787.1|DERE	LOC120419750|XP_039438500.1|CPIP, LOC120428665|XP_039449647.1|CPIP, LOC120427076|XP_039447848.1|CPIP
OG0000466	LOC6551620|XP_001977123.1|DERE	LOC120431993|XP_039453062.1|CPIP, LOC120425156|XP_039445519.1|CPIP
OG0000466	LOC6542273|XP_026834865.1|DERE	LOC120412806|XP_039429340.1|CPIP
OG0000467	LOC6543079|XP_026835072.1|DERE, LOC6542395|XP_001970669.2|DERE	LOC120419489|XP_039438111.1|CPIP
OG0000468	LOC6554570|XP_026832000.1|DERE	LOC120413760|XP_039430632.1|CPIP
OG0000468	LOC6547056|XP_001976015.1|DERE	LOC120427560|XP_039448371.1|CPIP
OG0000469	LOC6541598|XP_026835526.1|DERE, LOC6541100|XP_026834040.1|DERE	LOC120412659|XP_039429152.1|CPIP
OG0000470	LOC6544061|XP_015014160.1|DERE	LOC120426361|XP_039447055.1|CPIP
OG0000470	LOC6546426|XP_001973520.1|DERE	LOC120424591|XP_039444688.1|CPIP
OG0000471	LOC6545852|XP_001971191.1|DERE, LOC6542731|XP_001968408.1|DERE	LOC120414579|XP_039431749.1|CPIP
OG0000473	LOC6549750|XP_001977353.1|DERE, LOC113564494|XP_026837701.1|DERE, LOC6555497|XP_001982622.1|DERE	LOC120422534|XP_039441930.1|CPIP
OG0000474	LOC6550045|XP_001977511.1|DERE, LOC6544583|XP_001972382.3|DERE	LOC120430806|XP_039451890.1|CPIP
OG0000475	LOC6555199|XP_001982295.1|DERE, LOC6555198|XP_001982294.1|DERE	LOC120424232|XP_039444225.1|CPIP
OG0000476	LOC6551873|XP_001980823.1|DERE, LOC6551872|XP_015010000.1|DERE	LOC120428008|XP_039448912.1|CPIP
OG0000477	LOC6552938|XP_001981015.1|DERE, LOC6552937|XP_001981014.1|DERE	LOC120423579|XP_039443373.1|CPIP
OG0000478	LOC6551026|XP_001978261.1|DERE, LOC6554140|XP_001981692.1|DERE	LOC120429962|XP_039450993.1|CPIP, LOC120429967|XP_039451000.1|CPIP, LOC120429975|XP_039451005.1|CPIP, LOC120425699|XP_039446221.1|CPIP
OG0000479	LOC6552250|XP_001980845.1|DERE, LOC6552251|XP_026839785.1|DERE	LOC120414477|XP_039431605.1|CPIP, LOC120414434|XP_039431553.1|CPIP, LOC120414435|XP_039431554.1|CPIP
OG0000480	LOC6543134|XP_001968454.1|DERE, LOC6542950|XP_001968452.1|DERE	LOC120422963|XP_039442489.1|CPIP
OG0000482	LOC6553940|XP_001979491.1|DERE	LOC120424395|XP_039444427.1|CPIP, LOC120424394|XP_039444426.1|CPIP
OG0000483	LOC6554835|XP_001981991.1|DERE, LOC6554834|XP_001981990.1|DERE	LOC120425946|XP_039446517.1|CPIP, LOC120425945|XP_039446515.1|CPIP, LOC120425947|XP_039446518.1|CPIP
OG0000484	LOC6554027|XP_001979537.1|DERE, LOC6554028|XP_001979538.1|DERE	LOC120421837|XP_039441054.1|CPIP, LOC120421845|XP_039441068.1|CPIP
OG0000485	LOC6546302|XP_001972843.2|DERE, LOC6546438|XP_001972842.1|DERE	LOC120416669|XP_039434418.1|CPIP
OG0000486	LOC6547921|XP_001976440.1|DERE, LOC6547919|XP_001976438.2|DERE	LOC120419307|XP_039437909.1|CPIP
OG0000489	LOC6555132|XP_001981040.1|DERE, LOC6551419|XP_001977145.1|DERE	LOC120418130|XP_039436342.1|CPIP, LOC120418126|XP_039436337.1|CPIP
OG0000490	LOC6550898|XP_001976806.1|DERE	LOC120414538|XP_039431683.1|CPIP
OG0000490	LOC6549960|XP_026837677.1|DERE	LOC120420403|XP_039439346.1|CPIP
OG0000491	LOC6547030|XP_001976007.1|DERE, LOC6546779|XP_001976006.1|DERE	LOC120430223|XP_039451236.1|CPIP
OG0000492	LOC6542048|XP_001969013.1|DERE	LOC120412808|XP_039429343.1|CPIP
OG0000493	LOC6554273|XP_001981469.1|DERE, LOC6554274|XP_001981470.1|DERE	LOC120420047|XP_039438888.1|CPIP
OG0000496	LOC6540766|XP_026834635.1|DERE	LOC120417351|XP_039435289.1|CPIP
OG0000496	LOC6541924|XP_001969704.1|DERE	LOC120418242|XP_039436492.1|CPIP
OG0000497	LOC6541829|XP_001970124.3|DERE, LOC6542026|XP_015014862.2|DERE	LOC120429075|XP_039450164.1|CPIP
OG0000498	LOC6554788|XP_015009281.1|DERE, LOC6554786|XP_001981983.1|DERE	LOC120425951|XP_039446523.1|CPIP
OG0000499	LOC6548813|XP_001975493.1|DERE	LOC120429629|XP_039450596.1|CPIP, LOC120426655|XP_039447382.1|CPIP
OG0000499	LOC6555757|XP_001982663.2|DERE	LOC120427332|XP_039448115.1|CPIP
OG0000500	LOC6546434|XP_001972838.1|DERE, LOC6546436|XP_001972840.3|DERE	LOC120423742|XP_039443588.1|CPIP, LOC120425271|XP_039445651.1|CPIP
OG0000504	LOC6544016|XP_001973016.2|DERE	LOC120420034|XP_039438869.1|CPIP, LOC120420053|XP_039438899.1|CPIP, LOC120420033|XP_039438868.1|CPIP, LOC120420050|XP_039438896.1|CPIP, LOC120420032|XP_039438867.1|CPIP
OG0000505	LOC6549759|XP_026838291.1|DERE, LOC6550325|XP_026838292.1|DERE	LOC120420407|XP_039439358.1|CPIP, LOC120430294|XP_039451324.1|CPIP
OG0000506	LOC6555387|XP_001981849.1|DERE, LOC6555386|XP_001981848.2|DERE	LOC120415717|XP_039433250.1|CPIP, LOC120415729|XP_039433260.1|CPIP, LOC120426164|XP_039446822.1|CPIP, LOC120425474|XP_039445947.1|CPIP, LOC120423334|XP_039443038.1|CPIP
OG0000507	LOC6551395|XP_001977207.1|DERE	LOC120416489|XP_039434142.1|CPIP
OG0000507	LOC6551394|XP_001977206.1|DERE	LOC120431083|XP_039452173.1|CPIP
OG0000508	LOC6545905|XP_026833881.1|DERE, LOC6545638|XP_001970970.1|DERE	LOC120422027|XP_039441285.1|CPIP
OG0000509	LOC6548916|XP_015011719.1|DERE	LOC120412892|XP_039429456.1|CPIP
OG0000510	LOC6549367|XP_001975677.1|DERE, LOC6549366|XP_001975676.1|DERE	LOC120430997|XP_039452090.1|CPIP
OG0000511	LOC6547750|XP_001976259.3|DERE, LOC6547751|XP_026835738.1|DERE	LOC120424968|XP_039445259.1|CPIP, LOC120424959|XP_039445246.1|CPIP
OG0000512	LOC6541173|XP_001969864.1|DERE, LOC6544445|XP_001972432.1|DERE	LOC120424352|XP_039444380.1|CPIP, LOC120424370|XP_039444400.1|CPIP
OG0000513	LOC6540981|XP_001970741.1|DERE, LOC6549438|XP_001974303.1|DERE	LOC120415521|XP_039433012.1|CPIP
OG0000514	LOC6541560|XP_001969718.1|DERE, LOC6542408|XP_015014932.1|DERE	LOC120427085|XP_039447860.1|CPIP
OG0000515	LOC6555828|XP_001982694.1|DERE, LOC6544863|XP_001973175.3|DERE	LOC120418437|XP_039436779.1|CPIP
OG0000516	LOC6550639|XP_001978151.1|DERE, LOC6550729|XP_001978152.1|DERE	LOC120425668|XP_039446186.1|CPIP, LOC120425662|XP_039446176.1|CPIP, LOC120425669|XP_039446187.1|CPIP
OG0000517	LOC6544410|XP_001973154.2|DERE, LOC26526842|XP_026833878.1|DERE	LOC120415407|XP_039432869.1|CPIP, LOC120415408|XP_039432870.1|CPIP
OG0000521	LOC6550123|XP_026837592.1|DERE, LOC6550298|XP_001977700.3|DERE	LOC120415088|XP_039432438.1|CPIP
OG0000522	LOC6552669|XP_001979177.1|DERE, LOC6550542|XP_001977967.1|DERE	LOC120431780|XP_039452835.1|CPIP, LOC120414515|XP_039431656.1|CPIP
OG0000523	LOC6549876|XP_001978657.1|DERE	LOC120414519|XP_039431662.1|CPIP
OG0000524	LOC6554799|XP_026832035.1|DERE, LOC6552028|XP_001980674.1|DERE	LOC120428395|XP_039449339.1|CPIP
OG0000525	LOC6542565|XP_001970348.2|DERE, LOC6540928|XP_001970349.1|DERE	LOC120430954|XP_039452016.1|CPIP, LOC120430952|XP_039452011.1|CPIP
OG0000526	LOC6549085|XP_001974224.1|DERE, LOC6547759|XP_001974882.1|DERE	LOC120422198|XP_039441514.1|CPIP
OG0000527	LOC6541645|XP_001968639.1|DERE, LOC6542342|XP_026834232.1|DERE	LOC120415668|XP_039433183.1|CPIP
OG0000528	LOC6542296|XP_001968544.1|DERE	LOC120413594|XP_039430436.1|CPIP, LOC120418630|XP_039437007.1|CPIP, LOC120418634|XP_039437013.1|CPIP, LOC120418635|XP_039437015.1|CPIP, LOC120418638|XP_039437017.1|CPIP
OG0000529	LOC6542175|XP_001968414.2|DERE, LOC6540612|XP_026834495.1|DERE	LOC120420612|XP_039439623.1|CPIP
OG0000530	LOC6543789|XP_001972323.2|DERE, LOC6546456|XP_001971236.1|DERE	LOC120420815|XP_039439870.1|CPIP
OG0000531	LOC6548610|XP_026838697.1|DERE, LOC6549141|XP_001974394.1|DERE	LOC120418596|XP_039436976.1|CPIP
OG0000532	LOC6553779|XP_001979446.1|DERE, LOC6553778|XP_001979445.1|DERE	LOC120415086|XP_039432439.1|CPIP
OG0000533	LOC6549933|XP_001978681.1|DERE	LOC120427980|XP_039448871.1|CPIP
OG0000533	LOC6552518|XP_001980943.1|DERE	LOC120423795|XP_039443648.1|CPIP
OG0000535	LOC6541518|XP_001969049.1|DERE, LOC6542472|XP_001970497.1|DERE	LOC120419938|XP_039438736.1|CPIP
OG0000536	LOC6544506|XP_026832668.1|DERE	LOC120420853|XP_039439905.1|CPIP, LOC120429579|XP_039450557.1|CPIP, LOC120429576|XP_039450554.1|CPIP
OG0000537	LOC6543099|XP_001970648.1|DERE	LOC120412729|XP_039429253.1|CPIP
OG0000538	LOC26526344|XP_015012786.1|DERE, LOC6543110|XP_026835295.1|DERE	LOC120415393|XP_039432853.1|CPIP
OG0000539	LOC6554460|XP_001981719.1|DERE, LOC6554459|XP_001981718.1|DERE	LOC120423804|XP_039443655.1|CPIP
OG0000542	LOC6554819|XP_001981800.1|DERE, LOC113564707|XP_026839367.1|DERE, LOC6555859|XP_001982722.1|DERE	LOC120415062|XP_039432384.1|CPIP
OG0000543	LOC6554239|XP_001982148.2|DERE, LOC6541169|XP_001970543.2|DERE	LOC120414176|XP_039431183.1|CPIP, LOC120414177|XP_039431184.1|CPIP
OG0000544	LOC6544722|XP_001971529.1|DERE, LOC6553430|XP_001979236.1|DERE	LOC120413340|XP_039430050.1|CPIP
OG0000545	LOC6552080|XP_001979780.1|DERE, LOC6552076|XP_026831511.1|DERE	LOC120432499|XP_039453646.1|CPIP, LOC120430290|XP_039451318.1|CPIP
OG0000546	LOC6552881|XP_001979981.1|DERE, LOC6550860|XP_001978220.1|DERE	LOC120425411|XP_039445875.1|CPIP
OG0000547	LOC6551699|XP_001977160.1|DERE, LOC6544315|XP_001973077.1|DERE, LOC6542146|XP_001968416.1|DERE	LOC120429775|XP_039450766.1|CPIP
OG0000548	LOC6546276|XP_001973595.1|DERE, LOC6546275|XP_001973594.1|DERE	LOC120420653|XP_039439671.1|CPIP
OG0000549	LOC6547866|XP_026836610.1|DERE	LOC120429126|XP_039450252.1|CPIP, LOC120429130|XP_039450259.1|CPIP, LOC120429127|XP_039450254.1|CPIP
OG0000550	LOC6544830|XP_026832867.1|DERE, LOC26526910|XP_015014359.1|DERE	LOC120430650|XP_039451689.1|CPIP, LOC120425137|XP_039445498.1|CPIP
OG0000552	LOC6554222|XP_001981239.1|DERE, LOC6554223|XP_001981240.1|DERE	LOC120430491|XP_039451519.1|CPIP, LOC120417370|XP_039435317.1|CPIP
OG0000553	LOC6542737|XP_001969344.1|DERE	LOC120428198|XP_039449114.1|CPIP, LOC120428547|XP_039449516.1|CPIP, LOC120428493|XP_039449443.1|CPIP
OG0000554	LOC6554164|XP_001982122.1|DERE, LOC6554163|XP_001982121.1|DERE	LOC120420637|XP_039439649.1|CPIP
OG0000555	LOC6545238|XP_026833405.1|DERE, LOC6546036|XP_026833306.1|DERE	LOC120415906|XP_039433483.1|CPIP
OG0000556	LOC6550079|XP_001977529.3|DERE, LOC6553088|XP_001980107.1|DERE	LOC120417500|XP_039435511.1|CPIP
OG0000557	LOC6554095|XP_001980452.1|DERE, LOC6554096|XP_001980453.1|DERE	LOC120413021|XP_039429623.1|CPIP
OG0000558	LOC6553256|XP_001980123.1|DERE, LOC6551655|XP_001978569.1|DERE	LOC120427435|XP_039448225.1|CPIP
OG0000559	LOC6552104|XP_026839461.1|DERE, LOC6544309|XP_001973071.1|DERE	LOC120426477|XP_039447174.1|CPIP
OG0000560	LOC6541843|XP_001970632.1|DERE, LOC6542759|XP_001970633.1|DERE	LOC120420416|XP_039439369.1|CPIP
OG0000561	LOC6545006|XP_001972533.1|DERE, LOC6545184|XP_001972532.1|DERE	LOC120429693|XP_039450666.1|CPIP
OG0000562	LOC6544590|XP_001972389.1|DERE, LOC6544173|XP_001972370.1|DERE	LOC120420548|XP_039439551.1|CPIP
OG0000566	LOC6552360|XP_001979824.1|DERE, LOC6546289|XP_001971312.1|DERE	LOC120415037|XP_039432342.1|CPIP
OG0000567	LOC6550429|XP_026838816.1|DERE	LOC120432277|XP_039453398.1|CPIP
OG0000567	LOC6550430|XP_001977044.1|DERE	LOC120432280|XP_039453400.1|CPIP
OG0000568	LOC6550762|XP_001976799.1|DERE, LOC6552135|XP_026839861.1|DERE	LOC120430557|XP_039451606.1|CPIP, LOC120416898|XP_039434730.1|CPIP
OG0000569	LOC6544436|XP_001973806.1|DERE	LOC120428788|XP_039449810.1|CPIP
OG0000570	LOC6554945|XP_001982016.1|DERE, LOC6554944|XP_001982015.1|DERE	LOC120418345|XP_039436631.1|CPIP
OG0000571	LOC6554276|XP_026839883.1|DERE, LOC6554278|XP_015009027.2|DERE	LOC120422115|XP_039441417.1|CPIP
OG0000572	LOC6553668|XP_026831549.1|DERE, LOC6553706|XP_026831637.1|DERE	LOC120417835|XP_039435984.1|CPIP
OG0000573	LOC6546500|XP_015013486.1|DERE, LOC6547895|XP_001976454.1|DERE	LOC120416539|XP_039434194.1|CPIP
OG0000574	LOC6544145|XP_001973000.1|DERE, LOC6553998|XP_001979457.1|DERE	LOC120413383|XP_039430115.1|CPIP
OG0000575	LOC6545176|XP_001972562.2|DERE, LOC6545175|XP_026833448.1|DERE	LOC120426920|XP_039447658.1|CPIP
OG0000576	LOC6552979|XP_001979163.1|DERE, LOC6552978|XP_001979162.2|DERE	LOC120432079|XP_039453146.1|CPIP, LOC120418632|XP_039437011.1|CPIP
OG0000577	LOC6549264|XP_001974340.1|DERE	LOC120412653|XP_039429141.1|CPIP
OG0000578	LOC6541304|XP_015014476.1|DERE, LOC6547329|XP_026836378.1|DERE	LOC120420633|XP_039439643.1|CPIP
OG0000579	LOC6552690|XP_026839678.1|DERE, LOC6545021|XP_001972611.1|DERE	LOC120429903|XP_039450930.1|CPIP
OG0000580	LOC6551941|XP_001980629.1|DERE, LOC6551940|XP_001980628.1|DERE	LOC120413757|XP_039430626.1|CPIP
OG0000581	LOC6553515|XP_026839634.1|DERE	LOC120413933|XP_039430859.1|CPIP
OG0000582	LOC6544707|XP_001972461.1|DERE, LOC6547422|XP_026836000.1|DERE	LOC120424290|XP_039444311.1|CPIP
OG0000583	LOC6547765|XP_001976387.2|DERE, LOC6547898|XP_026836631.1|DERE	LOC120416812|XP_039434621.1|CPIP
OG0000589	LOC6551367|XP_015010904.1|DERE	LOC120426454|XP_039447150.1|CPIP
OG0000590	LOC6550881|XP_001976828.1|DERE	LOC120421456|XP_039440638.1|CPIP
OG0000592	LOC6543136|XP_001970568.1|DERE, LOC6549334|XP_001975634.1|DERE	LOC120413276|XP_039429940.1|CPIP
OG0000593	LOC6554625|XP_026839512.1|DERE, LOC6550666|XP_001977994.1|DERE	LOC120429571|XP_039450551.1|CPIP
OG0000594	LOC6555056|XP_001981384.1|DERE, LOC6554093|XP_001980450.1|DERE	LOC120416509|XP_039434164.1|CPIP
OG0000595	LOC6553612|XP_001980241.1|DERE, LOC6555367|XP_026834029.1|DERE	LOC120422557|XP_039441970.1|CPIP
OG0000596	LOC6555750|XP_001982453.2|DERE, LOC6551766|XP_001980650.1|DERE	LOC120432526|XP_039453677.1|CPIP
OG0000597	LOC6554420|XP_001981921.1|DERE, LOC6554850|XP_001981094.2|DERE	LOC120420728|XP_039439757.1|CPIP
OG0000598	LOC6553571|XP_001980341.1|DERE	LOC120428012|XP_039448916.1|CPIP, LOC120424605|XP_039444698.1|CPIP, LOC120424609|XP_039444703.1|CPIP, LOC120424607|XP_039444701.1|CPIP, LOC120424608|XP_039444702.1|CPIP, LOC120424606|XP_039444700.1|CPIP
OG0000599	LOC6546449|XP_001971818.1|DERE, LOC6545201|XP_001971062.2|DERE	LOC120420911|XP_039439970.1|CPIP, LOC120415914|XP_039433494.1|CPIP
OG0000600	LOC6546612|XP_026836117.1|DERE, LOC6546613|XP_015012485.1|DERE	LOC120420913|XP_039439972.1|CPIP
OG0000601	LOC6541616|XP_001970113.1|DERE, LOC6542292|XP_026835313.1|DERE	LOC120417482|XP_039435492.1|CPIP
OG0000602	LOC6542381|XP_001969657.1|DERE, LOC6542091|XP_001969656.1|DERE	LOC120422812|XP_039442286.1|CPIP
OG0000603	LOC6552081|XP_026831819.1|DERE, LOC6541889|XP_001968366.2|DERE, LOC6541878|XP_001970254.1|DERE	LOC120413865|XP_039430763.1|CPIP
OG0000604	LOC6542199|XP_001968462.1|DERE, LOC6542308|XP_001968461.1|DERE	LOC120414592|XP_039431765.1|CPIP
OG0000605	LOC6548952|XP_001974075.1|DERE	LOC120418707|XP_039437110.1|CPIP, LOC120418728|XP_039437137.1|CPIP, LOC120418709|XP_039437111.1|CPIP, LOC120418710|XP_039437112.1|CPIP
OG0000606	LOC6554897|XP_001982208.2|DERE	LOC120423379|XP_039443097.1|CPIP
OG0000607	LOC6552410|XP_001979808.1|DERE, LOC6553490|XP_001979330.1|DERE	LOC120431344|XP_039452409.1|CPIP, LOC120420947|XP_039440017.1|CPIP
OG0000608	LOC6554260|XP_001981681.1|DERE, LOC6554134|XP_026839505.1|DERE	LOC120421236|XP_039440368.1|CPIP
OG0000609	LOC6542223|XP_026834784.1|DERE, LOC6542709|XP_026834549.1|DERE	LOC120413039|XP_039429662.1|CPIP
OG0000610	LOC6545274|XP_026832912.1|DERE, LOC6548283|XP_001975109.1|DERE	LOC120420855|XP_039439908.1|CPIP
OG0000611	LOC6547814|XP_001975001.3|DERE, LOC6548677|XP_001975360.1|DERE	LOC120418459|XP_039436820.1|CPIP
OG0000614	LOC6551461|XP_026838432.1|DERE	LOC120427646|XP_039448487.1|CPIP
OG0000615	LOC6550251|XP_026837703.1|DERE, LOC6552276|XP_015009871.1|DERE	LOC120420221|XP_039439143.1|CPIP
OG0000616	LOC6550157|XP_026837836.1|DERE, LOC6550158|XP_026837838.1|DERE	LOC120413329|XP_039430041.1|CPIP, LOC120429858|XP_039450900.1|CPIP
OG0000617	LOC6554511|XP_001981525.2|DERE, LOC6553697|XP_001980403.1|DERE	LOC120423848|XP_039443730.1|CPIP
OG0000618	LOC6543687|XP_026833940.1|DERE	LOC120427285|XP_039448067.1|CPIP
OG0000619	LOC6547300|XP_001974726.1|DERE	LOC120429166|XP_039450308.1|CPIP, LOC120415620|XP_039433151.1|CPIP
OG0000620	LOC6550395|XP_026837856.1|DERE, LOC6545641|XP_001972162.2|DERE	LOC120428697|XP_039449702.1|CPIP
OG0000621	LOC6553721|XP_001979432.1|DERE, LOC6555513|XP_001982671.1|DERE	LOC120417806|XP_039435939.1|CPIP
OG0000622	LOC6545451|XP_001972134.1|DERE, LOC6544980|XP_026832947.1|DERE	LOC120412871|XP_039429435.1|CPIP
OG0000624	LOC6547017|XP_001974704.1|DERE, LOC6547018|XP_001974705.1|DERE	LOC120412594|XP_039429062.1|CPIP
OG0000625	LOC6545199|XP_001972045.3|DERE, LOC6545198|XP_001972044.1|DERE	LOC120420027|XP_039438860.1|CPIP
OG0000627	LOC6546326|XP_001972938.1|DERE, LOC6551067|XP_001976927.1|DERE	LOC120427326|XP_039448110.1|CPIP
OG0000628	LOC6543399|XP_001969659.1|DERE, LOC6541617|XP_001969415.1|DERE	LOC120418965|XP_039437444.1|CPIP
OG0000629	LOC6551895|XP_001980610.1|DERE, LOC6548800|XP_001974057.1|DERE	LOC120419834|XP_039438602.1|CPIP
OG0000630	LOC6549450|XP_001974272.2|DERE, LOC6549150|XP_001974279.1|DERE	LOC120412813|XP_039429349.1|CPIP
OG0000631	LOC26526275|XP_026835065.1|DERE, LOC6542193|XP_001968947.2|DERE	LOC120416872|XP_039434701.1|CPIP
OG0000632	LOC6543461|XP_015015313.1|DERE, LOC6541028|XP_001968245.2|DERE	LOC120431988|XP_039453059.1|CPIP, LOC120419672|XP_039438376.1|CPIP
OG0000635	LOC6547753|XP_001974876.1|DERE, LOC6550676|XP_001978034.1|DERE	LOC120417897|XP_039436052.1|CPIP
OG0000636	LOC6549453|XP_026836184.1|DERE, LOC6549452|XP_001974274.1|DERE	LOC120427318|XP_039448105.1|CPIP
OG0000637	LOC6550937|XP_026838587.1|DERE, LOC6550939|XP_001976976.1|DERE	LOC120419435|XP_039438048.1|CPIP, LOC120423148|XP_039442763.1|CPIP
OG0000638	LOC6555205|XP_026836650.1|DERE, LOC6549997|XP_026838375.1|DERE	LOC120421466|XP_039440616.1|CPIP
OG0000639	LOC6546173|XP_015014132.1|DERE	LOC120429394|XP_039450481.1|CPIP
OG0000646	LOC6555019|XP_001982031.1|DERE, LOC6555100|XP_001981427.1|DERE	LOC120424024|XP_039443974.1|CPIP
OG0000647	LOC26526979|XP_015010542.2|DERE, LOC6550763|XP_026838099.1|DERE	LOC120417689|XP_039435759.1|CPIP
OG0000648	LOC6550205|XP_001977561.1|DERE	LOC120420178|XP_039439085.1|CPIP
OG0000649	LOC6550286|XP_026837821.1|DERE, LOC6550289|XP_026838136.1|DERE	LOC120429957|XP_039450983.1|CPIP
OG0000650	LOC6554351|XP_001982049.1|DERE	LOC120420233|XP_039439156.1|CPIP
OG0000651	LOC6543906|XP_001972977.1|DERE, LOC6543577|XP_026833045.1|DERE	LOC120425481|XP_039445952.1|CPIP
OG0000652	LOC6542253|XP_001970576.1|DERE, LOC6550893|XP_026838131.1|DERE	LOC120425999|XP_039446591.1|CPIP
OG0000653	LOC6553673|XP_001980415.1|DERE, LOC6552294|XP_026831530.1|DERE	LOC120427412|XP_039448210.1|CPIP, LOC120427411|XP_039448209.1|CPIP
OG0000654	LOC6543916|XP_026833655.1|DERE	LOC120430316|XP_039451343.1|CPIP
OG0000655	LOC6546647|XP_001975856.1|DERE, LOC6540972|XP_001968238.1|DERE	LOC120418498|XP_039436869.1|CPIP
OG0000657	LOC6544716|XP_001970967.1|DERE, LOC6541828|XP_001968576.1|DERE	LOC120414701|XP_039431934.1|CPIP
OG0000658	LOC6550082|XP_001977532.1|DERE, LOC6552884|XP_001979984.1|DERE	LOC120421966|XP_039441212.1|CPIP
OG0000659	LOC113564234|XP_026835623.1|DERE, LOC6542800|XP_001968496.1|DERE, LOC6549152|XP_001974281.1|DERE	LOC120428322|XP_039449253.1|CPIP
OG0000660	LOC6541374|XP_026834620.1|DERE	LOC120432453|XP_039453605.1|CPIP
OG0000661	LOC6544489|XP_001971472.1|DERE, LOC6543531|XP_026834239.1|DERE	LOC120427094|XP_039447878.1|CPIP
OG0000663	LOC6548581|XP_001976695.1|DERE	LOC120412947|XP_039429520.1|CPIP
OG0000664	LOC6551096|XP_001976901.1|DERE	LOC120423934|XP_039443852.1|CPIP
OG0000665	LOC6555380|XP_001981842.1|DERE, LOC6555276|XP_001981841.2|DERE	LOC120426832|XP_039447553.1|CPIP
OG0000666	LOC6547622|XP_001974886.1|DERE, LOC26526777|XP_015011479.1|DERE	LOC120414520|XP_039431665.1|CPIP
OG0000667	LOC6555514|XP_026838402.1|DERE, LOC6551928|XP_001980626.1|DERE	LOC120424397|XP_039444429.1|CPIP
OG0000668	LOC6544435|XP_001973805.1|DERE, LOC6553497|XP_001980224.1|DERE	LOC120417871|XP_039436025.1|CPIP
OG0000669	LOC6550638|XP_001978150.1|DERE, LOC6550637|XP_001978149.1|DERE	LOC120425665|XP_039446184.1|CPIP
OG0000670	LOC26526104|XP_015008827.1|DERE, LOC6541385|XP_001969296.2|DERE, LOC6550923|XP_001976890.1|DERE	LOC120425162|XP_039445530.1|CPIP
OG0000671	LOC6552013|XP_026833401.1|DERE, LOC6554199|XP_001981465.1|DERE	LOC120432663|XP_039453843.1|CPIP
OG0000672	LOC6551305|XP_026837487.1|DERE, LOC6550436|XP_001977796.1|DERE	LOC120423756|XP_039443605.1|CPIP
OG0000673	LOC6551138|XP_001978284.1|DERE, LOC6544602|XP_001973064.1|DERE	LOC120428930|XP_039450008.1|CPIP
OG0000677	LOC6544616|XP_001972450.1|DERE, LOC6551698|XP_001977159.1|DERE	LOC120417794|XP_039435946.1|CPIP
OG0000678	LOC6552354|XP_001979818.1|DERE, LOC6543394|XP_001968210.1|DERE	LOC120413326|XP_039430034.1|CPIP
OG0000679	LOC6551166|XP_001977064.1|DERE	LOC120422653|XP_039442092.1|CPIP, LOC120422642|XP_039442078.1|CPIP, LOC120422622|XP_039442048.1|CPIP, LOC120429663|XP_039450627.1|CPIP, LOC120413474|XP_039430247.1|CPIP, LOC120413498|XP_039430289.1|CPIP
OG0000680	LOC6550301|XP_026837952.1|DERE, LOC6550360|XP_001977766.1|DERE	LOC120425607|XP_039446150.1|CPIP
OG0000681	LOC6553372|XP_001980209.1|DERE, LOC6551073|XP_001978294.1|DERE	LOC120418081|XP_039436271.1|CPIP, LOC120419864|XP_039438646.1|CPIP
OG0000683	LOC6555023|XP_026839676.1|DERE	LOC120421815|XP_039441026.1|CPIP, LOC120427907|XP_039448781.1|CPIP, LOC120420753|XP_039439789.1|CPIP
OG0000684	LOC6553887|XP_001980460.1|DERE, LOC6554162|XP_001982120.1|DERE	LOC120430224|XP_039451238.1|CPIP
OG0000685	LOC6551406|XP_001977225.1|DERE, LOC6553340|XP_001979313.1|DERE	LOC120414285|XP_039431349.1|CPIP
OG0000686	LOC6541693|XP_001970722.1|DERE, LOC6550215|XP_026837780.1|DERE	LOC120423501|XP_039443275.1|CPIP
OG0000687	LOC6547702|XP_001974852.1|DERE, LOC6546518|XP_001971271.1|DERE	LOC120413459|XP_039430230.1|CPIP
OG0000688	LOC6546716|XP_015012113.1|DERE	LOC120431079|XP_039452165.1|CPIP, LOC120417409|XP_039435385.1|CPIP
OG0000689	LOC6542233|XP_026834832.1|DERE, LOC6542612|XP_001969108.2|DERE	LOC120431213|XP_039452290.1|CPIP
OG0000690	LOC6550179|XP_001977884.1|DERE	LOC120417154|XP_039435072.1|CPIP, LOC120414453|XP_039431575.1|CPIP, LOC120415957|XP_039433533.1|CPIP, LOC120421238|XP_039440371.1|CPIP, LOC120417133|XP_039435047.1|CPIP
OG0000691	LOC6543197|XP_001969231.1|DERE, LOC6546065|XP_001972806.1|DERE	LOC120426138|XP_039446786.1|CPIP
OG0000692	LOC6545263|XP_026833002.1|DERE, LOC6545264|XP_001973254.1|DERE	LOC120412572|XP_039429020.1|CPIP, LOC120412641|XP_039429129.1|CPIP
OG0000694	LOC6551399|XP_026838782.1|DERE, LOC26526595|XP_015014308.2|DERE	LOC120415917|XP_039433497.1|CPIP
