Orthogroup	DERE.longest_only	DALB.longest_only
OG0002294	LOC6552903|XP_001980986.1|DERE	LOC117576826|XP_034117791.1|DALB
OG0002295	LOC6541416|XP_026835233.1|DERE	LOC117564065|XP_034098580.1|DALB
OG0002296	LOC6541399|XP_026834512.1|DERE	LOC117564436|XP_034099063.1|DALB
OG0002297	LOC6553111|XP_001980017.3|DERE	LOC117576140|XP_034116596.1|DALB
OG0002298	LOC6548111|XP_026836377.1|DERE	LOC117572736|XP_034111703.1|DALB
OG0002299	LOC6547281|XP_001976148.1|DERE	LOC117568021|XP_034104240.1|DALB
OG0002300	LOC6543215|XP_001968829.2|DERE	LOC117565370|XP_034100325.1|DALB
OG0002301	LOC6548792|XP_015012013.1|DERE	LOC117577409|XP_034118210.1|DALB, LOC117577404|XP_034118209.1|DALB
OG0002302	LOC6548876|XP_001973972.2|DERE	LOC117565913|XP_034101171.1|DALB
OG0002303	LOC6555543|XP_001982412.1|DERE	LOC117577625|XP_034118382.1|DALB
OG0002304	LOC6541973|XP_026834909.1|DERE	LOC117564835|XP_034099650.1|DALB
OG0002305	LOC6545929|XP_001973481.1|DERE	LOC117568901|XP_034105695.1|DALB
OG0002306	LOC6542204|XP_001969203.1|DERE	LOC117563439|XP_034097666.1|DALB
OG0002307	LOC6542304|XP_026835130.1|DERE	LOC117563312|XP_034097458.1|DALB
OG0002308	LOC6541344|XP_001969318.1|DERE	LOC117563953|XP_034098417.1|DALB
OG0002309	LOC6540623|XP_026835562.1|DERE, LOC113564224|XP_026835610.1|DERE	LOC117564367|XP_034098975.1|DALB
OG0002310	LOC6548796|XP_026836918.1|DERE	LOC117566006|XP_034101315.1|DALB
OG0002311	LOC6548941|XP_026836853.1|DERE	LOC117564094|XP_034098621.1|DALB
OG0002312	LOC6542302|XP_026835107.1|DERE	LOC117565106|XP_034099955.1|DALB
OG0002313	LOC6549396|XP_001975614.2|DERE	LOC117572453|XP_034111175.1|DALB
OG0002314	LOC6542649|XP_001970443.1|DERE	LOC117571462|XP_034109504.1|DALB
OG0002315	LOC6546928|XP_001975999.1|DERE	LOC117569779|XP_034106970.1|DALB
OG0002316	LOC6542702|XP_001969880.1|DERE	LOC117565459|XP_034100452.1|DALB
OG0002317	LOC6545950|XP_001972797.2|DERE	LOC117568375|XP_034104869.1|DALB
OG0002318	LOC6549229|XP_001974354.1|DERE	LOC117564717|XP_034099491.1|DALB
OG0002320	LOC6547659|XP_001974986.1|DERE	LOC117572517|XP_034111263.1|DALB
OG0002321	LOC6546881|XP_001975964.2|DERE	LOC117566962|XP_034102503.1|DALB
OG0002322	LOC6548898|XP_001974037.1|DERE	LOC117564691|XP_034099457.1|DALB
OG0002323	LOC6548788|XP_026836422.1|DERE	LOC117577722|XP_034118517.1|DALB, LOC117564591|XP_034099328.1|DALB
OG0002324	LOC6545526|XP_015012977.1|DERE	LOC117569300|XP_034106301.1|DALB
OG0002325	LOC6544007|XP_026833175.1|DERE	LOC117568196|XP_034104552.1|DALB
OG0002326	LOC6544008|XP_026832990.1|DERE	LOC117567536|XP_034103472.1|DALB
OG0002327	LOC26527069|XP_015010551.1|DERE	LOC117574888|XP_034114812.1|DALB
OG0002328	LOC6548944|XP_015011971.1|DERE	LOC117563393|XP_034097615.1|DALB
OG0002329	LOC6543188|XP_001968250.1|DERE	LOC117565371|XP_034100326.1|DALB
OG0002330	LOC6542510|XP_001968252.1|DERE	LOC117563504|XP_034097769.1|DALB
OG0002331	LOC6550266|XP_001977717.1|DERE	LOC117578165|XP_034119334.1|DALB, LOC117568173|XP_034104496.1|DALB
OG0002332	LOC6546366|XP_001971327.1|DERE	LOC117569910|XP_034107140.1|DALB
OG0002333	LOC6548435|XP_026835749.1|DERE	LOC117566675|XP_034102113.1|DALB
OG0002334	LOC6542912|XP_001968848.1|DERE	LOC117564891|XP_034099729.1|DALB
OG0002335	LOC6540767|XP_001970392.2|DERE	LOC117569937|XP_034107185.1|DALB
OG0002336	LOC6545356|XP_001973296.1|DERE	LOC117568195|XP_034104547.1|DALB
OG0002337	LOC6543345|XP_001969185.2|DERE	LOC117571394|XP_034109404.1|DALB
OG0002338	LOC6542795|XP_026834640.1|DERE, LOC6541902|XP_026834641.1|DERE	LOC117563788|XP_034098207.1|DALB
OG0002339	LOC6543045|XP_001968527.2|DERE	LOC117564071|XP_034098587.1|DALB
OG0002340	LOC6541527|XP_001969794.2|DERE	LOC117565937|XP_034101214.1|DALB
OG0002341	LOC6542838|XP_001969107.1|DERE	LOC117570129|XP_034107485.1|DALB
OG0002342	LOC6540634|XP_015015105.1|DERE	LOC117563671|XP_034097985.1|DALB
OG0002343	LOC6540689|XP_001968754.3|DERE	LOC117563923|XP_034098383.1|DALB
OG0002344	LOC6543275|XP_026838604.1|DERE	LOC117564050|XP_034098554.1|DALB
OG0002345	LOC6541714|XP_001970552.1|DERE	LOC117572522|XP_034111273.1|DALB
OG0002346	LOC6542081|XP_001970102.1|DERE	LOC117563303|XP_034097437.1|DALB
OG0002347	LOC6546893|XP_001975974.1|DERE	LOC117568528|XP_034105123.1|DALB
OG0002348	LOC6543451|XP_001970277.1|DERE	LOC117566036|XP_034101376.1|DALB
OG0002349	LOC26526305|XP_015015486.2|DERE	LOC117572525|XP_034111275.1|DALB
OG0002350	LOC6542597|XP_001970553.1|DERE	LOC117572521|XP_034111272.1|DALB
OG0002351	LOC6546813|XP_001975923.1|DERE	LOC117570561|XP_034108182.1|DALB
OG0002352	LOC6546624|XP_001975840.1|DERE	LOC117570301|XP_034107718.1|DALB
OG0002353	LOC6541615|XP_001970933.1|DERE	LOC117565696|XP_034100823.1|DALB
OG0002354	LOC6542490|XP_001969251.1|DERE	LOC117563381|XP_034097579.1|DALB
OG0002355	LOC6548606|XP_026838666.1|DERE	LOC117565671|XP_034100794.1|DALB
OG0002356	LOC6547676|XP_001976224.1|DERE	LOC117564149|XP_034098705.1|DALB
OG0002357	LOC6552858|XP_001979943.1|DERE	LOC117574548|XP_034114310.1|DALB
OG0002358	LOC6542713|XP_001969421.1|DERE	LOC117564880|XP_034099718.1|DALB
OG0002359	LOC6550879|XP_001976819.2|DERE	LOC117571924|XP_034110302.1|DALB
OG0002360	LOC6546916|XP_001974119.1|DERE	LOC117563723|XP_034098076.1|DALB
OG0002361	LOC6545763|XP_001973407.1|DERE	LOC117572380|XP_034111040.1|DALB
OG0002362	LOC6541819|XP_015014831.1|DERE	LOC117565565|XP_034100624.1|DALB
OG0002363	LOC6542663|XP_001970133.1|DERE	LOC117563786|XP_034098204.1|DALB
OG0002364	LOC6542564|XP_026834141.1|DERE	LOC117563783|XP_034098183.1|DALB
OG0002365	LOC6543435|XP_001970137.1|DERE	LOC117563498|XP_034097757.1|DALB
OG0002366	LOC6540799|XP_026834658.1|DERE, LOC113564229|XP_026835615.1|DERE	LOC117563616|XP_034097908.1|DALB, LOC117563609|XP_034097897.1|DALB
OG0002367	LOC6541375|XP_001968359.1|DERE	LOC117564962|XP_034099808.1|DALB
OG0002368	LOC6543433|XP_001969505.1|DERE	LOC117563216|XP_034097296.1|DALB, LOC117563976|XP_034098452.1|DALB
OG0002369	LOC6550454|XP_001977831.1|DERE	LOC117577664|XP_034118445.1|DALB
OG0002370	LOC6540903|XP_001969550.2|DERE	LOC117566101|XP_034101461.1|DALB
OG0002371	LOC6540913|XP_001969553.1|DERE	LOC117566105|XP_034101467.1|DALB
OG0002372	LOC6541979|XP_001968648.2|DERE	LOC117565496|XP_034100494.1|DALB
OG0002373	LOC6547231|XP_026835758.1|DERE	LOC117565252|XP_034100156.1|DALB
OG0002374	LOC6554269|XP_015008964.1|DERE	LOC117575364|XP_034115418.1|DALB
OG0002375	LOC6553434|XP_001979240.2|DERE	LOC117576535|XP_034117250.1|DALB, LOC117574759|XP_034114594.1|DALB
OG0002376	LOC6542481|XP_026835490.1|DERE	LOC117564723|XP_034099496.1|DALB
OG0002377	LOC6552404|XP_001978930.1|DERE	LOC117573671|XP_034112891.1|DALB
OG0002378	LOC6545022|XP_001972612.1|DERE	LOC117568032|XP_034104263.1|DALB
OG0002379	LOC6547577|XP_001976216.1|DERE	LOC117564621|XP_034099368.1|DALB
OG0002380	LOC6551334|XP_015011358.1|DERE	LOC117563625|XP_034097926.1|DALB
OG0002381	LOC6549596|XP_001975664.1|DERE	LOC117572440|XP_034111162.1|DALB
OG0002382	LOC6549685|XP_026837436.1|DERE	LOC117564627|XP_034099374.1|DALB, LOC117578028|XP_034119019.1|DALB
OG0002383	LOC6545853|XP_026833559.1|DERE	LOC117569053|XP_034105948.1|DALB
OG0002384	LOC6555622|XP_026837410.1|DERE	LOC117564092|XP_034098624.1|DALB
OG0002385	LOC6555812|XP_026839219.1|DERE	LOC117573067|XP_034111828.1|DALB
OG0002386	LOC6553937|XP_026839885.1|DERE	LOC117576190|XP_034116671.1|DALB
OG0002387	LOC6554612|XP_026836547.1|DERE	LOC117573888|XP_034113267.1|DALB
OG0002388	LOC6553114|XP_015010174.1|DERE	LOC117573540|XP_034112710.1|DALB
OG0002389	LOC6554240|XP_001982149.1|DERE	LOC117573907|XP_034113306.1|DALB
OG0002390	LOC6542093|XP_001969934.1|DERE	LOC117565167|XP_034100044.1|DALB
OG0002391	LOC6548139|XP_001975231.1|DERE	LOC117567556|XP_034103506.1|DALB
OG0002392	LOC6544267|XP_015013840.1|DERE	LOC117567270|XP_034103024.1|DALB
OG0002393	LOC6544230|XP_001973046.2|DERE	LOC117568511|XP_034105104.1|DALB
OG0002394	LOC6554671|XP_015009264.1|DERE	LOC117574073|XP_034113594.1|DALB
OG0002395	LOC6551900|XP_001980615.1|DERE	LOC117573859|XP_034113223.1|DALB
OG0002396	LOC6546768|XP_015011690.1|DERE	LOC117567602|XP_034103580.1|DALB
OG0002397	LOC6541662|XP_001970817.2|DERE	LOC117571826|XP_034110096.1|DALB
OG0002398	LOC6549892|XP_001977369.1|DERE	LOC117577616|XP_034118358.1|DALB, LOC117563359|XP_034097539.1|DALB
OG0002399	LOC6542773|XP_001970784.2|DERE	LOC117570510|XP_034108099.1|DALB
OG0002400	LOC6548187|XP_001975209.2|DERE	LOC117571465|XP_034109508.1|DALB
OG0002401	LOC6555874|XP_026838994.1|DERE	LOC117573180|XP_034112045.1|DALB
OG0002402	LOC6553260|XP_015009841.1|DERE	LOC117575084|XP_034115072.1|DALB
OG0002403	LOC6553261|XP_001980151.1|DERE	LOC117575893|XP_034116227.1|DALB
OG0002404	LOC6552015|XP_001978780.1|DERE	LOC117575008|XP_034114976.1|DALB
OG0002405	LOC6552398|XP_001978924.1|DERE	LOC117575433|XP_034115528.1|DALB
OG0002406	LOC6545268|XP_001973266.1|DERE	LOC117567891|XP_034104054.1|DALB
OG0002408	LOC6552206|XP_001978936.1|DERE	LOC117575865|XP_034116177.1|DALB
OG0002409	LOC6545875|XP_026833674.1|DERE	LOC117570792|XP_034108538.1|DALB
OG0002410	LOC6554101|XP_026839706.1|DERE	LOC117574724|XP_034114543.1|DALB
OG0002411	LOC6552462|XP_001980880.1|DERE	LOC117576388|XP_034116991.1|DALB
OG0002412	LOC26526330|XP_015015490.1|DERE	LOC117573452|XP_034112565.1|DALB
OG0002413	LOC6551529|XP_026837950.1|DERE	LOC117577581|XP_034118352.1|DALB
OG0002414	LOC6545581|XP_001971115.1|DERE	LOC117569823|XP_034107038.1|DALB
OG0002415	LOC6553795|XP_015010086.1|DERE	LOC117574320|XP_034114020.1|DALB
OG0002416	LOC6555817|XP_026839129.1|DERE	LOC117573233|XP_034112175.1|DALB
OG0002417	LOC6542741|XP_001968127.1|DERE	LOC117572532|XP_034111289.1|DALB, LOC117565012|XP_034099848.1|DALB, LOC117565506|XP_034100528.1|DALB
OG0002418	LOC26527103|XP_026839306.1|DERE	LOC117575948|XP_034116302.1|DALB
OG0002419	LOC6551006|XP_001976874.1|DERE	LOC117572654|XP_034111535.1|DALB
OG0002420	LOC6546047|XP_026833759.1|DERE	LOC117570054|XP_034107373.1|DALB
OG0002421	LOC6554833|XP_001981989.1|DERE	LOC117573302|XP_034112298.1|DALB, LOC117575080|XP_034115066.1|DALB
OG0002422	LOC6553461|XP_001979258.1|DERE	LOC117574581|XP_034114356.1|DALB
OG0002423	LOC6543852|XP_001972353.2|DERE	LOC117572565|XP_034111335.1|DALB
OG0002424	LOC6555878|XP_001982755.1|DERE	LOC117573093|XP_034111888.1|DALB
OG0002425	LOC6550662|XP_001978070.1|DERE	LOC117563351|XP_034097532.1|DALB
OG0002426	LOC6545122|XP_001971068.1|DERE	LOC117566389|XP_034101785.1|DALB
OG0002427	LOC6555873|XP_001982750.1|DERE	LOC117573111|XP_034111925.1|DALB
OG0002428	LOC6550421|XP_001977806.2|DERE	LOC117578291|XP_034119622.1|DALB
OG0002429	LOC6546285|XP_015013471.1|DERE	LOC117572605|XP_034111433.1|DALB
OG0002430	LOC6543222|XP_001970642.1|DERE	LOC117570263|XP_034107667.1|DALB
OG0002431	LOC6547652|XP_001974810.1|DERE	LOC117568956|XP_034105806.1|DALB
OG0002432	LOC6551281|XP_001976900.2|DERE	LOC117577048|XP_034118075.1|DALB
OG0002433	LOC6553895|XP_001979568.1|DERE	LOC117576724|XP_034117635.1|DALB
OG0002434	LOC6552125|XP_001980786.1|DERE	LOC117573185|XP_034112060.1|DALB
OG0002435	LOC6551388|XP_026838540.1|DERE	LOC117567219|XP_034102942.1|DALB
OG0002436	LOC6549514|XP_001975696.1|DERE	LOC117567268|XP_034103021.1|DALB
OG0002437	LOC6549509|XP_001975731.3|DERE	LOC117572707|XP_034111656.1|DALB
OG0002438	LOC6555719|XP_015008744.1|DERE	LOC117567429|XP_034103322.1|DALB
OG0002440	LOC6546357|XP_001972889.1|DERE	LOC117567784|XP_034103888.1|DALB
OG0002441	LOC6541189|XP_026834348.1|DERE	LOC117572749|XP_034111716.1|DALB
OG0002442	LOC6546742|XP_001974535.2|DERE	LOC117572142|XP_034110673.1|DALB
OG0002443	LOC6547211|XP_015012542.1|DERE	LOC117571279|XP_034109233.1|DALB
OG0002444	LOC6548327|XP_026835849.1|DERE	LOC117572127|XP_034110646.1|DALB
OG0002445	LOC6549156|XP_001975716.1|DERE	LOC117566988|XP_034102545.1|DALB, LOC117566989|XP_034102548.1|DALB
OG0002446	LOC6549074|XP_001975593.1|DERE	LOC117567141|XP_034102846.1|DALB
OG0002447	LOC6545381|XP_001972588.2|DERE	LOC117570543|XP_034108150.1|DALB
OG0002448	LOC6548185|XP_001975094.1|DERE	LOC117566991|XP_034102550.1|DALB
OG0002449	LOC6548340|XP_001975296.1|DERE	LOC117566405|XP_034101809.1|DALB
OG0002450	LOC6551972|XP_001980657.1|DERE	LOC117576498|XP_034117168.1|DALB
OG0002451	LOC6542376|XP_001970402.1|DERE	LOC117568797|XP_034105549.1|DALB
OG0002452	LOC6548473|XP_001975192.1|DERE	LOC117568625|XP_034105305.1|DALB
OG0002453	LOC6548472|XP_001975191.1|DERE	LOC117568621|XP_034105298.1|DALB
OG0002454	LOC6545226|XP_015013606.1|DERE	LOC117570027|XP_034107338.1|DALB
OG0002455	LOC6545200|XP_001971061.1|DERE	LOC117570024|XP_034107335.1|DALB
OG0002456	LOC113564333|XP_026836793.1|DERE	LOC117568051|XP_034104288.1|DALB
OG0002457	LOC6541573|XP_015014725.1|DERE	LOC117566874|XP_034102370.1|DALB
OG0002458	LOC6541727|XP_001969985.1|DERE	LOC117563896|XP_034098348.1|DALB
OG0002459	LOC6549546|XP_001975752.1|DERE	LOC117571949|XP_034110336.1|DALB
OG0002460	LOC6547778|XP_001976573.1|DERE	LOC117570662|XP_034108340.1|DALB
OG0002461	LOC6548231|XP_001975263.1|DERE	LOC117570255|XP_034107659.1|DALB
OG0002462	LOC6547098|XP_015012166.1|DERE	LOC117567707|XP_034103734.1|DALB
OG0002463	LOC6548399|XP_001976531.2|DERE	LOC117571446|XP_034109482.1|DALB
OG0002464	LOC6546739|XP_001974532.1|DERE	LOC117572145|XP_034110676.1|DALB
OG0002465	LOC6541971|XP_001970787.1|DERE	LOC117571673|XP_034109804.1|DALB
OG0002466	LOC6555860|XP_026839368.1|DERE, LOC113563688|XP_026839119.1|DERE	LOC117573144|XP_034111974.1|DALB
OG0002467	LOC6544505|XP_001971993.1|DERE	LOC117570649|XP_034108310.1|DALB
OG0002468	LOC6545285|XP_001972628.3|DERE	LOC117570663|XP_034108341.1|DALB
OG0002469	LOC6552069|XP_026836099.1|DERE	LOC117576818|XP_034117779.1|DALB
OG0002470	LOC6542926|XP_001970395.1|DERE	LOC117569671|XP_034106809.1|DALB
OG0002471	LOC6541425|XP_015015027.1|DERE	LOC117566403|XP_034101807.1|DALB
OG0002472	LOC6546849|XP_001975951.1|DERE	LOC117569416|XP_034106446.1|DALB
OG0002473	LOC6546959|XP_001976028.1|DERE	LOC117567223|XP_034102946.1|DALB
OG0002474	LOC6544111|XP_015014038.1|DERE	LOC117569483|XP_034106547.1|DALB
OG0002475	LOC6555466|XP_001981224.1|DERE	LOC117575184|XP_034115185.1|DALB
OG0002476	LOC6546680|XP_001974507.1|DERE	LOC117570890|XP_034108678.1|DALB
OG0002477	LOC6547266|XP_001974872.1|DERE	LOC117567612|XP_034103592.1|DALB
OG0002478	LOC6547200|XP_001974786.3|DERE	LOC117571463|XP_034109505.1|DALB
OG0002479	LOC6549369|XP_001975679.1|DERE	LOC117570727|XP_034108440.1|DALB
OG0002480	LOC6541861|XP_026838602.1|DERE	LOC117572042|XP_034110497.1|DALB
OG0002481	LOC6555710|XP_001982554.1|DERE	LOC117564139|XP_034098693.1|DALB
OG0002482	LOC6549602|XP_001975735.3|DERE	LOC117566700|XP_034102137.1|DALB
OG0002483	LOC6548206|XP_001976485.1|DERE	LOC117569221|XP_034106189.1|DALB
OG0002484	LOC6546705|XP_001974521.1|DERE	LOC117571746|XP_034109984.1|DALB
OG0002485	LOC6541017|XP_026835341.1|DERE	LOC117567433|XP_034103330.1|DALB
OG0002486	LOC6545797|XP_001973425.1|DERE	LOC117570192|XP_034107568.1|DALB
OG0002487	LOC6548515|XP_026838654.1|DERE	LOC117565663|XP_034100779.1|DALB
OG0002488	LOC6548107|XP_001975148.1|DERE	LOC117567940|XP_034104125.1|DALB
OG0002489	LOC6545256|XP_015012998.1|DERE	LOC117572485|XP_034111226.1|DALB
OG0002490	LOC6547269|XP_001974874.1|DERE	LOC117567616|XP_034103596.1|DALB
OG0002491	LOC6543926|XP_001973661.1|DERE	LOC117567502|XP_034103424.1|DALB, LOC117568746|XP_034105461.1|DALB
OG0002492	LOC6546999|XP_001974622.1|DERE	LOC117570422|XP_034107946.1|DALB
OG0002493	LOC6542561|XP_001970411.3|DERE	LOC117568796|XP_034105548.1|DALB
OG0002494	LOC6551987|XP_001980795.2|DERE	LOC117575001|XP_034114967.1|DALB
OG0002495	LOC6548993|XP_001975544.1|DERE	LOC117567939|XP_034104121.1|DALB
OG0002496	LOC6554456|XP_001981715.1|DERE	LOC117576106|XP_034116555.1|DALB
OG0002497	LOC6544748|XP_001973210.3|DERE	LOC117570735|XP_034108447.1|DALB
OG0002498	LOC6543728|XP_026832835.1|DERE	LOC117570241|XP_034107634.1|DALB
OG0002499	LOC6545069|XP_026833737.1|DERE	LOC117571352|XP_034109352.1|DALB
OG0002500	LOC6550388|XP_001977770.1|DERE, LOC6554179|XP_001981489.1|DERE	LOC117576766|XP_034117706.1|DALB
OG0002501	LOC113564100|XP_026834789.1|DERE, LOC6543503|XP_001968724.2|DERE	LOC117563880|XP_034098330.1|DALB
OG0002502	LOC6546865|XP_001976061.1|DERE	LOC117572784|XP_034111773.1|DALB
OG0002504	LOC6545013|XP_001972603.2|DERE	LOC117571061|XP_034108921.1|DALB
OG0002505	LOC6547926|XP_001975033.1|DERE, LOC6547927|XP_001975034.1|DERE	LOC117571285|XP_034109242.1|DALB
OG0002508	LOC6550236|XP_001977687.1|DERE	LOC117565880|XP_034101115.1|DALB
OG0002509	LOC6542249|XP_001970593.1|DERE	LOC117570436|XP_034107984.1|DALB
OG0002510	LOC6549965|XP_001978738.1|DERE	LOC117577919|XP_034118807.1|DALB
OG0002511	LOC6553614|XP_026831574.1|DERE	LOC117575857|XP_034116168.1|DALB
OG0002512	LOC6555814|XP_026839048.1|DERE	LOC117573148|XP_034111979.1|DALB
OG0002513	LOC6552278|XP_001980758.1|DERE	LOC117576603|XP_034117390.1|DALB
OG0002514	LOC6545540|XP_001971105.1|DERE	LOC117567043|XP_034102645.1|DALB
OG0002516	LOC6554573|XP_026834249.1|DERE	LOC117576359|XP_034116940.1|DALB
OG0002517	LOC6551126|XP_015010664.2|DERE	LOC117578080|XP_034119122.1|DALB
OG0002518	LOC6551860|XP_001979657.1|DERE	LOC117573461|XP_034112574.1|DALB
OG0002519	LOC6547815|XP_001975002.1|DERE	LOC117572224|XP_034110793.1|DALB
OG0002520	LOC6551193|XP_001977027.1|DERE	LOC117566135|XP_034101512.1|DALB
OG0002521	LOC6550136|XP_001977665.2|DERE	LOC117577394|XP_034118195.1|DALB
OG0002522	LOC6551854|XP_001979651.1|DERE	LOC117575840|XP_034116140.1|DALB
OG0002523	LOC6554855|XP_001981099.1|DERE	LOC117574742|XP_034114569.1|DALB
OG0002524	LOC6550944|XP_001976964.2|DERE	LOC117563974|XP_034098454.1|DALB
OG0002525	LOC6544278|XP_001971975.1|DERE	LOC117572360|XP_034111014.1|DALB
OG0002526	LOC6553034|XP_001980039.1|DERE	LOC117574593|XP_034114368.1|DALB
OG0002528	LOC6551687|XP_026838068.1|DERE	LOC117568720|XP_034105466.1|DALB
OG0002529	LOC6552509|XP_001979817.2|DERE	LOC117574093|XP_034113619.1|DALB
OG0002530	LOC6549087|XP_001974226.1|DERE	LOC117564625|XP_034099373.1|DALB
OG0002531	LOC6543453|XP_026834912.1|DERE	LOC117565082|XP_034099923.1|DALB
OG0002532	LOC6544879|XP_026833217.1|DERE	LOC117573161|XP_034112014.1|DALB
OG0002533	LOC6549694|XP_026837634.1|DERE	LOC117568353|XP_034104846.1|DALB
OG0002534	LOC6546939|XP_001976048.1|DERE	LOC117572610|XP_034111451.1|DALB
OG0002535	LOC6545355|XP_001973295.1|DERE	LOC117571592|XP_034109699.1|DALB
OG0002536	LOC26526242|XP_015009370.1|DERE	LOC117575338|XP_034115387.1|DALB
OG0002537	LOC6548412|XP_001976523.2|DERE	LOC117566711|XP_034102147.1|DALB
OG0002539	LOC6548405|XP_001976671.1|DERE	LOC117568084|XP_034104352.1|DALB
OG0002540	LOC6553038|XP_001980043.1|DERE	LOC117574629|XP_034114409.1|DALB
OG0002541	LOC6550206|XP_001977562.1|DERE	LOC117578295|XP_034119627.1|DALB
OG0002542	LOC6550462|XP_001977789.1|DERE	LOC117578222|XP_034119490.1|DALB
OG0002543	LOC6551037|XP_001978304.1|DERE	LOC117566615|XP_034102084.1|DALB
OG0002544	LOC6555258|XP_001982299.3|DERE	LOC117575525|XP_034115662.1|DALB
OG0002545	LOC6555636|XP_001982520.1|DERE	LOC117574702|XP_034114509.1|DALB
OG0002547	LOC6551329|XP_001978419.1|DERE	LOC117578235|XP_034119529.1|DALB
OG0002548	LOC6551303|XP_001978402.1|DERE	LOC117575867|XP_034116185.1|DALB
OG0002549	LOC6550051|XP_001977517.1|DERE	LOC117569259|XP_034106233.1|DALB
OG0002550	LOC6550863|XP_026837480.1|DERE	LOC117577941|XP_034118850.1|DALB
OG0002551	LOC6554201|XP_001981037.1|DERE	LOC117576378|XP_034116967.1|DALB
OG0002552	LOC6548806|XP_001974086.1|DERE	LOC117564253|XP_034098848.1|DALB
OG0002553	LOC6549695|XP_026837631.1|DERE	LOC117575246|XP_034115273.1|DALB
OG0002554	LOC6551247|XP_001978435.1|DERE	LOC117570135|XP_034107530.1|DALB
OG0002555	LOC6550838|XP_001977003.1|DERE	LOC117577942|XP_034118849.1|DALB
OG0002556	LOC6543472|XP_001969503.1|DERE	LOC117564391|XP_034099003.1|DALB
OG0002557	LOC6550834|XP_001978276.1|DERE	LOC117577789|XP_034118609.1|DALB
OG0002558	LOC6554337|XP_001982101.1|DERE	LOC117575173|XP_034115175.1|DALB
OG0002559	LOC6541859|XP_015014681.1|DERE	LOC117569560|XP_034106670.1|DALB
OG0002560	LOC6553463|XP_026839578.1|DERE	LOC117575326|XP_034115372.1|DALB
OG0002561	LOC6553804|XP_001979561.3|DERE	LOC117573634|XP_034112833.1|DALB
OG0002562	LOC6551366|XP_026838855.1|DERE	LOC117571963|XP_034110357.1|DALB
OG0002563	LOC6550081|XP_026838371.1|DERE	LOC117569417|XP_034106454.1|DALB
OG0002564	LOC6555350|XP_001981200.1|DERE	LOC117575913|XP_034116258.1|DALB
OG0002565	LOC6552416|XP_001980861.1|DERE	LOC117573700|XP_034112956.1|DALB
OG0002566	LOC6551859|XP_001979656.3|DERE	LOC117575837|XP_034116135.1|DALB
OG0002567	LOC6551194|XP_026838835.1|DERE	LOC117566144|XP_034101524.1|DALB
OG0002568	LOC6552676|XP_001980915.1|DERE	LOC117577090|XP_034118082.1|DALB
OG0002569	LOC6544549|XP_001973471.1|DERE	LOC117569025|XP_034105906.1|DALB
OG0002570	LOC6551817|XP_001979624.1|DERE	LOC117575746|XP_034115991.1|DALB
OG0002571	LOC6551819|XP_001979626.2|DERE	LOC117575751|XP_034116000.1|DALB
OG0002572	LOC6547516|XP_001974853.1|DERE	LOC117570893|XP_034108686.1|DALB
OG0002573	LOC6551842|XP_001979639.1|DERE	LOC117576275|XP_034116811.1|DALB
OG0002574	LOC6551856|XP_001979653.1|DERE	LOC117575843|XP_034116144.1|DALB
OG0002575	LOC6554052|XP_015010083.1|DERE	LOC117576367|XP_034116945.1|DALB
OG0002576	LOC6549988|XP_026837806.1|DERE	LOC117574867|XP_034114780.1|DALB
OG0002577	LOC6543616|XP_026832846.1|DERE	LOC117572099|XP_034110597.1|DALB
OG0002578	LOC6540659|XP_001968676.1|DERE	LOC117563643|XP_034097944.1|DALB
OG0002579	LOC6542315|XP_001969784.1|DERE	LOC117578393|XP_034119732.1|DALB
OG0002580	LOC6546672|XP_001975865.1|DERE	LOC117571072|XP_034108933.1|DALB
OG0002581	LOC6555309|XP_026831460.1|DERE	LOC117574050|XP_034113542.1|DALB
OG0002582	LOC6552314|XP_001980767.2|DERE	LOC117573082|XP_034111865.1|DALB
OG0002583	LOC6552041|XP_026831919.1|DERE	LOC117576508|XP_034117198.1|DALB
OG0002584	LOC6543556|XP_015014079.1|DERE	LOC117572486|XP_034111227.1|DALB
OG0002585	LOC6543555|XP_001973316.1|DERE	LOC117572488|XP_034111229.1|DALB
OG0002586	LOC6554072|XP_001979582.2|DERE	LOC117573693|XP_034112945.1|DALB
OG0002587	LOC6552791|XP_001981002.2|DERE	LOC117575249|XP_034115271.1|DALB
OG0002588	LOC6552274|XP_026831922.1|DERE	LOC117574577|XP_034114346.1|DALB
OG0002589	LOC6555239|XP_001981646.2|DERE	LOC117574676|XP_034114473.1|DALB
OG0002590	LOC6549670|XP_001977456.1|DERE	LOC117578202|XP_034119429.1|DALB
OG0002591	LOC6555141|XP_001981152.1|DERE	LOC117574501|XP_034114236.1|DALB
OG0002592	LOC6554446|XP_026839740.1|DERE	LOC117576967|XP_034118036.1|DALB
OG0002593	LOC6554451|XP_001981519.2|DERE	LOC117573372|XP_034112390.1|DALB
OG0002594	LOC6552842|XP_026839669.1|DERE	LOC117573834|XP_034113157.1|DALB
OG0002595	LOC6554070|XP_001979580.1|DERE	LOC117576427|XP_034117062.1|DALB
OG0002596	LOC6553535|XP_026837670.1|DERE	LOC117575233|XP_034115255.1|DALB
OG0002597	LOC6552106|XP_001980700.1|DERE	LOC117576095|XP_034116538.1|DALB
OG0002598	LOC6554896|XP_001982207.2|DERE	LOC117574262|XP_034113888.1|DALB
