Orthogroup	DERE.longest_only	CQUI.longest_only
OG0000938	LOC6547874|XP_001976350.1|DERE, LOC6550704|XP_001978118.1|DERE	LOC6041884|XP_001851080.1|CQUI
OG0000939	LOC6542797|XP_001970198.1|DERE, LOC6542655|XP_001970204.1|DERE	LOC6044428|XP_001861946.1|CQUI
OG0000941	LOC6554370|XP_001981260.1|DERE, LOC6549794|XP_001977317.1|DERE	LOC6049171|XP_001865978.1|CQUI
OG0000942	LOC6546490|XP_001973586.2|DERE	LOC6050303|XP_001866931.2|CQUI
OG0000943	LOC6546604|XP_026835714.1|DERE	LOC6036204|XP_038120020.1|CQUI
OG0000944	LOC6550813|XP_026837934.1|DERE, LOC6540593|XP_001968893.1|DERE	LOC6038238|XP_038118238.1|CQUI
OG0000945	LOC6556145|XP_026833568.1|DERE	LOC6040018|XP_001849494.2|CQUI
OG0000946	LOC6541552|XP_001970224.1|DERE	LOC6044471|XP_038106712.1|CQUI, LOC6041548|XP_038107584.1|CQUI
OG0000947	LOC6548395|XP_001976527.1|DERE	LOC6034360|XP_001844678.1|CQUI, LOC6034379|XP_038109332.1|CQUI, LOC6034378|XP_038109331.1|CQUI, LOC6034359|XP_001844677.2|CQUI
OG0000948	LOC6546266|XP_015013804.1|DERE	LOC6048908|XP_001865747.2|CQUI
OG0000949	LOC6551139|XP_026837851.1|DERE	LOC6033022|XP_038115508.1|CQUI, LOC6033023|XP_038115510.1|CQUI
OG0000950	LOC6550432|XP_015011150.1|DERE, LOC6553312|XP_001979209.1|DERE	LOC6046062|XP_001863317.2|CQUI
OG0000951	LOC6553699|XP_001980405.1|DERE	LOC119769688|XP_038118996.1|CQUI, LOC6039379|XP_038121296.1|CQUI
OG0000952	LOC6541496|XP_026835573.1|DERE	LOC119770231|XP_038120613.1|CQUI
OG0000963	LOC6550162|XP_001977672.1|DERE	LOC119765405|XP_038105122.1|CQUI, LOC6052738|XP_001868962.2|CQUI, LOC6052742|XP_001868961.1|CQUI, LOC6052739|XP_001868963.1|CQUI
OG0000964	LOC6548652|XP_026836016.1|DERE	LOC6047021|XP_038104314.1|CQUI, LOC6032708|XP_001843260.2|CQUI
OG0000965	LOC6549746|XP_001977349.1|DERE	LOC6039055|XP_001848733.2|CQUI
OG0000966	LOC6549427|XP_001975707.1|DERE, LOC6555140|XP_001981151.2|DERE	LOC6034419|XP_038105028.1|CQUI
OG0000969	LOC6547650|XP_001974984.1|DERE, LOC6554937|XP_001981118.1|DERE	LOC6043792|XP_001861393.1|CQUI
OG0000970	LOC6554124|XP_001981496.1|DERE	LOC6033272|XP_001843743.2|CQUI
OG0000971	LOC6549315|XP_001974486.1|DERE	LOC6036039|XP_001846141.1|CQUI, LOC6040867|XP_001850197.1|CQUI
OG0000972	LOC6545277|XP_001972066.1|DERE, LOC6555535|XP_026838360.1|DERE	LOC6031858|XP_038113015.1|CQUI
OG0000973	LOC6550683|XP_001976761.3|DERE	LOC119766829|XP_038108809.1|CQUI, LOC6034199|XP_038108806.1|CQUI, LOC6047448|XP_038120387.1|CQUI
OG0000974	LOC6546450|XP_001971819.1|DERE	LOC6049993|XP_038116186.1|CQUI, LOC6049992|XP_038116176.1|CQUI, LOC6049994|XP_038116185.1|CQUI, LOC6049990|XP_001866665.1|CQUI
OG0000975	LOC6554062|XP_026832984.1|DERE	LOC6046902|XP_001864030.2|CQUI
OG0000977	LOC6553113|XP_001980019.2|DERE	LOC6053094|XP_038112904.1|CQUI
OG0000978	LOC6551809|XP_001980578.1|DERE	LOC6051170|XP_038108380.1|CQUI
OG0000981	LOC26526879|XP_026837747.1|DERE	LOC6053612|XP_001869668.2|CQUI
OG0000988	LOC6542904|XP_001969791.1|DERE	LOC6042735|XP_001870746.2|CQUI
OG0000990	LOC6554508|XP_001981522.1|DERE, LOC6550461|XP_001977788.1|DERE	LOC119767687|XP_038112787.1|CQUI
OG0000991	LOC6549673|XP_001977432.1|DERE	LOC6040891|XP_038105368.1|CQUI, LOC6042501|XP_038104580.1|CQUI
OG0000992	LOC6542511|XP_001969054.1|DERE, LOC6554524|XP_026831588.1|DERE	LOC6042422|XP_001851542.2|CQUI
OG0000994	LOC6551315|XP_026838084.1|DERE	LOC6045593|XP_001862934.2|CQUI
OG0000995	LOC6554857|XP_001981101.1|DERE, LOC6550776|XP_001978073.1|DERE	LOC6041608|XP_001850846.1|CQUI
OG0000996	LOC6547032|XP_026836092.1|DERE	LOC6030996|XP_001841849.2|CQUI, LOC119769660|XP_038118872.1|CQUI
OG0000997	LOC6549588|XP_001975822.1|DERE	LOC6052525|XP_038120680.1|CQUI
OG0000998	LOC6545427|XP_026832933.1|DERE	LOC6047261|XP_001864343.2|CQUI, LOC6047263|XP_038117138.1|CQUI, LOC6047258|XP_038118868.1|CQUI
OG0000999	LOC6547686|XP_026836310.1|DERE, LOC6555627|XP_001982426.1|DERE	LOC6036403|XP_001846456.1|CQUI
OG0001000	LOC6548611|XP_026838644.1|DERE	LOC6032922|XP_038108749.1|CQUI
OG0001002	LOC6549292|XP_026836860.1|DERE	LOC6031176|XP_001842019.1|CQUI, LOC6031178|XP_038111945.1|CQUI, LOC6031180|XP_038106920.1|CQUI
OG0001003	LOC6552961|XP_001978764.1|DERE, LOC26526185|XP_026834017.1|DERE	LOC6040169|XP_001849620.1|CQUI
OG0001004	LOC6553539|XP_001979322.3|DERE, LOC6552422|XP_001980777.1|DERE	LOC6038961|XP_001848650.1|CQUI
OG0001005	LOC6549375|XP_001974295.1|DERE, LOC6555565|XP_026837875.1|DERE	LOC6047963|XP_038122308.1|CQUI
OG0001006	LOC6552888|XP_001979988.1|DERE, LOC6544610|XP_001972445.1|DERE	LOC6032307|XP_001842939.1|CQUI
OG0001007	LOC6548126|XP_001976540.1|DERE	LOC6032328|XP_001842958.1|CQUI
OG0001008	LOC26526702|XP_015009402.1|DERE, LOC6550505|XP_001977970.1|DERE	LOC6054260|XP_001870205.2|CQUI
OG0001009	LOC6552540|XP_001980836.1|DERE, LOC6554403|XP_001981699.1|DERE	LOC6038900|XP_001848599.2|CQUI
OG0001019	LOC6555063|XP_001981605.2|DERE, LOC6555086|XP_026831966.1|DERE	LOC6052564|XP_001868810.2|CQUI
OG0001020	LOC6549755|XP_001978617.1|DERE	LOC6047041|XP_001864149.2|CQUI, LOC6047042|XP_038104222.1|CQUI, LOC6047044|XP_001864152.2|CQUI, LOC6047043|XP_001864151.2|CQUI
OG0001021	LOC6543052|XP_026834612.1|DERE	LOC6050121|XP_038116561.1|CQUI, LOC6050119|XP_038116583.1|CQUI, LOC119768888|XP_038116570.1|CQUI
OG0001022	LOC6551950|XP_026839636.1|DERE, LOC6550696|XP_001978021.1|DERE	LOC6034409|XP_001844727.1|CQUI
OG0001024	LOC6555046|XP_001981616.1|DERE	LOC6034941|XP_001845202.2|CQUI, LOC6048000|XP_001864975.2|CQUI
OG0001025	LOC6544474|XP_001972508.1|DERE	LOC6044075|XP_038116060.1|CQUI
OG0001026	LOC6543131|XP_001970540.1|DERE	LOC6037044|XP_001847005.2|CQUI, LOC6037036|XP_001846998.2|CQUI
OG0001027	LOC6546064|XP_001972805.1|DERE	LOC6036423|XP_001846475.1|CQUI, LOC6036424|XP_038121459.1|CQUI
OG0001028	LOC6543274|XP_001968955.1|DERE	LOC6053346|XP_001869449.2|CQUI, LOC119769210|XP_038117057.1|CQUI, LOC6031308|XP_001842125.1|CQUI
OG0001029	LOC6547284|XP_001976151.2|DERE	LOC6032857|XP_038119110.1|CQUI, LOC6050363|XP_038106167.1|CQUI, LOC119770391|XP_038121084.1|CQUI, LOC119769344|XP_038117302.1|CQUI, LOC119767080|XP_038110521.1|CQUI
OG0001031	LOC6548598|XP_001973943.2|DERE	LOC6038935|XP_038109238.1|CQUI
OG0001032	LOC6549206|XP_026839383.1|DERE	LOC6035231|XP_001845460.2|CQUI
OG0001033	LOC6544647|XP_001973782.1|DERE	LOC6036914|XP_038107537.1|CQUI
OG0001042	LOC6554967|XP_001981139.1|DERE	LOC6051046|XP_038122684.1|CQUI, LOC6053042|XP_038105133.1|CQUI, LOC6053041|XP_038122772.1|CQUI
OG0001043	LOC6550779|XP_026838079.1|DERE	LOC6034458|XP_001844771.2|CQUI, LOC6034459|XP_001844772.1|CQUI
OG0001044	LOC6541144|XP_001970584.1|DERE	LOC6033008|XP_001843518.2|CQUI, LOC6030844|XP_038115176.1|CQUI, LOC119767848|XP_038113446.1|CQUI, LOC6052536|XP_001868789.2|CQUI
OG0001045	LOC6548979|XP_026836696.1|DERE	LOC6049796|XP_001866502.2|CQUI, LOC6046964|XP_001864077.2|CQUI, LOC6049795|XP_001866501.2|CQUI, LOC6040700|XP_001850055.1|CQUI
OG0001046	LOC6546760|XP_001974550.1|DERE, LOC6546761|XP_001974551.1|DERE	LOC6037425|XP_001847339.1|CQUI
OG0001047	LOC6549639|XP_001975757.1|DERE	LOC6052938|XP_001869113.1|CQUI
OG0001048	LOC6548153|XP_001975116.1|DERE	LOC6030972|XP_001841824.2|CQUI, LOC6037859|XP_038106191.1|CQUI, LOC6036643|XP_038113731.1|CQUI
OG0001049	LOC6544186|XP_026833011.1|DERE	LOC6043980|XP_038117725.1|CQUI
OG0001050	LOC6544220|XP_026833486.1|DERE	LOC6033574|XP_038117779.1|CQUI
OG0001051	LOC6542025|XP_001969346.1|DERE	LOC6044460|XP_038112405.1|CQUI
OG0001052	LOC6543466|XP_001970289.1|DERE	LOC6034904|XP_038107542.1|CQUI
OG0001053	LOC6550993|XP_026837762.1|DERE	LOC6040511|XP_038120753.1|CQUI
OG0001054	LOC6554883|XP_026832935.1|DERE	LOC6046359|XP_001863576.2|CQUI
OG0001055	LOC6553970|XP_001980528.1|DERE, LOC6553969|XP_001980527.1|DERE	LOC6046753|XP_038118273.1|CQUI
OG0001056	LOC6549436|XP_001974407.1|DERE, LOC6550667|XP_001977995.1|DERE	LOC6034033|XP_038120245.1|CQUI
OG0001057	LOC6542130|XP_001969295.1|DERE	LOC6039782|XP_001849304.1|CQUI
OG0001058	LOC6551182|XP_001978365.1|DERE	LOC6031449|XP_038109731.1|CQUI
OG0001059	LOC6545515|XP_026833395.1|DERE	LOC6036107|XP_038110474.1|CQUI
OG0001072	LOC6555677|XP_026837526.1|DERE	LOC6047035|XP_001864144.1|CQUI
OG0001073	LOC6555256|XP_001981637.3|DERE	LOC6040802|XP_038122600.1|CQUI
OG0001074	LOC6549461|XP_026836666.1|DERE	LOC6040958|XP_001850279.1|CQUI
OG0001077	LOC6544999|XP_001973846.1|DERE, LOC6544293|XP_001973132.1|DERE	LOC6037330|XP_001847254.1|CQUI
OG0001078	LOC6550296|XP_001977698.1|DERE	LOC6032040|XP_001842707.2|CQUI, LOC6048058|XP_001865029.2|CQUI
OG0001079	LOC6543724|XP_001971867.1|DERE	LOC6051664|XP_001868064.2|CQUI
OG0001080	LOC6545538|XP_001971103.1|DERE	LOC6041053|XP_001850364.2|CQUI
OG0001081	LOC6553830|XP_026831431.1|DERE	LOC6041039|XP_001850350.2|CQUI, LOC6042831|XP_001870828.1|CQUI
OG0001082	LOC6547732|XP_026836643.1|DERE	LOC6043330|XP_038119590.1|CQUI
OG0001083	LOC6545658|XP_026833980.1|DERE	LOC6031062|XP_038119861.1|CQUI
OG0001084	LOC6541480|XP_026835126.1|DERE	LOC6042294|XP_038114789.1|CQUI, LOC6047368|XP_038115486.1|CQUI
OG0001085	LOC6542620|XP_001970808.2|DERE	LOC6042005|XP_038115817.1|CQUI
OG0001086	LOC6551951|XP_001980705.1|DERE, LOC6548122|XP_001976536.1|DERE	LOC6036258|XP_001846326.2|CQUI
OG0001088	LOC6545473|XP_001971585.1|DERE	LOC6040518|XP_001849904.2|CQUI, LOC6033568|XP_038117163.1|CQUI, LOC6049750|XP_038119401.1|CQUI
OG0001089	LOC6543830|XP_026832275.1|DERE	LOC6037275|XP_038117998.1|CQUI
OG0001090	LOC6546232|XP_001971791.3|DERE	LOC6034576|XP_038120156.1|CQUI, LOC6034579|XP_038120153.1|CQUI, LOC6034580|XP_038120154.1|CQUI
OG0001092	LOC6542602|XP_001968937.1|DERE	LOC6036149|XP_038109368.1|CQUI
OG0001093	LOC6543506|XP_001969516.1|DERE	LOC6036146|XP_001846236.2|CQUI
OG0001094	LOC6543515|XP_026834869.1|DERE	LOC6031336|XP_038112557.1|CQUI
OG0001095	LOC6547331|XP_001974791.1|DERE	LOC6049911|XP_001866601.1|CQUI, LOC6049910|XP_038111983.1|CQUI, LOC6049913|XP_001866603.1|CQUI
OG0001096	LOC6549228|XP_001974353.1|DERE	LOC6031955|XP_038113300.1|CQUI, LOC6031954|XP_038108739.1|CQUI
OG0001097	LOC113564597|XP_026838609.1|DERE, LOC26526510|XP_026838608.1|DERE	LOC6031863|XP_038109276.1|CQUI
OG0001099	LOC6546179|XP_026833536.1|DERE	LOC6040335|XP_001849740.2|CQUI
OG0001100	LOC6552413|XP_015009669.1|DERE, LOC26526367|XP_026831715.1|DERE, LOC26526295|XP_026839310.1|DERE	LOC6052097|XP_038112579.1|CQUI
OG0001101	LOC6548229|XP_026835824.1|DERE	LOC6037726|XP_038113843.1|CQUI
OG0001102	LOC6545871|XP_001972722.3|DERE	LOC6040098|XP_038110990.1|CQUI, LOC6040089|XP_038110333.1|CQUI
OG0001103	LOC6552618|XP_001979864.1|DERE	LOC6040179|XP_001849630.2|CQUI, LOC6040178|XP_038112931.1|CQUI, LOC6040177|XP_001849628.2|CQUI
OG0001104	LOC6546833|XP_015011601.1|DERE	LOC6051930|XP_001868284.2|CQUI
OG0001105	LOC6546892|XP_001975973.1|DERE, LOC6550418|XP_001977803.1|DERE	LOC6036714|XP_001846718.1|CQUI
OG0001106	LOC6555877|XP_015008636.1|DERE	LOC6047766|XP_038112893.1|CQUI, LOC6047173|XP_038113034.1|CQUI
OG0001118	LOC6550617|XP_001978002.2|DERE	LOC6053773|XP_001869802.1|CQUI
OG0001119	LOC6544440|XP_001973810.2|DERE	LOC6040361|XP_038114062.1|CQUI, LOC6048162|XP_038104643.1|CQUI
OG0001120	LOC6554756|XP_015009336.1|DERE, LOC113563706|XP_026831468.1|DERE	LOC6033952|XP_038104598.1|CQUI, LOC6033958|XP_038105273.1|CQUI
OG0001121	LOC6541768|XP_001970835.1|DERE	LOC6047867|XP_038122205.1|CQUI
OG0001122	LOC6543862|XP_001971089.1|DERE	LOC6047533|XP_038119301.1|CQUI
OG0001124	LOC6556243|XP_001983074.2|DERE, LOC6552358|XP_026839828.1|DERE, LOC113564848|XP_026839556.1|DERE	LOC6044079|XP_038120683.1|CQUI
OG0001125	LOC6553716|XP_001979427.2|DERE	LOC6039443|XP_001849053.2|CQUI
OG0001126	LOC113563973|XP_026833926.1|DERE	LOC6049107|XP_038118915.1|CQUI
OG0001127	LOC6544379|XP_001972468.1|DERE	LOC6052725|XP_001868949.2|CQUI, LOC6034690|XP_001844974.2|CQUI
OG0001128	LOC6546950|XP_001974600.2|DERE	LOC6030950|XP_038115818.1|CQUI, LOC6040847|XP_038111443.1|CQUI
OG0001129	LOC6540722|XP_026834707.1|DERE	LOC6041308|XP_038109340.1|CQUI
OG0001130	LOC6540989|XP_001969367.1|DERE, LOC26526775|XP_026839374.1|DERE, LOC113564709|XP_026839384.1|DERE	LOC6046734|XP_001863893.2|CQUI
OG0001131	LOC6555851|XP_026839285.1|DERE	LOC6044602|XP_038107721.1|CQUI, LOC6042975|XP_038110225.1|CQUI, LOC6044604|XP_038107498.1|CQUI
OG0001133	LOC6549041|XP_026835641.1|DERE	LOC6043724|XP_038111216.1|CQUI
OG0001134	LOC6547384|XP_026836227.1|DERE	LOC6033084|XP_038114885.1|CQUI, LOC119767284|XP_038111486.1|CQUI, LOC119768949|XP_038116716.1|CQUI
OG0001135	LOC6552839|XP_001979872.1|DERE	LOC6034993|XP_038120309.1|CQUI, LOC6039748|XP_001849295.2|CQUI
OG0001136	LOC6552418|XP_026839613.1|DERE	LOC6050340|XP_038118633.1|CQUI
OG0001137	LOC6552901|XP_026836196.1|DERE	LOC6050281|XP_001866914.2|CQUI
OG0001138	LOC6545499|XP_001971101.1|DERE	LOC6044622|XP_038109992.1|CQUI
OG0001139	LOC6545017|XP_001972607.3|DERE	LOC6034191|XP_001844546.2|CQUI
OG0001147	LOC6546396|XP_026832757.1|DERE, LOC6546355|XP_001972887.2|DERE, LOC113563855|XP_026832180.1|DERE	LOC6048224|XP_001865175.2|CQUI
OG0001153	LOC6548015|XP_026836900.1|DERE	LOC6047706|XP_038117452.1|CQUI
OG0001154	LOC6542013|XP_015014406.1|DERE	LOC6031240|XP_038109888.1|CQUI, LOC6044142|XP_038112928.1|CQUI
OG0001155	LOC6551547|XP_001978458.1|DERE	LOC119771163|XP_038122554.1|CQUI
OG0001157	LOC6553654|XP_001980303.1|DERE	LOC6031419|XP_001842227.2|CQUI
OG0001158	LOC6540730|XP_026834891.1|DERE	LOC6038004|XP_001847851.2|CQUI
OG0001159	LOC6554771|XP_001981357.3|DERE	LOC6047617|XP_038105916.1|CQUI
OG0001160	LOC6553578|XP_001979249.1|DERE	LOC6035059|XP_038105567.1|CQUI, LOC119765010|XP_001845295.2|CQUI
OG0001162	LOC6551798|XP_001980811.1|DERE	LOC6037355|XP_038105872.1|CQUI
OG0001164	LOC6555406|XP_001982326.1|DERE	LOC6053766|XP_038105500.1|CQUI, LOC6042425|XP_038104494.1|CQUI
OG0001165	LOC6547899|XP_001976393.1|DERE	LOC6040940|XP_001850268.2|CQUI
OG0001167	LOC6542973|XP_026835168.1|DERE	LOC6053462|XP_038118279.1|CQUI
OG0001168	LOC6547045|XP_001974634.1|DERE	LOC119769703|XP_038119060.1|CQUI
OG0001169	LOC6550146|XP_001977543.1|DERE	LOC6050237|XP_038120378.1|CQUI, LOC6050236|XP_001866875.2|CQUI, LOC6046275|XP_001863502.2|CQUI
OG0001171	LOC6544784|XP_015013395.1|DERE	LOC6038611|XP_038115237.1|CQUI
OG0001172	LOC6548218|XP_001975076.1|DERE	LOC6040017|XP_038120821.1|CQUI
OG0001173	LOC6554295|XP_001981063.1|DERE	LOC6044092|XP_001861654.2|CQUI, LOC6039973|XP_038108775.1|CQUI, LOC6034249|XP_038113447.1|CQUI, LOC6048284|XP_001865224.1|CQUI
OG0001174	LOC6545211|XP_026832299.1|DERE, LOC6556363|XP_026832301.1|DERE, LOC6545210|XP_001972101.1|DERE	LOC6030890|XP_001841766.1|CQUI
OG0001175	LOC6546762|XP_001974552.1|DERE	LOC6041411|XP_001850674.1|CQUI
OG0001176	LOC6549417|XP_001975650.1|DERE	LOC6032450|XP_038112002.1|CQUI
OG0001177	LOC6549398|XP_026836077.1|DERE	LOC6033652|XP_038114034.1|CQUI
OG0001178	LOC6547609|XP_001974969.2|DERE	LOC6033262|XP_038111957.1|CQUI
OG0001179	LOC6546862|XP_001976058.1|DERE	LOC6036453|XP_038114387.1|CQUI
OG0001180	LOC6555868|XP_026839017.1|DERE	LOC6033626|XP_038112234.1|CQUI
OG0001181	LOC6544519|XP_001973059.1|DERE	LOC6046070|XP_038119931.1|CQUI
OG0001182	LOC6554438|XP_015009316.1|DERE	LOC6051010|XP_038121521.1|CQUI, LOC6051011|XP_038115128.1|CQUI
OG0001183	LOC6554014|XP_026831973.1|DERE	LOC6050625|XP_038121048.1|CQUI
OG0001185	LOC6553169|XP_026833348.1|DERE, LOC113563928|XP_026833309.1|DERE	LOC6047138|XP_038115095.1|CQUI
OG0001186	LOC6553429|XP_001979235.1|DERE	LOC6041144|XP_001850444.1|CQUI
OG0001187	LOC6549073|XP_026835657.1|DERE	LOC6033407|XP_038110520.1|CQUI, LOC6033409|XP_001843862.2|CQUI
OG0001188	LOC6546714|XP_001975875.1|DERE	LOC6043678|XP_001861307.2|CQUI, LOC6043677|XP_001861306.2|CQUI
OG0001189	LOC6547324|XP_001976331.1|DERE	LOC6044185|XP_038112058.1|CQUI, LOC6032264|XP_038112626.1|CQUI
OG0001190	LOC6549983|XP_026837292.1|DERE	LOC6035971|XP_001846078.2|CQUI, LOC6035970|XP_038112722.1|CQUI
OG0001191	LOC6542368|XP_001969283.2|DERE	LOC6040784|XP_038113888.1|CQUI, LOC6054211|XP_038113931.1|CQUI
OG0001192	LOC6542870|XP_001970075.2|DERE	LOC6039652|XP_038112370.1|CQUI
OG0001193	LOC6553452|XP_026838909.1|DERE	LOC119771227|XP_038122924.1|CQUI, LOC6052191|XP_038104147.1|CQUI, LOC6044486|XP_001861998.2|CQUI, LOC6038340|XP_001848155.1|CQUI
OG0001194	LOC6555802|XP_026838946.1|DERE, LOC6555807|XP_015008775.1|DERE	LOC6042351|XP_001851478.1|CQUI
OG0001195	LOC6542351|XP_001970484.2|DERE	LOC119767685|XP_038112768.1|CQUI
OG0001201	LOC6554821|XP_001981802.1|DERE	LOC6050447|XP_001867055.2|CQUI
OG0001202	LOC6549979|XP_001978752.1|DERE	LOC6038175|XP_038104882.1|CQUI, LOC6038173|XP_001848004.2|CQUI, LOC6038176|XP_001848007.2|CQUI
OG0001203	LOC6555832|XP_001982698.1|DERE	LOC6038320|XP_038122940.1|CQUI, LOC6038329|XP_038110286.1|CQUI
OG0001204	LOC6540728|XP_001969571.1|DERE	LOC6053090|XP_001869239.2|CQUI, LOC6054712|XP_038106720.1|CQUI, LOC6033906|XP_038106238.1|CQUI, LOC6039955|XP_038115960.1|CQUI, LOC6039125|XP_038113258.1|CQUI, LOC6039327|XP_001848955.2|CQUI
OG0001205	LOC6552812|XP_001978943.2|DERE	LOC6052900|XP_001869076.2|CQUI
OG0001206	LOC6553695|XP_026831638.1|DERE	LOC6049919|XP_038114189.1|CQUI
OG0001207	LOC6549664|XP_026837731.1|DERE	LOC6035127|XP_038117837.1|CQUI
OG0001208	LOC6551453|XP_001977278.2|DERE	LOC6044973|XP_038105992.1|CQUI
OG0001209	LOC6553710|XP_026831674.1|DERE	LOC6051353|XP_038122782.1|CQUI
OG0001210	LOC6550627|XP_001978166.2|DERE	LOC6052130|XP_038104165.1|CQUI, LOC6050694|XP_038104085.1|CQUI
OG0001212	LOC6550867|XP_001978227.1|DERE	LOC6031554|XP_001842338.2|CQUI, LOC6031553|XP_001842337.1|CQUI, LOC6049227|XP_001866023.2|CQUI, LOC119770564|XP_038121603.1|CQUI, LOC6049222|XP_001866022.2|CQUI
OG0001213	LOC6552120|XP_001979727.1|DERE	LOC6039669|XP_001849233.2|CQUI, LOC6039670|XP_001849234.2|CQUI
OG0001214	LOC6554916|XP_001982238.1|DERE	LOC6037486|XP_001847396.2|CQUI
OG0001215	LOC6552713|XP_026831440.1|DERE	LOC6045600|XP_038104162.1|CQUI, LOC6045598|XP_038105791.1|CQUI
OG0001216	LOC6552772|XP_001979957.2|DERE	LOC6045604|XP_038104859.1|CQUI, LOC6045606|XP_038106016.1|CQUI
OG0001217	LOC6548324|XP_001973939.2|DERE	LOC6042395|XP_001851520.2|CQUI
OG0001218	LOC6554519|XP_001982156.1|DERE	LOC6040898|XP_001850226.1|CQUI
OG0001220	LOC6543155|XP_001970651.1|DERE	LOC6045532|XP_001862887.1|CQUI, LOC119769797|XP_038119366.1|CQUI
OG0001221	LOC6547787|XP_026836644.1|DERE	LOC6043322|XP_038116069.1|CQUI
OG0001223	LOC6541021|XP_001970869.3|DERE	LOC6036538|XP_038119459.1|CQUI
OG0001224	LOC6548498|XP_001975311.1|DERE	LOC6036744|XP_001846743.1|CQUI
OG0001225	LOC6543112|XP_026834471.1|DERE	LOC6033514|XP_038117574.1|CQUI, LOC6033515|XP_001843955.2|CQUI
OG0001226	LOC6547174|XP_001976091.1|DERE	LOC6030868|XP_038117520.1|CQUI
OG0001227	LOC6541093|XP_015014849.1|DERE	LOC6037379|XP_038112500.1|CQUI
OG0001228	LOC113564521|XP_026837926.1|DERE	LOC6050448|XP_001867052.2|CQUI
OG0001229	LOC6541715|XP_026838627.1|DERE	LOC6033208|XP_038108952.1|CQUI
OG0001230	LOC6548529|XP_001975369.1|DERE	LOC6042866|XP_038109988.1|CQUI
OG0001233	LOC6541493|XP_026835028.1|DERE	LOC6034829|XP_038112300.1|CQUI
OG0001234	LOC6548779|XP_001975434.1|DERE	LOC6036123|XP_001846216.1|CQUI
OG0001235	LOC6540819|XP_001968183.1|DERE	LOC119766514|XP_038107036.1|CQUI, LOC6033616|XP_001844043.2|CQUI, LOC6033618|XP_001844045.2|CQUI
OG0001236	LOC6545231|XP_001973465.3|DERE	LOC6046075|XP_001863329.2|CQUI
OG0001237	LOC6553936|XP_026839887.1|DERE	LOC6040473|XP_038114997.1|CQUI
OG0001238	LOC6554410|XP_026838513.1|DERE	LOC6043265|XP_038121140.1|CQUI
OG0001239	LOC6553742|XP_001980360.2|DERE	LOC6052626|XP_038111282.1|CQUI, LOC6032254|XP_038121026.1|CQUI
OG0001240	LOC6554398|XP_026839734.1|DERE	LOC6045142|XP_001862540.2|CQUI, LOC6045143|XP_001862541.2|CQUI
OG0001241	LOC6546818|XP_001975928.1|DERE	LOC6046394|XP_038116205.1|CQUI
OG0001242	LOC6550330|XP_026838219.1|DERE	LOC6032717|XP_001843269.1|CQUI
OG0001244	LOC6552764|XP_001979949.1|DERE	LOC6051908|XP_001868265.2|CQUI
OG0001245	LOC6553773|XP_001979440.2|DERE	LOC6039632|XP_038111436.1|CQUI, LOC6039633|XP_038111530.1|CQUI, LOC6039631|XP_038106272.1|CQUI, LOC6053173|XP_038106273.1|CQUI
OG0001246	LOC6548132|XP_001976509.1|DERE	LOC6046496|XP_038112281.1|CQUI, LOC119767076|XP_038110479.1|CQUI, LOC6046495|XP_001863681.2|CQUI
OG0001247	LOC26526228|XP_015015475.1|DERE	LOC6036721|XP_038108755.1|CQUI
OG0001248	LOC6545475|XP_001971587.1|DERE	LOC6047152|XP_038112085.1|CQUI
OG0001249	LOC6554195|XP_026831624.1|DERE, LOC6551192|XP_001977026.1|DERE	LOC6037219|XP_038111368.1|CQUI
OG0001257	LOC6555838|XP_026839144.1|DERE	LOC6038325|XP_038121277.1|CQUI
OG0001259	LOC6555762|XP_001982668.1|DERE	LOC6052314|XP_001868608.2|CQUI, LOC119767551|XP_038112327.1|CQUI
OG0001260	LOC6551952|XP_001980706.1|DERE	LOC6047698|XP_001864721.2|CQUI, LOC6047703|XP_038122417.1|CQUI
OG0001261	LOC6549872|XP_001978653.2|DERE	LOC6036966|XP_038105068.1|CQUI
OG0001263	LOC6554157|XP_026839561.1|DERE, LOC113563722|XP_026831611.1|DERE	LOC6047408|XP_038111894.1|CQUI
OG0001264	LOC6541322|XP_001968615.2|DERE	LOC6031873|XP_038111151.1|CQUI
OG0001265	LOC6555689|XP_015008807.1|DERE	LOC6034456|XP_038105093.1|CQUI
OG0001266	LOC6548086|XP_001975202.2|DERE	LOC6035643|XP_001845783.2|CQUI
OG0001267	LOC6555281|XP_015008835.1|DERE	LOC6051047|XP_038122925.1|CQUI, LOC6044839|XP_038105651.1|CQUI
OG0001269	LOC6546997|XP_001976039.1|DERE	LOC6034952|XP_001845211.1|CQUI
OG0001270	LOC6552687|XP_001978950.1|DERE	LOC119767815|XP_038113307.1|CQUI, LOC6037485|XP_038104290.1|CQUI
OG0001271	LOC6542309|XP_001969101.1|DERE	LOC6043921|XP_001861500.2|CQUI, LOC6043922|XP_001861501.1|CQUI
OG0001272	LOC6545961|XP_026832486.1|DERE	LOC6038800|XP_038115010.1|CQUI
OG0001273	LOC6552245|XP_026839525.1|DERE	LOC6044636|XP_001862124.1|CQUI, LOC6047353|XP_001864428.2|CQUI, LOC119767645|XP_038112581.1|CQUI, LOC6047352|XP_038106332.1|CQUI
OG0001274	LOC6545550|XP_001973389.1|DERE	LOC6048052|XP_038120536.1|CQUI
