Orthogroup	DSUP.longest_only	ASTE.longest_only
OG0000686	LOC119551344|XP_037716588.1|DSUP, LOC119556738|XP_037725075.1|DSUP	LOC118514492|XP_035917308.1|ASTE
OG0000687	LOC119550783|XP_037715643.1|DSUP, LOC119553129|XP_037719250.1|DSUP	LOC118510252|XP_035907731.1|ASTE, LOC118517275|XP_035919142.1|ASTE
OG0000688	LOC119551677|XP_037717060.1|DSUP	LOC118509724|XP_035906707.1|ASTE
OG0000689	LOC119551614|XP_037716954.1|DSUP, LOC119551613|XP_037716951.1|DSUP	LOC118512119|XP_035911989.1|ASTE
OG0000690	LOC119557520|XP_037726222.1|DSUP	LOC118506172|XP_035898836.1|ASTE, LOC118509362|XP_035905778.1|ASTE, LOC118517239|XP_035919106.1|ASTE, LOC118506171|XP_035898834.1|ASTE, LOC118504259|XP_035894381.1|ASTE
OG0000691	LOC119548792|XP_037712296.1|DSUP, LOC119553581|XP_037719958.1|DSUP	LOC118511904|XP_035911433.1|ASTE
OG0000692	LOC119555119|XP_037722272.1|DSUP, LOC119555317|XP_037722569.1|DSUP	LOC118514236|XP_035916833.1|ASTE
OG0000693	LOC119557022|XP_037725487.1|DSUP, LOC119560705|XP_037730224.1|DSUP	LOC118511187|XP_035909847.1|ASTE
OG0000694	LOC119558396|XP_037727851.1|DSUP, LOC119553869|XP_037720449.1|DSUP	LOC118510934|XP_035909249.1|ASTE
OG0000695	LOC119562399|XP_037731519.1|DSUP	LOC118511743|XP_035911086.1|ASTE
OG0000696	LOC119555365|XP_037722630.1|DSUP, LOC119545979|XP_037707884.1|DSUP	LOC118511732|XP_035911071.1|ASTE
OG0000697	LOC119557436|XP_037726124.1|DSUP, LOC119562576|XP_037731719.1|DSUP	LOC118513307|XP_035914782.1|ASTE
OG0000698	LOC119546872|XP_037709406.1|DSUP, LOC119546672|XP_037709059.1|DSUP	LOC118514551|XP_035917435.1|ASTE
OG0000699	LOC119547751|XP_037710675.1|DSUP, LOC119559154|XP_037728154.1|DSUP	LOC118509221|XP_035905398.1|ASTE
OG0000700	LOC119547709|XP_037710612.1|DSUP, LOC119547977|XP_037710957.1|DSUP	LOC118513242|XP_035914691.1|ASTE
OG0000701	LOC119550067|XP_037714459.1|DSUP, LOC119556451|XP_037724617.1|DSUP	LOC118513211|XP_035914617.1|ASTE
OG0000702	LOC119552826|XP_037718700.1|DSUP, LOC119552880|XP_037718803.1|DSUP	LOC118504572|XP_035895108.1|ASTE
OG0000703	LOC119546014|XP_037707947.1|DSUP, LOC119552097|XP_037717807.1|DSUP	LOC118506324|XP_035899167.1|ASTE
OG0000704	LOC119555853|XP_037723412.1|DSUP, LOC119546404|XP_037708593.1|DSUP	LOC118506332|XP_035899195.1|ASTE
OG0000705	LOC119553361|XP_037719635.1|DSUP, LOC119553360|XP_037719633.1|DSUP	LOC118506683|XP_035900034.1|ASTE
OG0000706	LOC119546976|XP_037709552.1|DSUP, LOC119557575|XP_037726299.1|DSUP	LOC118504359|XP_035894644.1|ASTE
OG0000707	LOC119550688|XP_037715481.1|DSUP, LOC119556089|XP_037723870.1|DSUP	LOC118507672|XP_035902354.1|ASTE
OG0000708	LOC119557318|XP_037725957.1|DSUP, LOC119558211|XP_037727442.1|DSUP	LOC118506391|XP_035899324.1|ASTE
OG0000709	LOC119556093|XP_037723880.1|DSUP, LOC119556357|XP_037724446.1|DSUP	LOC118505365|XP_035896954.1|ASTE
OG0000710	LOC119559795|XP_037728804.1|DSUP, LOC119550977|XP_037715940.1|DSUP	LOC118517718|XP_035920058.1|ASTE
OG0000711	LOC119553656|XP_037720070.1|DSUP, LOC119556629|XP_037724880.1|DSUP	LOC118507227|XP_035901286.1|ASTE
OG0000713	LOC119560831|XP_037730406.1|DSUP, LOC119549997|XP_037714338.1|DSUP	LOC118508307|XP_035903858.1|ASTE
OG0000714	LOC119555888|XP_037723481.1|DSUP, LOC119555598|XP_037723022.1|DSUP	LOC118517663|XP_035919932.1|ASTE
OG0000716	LOC119556945|XP_037725366.1|DSUP, LOC119553497|XP_037719837.1|DSUP	LOC118507309|XP_035901585.1|ASTE
OG0000717	LOC119554879|XP_037721893.1|DSUP	LOC118503816|XP_035893408.1|ASTE, LOC118506222|XP_035898952.1|ASTE, LOC118506238|XP_035898994.1|ASTE, LOC118503817|XP_035893410.1|ASTE, LOC118503814|XP_035893405.1|ASTE, LOC118506235|XP_035898977.1|ASTE, LOC118506234|XP_035898976.1|ASTE, LOC118506227|XP_035898958.1|ASTE, LOC118503805|XP_035893392.1|ASTE, LOC118503812|XP_035893403.1|ASTE, LOC118503819|XP_035893412.1|ASTE, LOC118503815|XP_035893407.1|ASTE, LOC118503811|XP_035893402.1|ASTE, LOC118506223|XP_035898953.1|ASTE, LOC118503808|XP_035893397.1|ASTE, LOC118503809|XP_035893400.1|ASTE, LOC118503810|XP_035893401.1|ASTE, LOC118503807|XP_035893396.1|ASTE, LOC118503813|XP_035893404.1|ASTE, LOC118503802|XP_035893389.1|ASTE
OG0000724	LOC119556956|XP_037725391.1|DSUP, LOC119562734|XP_037731865.1|DSUP	LOC118510219|XP_035907676.1|ASTE
OG0000726	LOC119555093|XP_037722240.1|DSUP, LOC119555100|XP_037722250.1|DSUP	LOC118502369|XP_035890481.1|ASTE
OG0000727	LOC119560649|XP_037730134.1|DSUP, LOC119560912|XP_037730541.1|DSUP	LOC118502892|XP_035891505.1|ASTE, LOC118504672|XP_035895355.1|ASTE
OG0000728	LOC119558141|XP_037727301.1|DSUP	LOC118507572|XP_035902102.1|ASTE
OG0000729	LOC119562955|XP_037732056.1|DSUP, LOC119563441|XP_037732760.1|DSUP	LOC118502976|XP_035891641.1|ASTE
OG0000730	LOC119556899|XP_037725311.1|DSUP, LOC119546491|XP_037708716.1|DSUP	LOC118512111|XP_035911978.1|ASTE
OG0000731	LOC119554839|XP_037721841.1|DSUP, LOC119551725|XP_037717155.1|DSUP	LOC118508872|XP_035904568.1|ASTE
OG0000732	LOC119554153|XP_037720869.1|DSUP, LOC119554152|XP_037720868.1|DSUP	LOC118510311|XP_035907841.1|ASTE
OG0000733	LOC119557492|XP_037726194.1|DSUP, LOC119552874|XP_037718702.1|DSUP	LOC118514240|XP_035916836.1|ASTE
OG0000734	LOC119558038|XP_037727114.1|DSUP, LOC119552949|XP_037718853.1|DSUP	LOC118510367|XP_035907971.1|ASTE
OG0000735	LOC119556841|XP_037725240.1|DSUP, LOC119548147|XP_037711175.1|DSUP	LOC118510613|XP_035908523.1|ASTE
OG0000736	LOC119547917|XP_037710885.1|DSUP, LOC119548672|XP_037712039.1|DSUP	LOC118512534|XP_035912979.1|ASTE
OG0000738	LOC119547765|XP_037710701.1|DSUP, LOC119547185|XP_037709848.1|DSUP	LOC118512619|XP_035913193.1|ASTE
OG0000739	LOC119560301|XP_037729600.1|DSUP, LOC119560781|XP_037730335.1|DSUP	LOC118510845|XP_035909065.1|ASTE
OG0000740	LOC119560320|XP_037729629.1|DSUP	LOC118502780|XP_035891270.1|ASTE
OG0000741	LOC119555838|XP_037723394.1|DSUP, LOC119559213|XP_037728215.1|DSUP	LOC118502614|XP_035890878.1|ASTE
OG0000742	LOC119557057|XP_037725533.1|DSUP, LOC119557278|XP_037725891.1|DSUP	LOC118505726|XP_035897798.1|ASTE
OG0000743	LOC119554683|XP_037721613.1|DSUP, LOC119551431|XP_037716701.1|DSUP, LOC119550561|XP_037715277.1|DSUP	LOC118505694|XP_035897727.1|ASTE
OG0000744	LOC119550507|XP_037715139.1|DSUP	LOC118507220|XP_035901268.1|ASTE
OG0000746	LOC119550651|XP_037715420.1|DSUP, LOC119549955|XP_037714266.1|DSUP	LOC118503396|XP_035892491.1|ASTE
OG0000753	LOC119560347|XP_037729671.1|DSUP, LOC119553970|XP_037720602.1|DSUP	LOC118503883|XP_035893534.1|ASTE
OG0000754	LOC119556179|XP_037724046.1|DSUP, LOC119557663|XP_037726450.1|DSUP	LOC118508359|XP_035903974.1|ASTE
OG0000755	LOC119550523|XP_037715165.1|DSUP, LOC119551647|XP_037717014.1|DSUP	LOC118505431|XP_035897100.1|ASTE
OG0000756	LOC119559442|XP_037728473.1|DSUP	LOC118516633|XP_035918505.1|ASTE, LOC118508314|XP_035903875.1|ASTE
OG0000756	LOC119558920|XP_037728051.1|DSUP	LOC118508313|XP_035903874.1|ASTE
OG0000757	LOC119555074|XP_037722211.1|DSUP	LOC118509782|XP_035906815.1|ASTE
OG0000758	LOC119553353|XP_037719623.1|DSUP, LOC119553352|XP_037719618.1|DSUP	LOC118511395|XP_035910318.1|ASTE
OG0000759	LOC119554831|XP_037721833.1|DSUP, LOC119554508|XP_037721374.1|DSUP	LOC118511963|XP_035911580.1|ASTE
OG0000761	LOC119547483|XP_037710297.1|DSUP, LOC119548303|XP_037711399.1|DSUP	LOC118509871|XP_035906989.1|ASTE
OG0000762	LOC119548193|XP_037711248.1|DSUP, LOC119547513|XP_037710334.1|DSUP	LOC118508964|XP_035904800.1|ASTE
OG0000764	LOC119559812|XP_037728825.1|DSUP, LOC119558353|XP_037727780.1|DSUP	LOC118506994|XP_035900771.1|ASTE, LOC118517555|XP_035919689.1|ASTE
OG0000765	LOC119554622|XP_037721544.1|DSUP, LOC119557365|XP_037726034.1|DSUP	LOC118502717|XP_035891164.1|ASTE
OG0000766	LOC119547617|XP_037710470.1|DSUP, LOC119557788|XP_037726616.1|DSUP	LOC118504471|XP_035894874.1|ASTE
OG0000767	LOC119560339|XP_037729659.1|DSUP, LOC119553433|XP_037719750.1|DSUP	LOC118506406|XP_035899371.1|ASTE
OG0000768	LOC119554688|XP_037721618.1|DSUP	LOC118506386|XP_035899318.1|ASTE
OG0000769	LOC119556301|XP_037724309.1|DSUP, LOC119557315|XP_037725955.1|DSUP	LOC118508062|XP_035903410.1|ASTE
OG0000770	LOC119551612|XP_037716950.1|DSUP	LOC118504847|XP_035895750.1|ASTE
OG0000771	LOC119554103|XP_037720781.1|DSUP, LOC119554420|XP_037721237.1|DSUP	LOC118508053|XP_035903399.1|ASTE
OG0000778	LOC119552863|XP_037718677.1|DSUP, LOC119554281|XP_037721063.1|DSUP	LOC118502985|XP_035891673.1|ASTE
OG0000779	LOC119556439|XP_037724600.1|DSUP	LOC118510036|XP_035907320.1|ASTE, LOC118510076|XP_035907371.1|ASTE, LOC118514377|XP_035917175.1|ASTE, LOC118504315|XP_035894516.1|ASTE
OG0000780	LOC119550420|XP_037715011.1|DSUP	LOC118507912|XP_035903104.1|ASTE, LOC118507895|XP_035903042.1|ASTE
OG0000781	LOC119558190|XP_037727397.1|DSUP, LOC119552605|XP_037718195.1|DSUP	LOC118516713|XP_035918561.1|ASTE
OG0000782	LOC119552799|XP_037718559.1|DSUP, LOC119556575|XP_037724802.1|DSUP	LOC118506476|XP_035899547.1|ASTE
OG0000783	LOC119554729|XP_037721676.1|DSUP, LOC119557271|XP_037725886.1|DSUP	LOC118506473|XP_035899542.1|ASTE
OG0000784	LOC119554322|XP_037721111.1|DSUP, LOC119556313|XP_037724326.1|DSUP	LOC118504553|XP_035895058.1|ASTE
OG0000785	LOC119551175|XP_037716306.1|DSUP, LOC119551164|XP_037716293.1|DSUP, LOC119547124|XP_037709767.1|DSUP	LOC118506908|XP_035900594.1|ASTE
OG0000786	LOC119558831|XP_037728027.1|DSUP, LOC119559749|XP_037728742.1|DSUP	LOC118504398|XP_035894700.1|ASTE
OG0000787	LOC119555711|XP_037723317.1|DSUP, LOC119557024|XP_037725492.1|DSUP	LOC118512886|XP_035913880.1|ASTE
OG0000788	LOC119547460|XP_037710267.1|DSUP, LOC119552879|XP_037718707.1|DSUP	LOC118513493|XP_035915210.1|ASTE
OG0000789	LOC119546356|XP_037708512.1|DSUP, LOC119548569|XP_037711815.1|DSUP	LOC118513383|XP_035914940.1|ASTE
OG0000790	LOC119548080|XP_037711093.1|DSUP, LOC119548078|XP_037711092.1|DSUP	LOC118508984|XP_035904869.1|ASTE
OG0000791	LOC119552657|XP_037718292.1|DSUP, LOC119563058|XP_037732201.1|DSUP	LOC118513700|XP_035915717.1|ASTE
OG0000792	LOC119546677|XP_037709067.1|DSUP, LOC119546676|XP_037709066.1|DSUP	LOC118508943|XP_035904744.1|ASTE
OG0000793	LOC119561096|XP_037730917.1|DSUP, LOC119558110|XP_037727263.1|DSUP	LOC118505346|XP_035896898.1|ASTE
OG0000794	LOC119548660|XP_037712007.1|DSUP, LOC119558029|XP_037727091.1|DSUP	LOC118506964|XP_035900693.1|ASTE, LOC118504524|XP_035894959.1|ASTE, LOC118505512|XP_035897304.1|ASTE
OG0000795	LOC119556113|XP_037723913.1|DSUP, LOC119557314|XP_037725956.1|DSUP	LOC118505016|XP_035896098.1|ASTE
OG0000796	LOC119560254|XP_037729546.1|DSUP, LOC119557864|XP_037726790.1|DSUP	LOC118503583|XP_035892915.1|ASTE
OG0000797	LOC119563396|XP_037732683.1|DSUP, LOC119563398|XP_037732685.1|DSUP	LOC118511901|XP_035911428.1|ASTE
OG0000798	LOC119551274|XP_037716465.1|DSUP, LOC119549207|XP_037712977.1|DSUP	LOC118507980|XP_035903226.1|ASTE
OG0000799	LOC119557970|XP_037726951.1|DSUP, LOC119556044|XP_037723766.1|DSUP	LOC118503939|XP_035893704.1|ASTE
OG0000801	LOC119550907|XP_037715824.1|DSUP, LOC119551654|XP_037717018.1|DSUP	LOC118507171|XP_035901133.1|ASTE
OG0000802	LOC119556672|XP_037724963.1|DSUP, LOC119557697|XP_037726498.1|DSUP	LOC118507962|XP_035903182.1|ASTE
OG0000810	LOC119551246|XP_037716417.1|DSUP	LOC118504299|XP_035894489.1|ASTE
OG0000811	LOC119560021|XP_037729237.1|DSUP, LOC119550597|XP_037715335.1|DSUP	LOC118511463|XP_035910457.1|ASTE
OG0000812	LOC119557281|XP_037725896.1|DSUP, LOC119552778|XP_037718517.1|DSUP	LOC118510520|XP_035908347.1|ASTE
OG0000814	LOC119546553|XP_037708840.1|DSUP	LOC118512011|XP_035911674.1|ASTE
OG0000815	LOC119547747|XP_037710671.1|DSUP	LOC118512513|XP_035912925.1|ASTE
OG0000816	LOC119556463|XP_037724638.1|DSUP, LOC119559793|XP_037728801.1|DSUP	LOC118513340|XP_035914856.1|ASTE
OG0000817	LOC119563282|XP_037732534.1|DSUP, LOC119563283|XP_037732536.1|DSUP	LOC118504936|XP_035895926.1|ASTE
OG0000818	LOC119556705|XP_037725030.1|DSUP, LOC119548649|XP_037711992.1|DSUP	LOC118504767|XP_035895590.1|ASTE
OG0000819	LOC119557002|XP_037725461.1|DSUP, LOC119556436|XP_037724597.1|DSUP	LOC118505231|XP_035896654.1|ASTE
OG0000820	LOC119556108|XP_037723907.1|DSUP, LOC119550974|XP_037715936.1|DSUP	LOC118503948|XP_035893722.1|ASTE
OG0000821	LOC119560947|XP_037730617.1|DSUP, LOC119551770|XP_037717225.1|DSUP	LOC118508179|XP_035903630.1|ASTE
OG0000822	LOC119552533|XP_037718080.1|DSUP, LOC119548798|XP_037712301.1|DSUP	LOC118510923|XP_035909226.1|ASTE
OG0000830	LOC119556322|XP_037724337.1|DSUP	LOC118507870|XP_035902970.1|ASTE, LOC118507868|XP_035902968.1|ASTE, LOC118507869|XP_035902969.1|ASTE
OG0000831	LOC119553781|XP_037720316.1|DSUP	LOC118505182|XP_035896530.1|ASTE, LOC118505183|XP_035896531.1|ASTE, LOC118506541|XP_035899725.1|ASTE
OG0000832	LOC119551843|XP_037717344.1|DSUP, LOC119546226|XP_037708293.1|DSUP	LOC118507813|XP_035902776.1|ASTE
OG0000833	LOC119555527|XP_037722880.1|DSUP	LOC118509033|XP_035904964.1|ASTE
OG0000834	LOC119563246|XP_037732484.1|DSUP, LOC119556825|XP_037725212.1|DSUP	LOC118513021|XP_035914191.1|ASTE
OG0000836	LOC119546921|XP_037709480.1|DSUP, LOC119546215|XP_037708280.1|DSUP	LOC118512536|XP_035912997.1|ASTE
OG0000837	LOC119551124|XP_037716235.1|DSUP, LOC119557450|XP_037726143.1|DSUP	LOC118504361|XP_035894647.1|ASTE
OG0000838	LOC119546557|XP_037708849.1|DSUP, LOC119546558|XP_037708850.1|DSUP	LOC118507063|XP_035900934.1|ASTE
OG0000839	LOC119560707|XP_037730228.1|DSUP, LOC119560326|XP_037729636.1|DSUP	LOC118506969|XP_035900705.1|ASTE
OG0000840	LOC119559469|XP_037728507.1|DSUP, LOC119557438|XP_037726128.1|DSUP	LOC118514125|XP_035916603.1|ASTE
OG0000842	LOC119550281|XP_037714798.1|DSUP, LOC119550149|XP_037714587.1|DSUP, LOC119547884|XP_037710853.1|DSUP	LOC118503475|XP_035892667.1|ASTE
OG0000843	LOC119551213|XP_037716376.1|DSUP	LOC118512372|XP_035912615.1|ASTE
OG0000844	LOC119549890|XP_037714125.1|DSUP, LOC119559947|XP_037729102.1|DSUP	LOC118503051|XP_035891779.1|ASTE
OG0000854	LOC119556126|XP_037723941.1|DSUP, LOC119556124|XP_037723938.1|DSUP	LOC118505768|XP_035897909.1|ASTE
OG0000855	LOC119556918|XP_037725333.1|DSUP, LOC119560653|XP_037730146.1|DSUP	LOC118506430|XP_035899436.1|ASTE
OG0000856	LOC119556944|XP_037725364.1|DSUP, LOC119553907|XP_037720506.1|DSUP	LOC118517387|XP_035919330.1|ASTE
OG0000857	LOC119556007|XP_037723699.1|DSUP	LOC118512907|XP_035913931.1|ASTE, LOC118512913|XP_035913953.1|ASTE
OG0000858	LOC119546751|XP_037709186.1|DSUP, LOC119546743|XP_037709172.1|DSUP	LOC118502828|XP_035891395.1|ASTE, LOC118505410|XP_035897052.1|ASTE, LOC118505411|XP_035897053.1|ASTE
OG0000860	LOC119552494|XP_037718024.1|DSUP, LOC119552622|XP_037718216.1|DSUP	LOC118510209|XP_035907640.1|ASTE
OG0000861	LOC119551190|XP_037716320.1|DSUP, LOC119550584|XP_037715306.1|DSUP, LOC119558812|XP_037728006.1|DSUP	LOC118511440|XP_035910432.1|ASTE, LOC118516310|XP_035918020.1|ASTE
OG0000862	LOC119551252|XP_037716425.1|DSUP, LOC119546890|XP_037709438.1|DSUP	LOC118510301|XP_035907820.1|ASTE
OG0000863	LOC119560369|XP_037729703.1|DSUP, LOC119560306|XP_037729607.1|DSUP	LOC118510334|XP_035907885.1|ASTE
OG0000864	LOC119547503|XP_037710323.1|DSUP, LOC119557822|XP_037726690.1|DSUP	LOC118505094|XP_035896286.1|ASTE
OG0000865	LOC119558265|XP_037727544.1|DSUP, LOC119561712|XP_037731140.1|DSUP	LOC118510634|XP_035908571.1|ASTE
OG0000866	LOC119548658|XP_037712000.1|DSUP, LOC119548659|XP_037712002.1|DSUP	LOC118512498|XP_035912899.1|ASTE
OG0000867	LOC119547358|XP_037710103.1|DSUP, LOC119548502|XP_037711709.1|DSUP	LOC118511650|XP_035910878.1|ASTE
OG0000868	LOC119557784|XP_037726611.1|DSUP	LOC118508503|XP_035904232.1|ASTE, LOC118511600|XP_035910774.1|ASTE
OG0000870	LOC119549962|XP_037714281.1|DSUP	LOC118507300|XP_035901561.1|ASTE
OG0000871	LOC119551015|XP_037715997.1|DSUP	LOC118508182|XP_035903632.1|ASTE, LOC118508160|XP_035903595.1|ASTE, LOC118508183|XP_035903633.1|ASTE, LOC118508387|XP_035904023.1|ASTE
OG0000872	LOC119556700|XP_037725024.1|DSUP, LOC119549224|XP_037713034.1|DSUP	LOC118503950|XP_035893728.1|ASTE
OG0000873	LOC119553214|XP_037719399.1|DSUP	LOC118507145|XP_035901074.1|ASTE, LOC118507460|XP_035901845.1|ASTE, LOC118506271|XP_035899073.1|ASTE
OG0000874	LOC119556963|XP_037725398.1|DSUP, LOC119549428|XP_037713439.1|DSUP	LOC118503109|XP_035891939.1|ASTE
OG0000875	LOC119553249|XP_037719454.1|DSUP	LOC118508404|XP_035904058.1|ASTE
OG0000882	LOC119556981|XP_037725428.1|DSUP, LOC119547657|XP_037710533.1|DSUP	LOC118517489|XP_035919578.1|ASTE
OG0000883	LOC119556418|XP_037724558.1|DSUP	LOC118504614|XP_035895188.1|ASTE, LOC118506063|XP_035898609.1|ASTE
OG0000884	LOC119547630|XP_037710488.1|DSUP, LOC119558338|XP_037727730.1|DSUP	LOC118506119|XP_035898727.1|ASTE
OG0000885	LOC119560244|XP_037729534.1|DSUP	LOC118502903|XP_035891519.1|ASTE, LOC118502902|XP_035891517.1|ASTE, LOC118502901|XP_035891516.1|ASTE
OG0000887	LOC119556695|XP_037725020.1|DSUP	LOC118511357|XP_035910211.1|ASTE, LOC118516345|XP_035918050.1|ASTE, LOC118511356|XP_035910210.1|ASTE, LOC118516344|XP_035918049.1|ASTE, LOC118509257|XP_035905485.1|ASTE, LOC118509232|XP_035905433.1|ASTE, LOC118505610|XP_035897542.1|ASTE, LOC118505611|XP_035897544.1|ASTE
OG0000888	LOC119553388|XP_037719673.1|DSUP	LOC118516418|XP_035918174.1|ASTE, LOC118509543|XP_035906181.1|ASTE
OG0000889	LOC119554130|XP_037720832.1|DSUP	LOC118512813|XP_035913661.1|ASTE
OG0000890	LOC119562479|XP_037731601.1|DSUP, LOC119551169|XP_037716295.1|DSUP	LOC118511842|XP_035911278.1|ASTE, LOC118511843|XP_035911279.1|ASTE
OG0000891	LOC119546926|XP_037709489.1|DSUP, LOC119547849|XP_037710807.1|DSUP	LOC118513936|XP_035916207.1|ASTE
OG0000892	LOC119555231|XP_037722439.1|DSUP, LOC119555435|XP_037722732.1|DSUP	LOC118511588|XP_035910732.1|ASTE
OG0000893	LOC119560177|XP_037729465.1|DSUP	LOC118503679|XP_035893114.1|ASTE, LOC118517096|XP_035918846.1|ASTE, LOC118503676|XP_035893110.1|ASTE, LOC118502462|XP_035890585.1|ASTE
OG0000894	LOC119560741|XP_037730283.1|DSUP, LOC119559946|XP_037729100.1|DSUP	LOC118502648|XP_035890990.1|ASTE
OG0000895	LOC119551844|XP_037717345.1|DSUP	LOC118504523|XP_035894958.1|ASTE
OG0000896	LOC119549864|XP_037714087.1|DSUP, LOC119556046|XP_037723767.1|DSUP	LOC118508161|XP_035903597.1|ASTE, LOC118508158|XP_035903594.1|ASTE
OG0000907	LOC119551214|XP_037716378.1|DSUP	LOC118511869|XP_035911366.1|ASTE
OG0000909	LOC119547375|XP_037710127.1|DSUP, LOC119563414|XP_037732710.1|DSUP	LOC118503116|XP_035891954.1|ASTE
OG0000910	LOC119556290|XP_037724275.1|DSUP, LOC119555638|XP_037723092.1|DSUP	LOC118514476|XP_035917293.1|ASTE
OG0000911	LOC119551874|XP_037717396.1|DSUP	LOC118510415|XP_035908076.1|ASTE
OG0000912	LOC119555476|XP_037722812.1|DSUP, LOC119555477|XP_037722813.1|DSUP	LOC118512824|XP_035913692.1|ASTE, LOC118512823|XP_035913691.1|ASTE
OG0000913	LOC119552939|XP_037718820.1|DSUP	LOC118509679|XP_035906610.1|ASTE
OG0000914	LOC119550754|XP_037715605.1|DSUP	LOC118513367|XP_035914891.1|ASTE
OG0000915	LOC119551017|XP_037715999.1|DSUP, LOC119557018|XP_037725482.1|DSUP	LOC118514577|XP_035917472.1|ASTE
OG0000916	LOC119546262|XP_037708351.1|DSUP	LOC118509337|XP_035905708.1|ASTE
OG0000917	LOC119560884|XP_037730489.1|DSUP, LOC119548724|XP_037712157.1|DSUP	LOC118510102|XP_035907426.1|ASTE
OG0000918	LOC119562707|XP_037731821.1|DSUP, LOC119548676|XP_037712047.1|DSUP	LOC118512612|XP_035913178.1|ASTE
OG0000920	LOC119558006|XP_037727041.1|DSUP	LOC118512070|XP_035911849.1|ASTE, LOC118506537|XP_035899703.1|ASTE
OG0000921	LOC119556415|XP_037724538.1|DSUP, LOC119556149|XP_037723974.1|DSUP	LOC118503009|XP_035891716.1|ASTE
OG0000922	LOC119553367|XP_037719640.1|DSUP, LOC119553366|XP_037719639.1|DSUP	LOC118503253|XP_035892184.1|ASTE, LOC118503255|XP_035892188.1|ASTE
OG0000923	LOC119553619|XP_037720012.1|DSUP, LOC119559886|XP_037728951.1|DSUP, LOC119558281|XP_037727587.1|DSUP	LOC118504234|XP_035894347.1|ASTE
OG0000924	LOC119556173|XP_037724021.1|DSUP	LOC118507197|XP_035901164.1|ASTE
OG0000925	LOC119554725|XP_037721672.1|DSUP, LOC119553857|XP_037720439.1|DSUP	LOC118504737|XP_035895507.1|ASTE
OG0000935	LOC119556611|XP_037724919.1|DSUP	LOC118508431|XP_035904105.1|ASTE, LOC118507553|XP_035902028.1|ASTE
OG0000936	LOC119559037|XP_037728092.1|DSUP, LOC119557557|XP_037726270.1|DSUP	LOC118512980|XP_035914130.1|ASTE
OG0000938	LOC119550759|XP_037715611.1|DSUP, LOC119556470|XP_037724646.1|DSUP	LOC118508148|XP_035903581.1|ASTE
OG0000939	LOC119548744|XP_037712187.1|DSUP, LOC119546082|XP_037708087.1|DSUP	LOC118513339|XP_035914854.1|ASTE
OG0000940	LOC119556967|XP_037725405.1|DSUP, LOC119554614|XP_037721536.1|DSUP	LOC118504529|XP_035894966.1|ASTE
OG0000942	LOC119552580|XP_037718139.1|DSUP	LOC118504770|XP_035895593.1|ASTE
OG0000943	LOC119549167|XP_037712888.1|DSUP	LOC118512854|XP_035913820.1|ASTE
OG0000944	LOC119557307|XP_037725947.1|DSUP, LOC119547313|XP_037710038.1|DSUP	LOC118509354|XP_035905765.1|ASTE
OG0000945	LOC119555578|XP_037722977.1|DSUP, LOC119555579|XP_037722979.1|DSUP	LOC118509858|XP_035906959.1|ASTE
OG0000946	LOC119547898|XP_037710862.1|DSUP	LOC118510035|XP_035907316.1|ASTE, LOC118512577|XP_035913093.1|ASTE
OG0000947	LOC119549382|XP_037713350.1|DSUP	LOC118513802|XP_035915895.1|ASTE, LOC118513803|XP_035915898.1|ASTE, LOC118513801|XP_035915893.1|ASTE, LOC118513800|XP_035915891.1|ASTE
OG0000948	LOC119553954|XP_037720576.1|DSUP	LOC118507585|XP_035902140.1|ASTE
OG0000949	LOC119558032|XP_037727093.1|DSUP	LOC118504586|XP_035895128.1|ASTE, LOC118504585|XP_035895126.1|ASTE
OG0000950	LOC119560419|XP_037729784.1|DSUP	LOC118505342|XP_035896892.1|ASTE
OG0000951	LOC119560429|XP_037729793.1|DSUP	LOC118505491|XP_035897238.1|ASTE
OG0000952	LOC119546764|XP_037709239.1|DSUP	LOC118514194|XP_035916776.1|ASTE
OG0000963	LOC119556831|XP_037725217.1|DSUP	LOC118516900|XP_035918640.1|ASTE
OG0000964	LOC119557012|XP_037725474.1|DSUP, LOC119551585|XP_037716913.1|DSUP	LOC118508300|XP_035903846.1|ASTE
OG0000965	LOC119558131|XP_037727291.1|DSUP	LOC118508969|XP_035904831.1|ASTE
OG0000966	LOC119559404|XP_037728400.1|DSUP, LOC119548757|XP_037712216.1|DSUP	LOC118516206|XP_035918003.1|ASTE
OG0000968	LOC119553492|XP_037719828.1|DSUP	LOC118514249|XP_035916854.1|ASTE
OG0000969	LOC119549956|XP_037714267.1|DSUP, LOC119557232|XP_037725846.1|DSUP	LOC118511848|XP_035911286.1|ASTE
OG0000970	LOC119562064|XP_037731321.1|DSUP	LOC118511626|XP_035910826.1|ASTE
OG0000971	LOC119548340|XP_037711475.1|DSUP, LOC119548170|XP_037711210.1|DSUP	LOC118514114|XP_035916583.1|ASTE, LOC118514113|XP_035916582.1|ASTE, LOC118514112|XP_035916581.1|ASTE, LOC118512504|XP_035912908.1|ASTE
OG0000972	LOC119555624|XP_037723072.1|DSUP, LOC119557926|XP_037726862.1|DSUP	LOC118513280|XP_035914739.1|ASTE
OG0000974	LOC119553488|XP_037719825.1|DSUP	LOC118508940|XP_035904742.1|ASTE
OG0000975	LOC119548237|XP_037711307.1|DSUP	LOC118502571|XP_035890786.1|ASTE
