Orthogroup	DSUP.longest_only	CCAP.longest_only
OG0000530	LOC119553729|XP_037720245.1|DSUP	CCAP1982_LOCUS11386|CAD7002920.1|CCAP
OG0000531	LOC119559722|XP_037728712.1|DSUP, LOC119546234|XP_037708307.1|DSUP	CCAP1982_LOCUS6164|CAD6997524.1|CCAP
OG0000532	LOC119560247|XP_037729539.1|DSUP, LOC119560248|XP_037729540.1|DSUP, LOC119563214|XP_037732439.1|DSUP	CCAP1982_LOCUS606|CAD6991693.1|CCAP
OG0000535	LOC119549463|XP_037713493.1|DSUP, LOC119550511|XP_037715145.1|DSUP	CCAP1982_LOCUS21016|CAD7012917.1|CCAP
OG0000536	LOC119553534|XP_037719887.1|DSUP	CCAP1982_LOCUS14724|CAD7006404.1|CCAP
OG0000537	LOC119551656|XP_037717021.1|DSUP	CCAP1982_LOCUS21949|CAD7013938.1|CCAP
OG0000538	LOC119550241|XP_037714739.1|DSUP	CCAP1982_LOCUS19765|CAD7011681.1|CCAP
OG0000538	LOC119549074|XP_037712710.1|DSUP	CCAP1982_LOCUS19763|CAD7011678.1|CCAP
OG0000539	LOC119558272|XP_037727577.1|DSUP	CCAP1982_LOCUS338|CAD6991411.1|CCAP
OG0000539	LOC119563390|XP_037732674.1|DSUP	CCAP1982_LOCUS341|CAD6991414.1|CCAP
OG0000540	LOC119548197|XP_037711254.1|DSUP, LOC119548537|XP_037711758.1|DSUP	CCAP1982_LOCUS7995|CAD6999471.1|CCAP
OG0000542	LOC119550102|XP_037714514.1|DSUP	CCAP1982_LOCUS700|CAD6991796.1|CCAP
OG0000542	LOC119558078|XP_037727227.1|DSUP	CCAP1982_LOCUS5512|CAD6996839.1|CCAP
OG0000543	LOC119551229|XP_037716396.1|DSUP	CCAP1982_LOCUS22601|CAD7014610.1|CCAP
OG0000544	LOC119553676|XP_037720148.1|DSUP	CCAP1982_LOCUS11870|CAD7003414.1|CCAP
OG0000544	LOC119560045|XP_037729278.1|DSUP	CCAP1982_LOCUS4262|CAD6995551.1|CCAP
OG0000545	LOC119552575|XP_037718133.1|DSUP	CCAP1982_LOCUS2546|CAD6993748.1|CCAP
OG0000548	LOC119555668|XP_037723203.1|DSUP, LOC119555109|XP_037722260.1|DSUP	CCAP1982_LOCUS13084|CAD7004690.1|CCAP
OG0000549	LOC119558815|XP_037728011.1|DSUP, LOC119551191|XP_037716321.1|DSUP	CCAP1982_LOCUS23354|CAD7015411.1|CCAP
OG0000550	LOC119552676|XP_037718313.1|DSUP	CCAP1982_LOCUS12168|CAD7003731.1|CCAP
OG0000550	LOC119554777|XP_037721748.1|DSUP	CCAP1982_LOCUS12162|CAD7003725.1|CCAP
OG0000551	LOC119550040|XP_037714421.1|DSUP	CCAP1982_LOCUS22914|CAD7014951.1|CCAP, CCAP1982_LOCUS22915|CAD7014952.1|CCAP
OG0000553	LOC119547272|XP_037709982.1|DSUP	CCAP1982_LOCUS7725|CAD6999189.1|CCAP, CCAP1982_LOCUS7726|CAD6999190.1|CCAP, CCAP1982_LOCUS7729|CAD6999193.1|CCAP
OG0000554	LOC119545854|XP_037707757.1|DSUP, LOC119555424|XP_037722723.1|DSUP	CCAP1982_LOCUS1799|CAD6992967.1|CCAP
OG0000555	LOC119555182|XP_037722362.1|DSUP, LOC119554855|XP_037721863.1|DSUP	CCAP1982_LOCUS11538|CAD7003075.1|CCAP
OG0000556	LOC119556933|XP_037725352.1|DSUP, LOC119563045|XP_037732178.1|DSUP	CCAP1982_LOCUS743|CAD6991844.1|CCAP
OG0000557	LOC119551964|XP_037717597.1|DSUP	CCAP1982_LOCUS805|CAD6991916.1|CCAP
OG0000557	LOC119557950|XP_037726913.1|DSUP	CCAP1982_LOCUS804|CAD6991915.1|CCAP
OG0000559	LOC119557176|XP_037725721.1|DSUP	CCAP1982_LOCUS2187|CAD6993371.1|CCAP
OG0000559	LOC119553494|XP_037719831.1|DSUP	CCAP1982_LOCUS13911|CAD7005551.1|CCAP, CCAP1982_LOCUS13913|CAD7005553.1|CCAP
OG0000560	LOC119549305|XP_037713192.1|DSUP, LOC119549304|XP_037713191.1|DSUP	CCAP1982_LOCUS20229|CAD7012131.1|CCAP
OG0000561	LOC119555023|XP_037722096.1|DSUP	CCAP1982_LOCUS14402|CAD7006067.1|CCAP
OG0000561	LOC119555031|XP_037722104.1|DSUP	CCAP1982_LOCUS14409|CAD7006074.1|CCAP
OG0000562	LOC119552742|XP_037718435.1|DSUP	CCAP1982_LOCUS13630|CAD7005273.1|CCAP
OG0000562	LOC119553638|XP_037720040.1|DSUP	CCAP1982_LOCUS13660|CAD7005303.1|CCAP
OG0000564	LOC119554140|XP_037720846.1|DSUP	CCAP1982_LOCUS10820|CAD7002332.1|CCAP
OG0000564	LOC119553637|XP_037720039.1|DSUP	CCAP1982_LOCUS10822|CAD7002334.1|CCAP
OG0000565	LOC119560191|XP_037729483.1|DSUP, LOC119558267|XP_037727545.1|DSUP, LOC119558933|XP_037728058.1|DSUP, LOC119558932|XP_037728056.1|DSUP, LOC119556934|XP_037725353.1|DSUP, LOC119557597|XP_037726330.1|DSUP	CCAP1982_LOCUS11648|CAD7003186.1|CCAP
OG0000566	LOC119563384|XP_037732664.1|DSUP	CCAP1982_LOCUS3532|CAD6994801.1|CCAP
OG0000566	LOC119553056|XP_037719100.1|DSUP	CCAP1982_LOCUS14944|CAD7006638.1|CCAP
OG0000568	LOC119556926|XP_037725342.1|DSUP, LOC119560858|XP_037730449.1|DSUP	CCAP1982_LOCUS1992|CAD6993168.1|CCAP
OG0000569	LOC119560297|XP_037729596.1|DSUP	CCAP1982_LOCUS3605|CAD6994870.1|CCAP, CCAP1982_LOCUS3641|CAD6994906.1|CCAP
OG0000569	LOC119558776|XP_037727992.1|DSUP	CCAP1982_LOCUS4158|CAD6995441.1|CCAP
OG0000570	LOC119563330|XP_037732602.1|DSUP	CCAP1982_LOCUS1165|CAD6992297.1|CCAP
OG0000570	LOC119563105|XP_037732275.1|DSUP	CCAP1982_LOCUS1164|CAD6992296.1|CCAP
OG0000571	LOC119562897|XP_037731944.1|DSUP	CCAP1982_LOCUS3952|CAD6995233.1|CCAP, CCAP1982_LOCUS3937|CAD6995218.1|CCAP
OG0000571	LOC119548884|XP_037712461.1|DSUP	CCAP1982_LOCUS3940|CAD6995221.1|CCAP
OG0000572	LOC119555588|XP_037723003.1|DSUP	CCAP1982_LOCUS1969|CAD6993143.1|CCAP
OG0000572	LOC119563091|XP_037732250.1|DSUP	CCAP1982_LOCUS1961|CAD6993135.1|CCAP
OG0000573	LOC119553735|XP_037720257.1|DSUP, LOC119552032|XP_037717699.1|DSUP	CCAP1982_LOCUS13105|CAD7004712.1|CCAP, CCAP1982_LOCUS13106|CAD7004713.1|CCAP
OG0000574	LOC119554151|XP_037720867.1|DSUP	CCAP1982_LOCUS11934|CAD7003483.1|CCAP
OG0000574	LOC119560014|XP_037729226.1|DSUP	CCAP1982_LOCUS11936|CAD7003485.1|CCAP
OG0000575	LOC119554674|XP_037721604.1|DSUP	CCAP1982_LOCUS10756|CAD7002260.1|CCAP
OG0000575	LOC119553127|XP_037719247.1|DSUP	CCAP1982_LOCUS10749|CAD7002253.1|CCAP, CCAP1982_LOCUS10759|CAD7002263.1|CCAP
OG0000576	LOC119548150|XP_037711178.1|DSUP	CCAP1982_LOCUS4375|CAD6995668.1|CCAP
OG0000577	LOC119546576|XP_037708900.1|DSUP, LOC119546139|XP_037708173.1|DSUP	CCAP1982_LOCUS7692|CAD6999153.1|CCAP
OG0000578	LOC119546980|XP_037709557.1|DSUP	CCAP1982_LOCUS5470|CAD6996797.1|CCAP
OG0000578	LOC119551660|XP_037717026.1|DSUP	CCAP1982_LOCUS12117|CAD7003680.1|CCAP, CCAP1982_LOCUS12116|CAD7003679.1|CCAP, CCAP1982_LOCUS7835|CAD6999307.1|CCAP
OG0000579	LOC119560442|XP_037729813.1|DSUP	CCAP1982_LOCUS7710|CAD6999173.1|CCAP
OG0000579	LOC119554913|XP_037721944.1|DSUP	CCAP1982_LOCUS14550|CAD7006224.1|CCAP
OG0000580	LOC119563049|XP_037732185.1|DSUP, LOC119563050|XP_037732186.1|DSUP	CCAP1982_LOCUS596|CAD6991683.1|CCAP
OG0000581	LOC119559900|XP_037728991.1|DSUP	CCAP1982_LOCUS4884|CAD6996193.1|CCAP
OG0000582	LOC119552793|XP_037718553.1|DSUP	CCAP1982_LOCUS20143|CAD7012040.1|CCAP
OG0000582	LOC119549725|XP_037713891.1|DSUP	CCAP1982_LOCUS20144|CAD7012042.1|CCAP
OG0000583	LOC119550798|XP_037715658.1|DSUP	CCAP1982_LOCUS22237|CAD7014234.1|CCAP
OG0000585	LOC119554390|XP_037721201.1|DSUP, LOC119554255|XP_037721020.1|DSUP, LOC119554081|XP_037720753.1|DSUP	CCAP1982_LOCUS11849|CAD7003391.1|CCAP
OG0000592	LOC119549721|XP_037713887.1|DSUP, LOC119550800|XP_037715661.1|DSUP	CCAP1982_LOCUS7094|CAD6998505.1|CCAP
OG0000593	LOC119561141|XP_037730971.1|DSUP, LOC119557143|XP_037725654.1|DSUP	CCAP1982_LOCUS290|CAD6991360.1|CCAP
OG0000594	LOC119557200|XP_037725786.1|DSUP, LOC119555682|XP_037723237.1|DSUP	CCAP1982_LOCUS7730|CAD6999194.1|CCAP, CCAP1982_LOCUS2388|CAD6993576.1|CCAP
OG0000595	LOC119560478|XP_037729865.1|DSUP	CCAP1982_LOCUS1188|CAD6992320.1|CCAP
OG0000595	LOC119556221|XP_037724137.1|DSUP	CCAP1982_LOCUS1912|CAD6993084.1|CCAP
OG0000596	LOC119563033|XP_037732162.1|DSUP	CCAP1982_LOCUS4258|CAD6995547.1|CCAP
OG0000597	LOC119563479|XP_037732831.1|DSUP	CCAP1982_LOCUS2271|CAD6993458.1|CCAP
OG0000598	LOC119563508|XP_037732885.1|DSUP	CCAP1982_LOCUS1620|CAD6992780.1|CCAP, CCAP1982_LOCUS1619|CAD6992779.1|CCAP
OG0000599	LOC119553487|XP_037719824.1|DSUP	CCAP1982_LOCUS12255|CAD7003822.1|CCAP
OG0000600	LOC119550130|XP_037714554.1|DSUP	CCAP1982_LOCUS23106|CAD7015156.1|CCAP
OG0000601	LOC119546803|XP_037709310.1|DSUP, LOC119547122|XP_037709760.1|DSUP	CCAP1982_LOCUS5577|CAD6996904.1|CCAP
OG0000602	LOC119547301|XP_037710021.1|DSUP	CCAP1982_LOCUS6527|CAD6997909.1|CCAP
OG0000602	LOC119547302|XP_037710022.1|DSUP	CCAP1982_LOCUS6526|CAD6997908.1|CCAP
OG0000603	LOC119553292|XP_037719539.1|DSUP, LOC119546907|XP_037709460.1|DSUP, LOC119548848|XP_037712397.1|DSUP	CCAP1982_LOCUS8475|CAD6999970.1|CCAP
OG0000604	LOC119547125|XP_037709763.1|DSUP	CCAP1982_LOCUS8179|CAD6999649.1|CCAP
OG0000604	LOC119548324|XP_037711433.1|DSUP	CCAP1982_LOCUS8178|CAD6999648.1|CCAP
OG0000605	LOC119546270|XP_037708371.1|DSUP	CCAP1982_LOCUS7962|CAD6999438.1|CCAP
OG0000607	LOC119553787|XP_037720329.1|DSUP, LOC119559274|XP_037728270.1|DSUP, LOC119559931|XP_037729066.1|DSUP	CCAP1982_LOCUS588|CAD6991675.1|CCAP
OG0000608	LOC119555935|XP_037723569.1|DSUP	CCAP1982_LOCUS21399|CAD7013330.1|CCAP
OG0000610	LOC119554927|XP_037721961.1|DSUP, LOC119550951|XP_037715905.1|DSUP	CCAP1982_LOCUS11659|CAD7003197.1|CCAP
OG0000611	LOC119551644|XP_037717003.1|DSUP, LOC119551866|XP_037717385.1|DSUP	CCAP1982_LOCUS20406|CAD7012311.1|CCAP
OG0000615	LOC119557045|XP_037725518.1|DSUP, LOC119560796|XP_037730356.1|DSUP	CCAP1982_LOCUS1729|CAD6992894.1|CCAP
OG0000617	LOC119546006|XP_037707940.1|DSUP	CCAP1982_LOCUS1174|CAD6992306.1|CCAP
OG0000617	LOC119560427|XP_037729791.1|DSUP	CCAP1982_LOCUS1175|CAD6992307.1|CCAP
OG0000618	LOC119560682|XP_037730184.1|DSUP	CCAP1982_LOCUS3215|CAD6994470.1|CCAP
OG0000619	LOC119549093|XP_037712752.1|DSUP	CCAP1982_LOCUS22996|CAD7015039.1|CCAP
OG0000620	LOC119556992|XP_037725452.1|DSUP	CCAP1982_LOCUS22364|CAD7014367.1|CCAP
OG0000620	LOC119555388|XP_037722660.1|DSUP	CCAP1982_LOCUS11828|CAD7003369.1|CCAP, CCAP1982_LOCUS11826|CAD7003367.1|CCAP
OG0000622	LOC119554820|XP_037721822.1|DSUP, LOC119554213|XP_037720946.1|DSUP	CCAP1982_LOCUS14996|CAD7006697.1|CCAP
OG0000623	LOC119554687|XP_037721617.1|DSUP	CCAP1982_LOCUS12757|CAD7004341.1|CCAP
OG0000623	LOC119552919|XP_037718787.1|DSUP	CCAP1982_LOCUS12360|CAD7003938.1|CCAP
OG0000624	LOC119551108|XP_037716216.1|DSUP	CCAP1982_LOCUS21663|CAD7013611.1|CCAP
OG0000625	LOC119555376|XP_037722647.1|DSUP, LOC119555378|XP_037722649.1|DSUP	CCAP1982_LOCUS10908|CAD7002417.1|CCAP
OG0000626	LOC119550825|XP_037715697.1|DSUP	CCAP1982_LOCUS22251|CAD7014248.1|CCAP
OG0000627	LOC119554654|XP_037721583.1|DSUP	CCAP1982_LOCUS13245|CAD7004860.1|CCAP
OG0000628	LOC119546971|XP_037709547.1|DSUP, LOC119546127|XP_037708151.1|DSUP	CCAP1982_LOCUS6489|CAD6997870.1|CCAP
OG0000629	LOC119555619|XP_037723070.1|DSUP, LOC119548807|XP_037712320.1|DSUP	CCAP1982_LOCUS7865|CAD6999338.1|CCAP
OG0000630	LOC119548358|XP_037711501.1|DSUP	CCAP1982_LOCUS6300|CAD6997670.1|CCAP
OG0000630	LOC119548258|XP_037711331.1|DSUP	CCAP1982_LOCUS6298|CAD6997668.1|CCAP
OG0000631	LOC119546519|XP_037708777.1|DSUP	CCAP1982_LOCUS8412|CAD6999902.1|CCAP
OG0000632	LOC119548395|XP_037711549.1|DSUP, LOC119546376|XP_037708536.1|DSUP	CCAP1982_LOCUS8193|CAD6999663.1|CCAP, CCAP1982_LOCUS8194|CAD6999664.1|CCAP
OG0000635	LOC119552173|XP_037717932.1|DSUP, LOC119557515|XP_037726216.1|DSUP	CCAP1982_LOCUS19400|CAD7011293.1|CCAP
OG0000639	LOC119555690|XP_037723269.1|DSUP	CCAP1982_LOCUS14414|CAD7006080.1|CCAP
OG0000642	LOC119549827|XP_037714032.1|DSUP, LOC119547557|XP_037710385.1|DSUP	CCAP1982_LOCUS12421|CAD7003999.1|CCAP, CCAP1982_LOCUS13725|CAD7005365.1|CCAP
OG0000643	LOC119561046|XP_037730808.1|DSUP, LOC119549155|XP_037712873.1|DSUP, LOC119552694|XP_037718352.1|DSUP, LOC119552675|XP_037718316.1|DSUP	CCAP1982_LOCUS2696|CAD6993903.1|CCAP
OG0000644	LOC119553941|XP_037720560.1|DSUP, LOC119553531|XP_037719885.1|DSUP, LOC119553532|XP_037719886.1|DSUP	CCAP1982_LOCUS7601|CAD6999054.1|CCAP
OG0000646	LOC119556923|XP_037725341.1|DSUP, LOC119546358|XP_037708517.1|DSUP	CCAP1982_LOCUS1477|CAD6992629.1|CCAP
OG0000650	LOC119558700|XP_037727987.1|DSUP	CCAP1982_LOCUS11792|CAD7003332.1|CCAP
OG0000651	LOC119554191|XP_037720915.1|DSUP, LOC119555631|XP_037723078.1|DSUP	CCAP1982_LOCUS13304|CAD7004921.1|CCAP
OG0000652	LOC119549577|XP_037713662.1|DSUP	CCAP1982_LOCUS22325|CAD7014328.1|CCAP
OG0000653	LOC119561053|XP_037730814.1|DSUP, LOC119560391|XP_037729745.1|DSUP	CCAP1982_LOCUS3695|CAD6994963.1|CCAP
OG0000654	LOC119555106|XP_037722253.1|DSUP	CCAP1982_LOCUS12923|CAD7004526.1|CCAP
OG0000655	LOC119551292|XP_037716498.1|DSUP, LOC119548308|XP_037711410.1|DSUP	CCAP1982_LOCUS22605|CAD7014614.1|CCAP
OG0000656	LOC119551546|XP_037716870.1|DSUP	CCAP1982_LOCUS381|CAD6991456.1|CCAP
OG0000657	LOC119548214|XP_037711275.1|DSUP	CCAP1982_LOCUS6719|CAD6998105.1|CCAP
OG0000660	LOC119548113|XP_037711135.1|DSUP	CCAP1982_LOCUS20910|CAD7012810.1|CCAP
OG0000661	LOC119553002|XP_037718950.1|DSUP, LOC119546097|XP_037708108.1|DSUP	CCAP1982_LOCUS8780|CAD7000290.1|CCAP
OG0000662	LOC119554314|XP_037721103.1|DSUP	CCAP1982_LOCUS11314|CAD7002845.1|CCAP
OG0000662	LOC119559921|XP_037729052.1|DSUP	CCAP1982_LOCUS11155|CAD7002672.1|CCAP
OG0000665	LOC119563213|XP_037732438.1|DSUP	CCAP1982_LOCUS654|CAD6991743.1|CCAP
OG0000666	LOC119551146|XP_037716265.1|DSUP	CCAP1982_LOCUS19703|CAD7011614.1|CCAP
OG0000667	LOC119556821|XP_037725200.1|DSUP, LOC119563051|XP_037732187.1|DSUP	CCAP1982_LOCUS601|CAD6991688.1|CCAP
OG0000668	LOC119554381|XP_037721190.1|DSUP	CCAP1982_LOCUS4197|CAD6995481.1|CCAP
OG0000671	LOC119560551|XP_037729985.1|DSUP	CCAP1982_LOCUS4225|CAD6995512.1|CCAP
OG0000671	LOC119561542|XP_037731123.1|DSUP	CCAP1982_LOCUS3971|CAD6995250.1|CCAP
OG0000672	LOC119556099|XP_037723890.1|DSUP	CCAP1982_LOCUS13691|CAD7005331.1|CCAP
OG0000674	LOC119562310|XP_037731393.1|DSUP, LOC119559641|XP_037728617.1|DSUP, LOC119559632|XP_037728600.1|DSUP, LOC119548513|XP_037711729.1|DSUP	CCAP1982_LOCUS13040|CAD7004645.1|CCAP
OG0000675	LOC119547910|XP_037710876.1|DSUP, LOC119547909|XP_037710875.1|DSUP	CCAP1982_LOCUS8664|CAD7000172.1|CCAP, CCAP1982_LOCUS8654|CAD7000162.1|CCAP, CCAP1982_LOCUS8655|CAD7000163.1|CCAP, CCAP1982_LOCUS8653|CAD7000161.1|CCAP
OG0000678	LOC119545843|XP_037707736.1|DSUP, LOC119547334|XP_037710072.1|DSUP	CCAP1982_LOCUS4210|CAD6995497.1|CCAP
OG0000683	LOC119563455|XP_037732790.1|DSUP	CCAP1982_LOCUS2676|CAD6993882.1|CCAP
OG0000684	LOC119557284|XP_037725906.1|DSUP, LOC119563031|XP_037732159.1|DSUP	CCAP1982_LOCUS1800|CAD6992968.1|CCAP
OG0000685	LOC119559803|XP_037728813.1|DSUP	CCAP1982_LOCUS2796|CAD6994019.1|CCAP
OG0000686	LOC119551344|XP_037716588.1|DSUP	CCAP1982_LOCUS22639|CAD7014650.1|CCAP
OG0000687	LOC119550783|XP_037715643.1|DSUP, LOC119553129|XP_037719250.1|DSUP	CCAP1982_LOCUS13133|CAD7004740.1|CCAP
OG0000688	LOC119551677|XP_037717060.1|DSUP	CCAP1982_LOCUS22352|CAD7014355.1|CCAP
OG0000689	LOC119551614|XP_037716954.1|DSUP, LOC119551613|XP_037716951.1|DSUP	CCAP1982_LOCUS22767|CAD7014799.1|CCAP
OG0000691	LOC119548792|XP_037712296.1|DSUP, LOC119553581|XP_037719958.1|DSUP	CCAP1982_LOCUS11669|CAD7003209.1|CCAP
OG0000692	LOC119555119|XP_037722272.1|DSUP	CCAP1982_LOCUS12234|CAD7003801.1|CCAP
OG0000692	LOC119555317|XP_037722569.1|DSUP	CCAP1982_LOCUS12235|CAD7003802.1|CCAP
OG0000693	LOC119557022|XP_037725487.1|DSUP	CCAP1982_LOCUS23258|CAD7015313.1|CCAP
OG0000693	LOC119560705|XP_037730224.1|DSUP	CCAP1982_LOCUS633|CAD6991720.1|CCAP
OG0000695	LOC119562399|XP_037731519.1|DSUP	CCAP1982_LOCUS8997|CAD7000519.1|CCAP
OG0000696	LOC119545979|XP_037707884.1|DSUP	CCAP1982_LOCUS8834|CAD7000352.1|CCAP
OG0000697	LOC119562576|XP_037731719.1|DSUP	CCAP1982_LOCUS6273|CAD6997638.1|CCAP
OG0000698	LOC119546672|XP_037709059.1|DSUP	CCAP1982_LOCUS8717|CAD7000225.1|CCAP
OG0000699	LOC119547751|XP_037710675.1|DSUP, LOC119559154|XP_037728154.1|DSUP	CCAP1982_LOCUS6551|CAD6997933.1|CCAP
OG0000700	LOC119547709|XP_037710612.1|DSUP, LOC119547977|XP_037710957.1|DSUP	CCAP1982_LOCUS7365|CAD6998816.1|CCAP
OG0000701	LOC119550067|XP_037714459.1|DSUP	CCAP1982_LOCUS22532|CAD7014531.1|CCAP
OG0000702	LOC119552826|XP_037718700.1|DSUP, LOC119552880|XP_037718803.1|DSUP	CCAP1982_LOCUS883|CAD6991997.1|CCAP
OG0000703	LOC119552097|XP_037717807.1|DSUP	CCAP1982_LOCUS7246|CAD6998688.1|CCAP
OG0000705	LOC119553361|XP_037719635.1|DSUP, LOC119553360|XP_037719633.1|DSUP	CCAP1982_LOCUS12768|CAD7004352.1|CCAP
OG0000710	LOC119559795|XP_037728804.1|DSUP, LOC119550977|XP_037715940.1|DSUP	CCAP1982_LOCUS23336|CAD7015392.1|CCAP
OG0000712	LOC119559971|XP_037729135.1|DSUP, LOC119560644|XP_037730126.1|DSUP	CCAP1982_LOCUS637|CAD6991724.1|CCAP
OG0000713	LOC119549997|XP_037714338.1|DSUP	CCAP1982_LOCUS23194|CAD7015244.1|CCAP
OG0000715	LOC119554209|XP_037720938.1|DSUP, LOC119554412|XP_037721230.1|DSUP	CCAP1982_LOCUS14124|CAD7005776.1|CCAP
OG0000716	LOC119556945|XP_037725366.1|DSUP, LOC119553497|XP_037719837.1|DSUP	CCAP1982_LOCUS14228|CAD7005886.1|CCAP
OG0000717	LOC119554879|XP_037721893.1|DSUP	CCAP1982_LOCUS13750|CAD7005390.1|CCAP
OG0000719	LOC119554108|XP_037720802.1|DSUP, LOC119554476|XP_037721320.1|DSUP	CCAP1982_LOCUS12110|CAD7003673.1|CCAP
OG0000720	LOC119557676|XP_037726476.1|DSUP, LOC119560839|XP_037730418.1|DSUP, LOC119560283|XP_037729582.1|DSUP, LOC119560285|XP_037729584.1|DSUP, LOC119554260|XP_037721034.1|DSUP	CCAP1982_LOCUS3915|CAD6995196.1|CCAP
OG0000721	LOC119546993|XP_037709585.1|DSUP	CCAP1982_LOCUS8756|CAD7000266.1|CCAP, CCAP1982_LOCUS8755|CAD7000265.1|CCAP
OG0000722	LOC119550165|XP_037714628.1|DSUP, LOC119550329|XP_037714863.1|DSUP, LOC119549850|XP_037714074.1|DSUP	CCAP1982_LOCUS21839|CAD7013819.1|CCAP
OG0000723	LOC119551691|XP_037717088.1|DSUP	CCAP1982_LOCUS23002|CAD7015045.1|CCAP, CCAP1982_LOCUS23011|CAD7015054.1|CCAP, CCAP1982_LOCUS22997|CAD7015040.1|CCAP, CCAP1982_LOCUS22989|CAD7015032.1|CCAP
OG0000726	LOC119555093|XP_037722240.1|DSUP, LOC119555100|XP_037722250.1|DSUP	CCAP1982_LOCUS4572|CAD6995871.1|CCAP
OG0000728	LOC119563243|XP_037732478.1|DSUP	CCAP1982_LOCUS2587|CAD6993789.1|CCAP
OG0000729	LOC119562955|XP_037732056.1|DSUP, LOC119563441|XP_037732760.1|DSUP	CCAP1982_LOCUS3800|CAD6995077.1|CCAP
OG0000730	LOC119556899|XP_037725311.1|DSUP, LOC119546491|XP_037708716.1|DSUP	CCAP1982_LOCUS11317|CAD7002848.1|CCAP
OG0000731	LOC119554839|XP_037721841.1|DSUP, LOC119551725|XP_037717155.1|DSUP	CCAP1982_LOCUS21712|CAD7013669.1|CCAP
OG0000732	LOC119554153|XP_037720869.1|DSUP	CCAP1982_LOCUS11935|CAD7003484.1|CCAP
OG0000733	LOC119557492|XP_037726194.1|DSUP, LOC119552874|XP_037718702.1|DSUP	CCAP1982_LOCUS11956|CAD7003506.1|CCAP, CCAP1982_LOCUS11588|CAD7003126.1|CCAP
OG0000734	LOC119558038|XP_037727114.1|DSUP	CCAP1982_LOCUS11176|CAD7002699.1|CCAP
OG0000734	LOC119552949|XP_037718853.1|DSUP	CCAP1982_LOCUS11177|CAD7002700.1|CCAP
OG0000735	LOC119548147|XP_037711175.1|DSUP	CCAP1982_LOCUS5622|CAD6996955.1|CCAP
OG0000736	LOC119547917|XP_037710885.1|DSUP, LOC119548672|XP_037712039.1|DSUP	CCAP1982_LOCUS7876|CAD6999349.1|CCAP
OG0000737	LOC119549271|XP_037713110.1|DSUP	CCAP1982_LOCUS21802|CAD7013779.1|CCAP
OG0000739	LOC119560301|XP_037729600.1|DSUP, LOC119560781|XP_037730335.1|DSUP	CCAP1982_LOCUS4635|CAD6995933.1|CCAP
OG0000740	LOC119560320|XP_037729629.1|DSUP	CCAP1982_LOCUS851|CAD6991963.1|CCAP
OG0000743	LOC119554683|XP_037721613.1|DSUP, LOC119551431|XP_037716701.1|DSUP, LOC119550561|XP_037715277.1|DSUP	CCAP1982_LOCUS12884|CAD7004479.1|CCAP
OG0000744	LOC119550507|XP_037715139.1|DSUP	CCAP1982_LOCUS20285|CAD7012184.1|CCAP
OG0000746	LOC119550651|XP_037715420.1|DSUP, LOC119549955|XP_037714266.1|DSUP	CCAP1982_LOCUS7111|CAD6998524.1|CCAP
OG0000747	LOC119554430|XP_037721250.1|DSUP	CCAP1982_LOCUS14652|CAD7006330.1|CCAP
OG0000747	LOC119554982|XP_037722043.1|DSUP	CCAP1982_LOCUS14644|CAD7006322.1|CCAP
OG0000750	LOC119549828|XP_037714035.1|DSUP, LOC119549829|XP_037714036.1|DSUP, LOC119562920|XP_037731997.1|DSUP	CCAP1982_LOCUS5975|CAD6997343.1|CCAP
OG0000753	LOC119560347|XP_037729671.1|DSUP	CCAP1982_LOCUS3763|CAD6995033.1|CCAP
OG0000755	LOC119550523|XP_037715165.1|DSUP, LOC119551647|XP_037717014.1|DSUP	CCAP1982_LOCUS2374|CAD6993561.1|CCAP
OG0000756	LOC119559442|XP_037728473.1|DSUP	CCAP1982_LOCUS3474|CAD6994741.1|CCAP
OG0000757	LOC119555074|XP_037722211.1|DSUP	CCAP1982_LOCUS12322|CAD7003892.1|CCAP
OG0000758	LOC119553353|XP_037719623.1|DSUP, LOC119553352|XP_037719618.1|DSUP	CCAP1982_LOCUS10824|CAD7002337.1|CCAP, CCAP1982_LOCUS10825|CAD7002339.1|CCAP
OG0000759	LOC119554831|XP_037721833.1|DSUP, LOC119554508|XP_037721374.1|DSUP	CCAP1982_LOCUS11488|CAD7003025.1|CCAP
OG0000760	LOC119551249|XP_037716421.1|DSUP	CCAP1982_LOCUS23060|CAD7015107.1|CCAP
OG0000762	LOC119548193|XP_037711248.1|DSUP	CCAP1982_LOCUS5527|CAD6996851.1|CCAP
OG0000763	LOC119548184|XP_037711227.1|DSUP	CCAP1982_LOCUS7967|CAD6999443.1|CCAP
OG0000763	LOC119548185|XP_037711228.1|DSUP	CCAP1982_LOCUS7966|CAD6999442.1|CCAP
OG0000764	LOC119559812|XP_037728825.1|DSUP, LOC119558353|XP_037727780.1|DSUP	CCAP1982_LOCUS9835|CAD7001338.1|CCAP, CCAP1982_LOCUS9837|CAD7001340.1|CCAP
OG0000767	LOC119560339|XP_037729659.1|DSUP, LOC119553433|XP_037719750.1|DSUP	CCAP1982_LOCUS13379|CAD7005004.1|CCAP
OG0000768	LOC119554688|XP_037721618.1|DSUP	CCAP1982_LOCUS13967|CAD7005608.1|CCAP
