Orthogroup	DSUP.longest_only	CQUI.longest_only
OG0001864	LOC119560954|XP_037730625.1|DSUP	LOC6053324|XP_038105480.1|CQUI
OG0001865	LOC119556160|XP_037723990.1|DSUP	LOC6042722|XP_001870739.2|CQUI
OG0001866	LOC119563300|XP_037732557.1|DSUP	LOC6042730|XP_038104345.1|CQUI
OG0001867	LOC119555648|XP_037723134.1|DSUP	LOC6048195|XP_038116728.1|CQUI
OG0001868	LOC119547928|XP_037710901.1|DSUP	LOC6052598|XP_038104287.1|CQUI
OG0001869	LOC119562962|XP_037732065.1|DSUP	LOC6038423|XP_038105660.1|CQUI
OG0001870	LOC119556443|XP_037724605.1|DSUP	LOC6044993|XP_001862417.2|CQUI
OG0001871	LOC119557400|XP_037726073.1|DSUP	LOC6039039|XP_038104101.1|CQUI
OG0001872	LOC119555255|XP_037722485.1|DSUP	LOC6034331|XP_038122572.1|CQUI
OG0001873	LOC119560474|XP_037729862.1|DSUP	LOC6045619|XP_038104541.1|CQUI
OG0001874	LOC119546958|XP_037709533.1|DSUP	LOC6043591|XP_038105079.1|CQUI
OG0001875	LOC119563503|XP_037732874.1|DSUP	LOC6047655|XP_038112718.1|CQUI
OG0001876	LOC119556543|XP_037724754.1|DSUP	LOC6034410|XP_001844728.2|CQUI
OG0001877	LOC119557052|XP_037725526.1|DSUP	LOC6034426|XP_001844744.2|CQUI
OG0001878	LOC119557578|XP_037726308.1|DSUP	LOC6034484|XP_038114409.1|CQUI
OG0001879	LOC119563248|XP_037732487.1|DSUP	LOC6034762|XP_038105957.1|CQUI
OG0001880	LOC119560743|XP_037730285.1|DSUP	LOC6036518|XP_001846563.2|CQUI
OG0001881	LOC119560628|XP_037730099.1|DSUP	LOC6035632|XP_038104495.1|CQUI
OG0001882	LOC119549008|XP_037712578.1|DSUP	LOC6035646|XP_001845785.2|CQUI
OG0001883	LOC119563018|XP_037732140.1|DSUP	LOC6044618|XP_038104449.1|CQUI
OG0001884	LOC119563524|XP_037732922.1|DSUP, LOC119561850|XP_037731260.1|DSUP	LOC6035062|XP_001845298.1|CQUI
OG0001885	LOC119548485|XP_037711686.1|DSUP	LOC119767037|XP_038110218.1|CQUI
OG0001886	LOC119555852|XP_037723417.1|DSUP, LOC119555843|XP_037723403.1|DSUP	LOC6044851|XP_001862296.1|CQUI
OG0001887	LOC119551374|XP_037716623.1|DSUP	LOC6038584|XP_001848366.1|CQUI
OG0001888	LOC119560090|XP_037729337.1|DSUP	LOC6041722|XP_038122909.1|CQUI
OG0001889	LOC119557816|XP_037726682.1|DSUP	LOC6041728|XP_001850950.2|CQUI
OG0001890	LOC119555264|XP_037722495.1|DSUP	LOC119765309|XP_038104857.1|CQUI
OG0001891	LOC119545747|XP_037707507.1|DSUP	LOC6043184|XP_038105459.1|CQUI
OG0001892	LOC119562488|XP_037731620.1|DSUP	LOC6035555|XP_001845713.2|CQUI
OG0001893	LOC119554458|XP_037721301.1|DSUP	LOC6032693|XP_038105722.1|CQUI
OG0001894	LOC119551330|XP_037716557.1|DSUP	LOC6032687|XP_001843247.2|CQUI
OG0001895	LOC119548219|XP_037711320.1|DSUP	LOC6032626|XP_038117551.1|CQUI
OG0001896	LOC119562860|XP_037731901.1|DSUP	LOC6033243|XP_038122668.1|CQUI
OG0001897	LOC119559844|XP_037728869.1|DSUP	LOC6046290|XP_038104836.1|CQUI
OG0001898	LOC119557454|XP_037726147.1|DSUP	LOC6031568|XP_001842347.2|CQUI
OG0001899	LOC119561066|XP_037730836.1|DSUP	LOC6033679|XP_038122988.1|CQUI
OG0001900	LOC119553436|XP_037719754.1|DSUP	LOC6041148|XP_038110611.1|CQUI
OG0001901	LOC119548781|XP_037712269.1|DSUP	LOC6033710|XP_038105128.1|CQUI
OG0001902	LOC119562437|XP_037731550.1|DSUP, LOC119559301|XP_037728308.1|DSUP, LOC119559291|XP_037728296.1|DSUP	LOC6035419|XP_038119268.1|CQUI
OG0001905	LOC119557998|XP_037727028.1|DSUP	LOC6040704|XP_001850058.2|CQUI
OG0001906	LOC119560886|XP_037730500.1|DSUP	LOC6037489|XP_038105690.1|CQUI
OG0001907	LOC119556481|XP_037724662.1|DSUP	LOC6038035|XP_038114494.1|CQUI
OG0001908	LOC119554202|XP_037720934.1|DSUP	LOC6042396|XP_038108468.1|CQUI
OG0001909	LOC119558251|XP_037727505.1|DSUP	LOC6032044|XP_038104689.1|CQUI
OG0001910	LOC119560590|XP_037730043.1|DSUP	LOC6035189|XP_038105072.1|CQUI, LOC6035190|XP_001845420.2|CQUI
OG0001912	LOC119549487|XP_037713518.1|DSUP	LOC6033909|XP_001844298.2|CQUI
OG0001913	LOC119546410|XP_037708597.1|DSUP	LOC6033916|XP_001844305.2|CQUI, LOC6033914|XP_038109497.1|CQUI, LOC6033918|XP_001844307.2|CQUI
OG0001914	LOC119550213|XP_037714701.1|DSUP	LOC6044843|XP_001862288.2|CQUI, LOC6033904|XP_001844293.2|CQUI
OG0001915	LOC119553188|XP_037719363.1|DSUP	LOC6032785|XP_038118978.1|CQUI
OG0001916	LOC119550002|XP_037714351.1|DSUP	LOC6032807|XP_038118971.1|CQUI
OG0001917	LOC119555222|XP_037722422.1|DSUP	LOC6032905|XP_038116382.1|CQUI
OG0001918	LOC119554250|XP_037721016.1|DSUP	LOC6038679|XP_001848434.2|CQUI, LOC119767328|XP_038111632.1|CQUI
OG0001919	LOC119551275|XP_037716469.1|DSUP	LOC6041034|XP_001850345.2|CQUI
OG0001920	LOC119552598|XP_037718182.1|DSUP	LOC6053530|XP_038119323.1|CQUI
OG0001921	LOC119549015|XP_037712586.1|DSUP	LOC6031101|XP_001841948.2|CQUI
OG0001922	LOC119550189|XP_037714658.1|DSUP	LOC119770110|XP_038120318.1|CQUI, LOC6050944|XP_001867457.2|CQUI
OG0001924	LOC119562590|XP_037731739.1|DSUP	LOC6047853|XP_001864856.2|CQUI
OG0001925	LOC119555563|XP_037722940.1|DSUP	LOC6044576|XP_001862068.2|CQUI
OG0001926	LOC119554946|XP_037721984.1|DSUP	LOC6031058|XP_038117318.1|CQUI
OG0001927	LOC119549794|XP_037713987.1|DSUP	LOC6042822|XP_038119054.1|CQUI
OG0001928	LOC119553205|XP_037719385.1|DSUP	LOC6042827|XP_001870824.2|CQUI
OG0001929	LOC119553672|XP_037720113.1|DSUP	LOC6044582|XP_038117729.1|CQUI
OG0001930	LOC119551099|XP_037716206.1|DSUP	LOC6052394|XP_038121632.1|CQUI
OG0001932	LOC119555482|XP_037722816.1|DSUP	LOC6044950|XP_038115259.1|CQUI
OG0001933	LOC119551038|XP_037716075.1|DSUP	LOC6051407|XP_001867852.2|CQUI
OG0001934	LOC119554380|XP_037721189.1|DSUP	LOC119765391|XP_038105089.1|CQUI, LOC6047375|XP_001864443.2|CQUI
OG0001935	LOC119552954|XP_037718864.1|DSUP	LOC6038818|XP_038120855.1|CQUI
OG0001937	LOC119549958|XP_037714270.1|DSUP	LOC6042011|XP_038115412.1|CQUI
OG0001938	LOC119551529|XP_037716843.1|DSUP	LOC6044645|XP_038115793.1|CQUI
OG0001939	LOC119550858|XP_037715761.1|DSUP	LOC6048509|XP_001865422.2|CQUI
OG0001940	LOC119551981|XP_037717624.1|DSUP	LOC6048947|XP_001865782.2|CQUI
OG0001941	LOC119553561|XP_037719933.1|DSUP	LOC6036592|XP_038117237.1|CQUI
OG0001942	LOC119552060|XP_037717750.1|DSUP	LOC6041098|XP_038119257.1|CQUI, LOC6037316|XP_001847243.2|CQUI, LOC6041117|XP_038121399.1|CQUI
OG0001943	LOC119554584|XP_037721494.1|DSUP	LOC119769729|XP_038119123.1|CQUI
OG0001944	LOC119555553|XP_037722926.1|DSUP	LOC6053439|XP_001869521.2|CQUI
OG0001945	LOC119549209|XP_037712985.1|DSUP	LOC6041342|XP_038121860.1|CQUI
OG0001946	LOC119550048|XP_037714430.1|DSUP	LOC6050479|XP_001867082.1|CQUI
OG0001947	LOC119551116|XP_037716225.1|DSUP	LOC6050483|XP_001867086.1|CQUI
OG0001948	LOC119556601|XP_037724841.1|DSUP	LOC6048050|XP_038116081.1|CQUI
OG0001949	LOC119553826|XP_037720385.1|DSUP	LOC6050155|XP_038115622.1|CQUI
OG0001950	LOC119560631|XP_037730102.1|DSUP	LOC6044944|XP_038114752.1|CQUI
OG0001951	LOC119551001|XP_037715978.1|DSUP	LOC6038589|XP_038122017.1|CQUI
OG0001952	LOC119561994|XP_037731313.1|DSUP	LOC6051573|XP_038119566.1|CQUI
OG0001953	LOC119551039|XP_037716077.1|DSUP	LOC6037139|XP_001847079.2|CQUI
OG0001954	LOC119551621|XP_037716972.1|DSUP	LOC6036398|XP_038119152.1|CQUI
OG0001955	LOC119549280|XP_037713141.1|DSUP	LOC6036401|XP_001846454.2|CQUI
OG0001956	LOC119552922|XP_037718789.1|DSUP	LOC6036547|XP_038117528.1|CQUI
OG0001957	LOC119551304|XP_037716527.1|DSUP	LOC6036275|XP_001846341.1|CQUI
OG0001958	LOC119549220|XP_037713021.1|DSUP	LOC6033549|XP_038117713.1|CQUI
OG0001959	LOC119553699|XP_037720185.1|DSUP	LOC6038392|XP_001848199.2|CQUI, LOC6037710|XP_038114451.1|CQUI
OG0001960	LOC119553501|XP_037719849.1|DSUP	LOC6040613|XP_001849983.2|CQUI
OG0001962	LOC119551329|XP_037716556.1|DSUP	LOC6035473|XP_038120793.1|CQUI
OG0001963	LOC119553807|XP_037720355.1|DSUP	LOC6033576|XP_038116392.1|CQUI
OG0001964	LOC119554231|XP_037720989.1|DSUP	LOC119770350|XP_038120975.1|CQUI
OG0001966	LOC119562905|XP_037731973.1|DSUP	LOC6045542|XP_038120964.1|CQUI
OG0001967	LOC119551892|XP_037717422.1|DSUP	LOC6037159|XP_038116491.1|CQUI
OG0001968	LOC119553182|XP_037719352.1|DSUP	LOC119769837|XP_038119461.1|CQUI
OG0001969	LOC119550171|XP_037714633.1|DSUP, LOC119559591|XP_037728534.1|DSUP	LOC6043784|XP_001861388.2|CQUI
OG0001970	LOC119550390|XP_037714969.1|DSUP	LOC6033499|XP_001843940.1|CQUI
OG0001971	LOC119551239|XP_037716407.1|DSUP, LOC119562441|XP_037731553.1|DSUP, LOC119559125|XP_037728130.1|DSUP	LOC119770383|XP_038121065.1|CQUI
OG0001972	LOC119549567|XP_037713646.1|DSUP	LOC6050813|XP_038115650.1|CQUI
OG0001973	LOC119558711|XP_037727983.1|DSUP, LOC119558629|XP_037727961.1|DSUP, LOC119550335|XP_037714882.1|DSUP	LOC6030808|XP_038115981.1|CQUI
OG0001974	LOC119552079|XP_037717783.1|DSUP	LOC6040965|XP_001850286.2|CQUI
OG0001975	LOC119554369|XP_037721177.1|DSUP	LOC6047202|XP_001864288.2|CQUI
OG0001976	LOC119549256|XP_037713090.1|DSUP	LOC6037093|XP_001847040.1|CQUI
OG0001977	LOC119548050|XP_037711058.1|DSUP	LOC119767020|XP_038110184.1|CQUI, LOC6032497|XP_001843086.1|CQUI
OG0001978	LOC119548085|XP_037711099.1|DSUP	LOC6034119|XP_038111127.1|CQUI
OG0001979	LOC119548070|XP_037711085.1|DSUP	LOC6046047|XP_001863303.1|CQUI
OG0001980	LOC119545985|XP_037707894.1|DSUP	LOC6048883|XP_001865727.2|CQUI
OG0001981	LOC119546716|XP_037709131.1|DSUP	LOC6041637|XP_038113783.1|CQUI
OG0001982	LOC119561785|XP_037731195.1|DSUP	LOC6046048|XP_001863304.2|CQUI
OG0001983	LOC119559655|XP_037728631.1|DSUP	LOC6037074|XP_038109968.1|CQUI
OG0001984	LOC119562625|XP_037731783.1|DSUP, LOC119562629|XP_037731784.1|DSUP	LOC6043314|XP_038108458.1|CQUI
OG0001985	LOC119547955|XP_037710933.1|DSUP	LOC6041484|XP_038107733.1|CQUI
OG0001986	LOC119547268|XP_037709978.1|DSUP	LOC6039572|XP_038113369.1|CQUI
OG0001987	LOC119558350|XP_037727776.1|DSUP	LOC6033795|XP_038108902.1|CQUI, LOC6047193|XP_038106698.1|CQUI
OG0001988	LOC119552044|XP_037717715.1|DSUP	LOC6031811|XP_038108479.1|CQUI
OG0001989	LOC119547335|XP_037710073.1|DSUP	LOC6038274|XP_001848097.2|CQUI
OG0001990	LOC119548194|XP_037711249.1|DSUP	LOC6038269|XP_038107998.1|CQUI
OG0001991	LOC119559705|XP_037728694.1|DSUP	LOC6045657|XP_038110933.1|CQUI
OG0001992	LOC119546518|XP_037708775.1|DSUP	LOC6048798|XP_038109494.1|CQUI
OG0001993	LOC119547770|XP_037710710.1|DSUP	LOC6034237|XP_001844584.2|CQUI, LOC6040852|XP_001850184.1|CQUI
OG0001994	LOC119547802|XP_037710749.1|DSUP	LOC6031207|XP_001842041.2|CQUI
OG0001995	LOC119546087|XP_037708095.1|DSUP	LOC6033195|XP_001843675.2|CQUI
OG0001996	LOC119547327|XP_037710060.1|DSUP	LOC6031275|XP_038108642.1|CQUI
OG0001997	LOC119550773|XP_037715630.1|DSUP	LOC6042869|XP_001853641.1|CQUI
OG0001998	LOC119550768|XP_037715622.1|DSUP	LOC6052519|XP_038108714.1|CQUI
OG0001999	LOC119549404|XP_037713386.1|DSUP	LOC6049002|XP_038107788.1|CQUI
OG0002000	LOC119548392|XP_037711546.1|DSUP	LOC6054187|XP_038109989.1|CQUI
OG0002001	LOC119548626|XP_037711932.1|DSUP	LOC6033119|XP_038108756.1|CQUI
OG0002002	LOC119549796|XP_037713990.1|DSUP	LOC6042111|XP_001851261.2|CQUI
OG0002003	LOC119548761|XP_037712228.1|DSUP	LOC6044259|XP_001861798.1|CQUI
OG0002004	LOC119548864|XP_037712419.1|DSUP	LOC6036173|XP_038111988.1|CQUI
OG0002005	LOC119546450|XP_037708652.1|DSUP	LOC6033275|XP_038111843.1|CQUI
OG0002006	LOC119548719|XP_037712123.1|DSUP	LOC6033224|XP_038110957.1|CQUI
OG0002008	LOC119562929|XP_037732011.1|DSUP	LOC6036447|XP_038109172.1|CQUI
OG0002009	LOC119550296|XP_037714818.1|DSUP	LOC6036465|XP_038112709.1|CQUI
OG0002010	LOC119546081|XP_037708085.1|DSUP	LOC6036482|XP_001846532.2|CQUI
OG0002011	LOC119547527|XP_037710348.1|DSUP	LOC6034391|XP_001844709.2|CQUI
OG0002012	LOC119546039|XP_037707988.1|DSUP	LOC6036347|XP_038112714.1|CQUI
OG0002013	LOC119546540|XP_037708810.1|DSUP	LOC6046639|XP_038107918.1|CQUI
OG0002014	LOC119551081|XP_037716172.1|DSUP	LOC6035997|XP_038111448.1|CQUI
OG0002015	LOC119548287|XP_037711381.1|DSUP	LOC6034825|XP_001845096.2|CQUI
OG0002016	LOC119549417|XP_037713416.1|DSUP	LOC6050974|XP_038107602.1|CQUI
OG0002017	LOC119546895|XP_037709446.1|DSUP	LOC6054171|XP_038108914.1|CQUI
OG0002018	LOC119546152|XP_037708189.1|DSUP	LOC6032135|XP_001842789.2|CQUI
OG0002019	LOC119546402|XP_037708588.1|DSUP	LOC6046126|XP_038110758.1|CQUI
OG0002020	LOC119546101|XP_037708112.1|DSUP	LOC6038005|XP_038108837.1|CQUI
OG0002021	LOC119552020|XP_037717685.1|DSUP	LOC6037998|XP_001847845.2|CQUI
OG0002022	LOC119546272|XP_037708372.1|DSUP	LOC119767624|XP_038112509.1|CQUI
OG0002023	LOC119556335|XP_037724357.1|DSUP	LOC6036020|XP_038109557.1|CQUI
OG0002024	LOC119546878|XP_037709414.1|DSUP	LOC6033634|XP_001844061.1|CQUI
OG0002025	LOC119547298|XP_037710015.1|DSUP	LOC6048337|XP_038109427.1|CQUI
OG0002026	LOC119553321|XP_037719579.1|DSUP	LOC6046087|XP_038119029.1|CQUI
OG0002027	LOC119550996|XP_037715969.1|DSUP	LOC6038993|XP_038118649.1|CQUI
OG0002028	LOC119549075|XP_037712712.1|DSUP	LOC6038987|XP_038119452.1|CQUI
OG0002029	LOC119555574|XP_037722971.1|DSUP	LOC6044744|XP_038117028.1|CQUI
OG0002030	LOC119550110|XP_037714519.1|DSUP	LOC6036738|XP_001846737.1|CQUI
OG0002031	LOC119559403|XP_037728397.1|DSUP	LOC6034192|XP_001844547.2|CQUI
OG0002032	LOC119559908|XP_037729013.1|DSUP	LOC6047494|XP_001864549.2|CQUI
OG0002033	LOC119558037|XP_037727113.1|DSUP	LOC6033021|XP_038119287.1|CQUI
OG0002034	LOC119558097|XP_037727236.1|DSUP	LOC6033038|XP_038115410.1|CQUI
OG0002036	LOC119559901|XP_037728994.1|DSUP	LOC6050995|XP_038121187.1|CQUI
OG0002037	LOC119553628|XP_037720025.1|DSUP	LOC6046238|XP_001863465.1|CQUI
OG0002038	LOC119560182|XP_037729469.1|DSUP	LOC6048866|XP_001865713.1|CQUI
OG0002039	LOC119561800|XP_037731210.1|DSUP	LOC6041739|XP_001850959.1|CQUI
OG0002040	LOC119562335|XP_037731430.1|DSUP	LOC6049016|XP_038115728.1|CQUI
OG0002041	LOC119552164|XP_037717912.1|DSUP	LOC6053561|XP_038121322.1|CQUI
OG0002042	LOC119560904|XP_037730531.1|DSUP	LOC6042060|XP_001851213.1|CQUI
OG0002043	LOC119560739|XP_037730281.1|DSUP	LOC6046279|XP_001863506.2|CQUI
OG0002044	LOC119563397|XP_037732688.1|DSUP	LOC6049246|XP_038115174.1|CQUI
OG0002045	LOC119560823|XP_037730396.1|DSUP	LOC6046000|XP_038119279.1|CQUI
OG0002046	LOC119557288|XP_037725907.1|DSUP, LOC119557960|XP_037726930.1|DSUP	LOC6044308|XP_038119321.1|CQUI
OG0002047	LOC119556072|XP_037723817.1|DSUP	LOC6050271|XP_038122220.1|CQUI
OG0002048	LOC119563334|XP_037732607.1|DSUP	LOC6042553|XP_038120962.1|CQUI
OG0002049	LOC119562999|XP_037732108.1|DSUP	LOC6039492|XP_038115951.1|CQUI
OG0002050	LOC119563186|XP_037732387.1|DSUP	LOC6043404|XP_038115088.1|CQUI
OG0002051	LOC119552025|XP_037717691.1|DSUP	LOC6051287|XP_038119820.1|CQUI
OG0002053	LOC119552259|XP_037717994.1|DSUP	LOC6040835|XP_038116346.1|CQUI
OG0002054	LOC119560769|XP_037730321.1|DSUP	LOC6035830|XP_001845950.2|CQUI
OG0002055	LOC119551537|XP_037716858.1|DSUP	LOC6038958|XP_038120809.1|CQUI
OG0002056	LOC119554889|XP_037721908.1|DSUP	LOC6038943|XP_038120800.1|CQUI
OG0002057	LOC119547098|XP_037709729.1|DSUP	LOC6034056|XP_038120930.1|CQUI
OG0002058	LOC119552674|XP_037718312.1|DSUP	LOC6033986|XP_001844369.2|CQUI
OG0002059	LOC119549985|XP_037714321.1|DSUP	LOC6033981|XP_038120952.1|CQUI
OG0002060	LOC119550291|XP_037714811.1|DSUP	LOC6033990|XP_038119391.1|CQUI
OG0002061	LOC119550141|XP_037714576.1|DSUP	LOC6033991|XP_001844379.1|CQUI
OG0002062	LOC119557842|XP_037726748.1|DSUP	LOC6037972|XP_038118109.1|CQUI
OG0002063	LOC119556570|XP_037724796.1|DSUP	LOC119769819|XP_038119432.1|CQUI
OG0002064	LOC119552747|XP_037718463.1|DSUP	LOC6047178|XP_038120724.1|CQUI
OG0002065	LOC119552595|XP_037718178.1|DSUP	LOC6046202|XP_038120624.1|CQUI
OG0002066	LOC119559273|XP_037728273.1|DSUP	LOC6039967|XP_038109379.1|CQUI
OG0002067	LOC119549076|XP_037712714.1|DSUP, LOC119549079|XP_037712716.1|DSUP	LOC6044111|XP_038112191.1|CQUI
OG0002068	LOC119551103|XP_037716210.1|DSUP	LOC119766543|XP_038107216.1|CQUI
OG0002069	LOC119559634|XP_037728605.1|DSUP	LOC6041145|XP_001850445.2|CQUI
OG0002070	LOC119545769|XP_037707549.1|DSUP	LOC6041138|XP_001850438.2|CQUI
OG0002071	LOC119546897|XP_037709451.1|DSUP	LOC6036873|XP_038107719.1|CQUI
OG0002072	LOC119551842|XP_037717343.1|DSUP	LOC119767954|XP_038113954.1|CQUI, LOC119767948|XP_038113941.1|CQUI
OG0002073	LOC119553159|XP_037719310.1|DSUP	LOC6037933|XP_038116801.1|CQUI
OG0002074	LOC119549401|XP_037713384.1|DSUP	LOC6034286|XP_001844626.2|CQUI
OG0002075	LOC119548433|XP_037711608.1|DSUP	LOC6051422|XP_001867860.2|CQUI
OG0002076	LOC119551784|XP_037717241.1|DSUP	LOC6053604|XP_038109672.1|CQUI
OG0002077	LOC119555577|XP_037722974.1|DSUP	LOC6048428|XP_038107454.1|CQUI
OG0002078	LOC119559452|XP_037728482.1|DSUP	LOC6049195|XP_038108184.1|CQUI
OG0002079	LOC119555589|XP_037723001.1|DSUP	LOC6035445|XP_038113391.1|CQUI
OG0002080	LOC119551215|XP_037716379.1|DSUP	LOC6045702|XP_038109755.1|CQUI
OG0002081	LOC119551796|XP_037717271.1|DSUP	LOC6045982|XP_001863256.2|CQUI
OG0002082	LOC119552136|XP_037717854.1|DSUP	LOC6036748|XP_038113901.1|CQUI
OG0002083	LOC119556364|XP_037724457.1|DSUP, LOC119555919|XP_037723544.1|DSUP	LOC6035972|XP_038107184.1|CQUI
OG0002084	LOC119551524|XP_037716839.1|DSUP	LOC6035707|XP_038108824.1|CQUI
OG0002085	LOC119549225|XP_037713035.1|DSUP	LOC6042460|XP_038114127.1|CQUI
OG0002086	LOC119551655|XP_037717019.1|DSUP	LOC6046954|XP_001864067.2|CQUI
OG0002087	LOC119554610|XP_037721530.1|DSUP	LOC6035876|XP_038112932.1|CQUI
OG0002088	LOC119552491|XP_037718019.1|DSUP	LOC6048576|XP_038109929.1|CQUI
OG0002090	LOC119554062|XP_037720732.1|DSUP	LOC6048571|XP_038112054.1|CQUI
OG0002091	LOC119551235|XP_037716402.1|DSUP	LOC6042356|XP_001851484.1|CQUI
OG0002092	LOC119553003|XP_037718952.1|DSUP	LOC6042361|XP_001851488.2|CQUI, LOC6036907|XP_038108108.1|CQUI
OG0002093	LOC119551088|XP_037716190.1|DSUP	LOC6046499|XP_038110633.1|CQUI
OG0002094	LOC119551186|XP_037716315.1|DSUP	LOC6040957|XP_038113605.1|CQUI
OG0002095	LOC119556104|XP_037723901.1|DSUP	LOC6036091|XP_001846184.1|CQUI
OG0002096	LOC119549141|XP_037712844.1|DSUP	LOC6047564|XP_038107160.1|CQUI
OG0002097	LOC119551572|XP_037716900.1|DSUP	LOC6032274|XP_038114310.1|CQUI
OG0002098	LOC119554939|XP_037721976.1|DSUP	LOC6054484|XP_038109600.1|CQUI, LOC6050613|XP_038110230.1|CQUI
OG0002099	LOC119560092|XP_037729339.1|DSUP, LOC119560497|XP_037729896.1|DSUP	LOC6052912|XP_038113126.1|CQUI
OG0002100	LOC119554600|XP_037721512.1|DSUP	LOC6037635|XP_001847522.2|CQUI, LOC6037636|XP_038113451.1|CQUI
OG0002101	LOC119551803|XP_037717284.1|DSUP	LOC6034560|XP_038108470.1|CQUI
OG0002102	LOC119549246|XP_037713073.1|DSUP	LOC6040553|XP_001849935.2|CQUI
OG0002103	LOC119560510|XP_037729912.1|DSUP	LOC6039927|XP_038104265.1|CQUI
OG0002117	LOC119551482|XP_037716773.1|DSUP	LOC6035092|XP_001845324.2|CQUI
OG0002118	LOC119561878|XP_037731281.1|DSUP	LOC6038196|XP_001848026.2|CQUI
OG0002119	LOC119562777|XP_037731892.1|DSUP	LOC6052831|XP_038104539.1|CQUI
OG0002120	LOC119554677|XP_037721644.1|DSUP	LOC6038312|XP_038104590.1|CQUI
OG0002121	LOC119548048|XP_037711059.1|DSUP	LOC6048963|XP_038111521.1|CQUI
OG0002123	LOC119548741|XP_037712183.1|DSUP	LOC6040410|XP_038105742.1|CQUI
OG0002124	LOC119557846|XP_037726757.1|DSUP	LOC119770815|XP_038122274.1|CQUI
OG0002125	LOC119549455|XP_037713480.1|DSUP	LOC119771160|XP_038122537.1|CQUI, LOC119765095|XP_038104176.1|CQUI
OG0002126	LOC119555064|XP_037722195.1|DSUP	LOC6053690|XP_001869735.2|CQUI
OG0002127	LOC119556678|XP_037724971.1|DSUP	LOC6051305|XP_038105747.1|CQUI
OG0002128	LOC119557010|XP_037725470.1|DSUP	LOC6050201|XP_038114963.1|CQUI
OG0002129	LOC119561085|XP_037730884.1|DSUP	LOC6038188|XP_038108193.1|CQUI
OG0002130	LOC119557247|XP_037725861.1|DSUP	LOC6048461|XP_001865375.1|CQUI
OG0002131	LOC119563073|XP_037732216.1|DSUP	LOC6041291|XP_038105189.1|CQUI
OG0002132	LOC119547131|XP_037709772.1|DSUP	LOC6042241|XP_001851379.1|CQUI
OG0002133	LOC119555875|XP_037723457.1|DSUP	LOC6041277|XP_001850564.2|CQUI
OG0002134	LOC119556582|XP_037724810.1|DSUP	LOC6053321|XP_038104459.1|CQUI
OG0002135	LOC119558170|XP_037727363.1|DSUP	LOC6039380|XP_001848994.2|CQUI, LOC6038451|XP_038114365.1|CQUI
OG0002136	LOC119546610|XP_037708978.1|DSUP	LOC6052854|XP_038114943.1|CQUI
OG0002137	LOC119549206|XP_037712978.1|DSUP	LOC6035107|XP_001845343.2|CQUI
OG0002138	LOC119557570|XP_037726293.1|DSUP	LOC6053774|XP_001869800.2|CQUI
OG0002139	LOC119557061|XP_037725541.1|DSUP	LOC6054308|XP_038112556.1|CQUI
OG0002140	LOC119557102|XP_037725607.1|DSUP	LOC6052944|XP_038122401.1|CQUI
OG0002141	LOC119553480|XP_037719817.1|DSUP	LOC6052597|XP_001868840.1|CQUI
OG0002142	LOC119560948|XP_037730614.1|DSUP	LOC6044771|XP_001862230.2|CQUI
OG0002143	LOC119547356|XP_037710099.1|DSUP	LOC6049815|XP_001866521.2|CQUI
OG0002144	LOC119556329|XP_037724388.1|DSUP	LOC6045241|XP_001862632.1|CQUI
OG0002145	LOC119560453|XP_037729830.1|DSUP	LOC6054639|XP_038108283.1|CQUI
OG0002146	LOC119559923|XP_037729054.1|DSUP	LOC6036975|XP_038114349.1|CQUI
OG0002147	LOC119556245|XP_037724206.1|DSUP	LOC6050629|XP_038108543.1|CQUI
OG0002148	LOC119553343|XP_037719607.1|DSUP	LOC6049935|XP_038105474.1|CQUI
OG0002149	LOC119563071|XP_037732255.1|DSUP	LOC6049814|XP_038122450.1|CQUI
OG0002150	LOC119556468|XP_037724644.1|DSUP	LOC6042689|XP_038115140.1|CQUI
OG0002151	LOC119548195|XP_037711253.1|DSUP	LOC6042690|XP_001870711.1|CQUI
OG0002152	LOC119549402|XP_037713388.1|DSUP	LOC6043588|XP_038111921.1|CQUI
OG0002153	LOC119558160|XP_037727344.1|DSUP	LOC6051446|XP_038116744.1|CQUI
OG0002154	LOC119557244|XP_037725857.1|DSUP	LOC6038494|XP_038104249.1|CQUI
OG0002155	LOC119562885|XP_037731929.1|DSUP	LOC6045355|XP_001862743.2|CQUI
OG0002156	LOC119555675|XP_037723222.1|DSUP	LOC119765577|XP_038105669.1|CQUI
OG0002157	LOC119547514|XP_037710339.1|DSUP	LOC6031420|XP_038119185.1|CQUI
OG0002159	LOC119549039|XP_037712654.1|DSUP	LOC6042564|XP_001852253.1|CQUI
OG0002160	LOC119560210|XP_037729496.1|DSUP	LOC6053375|XP_038104218.1|CQUI
OG0002161	LOC119560242|XP_037729533.1|DSUP	LOC6034721|XP_001845003.2|CQUI, LOC6053342|XP_001869448.1|CQUI
OG0002162	LOC119555741|XP_037723349.1|DSUP	LOC6034725|XP_038105052.1|CQUI
OG0002164	LOC119563148|XP_037732334.1|DSUP	LOC6034761|XP_001845035.2|CQUI
OG0002166	LOC119548341|XP_037711476.1|DSUP	LOC6041913|XP_001851104.1|CQUI
OG0002167	LOC119551886|XP_037717411.1|DSUP	LOC6041910|XP_001851101.1|CQUI
OG0002168	LOC119551564|XP_037716890.1|DSUP	LOC6053108|XP_001869252.2|CQUI
