Orthogroup	DSUP.longest_only	CPIP.longest_only
OG0002144	LOC119556329|XP_037724388.1|DSUP	LOC120426029|XP_039446642.1|CPIP
OG0002145	LOC119560453|XP_037729830.1|DSUP	LOC120427971|XP_039448861.1|CPIP
OG0002146	LOC119559923|XP_037729054.1|DSUP	LOC120429017|XP_039450091.1|CPIP
OG0002147	LOC119556245|XP_037724206.1|DSUP	LOC120413718|XP_039430575.1|CPIP
OG0002148	LOC119553343|XP_037719607.1|DSUP	LOC120416248|XP_039433884.1|CPIP, LOC120416247|XP_039433883.1|CPIP, LOC120416256|XP_039433892.1|CPIP
OG0002149	LOC119563071|XP_037732255.1|DSUP	LOC120431264|XP_039452335.1|CPIP
OG0002150	LOC119556468|XP_037724644.1|DSUP	LOC120419617|XP_039438292.1|CPIP
OG0002151	LOC119548195|XP_037711253.1|DSUP	LOC120419620|XP_039438294.1|CPIP
OG0002152	LOC119549402|XP_037713388.1|DSUP	LOC120416903|XP_039434733.1|CPIP
OG0002153	LOC119558160|XP_037727344.1|DSUP	LOC120424542|XP_039444640.1|CPIP, LOC120429007|XP_039450079.1|CPIP
OG0002154	LOC119557244|XP_037725857.1|DSUP	LOC120426470|XP_039447167.1|CPIP
OG0002155	LOC119562885|XP_037731929.1|DSUP	LOC120423054|XP_039442659.1|CPIP
OG0002156	LOC119555675|XP_037723222.1|DSUP	LOC120419889|XP_039438688.1|CPIP
OG0002157	LOC119547514|XP_037710339.1|DSUP	LOC120424135|XP_039444112.1|CPIP
OG0002158	LOC119551106|XP_037716212.1|DSUP	LOC120424147|XP_039444125.1|CPIP
OG0002159	LOC119549039|XP_037712654.1|DSUP	LOC120425011|XP_039445317.1|CPIP
OG0002160	LOC119560210|XP_037729496.1|DSUP	LOC120425027|XP_039445332.1|CPIP
OG0002161	LOC119560242|XP_037729533.1|DSUP	LOC120424948|XP_039445193.1|CPIP, LOC120427119|XP_039447906.1|CPIP
OG0002162	LOC119555741|XP_037723349.1|DSUP	LOC120424944|XP_039445182.1|CPIP
OG0002164	LOC119563148|XP_037732334.1|DSUP	LOC120427447|XP_039448249.1|CPIP
OG0002165	LOC119546345|XP_037708483.1|DSUP	LOC120427457|XP_039448260.1|CPIP
OG0002166	LOC119548341|XP_037711476.1|DSUP	LOC120429237|XP_039450381.1|CPIP
OG0002167	LOC119551886|XP_037717411.1|DSUP	LOC120429250|XP_039450396.1|CPIP
OG0002168	LOC119551564|XP_037716890.1|DSUP	LOC120416847|XP_039434670.1|CPIP
OG0002169	LOC119553094|XP_037719177.1|DSUP	LOC120426989|XP_039447739.1|CPIP, LOC120419251|XP_039437838.1|CPIP
OG0002170	LOC119551583|XP_037716952.1|DSUP	LOC120425471|XP_039445940.1|CPIP
OG0002171	LOC119547352|XP_037710098.1|DSUP	LOC120427719|XP_039448556.1|CPIP
OG0002172	LOC119552307|XP_037717997.1|DSUP	LOC120428999|XP_039450073.1|CPIP
OG0002173	LOC119546866|XP_037709398.1|DSUP	LOC120413450|XP_039430222.1|CPIP, LOC120413460|XP_039430232.1|CPIP
OG0002174	LOC119546164|XP_037708215.1|DSUP	LOC120426014|XP_039446619.1|CPIP
OG0002175	LOC119546173|XP_037708227.1|DSUP	LOC120426015|XP_039446620.1|CPIP
OG0002176	LOC119560742|XP_037730284.1|DSUP	LOC120417855|XP_039436009.1|CPIP
OG0002177	LOC119555202|XP_037722389.1|DSUP	LOC120426230|XP_039446898.1|CPIP, LOC120426232|XP_039446900.1|CPIP
OG0002178	LOC119549004|XP_037712547.1|DSUP	LOC120417189|XP_039435091.1|CPIP
OG0002179	LOC119551949|XP_037717570.1|DSUP	LOC120425564|XP_039446063.1|CPIP
OG0002180	LOC119545838|XP_037707724.1|DSUP	LOC120423290|XP_039442986.1|CPIP
OG0002182	LOC119559965|XP_037729126.1|DSUP	LOC120427181|XP_039447973.1|CPIP, LOC120430691|XP_039451726.1|CPIP
OG0002183	LOC119550127|XP_037714551.1|DSUP	LOC120412611|XP_039429093.1|CPIP, LOC120417685|XP_039435755.1|CPIP
OG0002184	LOC119560062|XP_037729296.1|DSUP	LOC120431815|XP_039452868.1|CPIP
OG0002185	LOC119556680|XP_037724982.1|DSUP	LOC120426735|XP_039447442.1|CPIP
OG0002186	LOC119561831|XP_037731236.1|DSUP, LOC119561832|XP_037731240.1|DSUP	LOC120421820|XP_039441032.1|CPIP
OG0002187	LOC119563104|XP_037732273.1|DSUP	LOC120416088|XP_039433709.1|CPIP
OG0002188	LOC119551051|XP_037716097.1|DSUP	LOC120416600|XP_039434328.1|CPIP
OG0002189	LOC119561793|XP_037731206.1|DSUP	LOC120424029|XP_039443986.1|CPIP
OG0002190	LOC119545847|XP_037707743.1|DSUP	LOC120425993|XP_039446585.1|CPIP
OG0002191	LOC119554057|XP_037720727.1|DSUP	LOC120425994|XP_039446587.1|CPIP
OG0002192	LOC119555022|XP_037722094.1|DSUP	LOC120428190|XP_039449104.1|CPIP
OG0002193	LOC119562384|XP_037731498.1|DSUP	LOC120425752|XP_039446293.1|CPIP
OG0002194	LOC119552527|XP_037718077.1|DSUP	LOC120418354|XP_039436640.1|CPIP, LOC120418359|XP_039436649.1|CPIP
OG0002195	LOC119562614|XP_037731770.1|DSUP	LOC120427148|XP_039447940.1|CPIP
OG0002196	LOC119563034|XP_037732163.1|DSUP	LOC120432515|XP_039453666.1|CPIP
OG0002197	LOC119554917|XP_037721948.1|DSUP, LOC119555551|XP_037722924.1|DSUP	LOC120426022|XP_039446630.1|CPIP
OG0002198	LOC119560100|XP_037729360.1|DSUP	LOC120425714|XP_039446247.1|CPIP
OG0002199	LOC119560787|XP_037730344.1|DSUP	LOC120426688|XP_039447398.1|CPIP
OG0002200	LOC119557000|XP_037725459.1|DSUP	LOC120427262|XP_039448055.1|CPIP
OG0002202	LOC119559846|XP_037728873.1|DSUP	LOC120416688|XP_039434442.1|CPIP
OG0002203	LOC119546153|XP_037708193.1|DSUP	LOC120425982|XP_039446570.1|CPIP
OG0002204	LOC119561426|XP_037731012.1|DSUP	LOC120422017|XP_039441275.1|CPIP
OG0002205	LOC119562958|XP_037732061.1|DSUP	LOC120430262|XP_039451281.1|CPIP
OG0002206	LOC119551430|XP_037716704.1|DSUP	LOC120431088|XP_039452178.1|CPIP, LOC120430929|XP_039451983.1|CPIP
OG0002207	LOC119559970|XP_037729138.1|DSUP	LOC120414299|XP_039431367.1|CPIP
OG0002208	LOC119563422|XP_037732723.1|DSUP	LOC120426162|XP_039446814.1|CPIP
OG0002209	LOC119557722|XP_037726531.1|DSUP	LOC120424682|XP_039444792.1|CPIP, LOC120424624|XP_039444723.1|CPIP
OG0002210	LOC119560436|XP_037729805.1|DSUP	LOC120424666|XP_039444773.1|CPIP, LOC120424615|XP_039444710.1|CPIP
OG0002211	LOC119551469|XP_037716757.1|DSUP	LOC120424634|XP_039444734.1|CPIP
OG0002212	LOC119560553|XP_037729993.1|DSUP	LOC120421021|XP_039440078.1|CPIP
OG0002213	LOC119560911|XP_037730540.1|DSUP	LOC120424610|XP_039444704.1|CPIP
OG0002214	LOC119559262|XP_037728261.1|DSUP, LOC119560388|XP_037729741.1|DSUP	LOC120417090|XP_039435002.1|CPIP
OG0002215	LOC119559976|XP_037729142.1|DSUP	LOC120422123|XP_039441427.1|CPIP
OG0002216	LOC119562382|XP_037731483.1|DSUP	LOC120422564|XP_039441984.1|CPIP, LOC120426174|XP_039446824.1|CPIP
OG0002217	LOC119563007|XP_037732124.1|DSUP	LOC120425369|XP_039445812.1|CPIP
OG0002218	LOC119557455|XP_037726148.1|DSUP	LOC120427415|XP_039448216.1|CPIP
OG0002219	LOC119560645|XP_037730127.1|DSUP	LOC120425436|XP_039445901.1|CPIP
OG0002220	LOC119560251|XP_037729544.1|DSUP	LOC120425434|XP_039445899.1|CPIP
OG0002221	LOC119554527|XP_037721401.1|DSUP	LOC120428082|XP_039448995.1|CPIP
OG0002222	LOC119548985|XP_037712512.1|DSUP	LOC120428079|XP_039448990.1|CPIP
OG0002223	LOC119550596|XP_037715332.1|DSUP	LOC120430974|XP_039452040.1|CPIP
OG0002224	LOC119549282|XP_037713143.1|DSUP	LOC120430981|XP_039452053.1|CPIP
OG0002225	LOC119553717|XP_037720226.1|DSUP	LOC120423006|XP_039442563.1|CPIP, LOC120423028|XP_039442603.1|CPIP
OG0002226	LOC119551637|XP_037716995.1|DSUP	LOC120422859|XP_039442342.1|CPIP, LOC120425224|XP_039445589.1|CPIP
OG0002227	LOC119549658|XP_037713771.1|DSUP	LOC120417793|XP_039435896.1|CPIP
OG0002228	LOC119550709|XP_037715516.1|DSUP	LOC120422874|XP_039442355.1|CPIP
OG0002229	LOC119552012|XP_037717670.1|DSUP	LOC120422876|XP_039442369.1|CPIP
OG0002230	LOC119551290|XP_037716492.1|DSUP	LOC120422845|XP_039442323.1|CPIP
OG0002231	LOC119550253|XP_037714758.1|DSUP	LOC120419763|XP_039438524.1|CPIP, LOC120427223|XP_039448024.1|CPIP
OG0002232	LOC119549508|XP_037713548.1|DSUP	LOC120417389|XP_039435342.1|CPIP, LOC120417390|XP_039435345.1|CPIP
OG0002233	LOC119554892|XP_037721922.1|DSUP	LOC120424797|XP_039444943.1|CPIP, LOC120424803|XP_039444951.1|CPIP
OG0002234	LOC119551386|XP_037716636.1|DSUP	LOC120419836|XP_039438606.1|CPIP, LOC120427571|XP_039448380.1|CPIP, LOC120427578|XP_039448392.1|CPIP
OG0002235	LOC119549040|XP_037712655.1|DSUP	LOC120422922|XP_039442430.1|CPIP
OG0002236	LOC119549046|XP_037712669.1|DSUP, LOC119549045|XP_037712668.1|DSUP	LOC120427083|XP_039447862.1|CPIP
OG0002237	LOC119551050|XP_037716094.1|DSUP	LOC120425904|XP_039446461.1|CPIP
OG0002238	LOC119550232|XP_037714727.1|DSUP	LOC120423496|XP_039443270.1|CPIP
OG0002239	LOC119550222|XP_037714714.1|DSUP	LOC120422883|XP_039442377.1|CPIP
OG0002240	LOC119549140|XP_037712842.1|DSUP	LOC120426030|XP_039446645.1|CPIP
OG0002241	LOC119552510|XP_037718056.1|DSUP	LOC120425351|XP_039445787.1|CPIP, LOC120429623|XP_039450587.1|CPIP
OG0002243	LOC119545749|XP_037707511.1|DSUP	LOC120420561|XP_039439563.1|CPIP
OG0002244	LOC119555483|XP_037722817.1|DSUP	LOC120420568|XP_039439580.1|CPIP
OG0002245	LOC119552652|XP_037718277.1|DSUP	LOC120430538|XP_039451586.1|CPIP, LOC120431293|XP_039452369.1|CPIP, LOC120422431|XP_039441782.1|CPIP
OG0002246	LOC119550763|XP_037715615.1|DSUP	LOC120415738|XP_039433273.1|CPIP
OG0002247	LOC119551496|XP_037716790.1|DSUP	LOC120424882|XP_039445080.1|CPIP
OG0002248	LOC119552988|XP_037718933.1|DSUP	LOC120424795|XP_039444940.1|CPIP
OG0002249	LOC119553779|XP_037720314.1|DSUP	LOC120429924|XP_039450955.1|CPIP
OG0002250	LOC119550249|XP_037714752.1|DSUP	LOC120420700|XP_039439731.1|CPIP
OG0002251	LOC119550032|XP_037714387.1|DSUP	LOC120420698|XP_039439726.1|CPIP
OG0002252	LOC119550912|XP_037715832.1|DSUP	LOC120417416|XP_039435393.1|CPIP, LOC120430669|XP_039451704.1|CPIP
OG0002253	LOC119550716|XP_037715539.1|DSUP	LOC120417420|XP_039435397.1|CPIP, LOC120431078|XP_039452164.1|CPIP
OG0002254	LOC119550701|XP_037715508.1|DSUP	LOC120420684|XP_039439713.1|CPIP
OG0002255	LOC119557713|XP_037726523.1|DSUP	LOC120426800|XP_039447515.1|CPIP
OG0002256	LOC119549308|XP_037713193.1|DSUP	LOC120421528|XP_039440681.1|CPIP
OG0002257	LOC119551525|XP_037716840.1|DSUP	LOC120420092|XP_039438958.1|CPIP
OG0002258	LOC119553098|XP_037719183.1|DSUP	LOC120413191|XP_039429838.1|CPIP
OG0002259	LOC119557987|XP_037727006.1|DSUP	LOC120413269|XP_039429932.1|CPIP, LOC120413262|XP_039429924.1|CPIP
OG0002260	LOC119552602|XP_037718193.1|DSUP	LOC120413256|XP_039429919.1|CPIP
OG0002261	LOC119555080|XP_037722221.1|DSUP	LOC120413231|XP_039429894.1|CPIP
OG0002263	LOC119554849|XP_037721857.1|DSUP	LOC120424834|XP_039444997.1|CPIP
OG0002264	LOC119548984|XP_037712510.1|DSUP	LOC120420087|XP_039438951.1|CPIP
OG0002265	LOC119553712|XP_037720220.1|DSUP	LOC120432434|XP_039453586.1|CPIP
OG0002266	LOC119553230|XP_037719427.1|DSUP	LOC120418016|XP_039436191.1|CPIP
OG0002267	LOC119553069|XP_037719122.1|DSUP	LOC120418934|XP_039437405.1|CPIP
OG0002268	LOC119553034|XP_037719024.1|DSUP	LOC120418918|XP_039437383.1|CPIP
OG0002269	LOC119549006|XP_037712567.1|DSUP	LOC120414641|XP_039431811.1|CPIP, LOC120420157|XP_039439057.1|CPIP
OG0002270	LOC119550384|XP_037714961.1|DSUP	LOC120427423|XP_039448217.1|CPIP, LOC120428825|XP_039449866.1|CPIP
OG0002271	LOC119553932|XP_037720549.1|DSUP	LOC120416566|XP_039434232.1|CPIP
OG0002272	LOC119554170|XP_037720888.1|DSUP	LOC120430341|XP_039451378.1|CPIP
OG0002273	LOC119555452|XP_037722756.1|DSUP	LOC120424315|XP_039444333.1|CPIP
OG0002274	LOC119553705|XP_037720194.1|DSUP	LOC120424318|XP_039444343.1|CPIP
OG0002275	LOC119553822|XP_037720380.1|DSUP	LOC120414431|XP_039431548.1|CPIP
OG0002276	LOC119553500|XP_037719839.1|DSUP	LOC120417610|XP_039435653.1|CPIP
OG0002277	LOC119554127|XP_037720827.1|DSUP	LOC120426777|XP_039447484.1|CPIP
OG0002278	LOC119552548|XP_037718095.1|DSUP	LOC120413394|XP_039430126.1|CPIP
OG0002279	LOC119554980|XP_037722040.1|DSUP	LOC120413424|XP_039430170.1|CPIP
OG0002280	LOC119552928|XP_037718799.1|DSUP	LOC120413392|XP_039430124.1|CPIP
OG0002281	LOC119552841|XP_037718631.1|DSUP	LOC120420039|XP_039438873.1|CPIP
OG0002282	LOC119555319|XP_037722572.1|DSUP	LOC120425134|XP_039445494.1|CPIP
OG0002283	LOC119549836|XP_037714043.1|DSUP	LOC120423762|XP_039443609.1|CPIP, LOC120423759|XP_039443608.1|CPIP
OG0002284	LOC119549996|XP_037714337.1|DSUP	LOC120423775|XP_039443628.1|CPIP
OG0002285	LOC119557878|XP_037726807.1|DSUP	LOC120420921|XP_039439982.1|CPIP, LOC120420914|XP_039439973.1|CPIP
OG0002286	LOC119550868|XP_037715775.1|DSUP	LOC120412637|XP_039429125.1|CPIP
OG0002287	LOC119550610|XP_037715362.1|DSUP	LOC120431346|XP_039452412.1|CPIP, LOC120427734|XP_039448576.1|CPIP, LOC120425689|XP_039446207.1|CPIP
OG0002288	LOC119555533|XP_037722890.1|DSUP	LOC120427730|XP_039448567.1|CPIP
OG0002289	LOC119554401|XP_037721216.1|DSUP	LOC120415802|XP_039433361.1|CPIP
OG0002291	LOC119549253|XP_037713086.1|DSUP	LOC120417473|XP_039435481.1|CPIP
OG0002292	LOC119549926|XP_037714191.1|DSUP	LOC120429716|XP_039450692.1|CPIP
OG0002293	LOC119562741|XP_037731873.1|DSUP, LOC119562735|XP_037731863.1|DSUP, LOC119562742|XP_037731875.1|DSUP	LOC120421396|XP_039440531.1|CPIP
OG0002294	LOC119560076|XP_037729312.1|DSUP	LOC120431185|XP_039452261.1|CPIP
OG0002296	LOC119548826|XP_037712368.1|DSUP	LOC120431809|XP_039452861.1|CPIP
OG0002297	LOC119563542|XP_037732954.1|DSUP	LOC120428723|XP_039449730.1|CPIP
OG0002298	LOC119550012|XP_037714364.1|DSUP	LOC120425452|XP_039445918.1|CPIP
OG0002299	LOC119550266|XP_037714772.1|DSUP	LOC120425451|XP_039445917.1|CPIP
OG0002300	LOC119548459|XP_037711654.1|DSUP	LOC120422193|XP_039441508.1|CPIP
OG0002301	LOC119547149|XP_037709793.1|DSUP	LOC120414667|XP_039431876.1|CPIP
OG0002302	LOC119546438|XP_037708636.1|DSUP	LOC120426537|XP_039447237.1|CPIP, LOC120426346|XP_039447041.1|CPIP
OG0002303	LOC119556556|XP_037724775.1|DSUP	LOC120417163|XP_039435078.1|CPIP
OG0002304	LOC119547827|XP_037710778.1|DSUP	LOC120422787|XP_039442259.1|CPIP
OG0002305	LOC119553889|XP_037720482.1|DSUP	LOC120428091|XP_039449009.1|CPIP
OG0002306	LOC119548477|XP_037711674.1|DSUP	LOC120425855|XP_039446412.1|CPIP
OG0002307	LOC119548853|XP_037712402.1|DSUP	LOC120428131|XP_039449048.1|CPIP
OG0002308	LOC119546462|XP_037708671.1|DSUP	LOC120413536|XP_039430344.1|CPIP
OG0002309	LOC119547165|XP_037709819.1|DSUP	LOC120413609|XP_039430447.1|CPIP
OG0002310	LOC119547373|XP_037710122.1|DSUP	LOC120413615|XP_039430454.1|CPIP
OG0002311	LOC119548636|XP_037711954.1|DSUP	LOC120416326|XP_039433984.1|CPIP
OG0002312	LOC119548057|XP_037711068.1|DSUP	LOC120424906|XP_039445132.1|CPIP
OG0002313	LOC119552191|XP_037717969.1|DSUP	LOC120413117|XP_039429760.1|CPIP
OG0002314	LOC119550883|XP_037715798.1|DSUP	LOC120413143|XP_039429785.1|CPIP
OG0002315	LOC119549925|XP_037714189.1|DSUP	LOC120413127|XP_039429766.1|CPIP, LOC120431577|XP_039452623.1|CPIP
OG0002316	LOC119548619|XP_037711916.1|DSUP	LOC120416329|XP_039433993.1|CPIP
OG0002317	LOC119553290|XP_037719531.1|DSUP	LOC120413106|XP_039429746.1|CPIP
OG0002318	LOC119546002|XP_037707931.1|DSUP	LOC120431698|XP_039452747.1|CPIP, LOC120424106|XP_039444050.1|CPIP
OG0002319	LOC119546192|XP_037708246.1|DSUP	LOC120428535|XP_039449501.1|CPIP
OG0002320	LOC119549011|XP_037712580.1|DSUP	LOC120418944|XP_039437416.1|CPIP
OG0002321	LOC119551778|XP_037717235.1|DSUP	LOC120414767|XP_039432014.1|CPIP
OG0002322	LOC119548507|XP_037711715.1|DSUP	LOC120428054|XP_039448951.1|CPIP
OG0002323	LOC119548354|XP_037711497.1|DSUP	LOC120424360|XP_039444389.1|CPIP
OG0002324	LOC119553743|XP_037720268.1|DSUP	LOC120420799|XP_039439851.1|CPIP
OG0002325	LOC119552951|XP_037718862.1|DSUP	LOC120420805|XP_039439860.1|CPIP
OG0002326	LOC119552981|XP_037718927.1|DSUP	LOC120420810|XP_039439865.1|CPIP
OG0002327	LOC119554515|XP_037721429.1|DSUP	LOC120420797|XP_039439843.1|CPIP
OG0002328	LOC119548200|XP_037711257.1|DSUP	LOC120426846|XP_039447568.1|CPIP
OG0002329	LOC119548488|XP_037711690.1|DSUP	LOC120420602|XP_039439614.1|CPIP
OG0002330	LOC119548208|XP_037711270.1|DSUP	LOC120420151|XP_039439051.1|CPIP
OG0002331	LOC119557832|XP_037726722.1|DSUP	LOC120420046|XP_039438891.1|CPIP
OG0002332	LOC119554432|XP_037721254.1|DSUP	LOC120428257|XP_039449185.1|CPIP
OG0002333	LOC119549317|XP_037713219.1|DSUP	LOC120431110|XP_039452197.1|CPIP
OG0002334	LOC119548252|XP_037711323.1|DSUP	LOC120428324|XP_039449255.1|CPIP
OG0002335	LOC119551638|XP_037716996.1|DSUP	LOC120425202|XP_039445567.1|CPIP, LOC120418964|XP_039437443.1|CPIP
OG0002336	LOC119554028|XP_037720674.1|DSUP	LOC120423645|XP_039443452.1|CPIP
OG0002337	LOC119549765|XP_037713946.1|DSUP	LOC120423129|XP_039442742.1|CPIP
OG0002338	LOC119546512|XP_037708764.1|DSUP	LOC120420900|XP_039439956.1|CPIP
OG0002339	LOC119546428|XP_037708624.1|DSUP	LOC120419774|XP_039438542.1|CPIP, LOC120415198|XP_039432590.1|CPIP
OG0002340	LOC119547014|XP_037709611.1|DSUP	LOC120424350|XP_039444376.1|CPIP
OG0002341	LOC119551609|XP_037716948.1|DSUP	LOC120421110|XP_039440203.1|CPIP
OG0002342	LOC119546395|XP_037708567.1|DSUP	LOC120421117|XP_039440211.1|CPIP
OG0002343	LOC119548769|XP_037712240.1|DSUP	LOC120415454|XP_039432933.1|CPIP
OG0002344	LOC119546713|XP_037709128.1|DSUP, LOC119562471|XP_037731590.1|DSUP	LOC120415489|XP_039432990.1|CPIP
OG0002345	LOC119552121|XP_037717835.1|DSUP	LOC120415995|XP_039433582.1|CPIP
OG0002346	LOC119547798|XP_037710742.1|DSUP	LOC120416779|XP_039434578.1|CPIP
OG0002347	LOC119550733|XP_037715574.1|DSUP	LOC120416776|XP_039434575.1|CPIP
OG0002348	LOC119546603|XP_037708964.1|DSUP	LOC120416069|XP_039433671.1|CPIP
OG0002349	LOC119552123|XP_037717838.1|DSUP	LOC120426128|XP_039446764.1|CPIP, LOC120427962|XP_039448851.1|CPIP
OG0002350	LOC119552120|XP_037717834.1|DSUP	LOC120427961|XP_039448850.1|CPIP, LOC120426127|XP_039446763.1|CPIP
OG0002351	LOC119549833|XP_037714040.1|DSUP	LOC120419854|XP_039438625.1|CPIP
OG0002352	LOC119551594|XP_037716923.1|DSUP	LOC120427335|XP_039448120.1|CPIP
OG0002353	LOC119561815|XP_037731219.1|DSUP	LOC120419803|XP_039438573.1|CPIP
OG0002354	LOC119547596|XP_037710444.1|DSUP	LOC120416777|XP_039434576.1|CPIP
OG0002355	LOC119562527|XP_037731648.1|DSUP, LOC119562528|XP_037731650.1|DSUP	LOC120424552|XP_039444651.1|CPIP
OG0002356	LOC119545939|XP_037707810.1|DSUP	LOC120412848|XP_039429404.1|CPIP
OG0002357	LOC119548122|XP_037711149.1|DSUP	LOC120412846|XP_039429403.1|CPIP
OG0002358	LOC119548679|XP_037712051.1|DSUP	LOC120415720|XP_039433249.1|CPIP
OG0002359	LOC119556681|XP_037724980.1|DSUP	LOC120427816|XP_039448674.1|CPIP
OG0002360	LOC119547933|XP_037710908.1|DSUP	LOC120415533|XP_039433026.1|CPIP
OG0002361	LOC119553690|XP_037720171.1|DSUP	LOC120415542|XP_039433043.1|CPIP, LOC120421990|XP_039441238.1|CPIP
OG0002362	LOC119548326|XP_037711438.1|DSUP	LOC120417700|XP_039435783.1|CPIP, LOC120412454|XP_039428854.1|CPIP
OG0002363	LOC119547801|XP_037710746.1|DSUP	LOC120423975|XP_039443901.1|CPIP
OG0002364	LOC119562775|XP_037731888.1|DSUP, LOC119548589|XP_037711850.1|DSUP	LOC120423992|XP_039443923.1|CPIP
OG0002365	LOC119548505|XP_037711713.1|DSUP	LOC120423996|XP_039443939.1|CPIP
OG0002366	LOC119546797|XP_037709299.1|DSUP	LOC120412503|XP_039428936.1|CPIP, LOC120418410|XP_039436723.1|CPIP
OG0002367	LOC119547653|XP_037710523.1|DSUP	LOC120421150|XP_039440274.1|CPIP
OG0002368	LOC119558499|XP_037727932.1|DSUP	LOC120419647|XP_039438337.1|CPIP
OG0002369	LOC119556502|XP_037724691.1|DSUP	LOC120429906|XP_039450934.1|CPIP
OG0002370	LOC119547083|XP_037709708.1|DSUP	LOC120415512|XP_039433002.1|CPIP
OG0002371	LOC119548643|XP_037711975.1|DSUP	LOC120415513|XP_039433004.1|CPIP
OG0002372	LOC119546399|XP_037708580.1|DSUP	LOC120417285|XP_039435170.1|CPIP
OG0002373	LOC119546056|XP_037708050.1|DSUP	LOC120419153|XP_039437731.1|CPIP
OG0002374	LOC119563313|XP_037732575.1|DSUP	LOC120429067|XP_039450143.1|CPIP
OG0002375	LOC119560310|XP_037729612.1|DSUP	LOC120416343|XP_039434003.1|CPIP
OG0002376	LOC119545935|XP_037707802.1|DSUP	LOC120414302|XP_039431374.1|CPIP
OG0002377	LOC119561012|XP_037730760.1|DSUP	LOC120414304|XP_039431377.1|CPIP
OG0002378	LOC119553667|XP_037720107.1|DSUP	LOC120426574|XP_039447293.1|CPIP
OG0002379	LOC119548102|XP_037711119.1|DSUP	LOC120425772|XP_039446316.1|CPIP
OG0002380	LOC119557922|XP_037726857.1|DSUP	LOC120424705|XP_039444819.1|CPIP
OG0002381	LOC119551752|XP_037717205.1|DSUP	LOC120432390|XP_039453519.1|CPIP
OG0002382	LOC119556090|XP_037723871.1|DSUP	LOC120426818|XP_039447535.1|CPIP
OG0002383	LOC119554042|XP_037720700.1|DSUP	LOC120426827|XP_039447548.1|CPIP
OG0002384	LOC119556150|XP_037723975.1|DSUP	LOC120431525|XP_039452555.1|CPIP, LOC120418785|XP_039437200.1|CPIP, LOC120418839|XP_039437298.1|CPIP
OG0002386	LOC119561032|XP_037730787.1|DSUP	LOC120419452|XP_039438071.1|CPIP
OG0002387	LOC119550824|XP_037715700.1|DSUP	LOC120417667|XP_039435725.1|CPIP
OG0002388	LOC119551672|XP_037717057.1|DSUP	LOC120426320|XP_039447013.1|CPIP
OG0002389	LOC119549659|XP_037713790.1|DSUP	LOC120425212|XP_039445577.1|CPIP
OG0002390	LOC119546411|XP_037708598.1|DSUP	LOC120421608|XP_039440768.1|CPIP
OG0002391	LOC119549823|XP_037714029.1|DSUP	LOC120416973|XP_039434828.1|CPIP
OG0002392	LOC119554070|XP_037720742.1|DSUP	LOC120419110|XP_039437638.1|CPIP
OG0002393	LOC119553836|XP_037720398.1|DSUP	LOC120432181|XP_039453255.1|CPIP
OG0002394	LOC119547170|XP_037709832.1|DSUP	LOC120432201|XP_039453292.1|CPIP
OG0002395	LOC119561216|XP_037730975.1|DSUP	LOC120432165|XP_039453231.1|CPIP
OG0002396	LOC119552017|XP_037717681.1|DSUP	LOC120413852|XP_039430746.1|CPIP
OG0002397	LOC119546715|XP_037709130.1|DSUP	LOC120419717|XP_039438438.1|CPIP, LOC120424009|XP_039443957.1|CPIP
OG0002398	LOC119556128|XP_037723943.1|DSUP	LOC120416749|XP_039434516.1|CPIP, LOC120427911|XP_039448784.1|CPIP
OG0002399	LOC119559417|XP_037728440.1|DSUP	LOC120427919|XP_039448791.1|CPIP
OG0002400	LOC119550312|XP_037714841.1|DSUP	LOC120417067|XP_039434958.1|CPIP
OG0002401	LOC119555650|XP_037723195.1|DSUP	LOC120417110|XP_039435020.1|CPIP, LOC120415889|XP_039433464.1|CPIP
OG0002402	LOC119560596|XP_037730053.1|DSUP	LOC120417504|XP_039435515.1|CPIP
OG0002403	LOC119563290|XP_037732546.1|DSUP	LOC120417531|XP_039435547.1|CPIP
OG0002404	LOC119560020|XP_037729236.1|DSUP	LOC120417503|XP_039435513.1|CPIP
OG0002405	LOC119560095|XP_037729344.1|DSUP	LOC120421244|XP_039440379.1|CPIP
OG0002406	LOC119554461|XP_037721300.1|DSUP	LOC120417335|XP_039435270.1|CPIP
OG0002407	LOC119547631|XP_037710494.1|DSUP	LOC120413756|XP_039430624.1|CPIP
OG0002408	LOC119559808|XP_037728821.1|DSUP	LOC120413753|XP_039430619.1|CPIP, LOC120413777|XP_039430654.1|CPIP
OG0002410	LOC119560666|XP_037730163.1|DSUP	LOC120413937|XP_039430868.1|CPIP
OG0002411	LOC119545826|XP_037707652.1|DSUP	LOC120413072|XP_039429708.1|CPIP
OG0002412	LOC119558645|XP_037727970.1|DSUP	LOC120413056|XP_039429694.1|CPIP
OG0002413	LOC119562311|XP_037731395.1|DSUP, LOC119558092|XP_037727231.1|DSUP	LOC120413062|XP_039429698.1|CPIP
OG0002414	LOC119554685|XP_037721615.1|DSUP	LOC120413065|XP_039429703.1|CPIP
OG0002415	LOC119549240|XP_037713070.1|DSUP	LOC120413068|XP_039429704.1|CPIP, LOC120423283|XP_039442983.1|CPIP
OG0002417	LOC119548749|XP_037712194.1|DSUP	LOC120417884|XP_039436038.1|CPIP
